"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",1319.01677419355,"Down",309466000,-181100000,128366000,-87491000,-46339000,-37181000,40875000,-3556000,-7183000,52000,2639000,936000,37319000,99000,37418000,-7471000,29947000,29947000,29947000,29947000,54187000,54187000,361989000,361989000,73808000,73808000,489984000,3098652000,411664000,113842000,3565680000,4055664000,232835000,81981000,150854000,31089000,31089000,263924000,9.3e+08,335429000,123989000,1265429000,1529353000,122920000,2419574000,-16183000,2526311000,2526311000,4055664000,29947000,37181000,-4903000,-25223000,37002000,-128179000,-128179000,4e+07,-21000,8635000,-82542000,-82542000,-82542000,78056000,9.3e+08,-67875000,0.4148,0.13208,0.09677,0.01185,0.00738,-2.2665,1.85653,0.60537,0.22931,19.64544,19.55262,203.01181,1657.2773,-44.52646,0.01116,-0.0179,11.22032,21.42662
"12","2013_Q1",1389.27833333333,"Up",328333000,-184601000,143732000,-88997000,-46739000,-38287000,54735000,876999.999999999,-7827000,4181000,3830000,693000,55612000,3839000,59451000,-12860000,46591000,46591000,46591000,46591000,40569000,40569000,274512000,274512000,193009000,193009000,508090000,3189819000,424099000,126277000,3659965000,4168055000,190516000,59371000,131145000,76113000,76113000,266629000,1e+09,339670000,149907000,1339670000,1606299000,124924000,2453973000,-17141000,2561756000,2561756000,4168055000,46591000,38287000,6578000,-59649000,31807000,-105266000,-105266000,7e+07,153000,59841000,-13618000,-13618000,-13618000,93022000,1e+09,-59033000,0.43776,0.16671,0.1419,0.01819,0.01118,-1.26705,1.90561,0.62703,0.23992,30.39686,30.3523,214.21073,1671.33865,-38.51426,0.01506,-0.01513,10.31402,17.52866
"13","2013_Q2",1578.9775,"Up",334085000,-198181000,135904000,-94619000,-50480000,-40108000,41285000,-3842000,-8913000,-89000,4420000,740000,37443000,2140000,39583000,-9500000,30083000,30083000,30083000,30083000,64813000,64813000,467777000,467777000,86583000,86583000,619173000,3542268000,486156000,144708000,4077869000,4697042000,251088000,75976000,175112000,40218000,40218000,291306000,1475062000,345207000,155941000,1820269000,2111575000,130823000,2471557000,-16913000,2585467000,2585467000,4697042000,30083000,40108000,-11990000,-55271000,2930000,-154273000,-282010000,316772000,-2687000,303324000,24244000,24244000,24244000,81393000,1475062000,-118651000,0.40679,0.12358,0.09005,0.01164,0.0064,-3.94412,2.12551,0.81671,0.31404,19.71319,19.58149,218.92366,1694.23918,-77.7512,0.00965,-0.02693,17.32642,34.15887
"14","2013_Q3",1693.39375,"Up",367937000,-199356000,168581000,-92065000,-46038000,-42056000,76516000,-6726000,-9918000,3017000,3781000,538000,69790000,49000.0000000019,69839000,-15667000,54172000,54172000,54172000,54172000,45534000,45534000,558824000,558824000,77397000,77397000,681755000,3531349000,489221000,149239000,4072824000,4754579000,261973000,89689000,172284000,39334000,39334000,301307000,1445628000,373077000,184306000,1818705000,2120012000,138344000,2513193000,-16970000,2634567000,2634567000,4754579000,54172000,42056000,4077000,-94094000,6211000,-58390000,7159999.99999994,-22125000.0000001,-817000,-32650000,-19279000,-19279000,-19279000,118572000,1445628000,-18245000,0.45818,0.20796,0.14723,0.02056,0.01139,-0.3368,2.26266,0.80469,0.30405,35.46037,35.13181,240.84736,1724.55748,-11.94297,0.01496,-0.0041,11.80796,18.29806
"15","2013_Q4",1737.39203125,"Up",365248000,-201776000,163472000,-93871000,-45723000,-42391000,69601000,-8101000,-12250000,1341000,2671000,137000,61500000,-49113000,12387000,196000,12583000,12583000,12583000,12583000,114146000,114146000,615060000,615060000,74705000,74705000,803911000,3546476000,436959000,153260000,4043534000,4847445000,285492000,95247000,190245000,53677000,53677000,339169000,1464018000,404270000,215088000,1868288000,2207457000,143057000,2513380000,-16449000,2639988000,2639988000,4847445000,12583000,42391000,39162000,-35910000,58226000,-138789000,3096000,18561000,-467000,7290000,68612000,68612000,68612000,111992000,1464018000,-62903000,0.44756,0.19056,0.03445,0.00477,0.0026,-4.99905,2.37024,0.83616,0.30202,8.21632,8.13101,238.49583,1723.83182,-41.07374,0.00556,-0.01395,12.05329,19.39443
"16","2014_Q1",1500.89475409836,"Down",367833000,-212322000,155511000,-96811000,-45735000,-42925000,58700000,-9824000,-12733000,-2728000,4929000,708000,48876000,2363000,51239000,-7822000,43417000,43417000,43417000,43417000,60359000,60359000,252421000,252421000,507429000,507429000,820209000,3621608000,380084000,96385000,4065620000,4885829000,235448000,74515000,160933000,156721000,156721000,401681000,1505358000,293419000,184490000,1798777000,2200458000,147354000,2544255000,-12225000,2679384000,2685371000,4885829000,43417000,42925000,-17855000,-34395000,34092000,-191913000,-128773000,49100000,3474000,40894000,-53787000,-53787000,-53787000,101625000,1514870000,-116861000,0.42278,0.15958,0.11803,0.01617,0.00889,-2.6916,2.04194,0.81942,0.31005,28.20156,28.29318,238.92636,1740.39703,-75.9072,0.01243,-0.02601,14.31253,24.77872
"17","2014_Q2",1530.30825396825,"Up",385677000,-221905000,163772000,-100711000,-51060000,-43111000,63061000,-8513000,-13129000,-1289000,5283000,622000,54548000,2943000,57491000,-13792000,43699000,43699000,43673000,43673000,53451000,53451000,291341000,291341000,526502000,526502000,871294000,3615174000,376450000,92751000,4059550000,4930844000,209433000,74814000,134619000,189945000,189945000,409773000,1500960000,297049000,186903000,1798009000,2207782000,153188000,2575339000,-11877000,2716650000,2723062000,4930844000,43699000,43111000,832000,-56694000,30948000,-36120000,-22720000,-3959000,349000,-15136000,-6908000,-6908000,-6908000,106172000,1511355000,27150000,0.42464,0.16351,0.11324,0.01604,0.00886,0.62167,2.12628,0.81077,0.30651,28.41479,28.25353,250.9315,1767.52327,17.6645,0.0124,0.00599,13.73153,23.11895
"18","2014_Q3",1447.25609375,"Down",397524000,-219379000,178145000,-97012000,-46762000,-43708000,81133000,-2831000,-12559000,5408000,3821000,499000,78302000,3589999.99999999,81892000,-21067000,60825000,60825000,60907000,60907000,124315000,124315000,276425000,276425000,496165000,496165000,896905000,3649987000,384770000,101071000,4105560000,5002465000,210719000,63346000,147373000,201240000,201240000,421979000,1496203000,307559000,196247000,1803762000,2225741000,158486000,2623636000,-11728000,2770394000,2776724000,5002465000,60825000,43708000,-1878000,51673000,154328000,-88292000,-68941000,-2037000,999.999999999534,-14523000,70864000,70864000,70864000,124841000,1506223000,109289000,0.44814,0.2041,0.15322,0.02193,0.01218,1.79436,2.12547,0.80157,0.3011,39.62501,39.50055,258.62206,1802.36917,71.10148,0.01599,0.02381,11.06934,17.03263
"19","2014_Q4",1055.72515625,"Down",387554000,-218760000,168794000,-97138000,-46642000,-43331000,71656000,-7471000,-12239000,4334000,0,434000,64185000,-285236000,-221051000,60070000,-160981000,-160981000,-160694000,-160694000,77388000,77388000,301038000,301038000,494685000,494685000,873111000,3675421000,102616000,102616000,3843515000,4716626000,202275000,49487000,152788000,236757000,236757000,446038000,1484326000,277497000,234957000,1761823000,2207861000,163190000,2351197000,-11666000,2502721000,2508765000,4716626000,-160981000,43331000,217316000,-9256000,90410000,-102113000,-24170000,-1210000,1000,-113167000,-46927000,-46927000,-46927000,114987000,1491332000,-56452000,0.43554,0.18489,-0.41464,-0.06405,-0.03407,0.3513,1.95748,0.88006,0.31619,-106.92024,-106.92024,257.86506,1665.22417,-37.56121,-0.03477,-0.0132,12.29656,19.73239
"20","2015_Q1",835.793114754098,"Down",324762000,-200829000,123933000,-98484000,-45355000,-45054000,25449000,-10430000,-12102000,225000,1075000,372000,15019000,223000,15242000,-24134000,-8892000,-8892000,-9076000,-9076000,78568000,78568000,303096000,303096000,487151000,487151000,868815000,3746307000,75196000,75196000,3887347000,4756162000,203935000,54011000,149924000,268118000,268118000,482234000,1524295000,268918000,245642000,1793213000,2275447000,164643000,2330223000,-20378000,2474488000,2480715000,4756162000,-8892000,45054000,7010999.99999997,40370000,83543000,-129359000,-116103000,47871000,-1269000,33740000,1180000.00000001,1180000.00000001,1180000.00000001,70503000,1534476000,5647999.99999997,0.38161,0.07836,-0.02795,-0.00366000000000001,-0.00191,-0.6223,1.80165,0.91725,0.32263,-6.23053,-6.28931999999998,222.94411,1698.69787,3.87726,0.000639999999999988,0.00132,20.6503,57.20885
"21","2015_Q2",771.773174603175,"Down",304774000,-185025000,119749000,-98053000,-43953000,-45657000,21696000,-18966000,-13182000,-4133000,-2441000,790000,2730000,-7607000,-4877000,-10287000,-15164000,-15164000,-15052000,-15052000,102984000,102984000,262762000,262762000,469066000,469066000,834812000,3719206000,96765000,96765000,3878672000,4713484000,180281000,58659000,121622000,266529000,266529000,492230000,1498109000,265977000,240359000,1764086000,2256316000,167403000,2303831000,-20181000,2451053000,2457168000,4713484000,-15164000,45657000,14033000,48171000,92697000,-87422000,-63232000,7676000,-936000,-5049000,24416000,24416000,24416000,67353000,1543529000,38389000,0.39291,0.07119,-0.04939,-0.00613,-0.00319,-2.55043,1.69598,0.91826,0.32747,-10.33483,-10.33483,209.2604,1682.9137,26.35821,-0.00076,0.009,21.38799,66.3968
"22","2015_Q3",552.686875,"Down",271923000,-164714000,107209000,-91706000,-37286000,-45979000,15503000,-14967000,-13247000,843999.999999998,-2919000,355000,536000,-33147000,-32611000,-11388000,-43999000,-43999000,-43835000,-43835000,88216000,88216000,269049000,269049000,429294000,429294000,786559000,3658006000,103680000,103680000,3821106000,4607665000,201119000,60710000,140409000,241475000,241475000,452594000,1488379000,262700000,234377000,1751079000,2203673000,170487000,2248182000,-20628000,2398041000,2403992000,4607665000,-43999000,45979000,32301000,36913000,71194000,-45435000,-33435000,-40712000,-25000,-52527000,-14768000,-14768000,-14768000,61482000,1498379000,64348000,0.39426,0.05701,-0.1612,-0.01823,-0.00951,-1.46796,1.73789,0.91667,0.32519,-30.12236,-30.12236,186.85894,1647.87601,44.2184,-0.00769,0.01545,22.93619,90.9606499999995
"23","2015_Q4",344.38671875,"Down",218191000,-128872000,89319000,-89461000,-35598000,-45422000,-142000,-14882000,-13312000,-469000,-1710000,609000,-15024000,-9258000,-24282000,4679000,-19603000,-19603000,-19509000,-19509000,47980000,47980000,261209000,261209000,436012000,436012000,745201000,3607301000,82350000,82350000,3735314000,4480515000,161066000,61019000,100047000,236196000,236196000,407072000,1441924000,255587000,219987000,1697511000,2104583000,173450000,2216862000,-20237000,2370075000,2375932000,4480515000,-19603000,45422000,28331000,-26648000,27502000,-11150000,-11150000,-44789000,0,-56588000,-40236000,-40236000,-40236000,45280000,1451734000,2803000,0.40936,-0.00065,-0.08941,-0.00821,-0.00435,-0.14368,1.83064,0.88579,0.32401,-13.4059,-13.4059,149.93319,1628.63226,1.92612,-0.00189,0.00069,31.00163,-9885.59155
"24","2016_Q1",197.466557377049,"Down",184174000,-101333000,82841000,-90562000,-36974000,-45251000,-7721000,-21218000,-14011000,-1645000,-6511000,949000,-28939000,-48848000,-77787000,-3823000,-81610000,-81610000,-81787000,-81787000,678438000,678438000,228113000,228113000,416763000,416763000,1323314000,3551291000,71686000,71686000,3660479000,4983793000,144062000,49130000,94932000,262796000,262796000,2452374000,1202014023.27994,225865000,191024000,225865000,2678239000,171311000,2135075000,-6866000,2299520000,2305554000,4983793000,-81610000,45251000,53341000,47665000,64647000,-39788000,-29859000,597320000,-1640000,595670000,630458000,630458000,630458000,37530000,2045516000,49230000,0.4498,-0.04192,-0.44407,-0.03547,-0.01641,-0.60193,0.53961,1.16165,0.41043,-56.06703,-56.06703,126.25587,1576.37825,33.74839,-0.01787,0.01076,36.42627,-177.059709999998
"25","2016_Q2",204.269375,"Up",167925000,-112777000,55148000,-90040000,-37047000,-44552000,-34892000,-18512000,-16954000,-2733000,-1000,1176000,-53404000,-31243000,-84647000,-3996000,-88643000,-88643000,-89097000,-89097000,668660000,668660000,201699000,201699000,410795000,410795000,1281154000,3475436000,84279000,84279000,3596704000,4877858000,129320000,53743000,75577000,261257000,261257000,2431983000,819940111.189699,226880000,185366000,226880000,2658863000,172971000,2046170000,-6634000,2212507000,2218995000,4877858000,-88643000,44552000,32887000,301000,-10903000,-6344000,5171000,-2324000,-1722000,-4046000,-9778000,-9778000,-9778000,9660000,2041406000,7613000,0.32841,-0.20778,-0.53058,-0.04015,-0.01827,-0.08545,0.52679,1.19823,0.4185,-1.89295,-1.89295,3.56773,47.00689,0.16175,-0.01986,0.0017,142.10621,-39.34271
"26","2016_Q3",118.95125,"Down",143722000,-90517000,53205000,-85240000,-32954000,-43845000,-32035000,-18711000,-18477000,-2539000,1313000,992000,-50746000,-123309000,-174055000,-3568000,-177623000,-177623000,-178490000,-178490000,674923000,674923000,209850000,209850000,363755000,363755000,1248528000,3311567000,89967000,89967000,3439734000,4688262000,143918000,64231000,79687000,236270000,236270000,2421555000,406245158.272934,223944000,175740000,223944000,2645499000,174150000,1867701000,-6443000,2035408000,2042763000,4688262000,-177623000,43845000,122634000,21445000,10301000,-1326000,-1326000,-2712000,0,-2712000.00000006,6263000.00000006,6263000.00000006,6263000.00000006,11810000,2041367000,35497000,0.37019,-0.2229,-1.24191,-0.08738,-0.03807,-0.19887,0.51559,1.29506,0.43542,-122.32852,-122.32852,98.50019,1394.97137,24.32795,-0.04143,0.00824,115.70229,-42.6547200000001
"27","2016_Q4",87.93,"Down",129215000,-85072000,44143000,-83894000,-34151000,-41302000,-39751000,-12623000,-18587000,2970000,1557000,1437000,-52374000,-247283000,-299657000,2884000,-296773000,-296773000,-297676000,-297676000,649804000,649804000,174335000,174335000,340365000,340365000,1164504000,3009407000,98772000,98772000,3150695000,4315199000,121740000,50754000,70986000,183110000,183110000,2340910000,71472059.0732946,226725000,170350000,226725000,2567635000,175725000,1570027000,-6446000,1739306000,1747564000,4315199000,-296773000,41302000,247929000,-32185000,-39727000,2859000,16909000,-2301000,0,-2301000,-25119000,-25119000,-25119000,1551000,2036060000,-30659000,0.34162,-0.30763,-2.30373,-0.17034,-0.06898,0.10299,0.49746,1.46927,0.47183,-204.01197,-204.01197,88.55738,1192.03176,-21.01212,-0.07423,-0.00764,893.78208,-34.87349
"28","2017_Q1",56.6462903225806,"Down",160749000,-83534000,77215000,-87762000,-41727000,-37592000,-10547000,-15915000,-21008000,663999.999999999,2841000,1588000,-26462000,-58793000,-85254999.9999999,-1717000,-86972000,-86972000,-94855000,-94855000,706404000,706404000,123262000,123262000,311621000,311621000,1141287000,2864762000,139535000,139535000,3049412000,4190699000,113303000,31599000,81704000,181286000,181286000,2328713000,-73836291.865567,210927000,164914000,210927000,2539640000,169933000,1475329000,-10344000,1634918000,1651059000,4190699000,-86972000,37592000,55570000,63960000,70150000,-5891000,-5891000,-2732000,-4927000,-7659000,56600000,56600000,56600000,27045000,2034124000,86831000,0.48035,-0.06561,-0.59008,-0.0574500000000001,-0.02263,-0.91541,0.49009,1.53819,0.48539,-65.00466,-65.00466,110.16219,1120.41844,59.50577,-0.02435,0.02229,49.0929899999998,-125.88603
"29","2017_Q2",26.837619047619,"Down",115106000,-85358000,29748000,-74888000,-33059000,-36287000,-45140000,-318741000,-10605000,-1157000,4517000,1680000,-363881000,-160234000,-524115000,-295000,-524410000,-524410000,-524434000,-524434000,683778000,683778000,116612000,116612000,318526000,318526000,1118916000,2659314000,92134000,92134000,2800664000,3919580000,1.01e+08,35087000,65913000,149066000,149066000,260172000,80863000.0000005,2452715000,2452715000,2533578000,2793750000,170228000,950895000,-10258000,1110865000,1125830000,3919580000,-524410000,36287000,458927000,5833000,-23363000,-1019000,4253000,-2316000,-1200000,-3516000,-22626000,-22626000,-22626000,-8853000,90969000,-3744000,0.25844,-0.39216,-4.5561,-0.46582,-0.1338,0.00714,4.30068,2.4815,0.02321,-11.12945,-11.12945,2.44276,23.57458,-0.07945,-0.14292,-0.00102,66.96137,13.13268
