"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"19","2018_Q3",11.0280952380952,"Up",22751000,-8246000,14505000,-20422000,-15555000,-9623000,-5932000,-4601000,-5917000,-331000,150000,-6248000,-6248000,-6248000,-6248000,-6248000,-6248000,23758000,23758000,13006000,13006000,1822000,1822000,41635000,9035000,14791000,1201000,23826000,65461000,10391000,1962000,8429000,10391000,4005000,4005000,29264000,39655000,252318000,-226512000,25806000,25806000,65461000,-6248000,989000,1739000,421000,-3099000,-534000,-534000,312000,312000,239000,-3394000,-3394000,-3394000,-4928000,25259000,0.63755,-0.26008,-0.27463,-0.24211,-0.09545,4.00683,1.53666,0.38586,-0.18178,-0.18178,0.66194,0.75082,-0.11346,-0.30459,-0.25368
"20","2018_Q4",11.8247619047619,"Up",23466000,-8261000,15205000,-19509000,-15823000,-10081000,-5742000,-3419000,-4304000,-165000,333000,-4469000,-4469000,-4469000,-4469000,-4469000,-4469000,77846000,77846000,12262000,12262000,5266000,1803000,95374000,8939000,14764000,1440000,23703000,119077000,10436000,1175000,9261000,10436000,3953000,3953000,29224000,39660000,310398000,-230981000,79417000,79417000,119077000,-4469000,981000,1527000,178000,-1783000,-659000,-659000,56603000,56603000,56530000,54088000,54088000,54088000,-3323000,25271000,0.64796,-0.18341,-0.19045,-0.05627,-0.03753,9.13894,0.49939,0.21222,-0.11558,-0.11558,0.60687,2.05386,-0.04114,15.82155,12.21538
"21","2019_Q1",19.0960655737705,"Up",25750000,-8704000,17046000,-20103000,-16711000,-10066000,-6645000,-3125000,-3057000,-48000,488000,-3105000,-3105000,-3105000,-3105000,-3105000,-3105000,77995000,77995000,13168000,13168000,5789000,2387000,96952000,8940000,14746000,1689000,23686000,120638000,11702000,2516000,9186000,13059000,3899000,3899000,27824000,40883000,313841000,-234086000,79755000,79755000,120638000,-3105000,970000,1541000,-632000,-1226000,-454000,-454000,1934000,1934000,1829000,149000,149000,149000,-2087000,25282000,0.66198,-0.11872,-0.12058,-0.03893,-0.02574,7.42415,0.51261,0.20957,-0.07615,-0.07615,0.63156,1.95612,-0.0285,25.25779,17.24338
"22","2019_Q2",24.9792063492064,"Up",29529000,-8513000,21016000,-23083000,-19381000,-12477000,-6904000,-3435000,-2067000,150000,453000,-1917000,-1917000,-1917000,-1917000,-1917000,-1917000,67841000,67841000,16615000,16615000,6160000,2392000,90616000,8114000,24807000,2387000,32921000,123537000,12852000,4064000,8788000,14329000,12582000,12582000,25436000,39765000,319775000,-236003000,83772000,83772000,123537000,-1917000,945000,1963000,-2002000,-1011000,-749000,-749000,4737000,4737000,-8394000,-10154000,-10154000,-10154000,-1122000,12854000,0.71171,-0.07,-0.06492,-0.02288,-0.01552,6.32396,0.47468,0.10405,-0.04656,-0.04656,0.71727,2.03485,-0.01755,49.00802,26.60232
"23","2019_Q3",26.6,"Up",30136000,-8777000,21359000,-24459000,-20863000,-13943000,-6920000,-3330000,-3100000,606000,841000,-2494000,-2494000,-2494000,-2494000,-2494000,-2494000,192647000,192647000,19626000,19626000,7677000,2573000,219950000,8150000,24277000,2341000,32427000,252377000,13881000,4061000,9820000,15321000,12231000,12231000,12816000,28137000,462737000,-238497000,224240000,224240000,252377000,-2494000,924000,2859000,-3744000,-2455000,-658000,-658000,140516000,140516000,127919000,124806000,124806000,124806000,-2176000,585000,0.70875,-0.10287,-0.08276,-0.01112,-0.00988,14.35611,0.12548,0.00232,-0.05468,-0.05468,0.66073,4.91641,-0.01052,88.26379,61.95548
"24","2019_Q4",25.88515625,"Down",30973000,-9114000,21859000,-23622000,-19712000,-13088000,-6624000,-3643000,-1763000,1033000,1091000,-730000,-730000,-730000,-730000,-730000,-730000,195662000,195662000,23613000,23613000,8804000,2196000,228079000,8488000,23740000,2450000,32228000,260307000,15328000,5568000,9760000,16772000,11872000,11872000,12511000,29283000,470251000,-239227000,231024000,231024000,260307000,-730000,967000,3013000,-4806000,-1556000,-226000,-226000,5007999.99999997,5007999.99999997,4797000,3015000,3015000,3014999.99999997,-796000,639000.000000001,0.70574,-0.05692,-0.02357,-0.00316,-0.0028,13.5988,0.12675,0.00245,-0.01501,-0.01501,0.63671,4.74914,-0.003,245.00377,110.61997
"25","2020_Q1",25.1698387096774,"Down",29730000,-10119000,19611000,-27808000,-22764000,-14183000,-8581000,-4443000,-8197000,739000,143000,-7458000,-7458000,-7458000,-7458000,-7458000,-7458000,159317000,159317000,19329000,19329000,9041000,2235000,187687000,8933000,78592000,2040000,87525000,275212000,16062000,2328000,13734000,17469000,17594000,17594000,18288000,35757000,486140000,-246685000,239455000,239455000,275212000,-7458000,1281000,3066000,4901000,1790000,-1100000,-41100000,3211000,3211000,2965000,-36345000,-36345000,-36345000,-6916000,694000,0.65964,-0.27571,-0.25086,-0.03115,-0.0271,10.744,0.14933,0.00252,-0.15181,-0.15181,0.60515,4.87408,-0.02894,22.93566,19.35135
"26","2020_Q2",24.9152380952381,"Down",31122000,-12243000,18879000,-31079000,-25397000,-17584000,-7813000,-4407000,-12200000,484000,539000,-11716000,-11716000,-11716000,-11716000,-11716000,-11716000,153132000,153132000,19091000,19091000,9139000,3045000,181362000,8788000,76950000,1905000,85738000,267100000,17744000,7665000,10079000,19194000,16736000,16736000,17484000,36678000,488823000,-258401000,230422000,230422000,267100000,-11716000,1972000,3741000,701999.999999998,-5301000,-665000,-665000.000000007,2084999.99999999,2084999.99999999,-219000,-6185000,-6185000,-6185000.00000001,-10228000,748000,0.60661,-0.39201,-0.37645,-0.05085,-0.04386,9.44889,0.15918,0.0028,-0.2353,-0.2353,0.62503,4.62763,-0.04726,14.89871,12.49049
"27","2020_Q3",31.78421875,"Up",20704000,-7655000,13049000,-24100000,-18658000,-10701000,-7957000,-4169000,-11051000,26000,91000,-11025000,-11025000,-11025000,-11025000,-11025000,-11025000,147450000,147450000,15306000,15306000,9932000,2891000,172688000,8640000,75409000,1874000,84049000,256737000,11610000,2224000,9386000,13105000,16684000,16684000,17485000,30590000,495573000,-269426000,226147000,226147000,256737000,-11025000,1957000,3941000,-3296000,-8423000,-649000,-649000,3764000,3764000,3390000,-5682000,-5682000,-5682000,-9094000,801000,0.63026,-0.53376,-0.53251,-0.04875,-0.04294,13.17726,0.13527,0.00312,-0.21957,-0.21957,0.41233,4.50383,-0.04525,16.12591,13.2702
"28","2020_Q4",46.34046875,"Up",31121000,-10370000,20751000,-24817000,-19501000,-10955000,-8546000,-4042000,-4066000,-58000,-178000,-4124000,-4124000,-4124000,-4124000,-4124000,-4124000,345080000,345080000,17629000,17629000,7606000,3150000,370315000,8914000,74922000,2906000,83836000,454151000,12377000,1932000,10445000,13919000,16751000,16751000,17507000,31426000,696275000,-273550000,422725000,422725000,454151000,-4124000,1990000,3951000,-64999.9999999995,1752000,-635000,-1634999.99999999,198096000,198096000,197513000,197630000,197630000,197630000,-2076000,756000,0.66678,-0.13065,-0.13252,-0.00976,-0.00908,26.605,0.07434,0.00166,-0.07513,-0.07513,0.56693,7.70082,-0.00937,165.85934,84.68372
"29","2021_Q1",57.5981967213115,"Up",34536000,-11187000,23349000,-31421000,-25562000,-13149000,-12413000,-4586000,-8072000,28000,28000,-8044000,-8044000,-8044000,-8044000,-8044000,-8044000,349364000,349364000,18461000,18461000,7854000,3197000,375679000,8990000,72494000,9845000,81484000,457163000,14821000,3116000,11705000,16781000,18340000,17511000,19150000,35931000,702826000,-281594000,421232000,421232000,457163000,-8044000,2025000,5886000,2394000,2261000,-888000,-888000,3595000,3595000,2911000,4284000,4284000,4284000,-6047000,810000,0.67608,-0.23373,-0.23292,-0.0191,-0.0176,22.38716,0.0853,0.00177,-0.13855,-0.13855,0.59485,7.25528,-0.01827,57.64081,43.18062
"30","2021_Q2",42.7604761904762,"Down",36703000,-12403000,24300000,-69715000,-62578000,-16296000,-46282000,-5336000,-45415000,-248000,-248000,-45663000,-45663000,-41868000,-41868000,-41868000,-41868000,324062000,324062000,27877000,27877000,10153000,3845000,362092000,10562000,652482000,3035000,663044000,1025136000,23391000,7137000,16254000,32709000,17333000,15836000,18196000,50905000,1297693000,-323462000,974231000,974231000,1025136000,-41868000,2550000,645000,-1888000,-40561000,-1196000,-575607000,597786000,597786000,591012000,-25156000,-25156000,-25156000,-42865000,863000,0.66207,-1.23736,-1.14072,-0.04298,-0.04084,11.0701,0.05225,0.00084,-0.78641,-0.78641,0.6894,18.29912,-0.04219,7.53993000000001,7.11657
"31","2021_Q3",43.63703125,"Up",55105000,-17472000,37633000,-45107000,-35135000,-19662000,-15473000,-6249000,-7474000,-1716000,-1716000,-9190000,-9190000,-9038000,-9038000,-9038000,-9038000,327545000,327545000,31864000,31864000,11937000,5263000,371346000,11813000,644276000,2253000,656089000,1027435000,29228000,8472000,20756000,36105000,19236000,17801000,20153000,56258000,1303677000,-332500000,971177000,971177000,1027435000,-9038000,4500000,6432000,-7000,1887000,-1527000,1473000,2630000,2630000,1920000,5280000,5280000,3483000,-2974000,917000,0.68293,-0.13563,-0.16401,-0.00931,-0.0088,10.28517,0.05793,0.00089,-0.13833,-0.13833,0.84342,14.8646,-0.00912,109.82784,43.7019
"32","2021_Q4",44.17890625,"Up",60370000,-21643000,38727000,-55408000,-42419000,-21947735.7072986,1409697.7070344,-8006000,-16681000,1202000,1202000,-15479000,-15479000,-14129000,-14129000,-14129000,-14129000,164029000,164029000,40309000,40309000,24970000,15146000,229308000,14868000,942180000,18386000,957048000,1186356000,40245000,11201000,29044000,50037000,28164000,21378000,29239000,79276000,1461849000,-346629000,1107080000,1107080000,1186356000,-14129000,6139000,7044000,-446999.999999999,-1393000,-1812000,-165457000,4038000.00000006,4038000.00000006,3215000,-163635000,-163635000,-163516000,-10542000,1075000,0.64149,-0.27631,-0.23404,-0.01276,-0.01191,4.58277,0.07161,0.00091,-0.20244,-0.20244,0.865,15.86252,-0.01243,15.4576,9.76884
"33","2022_Q1",28.6014516129032,"Down",67336000,-22882000,44454000,-56787000,-41061000,-23187695.4500991,-7410746.91370538,-10252000,-12333000,1016000,1016000,-11317000,-11317000,-10528000,-10528000,-10528000,-10528000,177161000,173197000,41461000,41461000,13255000,13255000,243102000,15098000,929625000,18990000,944723000,1187825000,51835000,12360000,39475000,64151000,27160000,21225000,27160000,91311000,1468754000,-357157000,1096514000,1096514000,1187825000,-10528000,6404000,5793000,6777000,8446000,-841000,385000,895000,895000,173000,9004000,9004000,9168000,-5929000,1127000,0.66018,-0.18316,-0.15635,-0.0096,-0.00886,3.78953,0.08327,0.00095,-0.13409,-0.13409,0.85764,13.96602,-0.00936,29.69034,14.27341
"34","2022_Q2",20.2014516129032,"Down",67783000,-23713000,44070000,-59318000,-44666000,-23754000,-20912000,-9166000,-15248000,784000,784000,-14464000,-14464000,-14461000,-14461000,-14461000,-14461000,163615000,163615000,42481000,42481000,20015000,20015000,238483000,16299000,918807000,18211000,935106000,1173589000,49816000,11273000,38543000,62543000,25856000,20595000,25856000,88399000,1477489000,-371618000,1085190000,1085190000,1173589000,-14461000,6556000,7444000,-8411000,-8872000,-2453000,-2453000,3537000,3537000,1990000,-9335000,-9335000,-9581999.99999997,-8692000,1079000,0.65016,-0.22495,-0.21334,-0.01333,-0.01232,3.8131,0.08146,0.00092,-0.20349,-0.20349,0.95382,15.2705,-0.013,18.69949,10.6595
"35","2022_Q3",22.501875,"Up",72864000,-25030000,47834000,-58567000,-43799000,-24001000,-19798000,-9377000,-10733000,1086000,1086000,-9647000,-9647000,-9532000,-9532000,-9532000,-9532000,163998000,153447000,40448000,40448000,15999000,15999000,235045000,17188000,891965000,17558000,909153000,1144198000,43893000,10328000,33565000,59345000,20702000,16097000,20702000,80047000,1483351000,-381150000,1064151000,1064151000,1144198000,-9532000,6492000,10753000,-8076000,-363000,-2510000,-9307000,340000,340000,-75000,-9745000,-9745000,-10168000,-4241000,1133000,0.65648,-0.1473,-0.13082,-0.00896,-0.00833,3.96065,0.07522,0.00099,-0.13336,-0.13336,1.01941,14.88803,-0.00878,38.4025,15.17423
