"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q3",27.3419047619048,"Up",110653000,-48413000,62240000,-52344000,-52344000,9896000,-1232000,-1234000,2000,8664000,8664000,-2212000,6452000,6452000,-75000,6377000,6377000,2423000,2423000,46000,102365000,11805000,10256000,1549000,116639000,144800000,2676000,2274000,153799000,270438000,42694000,19455000,23239000,85000,42779000,76867000,5499000,1400000,4099000,82366000,125145000,88901000,53122000,141931000,3362000,145293000,270438000,6452000,2760000,86000,-10896000,-1598000,-12798000,-13368000,13732000,709000,14441000,-525000,-525000,-525000,12656000,76952000,-8826000,0.56248,0.08943,0.05763,0.04389,0.02358,-1.38404,2.72655,0.86133,0.28455,0.19887,0.19423,3.45079,4.42621,-0.27524,0.028,-0.03875,5.88883,7.53122
"12","2018_Q4",28.5734920634921,"Up",106701000,-45730000,60971000,-63534000,-63534000,-2563000,-1580000,-1583000,2999.99999999999,-4143000,-4143000,1067000,-3076000,-3076000,-74000,-3150000,-3150000,2500000,2500000,339000,131448000,15939000,11975000,3964000,150226000,165885000,2083000,1681000,174291000,324517000,64915000,34200000,30715000,245000,65160000,93911000,22795000,1573000,21222000,116706000,181866000,89335000,49972000,139215000,3436000,142651000,324517000,-3076000,3118000,620000,-11579000,-10917000,-19080000,-18992000,29496000,28999.9999999997,29525000,-384000,-384000,-384000,555000,94156000,-31171000,0.57142,-0.02402,-0.02952,-0.02208,-0.00971000000000002,9.89556,2.30549,1.2749,0.29014,-0.0981799999999999,-0.0974399999999999,3.32578,4.33921,-0.97157,-0.01213,-0.12007,165.14595,-35.76122
"13","2019_Q1",23.7683606557377,"Down",250541000,-119290000,131251000,-101146000,-101146000,30105000,-2096000,-2311000,215000,28009000,28009000,-7537000,20472000,20472000,148000,20620000,20620000,731000,731000,28000,97685000,19754000,12640000,7114000,118198000,167109000,3703000,2995000,177107000,295305000,52111000,25363000,26748000,5e+05,52611000,44825000,37759000,9722000,28037000,82584000,135195000,89849000,70592000,160349000,-239000,160110000,295305000,20472000,4407000,8674000,21044000,54597000,-7158000,-7418000,-48810000,1523000,-47287000,-108000,-108000,-108000,34512000,45325000,55935000,0.52387,0.12016,0.0823,0.12879,0.06983,2.71266,2.24664,0.84439,0.15349,0.63877,0.63877,7.76125,4.96729,1.73275,0.08479,0.23,1.29213,1.48128
"14","2019_Q2",16.185873015873,"Down",114244000,-53326000,60918000,-70609000,-70609000,-9691000,-637000,-841000,204000,-10328000,-10328000,2683000,-7645000,-7645000,73000,-7571999.99999999,-7571999.99999999,992000,992000,359000,104289000,20471000,11977000,8494000,126111000,271608000,14944000,14542000,292819000,418930000,51790000,26710000,25080000,510000,62718000,68816000,136565000,9420000,127145000,205381000,268099000,90416000,61096000,151143000,-312000,150831000,418930000,-7645000,4392000,172000,-10030000,-13111000,-9803000,-9762000,22579000,-221000,22358000,-515000,-515000,-515000,-5299000,69326000,-27815000,0.53323,-0.08483,-0.06628,-0.0501999999999999,-0.01807,3.6734,2.01076,1.77748,0.16548,-0.23457,-0.23457,3.53905,4.6821,-0.86165,-0.02123,-0.0779700000000001,-12.89564,-7.05128
"15","2019_Q3",10.9446875,"Down",121963000,-57159000,64804000,-61482000,-61482000,3322000,-798000,-790000,-8000,2524000,2524000,-678000,1846000,1846000,90000,1936000,1936000,3468000,3468000,372000,114849000,18785000,12225000,6560000,137474000,251480000,38902000,38208000,296621000,434095000,59948000,36255000,23693000,525000,71370000,73016000,136409000,9028000,127381000,209425000,280795000,91075000,63032000,153702000,-402000,153300000,434095000,1846000,5013000,163000,-1956000,5066000,-6983000,-6951000,5639000,-168000,5471000,3586000,3586000,3586000,8335000,73541000,74000,0.53134,0.02724,0.01587,0.01263,0.00446,0.03822,1.92622,1.83167,0.16941,0.06008,0.06008,3.78473,4.76965,0.0023,0.00533,2e-04,8.40708,21.09362
"16","2019_Q4",9.320625,"Down",119768000,-54403000,65365000,-64037000,-64037000,1328000,-1442000,-1500000,58000,-114000.000000004,-114000.000000004,203999.999999999,89999.9999999981,89999.9999999981,93000,182999.999999996,182999.999999996,2187000,2187000,340000,183115000,18621000,11170000,7451000,204263000,258457000,48898000,48209000,313854000,518117000,103101000,55351000,47750000,541000,115522000,98350000,151267000,8732000,142535000,249617000,365139000,90451000,63214000,153473000,-495000,152978000,518117000,90000,6529000,-967000,-45231000,-39579000,-7740000,-7828000,44819000,395000,45214000,-2193000,-2193000,-2193000,7857000,98891000,-45318000,0.54576,0.01109,0.00152999999999999,0.00119999999999997,0.000350000000000005,-247.63934,1.76817,2.38687,0.19087,0.00565,0.00565000000000011,3.69757,4.73814,-1.39909,0.000449999999999994,-0.11241,12.30801,72.81928
"17","2020_Q1",7.43951612903226,"Down",259649000,-122587000,137062000,-103913000,-103913000,33149000,-1303000,-1340000,37000,31846000,31846000,-7638000,24208000,24208000,166000,24374000,24374000,2189000,2189000,1470000,147849000,10684000,9503000,1181000,162192000,257502000,47924000,47924000,311858000,474050000,65944000,33053000,32891000,1557000,79775000,66110000,152059000,8505000,143554000,218169000,297944000,90902000,87589000,178272000,-2166000,176106000,474050000,24208000,6149000,128000,25486000,55971000,-6263000,-6146000,-51634000,86000,-51548000,-1723000,-1723000,-1723000,39298000,67667000,66159000,0.52787,0.12767,0.09387,0.13841,0.05142,2.71433,2.03312,1.69184,0.14274,0.7537,0.74797,8.02897,5.5126,2.0458,0.06158,0.16714,1.66619,1.97526
"18","2020_Q2",5.10650793650794,"Down",109917000,-57585000,52332000,-71306000,-71306000,-18974000,-1291000,-1350000,59000,-20265000,-20265000,5086000,-15179000,-15179000,44000,-15135000,-15135000,8854000,8854000,3459000,175037000,9640000,9473000,167000,196990000,254583000,48338000,48338000,308622000,505612000,69946000,34421000,35525000,573000,82590000,112396000,149775000,8302000,141473000,262171000,344761000,91451000,72454000,163061000,-2210000,160851000,505612000,-15179000,6689000,1109000,-26110000,-33491000,-4133000,-4102000,44910000,-257000,44653000,7060000,7060000,7060000,-12285000,112969000,-47614000,0.4761,-0.17262,-0.13769,-0.09409,-0.02993,3.14595000000004,2.38516,2.14336,0.22343,-0.46753,-0.46753,3.39543,5.0371,-1.47084,-0.03573,-0.1124,-8.47497,-5.48725
"19","2020_Q3",9.27640625,"Up",137375000,-64903000,72472000,-62680000,-62680000,9792000,-2028000,-1778000,-250000,7764000,7764000,-1866000,5898000,5898000,43000,5941000,5941000,19005000,19005000,2095000,167584000,13109000,9075000,254000,201793000,250659000,47727000,47727000,304390000,506183000,71457000,40141000,31316000,589000,84121000,104512000,150150000,11710000,138440000,254662000,338783000,91921000,78395000,169653000,-2253000,167400000,506183000,5898000,6603000,4320000,3868000,20689000,-4709000,-5033000,-5769000,-19000,-5788000,9868000,9868000,9868000,16395000,105101000,17420000,0.52755,0.07128,0.04325,0.03549,0.01174,2.93217,2.39884,2.02379,0.20763,0.18312,0.18312,4.23422,5.2291,0.53693,0.01406,0.04122,5.25136,8.79248
"20","2020_Q4",13.63859375,"Up",135531000,-64494000,71037000,-68189000,-68189000,2848000,-1556000,-1643000,87000,1292000,1292000,-393000,899000,899000,41000,940000,940000,12800000,12800000,1534000,213403000,15151000,10515000,1087000,242888000,250358000,55479000,55479000,311859000,554747000,89443000,57051000,32392000,3106000,106275000,116776000,162936000,11886000,151050000,279712000,385987000,92385000,79335000,171054000,-2294000,168760000,554747000,899000.000000004,7917000,385000,-25013000,-15812000,-2217000,-2348000,11749000,43000,11792000,-6368000.00000001,-6368000.00000001,-6368000.00000001,10765000,119882000,-16072000,0.52414,0.02101,0.00694,0.00557000000000001,0.00168999999999999,-17.09787,2.28547,2.28719,0.2161,0.02894,0.02894,4.17314,5.26693,-0.49487,0.00208,-0.03559,9.94724,37.59902
"21","2021_Q1",13.9081967213115,"Up",255960000,-120275000,135685000,-105136000,-105136000,30549000,-1323000,-1492000,169000,29226000,29226000,-7464000,21762000,21762000,69000,21831000,21831000,46584000,46584000,2820000,149052000,11217000,10203000,1014000,209673000,124237000,174919000,174919000,305267000,514940000,78912000,33647000,45265000,3123000,95714000,72979000,155786000,8200000,147586000,228765000,324479000,92875000,101166000,193461000,-3e+06,190461000,514940000,21762000,7311000,-8205000,58497000,79365000,-684000,-649000,-44413000,118000,-44295000,34421000,34421000,34421000,37860000,76102000,103137000,0.5301,0.11935,0.08529,0.11462,0.0424,4.72434,2.19062,1.70365,0.14779,0.67183,0.661,7.8769,5.95356,3.17393,0.05169,0.2442,0.77966,0.96625
"22","2021_Q2",16.4953968253968,"Up",133419000,-66876000,66543000,-64648000,-64648000,1895000,-1292000,-1308000,16000,602999.999999996,602999.999999996,-105000,498000,498000,46000,544000,544000,26054000,26054000,2558000,144185000,11782000,10980000,802000,184579000,119783000,171456000,171456000,297585000,482164000,78677000,40091000,38586000,18266000,110710000,27079000,152432000,8252000,144180000,179511000,290221000,93378000,101710000,194352000,-2409000,191943000,482164000,498000.000000004,7274000,274000,4376999.99999999,12423000,-2009000,-1974000,-31391000,-225000,-31616000,-21167000,-21167000,-21167000,9168999.99999999,45345000,11642000,0.49875,0.0142,0.00408000000000001,0.00283,0.00113,21.40074,1.66723,1.51202,0.09404,0.0167200000000002,0.0166299999999999,4.10015,5.97271,0.35778,0.00139999999999999,0.02987,2.10394,10.17995
"23","2021_Q3",15.94953125,"Down",149127000,-67701000,81426000,-68339000,-68339000,13087000,-1126000,-1182000,56000,11961000,11961000,-3014000,8947000,8947000,45000,8992000,8992000,18921000,18921000,2912000,134887000,13129000,13090000,39000,169849000,117571000,169009000,169009000,293309000,463158000,70991000,37717000,33274000,658000,85684000,26928000,148644000,8061000,140583000,175572000,261256000,94080000,110703000,204356000,-2454000,201902000,463158000,8947000,7242000,-732000,-1368000,14089000,-2920000,-2884000,-18399000,61000,-18338000,-7133000,-7133000,-7133000,20329000,27586000,19055000,0.54602,0.08776,0.0603,0.04454,0.01941,2.11911,1.98227,1.29397,0.05956,0.27563,0.27371,4.57108,6.26398,0.58408,0.02378,0.05039,0.42624,0.66211
"24","2021_Q4",15.10859375,"Down",145277000,-61627000,83650000,-78792000,-78792000,4858000,-1165000,-9e+05,-265000,3693000,3693000,-930000.000000001,2763000,2763000,43000,2806000,2806000,19753000,19753000,5133000,165078000,16027000,14787000,635000,205991000,114579000,180412000,180412000,301589000,507580000,100989000,59157000,41832000,674999.999999998,116705000,26773000,159416000,8092000,151324000,186189000,302894000,93817000,113509000,207820000,-3134000,204686000,507580000,2764000,7306000,-722000,-3102000,6246000,-4124000,-4087000,-811000,121000,-690000,1469000,1469000,1469000,12164000,27448000,5868000,0.5758,0.03344,0.01931,0.01371,0.00553,2.09123,1.76506,1.4798,0.05408,0.0861200000000001,0.08559,4.45881,6.37837,0.1801,0.00717000000000001,0.01499,0.6326,1.58399
"25","2022_Q1",13.988064516129,"Down",270761000,-125056000,145705000,-121446000,-121446000,24259000,-1079000,-1327000,248000,23180000,23180000,-5838000,17342000,17342000,18000,17360000,17360000,77051000,77051000,5455000,122672000,17343000,17333000,10000,222521000,110078000,176397000,176397000,293029000,515550000,99720000,45402000,47504000,693000,115996000,26608000,150228000,2867000,147361000,176836000,292832000,94513000,130868000,225870000,-3152000,222718000,515550000,17341000,7403000,-6111000,40590000,59223000,-1244000,-1205000,-831000,111000,-720000,57298000,57298000,57298000,31662000,27301000,76846000,0.53813,0.0896,0.06412,0.07795,0.03367,4.42661,1.91835,1.31481,0.05296,0.53172,0.5299,8.29309,6.91813,2.3537,0.04337,0.192,-1.57128,-2.05079
"26","2022_Q2",11.6291935483871,"Down",122904000,-55841000,67063000,-67994000,-67994000,-931000,-830000,-876000,46000,-1761000,-1761000,438000,-1323000,-1323000,29000,-1294000,-1294000,40370000,40370000,5097000,152244000,16422000,16422000,-692034.837604833,214133000,108283000,174311000,174311000,288660000,502793000,91519000,54523000,36996000,711000,108151000,26440000,146813000,2791000,144022000,173253000,281404000,96299000,129575000,224570000,-3181000,221389000,502793000,-1323000,7520000,-326000,-37588000,-31717000,-3882000,-3843000,-832000,-289000,-1121000,-36681000,-36681000,-36681000,6589000,27151000,-35319000,0.54565,-0.00758000000000002,-0.01053,-0.00583999999999998,-0.00257000000000001,27.29444,1.97994,1.27108,0.054,-0.0396200000000001,-0.03944,3.76314,6.876,-1.08141,-0.00327,-0.08934,-2.00622,14.19871
"27","2022_Q3",8.93734375,"Down",141511000,-65903000,75608000,-71739000,-71739000,3869000,-801000,-879000,78000,3068000,3068000,-727000,2341000,2341000,27000,2368000,2368000,15369000,15369000,5764000,164499000,16876000,16841000,35000,202508000,114616000,170374000,170374000,290813000,493321000,83148000,53604000,28961000,729000,100062000,26271000,142607000,2729000,139878000,168878000,268940000,97102000,131943000,227589000,-3208000,224381000,493321000,2341000,7854000,1121000,-20737000,-9421000,-14924000,-14884000,-842000,146000,-696000,-25001000,-25001000,-25001000,11723000,2.7e+07,-23211000,0.53429,0.02734,0.01673,0.01055,0.0048,-9.80194,2.02383,1.19859,0.05473,0.0725,0.07218,4.33285,6.96843,-0.71069,0.00601,-0.05891,0.99215,3.0062
