"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q2",21.1378125,"Up",-2401000,-1218000,-1183000,-443000,35000,35000,-408000,-408000,-408000,-408000,-408000,-408000,54391000,51591000,127000,54518000,352000,54870000,1862000,366000,1496000,9694000,31766000,31329000,31766000,41460000,149468000,-136059000,13410000,13410000,54870000,-408000,-38447.8357549585,-1286000,-179000,-1873000,2236000,2236000,2236000,-2056318.71976507,0,-0.03043,-0.00744,5.62389,3.09172,0,-0.06354,-0.06354,2.08853,-0.00903,122.77878
"12","2013_Q3",17.48140625,"Down",-2278000,-1139000,-1139000,-319000,18000,18000,-301000,-301000,-301000,-301000,-301000,-301000,52845000,51545000,2999.99999999997,52848000,352000,53200000,1386000,435000,951000,9218000,29807000,29370000,29807000,39025000,150534000,-136360000,14175000,14175000,53200000,-301000,-44711.029004715,-1148000,-352000,-1801000,-46000.0000000075,-46000.0000000075,-46000.0000000075,-2557554.07507207,0,-0.02123,-0.00566,5.73313,2.75309,0,-0.04681,-0.0468099999999999,2.20434,-0.00684000000000002,165.65831
"13","2013_Q4",26.551875,"Up",-2734000,-1290000,-1444000,-776000,14000,14000,-762000,-762000,-762000,-762000,-762000,-762000,51027000,49727000,389000,51416000,340000,51756000,1823000,531000,1292000,9655000,27849000,27412000,27849000,37504000,151373000,-137122000,14252000,14252000,51756000,-762000,-31450.3043769922,-1120000,63000,-1819000,-1818000,-1818000,-1818000,-3112730.07049653,0,-0.05347,-0.01472,5.32532,2.63149,0,-0.1184,-0.1184,2.21444,-0.0181,65.75644
"14","2014_Q1",35.3029508196721,"Up",-2341000,-1190000,-1151000,32903000,39000,39000,32942000,32942000,33015000,33015000,33015000,33015000,49838000,48588000,265000,50103000,203815.810128027,50103000,1798000,445000,1353000,1801000,-3.72529029846191e-09,0,-3.72529029846191e-09,1801000,152408000,-104107000,48302000,48302000,50103000,33015000,-11326.3864995129,-34495000,26000.0000000001,-1454000,-1139000,-1139000,-1139000,-3490870.710614,0,0.68351,0.65894,27.81954,0.03729,0,5.12752,5.03763,7.50172,0.68351,-1.51469
"15","2014_Q2",37.0044444444444,"Up",-3464000,-1317000,-2147000,-3464000,14000,14000,-3450000,-3450000,-3450000,-3450000,-3450000,-3450000,47102000,45852000,141000,47243000,76000,47319000,1608000,428000,1180000,1618000,0,0,0,1618000,153257000,-107557000,45701000,45701000,47319000,-3450000,3000,790000,-66000,-2723000,-2736000,-2736000,-2736000,-3461000,0,-0.07549,-0.07291,29.19839,0.0354,0,-0.535,-0.535,7.08691,-0.07549,13.59758
"16","2014_Q3",30.384375,"Down",-3256000,-1322000,-1934000,-3256000,11000,11000,-3245000,-3245000,-3245000,-3245000,-3245000,-3245000,44825000,44575000,482000,45307000,84000,45391000,1739000,360000,1379000,1739000,0,0,0,1739000,154454000,-110802000,43652000,43652000,45391000,-3245000,4000,872000,-222000,-2591000,-1277000,-1277000,-1277000,-3252000,0,-0.0743399999999999,-0.0714900000000001,26.05348,0.03984,0,-0.50187,-0.501869999999999,6.75122,-0.07434,13.76689
"17","2014_Q4",17.31359375,"Down",-3546000,-1429000,-2117000,-3546000,11000,11000,-3535000,-3535000,-3535000,-3535000,-3535000,-3535000,43152000,42052000,358000,43510000,81000,43591000,2383000,822000,1561000,2383000,0,0,0,2383000,155544000,-114337000,41208000,41208000,43591000,-3535000,3000,1092000,768000,-1672000,-2523000,-2523000,-2523000,-3543000,0,-0.08578,-0.08109,18.2585,0.05783,0,-0.54553,-0.54553,6.35931,-0.08578,12.1692
"18","2015_Q1",13.4939344262295,"Down",-2167000,-1059000,-1108000,-2167000,11000,11000,-2156000,-2156000,-2156000,-2156000,-2156000,-2156000,40590000,40590000,239000,40829000,77000,40906000,850000,173000,677000,850000,0,0,0,850000,156548000,-116493000,40056000,40056000,40906000,-2156000,5000,1002000,-1414000,-2563000,-1462000,-1462000,-1462000,-2162000,0,-0.05382,-0.05271,48.03412,0.02122,0,-0.33265,-0.33265,6.18017,-0.05382,18.73096
"19","2015_Q2",13.7004761904762,"Up",-2595000,-1457000,-1138000,-2595000,12000,12000,-2583000,-2583000,-2583000,-2583000,-2583000,-2583000,39248000,37249000,119000,39367000,268000,39635000,1200000,255000,945000,1200000,0,0,0,1200000,157510000,-119076000,38435000,38435000,39635000,-2583000,4000,962000,470000,-1147000,-3341000,-3341000,-3341000,-2591000,0,-0.0672,-0.06517,32.80583,0.03122,0,-0.39853,-0.39853,5.93007,-0.0672,15.12447
"20","2015_Q3",12.6190625,"Down",-3387000,-1401000,-1986000,-3387000,13000,13000,-3374000,-3374000,-3374000,-3374000,-3374000,-3374000,37302000,36352000,2e+05,37502000,254000,37756000,1813000,465000,1348000,1813000,-3.63797880709171e-12,0,-3.63797880709171e-12,1813000,158392000,-122450000,35943000,35943000,37756000,-3374000,14000,880000,532000,-1948000,-897000,-897000,-897000,-3373000,0,-0.09387,-0.08936,20.68505,0.05044,0,-0.52057,-0.52057,5.54558,-0.09387,11.01329
"21","2015_Q4",13.2315625,"Up",-3686000,-1330000,-2356000,-3686000,15000,15000,-3671000,-3671000,-3671000,-3671000,-3671000,-3671000,34893000,33993000,520000,35413000,240000,35653000,2586000,898000,1688000,2586000,0,0,0,2586000,159187000,-126121000,33067000,33067000,35653000,-3671000,14000,794000,453000,-2410000,-2359000,-2359000,-2359000,-3672000,0,-0.11102,-0.10296,13.69412,0.0782,0,-0.56639,-0.56639,5.10185,-0.11102,9.46636
"22","2016_Q1",12.9380327868852,"Down",-4534000,-914000,-3620000,-4534000,17000,17000,-4517000,-4517000,-4517000,-4517000,-4517000,-4517000,31299000,31299000,392000,31691000,227000,31918000,2551000,1034000,1517000,2551000,0,0,0,2551000,160005000,-130638000,29367000,29367000,31918000,-4517000,13000,817000,139000,-3548000,-2694000,-2694000,-2694000,-4521000,0,-0.15381,-0.14152,12.42297,0.08687,0,-0.69692,-0.69692,4.53098,-0.15381,6.90318
"23","2016_Q2",15.85984375,"Up",-5829000,-2234000,-3595000,-5829000,34000,34000,-5795000,-5795000,-5795000,-5795000,-5795000,-5795000,28114000,26614000,299000,28413000,213000,28626000,3344000,1043000,2301000,3344000,0,0,0,3344000,161715000,-136433000,25282000,25282000,28626000,-5795000,14000,1707000,932000,-3142000,-4685000,-4685000,-4685000,-5815000,0,-0.22921,-0.20244,8.49671,0.13227,0,-0.8941,-0.8941,3.90072,-0.22921,4.82313
"24","2016_Q3",16.56796875,"Up",-3044000,-1455000,-1589000,-3044000,29000,29000,-3015000,-3015000,-3015000,-3015000,-3015000,-3015000,24626000,24626000,115000,24741000,199000,24940000,1953000,378000,1575000,1953000,-1.4210854715202e-14,-1.4210854715202e-14,-1.4210854715202e-14,1953000,162435000,-139448000,22987000,22987000,24940000,-3015000,14000,934000,-1207000,-3274000,-1988000,-1988000,-1988000,-3030000,0,-0.13116,-0.12089,12.6682,0.08496,0,-0.46181,-0.46181,3.52095,-0.13116,8.09001
"25","2016_Q4",4.63746031746032,"Down",-3541000,-884000,-2657000,-3541000,23000,23000,-3518000,-3518000,-3518000,-3518000,-3518000,-3518000,21764000,21214000,456000,22220000,262000,22482000,2167000,1083000,1084000,2167000,0,0,0,2167000,163280000,-142966000,20315000,20315000,22482000,-3518000,13000,845000,-127000,-2787000,-3412000,-3412000,-3412000,-3528000,0,-0.17317,-0.15648,10.25381,0.10667,0,-0.53833,-0.53833,3.10865,-0.17317,6.14629
"26","2017_Q1",4.53806451612903,"Down",-2543000,-1208000,-1335000,-2543000,21000,21000,-2522000,-2522000,-2522000,-2522000,-2522000,-2522000,18714000,16615000,356000,19070000,232000,19302000,665000,303000,362000,665000,0,0,0,665000,164125000,-145488000,18637000,18637000,19302000,-2522000,17000,840000,-1366000,-3031000,-4599000,-4599000,-4599000,-2526000,0,-0.13532,-0.13066,28.67669,0.03568,0,-0.38592,-0.38592,2.85187,-0.13532,7.35902
"27","2017_Q2",4.72,"Up",-2764000,-1376000,-1388000,-2764000,21000,21000,-2743000,-2743000,-2743000,-2743000,-2743000,-2743000,17264000,17264000,126000,17390000,214000,17604000,883000,573000,310000,883000,0,0,0,883000,164952000,-148231000,16721000,16721000,17604000,-2743000,18000,825000,448000,-1452000,649000,649000,649000,-2746000,0,-0.16405,-0.15582,19.69422,0.05281,0,-0.41974,-0.41974,2.55868,-0.16405,6.24602
"28","2017_Q3",3.57650793650794,"Down",-4166000,-1102000,-3064000,-4166000,6000,6000,-4160000,-4160000,-4160000,-4160000,-4160000,-4160000,14067000,14067000,12000,14079000,190000,14269000,999000,658000,341000,999000,-8.88178419700125e-16,8.88178419700125e-16,-8.88178419700125e-16,999000,165661000,-152391000,13270000,13270000,14269000,-4160000,16000,709000,238000,-3197000,-3197000,-3197000,-3197000,-4150000,0,-0.31349,-0.29154,14.09309,0.07528,0,-0.63638,-0.63638,2.02998,-0.31349,3.37662
"29","2017_Q4",4.03746031746032,"Up",-2596000,-977000,-1619000,-2596000,6000,6000,-2590000,-2590000,-2590000,-2590000,-2590000,-2590000,11916000,11916000,288000,12204000,173000,12377000,1010000,712000,298000,1010000,0,0,0,1010000,166349000,-154982000,11367000,11367000,12377000,-2590000,17000,687000,-265000,-2151000,-2151000,-2151000,-2151000,-2579000,0,-0.22785,-0.20926,12.08317,0.08885,0,-0.39609,-0.39609,1.73834,-0.22785,4.59014
"30","2018_Q1",6.74934426229508,"Up",-2423000,-879000,-1544000,-2423000,5000,5000,-2418000,-2418000,-2418000,-2418000,-2418000,-2418000,10479000,10479000,184000,10663000,168000,10831000,1132000,424000,708000,1132000,1.4210854715202e-14,-1.4210854715202e-14,1.4210854715202e-14,1132000,167098000,-157399000,9699000,9699000,10831000,-2418000,17000,750000,214000,-1437000,-1437000,-1437000,-1437000,-2406000,0,-0.2493,-0.22325,9.41961,0.11671,0,-0.36989,-0.36989,1.48371,-0.2493,4.3248
"31","2018_Q2",8.57421875,"Up",-2167000,-1099000,-1068000,-2167000,7000,7000,-2160000,-2160000,-2160000,-2160000,-2160000,-2160000,10734000,10734000,155000,10889000,169000,11058000,748000,421000,327000,758000,0,0,0,758000,169859000,-159559000,10300000,10300000,11058000,-2160000,17000,812000,-312000,-1643000,255000,255000,255000,-2150000,0,-0.20971,-0.19533,14.36544,0.07359,0,-0.3254,-0.3254,1.55167,-0.20971,4.95339
"32","2018_Q3",1.51920634920635,"Down",-2462000,-998000,-1464000,-2462000,9000,9000,-2453000,-2453000,-2453000,-2453000,-2453000,-2453000,9608000,9608000,91000,9699000,134000,9833000,1275000,962000,313000,1287000,2.27373675443232e-13,1.13686837721616e-13,2.27373675443232e-13,1287000,170558000,-162012000,8546000,8546000,9833000,-2453000,17000,701000,609000,-1126000,-1126000,-1126000,-1126000,-2445000,0,-0.28703,-0.24947,7.53613,0.1506,0,-0.35863,-0.35863,1.24942,-0.28703,3.90252
"33","2018_Q4",1.14936507936508,"Down",-1283000,-848000,-435000,-1283000,16000,16000,-1267000,-1267000,-1267000,-1267000,-1267000,-1267000,20444000,20444000,276000,20720000,116000,20836000,854000,549000,305000,862000,0,0,0,862000,183253000,-163279000,19974000,19974000,20836000,-1267000,18000,480000,-667000,-1436000,10836000,10836000,10836000,-1265000,0,-0.06343,-0.06081,24.03712,0.04316,0,-0.10544,-0.10544,1.66228,-0.06343,15.93453
"34","2019_Q1",1.14704918032787,"Down",-750000,-748000,-2000.00000000023,-750000,73000,73000,-677000,-677000,-677000,-677000,-677000,-677000,19807000,19807000,233000,20040000,99000,20139000,511000,294000,217000,511000,-1.81898940354586e-12,1.81898940354586e-12,-1.81898940354586e-12,511000,183584000,-163956000,19628000,19628000,20139000,-677000,17000,395000,-3e+05,-565000,-636999.999999996,-636999.999999996,-636999.999999996,-733000,0,-0.03449,-0.03362,39.21722,0.02603,0,-0.03928,-0.03928,1.13891,-0.03449,26.40933
"35","2019_Q2",1.13396825396825,"Down",-1451000,-877000,-574000,-1451000,92000,92000,-1359000,-1359000,-1359000,-1359000,-1359000,-1359000,19125000,19125000,140000,19265000,258000,19523000,8e+05,495000,305000,902000,68000,68000,68000,970000,183868000,-165315000,18553000,18553000,19523000,-1359000,17000,356000,382000,-604000,-682000,-682000,-682000,-1434000,0,-0.07325,-0.06961,21.35809,0.05228,0,-0.07919,-0.07919,1.08105,-0.07298,13.18057
"36","2019_Q3",1.2840625,"Up",-1153000,-845000,-308000,-1153000,94000,94000,-1059000,-1059000,-1059000,-1059000,-1059000,-1059000,18534000,18534000,49000,18583000,222000,18805000,833000,594000,239000,937000,45000,45000,45000,982000,184197000,-166374000,17823000,17823000,18805000,-1059000,13000,331000,124000,-591000,-591000,-591000,-591000,-1140000,0,-0.05942,-0.05631,19.83244,0.0551,0,-0.06171,-0.06171,1.03852,-0.05927,16.07459
"37","2019_Q4",1.72640625,"Up",-779000,-831000,52000,-779000,82000,82000,-697000,-697000,-697000,-697000,-697000,-697000,17804000,17804000,385000,18189000,186000,18375000,810000,340000,470000,907000,23000,23000,23000,930000,184516000,-167071000,17445000,17445000,18375000,-697000,14000,312000,-359000,-730000,-730000,-730000,-730000,-765000,0,-0.03995,-0.03793,20.05402,0.05331,0,-0.04061,-0.04061,1.01649,-0.0399,22.85494
"38","2020_Q1",6.62032258064516,"Up",-1576000,-838000,-738000,-1576000,60000,60000,-1516000,-1516000,-1516000,-1516000,-1516000,-1516000,23081000,23081000,268000,23349000,137000,23486000,1288000,453000,835000,1387000,26203.3564275558,26203.3564275483,26203.3564275558,1387000,190686000,-168587000,22099000,22099000,23486000,-1516000,14000,297000,616000,-589000,5277000,5277000,5277000,-1562000,0,-0.0686,-0.06455,16.83417,0.06276,0,-0.08347,-0.08347,1.21677,-0.0686,14.6453
"39","2020_Q2",4.53539682539683,"Down",-1322000,-778000,-544000,-1322000,72000,72000,-1250000,-1150000,-1150000,-1150000,-1150000,-1150000,25600000,25600000,277000,25877000,1e+05,25977000,1067000,608000,459000,1145000,0,0,0,1145000,194569000,-169737000,24832000,24832000,25977000,-1150000,14000,170000,-228000,-1194000,2519000,2519000,2519000,-1308000,0,-0.04631,-0.04427,22.6,0.04611,0,-0.04698,-0.04698,1.01434,-0.04631,19.3646
"40","2020_Q3",4.508125,"Down",-1409000,-818000,-591000,-1409000,27000,27000,-1382000,-1136000,-1136000,-1136000,-1136000,-1136000,25254000,25254000,186000,25440000,58000,25498000,1255000,416000,839000,1314000,0,0,0,1314000,195057000,-170873000,24184000,24184000,25498000,-1136000,6000,6000,282000,-842000,-346000,-346000,-346000,-1403000,0,-0.04697,-0.04455,19.36073,0.05433,0,-0.04585,-0.04585,0.97599,-0.04697,17.92335
"41","2020_Q4",8.92796875,"Up",-1437000,-1038000,-399000,-1437000,7000,7000,-1430000,-1430000,-1430000,-1430000,-1430000,-1430000,24074000,24074000,997000,25071000,328000,25399000,1103000,465000,638000,1168000,258000,258000,258000,1426000,196276000,-172303000,23973000,23973000,25399000,-1430000,1000,228000,-970000,-2171000,-1180000,-1180000,-1180000,-1436000,0,-0.05965,-0.0563,21.4649,0.05948,0,-0.05726,-0.05726,0.95988,-0.05902,16.75296
"42","2021_Q1",39.33,"Up",-2624000,-1105000,-1519000,-2624000,6000,6000,-2618000,-2618000,-2618000,-2618000,-2618000,-2618000,93506000,93506000,488000,93994000,306000,94300000,1713000,911000,802000,1865000,235000,235000,235000,2100000,267121000,-174921000,92200000,92200000,94300000,-2618000,1000,238000,1204000,-1175000,69432000,69432000,69432000,-2623000,0,-0.02839,-0.02776,50.39893,0.02278,0,-0.08673,-0.08673,3.0545,-0.02832,35.63491
"43","2021_Q2",53.5674603174603,"Up",-3533000,-1004000,-2529000,-3533000,7000,7000,-3526000,-3526000,-3526000,-3526000,-3526000,-3526000,282192000,282192000,1574000,283766000,284000,284050000,2516000,864000,1652000,2650000,213000,213000,213000,2863000,459634000,-178447000,281187000,281187000,284050000,-3526000,999.999999999998,250000,969000,-2306000,188686000,188686000,188686000,-3532000,0,-0.01254,-0.01241,107.08151,0.01018,0,-0.09348,-0.09348,7.45439,-0.01253,79.8732
"44","2021_Q3",83.45828125,"Up",-5138000,-1237000,-3901000,-5138000,13000,13000,-5125000,-5125000,-5125000,-5125000,-5125000,-5125000,278254000,278254000,1304000,279558000,1747000,281305000,4494000,1912000,2582000,4637000,188000,188000,188000,4825000,460052000,-183572000,276480000,276480000,281305000,-5125000,8000,415000,-437000,-5139000,-3938000,-3938000,-3938000,-5130000,0,-0.01854,-0.01822,60.28855,0.01745,0,-0.13587,-0.13587,7.3296,-0.01852,54.15609
"45","2021_Q4",52.43984375,"Down",-9753000,-1712000,-8041000,-9753000,191000,15000,-9562000,-9562000,-9562000,-9562000,-9562000,-9562000,241524000,241524000,10391000,251915000,22334000,274249000,5722000,2345000,3377000,6326000,358000,358000,358000,6684000,460699000,-193134000,267565000,267565000,274249000,-9562000,212000,572000,-5986000,-14764000,-36730000,-36730000,-36730000,-9541000,0,-0.03574,-0.03487,39.82216,0.02498,0,-0.23931,-0.23931,6.69632,-0.03569,24.76407
"46","2022_Q1",42.3706451612903,"Down",-14444000,-4102000,-10342000,-14444000,272000,14000,-14172000,-14172000,-14172000,-14172000,-14172000,-14172000,233437000,233437000,11045000,244482000,22300000,266782000,11806000,7126000,4680000,12534000,333000,333000,333000,12867000,461221000,-207306000,253915000,253915000,266782000,-14172000,313000,522000,5350000,-7987000,-8087000,-8087000,-8087000,-14131000,0,-0.05581,-0.05312,19.50551,0.05067,0,-0.35468,-0.35468,6.35471,-0.05574,16.16152
"47","2022_Q2",25.2545161290323,"Down",-17821000,-2915000,-14906000,-17821000,294000,31000,-17527000,-17527000,-17527000,-17527000,-17527000,-17527000,209693000,209693000,12507000,222200000,21991000,244191000,6429000,3332000,3097000,6789000,308000,308000,308000,7097000,461927000,-224833000,237094000,237094000,244191000,-17527000,313000,495000,-6811000,-23530000,-23744000,-23744000,-23744000,-17508000,0,-0.07392,-0.07178,32.72942,0.02993,0,-0.43861,-0.43861,5.93328,-0.07383,11.76662
"48","2022_Q3",27.0065625,"Up",-19917000,-2969000,-16948000,-19917000,589000,314000,-19328000,-19328000,-19328000,-19328000,-19328000,-19328000,197232000,197232000,6969000,204201000,23180000,227381000,8252000,4758000,3494000,8722000,289000,289000,289000,9011000,462531000,-244161000,218370000,218370000,227381000,-19328000,299000,485000,7430000,-11114000,-12461000,-12461000,-12461000,-19618000,0,-0.08851,-0.085,23.41218,0.04126,0,-0.48368,-0.48368,5.46471,-0.08839,9.9027
