"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",31.2415625,"Up",106195000,-59668000,46527000,-37563000,-23155000,-14408000,8964000,-96000,-96000,8868000,8868000,-513000,8355000,8355000,8355000,8355000,137445000,123576000,27280000,27280000,32160000,31403000,12063000,228288000,23629000,95334000,8623000,10501000,118963000,347251000,43781000,29804000,13977000,3629000,3629000,47410000,12030000,5033000,6997000,12030000,59440000,203808000,83792000,211000,287811000,287811000,347251000,8355000,3284000,2630000,-14113000,156000,-1077000,-1547000,-4624000,1744000,1744000,-470000,1274000,-3194000,-3194000,-3194000,12248000,0,-2429000,0.43813,0.08441,0.07868,0.02903,0.02406,-0.29072,4.81519,0.20652,0,0.29914,0.29256,3.80218,10.30473,-0.08697,0.02786,-0.0081,-11.22183,-15.333
"12","2013_Q3",35.84421875,"Up",122845094.138469,-67594273.206135,61605000,-53701000,-37704000,-15997000,7904000,-105000,-105000,7799000,7799000,495000,8294000,8294000,8294000,8294000,152871000,133857000,51104000,51104000,41560000,33894000,14649000,279429000,23060000,94196000,10438000,10501000,117256000,396685000,67950000,53905000,14045000,3274000,3274000,71224000,17251000,4138000,13113000,17251000,88475000,216086000,92086000,38000,308210000,308210000,396685000,8294000,3265000,3304000,-6822000,8041000,-1751000,-5350000,-7101000,8099000,8099000,1242000,9341000,10281000,10281000,10281000,11169000,6.3108872417681e-30,2101000,0.448242321838271,0.170316481752982,0.141375262019054,0.02691,0.02091,0.25332,3.92324,0.28706,-5.87747175411144e-39,0.29188,0.28224,4.34538595359382,10.84635,0.07394,0.02548,0.00646000000000001,-13.68708,-19.34097
"13","2013_Q4",34.075,"Down",132582136.130257,-71263127.7530971,54061000,-43024000,-27812000,-15212000,11037000,152000,152000,11189000,11189000,-3385000,7804000,7804000,7804000,7804000,156679000,139731000,54027000,54027000,48853000,27204000,7687000,286763000,24039000,93303000,10464000,10501000,117342000,404105000,60053000,46644000,13409000,2026000,2026000,62079000,19424000,4556000,14868000,19424000,81503000,222599000,99890000,113000,322602000,322602000,404105000,7804000,2480000,2505000,-10206000,2583000,-1831000,2044000,213000,2521000,2521000,557000,3078000,5874000,5874000,5874000,13517000,0,4865000,0.462453217917479,0.0985964949929188,0.0812325501231738,0.02419,0.01931,0.6234,4.61932,0.25264,0,0.27162,0.26381,4.63228303719058,11.22836,0.16933,0.02282,0.01422,-11.59126,-14.1958
"14","2014_Q1",40.0486885245902,"Up",126343000,-67382000,58961000,-54248000,-36216000,-18032000,4713000,-154000,-154000,4559000,4559000,-1371000,3188000,3188000,3188000,3188000,187358000,165404000,39348000,39348000,46107000,27848000,7704000,300661000,23661000,92015000,10095000,10501000,115676000,416337000,56224000,41344000,14880000,5085000,5085000,61309000,24339000,4733000,19606000,24339000,85648000,227464000,103078000,147000,330689000,330689000,416337000,3188000,3140000,4017000,20767000,31112000,-1520000,-5049000,-6569000,1265000,1265000,-135000,1130000,25673000,25673000,25673000,7853000,5.04870979341448e-29,28471000,0.46667,0.0373,0.02523,0.00964,0.00766,8.93068,4.90403,0.259,0,0.1103,0.10666,4.37128,11.44134,0.98505,0.00898,0.08019,-23.85814,-39.75345
"15","2014_Q2",36.1473015873016,"Down",114204000,-62494000,51710000,-43730000,-26796000,-16934000,7980000,-187000,-187000,7793000,7793000,-2513000,5280000,5280000,5280000,5280000,185364000,154824000,36540000,36540000,41390000,31317000,11367000,294611000,25119000,91449000,10433000,10501000,116568000,411179000,47784000,34221000,13563000,4420000,4420000,52204000,12158000,4414000,7744000,12158000,64362000,238448000,108358000,11000,346817000,346817000,411179000,5280000,3142000,2760000,-18944000,-7762000,-2177000,-8711000,-10888000,6957000,6957000,1113000,8070000,-10580000,-10580000,-10580000,11122000,0,-7486000,0.45279,0.06987,0.04623,0.01522,0.01284,-1.4178,5.64346,0.18558,0,0.18089,0.17581,3.91257,11.88177,-0.25647,0.01471,-0.02085,-16.66643,-23.22857
"16","2014_Q3",34.26,"Down",139803000,-77682000,62121000,-52446000,-35201000,-17245000,9675000,92000,92000,9767000,9767000,-1237000,8530000,8530000,8530000,8530000,182704000,147718000,53880000,53880000,50796000,38617000,17563000,325997000,25808000,91335000,11192000,10501000,117143000,443140000,65751000,48668000,17083000,3051000,3051000,68802000,15055000,4349000,10706000,15055000,83857000,242339000,116888000,56000,359283000,359283000,443140000,8530000,3178000,1249000,-12992000,-35000,-3347000,-4503000,-7850000,694000,693999.999999999,85000.0000000005,779000,-7106000,-7106000,-7106000,12853000,-8.07793566946316e-28,-2249000,0.44435,0.0692,0.06101,0.02374,0.01925,-0.26366,4.73819,0.2334,-1.50463276905253e-36,0.28883,0.28312,4.73379,12.16548,-0.0761499999999999,0.02279,-0.00600999999999998,-14.21489,-18.88413
"17","2014_Q4",34.31171875,"Up",143497000,-75608000,67889000,-45195000,-27852000,-17343000,22694000,-374000,-374000,22320000,22320000,-7713000,14607000,14607000,14607000,14607000,186760000,148424000,68347000,68347000,54148000,34396000,13434000,343651000,26862000,90219000,10948000,10501000,117081000,460732000,64217000,46386000,17831000,2709000,2709000,66926000,16036000,4266000,11770000,16036000,82962000,246299000,131495000,-24000,377770000,377770000,460732000,14607000,3258000,4154000,-14348000,7671000,-3644000,-3500000,-7144000,202000,202000,-23000,179000,706000,706000,706000,25952000,0,15673000,0.4731,0.15815,0.10179,0.03867,0.0317,1.07298,5.13479,0.21961,0,0.49356,0.48395,4.84869,12.76466,0.52958,0.03709,0.0398,-7.19636,-8.22949
"18","2015_Q1",32.4580327868852,"Down",159342000,-83007000,76335000,-63567000,-45681000,-17886000,12768000,-239000,-239000,12529000,12529000,-3143000,9386000,9386000,9386000,9386000,222123000,185957000,71056000,71056000,47857000,33823000,12318000,374859000,31297000,87057000,8409000,10751000,118354000,493213000,78957000,60256000,18701000,3849000,3849000,82806000,19971000,3736000,16235000,19971000,102777000,249706000,140881000,-151000,390436000,390436000,493213000,9386000,3471000,5960000,21915000,40732000,-4606000,1995000,-2861000,-588000,1090000,250000,-338000,37533000,37533000,37533000,16239000,0,36691000,0.47906,0.08013,0.0589,0.02404,0.01903,3.90912,4.52695,0.26324,0,0.31685,0.30779,5.379,13.18016,1.2386,0.02287,0.0894,-13.67837,-17.39685
"19","2015_Q2",32.7965079365079,"Up",117961000,-64253000,53708000,-45809000,-26777000,-19032000,7899000,-794000,-794000,7105000,7105000,-2351000,4754000,4754000,4754000,4754000,220917000,183661000,37705000,37705000,49698000,32164000,10134000,340484000,30501000,86683000,8393000,11265000,117184000,457668000,49988000,35666000,14322000,1769000,1769000,51757000,11624000,3819000,7805000,11624000,63381000,248682000,145635000,-30000,394287000,394287000,457668000,4754000,3561000,2505000,-3099000,7721000,-4445000,-1041000,-6001000,-3458000,1466000,-558000,-4016000,-2296000,-2296000,-2296000,11460000,0,6267000,0.4553,0.06696,0.0403,0.01206,0.01039,1.31826,6.57851,0.16075,0,0.16032,0.15726,3.97805,13.2967,0.21134,0.01171,0.01544,-19.27723,-27.96772
"20","2015_Q3",30.41421875,"Down",148788000,-78755000,70033000,-58966000,-40234000,-18732000,11067000,-61000,-61000,11006000,11006000,-3754000,7252000,7252000,7252000,7252000,223843000,186616000,65593000,65593000,45977000,32660000,11376000,368073000,29826000,86232000,8314000,11766000,116058000,484131000,61771000,46167000,15604000,2115000,2115000,63886000,14789000,3370000,11419000,14789000,78675000,252762000,152887000,-193000,405456000,405456000,484131000,7252000,3450000,4256000,-10921000,4037000,-1094000,-139000,-1733000,636000,636000,15000,650999.999999998,2955000,2955000,2955000,14517000,-2.06795153138257e-25,6256000,0.47069,0.07438,0.04874,0.01789,0.01498,0.86266,5.7614,0.19404,0,0.24348,0.23959,4.9954,13.61276,0.21004,0.01726,0.01489,-15.41937,-20.22617
"21","2015_Q4",32.34125,"Up",143609000,-73751000,69858000,-51202000,-33080000,-18122000,18656000,-93000,-93000,18563000,18563000,-5770000,12793000,12793000,12793000,12793000,212221000,176430000,76314000,76314000,58665000,29326000,8988000,376526000,28553000,84734000,7688000,11766000,113287000,489813000,70242000,56490000,13752000,2279000,2279000,72521000,14186000,3033000,11153000,14186000,86707000,237552000,165680000,-126000,403106000,403106000,489813000,12793000,3558000,5508000,-13640000,8219000,-2018000,1425000,-593000,-17855000,1283000,43000,-17812000,-10186000,-10186000,-10186000,22214000,0,12326000,0.48645,0.12991,0.08908,0.03174,0.02612,0.9635,5.19196,0.2151,0,0.43141,0.42478,4.84282,13.59365,0.41566,0.03066,0.02954,-9.55348,-11.37548
"22","2016_Q1",32.5468852459016,"Up",206420000,-111093000,95327000,-72331000,-51221000,-20185000,22996000,3301000,3301000,26297000,26297000,-6966000,19331000,19331000,19331000,19331000,213039000,179915000,104679000,104679000,61678000,9953000,9953000,389349000,26850000,105544000,31721000,9408000,132394000,521743000,77609000,61655000,15954000,3265000,3265000,80874000,23458000,7706000,15752000,23458000,104332000,232636000,185011000,-236000,417411000,417411000,521743000,19331000,4735000,-3676000,-13655000,6735000,-1815000,2500000,6330000,-10252000,3079000,672000,-9580000,3485000,3485000,3485000,27731000,3.30872245021211e-24,19227000,0.46181,0.1114,0.09365,0.04631,0.03705,0.99462,4.81427,0.24995,3.08148791101958e-33,0.66411,0.64841,7.09152,14.34008,0.66054,0.04385,0.04361,-7.68234,-9.26418
"23","2016_Q2",36.6921875,"Up",130804000,-68843000,61961000,-56432000,-36704000,-19728000,5529000,2e+05,2e+05,5729000,5729000,-1797000,3932000,3932000,3932000,3932000,246736000,215990000,28497000,28497000,52764000,31875000,11909000,359872000,25600000,105331000,31849000,9931000,130931000,490803000,51925000,39015000,12910000,7243000,2634000,59168000,18451000,7231000,11220000,18451000,77619000,224240000,188943000,1000,413184000,413184000,490803000,3932000,3375000,3611000,37705000,48623000,-2390000,2500000,-413000,-11184000,837000,-951000,-12135000,36075000,36075000,36075000,8904000,0,46016000,0.47369,0.04227,0.03006,0.00952,0.00801,11.70295,6.08221,0.18786,0,0.13557,0.13341,4.50986,14.24576,1.58654,0.00911,0.10661,-27.71069,-44.62579
"24","2016_Q3",39.1946875,"Up",148696000,-79044000,69652000,-63794000,-45250000,-18544000,5858000,1419000,1419000,7277000,7277000,-2463000,4814000,4814000,4814000,4814000,173293000,138466000,59191000,59191000,46899000,16349000,16349000,295732000,25833000,95248000,30435000,9836000,121081000,416813000,56051000,43545000,12506000,1279000,1279000,57330000,19942000,7392000,12550000,19942000,77272000,145738000,193757000,46000,339541000,339541000,416813000,4814000,3354000,4258000,-25425000,-12999000,-1857000,-4052000,17706000,-82694000,2306000,463000,-82231000,-77524000,-77524000,-77524000,9212000,-2.64697796016969e-23,-15607000,0.46842,0.0394,0.03237,0.01418,0.01155,-3.242,5.15842,0.22758,2.46519032881566e-32,0.17595,0.17294,5.4348,12.41012,-0.57043,0.01339,-0.04342,-18.81166,-29.58228
"25","2016_Q4",52.1812698412698,"Up",168610000,-87550000,81060000,-53609000,-33937000,-19672000,27451000,523000,523000,27974000,27974000,-8462000,19512000,19512000,19512000,19512000,202731000,164552000,67612000,67612000,61069000,10496000,10496000,341908000,26745000,89973000,26018000,9843000,116718000,458626000,71324000,57662000,13662000,1297000,1297000,72621000,21488000,4231000,17257000,21488000,94109000,151268000,213269000,-20000,364517000,364517000,458626000,19512000,3442000,8315000,141000,31410000,-3471000,-3502000,-6980000,1353000,1353000,303000,1656000,26086000,26086000,26086000,30893000,0,36025000,0.48075,0.16281,0.11572,0.05353,0.04254,1.8463,4.70811,0.25817,0,0.71638,0.70243,6.19048,13.38316,1.32265,0.05055,0.09333,-6.56236,-7.3852
"26","2017_Q1",59.1472580645161,"Up",212494000,-105852000,106642000,-87923000,-66062000,-21861000,18719000,1662000,1662000,20381000,20381000,-6700000,13681000,13681000,13681000,13681000,254453000,214523000,73048000,73048000,50578000,5591000,5591000,383670000,27532000,96710000,30585000,12877000,124242000,507912000,108150000,67281000,40869000,4486000,4486000,112636000,6320000,0,6320000,6320000,118956000,162157000,226950000,-151000,388956000,388956000,507912000,13681000,3435000,-1964000,34238000,49390000,-3099000,-2e+06,-6123000,4848000.00000001,4848000,1856000,6704000,49971000,49971000,49971000,22154000,4.2351647362715e-22,59993000,0.50186,0.08809,0.06438,0.03517,0.02694,4.38513,3.40628,0.30583,7.88860905221012e-31,0.50314,0.48722,7.81487,14.30459,2.20636,0.03461,0.15177,-11.48565,-13.5933
"27","2017_Q2",86.2369841269841,"Up",168467000,-81124000,87343000,-65705000,-40197000,-25508000,21638000,3000,3000,21641000,21641000,-5282000,16359000,16359000,16359000,16359000,275670000,235728000,47780000,47780000,57125000,7429000,7429000,388004000,29250000,97027000,31429000,13214000,126277000,514281000,84520000,63177000,21343000,4202000,4202000,88722000,17112000,5764000,11348000,17112000,105834000,165231000,243384000,-168000,408447000,408447000,514281000,16359000,3486000,4514000,2400000,26759000,-3008000,2000,-3510000,722000,722000,-2778000,-2056000,21193000,21193000,21205000,25124000,0,29798000,0.51846,0.12844,0.09711,0.04005,0.03181,1.8215,4.37326,0.25911,0,0.59914,0.57816,6.17005,14.95924,1.09134,0.03844,0.07002,-10.97238,-12.74009
"28","2017_Q3",91.5320634920635,"Up",183148000,-93257000,89891000,-85803000,-59636000,-26167000,4088000,1686000,1686000,5774000,5774000,2129000,7903000,7903000,7903000,7903000,260112000,220173000,37510000,37510000,83247000,18373000,18373000,399242000,37108000,108441000,35853000,13611000,145549000,544791000,94334000,66167000,28167000,3069000,3069000,97403000,21591000,6282000,15309000,21591000,118994000,174398000,251286000,113000,425797000,425797000,544791000,7903000,5329000,1059000,-8260000,6031000,-10264000,-36000,-26175000,4643000,4643000,-196000,4447000,-15697000,-15697000,-15555000,9417000,0,-11236000,0.49081,0.02232,0.04315,0.01856,0.01451,-1.42174,4.09887,0.27946,-1.26217744835362e-29,0.28721,0.27462,6.65605,15.47452,-0.40834,0.01766,-0.02511,-27.62154,-63.62818
"29","2017_Q4",72.0195238095238,"Down",205399000,-103016000,102383000,-78491000,-49475000,-28843000,23892000,2601000,2601000,26493000,26493000,-4412000,22081000,22081000,22081000,22081000,278228000,241786000,76956000,76956000,92813000,20063000,20063000,468060000,37093000,105508000,35088000,14064000,142601000,610661000,117747000,88798000,28949000,4607000,4607000,122354000,31815000,8042000,23773000,31815000,154169000,183065000,273368000,59000,456492000,456492000,610661000,22081000,5708000,2253000,-11734000,18308000,-3358000,3500000,-321000,3625000,3625000,0,3625000,21612000,21612000,21613000,29600000,0,18920000,0.49846,0.11632,0.1075,0.04837,0.03616,0.85685,3.82546,0.33773,0,0.79603,0.76363,7.4047,16.45669,0.68207,0.04522,0.03875,-9.39959,-11.64524
"30","2018_Q1",75.2562295081967,"Up",326897000,-173355000,153542000,-130470000,-97573000,-32631000,23072000,-614000,-614000,22458000,22458000,-17837000,4620999.99999999,4620999.99999999,4620999.99999999,4620999.99999999,165860000,128635000,142829000,142829000,106932000,19105000,19105000,434726000,44579000,212217000,31531000,14534000,256796000,691522000,189963000,116316000,73647000,7761000,7761000,197724000,23471000,9539000,13932000,23471000,221195000,190346000,277989000,1992000,470327000,470327000,691522000,4620999.99999999,10976000,9547000,73000,25217000,-6741000,-978000,-139917000,1583000,1583000,-9000,1574000,-113126000,-113126000,-113151000,34048000,1.0842021724855e-19,45217000,0.4697,0.07058,0.01414,0.00983,0.00668,9.78511,2.19865,0.4703,1.0097419586829e-28,0.16572,0.15922,11.72304,16.86667,1.62155,0.00936,0.09157,-4.87136,-7.1888
"31","2018_Q2",66.42640625,"Down",217068000,-101283000,115785000,-90380000,-57162000,-32945000,25405000,519000,519000,25924000,25924000,-5523000,20401000,20401000,20401000,20401000,184461000,144501000,69532000,69532000,112111000,24584000,24584000,390688000,47223000,211526000,32690000,15005000,258749000,649437000,125226000,69119000,56107000,6271000,6271000,131497000,21312000,8349000,12963000,21312000,152809000,191301000,299430000,5897000,496628000,496628000,649437000,20401000,8747000,4352000,-3710000,29790000,-8717000,-2938000,-11276000,399000,399000,-3478000,-3079000,15435000,15435000,15866000,34152000,0,27248000,0.5334,0.11704,0.09398,0.04108,0.03141,1.33562,2.97108,0.30769,0,0.72892,0.70536,7.75575,17.74432,0.97356,0.03939,0.05261,-5.40118,-7.26081
