"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",150.59064516129,"Up",2.32e+09,-1.445e+09,-1.393e+09,-5.2e+07,8.75e+08,3e+07,-4.7e+07,-5.7e+07,1e+07,7.7e+07,9.05e+08,9.05e+08,-2.5e+08,6.55e+08,6.55e+08,-1.3e+07,6.42e+08,6.42e+08,4.515e+09,4.515e+09,2.464e+09,2.464e+09,1.50722e+11,1.50722e+11,1.57701e+11,5.6e+08,3.2703e+10,1.7442e+10,1.2908e+10,2.353e+09,3.5127e+10,1.92828e+11,2.631e+09,1.427e+09,1.204e+09,1.34197e+11,5.311e+09,1.28886e+11,1.36928e+11,8.029e+09,8.029e+09,2.2562e+10,2.2562e+10,3.0591e+10,1.67519e+11,1.9324e+10,2e+06,1.9322e+10,6.066e+09,-5.9e+07,2.5057e+10,2.52e+08,2.5309e+10,1.92828e+11,6.55e+08,7.4e+07,-7e+06,1.09e+08,-7.5e+07,-4.1e+07,2.99e+08,-3.71e+08,6.7e+08,1.021e+09,-2.3e+07,-2.3e+07,-2.3e+07,5.9e+07,1.82e+08,-1.23e+08,1.5e+07,-4e+06,-2.59e+08,-1.65e+08,-1.7e+08,-2e+06,-4.26e+08,5.91e+08,5.91e+08,3.7e+07,6.28e+08,9.49e+08,8.129e+09,1.475e+09,0.37716,0.27672,0.02537,0.00333,2.29751,1.15171,6.61895,0.04216,3.72478,3.65915,13.46027,145.37668,8.55771,1.50268,0.01609,0.02634,0.40343,3.80822,4.13029
"12","2013_Q1",187.781833333333,"Up",2.539e+09,-1.534e+09,-1.482e+09,-5.2e+07,1.005e+09,-6.7e+07,-4.8e+07,-5.7e+07,9e+06,-1.9e+07,9.38e+08,9.38e+08,-2.88e+08,6.5e+08,6.5e+08,4e+07,6.9e+08,6.9e+08,4.903e+09,4.903e+09,2.25e+09,2.25e+09,1.57789e+11,1.57789e+11,1.64942e+11,5.57e+08,3.3202e+10,1.7402e+10,1.291e+10,2.89e+09,3.5509e+10,2.00451e+11,2.602e+09,1.055e+09,1.547e+09,1.41022e+11,5.293e+09,1.35729e+11,1.43724e+11,8.089e+09,8.089e+09,2.3021e+10,2.3021e+10,3.111e+10,1.74834e+11,1.9421e+10,2e+06,1.9419e+10,6.473e+09,-5.9e+07,2.5403e+10,2.14e+08,2.5617e+10,2.00451e+11,6.5e+08,7.6e+07,-3.19e+08,1.07e+08,-1.9e+07,-4.07e+08,-5.3e+07,2.01e+08,-2.54e+08,3.54e+08,-2.9e+07,-2.9e+07,-2.9e+07,2.99e+08,3.04e+08,-5000000.00000001,1.5e+07,2.85e+08,-2.56e+08,-1.76e+08,-1.7e+08,6.49e+08,-2.83e+08,3.56e+08,3.56e+08,2.7e+07,3.83e+08,1.081e+09,8.189e+09,1.287e+09,0.39583,0.27176,0.02694,0.00344,1.86522,1.14763,6.82492,0.04085,4.02445,3.94034,14.80882,148.16405,7.50648,1.49313,0.01665,0.02265,0.37101,3.03978,3.26965
"13","2013_Q2",212.303125,"Up",2.449e+09,-1.54e+09,-1.488e+09,-5.2e+07,9.09e+08,4.1e+07,-4.8e+07,-5.4e+07,6e+06,8.9e+07,9.5e+08,9.5e+08,-2.84e+08,6.66e+08,6.66e+08,-3.4e+07,6.32e+08,6.32e+08,4.232e+09,4.232e+09,2.618e+09,2.618e+09,1.58241e+11,1.58241e+11,1.65091e+11,5.29e+08,3.3407e+10,1.7362e+10,1.2904e+10,3.141e+09,3.5647e+10,2.00738e+11,2.259e+09,1.657e+09,6.02e+08,1.43854e+11,5.379e+09,1.38475e+11,1.46113e+11,8.019e+09,8.019e+09,2.0939e+10,2.0939e+10,2.8958e+10,1.75071e+11,1.9212e+10,2e+06,1.921e+10,6.822e+09,-1.66e+08,2.5345e+10,3.22e+08,2.5667e+10,2.00738e+11,6.66e+08,7.2e+07,1.28e+08,1.27e+08,9.3e+07,-9.2e+07,-6.76e+08,-3.76e+08,-3e+08,1.9e+08,-1.8e+07,-1.8e+07,-1.8e+07,2.7e+07,1.17e+08,-9e+07,2.2e+07,3.1e+07,-3.09e+08,-4.55e+08,-4.61e+08,5.9e+07,-8.05e+08,-5.84e+08,-5.84e+08,-8e+07,-6.64e+08,9.81e+08,8.019e+09,5.71e+08,0.37117,0.25806,0.02462,0.00315,0.90348,1.12989,6.82086,0.03995,3.68939,3.62051,14.29641,147.95525,3.3333,1.80383,0.01723,0.01045,0.48892,3.86035,4.16612
"14","2013_Q3",217.7334375,"Up",2.482e+09,-1.633e+09,-1.581e+09,-5.2e+07,8.49e+08,6.9e+07,-4.9e+07,-5.3e+07,4e+06,1.18e+08,9.18e+08,9.18e+08,-2.12e+08,7.06e+08,7.06e+08,2.3e+07,7.29e+08,7.29e+08,3.793e+09,3.793e+09,2.249e+09,2.249e+09,1.52272e+11,1.52272e+11,1.58314e+11,5.24e+08,3.3134e+10,1.7322e+10,1.2899e+10,2.913e+09,3.5431e+10,1.93745e+11,2.219e+09,1.271e+09,9.48e+08,1.39192e+11,5.318e+09,1.33874e+11,1.41411e+11,7.083e+09,7.083e+09,1.9426e+10,1.9426e+10,2.6509e+10,1.6792e+11,1.9304e+10,2e+06,1.9302e+10,7.233e+09,-1.98e+08,2.5589e+10,2.36e+08,2.5825e+10,1.93745e+11,7.06e+08,7.2e+07,2.55e+08,1.04e+08,-5.6e+07,2.07e+08,1.07e+08,3.61e+08,-2.54e+08,1.14e+09,-2.8e+07,-2.8e+07,-2.8e+07,-6000000.00000003,8.6e+07,-9.2e+07,1.3e+07,-2.1e+07,-2.86e+08,-2.42e+08,-2.54e+08,-1.1e+08,-1.388e+09,-2.69e+08,-2.69e+08,-5e+06,-2.74e+08,9.21e+08,7.083e+09,1.212e+09,0.34206,0.29371,0.02823,0.00376,1.66255,1.11953,6.50223,0.03656,4.27193,4.1927,14.5445,149.95131,7.10231,1.67596,0.01939,0.02316,0.39232,3.5722,3.87515
"15","2013_Q4",240.74484375,"Up",2.472e+09,-1.506e+09,-1.452e+09,-5.4e+07,9.66e+08,-1.8e+07,-4.4e+07,-5.2e+07,8e+06,2.6e+07,9.48e+08,9.48e+08,-2.19e+08,7.29e+08,7.29e+08,1e+06,7.3e+08,7.3e+08,4.08e+09,4.08e+09,4.311e+09,4.311e+09,1.68608e+11,1.68608e+11,1.76999e+11,5.23e+08,3.3317e+10,1.7513e+10,1.2938e+10,2.866e+09,3.5718e+10,2.12717e+11,4.644e+09,3.322e+09,1.322e+09,1.52919e+11,5.237e+09,1.47682e+11,1.57563e+11,7.006e+09,7.006e+09,2.1962e+10,2.1962e+10,2.8968e+10,1.86531e+11,1.9393e+10,2e+06,1.9391e+10,7.678e+09,-7.9e+07,2.5999e+10,1.87e+08,2.6186e+10,2.12717e+11,7.29e+08,7.1e+07,1.27e+08,1.09e+08,-8.1e+07,9.9e+07,2.19e+08,-2.046e+09,2.265e+09,1.146e+09,-1.4e+07,-1.4e+07,-1.4e+07,1.6e+07,2.2e+07,-6e+06,-4.7e+07,-2.85e+08,-2.87e+08,-2.87e+08,-2.69e+08,-4.5e+07,-6.19e+08,2.42e+08,2.42e+08,7.7e+07,3.19e+08,1.037e+09,7.006e+09,1.461e+09,0.39078,0.29531,0.02788,0.00343,2.00137,1.12335,7.12331,0.03294,4.29888,4.21061,14.55731,153.10494,8.60365,1.69011,0.01844,0.02649,0.39315,2.8216,3.02899
"16","2014_Q1",247.866393442623,"Up",2.777e+09,-1.644e+09,-1.589e+09,-5.5e+07,1.133e+09,2.4e+07,-4.8e+07,-5.2e+07,4e+06,7.2e+07,1.157e+09,1.157e+09,-3.07e+08,8.5e+08,8.5e+08,-9e+06,8.41e+08,8.41e+08,4.551e+09,4.551e+09,2.247e+09,2.247e+09,1.76901e+11,1.76901e+11,1.83699e+11,5.25e+08,3.3498e+10,1.7501e+10,1.298e+10,3.017e+09,3.6174e+10,2.19873e+11,2.831e+09,1.084e+09,1.747e+09,1.61276e+11,5.085e+09,1.56191e+11,1.64107e+11,7.308e+09,7.308e+09,2.1788e+10,2.1788e+10,2.9096e+10,1.93203e+11,1.9475e+10,2e+06,1.9473e+10,8.23e+09,-3.5e+07,2.646e+10,2.1e+08,2.667e+10,2.19873e+11,8.5e+08,7.6e+07,-1.04e+08,1.08e+08,-1.49e+08,-6.3e+07,3.44e+08,2.075e+09,-1.731e+09,1.166e+09,-3.4e+07,-3.4e+07,-3.4e+07,-1.63e+08,6.1e+07,-2.24e+08,4.7e+07,-2.08e+08,-2.86e+08,-2.31e+08,-2.59e+08,-6.3e+07,-5.8e+08,3.78e+08,3.78e+08,2.5e+07,4.03e+08,1.209e+09,7.308e+09,1.826e+09,0.40799,0.30284,0.03153,0.00382,2.17122,1.11939,7.24421,0.03324,4.97688,4.847,16.43377,156.58536,10.80593,1.69249,0.02021,0.03274,0.34007,2.2804,2.43336
"17","2014_Q2",250.079841269841,"Up",2.67e+09,-1.619e+09,-1.563e+09,-5.6e+07,1.051e+09,1.7e+07,-4.3e+07,-5.3e+07,1e+07,6e+07,1.068e+09,1.068e+09,-3.24e+08,7.44e+08,7.44e+08,1.2e+07,7.56e+08,7.56e+08,4.585e+09,4.585e+09,2.868e+09,2.868e+09,1.72859e+11,1.72859e+11,1.80312e+11,5.08e+08,3.3385e+10,1.7459e+10,1.2975e+10,2.951e+09,3.5985e+10,2.16297e+11,2.283e+09,1.615e+09,6.68e+08,1.61371e+11,5.241e+09,1.5613e+11,1.63654e+11,8.18e+09,8.18e+09,1.7762e+10,1.7762e+10,2.5942e+10,1.89596e+11,1.9089e+10,2e+06,1.9087e+10,8.604e+09,-3.5e+07,2.6478e+10,2.23e+08,2.6701e+10,2.16297e+11,7.44e+08,7.3e+07,4.29e+08,1.27e+08,1.65e+08,1.37e+08,-1.452e+09,-6.24e+08,-8.28e+08,-2.06e+08,-1.5e+07,-1.5e+07,-1.5e+07,1.43e+08,2.66e+08,-1.23e+08,5e+06,1.33e+08,-3.66e+08,-5.75e+08,-5.75e+08,8e+06,6.4e+07,-9e+06,-9e+06,1.3e+07,4e+06,1.124e+09,8.18e+09,-1.9e+07,0.39363,0.28315,0.02831,0.0035,-0.02513,1.10179,7.10071,0.03782,4.47122,4.39704,15.79121,156.59911,-0.11237,2.16464,0.02131,-0.000359999999999999,0.48413,3.1984,3.42055
"18","2014_Q3",264.32296875,"Up",2.778e+09,-1.656e+09,-1.601e+09,-5.5e+07,1.122e+09,1.6e+07,-5.7e+07,-6e+07,3e+06,7.3e+07,1.138e+09,1.138e+09,-2.97e+08,8.41e+08,8.41e+08,-3.3e+07,8.08e+08,8.08e+08,5.497e+09,5.497e+09,4.207e+09,4.207e+09,1.85553e+11,1.85553e+11,1.95257e+11,4.96e+08,3.3845e+10,1.7418e+10,1.2971e+10,3.456e+09,3.6436e+10,2.31693e+11,4.17e+09,3.091e+09,1.079e+09,1.67768e+11,5.177e+09,1.62591e+11,1.71938e+11,8.635e+09,8.635e+09,2.4054e+10,2.4054e+10,3.2689e+10,2.04627e+11,1.9183e+10,2e+06,1.9181e+10,9.113e+09,1e+06,2.6881e+10,1.85e+08,2.7066e+10,2.31693e+11,8.41e+08,7.2e+07,-5.93e+08,1.09e+08,-6.3e+07,-6.39e+08,4.18e+08,-1.34e+09,1.758e+09,7.38e+08,-1.9e+07,-1.9e+07,-1.9e+07,-4.5e+07,7.1e+07,-1.16e+08,2.5e+07,-38999999.9999999,-3.26e+08,-2.57e+08,-2.57e+08,5.86e+08,3000000.00000012,7.02e+08,7.02e+08,3.1e+07,7.33e+08,1.194e+09,8.635e+09,1.89e+09,0.40389,0.29086,0.02985,0.00349,2.33911,1.13562,7.5603,0.03727,4.78922,4.721,16.46591,159.33049,11.20251,1.93228,0.01898,0.03163,0.40347,2.62814,2.79679
"19","2014_Q4",282.2075,"Up",2.849e+09,-1.692e+09,-1.638e+09,-5.4e+07,1.157e+09,-5.2e+07,-5.1e+07,-6.1e+07,1e+07,-1e+06,1.105e+09,1.105e+09,-2.32e+08,8.73e+08,8.73e+08,4.4e+07,9.17e+08,9.17e+08,6.324e+09,6.324e+09,2.631e+09,2.631e+09,1.77445e+11,1.77445e+11,1.864e+11,4.68e+08,3.3993e+10,1.7378e+10,1.2966e+10,3.649e+09,3.6412e+10,2.22812e+11,3.063e+09,1.576e+09,1.487e+09,1.62673e+11,5.056e+09,1.57617e+11,1.65736e+11,8.826e+09,8.826e+09,2.0966e+10,2.0966e+10,2.9792e+10,1.95528e+11,1.9272e+10,2e+06,1.927e+10,9.66e+09,-1.69e+08,2.7106e+10,1.78e+08,2.7284e+10,2.22812e+11,8.73e+08,7e+07,-1.56e+08,1e+08,-1.33e+08,-1.23e+08,4.97e+08,1.538e+09,-1.041e+09,1.284e+09,-6e+06,-6e+06,-6e+06,1.02e+08,1.67e+08,-6.5e+07,6.7e+07,1.63e+08,-3.24e+08,-2.53e+08,-2.56e+08,2.41e+08,-3.36e+08,1.111e+09,1.111e+09,-8.9e+07,1.022e+09,1.227e+09,8.826e+09,1.95e+09,0.40611,0.32187,0.03361,0.00412,2.1265,1.12468,7.1664,0.03961,5.46051,5.36952,16.9651,161.40957,11.61177,1.92934,0.02174,0.03416,0.35333,2.03912,2.16249
"20","2015_Q1",300.964262295082,"Up",2.784e+09,-1.64e+09,-1.592e+09,-4.8e+07,1.144e+09,-6e+07,-5.2e+07,-5.8e+07,6e+06,-8e+06,1.084e+09,1.084e+09,-2.78e+08,8.06e+08,8.06e+08,7e+06,8.13e+08,8.13e+08,6.001e+09,6.001e+09,2.12e+09,2.12e+09,1.94941e+11,1.94941e+11,2.03062e+11,4.67e+08,3.1022e+10,1.7344e+10,1.2961e+10,7.17e+08,3.673e+10,2.39792e+11,2.9e+09,1.035e+09,1.865e+09,1.67407e+11,4.989e+09,1.62418e+11,1.70307e+11,8.311e+09,8.311e+09,3.3654e+10,3.3654e+10,4.1965e+10,2.12272e+11,1.9388e+10,2e+06,1.9386e+10,1.0145e+10,-2.73e+08,2.7366e+10,1.54e+08,2.752e+10,2.39792e+11,8.06e+08,6.3e+07,1.79e+08,1.17e+08,-7.3e+07,1.35e+08,2.23e+08,5.04e+08,-2.81e+08,1.271e+09,-2.6e+07,-2.6e+07,-2.6e+07,8.5e+07,1.5e+08,-6.5e+07,-7.7e+07,-1.8e+07,-3.22e+08,-2.55e+08,-2.56e+08,-1.5e+07,-1.592e+09,-3.39e+08,-3.39e+08,-8.7e+07,-4.26e+08,1.207e+09,8.311e+09,1.682e+09,0.41092,0.29203,0.02954,0.00339,2.06888,1.19233,7.71337,0.03466,4.8632,4.76592,16.65331,163.69777,10.06138,1.92614,0.01633,0.02421,0.39606,1.91384,2.01923
"21","2015_Q2",304.428412698413,"Up",2.723e+09,-1.656e+09,-1.608e+09,-4.8e+07,1.067e+09,1.6e+07,-4.7e+07,-5.1e+07,4e+06,6.3e+07,1.083e+09,1.083e+09,-2.58e+08,8.25e+08,8.25e+08,-3e+06,8.22e+08,8.22e+08,4.572e+09,4.572e+09,2.836e+09,2.836e+09,1.97413e+11,1.97413e+11,2.04821e+11,5.37e+08,3.5152e+10,1.7429e+10,1.2975e+10,4.748e+09,3.7893e+10,2.42714e+11,2.398e+09,1.714e+09,6.84e+08,1.68391e+11,5.077e+09,1.63314e+11,1.70789e+11,8.902e+09,8.902e+09,3.5367e+10,3.5367e+10,4.4269e+10,2.15058e+11,1.9128e+10,2e+06,1.9126e+10,1.0613e+10,-4.39e+08,2.7375e+10,2.81e+08,2.7656e+10,2.42714e+11,8.25e+08,6.3e+07,2.26e+08,1.43e+08,8.7e+07,-4e+06,-1.623e+09,-7.5e+08,-8.73e+08,-5.09e+08,-9.8e+07,-9.8e+07,-9.8e+07,5.2e+07,1.43e+08,-9.1e+07,6e+06,-1.28e+08,-3.89e+08,-4.98e+08,-4.98e+08,1.71e+08,-7.16e+08,-1.353e+09,-1.353e+09,-9.3e+07,-1.446e+09,1.13e+09,8.902e+09,-3.33e+08,0.39185,0.30187,0.02972,0.00339,-0.40511,1.19926,7.77618,0.03668,4.91953,4.84318,16.2967,163.83481,-1.99295,2.3281,0.01684,-0.00463,0.47324,3.83186,4.05811
"22","2015_Q3",271.249375,"Down",2.905e+09,-1.667e+09,-1.62e+09,-4.7e+07,1.238e+09,-4.1e+07,-4.7e+07,-5.2e+07,5e+06,6e+06,1.197e+09,1.197e+09,-3.71e+08,8.26e+08,8.26e+08,-7e+06,8.19e+08,8.19e+08,4.971e+09,4.971e+09,2.347e+09,2.347e+09,1.95348e+11,1.95348e+11,2.02666e+11,5.45e+08,3.146e+10,1.7394e+10,1.297e+10,1.096e+09,3.4342e+10,2.37008e+11,2.421e+09,1.284e+09,1.137e+09,1.69073e+11,4.999e+09,1.64074e+11,1.71494e+11,4.947e+09,4.947e+09,3.2437e+10,3.2437e+10,3.7384e+10,2.08878e+11,1.9254e+10,2e+06,1.9252e+10,1.1052e+10,-3.39e+08,2.7776e+10,3.54e+08,2.813e+10,2.37008e+11,8.26e+08,6.5e+07,-1.44e+08,1.26e+08,-8.7e+07,-1.83e+08,2.58e+08,4.97e+08,-2.39e+08,1.005e+09,-3.6e+07,-3.6e+07,-3.6e+07,1e+08,1.71e+08,-7.1e+07,-4.1e+07,2.3e+07,-3.64e+08,-2.79e+08,-2.79e+08,1.31e+08,-4.75e+08,5.53e+08,5.53e+08,7.7e+07,6.3e+08,1.303e+09,4.947e+09,1.896e+09,0.42616,0.28193,0.02911,0.00346,2.31502,1.18177,7.42545,0.02087,4.91548,4.84287,17.43524,166.70612,11.37942,2.18466,0.01806,0.02894,0.44444,-0.01842,-0.01939
"23","2015_Q4",287.90625,"Up",2.91e+09,-1.688e+09,-1.642e+09,-4.6e+07,1.222e+09,-4.8e+07,-3.8e+07,-5e+07,1.2e+07,-1e+07,1.174e+09,1.174e+09,-3.42e+08,8.32e+08,8.32e+08,1.1e+07,8.43e+08,8.43e+08,5.749e+09,5.749e+09,2.542e+09,2.542e+09,1.79753e+11,1.79753e+11,1.88044e+11,5.43e+08,3.1341e+10,1.736e+10,1.2965e+10,1.016e+09,3.4172e+10,2.22216e+11,2.904e+09,1.343e+09,1.561e+09,1.55097e+11,4.921e+09,1.50176e+11,1.58001e+11,4.95e+09,4.95e+09,3.0784e+10,3.0784e+10,3.5734e+10,1.93735e+11,1.9329e+10,2e+06,1.9327e+10,1.1533e+10,-4.08e+08,2.8136e+10,3.45e+08,2.8481e+10,2.22216e+11,8.32e+08,6.8e+07,2.5e+07,1.28e+08,-7.3e+07,-3e+07,4.26e+08,-2.08e+08,6.34e+08,1.351e+09,-2.6e+07,-2.6e+07,-2.6e+07,-2e+07,1.47e+08,-1.67e+08,9e+06,-3.7e+07,-3.62e+08,-1.97e+08,-2.76e+08,5e+07,-5.09e+08,8.05e+08,8.05e+08,-3.9e+07,7.66e+08,1.29e+09,4.95e+09,2.032e+09,0.41993,0.28969,0.0296,0.00379,2.41044,1.19014,6.80225,0.02228,5.07693,4.99806,17.52534,169.44774,12.23762,2.18013,0.01877,0.03164,0.42942,-0.619380000000001,-0.653849999999999
"24","2016_Q1",270.154918032787,"Down",2.863e+09,-1.726e+09,-1.691e+09,-3.5e+07,1.137e+09,1.1e+07,-4.6e+07,-5.1e+07,5e+06,5.7e+07,1.148e+09,1.148e+09,-2.79e+08,8.69e+08,8.69e+08,-8e+06,8.61e+08,8.61e+08,6.231e+09,6.231e+09,2.237e+09,2.237e+09,1.82187e+11,1.82187e+11,1.90655e+11,5.81e+08,3.1417e+10,1.7372e+10,1.3123e+10,9.22e+08,3.4606e+10,2.25261e+11,3.039e+09,1.068e+09,1.971e+09,1.56912e+11,4.851e+09,1.52061e+11,1.59951e+11,4.93e+09,4.93e+09,3.1336e+10,3.1336e+10,3.6266e+10,1.96217e+11,1.9407e+10,2e+06,1.9405e+10,1.2033e+10,-4.48e+08,2.8503e+10,5.41e+08,2.9044e+10,2.25261e+11,8.69e+08,5.1e+07,-1.6e+08,1.17e+08,-8.3e+07,-1.94e+08,3.97e+08,3.07e+08,9e+07,1.157e+09,-6.1e+07,-6.1e+07,-6.1e+07,-6e+06,-5000000.00000003,-1e+06,-7.1e+07,-3.23e+08,-3.61e+08,-2.31e+08,-2.78e+08,2.28e+08,-3.64e+08,4.7e+08,4.7e+08,-6e+07,4.1e+08,1.188e+09,4.93e+09,1.803e+09,0.39714,0.30073,0.02964,0.00382,2.09408,1.19196,6.75585,0.02189,5.19272,5.10522,17.26684,171.90246,10.87395,2.1772,0.01871,0.02761,0.41928,-1.09512,-1.14424
"25","2016_Q2",301.4134375,"Up",2.624e+09,-1.585e+09,-1.55e+09,-3.5e+07,1.039e+09,-4.8e+07,-4.6e+07,-5.1e+07,5e+06,-2e+06,9.91e+08,9.15e+08,-2.68e+08,6.47e+08,6.47e+08,1e+07,6.57e+08,6.57e+08,5.084e+09,5.084e+09,2.526e+09,2.526e+09,1.80554e+11,1.80554e+11,1.88164e+11,5.81e+08,3.1453e+10,1.7347e+10,1.3119e+10,9.87e+08,3.4794e+10,2.22958e+11,2.057e+09,1.385e+09,6.72e+08,1.56558e+11,4.937e+09,1.51621e+11,1.58615e+11,4.968e+09,4.968e+09,3.0389e+10,3.0389e+10,3.5357e+10,1.93972e+11,1.9029e+10,2e+06,1.9027e+10,1.2271e+10,-4.74e+08,2.8394e+10,5.92e+08,2.8986e+10,2.22958e+11,6.47e+08,5.6e+07,-1.31e+08,1.72e+08,9.8e+07,-4.01e+08,-1.137e+09,-2.7e+08,-8.67e+08,-5.65e+08,-3e+07,-3e+07,-3e+07,7.8e+07,1.33e+08,-5.5e+07,-2e+06,4.6e+07,-4.19e+08,-5.62e+08,-5.62e+08,4.34e+08,-5.47e+08,-1.066e+09,-1.066e+09,-3.6e+07,-1.102e+09,1.095e+09,4.968e+09,1.96e+08,0.39596,0.25038,0.02267,0.00295,0.29833,1.18629,6.69192,0.02228,3.97247,3.92476,15.86571,171.681,1.18509,2.53343,0.01672,0.00305,0.63775,-0.10594,-0.11165
"26","2016_Q3",314.09640625,"Up",2.804e+09,-1.631e+09,-1.597e+09,-3.4e+07,1.173e+09,-2.5e+07,-4.5e+07,-5.1e+07,6e+06,2e+07,1.148e+09,1.148e+09,-3.53e+08,7.95e+08,7.95e+08,-6e+06,7.89e+08,7.89e+08,5.237e+09,5.237e+09,2.885e+09,2.885e+09,1.79062e+11,1.79062e+11,1.87184e+11,5.76e+08,3.1635e+10,1.7412e+10,1.3128e+10,1.095e+09,3.4871e+10,2.22055e+11,2.679e+09,1.615e+09,1.064e+09,1.54548e+11,4.899e+09,1.49649e+11,1.57227e+11,4.95e+09,4.95e+09,3.0723e+10,3.0723e+10,3.5673e+10,1.929e+11,1.9134e+10,2e+06,1.9132e+10,1.2684e+10,-5.6e+08,2.8568e+10,5.87e+08,2.9155e+10,2.22055e+11,7.95e+08,7.7e+07,-2.22e+08,1.17e+08,-4.3e+07,-2.96e+08,-1.83e+08,-3.54e+08,1.71e+08,4.67e+08,-3.7e+07,-3.7e+07,-3.7e+07,5e+07,6.4e+07,-1.4e+07,-3e+06,-2e+07,-3.76e+08,-2.79e+08,-2.79e+08,3.92e+08,-2.63e+08,1.84e+08,1.84e+08,-1e+08,8.4e+07,1.25e+09,4.95e+09,1.383e+09,0.41833,0.28138,0.02706,0.00355,1.75285,1.19053,6.61636,0.02229,4.78882,4.73478,17.01884,173.39306,8.3941,2.28213,0.01797,0.02133,0.47655,-0.2296,-0.24467
"27","2016_Q4",318.35746031746,"Up",2.837e+09,-1.628e+09,-1.595e+09,-3.3e+07,1.209e+09,1e+06,-3e+07,-5.2e+07,2.2e+07,3.1e+07,1.21e+09,1.21e+09,-3.33e+08,8.77e+08,8.77e+08,-2e+06,8.75e+08,8.75e+08,5.615e+09,5.615e+09,2.601e+09,2.601e+09,1.83169e+11,1.83169e+11,1.91385e+11,5.64e+08,3.1648e+10,1.7387e+10,1.3124e+10,1.137e+09,3.5354e+10,2.26739e+11,2.835e+09,1.354e+09,1.481e+09,1.59543e+11,4.832e+09,1.54711e+11,1.62378e+11,4.961e+09,4.961e+09,2.9839e+10,2.9839e+10,3.48e+10,1.97178e+11,1.9238e+10,2e+06,1.9236e+10,1.3183e+10,-5.98e+08,2.8904e+10,6.57e+08,2.9561e+10,2.26739e+11,8.77e+08,6.5e+07,-3.16e+08,1.19e+08,-6.1e+07,-3.74e+08,4.34e+08,2.88e+08,1.46e+08,1.06e+09,-2.1e+07,-2.1e+07,-2.1e+07,-2.05e+08,1.8e+07,-2.23e+08,-4.3e+07,-2.69e+08,-3.76e+08,-2.51e+08,-2.77e+08,2.57e+08,-3.7e+08,4.21e+08,4.21e+08,-3.2e+07,3.89e+08,1.274e+09,4.961e+09,2.02e+09,0.42615,0.30842,0.0296,0.00386,2.30857,1.17864,6.67021,0.02188,5.33117,5.26295,17.28516,176.10515,12.30738,2.29088,0.01944,0.03139,0.42971,-0.51334,-0.54094
