"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q3",6.415,"Down",8646000,-4627000,4019000,-7614000,-4095000,-1239000,-2856000,-3519000,-3595000,-75000,-186000,111000,-3670000,-3670000,-3670000,-3670000,-3670000,-3670000,15273000,15273000,5864000,5864000,8964000,488000,488000,30589000,3867000,3020000,3020000,6887000,37476000,5901000,2197000,3704000,5977000,13461000,3642000,1726000,1726000,5368000,18829000,160566000,-141919000,18647000,18647000,37476000,-3670000,483000,870000,676000,-1641000,-236000,-236000,-1500000,137000,137000,-1365000,-3242000,-3242000,-3242000,-3112000,9619000,0.46484,-0.4158,-0.42447,-0.19681,-0.09793,2.27242,1.00976,0.25667,-0.21415,-0.21415,0.50451,1.08808,-0.12237,1.81684,1.57274
"12","2019_Q4",5.465,"Down",9178000,-4824000,4354000,-7936000,-4541000,-1491000,-3050000,-3395000,-3582000,-81000,-170000,89000,-3663000,-3663000,-3663000,-3663000,-3663000,-3663000,14780000,14780000,5568000,5568000,8318000,222000,222000,28888000,3558000,2668000,2668000,6226000,35114000,6345000,3178000,3167000,72000,8071000,7676000,1307000,1307000,8983000,17054000,163642000,-145582000,18060000,18060000,35114000,-3663000,421000,961000,1616000,-665000,-105000,-105000,-1840000,2200000,2200000,277000,-493000,-493000,-493000,-3161000,7748000,0.4744,-0.39028,-0.39911,-0.20282,-0.10432,3.57923,0.9443,0.22065,-0.21156,-0.21156,0.53008,1.04306,-0.13509,2.22461,1.96315
"13","2020_Q1",3.9758064516129,"Down",9653000,-4480000,5173000,-7454000,-4183000,-1270000,-2913000,-3271000,-2281000,-17000,-180000,163000,-2298000,-3080000,-3080000,-3080000,-3080000,-3080000,14487000,14487000,5799000,5799000,7863000,539000,539000,28688000,3479000,3205000,3205000,6684000,35372000,5600000,2873000,2727000,670000,7894000,7149000,1840000,1840000,8989000,16883000,167151000,-148662000,18489000,18489000,35372000,-3080000,397000,1225000,-1203000,-2661000,-295000,-295000,0,2666000,2666000,2663000,-293000,-293000,-293000,-1884000,7819000,0.5359,-0.2363,-0.31907,-0.16659,-0.08707,3.63415,0.91314,0.22105,-0.17383,-0.17383,0.54481,1.0435,-0.10942,3.53928,2.92328
"14","2020_Q2",4.91857142857143,"Up",10108000,-4757000,5351000,-6933000,-3903000,-1103000,-2800000,-3030000,-1582000,-124000,-172000,48000,-1706000,-1706000,-1732000,-1732000,-1732000,-1732000,13950000,13950000,6320000,6320000,7944000,518000,518000,28732000,3077000,2843000,2843000,5920000,34652000,3726000,1761000,1965000,1271000,6644000,6621000,1426000,1426000,8047000,14691000,170355000,-150394000,19961000,19961000,34652000,-1732000,409000,872000,-2104000,-2555000,-64000,-64000,-2000,2084000,2084000,2082000,-537000,-537000,-537000,-1173000,7892000,0.52938,-0.15651,-0.17135,-0.08677,-0.04998,4.3245,0.73599,0.22775,-0.09593,-0.09593,0.55982,1.10552,-0.05916,5.16454,3.82933
"15","2020_Q3",6.36796875,"Up",11826000,-6635000,5191000,-6278000,-3504000,-1056000,-2448000,-2774000,-1087000,-157000,-172000,15000,-1244000,-1244000,-1294000,-1294000,-1294000,-1294000,12916000,12916000,7339000,7339000,8368000,501000,501000,29124000,2908000,3058000,3058000,5966000,35090000,3466000,2074000,1392000,1073000,6129000,6893000,1656000,1656000,8549000,14678000,172100000,-151688000,20412000,20412000,35090000,-1294000,404000,1005000,-1760000,-1645000,-213000,-213000,-3000,827000,827000,824000,-1034000,-1034000,-1034000,-683000,7966000,0.43895,-0.09192,-0.10942,-0.06339,-0.03688,4.75184,0.71909,0.22702,-0.0677,-0.0677,0.61868,1.06785,-0.04308,7.24744,4.55382
"16","2020_Q4",6.064375,"Down",10120000,-7791000,2329000,-6040000,-3461000,-912000,-2549000,-2579000,-3711000,-160000,-157000,-3000,-3871000,-3871000,-3895000,-3895000,-3895000,-3895000,13927000,13927000,8167000,8167000,6173000,99000.0000000001,99000,28366000,2126000,2725000,2725000,4851000,33217000,4514000,2806000,1708000,3614000,9697000,4283000,1279000,1279000,5562000,15259000,173541000,-155583000,17958000,17958000,33217000,-3895000,798000,989000,2771000,663000,-30000,-30000,-1000,379000,379000,378000,1011000,1011000,1011000,-2913000,7897000,0.23014,-0.3667,-0.38488,-0.21689,-0.11726,2.92523,0.8497,0.23774,-0.2056,-0.2056,0.53418,0.94791,-0.14355,2.07003,1.6249
"17","2021_Q1",5.87786885245902,"Down",9977000,-4759000,5218000,-6401000,-3888000,-912000,-2976000,-2513000,-1183000,-248000,-164000,-84000,-1431000,-1431000,-1591000,-1591000,-1591000,-1591000,14599000,14599000,7607000,7607000,5721000,270000,270000,28197000,1946000,2386000,2386000,4332000,32529000,4456000,2224000,2232000,4242000,10237000,3748000,1132000,1132000,4880000,15117000,174586000,-157174000,17412000,17412000,32529000,-1591000,371000,1453000,381000,614000,-13000,-13000,-3000.00000000003,74000,74000,71000,672000,672000,672000,-812000,7990000,0.523,-0.11857,-0.15947,-0.09137,-0.04891,2.75442,0.86819,0.24563,-0.08368,-0.08368,0.52473,0.91576,-0.05996,8.13916,5.58664
"18","2021_Q2",5.72206349206349,"Down",10280000,-4295000,5985000,-6269000,-3830000,-987000,-2843000,-2439000,-284000,-167000,-152000,-15000,-451000,-451000,-460000,-460000,-460000,-460000,15485000,15485000,10315000,10315000,5358000,208000,208000,31366000,1657000,2043000,2043000,3700000,35066000,4092000,1944000,2148000,4277000,12773000,3199000,891000,891000,4090000,16863000,175837000,-157634000,18203000,18203000,35066000,-460000,383000,833000,895000,1651000,-309000,-309000,-6e+05,144000,144000,-456000,886000,886000,886000,99000,7476000,0.5822,-0.02763,-0.04475,-0.02527,-0.01312,2.45565,0.92639,0.2132,-0.02409,-0.02409,0.53844,0.95342,-0.01731,-80.89899,28.2007
"19","2021_Q3",6.1328125,"Up",11848000,-4652000,7196000,-6740000,-3383000,-1045000,-2338000,-3357000,456000,-156000,-144000,-12000,3e+05,3e+05,256000,256000,256000,256000,14219000,14219000,10383000,10383000,6571000,221000,221000,31394000,1288000,1935000,1935000,3223000,34617000,4611000,2869000,1742000,4313000,11965000,2645000,695000,695000,3340000,15305000,176690000,-157378000,19312000,19312000,34617000,256000,373000,787000,-1986000,-570000,-245000,-245000,-6e+05,149000,149000,-451000,-1266000,-1266000,-1266000,829000,6958000,0.60736,0.03849,0.02161,0.01326,0.0074,2.62382,0.79251,0.201,0.01325,0.01325,0.61343,0.99988,0.00949,-8.75875,-15.92325
"20","2021_Q4",9.05421875,"Up",14795000,-6347000,8448000,-7373000,-4268000,-1061447.54511691,-2211649.67243255,-3105000,1075000,-173000,-165000,-8000,902000,902000,880000,880000,880000,880000,14558000,14558000,10629000,10629000,6668000,337000,337000,32192000,951000,1758000,1758000,2709000,34901000,5186000,2663000,2523000,3364000,10979000,2100000,497000,497000,2597000,13576000,177823000,-156498000,21325000,21325000,34901000,880000,361000,1133000,-517000,1857000,-24000,-24000,-1600000,106000,106000,-1494000,339000,339000,339000,1436000,5464000,0.571,0.07266,0.05948,0.04127,0.02521,2.93214,0.63662,0.15656,0.04583,0.04583,0.77044,1.11048,0.03225,-6.33287,-8.45953
"21","2022_Q1",9.57548387096774,"Up",18223000,-6780000,11443000,-7655000,-3928000,-1074012.07416531,-2429431.60972981,-3727000,3788000,-192000,-86000,-106000,3596000,3596000,3667000,3667000,3667000,3667000,21409000,21409000,8193000,8193000,6396000,762000,762000,36760000,973000,1647000,1647000,2620000,39380000,5355000,1776000,3579000,3370000,10331000,1529000,282000,282000,1811000,12142000,180069000,-152831000,27238000,27238000,39380000,3667000,338000,812000,1604000,6421000,-452000,-452000,-6e+05,1493000,1493000,882000,6851000,6851000,6851000,4126000,4899000,0.62794,0.20787,0.20123,0.13463,0.09312,3.55822,0.44577,0.1244,0.18794,0.18415,0.93398,1.39602,0.11311,-4.00145,-4.3585
"22","2022_Q2",6.43629032258065,"Down",14347000,-6024000,8323000,-6299000,-3863000,-1134000,-2729000,-2436000,2024000,-89000,-75000,-14000,1935000,1935000,1935000,1935000,1935000,1935000,19885000,19885000,10240000,10240000,6208000,636000,636000,36969000,959000,4743000,4743000,5702000,42671000,3852000,2287000,1565000,3377000,8540000,954000,3111000,3111000,4065000,12605000,180962000,-150896000,30066000,30066000,42671000,1935000,258000,845000,-4009000,-971000,-22000,-22000,-6e+05,69000.0000000005,69000.0000000005,-531000,-1524000,-1524000,-1524000,2282000,4331000,0.58012,0.14107,0.13487,0.06436,0.04535,4.32892,0.41924,0.1015,0.09917,0.09717,0.73532,1.54097,0.05159,-6.81595,-7.68478
"23","2022_Q3",6.36921875,"Down",14707000,-6116000,8591000,-6851000,-4152000,-1292000,-2860000,-2699000,1740000,-69000,-70000,1000,1671000,1671000,1671000,1671000,1671000,1671000,23051000,23051000,9283000,9283000,6376000,8e+05,8e+05,39510000,2594000,3711000,3711000,6305000,45815000,4854000,2689000,2165000,3761000,9554000,395929.835083004,2996000,2996000,2996000,12550000,182490000,-149225000,33265000,33265000,45815000,1671000,204000,1164000,1282000,4321000,-772000,-772000,-6e+05,217000,217000,-383000,3166000,3166000,3166000,1944000,3761000,0.58414,0.11831,0.11362,0.05023,0.03647,4.13544,0.37727,0.08209,0.08326,0.08181,0.73281,1.65749,0.04175,-9.92284,-11.08621
