"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q3",98.45453125,"Up",506942000,-312679000,194263000,-137840000,-137840000,56423000,-7406000,-7406000,49017000,49017000,-19082000,29935000,29935000,29935000,29935000,454640000,304948000,22834000,22834000,707516000,109770000,81622000,1294760000,503456000,198772000,48530000,124389000,8363000,17490000,702228000,1996988000,291381000,291381000,135305000,86322000,47789000,426686000,691691000,76333000,71379000,768024000,1194710000,732361000,90801000,-1361000,802278000,802278000,1996988000,29935000,10895000,9370000,-22201000,27999000,-17202000,-17202000,-17034000,-92213000,326586000,-70546000,265490000,201276000,201276000,-95000,201181000,67318000,691691000,46997000,0.38321,0.1113,0.05905,0.03731,0.01499,1.56997,3.03446,1.48915,0.34637,0.74752,0.70811,12.65904,20.03399,1.17358,0.01906,0.02993,3.52136,4.20132
"12","2015_Q4",92.83015625,"Down",532411000,-341661000,190750000,-145874000,-145874000,44876000,-11003000,-11003000,33873000,33873000,-13163000,20710000,20710000,20710000,20710000,387649000,226979000,32366000,32366000,760854000,116844000,89772000,1297713000,556594000,202798000,48442000,124382000,3626000,26348000,761397000,2059110000,300888000,300888000,128243000,88844000,39269000,429131000,718693000,71976000,71976000,790669000,1219800000,748714000,111511000,-1392000,839310000,839310000,2059110000,20710000,11231000,10934000,-74125000,-31250000,-30590000,-30590000,-30540000,-56930000,-65000.0000000596,1484000,10213000,-77967000,-77967000,-2000,-77969000,56107000,718693000,-35445000,0.35828,0.08429,0.0389,0.02468,0.01006,-1.71149,3.02405,1.45334,0.34903,0.51412,0.48753,13.21685,20.83548,-0.87991,0.01271,-0.02175,5.90023,7.37686
"13","2016_Q1",51.1291803278689,"Down",647208000,-422947000,224261000,-157028000,-157028000,67233000,-11619000,-11619000,55614000,55614000,-22312000,33302000,33302000,33302000,33302000,462268000,331467000,28567000,28567000,725392000,79020000,79020000,1295247000,515605000,235038000,48536000,124301000,36739000,25462000,772697000,2067944000,262284000,262284000,171841000,106769000,65072000,434125000,664324000,83335000,83335000,747659000,1181784000,763570000,144813000,-2700000,886160000,886160000,2067944000,33302000,12490000,5208000,93334000,144334000,-56780000,-56780000,-56659000,-44556000,-2180000,5280999.99999999,8242000,108020000,108020000,-284000,107736000,79723000,664324000,138589000,0.34651,0.10388,0.05145,0.03758,0.0161,4.16158,2.98358,1.3336,0.32125,0.82188,0.78705,15.97285,21.87009,3.42032,0.02038,0.08483,2.53448,3.00531
"14","2016_Q2",35.8009375,"Down",455456000,-327981000,127475000,-138950000,-138950000,-11475000,-10528000,-10528000,-22003000,-22003000,8533000,-13470000,-13470000,-13470000,-13470000,337251000,237156000,32080000,32080000,763055000,112049000,112049000,1244435000,558431000,237283000,48570000,124435000,36976000,27302000,806573000,2051008000,248971000,248971000,157966000,117741000,40225000,406937000,680159000,84384000,84384000,764543000,1171480000,767647000,131343000,61000,879528000,879528000,2051008000,-13470000,12554000,12257000,-101691000,-90350000,-45440000,-45440000,-45276000,-7330999.99999999,-85000,-217000,-6000,-97687000,-97687000,888000,-96798999.9999999,1079000,680159000,-154585000,0.27988,-0.02519,-0.02957,-0.01532,-0.00657,11.47624,3.05805,1.33194,0.33162,-0.33187,-0.33187,11.22142,21.66961,-3.80863,-0.00819,-0.09403,317.80167,-29.88305
"15","2016_Q3",31.84359375,"Down",543381000,-363542000,179839000,-157824000,-157824000,22015000,-10909000,-10909000,11106000,11106000,-4188000,6918000,6918000,6918000,6918000,208531000,37677000,34962000,34962000,807389000,98282000,98282000,1149164000,600685000,329690000,100646000,175980000,25431000,27633000,939477000,2088641000,222812000,222812000,182437000,137277000,45160000,405249000,689743000,100691000,100691000,790434000,1195683000,775377000,138261000,-1157000,892958000,892958000,2088641000,6918000,13658000,23651000,-27526000,16701000,-25723000,-25723000,-25723000,-211183000,-81000,-2498000,-2587000,-197069000,-197069000,-436000,-197505000,35673000,689743000,-13388000,0.33096,0.04051,0.01273,0.00775,0.00331,-1.93524,2.8357,1.33901,0.33024,0.1702,0.1702,13.36858,21.96908,-0.32938,0.00411,-0.00795,13.48953,21.85837
"16","2016_Q4",32.2966666666667,"Up",549328000,-373509000,175819000,-160433000,-160433000,15386000,-11091000,-11091000,4295000,4294999.99999999,-1778000,2517000,2517000,2517000,2517000,225579000,55426000,35974000,35974000,776586000,113665000,113665000,1151804000,656569000,326872000,100622000,175946000,25647000,24657000,1004497000,2156301000,231079000,231079000,188342000,144574000,43768000,419421000,733802000,100900000,100900000,834702000,1254123000,783054000,140778000,-2131000,902178000,902178000,2156301000,2517000,15036000,17703000,19408000,54664000,-33153000,-33153000,-33153000,-44864000,-96000,-925000,282000,10082000,10082000,-110000,9972000,30422000,733802000,18455000,0.32006,0.02801,0.00458,0.00279,0.00117,7.33214,2.74618,1.39011,0.34031,0.0618,0.0618,13.48869,22.15289,0.45316,0.00145,0.01063,16.70577,33.03152
"17","2017_Q1",30.92,"Down",586706000,-390052000,196654000,-169544000,-169544000,27110000,-11954000,-11954000,15156000,15156000,-5720000,9436000,9436000,9436000,9436000,229700000,87023000,34191000,34191000,752304000,122062000,117162000,1138257000,682056000,338995000,100757000,173603000,28466000,36169000,1054263000,2192520000,226980000,226980000,189189000,145918000,43271000,416169000,751359000,105123000,105123000,856482000,1272651000,790870000,150214000,-1692000,919869000,919869000,2192520000,9436000,15747000,40222000,34092000,99497000,-66037000,-66037000,-65879000,-47126000,262000,-1862000,70000,52441000,52441000,107000,52548000,42857000,751359000,16632000,0.33518,0.04621,0.01608,0.01026,0.0043,1.76261,2.73508,1.38351,0.34269,0.23124,0.22602,14.3777,22.54213,0.40758,0.00531,0.00936,12.17208,19.24231
"18","2017_Q2",52.8939682539683,"Up",562080000,-391824000,170256000,-163360000,-163360000,6896000,-12179000,-12179000,-5282999.99999999,-5283000,1913000,-3370000,-3370000,-3370000,-3370000,80150000,80150000,34116000,34116000,683984000,116420000,108241000,914670000,702741000,330975000,100734000,174158000,28815000,27268000,1033716000,1948386000,233395000,233395000,210526000,168177000,42349000,443921000,776292000,105395000,105395000,881687000,1325608000,798470000,146844000,-2873000,622778000,622778000,1948386000,-3370000,16020000,15011000,96287000,123948000,-16273000,-21173000,-21173000,159528000,-75999.9999999702,-1438000,-299087000,-15611000,-15611000,-86000.0000000001,-15697000,22916000,776292000,101017000,0.3029,0.01227,-0.006,-0.00541000000000002,-0.00173,-29.97537,2.06043,2.12854,0.39843,-0.0896000000000001,-0.0896,14.94515,16.55905,2.68594,-0.00224,0.06714,30.37799,100.94867
"19","2017_Q3",62.7111111111111,"Up",615326000,-409513000,205813000,-193690000,-193690000,12123000,-14402000,-14402000,-2279000,-2279000,-5583000,-7862000,-7862000,-7862000,-7862000,21637000,21637000,34752000,34752000,608048000,77679000,77679000,742116000,744460000,332833000,100750000,175592000,29394000,27097000,1077293000,1819409000,271837000,271837000,223912000,176310000,47602000,495749000,1249905000,120539000,120539000,1370444000,1866193000,834887000,138982000,-804000,-46784000,-46784000,1819409000,-7862000,16526000,40347000,141397000,190408000,-25301000,-35524000,-35524000,-25301000,468862000,-6269000,-228990000,-63883000,-63883000,141000,-63742000,28649000,1249905000,150328000,0.33448,0.0197,-0.01278,0.16805,-0.00432,-19.12083,1.49696,-39.88956,0.68698,-0.23312,-0.23312,18.24544,-1.38722,4.45748,-0.00594,0.11357,42.87298,101.31717
"20","2017_Q4",90.4304761904762,"Up",592473000,-378148000,214325000,-171163000,-171163000,43162000,-18915000,-18915000,24247000,19367000,-6216000,13151000,13151000,13151000,13151000,22162000,22162000,34447000,34447000,557345000,75041000,75041000,688995000,778320000,334251000,100726000,175553000,29214000,28758000,1112571000,1801566000,252569000,252569000,217188000,166579000,50609000,469757000,1223191000,133894000,133894000,1357085000,1826842000,843967000,152133000,-1527000,-25276000.0000001,-25276000.0000001,1801566000,13151000,18546000,22158000,21877000,75732000,-47536000,-47536000,-47536000,-47536000,-26183000,-5908000,-27892000,303999.999999985,303999.999999985,-33000,271000.000000007,61708000,1223191000,42265000,0.36175,0.07285,0.0222,-0.5203,0.0073,3.21382,1.46671,-72.27576,0.67896,0.82735,0.64322,37.27363,-1.59016,2.65897,0.00987,0.03174,19.4631,27.82607
"21","2018_Q1",88.6939344262295,"Down",670295000,-411622000,258673000,-189553000,-189553000,69120000,-17074000,-17074000,52046000,18346000,-18085000,261000,261000,261000,261000,17907000,17907000,31412000,31412000,527026000,68585000,68585000,644930000,800698000,287238000,100702000,141893000,23311000,21332000,1087936000,1732866000,318765000,318765000,200570000,149404000,51166000,519335000,1089517000,131350000,131350000,1220867000,1740202000,840767000,152394000,-171000,-7336000,-7336000,1732866000,-4518000,32084000,156704000,-99853000,84417000,35840000,35840000,35840000,35840000,-148355000,7856000,-130972000,-10715000,-10715000,130000,-10585000,101204000,1089517000,55276000,0.38591,0.10312,0.00039,-0.03558,0.00015,211.78544,1.24184,-237.21401,0.62874,0.01244,0.01034,31.94194,-0.34959,2.6341,0.00022,0.04555,10.58861,15.50362
"22","2018_Q2",108.36078125,"Up",557406000,-348073000,209333000,-161186000,-161186000,48147000,-15098000,-15098000,33049000,33049000,-7588000,25461000,25461000,25461000,25461000,20796000,20796000,38614000,38614000,530657000,60064000,60064000,650131000,811369000,287461000,100678000,141849000,30014000,14920000,1098830000,1748961000,264173000,264173000,232323000,172379000,59944000,496496000,1115610000,128213000,128213000,1243823000,1740319000,870753000,159417000,-1436000,8642000,8642000,1748961000,25461000,22745000,36986000,-88426000,-3234000,-17674000,-17674000,-17674000,-17674000,15763000,-351000,18335000,-2573000,-2573000,-62000,-2635000,70892000,1115610000,-27620000,0.37555,0.08638,0.04568,2.94619,0.01456,-1.0848,1.30944,201.37919,0.63787,1.18176,1.00915,25.87168,0.40111,-1.28197,0.02033,-0.02205,15.44341,22.73899
"23","2018_Q3",140.276349206349,"Up",640798000,-372454000,268344000,-186521000,-186521000,81823000,-15467000,-15467000,66356000,65439000,-2533000,62906000,62906000,62906000,62906000,22199000,22199000,40706000,40706000,551343000,78254000,78254000,692502000,833232000,288373000,100663000,141835000,29437000,16438000,1121605000,1814107000,284942000,284942000,216333000,164979000,51354000,836945000,728433000,102668000,102668000,831101000,1668046000,944612000,223459000,-1918000,146061000,146061000,1814107000,62906000,19194000,37853000,-67699000,52254000,-25242000,-25242000,-25242000,-25242000,54747000,-105718000,-24685000,2327000,2327000,-62000,2265000,101017000,1064103000,10609000,0.41877,0.12769,0.09817,0.43068,0.03468,0.16865,0.82742,11.4202,0.58657,2.86905,2.28778,29.22588,6.66163,0.48386,0.04792,0.00808,10.31415,12.73363
"24","2018_Q4",120.189682539683,"Down",636558000,-376089000,260469000,-204447000,-204447000,56022000,-23321000,-23321000,32701000,32701000,-6556000,26145000,26145000,26145000,26145000,7755000,7755000,42748000,42748000,566117000,77418000,77418000,694038000,856230000,293057000,100663000,141824000,29049000,21521000,1149287000,1843325000,306860000,306860000,218506000,165065000,53441000,865073000,839658000,106574000,106574000,946232000,1811305000,934201000,245870000,-2300000,32020000,32020000,1843325000,20114000,22995000,43568000,-38981000,47696000,-30362000,-30362000,-30362000,-30362000,106130000,-1084000,-33518000,-16184000,-16184000,-12000,-16196000,79017000,1179365000,16230000,0.40918,0.08801,0.04107,0.81652,0.01418,0.620769999999994,0.80229,56.56793,0.6398,1.18399,0.94375,28.82683,1.45004,0.73498,0.01984,0.01231,14.82732,20.91339
"25","2019_Q1",136.171147540984,"Up",670891000,-423460000,247431000,-171687000,-171687000,75744000,-13883000,-13883000,61861000,29775000,-8556000,21219000,21219000,21219000,21219000,5803000,5803000,40224000,40224000,531947000,125993000,104198000,703967000,952957000,766094000,86022000,124379000,35603000,520090000,1719051000,2423018000,320497000,320497000,328300000,152595000,175705000,992586000,999053000,470069000,470069000,1469122000,2461708000,356424000,-392537000,-2334000,-38690000,-38690000,2423018000,27250000,26438000,86749000,12450000,152887000,-6714000,-6714000,-6714000,-6714000,-51948000,-555000,-149124000,-2951000,-2951000,6000,-2945000,102182000,1342842000,116474000,0.36881,0.1129,0.03163,-0.54844,0.00876,5.48914,0.70923,-63.62647,0.5542,1.01517,0.82555,32.09721,-1.85103,5.57243,0.01196,0.06565,13.08488,17.65208
"26","2019_Q2",103.176666666667,"Down",598421000,-365607000,232814000,-164181000,-164181000,68633000,-21118000,-21118000,47515000,47515000,-11793000,35722000,35722000,35722000,35722000,37550000,37550000,48882000,48882000,530190000,205443000,118648000,822065000,954142000,769625000,86022000,124349000,35752000,523502000,1723767000,2545832000,289146000,289146000,374546000,174252000,200294000,1011610000,1321949000,459646000,459646000,1781595000,2793205000,362988000,-356816000,-3270000,-247373000,-247373000,2545832000,35722000,27189000,39168000,-63255000,38824000,-7916000,-7916000,-7916000,-7916000,314889000,-250000,65833000,96741000,96741000,6000,96747000,95822000,1669867000,36444000,0.38905,0.11469,0.05969,-0.14441,0.01403,1.02021,0.81263,-11.29147,0.65592,1.78817,1.43266,29.95571,-12.38298,1.82431,0.01898,0.01936,17.03489,23.78327
"27","2019_Q3",142.38328125,"Up",706514000,-411556000,294958000,-190977000,-190977000,103981000,-24513000,-24513000,79468000,80422000,-16665000,63757000,63757000,63757000,63757000,11555000,11555000,44287000,44287000,480688000,121092000,99297000,657622000,950594000,779592000,86022000,124370000,35946000,533254000,1730186000,2387808000,289713000,289713000,354556000,165511000,189045000,924957000,1194818000,445951000,445951000,1640769000,2565726000,355012000,-530150000,-2780000,-177918000,-177918000,2387808000,63757000,25321000,-32091000,1322000,58309000,-17367000,-17367000,-17367000,-17367000,-130977000,-6876000,-131856000,-90914000,-90914000,-81000,-90995000,129302000,1475506000,129922000,0.41748,0.14717,0.09024,-0.35835,0.0267,2.03777,0.71098,-14.42083,0.61793,3.45269,2.85597,38.26052,-9.63496,7.03579,0.03657,0.07452,11.32195,14.07902
"28","2019_Q4",195.11703125,"Up",677526000,-393360000,284166000,-194929000,-194929000,89237000,-21564000,-21564000,67673000,60816000,-8353000,52463000,52463000,52463000,52463000,38253000,38253000,45312000,45312000,429189000,46725000,46725000,559479000,969090000,833444000,86022000,124376000,36506000,586540000,1802534000,2362013000,288937000,288937000,329199000,167014000,162185000,903706000,1080587000,440940000,440940000,1521527000,2425233000,416948000,-477687000,-2481000,-63220000,-63220000,2362013000,52463000,23435000,44288000,-6322000.00000001,113864000,-15253000,-39331000,-39331000,-45253000,43201000,-96472000,-41985000,26626000,26626000,72000,26698000,112672000,1366157000,99450000,0.41942,0.13171,0.07743,-0.82985,0.02221,1.89562,0.61909,-38.3618,0.57839,2.79568,2.17057,36.10436,-3.3689,5.29954,0.03008,0.05703,11.78557,14.88064
"29","2020_Q1",186.39064516129,"Down",664976000,-381903000,283073000,-182093000,-182093000,100980000,-19982000,-19982000,80998000,80429000,-11996000,68433000,68433000,68433000,68433000,47658000,47658000,48979000,48979000,438696000,61619000,61619000,596952000,967599000,881143000,86022000,124367000,45005000,625749000,1848742000,2445694000,330309000,330309000,362071000,162433000,199638000,982912000,1005681000,438450000,438450000,1444131000,2427043000,430664000,-409253000,-2760000,18651000,18651000,2445694000,68433000,24794000,47252000,-12288000,128191000,-29009000,-29009000,-29009000,-52009000,-75786000,361000,-66796000,9386000,9386000,19000,9405000,125774000,1296213000,96473000,0.42569,0.15186,0.10291,3.66913,0.02798,1.40974,0.60733,130.12938,0.53,3.579,2.65575,34.77779,0.97543,5.04547,0.03903,0.05502,9.92697,12.36438
"30","2020_Q2",181.175555555556,"Down",482895000,-283241000,199654000,-164201000,-164201000,35453000,-19629000,-19629000,15824000,-4635000,1423000,-3212000,-3212000,-3212000,-3212000,17208000,17208000,49099000,49099000,494260000,65154000,65154000,625721000,953738000,850434000,65563000,124290000,38875000,621706000,1804172000,2429893000,284980000,284980000,388381000,189048000,199333000,968935000,1018168000,423658000,423658000,1441826000,2410761000,436801000,-412465000,-5132000,19132000,19132000,2429893000,-3211999.99999999,24870000,66819000,-105345000,-16868000,-16632000,-16632000,-16632000,-16632000,2766000.00000001,-381000,3182000.00000001,-30318000,-30318000,-132000,-30450000,60323000,1313742000,-63077000,0.41345,0.07342,-0.00665,-0.16789,-0.00131999999999999,19.63792,0.64578,126.00674,0.54066,-0.166920000000001,-0.16692,25.09505,0.994249999999999,-3.27798,-0.00182999999999999,-0.03591,21.49319,36.5705
