"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",0.385625,"Down",4517453,-3687258,830195,-472912,-472912,357283,-200668,-200668,-200668,156615,156615,17600,174215,174215,-45688,128527,-80137,48390,381822,381822,1109307,154392,154392,4680983,7132867,8029450,12710433,7051745,2400052,1291736,8343481,9813123,9813123,18156604,5,53131972,-59703145,-6571168,1124997,-5446171,12710433,174215,336736,-478741,395123,427333,-40475,-40475,-40475,-40475,-300112,-18224,-318336,68522,68522,68522,694019,11104859,1031067,0.18378,0.07909,0.01071,-0.00889,0.00381,21.30744,0.56103,-3.33383,0.87368,0.00185,0.00175,0.17301,-0.25166,0.03949,0.00855,0.18221,15.45064,30.01273
"12","2014_Q1",0.390327868852459,"Up",7379747,-5361391,2018356,-615130,-615130,1403226,-208875,-208875,-208875,1194351,1194351,321100,1515451,1515451,-51654,1463797,-81918,1381879,366896,366896,1044379,119198,119198,3770067,7044139,8274510,12044577,5078452,1643339,1344160,6422612,9658020,9658020,16080632,5,53145328,-58321266,-5175933,1139878,-4036055,12044577,1515451,392238,-746257,-588159,573273,-300247,-300247,-300247,-300247,-251179,-36773,-287952,-14926,-14926,-14926,1795464,11002180,585958,0.2735,0.19015,0.18725,-0.34238,0.11473,0.42403,0.587,-3.98425,0.91346,0.05292,0.04967,0.28263,-0.19823,0.02244,0.19837,0.08412,5.92342,7.57917
"13","2014_Q2",0.495714285714286,"Up",6510917,-4365545,2145372,-596313,-596313,1549059,-201181,-201181,-201181,1347878,1347878,237000,1584878,1584878,-54308,1530570,-81918,1448652,717879,717879,1257008,220942,220942,4508710,7221093,8699368,13208078,5050721,1603309,1347424,6398145,9329672,9329672,15727817,5,53158684,-56872614,-3713925,1194186,-2519739,13208078,1584878,337236,-415988,-284631,1221495,-510928,-510928,-510928,-510928,-325084,-34500,-359584,350983,350983,350983,1886295,10677096,853736,0.3295,0.23792,0.2225,-0.57492,0.10968,0.589330000000002,0.70469,-6.24184,0.80838,0.05548,0.05255,0.24935,-0.14224,0.0327,0.17759,0.10466,5.27978,6.4292
"14","2014_Q3",0.51703125,"Up",4361490,-3635151,726339,-545569,-545569,180770,-193494,-197094,-197094,-12724,-12724,0,-12724,-12724,-56875,-69599,-81027,-150626,621997,621997,1916859,257241,257241,4350128,7081901,8556293,12906421,5173949,1672760,1353905,6527854,8978701,8978701,15506555,5,53172040,-57023240,-3851195,1251061,-2600134,12906421,-12724,337237,675218,-556341,443390,-194782,-194782,-194782,-194782,-378990,34500.0000000001,-344490,-95882.0000000001,-95882.0000000001,-95882.0000000001,518007,10332606,-233116,0.16653,0.04145,-0.03454,0.05793,-0.01167,1.54765,0.66639,-5.96375,0.80058,-0.00577,-0.00547,0.16704,-0.14749,-0.00893,-0.01948,-0.03015,18.7461,53.71803
"15","2014_Q4",0.33734375,"Down",4532762,-3803454,729308,-640529,-640529,88779,-239855,-236255,-236255,-151076,-151076,53000,-98076,-98076,-35340,-133416,-80137,-213553,382824,382824,2879676,210492,210492,5255674,9104353,10736900,15992574,3719389,1932301,3956067,7675456,11338427,11338427,19013883,5,53185396,-57236793,-4051392,1030083,-3021309,15992574,-98076,334486,-332642,-469566,-565798,-1596078,-1596078,-1596078,-1596078,5648060,-3725357,1922703,-239173,-239173,-239173,423265,15294494,-1695379,0.1609,0.01959,-0.04711,0.0706799999999999,-0.01335,7.93891,0.68474,-6.29326,0.95635,-0.00818,-0.00775,0.17359,-0.15516,-0.06493,-0.0174,-0.13814,35.2301,167.96393
"16","2015_Q1",0.320327868852459,"Down",8044767,-6303477,1741290,-626704,-626704,1114586,-207038,-212038,-212038,907548,907548,750000,1657548,1657548,-54040,1603508,-81918,1521590,661263,661263,1616165,1174170,97170,5694666,8776137,10072325,15766991,2646193,782591,3979376,6625569,10524745,10524745,17150314,5,53338752,-55715203,-2376446,993123,-1383323,15766991,1657548,300614,-1197030,300966,1062098,55687,55687,55687,55687,-809099,-170247,-839346,278439,278439,278439,1415200,14504121,1021853,0.21645,0.13855,0.18914,-1.09995,0.0965,0.67157,0.8595,-12.39791,0.9199,0.0575,0.05426,0.30402,-0.08981,0.03862,0.11597,0.07788,9.78156,12.41973
"17","2015_Q2",0.29015873015873,"Down",6066371,-4737213,1329158,-614942,-614942,714216,-208843,-208843,-208843,505373,505373,-152700,352673,352673,-56257,296416,-81918,214498,853633,853633,2022118,1217640,29640,5410359,8960162,9983292,15393651,2742905,776433,4140408,6883313,9660550,9660550,16543863,5,53352108,-55500705,-2148592,998380,-1150212,15393651,352673,343333,1017156,-269314,1443848,-443000,-443000,-443000,-443000,-703163,-105315,-808478,192370,192370,192370,1057549,13800958,497935,0.2191,0.11773,0.03536,-0.18649,0.01393,2.3214,0.78601,-14.38332,0.89654,0.00811,0.00764,0.22926,-0.0812,0.01882,0.01696,0.03936,12.24277,18.12802
"18","2015_Q3",0.27484375,"Down",3925077,-4260438,-335361,-491000,-491000,-826361,-200074,-202574,-202574,-1026435,-1026435,368383,-658052,-658052,-57042,-715094,-81027,-796121,562619,562619,1483303,767496,93996,3808640,8693498,10590152,14398792,2978141,936680,1923523,4901664,11340063,11340063,16241727,5,53449464,-56296826,-2847357,1004422,-1842935,14398792,-658052,343333,-33281,710586,362586,-67309.9999999999,-67310,-67310,-67309.9999999999,-537372,-132918,-586290,-291014,-291014,-291014,-483028,13263586,-208135,-0.08544,-0.21053,-0.20283,0.43199,-0.05529,0.26144,0.77701,-8.81297,0.92116,-0.02979,-0.03172,0.14688,-0.10655,-0.00779,-0.06971,-0.01822,-26.29447,-15.36976
"19","2015_Q4",0.205625,"Down",3685044,-2431250,1253794,-573099,-573099,680695,-200151,-200151,-200151,480544,480544,-143728,336816,336816,-57820,278996,-80137,198859,205311,205311,2938866,1385813,55813,5567620,8673841,9764775,15332395,3600543,1484391,2550923,6151466,10774829,10774829,16926295,5,53492820,-56097967,-2605142,1011242,-1593900,15332395,336816,367452,114676,-793197,25747,-310054,-310054,-310054,-310054,29917,-132918,-73001,-357308,-357308,-357308,1048147,13325752,88624,0.34024,0.18472,0.05396,-0.12476,0.01297,0.44566,0.90509,-10.61942,0.86912,0.00728,0.00728,0.13497,-0.09542,0.00325,0.01695,0.00755,12.51775,19.27507
"20","2016_Q1",0.22655737704918,"Up",8617430,-6840291,1777139,-489721,-489721,1287418,-206568,-206568,-206568,1080850,1080850,-502718,578132,578132,-55885,522247,-81918,440329,598887,598887,1429344,20249,20249,4021555,8509315,10418186,14439741,2996060,798470,2278164,5274224,10300847,10300847,15575071,5,53506176,-55657638,-2151457,1016127,-1135330,14439741,578132,377705,-419371,938822,1475288,-171586,-171586,-171586,-171586,-778989,-131137,-910126,393576,393576,393576,1665123,12579011,2935077,0.20623,0.1494,0.0511,-0.38784,0.03049,6.66565,0.76249,-13.71854,0.87114,0.01606,0.01439,0.31432,-0.07847,0.10706,0.03848,0.25648,7.19474,9.30554
"21","2016_Q2",0.24421875,"Up",5569981,-4629316,940665,-702142,-702142,238523,-195412,-195412,-195412,43111,43111,5285,48396,48396,-57793,-9397,-81918,-91315,718193,718193,2054267,1242881,10000,6304910,8412883,9086102,15391012,4814353,2534677,1987039,6801392,9796116,9796116,16597508,5,53519532,-55748953,-2229416,1022920,-1206496,15391012,48396,388324,-309726,1202728,1329722,-282534,-282534,-282534,-282534,-795855,-132027,-927882,119306,119306,119306,626847,11783155,1541756,0.16888,0.04282,-0.01639,0.07569,-0.00592999999999999,-16.88393,0.927,-13.75679,0.76559,-0.00333,-0.00333,0.2032,-0.08133,0.05625,-0.00862999999999999,0.14577,17.65177,46.3895
"22","2016_Q3",0.25625,"Up",4420210,-3539834,880376,-537326,-537326,343050,-191964,-191964,-191964,151086,151086,-33935,117151,117151,-58544,58607,-81027,-22420.0000000001,818385,818385,2309429,1347773,114892,6040772,8381914,9022286,15063058,4268307,1907667,2009713,6278020,9936054,9936054,16214074,5,53589888,-55771373,-2181480,1030464,-1151016,15063058,117151,286669,772978,-905459,271339,-257840,-257840,-257840,-257840,162611,-132918,86693,100192,100192,100192,629719,11945767,-499645,0.19917,0.07761,-0.00507,0.01948,-0.00149,22.28568,0.96221,-14.08675,0.79305,-0.00081,-0.000809999999999999,0.15998,-0.07896,-0.01808,-0.00208,-0.04629,17.67039,32.43662
"23","2016_Q4",0.236349206349206,"Down",5280480,-4574839,705641,-601106,-601106,104535,-232105,-232105,-232105,-127570,-127570,67750.0000000001,-59820,-59820,-58912,-118732,-81796,-200528,508243,508243,3792011,1335115,102234,7264464,12016092,12713951,19978415,5860868,3417702,4247218,10108086,11200604,11200604,21308690,5,53603245,-55971901,-2368651,1038376,-1330275,19978415,-59820,368372,-567873,123000,-136321,-2853894,-2853894,-2853894,-2853894,2813759,-133686,2680073,-310142,-310142,-310142,472907,15447822,-2325737,0.13363,0.0198,-0.03798,0.15074,-0.01004,11.59807,0.71868,-16.01826,0.77323,-0.00719,-0.00719,0.1894,-0.08496,-0.08342,-0.0142,-0.16474,31.59094,142.91461
"24","2017_Q1",0.230483870967742,"Down",11069734,-8847050,2222684,-714675,-714675,1508009,-242947,-242947,-242947,1265062,1265062,-534655,730407,730407,-57584,672823,-86834,585989,897377,897377,1304495,70058,70058,7358070,12565319,13872406,21230476,6577260,4041565,2088327,8665587,13289236,13289236,21954823,5,53616600,-55385912,-1769307,1044960,-724347,21230476,730407,511918,-1363375,1571375,1450325,-928863,-928863,-928863,-928863,-1073.99999999953,-131254,-132328,389134,389134,389134,2019927,15377563,3197094,0.20079,0.13623,0.05294,-0.80899,0.0276,5.45589,0.84911,-30.30981,0.72432,0.02101,0.02003,0.39694,-0.06344,0.11464,0.03999,0.21818,7.16867,9.60219
"25","2017_Q2",0.304444444444444,"Up",7844261,-6876443,967818,-723029,-723029,244789,-236631,-236631,-236631,8158,8158,18849.9999999999,27008,27008,-59379,-32371,-85068,-117439,685158,685158,1318498,18123.0000000001,18123,4756699,15626957,16949941,21706640,2462171,2359544,3201905,5664076,16818973,16818973,22483049,5,53673600,-55503353,-1829748,1053339,-776409,21706640,27008,527816,1026629,-292850,1288603,-849062,-849062,-849062,-849062,-570014,-138746,-651760,-212219,-212219,-212219,772605,20020878,-388157.000000001,0.12338,0.03121,-0.01497,0.15126,-0.00541,3.30518,0.8398,-28.95774,0.92234,-0.00416,-0.00416,0.27814,-0.06488,-0.01376,-0.00610000000000001,-0.0201699999999999,25.02666,78.98933
"26","2017_Q3",0.389365079365079,"Up",9221711,-7992441,1229270,-664275,-664275,564995,-306169,-306169,-306169,258826,258826,-73400,185426,185426,-60173,125253,-84144,41109,669668,669668,1295542,227990,227990,3415900,18923322,20168601,23584501,2937863,2881459,4340096,7277959,16912667,16912667,24190626,5,53793600,-55462242,-1668637,1062512,-606125,23584501,185426,694758,1491908,383418,2755510,-1246011,-1246011,-1246011,-1246011,-1388922,-136067,-1524989,-15490.0000000001,-15490.0000000001,-15490.0000000001,1259753,21252763,470560,0.1333,0.06127,0.00446,-0.06782,0.00174,11.44664,0.46935,-39.91029,0.90113,0.00145,0.00145,0.32512,-0.05883,0.01659,0.00199,0.02279,16.33899,36.43058
"27","2017_Q4",0.453492063492064,"Up",8693851,-6234807,2459044,-745924,-745924,1713120,-290087,-290087,-290087,1423033,1423033,-502150,920883,920883,-60914,859969,-86302,773667,483027,483027,3551442,157501,157501,4707204,20110110,20848933,25556137,2975967,2949117,4629186,7605153,17783137,17783137,25388290,5,53793600,-54688575,-894970,1062817,167847,25556137,920883,774760,1209616,-2117753,787506,-147293,-147293,-147293,-147293,-650389,-176465,-826854,-186641,-186641,-186641,2487880,22412323,724984,0.28285,0.19705,0.08899,4.60936,0.03027,0.93707,0.61895,151.25853,0.87698,0.02728,0.02571,0.30655,-0.03156,0.02556,0.03426,0.03211,8.81445,12.80079
"28","2018_Q1",0.464426229508197,"Up",14284287,-11469879,2814408,-882732,-882732,1931676,-362795,-379970,-379970,1568881,1568881,-455290,1113591,1113591,-59699,1053892,-90308,963584,579021,579021,1587552,136395,136395,8536691,19706782,19988197,28524888,5786705,5727903,4754796,10541501,16843257,16843257,27384758,5,53793600,-53724991,68614,1071516,1140130,28524888,1113591,775131,-3873471,3404435,1419686,-456299,-456299,-456299,-456299,-728961,-138432,-867393,95994,95994,95994,2706807,21598053,6110233,0.19703,0.13523,0.06746,0.84515,0.03378,6.34115,0.80982,24.01898,0.75717,0.03397,0.03327,0.50365,0.00242,0.21544,0.04238,0.26872,7.76525,10.88124
"29","2018_Q2",0.41484375,"Down",10287075,-8388176,1898899,-831403,-831403,1067496,-316414,-324677,-324677,751082,751082,-220800,530282,530282,-61053,469229,-94521,374708,1159974,1159974,2829086,59412,59412,6514188,20967523,21045138,27559326,3797073,3707307,4955949,8753022,17281413,17281413,26034435,5,53793600,-53350283,443322,1081569,1524891,27559326,530282,778911,3971807,-3188517,2092483,-1977498,-1977498,-1977498,-1977498,609366,-143398,465968,580953,580953,580953,1846407,22237362,-3098808,0.18459,0.10377,0.03643,0.24573,0.0136,-8.26993,0.74422,17.07298,0.80689,0.01321,0.01293,0.36272,0.01563,-0.10926,0.01577,-0.13041,11.41535,19.7447
"30","2018_Q3",0.505396825396825,"Up",9722102,-8588065,1134037,-621013,-621013,513024,-330253,-334059,-334059,182771,182771,-38700,144071,144071,-61915,82155.9999999999,-93493,-11337,528450,528450,3039936,113158,113158,5694738,21053357,21092272,26787010,3952453,3921631,4988503,8940956,16321585,16321585,25262541,5,53793600,-53361620,431985,1092484,1524469,26787010,144071,833232,491222,26040.9999999991,1494566,-1019032,-1019032,-1019032,-1019032,-961538,-145520,-1107058,-631524,-631524,-631524,1346256,21310088,391965,0.11665,0.05277,-0.00117,-0.00744,-0.00042,-34.57396,0.63693,16.57137,0.79554,-0.000400000000000001,-0.00039,0.3428,0.01523,0.01382,-5e-04,0.01717,15.43662,40.50812
"31","2018_Q4",0.624098360655738,"Up",12064651,-10349347,1715304,-724748,-724748,990556,-345410,-339208,-339208,645146,645146,-639600,5546,5546,-62552,-57006,-95548,-152554,334036,334036,4088774,105925,105925,8257780,22884618,22884618,31142398,2876554,2850482,10672739,18144327,11042319,11643004,29787331,5,53793600,-53514174,279431,1075636,1355067,31142398,5546,966699,-1068319,2508352,2412278,-768807,-771807,-771807,-768807,-1632115,-205770,-1837885,-194414,-194414,-194414,1957255,21715058,4336400,0.14218,0.0821,-0.01264,-0.11258,-0.0049,-28.42534,0.45512,21.98218,0.69728,-0.00538,-0.00526,0.42539,0.00985,0.1529,-0.00644,0.1832,10.92398,21.58487
"32","2019_Q1",0.577377049180328,"Down",16535247,-14244731,2290516,-856863,-856863,1433653,-369171,-375448,-375448,1064482,1064482,126720,1191202,1191202,-61519,1129683,-100822,1028861,379632,379632,3089267,215617,215617,8695709,25353876,25353876,34049585,4706799,4651695,4484853,12595986,18569187,19060152,31656138,5,53793600,-52485313,1308292,1085155,2393447,34049585,1191202,1107279,-1391868,1156146,2062759,-2941873,-2941873,-2941873,-2941873,1077532,-152822,924710,45596,45596,45596,2540932,23054040,628485,0.13852,0.0867,0.06222,0.42987,0.03022,0.61086,0.69036,13.22617,0.67707,0.03628,0.03548,0.58302,0.04613,0.02216,0.03967,0.02423,8.92366,15.81583
"33","2019_Q2",0.57031746031746,"Down",18206110,-15760152,2445958,-939091,-939091,1506867,-410359,-412628,-412628,1096508,1096508,-331600,764908,764908,-60575,704333,-102945,601388,1188737,1188737,3069552,175155,175155,9005574,27848623,27848623,36854197,7090174,6958377,4674214,11888222,21139000,21961565,33849787,5,53793600,-51883925,1909680,1094730,3004410,36854197,764908,1085267,770663,-676861,1943977,-1477449,-1477449,-1477449,-1477449,393577,-51000,342577,809105,809105,809105,2592134,25813214,769424,0.13435,0.08277,0.03303,0.20017,0.01632,1.27941,0.75752,11.2667,0.70041,0.0212,0.02073,0.64194,0.06733,0.02713,0.02029,0.02596,9.49969,16.34151
"34","2019_Q3",0.55984375,"Down",14733130,-13041366,1691764,-853650,-853650,838114,-432669,-435690,-435690,405445,405445,-108500,296945,296945,-62952,233993,-105100,128893,573494,573494,5388006,56371,56371,8479243,30601008,30601008,39080251,6821267,6716167,4487888,11866744,23137187,24068252,35934996,5,53793600,-51755032,2038573,1106682,3145255,39080251,296945,1093232,2219258,-2036977,1572458,-3831353,-3831353,-3831353,-3831353,1797597,-153945,1643652,-615243,-615243,-615243,1931346,27625075,-3828484,0.11483,0.05689,0.00875,0.04098,0.0033,-29.70281,0.71454,11.42515,0.70688,0.00454,0.00444,0.51948,0.07188,-0.13499,0.00407,-0.12077,14.00659,32.27673
"35","2019_Q4",0.45546875,"Down",17224467,-15455920,1768547,-959288,-959288,809259,-497529,-499967,-499967,311730,311730,-80300,231430,231430,-64093,167337,-108219,59118,1094895,1094895,5151417,239548,239548,10754830,32811038,32811038,43565868,6423382,6315163,4909286,13985175,25385962,26363227,40348402,5,53793600,-51695914,2097691,1119775,3217466,43565868,231430,1156231,-1761398,1819063,1445326,-103520,-1071688,-1071688,-103520,-664305,-156100,-820405,521401,521401,521401,1965490,30295248,3761333,0.10268,0.04698,0.00343,0.01837,0.00136,63.62416,0.76902,12.54043,0.69539,0.00208,0.00204,0.60733,0.07396,0.13262,0.00171,0.10906,14.85653,36.08283
