"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"11","2013_Q4",0.85109375,"Down",1416699,-971316,445383,-508715,-358533,-150182,-63332,7079,-56253,-56253,-35613,-35613,-35613,-35613,-35613,53589,10656,1070410,1099042,-6994,-6994,34415,34415,34415,1126463,1126463,-2155,1124308,-9743,0,0.31438,-0.0447,-0.02514,-0.00509,-0.00464,0.2024
"12","2014_Q1",0.803770491803279,"Down",1470542,-989524,481018,-463322,-358140,-105182,17696,1442,19138,19138,44020,44020,44020,44020,44020,52297,10382,-208702,-102003,-7710.99999999999,-7710.99999999999,261100,261100,261100,151386,151386,-267,151119,69992.9999999999,0,0.3271,0.01203,0.02993,0.00613,0.00581,0.20482
"13","2014_Q2",0.866825396825397,"Up",1013739,-753448,260291,-434059,-342802,-91257,-173768,6054,-167714,-167714,-167714,-167714,-167714,-167714,-167714,50235,-1157,-257635,-376271,-8731,-8731,760.000000000029,760.000000000029,760,-384242,-384242,-91,-384333,-123533,0,0.25676,-0.17141,-0.16544,-0.02303,-0.02303,0.13923
"14","2014_Q3",0.8784375,"Up",934841,-679197,255644,-503147,-366358,-136789,-247503,4145,-243358,-243358,-243358,-243358,-243358,-243358,-243358,47117,0,-167636,-363877,8731,8731,1020,1020,-82835,-437981,-437981,76.9999999999999,-437904,-200386,0,0.27346,-0.26475,-0.26032,-0.03345,-0.03345,0.12851
"15","2014_Q4",0.8865625,"Up",1492719,-914158,578561,-545888,-405712,-140176,32673,3402,36075,36075,26540,26540,26540,26540,26540,51272,10122,-200688,-112754,-117365,-117365,165495,165495,249350,19231,19231,-1100,18131,83945,0,0.38759,0.02189,0.01778,0.0036,0.0036,0.20234
"16","2015_Q1",0.86327868852459,"Down",1679152,-1104440,574712,-632708,-411064,-221644,-57996,6573,-51423.0000000001,-51423,168872,168872,168872,168872,168872,58409,-120483,-116169,-9371.00000000001,-165165,-165165,18000,18000,18000,-156536,-156536,-28.9999999999998,-156565,412.999999999971,0,0.34226,-0.03454,0.10057,0.02237,0.02237,0.22239
"17","2015_Q2",0.91968253968254,"Up",1034450,-724539,309911,-534022,-338316,-195706,-224111,4843,-219268,-219268,-219268,-219268,-219268,-219268,-219268,63420,5589,293900,143641,-8027,-8027,3173,3173,3173,138787,138787,-934,137853,-160691,0,0.29959,-0.21665,-0.21197,-0.02905,-0.02905,0.13705
"18","2015_Q3",0.85140625,"Down",1133600,-826357,307243,-557108,-375020,-182088,-249865,11837,-238028,-238028,-238028,-238028,-238028,-238028,-238028,62756,-13686,229313,40355,-12863,-12863,322,322,321.999999999993,27814.0000000001,27814.0000000001,-744,27070,-187109,0,0.27103,-0.22042,-0.20998,-0.03152,-0.03152,0.15011
"19","2015_Q4",0.92828125,"Up",1299400,-840568,458832,-594363,-409737,-184626,-135531,1724,-133807,-133807,-117187,-117187,-117187,-117187,-117187,66494,7830,-460046,-502909,-1,-1,860,860,860,-502050,-502050,-309,-502359,-69037,0,0.35311,-0.1043,-0.09019,-0.01551,-0.01551,0.172
"20","2016_Q1",1.17622950819672,"Up",1494923,-1029103,465820,-526908,-355688,-171220,-61088,5757,-55331,-55331,243073,243073,243073,243073,243073,60605,-21136,-369110,-86568,-1891,-1891,5205,5205,5205,-83254,-83254,-128,-83381.9999999999,-483,0,0.3116,-0.04086,0.1626,0.03218,0.03218,0.19788
"21","2016_Q2",1.52859375,"Up",1286993,-865572,421421,-497654,-339660,-157994,-76233,3898,-72335,-72335,-72335,-72335,-72335,-72335,-72335,58874,-14114,-168068,-195643,-6605,-6605,7549,7549,7549,-194699,-194699,-343,-195042,-17359,0,0.32745,-0.05923,-0.0562,-0.00954,-0.00954,0.16974
"22","2016_Q3",2.4278125,"Up",1165080,-753039,412041,-621815,-391603,-230212,-209774,14006,-195768,-195768,-66767.9999999999,-66767.9999999999,-66767.9999999999,-66767.9999999999,-66768,57522,12239,-232392,-229399,-22614,-22614,2749,2749,2748.99999999999,-249264,-249264,-1023,-250287,-152252,0,0.35366,-0.18005,-0.05731,-0.0088,-0.0088,0.15357
"23","2016_Q4",2.40365079365079,"Down",1361610,-1017090,344520,-613628,-428361,-185267,-269108,9106,-260002,-260002,-135002,-135002,-135002,-135002,-135002,58158,30952,275878,229986,-41704,-41704,27958,27958,27958,216240,216240,-73,216167,-210950,0,0.25302,-0.19764,-0.09915,-0.01772,-0.01772,0.17876
"24","2017_Q1",2.36064516129032,"Down",1326133,-980073,346060,-617897,-411037,-206860,-271837,3955,-267882,-267882,-1225682,-1225682,-1225682,-1225682,-1225682,57868,4163,1149925,-13725.9999999999,-24269,-24269,1067658,1067658,1067658,1029663,1029663,117,1029780,-213969,0,0.26095,-0.20498,-0.92425,-0.1588,-0.1588,0.17181
"25","2017_Q2",2.48285714285714,"Up",1410110,-833148,576962,-642594,-418348,-224246,-65632,10215,-55417,-55417,-55417,-55417,-55417,-55417,-55417,52978,-9994,-59499,-71932,0,0,0,0,0,-71932,-71932,26,-71906,-12654,0,0.40916,-0.04654,-0.0393,-0.00678,-0.00678,0.1726
"26","2017_Q3",2.69920634920635,"Up",1432207,-875518,556689,-776520,-475558,-300962,-219831,16648,-203183,-203183,-203183,-203183,-203183,-203183,-203183,58016,23310,-114102,-235959,-25682,-25682,56556,56556,56556,-205085,-205085,-786,-205871,-161815,0,0.38869,-0.15349,-0.14187,-0.02464,-0.02464,0.17365
"27","2017_Q4",3.33015873015873,"Up",1499930,-1050503,449427,-767149,-510428,-256721,-317722,13581,-304141,-304141,-304141,-304141,-304141,-304141,-304141,52593,43084,126975,-81489,-70151,-70151,82441,82441,82441,-69199,-69199,-241,-69440,-265129,0,0.29963,-0.21182,-0.20277,-0.03624,-0.03624,0.17873
"28","2018_Q1",4.28934426229508,"Up",1449423,-1010710,438713,-790161,-441455,-348706,-351448,5628,-345820,-345820,-345820,-345820,-345820,-345820,-345820,55632,-9454.00000000001,-33836,-333478,-251.999999999985,-252,18731,18731,18731,-314999,-314999,-1247,-316246,-295816,0,0.30268,-0.24247,-0.23859,-0.04064,-0.04064,0.17033
"29","2018_Q2",3.795,"Down",1444483,-929912,514571,-740599,-452014,-288585,-226028,18969,-207059,-207059,-207059,-207059,-207059,-207059,-207059,48833,11889,21623,-124714,-19974,-19974,1038,1038,1038,-143650,-143650,-824,-144474,-177195,0,0.35623,-0.15648,-0.14334,-0.02433,-0.02433,0.16971
"30","2018_Q3",3.74253968253968,"Down",1613636,-1107445,506191,-794929,-522492,-272437,-288738,20077,-268661,-268661,-268661,-268661,-268661,-268661,-268661,45300,-94,-15181,-238636,-32949,-32949,12751,12751,12751,-258834,-258834,-4344,-263178,-243438,0,0.3137,-0.17894,-0.16649,-0.03153,-0.03153,0.1894
"31","2018_Q4",2.82253968253968,"Down",1375666,-910295,465371,-788217,-434658,-353559,-322846,355,-322491,-322491,-322491,-322491,-322491,-322491,-322491,45731,3024,-215082,-488818,-21380,-21380,290558,290558,290558,-219640,-219640,-1140,-220780,-277115,0,0.33829,-0.23468,-0.23443,-0.03769,-0.03769,0.16078
"32","2019_Q1",2.44459016393443,"Down",1130400,-862133,268267,-912410,-428623,-483787,-644143,8326,-635817,-635817,-667617,-667617,-667617,-667617,-667617,46737,18833,279998,-322049,-56044,-56044,989960,989960,989960,611867,611867,-3994,607873,-597406,0,0.23732,-0.56984,-0.5906,-0.0768,-0.0768,0.13003
"33","2019_Q2",2.40412698412698,"Down",1272870,-935647,337223,-792009,-400228,-391781,-454786,3046,-451740,-451740,-451740,-451740,-451740,-451740,-451740,43960,14496,-363374,-756658,-60605,-60605,197379,197379,197379,-619884,-619884,-1326,-621210,-410826,0,0.26493,-0.35729,-0.3549,-0.05059,-0.05059,0.14253
"34","2019_Q3",3.0334375,"Up",1500791,-1092731,408060,-893997,-512592,-381405,-485937,8693,-477244,-477244,-477244,-477244,-477244,-477244,-477244,45053,44289,143492,-244410,-24412,-24412,814523,814523,814523,545701,545701,-4480,541221,-440884,0,0.2719,-0.32379,-0.31799,-0.05267,-0.05267,0.16563
"35","2019_Q4",2.99453125,"Down",1261161,-895237,365924,-1073172,-576070,-497102,-707248,28502,-678746,-678746,-678746,-678746,-678746,-678746,-678746,39101,87729,295276,-256640,-34156,-34156,82724,82724,85396,-205400,-205400,-1579,-206979,-668147,0,0.29015,-0.56079,-0.53819,-0.07284,-0.07284,0.13534
"36","2020_Q1",3.81290322580645,"Up",1165860,-985053,180807,-945626,-536816,-408810,-764819,3726,-761093,-761093,-785330,-785330,-785330,-785330,-785330,34791,26425,-262217,-986331,-51938,-51938,803739,803739,810129,-228140,-228140,-3010,-231150,-730028,0,0.15508,-0.65601,-0.67361,-0.08231,-0.08231,0.1222
"37","2020_Q2",7.00634920634921,"Up",1194415,-827111,367304,-876863,-506397,-370466,-509559,4063,-505496,-505496,-506296,-506296,-506296,-506296,-506296,35278,65688,397176,-8154,-14271,-14271,146636,146636,146636,124211,124211,-3442,120769,-474281,0,0.30752,-0.42662,-0.42389,-0.05196,-0.05196,0.12257
"38","2020_Q3",8.08296875,"Up",1596408,-1127536,468872,-959415,-554561,-404854,-490543,4483,-486060,-486060,-485260,-485260,-485260,-485260,-485260,30267,99119,-1966,-357840,-7060.00000000001,-7060,209978,209978,409978,45078,45078,-1643,43435,-460276,0,0.2937,-0.30728,-0.30397,-0.04943,-0.04943,0.16262
"39","2020_Q4",6.26140625,"Down",1176889,-964910,211979,-1126864,-653585,-473279,-914885,53959,-860926,-860926,-860926,-860926,-860926,-860926,-860926,29227,212426,182356,-436917,-30326,-30326,89472,89472,2007058,1539815,1539815,928,1540743,-885658,0,0.18012,-0.77738,-0.73153,-0.08536,-0.08536,0.11669
"40","2021_Q1",6.40590163934426,"Up",2724999,-2034927,690072,-1516050,-832079,-683971,-825978,8679.00000000001,-817299,-817299,-824689,-824689,-824689,-824689,-824689,34400,408428,-3112726,-3494587,-67270,-67270,10010305,10010305,9810305,6248448,6248448,847,6249295,-791578,0,0.25324,-0.30311,-0.30264,-0.07485,-0.07485,0.24733
"41","2021_Q2",4.23809523809524,"Down",1143806,-1025717,118089,-2017449,-1305944,-711505,-1899360,8091,-1891269,-1891269,-1892394,-1892394,-1892394,-1892394,-1892394,32570,510424,-247746,-1597146,-92746,-92746,14900,14900,14900,-1674992,-1674992,-1721,-1676713,-1866790,0,0.10324,-1.66056,-1.65447,-0.16108,-0.16108,0.09736
"42","2021_Q3",4.109375,"Down",1372526,-1063807,308719,-2021407,-1404846,-616561,-1712688,7983,-1704705,-1704705,-1718098,-1718098,-1718098,-1718098,-1718098,31865,526845,-123684,-1283072,-30356,-30356,34430,34430,34430,-1278998,-1278998,-1529,-1280527,-1680823,0,0.22493,-1.24784,-1.25178,-0.14614,-0.14614,0.11675
"43","2021_Q4",4.8134375,"Up",3628638,-3702069,-73431,-2091914,-1527947,-563967,-2165345,37687,-2127658,-2127658,-2124541,-2124541,-2124541,-2124541,-1363397,30115,1413811,-1444375,-1363846,-100539,-100539,1058600,1058600,1058600,-405785,-405785,-5437,-411222,-2135230,0,-0.02024,-0.59674,-0.58549,-0.17848,-0.17848,0.30483
"44","2022_Q1",4.15629032258065,"Down",1054057,-1041149,12908,-1735208,-1432780,-302428,-1722300,12735,-1709565,-1709565,-1711221,-1711221,-1711221,-1711221,-2472365,43717,1458145,-37181,-1007684,-71942,-71942,171719,171719,5800,-1073826,-1073826,572,-1073254,-1678583,0,0.01225,-1.63397,-1.62346,-0.13904,-0.13904,0.08564
"45","2022_Q2",3.57290322580645,"Down",1261787,-1350757,-88970,-1451399,-1069855,-381544,-1540369,6805,-1533564,-1533564,-1542581,-1542581,-1542581,-1542581,-1542581,34722,467372,1116323,75836,-77516,-77516,842228,842228,804606,802926,802926,-5613,797313,-1505647,0,-0.07051,-1.22078,-1.22254,-0.12931,-0.12931,0.10578
"46","2022_Q3",3.23796875,"Down",4646900,-3875141,771759,-1901520,-1353587,-547933,-1129761,6916,-1122845,-1122845,-1125274,-1125274,-1125274,-1125274,-1125274,33946,-335127,2769369,1342914,-49613,-49613,943474,943474,913988,2207289,2207289,-4750,2202539,-1095815,0,0.16608,-0.24312,-0.24216,-0.08936,-0.08936,0.36903
