"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q3",23.65515625,"Up",139195000,-119662000,19533000,-16521000,-10685000,-2634000,-3202000,3012000,-2769000,-2762000,-7000,243000,243000,93000,336000,336000,336000,336000,41456000,41456000,41571000,41571000,108473000,4866000,4866000,196366000,43444000,250142000,58703000,173010000,1363000,17066000,293586000,489952000,68725000,59832000,8893000,8458000,8458000,85933000,183008000,17280000,3794000,13486000,200288000,286221000,233510000,61799000,203731000,203731000,489952000,336000,5250000,1542000,13955000,21083000,-1335000,-9482000,-1693000,-1756000,9845000,9845000,9845000,8262000,191758000,20789000,0.14033,0.02164,0.00241,0.00165,0.00069,61.87202,2.28511,1.4049,0.39138,0.015,0.01483,6.21536,9.09704,0.92827,0.00081,0.05036,18.19196,49.90106
"12","2019_Q4",29.800625,"Up",154456000,-133763000,20693000,-17371000,-11048000,-2987000,-3336000,3322000,-2620000,-2663000,43000,702000,702000,221000,923000,923000,923000,923000,30175000,30175000,77140000,77140000,105822000,5085000,5085000,218222000,43056000,245588000,55367000,173010000,1363000,15848000,288644000,506866000,97086000,86963000,10123000,9166000,9166000,115002000,169250000,15424000,3097000,12327000,184674000,299676000,236046000,62722000,207190000,207190000,506866000,923000,5497000,1337000,-3414000,4343000.00000001,-2231000,-2231000,-13345000,-13393000,-11281000,-11281000,-11281000,8819000,1.78e+08,2952999.99999999,0.13397,0.02151,0.00598,0.00445,0.00182,3.19934999999999,1.89755,1.44638,0.35118,0.04111,0.04067,6.87865,9.22714,0.13151,0.0023,0.00737000000000002,16.7621,44.4988
"13","2020_Q1",30.2279032258065,"Up",189355000,-163440000,25915000,-20209000,-13779000,-3090000,-3340000,5706000,-2521000,-2454000,-67000,3185000,3185000,4767000,7952000,7952000,7952000,7952000,60612000,60612000,84849000,84849000,127037000,4449000,4449000,276947000,44541000,245067000,52027000,173010000,4738000,15292000,289608000,566555000,144392000,131578000,12814000,10725000,10725000,163867000,169304000,11968000,210000,11758000,181272000,345139000,242320000,70674000,221416000,221416000,566555000,7952000,5912000,-2081000,20364000,32147000,-3995000,-3995000,2353000,2285000,30437000,30437000,30437000,11618000,178054000,23220000,0.13686,0.03013,0.042,0.03591,0.01404,2.92002,1.69007,1.55878,0.31427,0.35255,0.34308,8.39501,9.81643,1.02945,0.01933,0.05644,10.10862,20.58219
"14","2020_Q2",22.8309523809524,"Down",220028000,-191254000,28774000,-23274000,-16618000,-3322000,-3334000,5500000,-2343000,-2374000,31000,3157000,3157000,242000,3399000,3399000,3399000,3399000,41583000,41583000,87573000,87573000,143721000,6868000,6868000,279745000,44486000,239788000,48693000,173010000,4016000,14069000,284274000,564019000,131147000,119076000,12071000,11540000,11540000,151437000,172359000,10703000,210000,10493000,183062000,334499000,247025000,74073000,229520000,229520000,564019000,3399000,5737000,3830000,-34002000,-21036000,-2470000,-2470000,2812000,4477000,-19029000,-19029000,-19029000,11237000,181109000,-25477000,0.13077,0.025,0.01545,0.01481,0.00603,-7.49544,1.84727,1.45738,0.3211,0.14949,0.14663,9.67702,10.09449,-1.1205,0.00807,-0.06047,12.41666,25.36836
"15","2020_Q3",26.5728125,"Up",221564000,-192302000,29262000,-19958000,-13113000,-3509000,-3336000,9304000,-2304000,-2302000,-2000,7e+06,7e+06,-189000,6811000,6811000,6811000,6811000,56969000,56969000,104859000,104859000,149190000,6371000,6371000,317389000,45631000,235856000,45357000,173010000,4354000,13135000,281487000,598876000,134252000,118278000,15974000,12355000,12355000,155357000,195413000,9916000,210000,9706000,205329000,360686000,248884000,80884000,238190000,238190000,598876000,6811000,5925000,2044000,-18927000,-4147000,-3195000,-3195000,22813000,22728000,15386000,15386000,15386000,15229000,204163000,-6704000,0.13207,0.04199,0.03074,0.02859,0.01137,-0.98429,2.04297,1.51428,0.34091,0.29825,0.29589,9.70223,10.43028,-0.29357,0.01506,-0.01482,9.66538,15.82051
"16","2020_Q4",28.2890625,"Up",227678000,-195172000,32506000,-19974000,-13367000,-3269000,-3338000,12532000,-2294000,-2052000,-242000,10238000,10238000,310000,10548000,10548000,10548000,10548000,78919000,78919000,104121000,104121000,137583000,5577000,5577000,326200000,44574000,234667000,42019000,173010000,4674000,14964000,279241000,605441000,124433000,107648000,16785000,15116000,15116000,148299000,193467000,9008000,210000,8798000,202475000,350774000,254813000,91432000,254667000,254667000,605441000,10548000,6367000,2339000,4051000,23305000,-2626000,-2626000,4421000.00000001,1271000,21950000,21950000,21950000,18899000,202217000,20014000,0.14277,0.05504,0.04633,0.04142,0.01742,1.89742,2.19961,1.37738,0.334,0.45757,0.45079,9.87672,11.0475,0.86821,0.02264,0.04296,6.52405,9.83865
"17","2021_Q1",42.562131147541,"Up",244966000,-210616000,34350000,-20134000,-13516000,-3261000,-3357000,14216000,-2320000,-1999000,-321000,11896000,11896000,625000,12521000,12521000,12521000,12521000,252899000,252899000,100977000,100977000,134756000,7082000,7082000,495714000,41811000,236647000,39845000,174887000,6324000,15591000,278458000,774172000,137456000,116664000,20792000,15828000,15828000,162034000,191522000,8927000,109000,8818000,200449000,362483000,399314000,103953000,411689000,411689000,774172000,12521000,6217000,4518000,16881000,40137000,-1271000,-6306000,140408000,140149000,173980000,173980000,173980000,20433000,200272000,35418000,0.14022,0.05803,0.05111,0.03041,0.01617,2.82869,3.05932,0.88048,0.25869,0.52027,0.51651,10.1788,17.10646,1.47169,0.02017,0.05704,-2.57559,-3.70196
"18","2021_Q2",55.0731746031746,"Up",264566000,-225054000,39512000,-21255000,-14349000,-3515000,-3391000,18257000,-2104000,-1919000,-185000,16153000,16153000,-1515000,14638000,14638000,14638000,14638000,242946000,242946000,108674000,108674000,144062000,7347000,7347000,503029000,46849000,232331000,36454000,174887000,5812000,15178000,279180000,782209000,157661000,140669000,16992000,16673000,16673000,183084000,159576000,8487000,109000,8378000,168063000,351147000,404049000,118591000,431062000,431062000,782209000,14638000,5657000,3169000,2184000,25648000,-5400000,-5400000,-29534000,-30201000,-9953000.00000003,-9953000.00000003,-9953000.00000003,23914000,168326000,22213000,0.14935,0.06901,0.05533,0.03396,0.01871,1.51749,2.74753,0.81461,0.21519,0.52271,0.50952,9.44735,15.39274,0.7932,0.02408,0.03654,-3.12035,-4.0872
"19","2021_Q3",45.6465625,"Down",282308000,-234955000,47353000,-22138000,-14699000,-4049000,-3390000,25215000,-1613000,-1591000,-22000,23602000,23602000,-737000,22865000,22865000,22865000,22865000,246665000,141714000,119108000,119108000,166256000,8491000,8491000,540520000,52374000,229555000,33064000,174887000,5235000,16369000,281929000,822449000,169664000,149844000,19820000,19324000,19324000,197738000,157630000,8598000,109000,8489000,166228000,363966000,408629000,141456000,458483000,458483000,822449000,22865000,5807000,3054000,-18485000,13241000,-9465000,-114498000,1276000,25000,-101232000,-101232000,-101232000,31022000,166380000,3809000,0.16774,0.08932,0.08099,0.04987,0.0278,0.16659,2.73352,0.79385,0.2023,0.81648,0.79588,10.0809,16.37191,0.13602,0.0361,0.00601,-2.588,-3.18402
"20","2021_Q4",44.28609375,"Down",262855000,-219218000,43637000,-22440000,-15147000,-3905000,-3388000,21197000,-1383000,-1487000,104000,19814000,19814000,-1277000,18537000,18537000,18537000,18537000,226744000,128038000,121680000,121680000,193930000,7161000,7161000,549515000,53087000,225935000,29676000,174887000,5341000,16031000,279022000,828537000,157008000,137970000,19038000,18340000,18340000,180973000,158810000,8098000,109000,7989000,166908000,347881000,412249000,159993000,480656000,480656000,828537000,18537000,6205000,3408000,-42628000,-14478000,-3335000,2664999.99999999,-1167000.00000001,-1863000,-13676000,-13676000,-13676000,27402000,164435000,-17284000,0.16601,0.08064,0.07052,0.03857,0.02237,-0.93241,3.03645,0.72376,0.19846,0.65768,0.64006,9.32587,17.05327,-0.61322,0.02838,-0.02646,-2.27389,-2.93952
"21","2022_Q1",38.9403225806452,"Down",287188000,-240210000,46978000,-30633000,-21662000,-4222000,-4749000,16345000,-2158000,-1454000,-704000,14187000,14187000,672000,14859000,14859000,14859000,14859000,75495000,75495000,142990000,142990000,236133000,8153000,8153000,462771000,85204000,472901000,89927000,335902000,8116000,38956000,558105000,1020876000,178793000,159727000,19066000,22010000,22010000,208303000,285253000,26605000,38000,26567000,311858000,520161000,417441000,174852000,500715000,500715000,1020876000,14859000,8323000,1579000,-33900000,-9139000,-2135000,-172352000,131802000,128948000,-52543000,-52543000,-52543000,24668000,292753000,-12039000,0.16358,0.05691,0.05174,0.02968,0.01456,-0.81022,2.22162,1.03884,0.28677,0.51362,0.5086,9.92704,17.30788,-0.41614,0.01812,-0.01468,8.80728,13.29202
"22","2022_Q2",28.9690322580645,"Down",293146000,-249214000,43932000,-33467000,-23267000,-4851000,-5349000,10465000,-1616000,-1532000,-84000,8849000,8849000,-810000,8039000,8039000,8039000,8039000,34516000,34516000,153534000,153534000,263851000,7662000,7662000,459563000,86003000,474797000,84578000,335902000,8153000,46164000,560800000,1020363000,164527000,142866000,21661000,22039000,22039000,194066000,283495000,30973000,38000,30935000,314468000,508534000,420516000,182891000,511829000,511829000,1020363000,8039000,9315000,2977000,-56609000,-36278000,-3417000,-3417000,-507000.00000003,-1283999.99999994,-40979000,-40979000,-40979000,19780000,290995000,-39436000,0.14986,0.0357,0.02742,0.01571,0.00788,-4.90559,2.36808,0.99356,0.28519,0.28241,0.27677,10.29816,17.98044,-1.38538,0.00964,-0.0473,12.96658,24.50827
"23","2022_Q3",29.5784375,"Up",329560000,-274099000,55461000,-30665000,-21103000,-4907000,-4655000,24796000,-1515000,-2063000,548000,23281000,23281000,-1744000,21537000,21537000,21537000,21537000,46064000,46064000,158403000,158403000,290327000,5699000,5699000,500493000,91603000,473608000,79923000,335902000,9247000,48536000,565211000,1065704000,169302000,147650000,21652000,22118000,22118000,198920000,296736000,32724000,38000,32686000,329460000,528380000,424474000,204428000,537324000,537324000,1065704000,21537000,9079000,2531000,-23764000,9383000,-10996000,-10996000,13724000,13161000,11548000,11548000,11548000,33875000,304236000,859000,0.16829,0.07524,0.06535,0.04008,0.02021,0.03988,2.51605,0.98335,0.28548,0.75131,0.74157,11.49657,18.74434,0.02997,0.02463,0.00098,7.62131,10.41184
