"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2017_Q2",7.34079365079365,"Up",-14543000,-4573000,-9970000,-6313000,317000,317000,-5996000,-5996000,-5996000,-5996000,-5996000,-5996000,118447000,18954000,99493000,1407000,1407000,119854000,984000,31203000,330000,330000,32517000,152371000,7628000,819000,6809000,42500000,63549000,86000,63549000,106049000,359477000,-313055000,-1e+05,46322000,46322000,152371000,-5996000,98000,2443000,29535000,26080000,-177000,-19037000,-19214000,361000,361000,64000,6930000,6930000,6930000,-6215000,0,-0.12944,-0.03935,2.82009,2.28939,0,-0.12462,-0.12462,0.96274,-0.05457,19.05825,18.7624
"22","2017_Q3",8.31301587301587,"Up",-18513000,-4184000,-14329000,-9576000,336000,336000,-9240000,-9240000,-9240000,-9240000,-9240000,-9240000,121645000,21500000,100145000,2304000,2304000,124167000,1010000,14999000,351000,351000,16360000,140527000,9819000,1375000,8444000,44691000,54921000,176000,54921000,99612000,363339000,-322295000,-129000,40915000,40915000,140527000,-9240000,105000,2616000,-7573000,-14092000,-131000,15361000,15230000,1408000,1408000,1408000,2546000,2546000,2546000,-9471000,5.82076609134674e-11,-0.22583,-0.06575,2.77834,2.43461,0,-0.19161,-0.19161,0.84845,-0.09641,12.84394,12.70311
"23","2017_Q4",6.86015873015873,"Down",-15939000,-3624000,-12315000,-6910000,350000,350000,-6560000,-6560000,-6560000,-6560000,-6560000,-6560000,120564000,17961000,102603000,1299000,1299000,122393000,970000,4204000,381000,381000,5555000,127948000,9538000,1353000,8185000,44410000,46241000,214000,46241000,90651000,366236000,-328855000,-84000,37297000,37297000,127948000,-6560000,108000,1845000,-8298000,-12905000,-68000,8525000,8457000,909000,909000,909000,-3539000,-3539000,-3539000,-6802000,0,-0.17589,-0.05127,2.75598,2.43052,0,-0.13497,-0.13497,0.76736,-0.07853,17.72479,17.44776
"24","2018_Q1",10.3173770491803,"Up",-17009000,-4128000,-12881000,39292000,363000,363000,39655000,39655000,39655000,39655000,39655000,39655000,127291000,40020000,87271000,1449000,1449000,179830000,1210000,7929000,359000,359000,9498000,189328000,9975000,1400000,8575000,32937000,72448000,251000,77124000,110061000,368602000,-289200000,-135000,79267000,79267000,189328000,39655000,107000,1987000,-35954000,5795000,-347000,11476000,11129000,591000,591000,5135000,22059000,22059000,22059000,39399000,4676000,0.50027,0.20945,5.45982,1.38848,0.0247,0.8141,0.74097,1.62732,0.25356,-3.11213,-3.12061
"25","2018_Q2",11.959375,"Up",-19402000,-4660000,-14742000,-9856000,439000,439000,-9417000,-9417000,-9417000,-9417000,-9417000,-9417000,146568000,30550000,116018000,1532000,1532000,149798000,1131000,30508000,327000,327000,31966000,181764000,7644000,449000,7195000,76641000,74891000,337000,79591000,156232000,371798000,-345948000,-318000,25532000,25532000,181764000,-9417000,111000,2175000,48079000,40948000,-32000,-51041000,-51073000,1128000,1128000,655000,-9470000,-9470000,-9470000,-9745000,4700000,-0.36883,-0.05181,1.95454,6.11907,0.02586,-0.19276,-0.19276,0.52263,-0.08958,14.55803,14.39407
"26","2018_Q3",12.0479365079365,"Up",-22507000,-4748000,-17759000,-7485000,611000,611000,-6874000,-6874000,-6874000,-6874000,-6874000,-6874000,182041000,68752000,113289000,2720000,2720000,184925000,1614000,19765000,306000,306000,21685000,206610000,12040000,1022000,11018000,68708000,94304000,419000,109004000,177712000,381973000,-352822000,-253000,28898000,28898000,206610000,-6874000,116000,2512000,12590000,8344000.00000001,-599000,13729000,13130000,6753000,6753000,16728000,38202000,38202000,38202000,-7368999.99999999,14700000,-0.23787,-0.0332700000000001,2.69146,6.14963,0.07115,-0.13875,-0.13875,0.58329,-0.04985,22.70878,22.35685
"27","2018_Q4",10.5449206349206,"Down",-20508000,-5373000,-15135000,-11533000,643000,643000,-10890000,-10890000,-10890000,-10890000,-10890000,-10890000,173118000,24114000,149004000,2613000,2613000,176067000,1594000,12878000,222000,222000,14694000,190761000,12303000,576000,11727000,61328000,93234000,425000,107961000,169289000,385389000,-363712000,-205000,21472000,21472000,190761000,-10890000,144000,2568000,-9369000,-17547000,-124000,-28377000,-28501000,1410000,1410000,1410000,-44638000,-44638000,-44638000,-11389000,14727000,-0.50717,-0.05709,2.87091,7.88417,0.0772,-0.21632,-0.21632,0.42653,-0.08414,13.90737,13.73372
"28","2019_Q1",11.4355737704918,"Up",-20728000,-5628000,-15100000,-11396000,611000,611000,-10785000,-10785000,-10785000,-10785000,-10785000,-10785000,176984000,28088000,148896000,2342000,2342000,181384000,1536000,1.86264514923096e-09,390000,390000,1926000,183310000,13935000,966000,12969000,64396000,84487000,387000,104176000,168572000,389449000,-374497000,-214000,14738000,14738000,183310000,-10785000,141000,2507000,-7172000,-15309000,-82999.9999999999,13459000,13376000,1176000,1176000,5907000,3974000,3974000,3974000,-11255000,19689000,-0.73178,-0.05883,2.8167,11.43792,0.10741,-0.21348,-0.21348,0.29173,-0.0907,13.97557,13.80265
"29","2019_Q2",11.5766666666667,"Up",-20855000,-5501000,-15354000,-12528000,579000,579000,-11949000,-11949000,-11949000,-11949000,-11949000,-11949000,222110000,79333000,142777000,4399000,4399000,226676000,1441000,11968000,1272000,1272000,14681000,241357000,14158000,1293000,12865000,66108000,74896000,445000,94610000,160718000,467105000,-386446000,-20000,80639000,80639000,241357000,-11949000,141000,2505000,-8983000,-18286000,-46000,-5098000,-5144000,73276000,73276000,74675000,51245000,51245000,51245000,-12387000,19714000,-0.14818,-0.04951,3.42887,1.99306,0.08168,-0.22806,-0.22806,1.53906,-0.06818,16.33939,16.15549
"30","2019_Q3",7.50546875,"Down",-23194000,-5570000,-17624000,-16021000,871000,871000,-15150000,-15150000,-15150000,-15150000,-15150000,-15150000,199357000,38745000,160612000,2646000,2646000,202003000,1496000,23766000,2546000,2546000,27808000,229811000,15547000,974000,14573000,56662000,81951000,1777000,101689000,158351000,472719000,-401596000,337000,71460000,71460000,229811000,-15150000,135000,2557000,-2417000,-14875000,-190000,-28554000,-28744000,1.49011611938477e-08,1.49011611938477e-08,3030999.99999999,-40588000,-40588000,-40588000,-15886000,19738000,-0.21201,-0.06592,3.56505,2.21594,0.08589,-0.26095,-0.26095,1.23086,-0.0875,11.30675,11.21147
"31","2019_Q4",17.55890625,"Up",-24212000,-6116000,-18096000,-13631000,769000,769000,-12862000,-12862000,-12862000,-12862000,-12862000,-12862000,170933000,35922000,135011000,1586000,1586000,172519000,1588000,34867000,3347000,3347000,39802000,212321000,18534000,937000,17597000,55353000,75344000,1455000,95106000,150459000,475927000,-414458000,393000,61862000,61862000,212321000,-12862000,137000,2886000,-6893000,-16732000,-229000,14985000,14756000,5837000,5837000,233000,-1743000,-1743000,-1743000,-13494000,19762000,-0.20791,-0.06058,3.11671,2.43217,0.09308,-0.22098,-0.22098,1.06283,-0.08194,11.20283,11.09024
"32","2020_Q1",42.4632258064516,"Up",-26170000,-6968000,-19202000,-16123000,595000,595000,-15528000,-15528000,-15528000,-15528000,-15528000,-15528000,172786000,39179000,133607000,1400000,1400000,174362000,2154000,29454000,3113000,3113000,34721000,209083000,21338000,1532000,19806000,59080000,64217000,1122000,84003000,143083000,495684000,-429986000,302000,6.6e+07,6.6e+07,209083000,-15528000,137000,3283000,-8122000,-20230000,-325000,6930999.99999999,6606000,17020000,17020000,16881000,3257000,3257000,3257000,-15986000,19786000,-0.23527,-0.07427,2.95129,2.16792,0.09463,-0.263480000000032,-0.26347999999999,1.11987999999998,-0.10352,9.57087,9.48955
"33","2020_Q2",54.4214285714286,"Up",-28131000,-8820000,-19311000,-22123000,436000,436000,-21687000,-21687000,-21687000,-21687000,-21687000,-21687000,183691000,59436000,124255000,2810000,2810000,186669000,2746000,5140000,2747000,2747000,10633000,197302000,17182000,2371000,14811000,57946000,55017000,783000,79195000,137141000,511633000,-451673000,201000,60161000,60161000,197302000,-21687000,143000,5082000,-10984000,-27446000,-868000,32896000,32028000,14797000,14797000,15675000,20257000,20257000,20257000,-21980000,24178000,-0.36048,-0.10992,3.22143,2.27957,0.12254,-353.81352,-353.81352,981.49931,-0.15562,7.25719,7.21028
"34","2020_Q3",53.83859375,"Down",-29054000,-10292000,-18762000,20386000,-119000,-119000,20267000,20267000,20267000,20267000,20267000,20267000,504620000,333205000,171415000,2385000,2385000,507233000,5569000,0,29242000,29242000,34811000,542044000,22688000,3409000,19279000,56365000,40286000,28192000,64538000,120903000,852075000,-431406000,472000,421141000,421141000,542044000,20267000,132000,5990000,-44707000,-18318000,-1262000,-41774000,-43036000,335352000,335352000,335123000,273769000,273769000,273769000,20518000,24252000,0.04812,0.03739,8.99908,0.28708,0.04474,0.162770000000023,0.16276999999991,3.3821999999999,0.04173,-23.41203,-23.56362
"35","2020_Q4",57.25078125,"Up",-28944000,-10362000,-18582000,-23859000,-201000,-201000,-24060000,-24060000,-24060000,-24060000,-24060000,-24060000,471384000,56177000,415207000,2956000,2956000,474442000,15063000,14456000,29081000,29081000,58600000,533042000,27806000,8868000,18938000,46862000,60101000,35287000,81361000,128223000,860029000,-455466000,256000,404819000,404819000,533042000,-24060000,127000,7054000,724000,-16155000,-4006000,-258844000,-262850000,1977000,1977000,1977000,-277028000,-277028000,-277028000,-23732000,24326000,-0.05943,-0.04514,10.12424,0.31674,0.04564,-0.34909,-0.34909,5.87358,-0.04918,18.83777,18.7375
"36","2021_Q1",60.1640983606557,"Up",-33939000,-12712000,-21227000,-29581000,-295000,-295000,-29876000,-29876000,-29876000,-29876000,-29876000,-29876000,436570000,32297000,404273000,4831000,4831000,441570000,25160000,23800000,28369000,28369000,77329000,518899000,32669000,12875000,19794000,51558000,63629000,39629000,81728000,133286000,870857000,-485342000,98000,385613000,385613000,518899000,-29876000,395000,8246000,2011000,-19224000,-9273000,771000,-8501999.99999997,3846000.00000003,3846000.00000003,3846000.00000003,-23880000,-23880000,-23880000,-29186000,24401000,-0.07748,-0.05758,8.56453,0.34565,0.04702,-0.431409999999996,-0.431409999999982,5.56826,-0.06308,14.12215,13.93357
"37","2021_Q2",24.6804761904762,"Down",-39680000,-16262000,-23418000,-29327000,-384000,-384000,-29711000,-29711000,-29711000,-29711000,-29711000,-29711000,376284000,68548000,307736000,4215000,4215000,390641000,33117000,47875000,27479000,27479000,108471000,499112000,32082000,10926000,21156000,54730000,68512000,45175000,83378000,138108000,876087000,-515053000,-30000,361004000,361004000,499112000,-29711000,117000,9671000,-1644000,-21567000,-10880000,71548000,60668000,2163000,2163000,-2850000,36251000,36251000,36251000,-29210000,24475000,-0.0823,-0.05953,7.1376,0.38257,0.04904,-0.42683,-0.42683,5.18624,-0.06544,12.04413,11.99608
"38","2021_Q3",15.58078125,"Down",-40551000,-19698000,-20853000,-38738000,-471000,-471000,-39209000,-39209000,-39209000,-39209000,-39209000,-39209000,312604000,77205000,235399000,4358000,4358000,317133000,33781000,90028000,26730000,26730000,150539000,467672000,31780000,11094000,20686000,55379000,70457000,46349000,82023000,137402000,884629000,-554262000,-97000,330270000,330270000,467672000,-39209000,1003000,9048000,11307000,-17851000,-3297000,29063000,25766000,1002000,1002000,742000,8657000,8657000,8657000,-37735000,24550000,-0.11872,-0.08384,5.72659,0.41603,0.05249,-0.56328,-0.563279999999999,4.74471,-0.0922,7.6336,7.43595
"39","2021_Q4",35.10359375,"Up",-39546000,-19598000,-19948000,-21803000,-504000,-504000,-22307000,-22307000,-22307000,-22307000,-22307000,-22307000,269427000,93726000,175701000,3899000,3899000,293383000,33002000,102030000,26430000,26430000,161462000,454845000,30398000,4414000,25984000,60029000,69362000,47939000,78922000,138951000,892516000,-576569000,-53000,315894000,315894000,454845000,-22307000,1003000,9576000,-13588000,-25316000,-4350000,46676000,42326000,560000,560000,-489000,16521000,16521000,16521000,-20800000,23573000,-0.07062,-0.04904,4.88735,0.43987,0.05183,-0.31975,-0.31975,4.52804,-0.05456,11.8199,11.27615
"40","2022_Q1",28.1029032258065,"Down",-42064000,-23293000,-18771000,-40051000,-477000,-477000,-40528000,-40528000,-40528000,-40528000,-40528000,-40528000,264492000,49978000,214514000,3380000,3380000,269177000,32269000,97856000,26350000,26350000,156475000,425652000,33104000,6746000,26358000,63017000,71800000,47028000,76515000,139532000,903716000,-617097000,-499000,286120000,286120000,425652000,-40528000,1016000,8329000,20296000,-10887000,-493000,-36048000,-36541000,3680000,3680000,3680000,-43748000,-43748000,-43748000,-39035000,23635000,-0.14165,-0.09521,4.2715,0.48767,0.05553,-0.57663,-0.57663,4.07091,-0.10622,6.17028,6.01376
"41","2022_Q2",22.0416129032258,"Down",-43487000,-26011000,-17476000,-38233000,-375000,-375000,-38608000,-38608000,-38608000,-38608000,-38608000,-38608000,340601000,40577000,300024000,5324000,5324000,351632000,31482000,31235000,26104000,26104000,88821000,440453000,30970000,5423000,25547000,68807000,108373000,46279000,112927000,181734000,916295000,-655705000,-1871000,258719000,258719000,440453000,-38608000,1017000,10869000,35553000,8831000,-224000,-21113000,-21337000,6231000,6231000,3105000,-9401000,-9401000,-9401000,-37216000,23682000,-0.14923,-0.08766,5.11041,0.70244,0.05377,-0.55067,-0.55067,3.69013,-0.0988,8.51567,8.28915
