"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",30.6101587301587,"Down",1.262e+09,-6.15e+08,6.47e+08,-4.32e+08,-3.76e+08,-5.6e+07,2.15e+08,-1.8e+07,-2.3e+07,5e+06,1.97e+08,1e+06,1.98e+08,-7.6e+07,1.22e+08,1.22e+08,1.22e+08,1.22e+08,1.8e+08,1.8e+08,7.18e+08,7.18e+08,2.92e+08,9.17e+08,1.75e+08,6.27e+08,2.107e+09,1.443e+09,6.348e+09,1.553e+09,4.069e+09,7.791e+09,9.898e+09,5.76e+08,5.76e+08,1.24e+09,5.44e+08,6.96e+08,2.086e+09,4.942e+09,1.786e+09,1.223e+09,6.728e+09,8.814e+09,3.883e+09,-3.993e+09,1.252e+09,-6e+07,1.082e+09,1.084e+09,9.898e+09,1.22e+08,5.6e+07,7.7e+07,-2e+06,2.53e+08,-5.1e+07,-3e+07,-1.49e+08,-5.4e+07,1.52e+08,-1.54e+08,-1.54e+08,-3.5e+07,-9.1e+07,1.3e+07,1.3e+07,-1.6e+07,-3e+06,2.71e+08,5.212e+09,2.94e+08,0.51268,0.17036,0.09667,0.11255,0.01233,2.40984,1.01007,8.131,0.52657,1.00826,1,10.42975,8.94215,2.42975,0.44628,0.02178,0.03638,0.44262,18.56827,23.40465
"22","2015_Q3",28.2259375,"Down",1.399e+09,-6.77e+08,7.22e+08,-4.5e+08,-3.92e+08,-5.8e+07,2.72e+08,-2.5e+07,-2.8e+07,3e+06,2.47e+08,-1e+06,2.46e+08,-8.6e+07,1.6e+08,1.6e+08,1.6e+08,1.6e+08,4.1e+08,4.1e+08,5.13e+08,5.13e+08,2.85e+08,9.56e+08,1.72e+08,6.64e+08,2.164e+09,1.427e+09,6.433e+09,1.585e+09,4.119e+09,7.86e+09,1.0024e+10,5.52e+08,5.52e+08,1.348e+09,5.5e+08,7.98e+08,2.163e+09,4.983e+09,1.809e+09,1.24e+09,6.792e+09,8.955e+09,3.895e+09,-4.158e+09,1.361e+09,-3.2e+07,1.066e+09,1.069e+09,1.0024e+10,1.6e+08,5.8e+07,6.7e+07,1.99e+08,4.84e+08,-3.9e+07,-1.6e+07,-8.4e+07,-5e+07,4.1e+07,-1.69e+08,-1.69e+08,0,-1.78e+08,2.22e+08,2.22e+08,8e+06,2.3e+08,3.3e+08,5.246e+09,5.76e+08,0.51608,0.19442,0.11437,0.14967,0.01596,3.6,1.00046,8.37699,0.52334,1.34454,1.33333,11.7563,8.95798,4.84034,0.42017,0.02585,0.0709,0.3125,14.65455,17.77941
"23","2015_Q4",27.25109375,"Down",1.563e+09,-7.51e+08,8.12e+08,-4.77e+08,-4.18e+08,-5.9e+07,3.35e+08,-2.8e+07,-3.1e+07,3e+06,3.07e+08,-1.5e+07,2.92e+08,-1.03e+08,1.89e+08,1.89e+08,1.89e+08,1.89e+08,2.59e+08,2.59e+08,4.86e+08,4.86e+08,2.73e+08,8.25e+08,1.41e+08,5.63e+08,1.843e+09,1.402e+09,6.462e+09,1.576e+09,4.159e+09,7.864e+09,9.707e+09,3.48e+08,3.48e+08,1.299e+09,4.47e+08,8.52e+08,1.901e+09,4.929e+09,1.858e+09,1.249e+09,6.787e+09,8.688e+09,3.91e+09,-4.328e+09,1.501e+09,-6.7e+07,1.016e+09,1.019e+09,9.707e+09,1.89e+08,5.9e+07,1.23e+08,-2.91e+08,8e+07,-4.3e+07,3.8e+07,-1.7e+07,-4.9e+07,-5.3e+07,-1.62e+08,-1.62e+08,6.2e+07,-2.02e+08,-1.39e+08,-1.39e+08,-1.2e+07,-1.51e+08,3.94e+08,5.183e+09,1.63e+08,0.51951,0.21433,0.12092,0.18548,0.01947,0.86243,0.96949,8.52601,0.53394,1.61538,1.60169,13.35897,8.68376,1.39316,0.4188,0.02953,0.02022,0.25926,12.49746,14.69851
"24","2016_Q1",25.1781967213115,"Down",6.54e+08,-2.92e+08,3.62e+08,-2.36e+08,-2.22e+08,-1.4e+07,1.26e+08,-2.7e+07,-3.2e+07,5e+06,9.9e+07,2e+06,1.01e+08,-2e+07,8.1e+07,1.41e+08,1.41e+08,1.41e+08,1.71e+08,1.71e+08,5.86e+08,5.86e+08,2.95e+08,6.91e+08,1.53e+08,5.38e+08,1.743e+09,1.399e+09,6.449e+09,1.563e+09,4.16e+09,7.848e+09,9.591e+09,3.94e+08,3.94e+08,1.31e+09,4.83e+08,8.27e+08,1.957e+09,4.928e+09,1.753e+09,1.154e+09,6.681e+09,8.638e+09,3.925e+09,-4.493e+09,1.592e+09,-7.4e+07,9.5e+08,9.53e+08,9.591e+09,8.1e+07,1.4e+07,9.1e+07,-1.32e+08,1.74e+08,-3.8e+07,1.5e+07,-5.2e+07,-4.9e+07,3.2e+07,-1.73e+08,-1.73e+08,-6e+06,-2.04e+08,-8.2e+07,-8.2e+07,-6e+06,-88000000.0000001,1.4e+08,5.181e+09,-9999999.99999997,0.55352,0.19266,0.2156,0.14795,0.0147,-0.0709199999999999,0.89065,9.06401,0.54019,1.22609,1.21552,5.68696,8.26087,-0.0869599999999999,0.42609,0.02409,-0.00127,0.34752,35.78571,39.7619
"25","2016_Q2",25.608125,"Up",1.303e+09,-6.68e+08,6.35e+08,-4.4e+08,-3.78e+08,-6.2e+07,1.95e+08,-2.1e+07,-3.1e+07,1e+07,1.74e+08,-1.1e+07,1.63e+08,-6.7e+07,9.6e+07,9.6e+07,9.6e+07,9.6e+07,3.18e+08,3.18e+08,8.1e+08,8.1e+08,2.93e+08,9.28e+08,1.77e+08,6.07e+08,2.349e+09,1.403e+09,6.413e+09,1.564e+09,4.123e+09,7.816e+09,1.0165e+10,6.34e+08,6.34e+08,1.37e+09,5.96e+08,7.74e+08,2.256e+09,5.18e+09,1.889e+09,1.306e+09,7.069e+09,9.325e+09,3.915e+09,-4.668e+09,1.628e+09,-3.8e+07,8.37e+08,8.4e+08,1.0165e+10,9.6e+07,6.2e+07,1.28e+08,-2.5e+07,2.61e+08,-4.5e+07,-3.9e+07,-9e+07,-6e+07,2.33e+08,-1.68e+08,-1.68e+08,-3.2e+07,-2.7e+07,1.44e+08,1.44e+08,3e+06,1.47e+08,2.57e+08,5.432e+09,2.54e+08,0.48734,0.14965,0.07368,0.11429,0.00944,2.64583,1.04122,11.10119,0.53438,0.84956,0.84211,11.53097,7.40708,2.24779,0.53097,0.01912,0.03112,0.625,19.89883,26.22564
"26","2016_Q3",25.75546875,"Up",1.403e+09,-6.72e+08,7.31e+08,-4.6e+08,-3.97e+08,-6.3e+07,2.71e+08,-2.7e+07,-3.3e+07,6e+06,2.44e+08,-1.86264514923096e-09,2.44e+08,-8.9e+07,1.55e+08,1.55e+08,1.55e+08,1.55e+08,4.78e+08,4.78e+08,5.73e+08,5.73e+08,2.86e+08,7.9e+08,1.83e+08,6.07e+08,2.127e+09,1.361e+09,6.454e+09,1.543e+09,4.188e+09,7.815e+09,9.942e+09,5.8e+08,5.8e+08,1.364e+09,5.77e+08,7.87e+08,2.188e+09,5.162e+09,1.811e+09,1.195e+09,6.973e+09,9.161e+09,3.936e+09,-4.818e+09,1.726e+09,-6.6e+07,7.78e+08,7.81e+08,9.942e+09,1.55e+08,6.3e+07,1.42e+08,8.5e+07,4.45e+08,-4.7e+07,-2e+06,-5e+07,-5.5e+07,-3.4e+07,-1.52e+08,-1.52e+08,1.7e+07,-2.24e+08,1.71e+08,1.71e+08,-1.1e+07,1.6e+08,3.34e+08,5.406e+09,4.61e+08,0.52103,0.19316,0.11048,0.19846,0.01559,2.97419,0.97212,11.72983,0.54375,1.3964,1.38393,12.63964,7.00901,4.15315,0.4955,0.02626,0.05764,0.35484,14.75449,18.1845
"27","2016_Q4",26.1065079365079,"Up",1.573e+09,-7.45e+08,8.28e+08,-4.77e+08,-4.15e+08,-6.2e+07,3.51e+08,-2.9e+07,-3.2e+07,3e+06,3.22e+08,-1.4e+07,3.08e+08,-1.11e+08,1.97e+08,1.97e+08,1.98e+08,1.98e+08,3.32e+08,3.32e+08,5.42e+08,5.42e+08,2.87e+08,6.82e+08,1.53e+08,5.29e+08,1.843e+09,1.358e+09,6.542e+09,1.549e+09,4.269e+09,7.9e+09,9.743e+09,3.92e+08,3.92e+08,1.306e+09,4.64e+08,8.42e+08,1.931e+09,5.216e+09,1.799e+09,1.198e+09,7.015e+09,8.946e+09,3.951e+09,-4.968e+09,1.866e+09,-5.6e+07,7.93e+08,7.97e+08,9.743e+09,1.97e+08,6.2e+07,1.31e+08,-3.1e+08,8e+07,-3.3e+07,4.4e+07,-3e+07,-5.4e+07,2e+07,-1.49e+08,-1.49e+08,-8e+06,-1.91e+08,-1.41e+08,-1.41e+08,-3e+06,-1.44e+08,4.13e+08,5.449e+09,1.81e+08,0.52638,0.22314,0.12587,0.24843,0.02032,0.91414,0.95443,11.22459,0.55927,1.81651,1.8,14.43119,7.27523,1.66055,0.49541,0.03132,0.0225,0.27273,12.38983,14.57835
"28","2017_Q1",29.9664516129032,"Up",1.32e+09,-6.47e+08,6.73e+08,-4.18e+08,-3.53e+08,-6.5e+07,2.55e+08,-2.9e+07,-3.2e+07,3e+06,2.26e+08,-1e+06,2.25e+08,-6.1e+07,1.64e+08,1.64e+08,1.64e+08,1.64e+08,1.85e+08,1.85e+08,6.1e+08,6.1e+08,3.15e+08,7.02e+08,1.44e+08,5.58e+08,1.812e+09,1.34e+09,6.667e+09,1.603e+09,4.33e+09,8.007e+09,9.819e+09,4.68e+08,4.68e+08,1.335e+09,5e+08,8.35e+08,2.032e+09,5.283e+09,1.786e+09,1.214e+09,7.069e+09,9.101e+09,3.968e+09,-5.118e+09,1.977e+09,-1.13e+08,7.14e+08,7.18e+08,9.819e+09,1.64e+08,6.5e+07,1.27e+08,-1.69e+08,1.87e+08,-5.9e+07,-1.3e+07,-1.83e+08,-5.4e+07,6.6e+07,-1.5e+08,-1.5e+08,-6e+06,-1.44e+08,-1.4e+08,-1.4e+08,-9e+06,-1.49e+08,3.2e+08,5.512e+09,1.53e+08,0.50985,0.19318,0.12424,0.22841,0.0167,0.93293,0.89173,12.67549,0.56136,1.53271,1.51852,12.33645,6.6729,1.42991,0.50467,0.0272,0.01909,0.32927,16.64688,20.8902
"29","2017_Q2",35.6971428571429,"Up",1.154e+09,-5.6e+08,5.94e+08,-3.97e+08,-3.46e+08,-5.1e+07,1.97e+08,-3.2e+07,-3.3e+07,1e+06,1.65e+08,-1.2e+07,1.53e+08,-2.6e+07,1.27e+08,9e+07,9e+07,9e+07,2.22e+08,2.22e+08,8.42e+08,8.42e+08,3.24e+08,9.14e+08,1.88e+08,7.26e+08,2.302e+09,1.36e+09,6.681e+09,1.615e+09,4.329e+09,8.041e+09,1.0343e+10,7.4e+08,7.4e+08,1.378e+09,6.28e+08,7.5e+08,2.349e+09,5.482e+09,1.846e+09,1.298e+09,7.328e+09,9.677e+09,3.954e+09,-5.268e+09,2.06e+09,-8.4e+07,6.62e+08,6.66e+08,1.0343e+10,1.27e+08,5.1e+07,1.9e+08,-2.44e+08,2.39e+08,-2.9e+07,0,-2.2e+07,-6.4e+07,1.32e+08,-1.47e+08,-1.47e+08,-3.5e+07,-1.23e+08,9.4e+07,9.4e+07,3e+06,9.7e+07,2.48e+08,5.713e+09,1e+06,0.51473,0.17071,0.07799,0.13514,0.0087,0.01111,0.97999,14.53003,0.55235,0.85714,0.84906,10.99048,6.30476,0.00952,0.60952,0.01872,0.000119999999999999,0.71111,22.14113,27.8731
"30","2017_Q3",37.7434920634921,"Up",7.06e+08,-3.62e+08,3.44e+08,-2.3e+08,-2.16e+08,-1.4e+07,1.14e+08,-3.5e+07,-3.7e+07,2e+06,7.9e+07,-1.34e+08,-5.5e+07,2.8e+07,-2.7e+07,8.5e+07,8.5e+07,8.5e+07,4.15e+08,4.15e+08,5.98e+08,5.98e+08,3.15e+08,9.3e+08,1.87e+08,7.43e+08,2.258e+09,1.368e+09,6.722e+09,1.637e+09,4.343e+09,8.09e+09,1.0348e+10,6.7e+08,6.7e+08,1.488e+09,6.22e+08,8.66e+08,2.384e+09,5.534e+09,1.838e+09,1.255e+09,7.372e+09,9.756e+09,3.967e+09,-5.418e+09,2.077e+09,-3.9e+07,5.87e+08,5.92e+08,1.0348e+10,-2.7e+07,1.4e+07,2.04e+08,-8.4e+07,4.23e+08,-2.2e+07,1.3e+07,-4.7e+07,-6.1e+07,3.6e+07,-1.53e+08,-1.53e+08,-5999999.99999999,-1.86e+08,1.9e+08,1.9e+08,8e+06,1.98e+08,1.28e+08,5.76e+09,-6000000.00000001,0.48725,0.16147,0.1204,0.14358,0.00821,-0.0705900000000001,0.94715,16.47973,0.55663,0.81888,0.81418,6.80154,5.65511,-0.0578,0.58767,0.01783,-0.00073,0.71765,41.75781,46.88596
"31","2017_Q4",41.2647619047619,"Up",1.016e+09,-4.85e+08,5.31e+08,-3.24e+08,-2.89e+08,-3.5e+07,2.07e+08,-1.9e+07,-4e+07,2.1e+07,1.88e+08,-2.4e+07,1.64e+08,-6.2e+07,1.02e+08,2.64e+08,2.65e+08,2.65e+08,2.89e+08,2.89e+08,5.86e+08,5.86e+08,3.17e+08,8.47e+08,1.61e+08,6.86e+08,2.039e+09,1.358e+09,6.864e+09,1.698e+09,4.419e+09,8.222e+09,1.0261e+10,4.32e+08,4.32e+08,1.455e+09,5.36e+08,9.19e+08,2.121e+09,5.667e+09,1.843e+09,1.285e+09,7.51e+09,9.631e+09,3.982e+09,-5.568e+09,2.219e+09,-9e+06,6.24e+08,6.3e+08,1.0261e+10,1.02e+08,3.5e+07,1.66e+08,-2.7e+08,2e+06,-2.2e+07,-1.6e+07,-8.5e+07,-5.9e+07,1.18e+08,-1.47e+08,-1.47e+08,0,-9.5e+07,-1.78e+08,-1.78e+08,5e+06,-1.73e+08,2.42e+08,5.901e+09,1.2e+07,0.52264,0.20374,0.26083,0.42063,0.02583,0.04528,0.96134,15.2873,0.57509,2.58789,2.57532,9.92188,6.09375,0.11719,0.57617,0.03869,0.00143,0.22264,23.19008,27.11111
"32","2018_Q1",44.695737704918,"Up",9.3e+08,-4.53e+08,4.77e+08,-3.11e+08,-2.75e+08,-3.6e+07,1.66e+08,-3.5e+07,-3.9e+07,4e+06,1.31e+08,-7.5e+07,5.6e+07,3.88e+08,4.44e+08,4.16e+08,4.16e+08,4.16e+08,4.8e+07,4.8e+07,1.95e+08,1.95e+08,1.249e+09,6.754e+09,1.18e+08,3.072e+09,8.246e+09,8.22e+08,1.382e+09,9.11e+08,3.28e+08,2.204e+09,1.045e+10,2.32e+08,2.32e+08,2.879e+09,6.13e+08,2.266e+09,5.209e+09,3.908e+09,5.59e+08,5.59e+08,4.467e+09,9.676e+09,3.998e+09,-5.719e+09,2.501e+09,-1.1e+07,7.69e+08,7.74e+08,1.045e+10,4.44e+08,3.6e+07,-2.51e+08,7e+06,3.22e+08,-2.8e+07,1e+06,-2.08e+08,-5.8e+07,7.2e+07,-1.52e+08,-1.52e+08,-1.2e+07,-1.54e+08,-4e+07,-4e+07,1e+06,-3.9e+07,2.02e+08,6.006e+09,-2.07e+08,0.5129,0.17849,0.44731,0.53747,0.03981,-0.4976,1.58303,12.50129,0.57474,4.12698,4.09852,9.22619,7.62897,-2.05357,0.5754,0.06459,-0.02821,0.13942,29.49505,35.89157
"33","2018_Q2",41.5171875,"Down",1.19e+09,-5.63e+08,6.27e+08,-4.17e+08,-3.61e+08,-5.6e+07,2.1e+08,-3.8e+07,-4.4e+07,6e+06,1.72e+08,-5.1e+07,1.21e+08,-4e+07,8.1e+07,3.4e+07,3.4e+07,3.4e+07,2.91e+08,2.91e+08,4.5e+08,4.5e+08,3.37e+08,2.604e+09,1.86e+08,6.92e+08,3.682e+09,1.112e+09,6.305e+09,1.33e+09,4.234e+09,7.417e+09,1.1099e+10,2.45e+08,2.45e+08,2.565e+09,5.66e+08,1.999e+09,3.099e+09,5.972e+09,1.378e+09,8.02e+08,7.35e+09,1.0449e+10,3.988e+09,-5.795e+09,2.449e+09,3e+06,6.45e+08,6.5e+08,1.1099e+10,8.1e+07,5.6e+07,1.42e+08,-2.78e+08,1.33e+08,-2.8e+07,1.1e+07,-3e+07,-7e+07,2.55e+08,-7.6e+07,-7.6e+07,-3.4e+07,6.9e+07,1.72e+08,1.72e+08,1e+06,1.73e+08,2.66e+08,6.261e+09,0,0.52689,0.17647,0.02857,0.05231,0.00306,0,1.18813,16.07538,0.5641,0.33966,0.3373,11.88811,6.44356,0,0.6993,0.01255,-6.93889390390723e-18,2.05882,22.44361,28.42857
"34","2018_Q3",37.6157142857143,"Down",7.24e+08,-3.75e+08,3.49e+08,-2.28e+08,-2.11e+08,-1.7e+07,1.21e+08,-3.9e+07,-4.4e+07,5e+06,8.2e+07,-1.12e+08,-3e+07,-21999999.9999999,-5.2e+07,3.78e+08,3.78e+08,3.78e+08,1.55e+08,1.55e+08,2.06e+08,2.06e+08,1.243e+09,3.061e+09,1.57e+08,2.904e+09,4.665e+09,7.64e+08,1.646e+09,9.4e+08,5.6e+08,2.41e+09,7.075e+09,1.97e+08,1.97e+08,1.732e+09,7.01e+08,1.031e+09,4.023e+09,2.98e+09,5.92e+08,5.92e+08,3.572e+09,7.595e+09,4.053e+09,-5.837e+09,1.285e+09,-2.6e+07,-5.25e+08,-5.2e+08,7.075e+09,3.8e+08,1.7e+07,-1.56e+08,-1.49e+08,1.72e+08,-1.3e+07,-1.7e+07,-6.94e+08,-4.4e+07,-1.115e+09,-4.7e+07,-4.7e+07,-5.39e+08,3.27e+08,-1.95e+08,-1.95e+08,-7e+06,-2.02e+08,1.38e+08,5.074e+09,-2e+06,0.48204,0.16713,0.5221,-0.72692,0.05343,-0.00529000000000004,1.15958,-14.60577,0.71717,3.78,3.76869,7.24,-5.25,-0.0200000000000002,0.44,0.08201,-0.00039,0.1164,35.64493,40.65289
"35","2018_Q4",33.3344444444444,"Down",1.062e+09,-5.07e+08,5.55e+08,-3.27e+08,-2.95e+08,-3.2e+07,2.28e+08,-1.6e+07,-3.8e+07,2.2e+07,2.12e+08,-3.1e+07,1.81e+08,-5e+07,1.31e+08,1.48e+08,1.48e+08,1.48e+08,1.64e+08,1.64e+08,1.97e+08,1.97e+08,1.197e+09,3.118e+09,1.29e+08,2.989e+09,4.676e+09,7.75e+08,1.681e+09,9.36e+08,5.99e+08,2.456e+09,7.132e+09,1.47e+08,1.47e+08,1.771e+09,7.09e+08,1.062e+09,4.108e+09,2.969e+09,5.64e+08,5.64e+08,3.533e+09,7.641e+09,4.076e+09,-5.943e+09,1.384e+09,-3.1e+07,-5.14e+08,-5.09e+08,7.132e+09,1.51e+08,3.2e+07,1.36e+08,-2.07e+08,5e+07,-1.1e+07,-1e+06,-1.2e+07,-4e+07,8.8e+07,-1.03e+08,-1.03e+08,7e+06,-4.8e+07,-1e+07,-1e+07,0,-1e+07,2.6e+08,5.159e+09,9.2e+07,0.5226,0.21469,0.13936,-0.29077,0.02075,0.62162,1.13827,-15.01179,0.72336,1.49344,1.48744,10.71645,-5.18668,0.92836,0.40363,0.03606,0.01764,0.27027,19.21154,21.90789
"36","2019_Q1",36.467868852459,"Up",9.55e+08,-4.68e+08,4.87e+08,-2.88e+08,-2.55e+08,-3.3e+07,1.99e+08,-3.4e+07,-3.9e+07,5e+06,1.65e+08,-4.1e+07,1.24e+08,-1.8e+07,1.06e+08,1.12e+08,1.12e+08,1.12e+08,2.18e+08,2.18e+08,1.21e+08,1.21e+08,1.224e+09,3.548e+09,1.53e+08,3.192e+09,5.111e+09,7.12e+08,1.335e+09,9.22e+08,3.04e+08,2.047e+09,7.158e+09,6.6e+07,6.6e+07,1.905e+09,7.36e+08,1.169e+09,4.328e+09,2.881e+09,5.18e+08,5.18e+08,3.399e+09,7.727e+09,4.079e+09,-6.043e+09,1.442e+09,-5.2e+07,-5.74e+08,-5.69e+08,7.158e+09,1.1e+08,3.3e+07,1.61e+08,-2.17e+08,8.7e+07,-3.5e+07,-1e+06,1.1e+07,-4e+07,7e+07,-1.04e+08,-1.04e+08,6e+06,-6.8e+07,3e+07,3e+07,-3e+06,2.7e+07,2.32e+08,5.238e+09,-2000000.00000003,0.50995,0.20838,0.11728,-0.19684,0.01565,-0.0178599999999998,1.18091,-13.57996,0.73177,1.16183,1.16424,9.90664,-5.95436,-0.0207500000000003,0.41494,0.0293,-0.00039,0.35714,21.63793,25.22613
"37","2019_Q2",37.3325396825397,"Up",9.18e+08,-4.27e+08,4.91e+08,-3.07e+08,-2.76e+08,-3.1e+07,1.84e+08,-2.8e+07,-3.9e+07,1.1e+07,1.56e+08,-4.4e+07,1.12e+08,-3.1e+07,8.1e+07,8e+07,8e+07,8e+07,2.17e+08,2.17e+08,1.37e+08,1.37e+08,1.213e+09,3.381e+09,1.75e+08,3.206e+09,4.948e+09,7.2e+08,1.702e+09,9.23e+08,7.79e+08,2.422e+09,7.37e+09,7.9e+07,7.9e+07,4.048e+09,5.51e+08,3.497e+09,4.127e+09,2.837e+09,9.9e+08,7.49e+08,3.827e+09,7.954e+09,4.084e+09,-6.103e+09,1.48e+09,-5e+07,-5.89e+08,-5.84e+08,7.37e+09,8e+07,3.1e+07,1.38e+08,-9.7e+07,1.52e+08,-1.4e+07,-1e+06,-4.2e+07,-4.2e+07,4e+07,-6.1e+07,-6.1e+07,-5e+06,-6.8e+07,4.2e+07,4.2e+07,1e+06,4.3e+07,2.15e+08,2.837e+09,1.35e+08,0.53486,0.20044,0.08715,-0.13699,0.01085,1.6875,1.19893,-13.61986,0.38494,0.84746,0.84477,9.72458,-6.23941,1.43008,0.44492,0.03762,0.04163,0.525,12.18605,14.23913
"38","2019_Q3",39.514375,"Up",1.039e+09,-4.72e+08,5.67e+08,-3.2e+08,-2.92e+08,-2.8e+07,2.47e+08,-3.8e+07,-3.9e+07,1e+06,2.09e+08,-4.8e+07,1.61e+08,-4.3e+07,1.18e+08,1.24e+08,1.24e+08,1.24e+08,2.57e+08,2.57e+08,1.4e+08,1.4e+08,1.216e+09,3.395e+09,1.95e+08,3.2e+09,5.008e+09,7.15e+08,1.743e+09,9.22e+08,8.21e+08,2.458e+09,7.466e+09,8.1e+07,8.1e+07,3.877e+09,5.54e+08,3.323e+09,3.958e+09,3.058e+09,1.01e+09,7.61e+08,4.068e+09,8.026e+09,4.096e+09,-6.168e+09,1.558e+09,-5.1e+07,-5.65e+08,-5.6e+08,7.466e+09,1.24e+08,2.8e+07,1.8e+08,-2.18e+08,1.13e+08,-3e+07,0,-2.5e+07,-4.2e+07,1.22e+08,-5.8e+07,-5.8e+07,-7.5e+07,-5.3e+07,3.5e+07,3.5e+07,1e+06,3.6e+07,2.75e+08,3.058e+09,7e+07,0.54572,0.23773,0.11935,-0.22143,0.01661,0.56452,1.26529,-14.33214,0.40959,1.33333,1.32905,11.17204,-6.07527,0.75269,0.45161,0.04732,0.01995,0.33871,10.18545,11.34008
