"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2014_Q3",33.33,"Down",1.005e+09,-6.17e+08,3.88e+08,-2.69e+08,-2.42e+08,-2.7e+07,1.19e+08,-1.2e+07,-1.3e+07,1e+06,1.07e+08,-3e+06,1.04e+08,-1.8e+07,8.6e+07,8.6e+07,8.6e+07,8.6e+07,4.5e+08,4.5e+08,8.3e+08,8.3e+08,5.27e+08,2.09e+08,1.72e+08,2.016e+09,4.69e+08,2.415e+09,1.719e+09,4.71e+08,2.25e+08,2.884e+09,4.9e+09,8.03e+08,3.28e+08,4.75e+08,4.3e+07,8.46e+08,1.199e+09,6.1e+08,3.42e+08,1.95e+08,7.3e+07,1.809e+09,2.655e+09,1.781e+09,-1.87e+08,4.93e+08,1.58e+08,2.245e+09,2.245e+09,4.9e+09,8.6e+07,3.6e+07,-1.2e+07,5e+06,-1.7e+07,-3.4e+07,-2.7e+07,-1.1e+07,4e+06,7.6e+07,-2.3e+07,-2.3e+07,-2.3e+07,-2.3e+07,-4.5e+07,6e+06,-5.1e+07,1e+06,-6.8e+07,-1.5e+07,-1.5e+07,-1e+06,-1.6e+07,1.55e+08,1.242e+09,1.16e+08,0.38607,0.11841,0.08557,0.03831,0.01755,1.34884,2.38298,1.18263,0.25347,0.46898,0.46608,5.48051,12.24254,0.63258,0.12542,0.0266,0.02831,0.26744,5.10968,6.65546
"12","2014_Q4",32.980625,"Down",9.63e+08,-5.87e+08,3.76e+08,-2.46e+08,-2.22e+08,-2.4e+07,1.3e+08,-1.3e+07,-1.4e+07,1e+06,1.17e+08,1.1e+07,1.28e+08,-2.2e+07,1.06e+08,1.06e+08,1.06e+08,1.06e+08,5.29e+08,5.29e+08,8.04e+08,8.04e+08,5.16e+08,1.76e+08,1.41e+08,2.025e+09,4.54e+08,2.335e+09,1.667e+09,4.48e+08,2.2e+08,2.789e+09,4.814e+09,8.09e+08,3.14e+08,4.95e+08,4.1e+07,8.5e+08,1.199e+09,5.72e+08,3.19e+08,1.83e+08,7e+07,1.771e+09,2.621e+09,1.787e+09,-2.18e+08,5.75e+08,4.9e+07,2.193e+09,2.193e+09,4.814e+09,1.06e+08,3.5e+07,3.5e+07,5e+06,3e+07,-2.1e+07,-8e+06,-9e+06,-4e+06,1.55e+08,-2.8e+07,-2.9e+07,2e+06,-2.4e+07,-3e+07,0,-3e+07,1e+06,-5.2e+07,1.05e+08,1.05e+08,-2.6e+07,7.9e+07,1.65e+08,1.24e+09,1.38e+08,0.39045,0.13499,0.11007,0.04834,0.02202,1.30189,2.38235,1.19517,0.25758,0.58164,0.57787,5.28412,12.03332,0.75723,0.13169,0.03246,0.03446,0.22642,4.30909,5.46923
"13","2015_Q1",31.8995081967213,"Down",1.042e+09,-6.35e+08,4.07e+08,-2.58e+08,-2.32e+08,-2.6e+07,1.49e+08,-1.3e+07,-1.3e+07,0,1.36e+08,-8e+06,1.28e+08,-3.2e+07,9.6e+07,9.6e+07,9.6e+07,9.6e+07,6.63e+08,6.63e+08,7.71e+08,7.71e+08,4.86e+08,1.44e+08,1.44e+08,2.064e+09,4.61e+08,2.308e+09,1.635e+09,4.7e+08,2.03e+08,2.769e+09,4.833e+09,8.14e+08,3.38e+08,4.76e+08,8.9e+07,9.03e+08,1.195e+09,6.08e+08,3.88e+08,1.36e+08,8.4e+07,1.803e+09,2.706e+09,1.798e+09,-2.2e+08,6.48e+08,-9.9e+07,2.127e+09,2.127e+09,4.833e+09,9.6e+07,3.5e+07,-6.4e+07,4e+06,-3.9e+07,9.6e+07,3e+06,1.3e+07,1.9e+07,1.63e+08,-4.2e+07,-4.2e+07,-4.1e+07,-2.3e+07,7e+06,9e+06,-2e+06,1e+06,3.5e+07,1.57e+08,1.57e+08,-2.3e+07,1.34e+08,1.84e+08,1.284e+09,2.7e+08,0.3906,0.14299,0.09213,0.04513,0.01986,2.8125,2.28571,1.27221,0.26567,0.52707,0.5238,5.72087,11.67783,1.48238,0.12628,0.02961,0.06718,0.23958,3.375,4.16779
"14","2015_Q2",33.0112698412698,"Up",8.37e+08,-5.22e+08,3.15e+08,-2.29e+08,-2.06e+08,-2.3e+07,8.6e+07,-1.5e+07,-1.4e+07,-1e+06,7.1e+07,6e+06,7.7e+07,-1.3e+07,6.4e+07,6.4e+07,6.4e+07,6.4e+07,5.54e+08,5.54e+08,7.38e+08,7.38e+08,5.02e+08,1.79e+08,1.41e+08,1.973e+09,4.34e+08,2.213e+09,1.582e+09,4.46e+08,1.85e+08,2.647e+09,4.62e+09,7.52e+08,3.11e+08,4.41e+08,8.1e+07,8.33e+08,1.195e+09,6.03e+08,3.74e+08,1.52e+08,7.7e+07,1.798e+09,2.631e+09,1.809e+09,-2.73e+08,6.86e+08,-2.33e+08,1.989e+09,1.989e+09,4.62e+09,6.4e+07,3.5e+07,-3.5e+07,4e+06,-3.9e+07,-2.5e+07,4e+06,-3.3e+07,4e+06,3.9e+07,-3.7e+07,-3.7e+07,-3.6e+07,-2.6e+07,-4.7e+07,6e+06,-5.3e+07,2e+06,-7.1e+07,-67999999.9999999,-67999999.9999999,-4.1e+07,-1.09e+08,1.21e+08,1.276e+09,7.2e+07,0.37634,0.10275,0.07646,0.03218,0.01385,1.125,2.36855,1.32278,0.27619,0.35146,0.3496,4.5965,10.92287,0.3954,0.14278,0.02327,0.01861,0.40625,5.96694,8.39535
"15","2015_Q3",30.64609375,"Down",9.2e+08,-5.72e+08,3.48e+08,-2.43e+08,-2.18e+08,-2.5e+07,1.05e+08,-1.3e+07,-1.4e+07,1e+06,9.2e+07,-1e+06,9.1e+07,-1.7e+07,7.4e+07,7.4e+07,7.4e+07,7.4e+07,6e+08,6e+08,7.72e+08,7.72e+08,4.98e+08,1.86e+08,1.49e+08,2.056e+09,4.31e+08,2.232e+09,1.592e+09,4.42e+08,1.98e+08,2.663e+09,4.719e+09,7.56e+08,3.15e+08,4.41e+08,8.1e+07,8.37e+08,1.196e+09,6.06e+08,3.77e+08,1.52e+08,7.7e+07,1.802e+09,2.639e+09,1.817e+09,-2.73e+08,7.34e+08,-1.98e+08,2.08e+09,2.08e+09,4.719e+09,7.4e+07,3.4e+07,3e+06,4e+06,-1e+06,-2.7e+07,-3.2e+07,6e+06,-1e+06,8.4e+07,-2e+07,-2e+07,-1.7e+07,-2.5e+07,3e+06,3e+06,0,-1e+06,-2.5e+07,4.2e+07,4.2e+07,4e+06,4.6e+07,1.39e+08,1.277e+09,1.09e+08,0.37826,0.11413,0.08043,0.03558,0.01568,1.47297,2.45639,1.26875,0.27061,0.40777,0.4059,5.0696,11.4617,0.60064,0.13776,0.02498,0.0275,0.33784,4.8705,6.44762
"16","2015_Q4",33.12046875,"Up",9.02e+08,-5.51e+08,3.51e+08,-2.3e+08,-2.07e+08,-2.3e+07,1.21e+08,-1.3e+07,-1.3e+07,0,1.08e+08,-1e+06,1.07e+08,-1.9e+07,8.8e+07,8.8e+07,8.8e+07,8.8e+07,6.11e+08,6.11e+08,7.62e+08,7.62e+08,4.77e+08,1.67e+08,1.32e+08,2.017e+09,4.18e+08,2.21e+09,1.584e+09,4.34e+08,1.92e+08,2.628e+09,4.645e+09,7.36e+08,3.14e+08,4.22e+08,7.9e+07,8.15e+08,1.196e+09,5.91e+08,3.74e+08,1.41e+08,7.6e+07,1.787e+09,2.602e+09,1.824e+09,-3.48e+08,7.96e+08,-2.29e+08,2.043e+09,2.043e+09,4.645e+09,8.8e+07,3.3e+07,5e+06,3e+06,2e+06,1.1e+07,-3999999.99999999,1.2e+07,3e+06,1.37e+08,-2e+07,-2.1e+07,-2.1e+07,-2.6e+07,-7e+07,5e+06,-7.5e+07,-1e+06,-9.8e+07,1.8e+07,1.8e+07,-7e+06,1.1e+07,1.54e+08,1.275e+09,1.64e+08,0.38914,0.13415,0.09756,0.04307,0.01895,1.86364,2.47485,1.27362,0.27449,0.4866,0.4845,4.9877,11.29697,0.90685,0.14377,0.02916,0.04195,0.29545,4.31169,5.4876
"17","2016_Q1",33.8452459016393,"Up",9.94e+08,-6.04e+08,3.9e+08,-2.47e+08,-2.23e+08,-2.4e+07,1.43e+08,-1.4e+07,-1.4e+07,0,1.29e+08,-1e+06,1.28e+08,-1.4e+07,1.14e+08,1.14e+08,1.14e+08,1.14e+08,6.8e+08,6.8e+08,7.49e+08,7.49e+08,4.33e+08,1.43e+08,1.43e+08,2.005e+09,4.39e+08,2.213e+09,1.584e+09,4.35e+08,1.94e+08,2.652e+09,4.657e+09,7.45e+08,3.38e+08,4.07e+08,7.8e+07,8.23e+08,1.196e+09,5.54e+08,3.35e+08,1.18e+08,1.01e+08,1.75e+09,2.573e+09,1.836e+09,-3.99e+08,8.85e+08,-2.38e+08,2.084e+09,2.084e+09,4.657e+09,1.14e+08,3.1e+07,3e+06,4e+06,8e+06,5.6e+07,8e+06,3.8e+07,1.4e+07,2.04e+08,-4e+07,-3.9e+07,-5.8e+07,-2.5e+07,-4.4e+07,7e+06,-5.1e+07,1e+06,-6.8e+07,7.8e+07,7.8e+07,-9e+06,6.9e+07,1.74e+08,1.274e+09,2.04e+08,0.39235,0.14386,0.11469,0.0547,0.02448,1.78947,2.43621,1.23464,0.27357,0.63631,0.63355,5.54818,11.63219,1.13866,0.13954,0.03553,0.05215,0.2193,3.41379,4.15385
"18","2016_Q2",40.0778125,"Up",8.47e+08,-5.18e+08,3.29e+08,-2.44e+08,-2.19e+08,-2.5e+07,8.5e+07,-1.4e+07,-1.4e+07,5.82076609134674e-11,7.1e+07,-6e+06,6.5e+07,999999.999999998,6.6e+07,6.6e+07,6.6e+07,6.6e+07,1.193e+09,1.193e+09,7.52e+08,7.52e+08,4.82e+08,1.48e+08,1.48e+08,2.575e+09,4.46e+08,2.283e+09,1.632e+09,4.64e+08,1.87e+08,2.729e+09,5.304e+09,7.12e+08,3.32e+08,3.8e+08,7.2e+08,1.432e+09,1.153e+09,5.6e+08,3.4e+08,1.06e+08,1.14e+08,1.713e+09,3.145e+09,1.85e+09,-4.02e+08,9.23e+08,-2.12e+08,2.159e+09,2.159e+09,5.304e+09,6.6e+07,3.2e+07,-4.7e+07,5e+06,-5.2e+07,-1e+07,2.2e+07,-3.1e+07,-1e+06,4.1e+07,-3.7e+07,-3.7e+07,-1.05e+08,-2.8e+07,5e+06,8e+06,-3e+06,2e+06,5.59e+08,4.95e+08,4.95e+08,1.8e+07,5.13e+08,1.17e+08,1.873e+09,6.9e+07,0.38843,0.10035,0.07792,0.03057,0.01244,1.04545,1.79818,1.45669,0.35313,0.36956,0.36807,4.74271,12.08914,0.38636,0.15678,0.02047,0.01503,0.42424,5.81197,8
"19","2016_Q3",45.37421875,"Up",9.32e+08,-5.63e+08,3.69e+08,-2.54e+08,-2.27e+08,-2.7e+07,1.15e+08,-1.9e+07,-2e+07,1e+06,9.6e+07,-6e+06,9e+07,-1.9e+07,7.1e+07,7.1e+07,7.1e+07,7.1e+07,5.86e+08,5.86e+08,7.84e+08,7.84e+08,4.83e+08,1.54e+08,1.54e+08,2.007e+09,4.38e+08,2.249e+09,1.616e+09,4.53e+08,1.8e+08,2.687e+09,4.694e+09,7.29e+08,3.39e+08,3.9e+08,9.1e+07,8.2e+08,1.143e+09,5.57e+08,3.36e+08,1.17e+08,1.04e+08,1.7e+09,2.52e+09,1.862e+09,-4.02e+08,9.66e+08,-2.52e+08,2.174e+09,2.174e+09,4.694e+09,7.1e+07,3.3e+07,1.9e+07,5e+06,1.4e+07,-3.9e+07,-4.1e+07,-8e+06,1e+07,8.4e+07,-2.5e+07,-2.5e+07,-2.2e+07,-2.8e+07,8e+06,8e+06,0,-1e+06,-6.57e+08,-5.95e+08,-5.95e+08,-1.2e+07,-6.07e+08,1.48e+08,1.234e+09,1.03e+08,0.39592,0.12339,0.07618,0.03266,0.01513,1.4507,2.44756,1.15915,0.26289,0.3965,0.39469,5.20478,12.14077,0.57521,0.15637,0.02497,0.02598,0.39437,4.37838,5.63478
"20","2016_Q4",47.0846031746032,"Up",8.97e+08,-5.4e+08,3.57e+08,-2.42e+08,-2.19e+08,-2.3e+07,1.15e+08,-1.4e+07,-1.6e+07,2e+06,1.01e+08,-6e+06,9.5e+07,-2.2e+07,7.3e+07,7.3e+07,7.3e+07,7.3e+07,6.59e+08,6.59e+08,7.92e+08,7.92e+08,4.88e+08,1.53e+08,1.53e+08,2.092e+09,4.4e+08,2.246e+09,1.621e+09,4.44e+08,1.81e+08,2.686e+09,4.778e+09,7.79e+08,3.41e+08,4.38e+08,6.2e+07,8.41e+08,1.148e+09,5.62e+08,3.35e+08,1.14e+08,1.13e+08,1.71e+09,2.551e+09,1.873e+09,-4.02e+08,1.011e+09,-2.55e+08,2.227e+09,2.227e+09,4.778e+09,7.3e+07,3.2e+07,5e+07,5e+06,4.5e+07,-6000000.00000001,-8e+06,-3e+06,5e+06,1.49e+08,-2.8e+07,-2.8e+07,-27999999.9999999,-2.8e+07,6e+06,6e+06,0,-2.3283064365387e-10,-52000000.0000002,69000000.0000002,69000000.0000002,4e+06,73000000.0000002,1.47e+08,1.21e+09,1.35e+08,0.39799,0.12821,0.08138,0.03278,0.01528,1.84932,2.48751,1.14549,0.25324,0.40714,0.40488,5.00279,12.42052,0.75293,0.15616,0.02526,0.03376,0.38356,3.7483,4.7913
"21","2017_Q1",45.4141935483871,"Down",1.095e+09,-6.88e+08,4.07e+08,-2.84e+08,-2.49e+08,-3.5e+07,1.23e+08,-2.1e+07,-2e+07,-1e+06,1.02e+08,-1.2e+07,9e+07,-4e+07,5e+07,5e+07,5e+07,5e+07,3.08e+08,3.08e+08,8.43e+08,8.43e+08,5.22e+08,1.66e+08,1.66e+08,1.839e+09,6.16e+08,4.019e+09,2.632e+09,1.201e+09,1.86e+08,4.635e+09,6.474e+09,9.78e+08,4.57e+08,5.21e+08,2.6e+08,1.238e+09,2.108e+09,9.21e+08,4.08e+08,3.52e+08,1.61e+08,3.029e+09,4.267e+09,1.878e+09,-4.03e+08,1.033e+09,-3.18e+08,2.19e+09,2.207e+09,6.474e+09,5e+07,5.4e+07,3e+06,3e+06,-1.4e+07,1.16e+08,2.1e+07,2.7e+07,4.7e+07,2.23e+08,-3.3e+07,-3.4e+07,-1.731e+09,-2.8e+07,1e+06,2e+06,-1e+06,-1e+06,1.184e+09,-3.24e+08,-3.24e+08,-2.7e+07,-3.51e+08,1.77e+08,2.368e+09,3e+08,0.37169,0.11233,0.04566,0.02266,0.00772,6,1.48546,1.93339,0.36577,0.27864,0.27701,6.10218,12.20436,1.67183,0.15604,0.01419,0.05459,0.56,11.63842,16.74797
"22","2017_Q2",48.688253968254,"Up",1.071e+09,-6.59e+08,4.12e+08,-3.14e+08,-2.72e+08,-4.2e+07,9.8e+07,-2.1e+07,-2e+07,-1e+06,7.7e+07,-7e+06,7e+07,-1.4e+07,5.6e+07,5.6e+07,5.6e+07,5.6e+07,2.87e+08,2.87e+08,8.68e+08,8.68e+08,5.4e+08,1.68e+08,1.68e+08,1.863e+09,6.12e+08,4.052e+09,2.658e+09,1.19e+09,2.04e+08,4.664e+09,6.527e+09,9.3e+08,4.14e+08,5.16e+08,2.61e+08,1.191e+09,2.126e+09,9.42e+08,4.14e+08,3.5e+08,1.78e+08,3.068e+09,4.259e+09,1.885e+09,-4.08e+08,1.05e+09,-2.76e+08,2.251e+09,2.268e+09,6.527e+09,5.6e+07,5.9e+07,-9e+06,6e+06,-1.5e+07,-5.4e+07,-1.2e+07,-9999999.99999999,-3.2e+07,5.2e+07,-4.3e+07,-4.3e+07,-3.8e+07,-3.3e+07,-4e+06,1e+06,-5e+06,1e+06,-4.1e+07,-2.7e+07,-2.7e+07,6000000.00000001,-20999999.9999999,1.57e+08,2.387e+09,7.4e+07,0.38469,0.0915,0.05229,0.02469,0.00858,1.32143,1.56423,1.87787,0.36571,0.3118,0.30991,5.96325,12.53341,0.41203,0.18374,0.0159,0.01322,0.58929,13.3758,21.42857
"23","2017_Q3",56.0414285714286,"Up",1.164e+09,-7.07e+08,4.57e+08,-3.14e+08,-2.7e+08,-4.4e+07,1.43e+08,-1.6e+07,-2.1e+07,5e+06,1.27e+08,-6e+06,1.21e+08,-2.1e+07,1e+08,1e+08,9.9e+07,9.9e+07,2.88e+08,2.88e+08,9.44e+08,9.44e+08,5.54e+08,1.75e+08,1.75e+08,1.961e+09,6.27e+08,4.119e+09,2.717e+09,1.184e+09,2.18e+08,4.746e+09,6.707e+09,9.57e+08,4.42e+08,5.15e+08,2.43e+08,1.2e+09,2.168e+09,9.57e+08,4.27e+08,3.29e+08,2.01e+08,3.125e+09,4.325e+09,1.896e+09,-4.28e+08,1.117e+09,-2.2e+08,2.365e+09,2.382e+09,6.707e+09,1e+08,5.7e+07,-1e+07,5e+06,-1.5e+07,-4.8e+07,-5.8e+07,-3e+06,1.3e+07,9.9e+07,-3.4e+07,-3.4e+07,-3.1e+07,-3.2e+07,-1.4e+07,6e+06,-2e+07,-1e+06,-7.4e+07,-6e+06,-6e+06,7e+06,1e+06,2e+08,2.411e+09,1.39e+08,0.39261,0.12285,0.08505,0.04156,0.01476,1.40404,1.63417,1.8157,0.35948,0.55123,0.54817,6.48111,13.16822,0.77395,0.17817,0.02278,0.02417,0.32323,10.615,14.84615
"24","2017_Q4",62.4839682539683,"Up",1.195e+09,-7.24e+08,4.71e+08,-3.15e+08,-2.7e+08,-4.5e+07,1.56e+08,-2e+07,-2.1e+07,999999.999999999,1.36e+08,-5e+06,1.31e+08,-2.7e+07,1.04e+08,1.04e+08,1.05e+08,1.05e+08,2.83e+08,2.83e+08,9.9e+08,9.9e+08,5.62e+08,1.6e+08,1.6e+08,1.995e+09,6.37e+08,4.151e+09,2.741e+09,1.174e+09,2.36e+08,4.788e+09,6.783e+09,1.039e+09,4.77e+08,5.62e+08,9.7e+07,1.136e+09,2.189e+09,9.78e+08,4.29e+08,3.24e+08,2.25e+08,3.167e+09,4.303e+09,1.902e+09,-4.28e+08,1.188e+09,-1.99e+08,2.463e+09,2.48e+09,6.783e+09,1.04e+08,5.8e+07,8.9e+07,5e+06,8.4e+07,-2.3e+07,-4.4e+07,-999999.999999996,2.2e+07,2.28e+08,-4.2e+07,-4.2e+07,-52999999.9999999,-3.2e+07,1e+06,999999.999999999,0,-1e+06,-1.84e+08,-9e+06,-9e+06,4e+06,-5000000.00000001,2.14e+08,2.286e+09,1.76e+08,0.39414,0.13054,0.08787,0.04234,0.01548,1.67619,1.75616,1.73508,0.33702,0.58463,0.5805,6.65364,13.71373,0.97995,0.17817,0.02385,0.03064,0.30476,9.35981,12.83974
"25","2018_Q1",69.7501639344262,"Up",1.277e+09,-7.7e+08,5.07e+08,-3.27e+08,-2.77e+08,-5e+07,1.8e+08,-1.9e+07,-2e+07,1e+06,1.61e+08,-1.7e+07,1.44e+08,-7.4e+07,7e+07,7e+07,7.1e+07,7.1e+07,4.14e+08,4.14e+08,9.56e+08,9.56e+08,5.24e+08,1.77e+08,1.77e+08,2.071e+09,6.43e+08,4.146e+09,2.768e+09,1.168e+09,2.1e+08,4.789e+09,6.86e+09,1.1e+09,5.49e+08,5.51e+08,0,1.1e+09,2.2e+09,1.041e+09,4.42e+08,2.52e+08,3.47e+08,3.241e+09,4.341e+09,1.914e+09,-4.28e+08,1.227e+09,-2.1e+08,2.503e+09,2.519e+09,6.86e+09,7e+07,6e+07,-8.9e+07,5e+06,-6.1e+07,2.66e+08,3.5e+07,4.1e+07,4.7e+07,3.07e+08,-5e+07,-5.1e+07,-5.9e+07,-3.3e+07,8e+06,8e+06,0,1e+06,-1.22e+08,1.26e+08,1.26e+08,5e+06,1.31e+08,2.4e+08,2.2e+09,5.3e+08,0.39702,0.14096,0.0556,0.02819,0.01035,7.46479,1.88273,1.7233,0.3207,0.39532,0.39135,7.11024,13.93653,2.951,0.18374,0.01806,0.09201,0.46479,7.44167,9.92222
"26","2018_Q2",68.67140625,"Down",1.217e+09,-7.57e+08,4.6e+08,-3.37e+08,-2.96e+08,-4.1e+07,1.23e+08,-1.8e+07,-2.1e+07,3e+06,1.05e+08,-1e+07,9.5e+07,-1.6e+07,7.9e+07,7.9e+07,7.9e+07,7.9e+07,2.97e+08,2.97e+08,9.99e+08,9.99e+08,5.78e+08,1.92e+08,1.92e+08,2.066e+09,6.66e+08,4.618e+09,3.082e+09,1.303e+09,2.33e+08,5.284e+09,7.35e+09,1.089e+09,5.43e+08,5.46e+08,3.71e+08,1.46e+09,2.228e+09,1.105e+09,4.46e+08,2.85e+08,3.74e+08,3.333e+09,4.793e+09,1.927e+09,-4.61e+08,1.282e+09,-2.07e+08,2.541e+09,2.557e+09,7.35e+09,7.9e+07,6.7e+07,-4e+07,9e+06,-4.9e+07,-4.3e+07,-9e+06,-4e+07,5999999.99999999,6.3e+07,-6.1e+07,-6.1e+07,-4.91e+08,-3.8e+07,-3e+07,3e+06,-3.3e+07,-1e+06,3.02e+08,-1.26e+08,-1.26e+08,9e+06,-1.17e+08,1.9e+08,2.599e+09,1.02e+08,0.37798,0.10107,0.06491,0.0309,0.01075,1.29114,1.41507,1.87446,0.35361,0.43913,0.4355,6.76487,14.12451,0.56698,0.21123,0.01869,0.01629,0.48101,12.11579,18.71545
"27","2018_Q3",70.8004761904762,"Up",1.317e+09,-7.98e+08,5.19e+08,-3.43e+08,-2.93e+08,-5e+07,1.76e+08,-1.9e+07,-2.1e+07,2e+06,1.57e+08,-7e+06,1.5e+08,-3.5e+07,1.15e+08,1.15e+08,1.15e+08,1.15e+08,3.21e+08,3.21e+08,1.019e+09,1.019e+09,5.98e+08,1.68e+08,1.68e+08,2.106e+09,6.43e+08,4.483e+09,2.996e+09,1.269e+09,2.18e+08,5.126e+09,7.232e+09,1.116e+09,5.8e+08,5.36e+08,3.61e+08,1.477e+09,2.179e+09,1.047e+09,4.26e+08,2.88e+08,3.33e+08,3.226e+09,4.703e+09,1.934e+09,-4.86e+08,1.359e+09,-2.94e+08,2.513e+09,2.529e+09,7.232e+09,1.15e+08,6.5e+07,1.6e+07,7e+06,9e+06,-5.8e+07,-5.9e+07,-4.7e+07,4.8e+07,1.38e+08,-5e+07,-5e+07,-4.6e+07,-3.8e+07,-2.4e+07,1e+06,-2.5e+07,0,-5e+07,4.2e+07,4.2e+07,-1.8e+07,2.4e+07,2.41e+08,2.54e+09,1.68e+08,0.39408,0.13364,0.08732,0.04547,0.0159,1.46087,1.42586,1.85963,0.35122,0.6396,0.63536,7.32481,13.97664,0.93437,0.21135,0.02502,0.02747,0.33043,9.20747,12.60795
"28","2018_Q4",65.8555555555556,"Down",1.287e+09,-7.82e+08,5.05e+08,-3.25e+08,-2.79e+08,-4.6e+07,1.8e+08,-1.7e+07,-2.1e+07,4e+06,1.63e+08,-2e+06,1.61e+08,-3.1e+07,1.3e+08,1.3e+08,1.3e+08,1.3e+08,4.04e+08,4.04e+08,1.017e+09,1.017e+09,6.22e+08,1.61e+08,1.61e+08,2.204e+09,6.36e+08,4.486e+09,3.008e+09,1.259e+09,2.19e+08,5.122e+09,7.326e+09,1.141e+09,5.7e+08,5.71e+08,3.42e+08,1.483e+09,2.189e+09,1.023e+09,4.09e+08,2.84e+08,3.3e+08,3.212e+09,4.695e+09,1.944e+09,-4.86e+08,1.452e+09,-2.93e+08,2.617e+09,2.631e+09,7.326e+09,1.3e+08,6.3e+07,3.3e+07,7e+06,2.6e+07,-3.9e+07,-8000000.00000001,-2.8e+07,-2999999.99999999,1.87e+08,-6e+07,-6e+07,-41999999.9999999,-3.8e+07,3e+06,3e+06,0,1e+06,-5.7e+07,8.8e+07,8.8e+07,-5e+06,8.3e+07,2.43e+08,2.531e+09,1.75e+08,0.39239,0.13986,0.10101,0.04941,0.01775,1.34615,1.48618,1.78449,0.34548,0.72343,0.71784,7.16194,14.56316,0.97385,0.21146,0.02716,0.02829,0.29231,8.75309,11.81667
"29","2019_Q1",69.6686885245902,"Up",1.386e+09,-8.44e+08,5.42e+08,-3.45e+08,-2.93e+08,-5.2e+07,1.97e+08,-1.5e+07,-1.9e+07,4e+06,1.82e+08,-3e+06,1.79e+08,4.6e+07,2.25e+08,2.25e+08,2.25e+08,2.25e+08,2.96e+08,2.96e+08,1.031e+09,1.031e+09,5.95e+08,1.72e+08,1.72e+08,2.094e+09,6.56e+08,4.472e+09,2.976e+09,1.232e+09,2.64e+08,5.128e+09,7.222e+09,1.132e+09,5.86e+08,5.46e+08,2.57e+08,1.389e+09,2.051e+09,1e+09,4e+08,3.03e+08,2.97e+08,3.051e+09,4.44e+09,1.952e+09,-4.87e+08,1.639e+09,-3.36e+08,2.768e+09,2.782e+09,7.222e+09,2.25e+08,6.6e+07,-5.7e+07,7e+06,-1.7e+07,-3.6e+07,-2.7e+07,1.8e+07,0,1.98e+08,-6.6e+07,-6.6e+07,-6.4e+07,-3.8e+07,-1e+06,0,-1e+06,0,-2.35e+08,-1.01e+08,-1.01e+08,-7e+06,-1.08e+08,2.63e+08,2.308e+09,1.15e+08,0.39105,0.14214,0.16234,0.08088,0.03115,0.51111,1.50756,1.59597,0.31958,1.25139,1.24378,7.70857,15.39488,0.6396,0.21135,0.04319,0.01888,0.16889,7.65019,10.2132
