"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",17.4296774193548,"Down",132297000,-102054000,30243000,-10914000,-9478000,-1436000,19329000,-11979000,-15120000,615000,2526000,7350000,86000,-1088000,-2247000,-515000,-67000,-582000,-582000,40532000,37524000,80166000,80166000,17786000,126309000,31497000,94812000,264793000,1859173000,134397000,36319000,92873000,1993570000,2258363000,110260000,96516000,58155000,58155000,189170000,910340000,235699000,58758000,109890000,1146039000,1335209000,730629000,184649000,697000,915975000,7179000,923154000,2258363000,-515000,26055000,9668000,-44903000,-9695000,17362000,16425000,-1817000,-26664000,-7409000,-35890000,-29160000,-29160000,-29160000,45384000,931095000,0.2286,0.1461,-0.0044,-0.000630000000000016,-0.000260000000000002,1.39976,1.44636,0.41229,-0.01281,-0.01281,2.91204,20.16189,0.03999,0.000589999999999993,-3.12199,19.62284,46.07393
"12","2013_Q1",19.1411666666667,"Up",110416000,-89766000,20650000,-12903000,-10743000,-2160000,7747000,-9896000,-19331000,1369000,-2061000,-2149000,-234499000,6013000,-229466000,-228839000,-136000,-228975000,-228975000,66628000,66628000,55680000,55680000,20669000,132620000,34144000,98476000,275597000,1252873000,556462000,35492000,499050000,1811926000,2087523000,98001000,98001000,411061000,390669000,850219000,324510000,217187000,45059000,172128000,541697000,1391916000,732186000,-44326000,651000,688511000,7096000,695607000,2087523000,-228839000,26528000,218991000,10407000,27087000,-47047000,-47177000,0,54608000,-5414000,49194000,29104000,29104000,29104000,34275000,665667000,0.18702,0.07016,-2.07375,-0.32917,-0.10969,0.32415,2.00101,0.31888,-5.04006,-5.0415,2.43041,15.15509,0,-0.14506,4.44089209850063e-16,17.47743,77.32529
"13","2013_Q2",20.5803125,"Up",118906000,-92129000,26777000,-19093000,-18093000,-1e+06,7684000,-9191000,-15822000,1682000,4949000,-1507000,-1507000,-4047000,-5554000,-4949000,-85000,-5034000,-5034000,60642000,57627000,42779000,42779000,18258000,176896000,30151000,146745000,298575000,1646711000,198282000,34681000,106635000,1844993000,2143568000,93900000,78406000,71548999.9999999,51157000.0000001,194209000,998932000,243908000,45118000,133094000,1242840000,1437049000,733729000,-39717000,609000,694621000,11898000,706519000,2143568000,-4949000,23137000,8296000,-8268000,18216000,-98046000,-98244000,173432.869747865,54548000,16479000,71027000,-9001000,-9001000,-9001000,30821000,1027692000,0.22519,0.06462,-0.04234,-0.00713000000000003,-0.00235,1.53739,2.03398,0.47943,-0.11081,-0.11081,2.61729,15.28958,-0.00380948294217967,-0.00253999999999999,1.77153820334236,31.37633,125.85242
"14","2013_Q3",23.08828125,"Up",152679000,-102298000,50381000,-12519000,-10911000,-1608000,37862000,-10701000,-17417000,904000,5812000,27161000,27161000,-5780000,21390000,25507000,-322000,25185000,25185000,31914000,28893000,67545000,67545000,17906000,150752000,35839000,114913000,268117000,1710798000,158985000,33861000,103503000,1869783000,2137900000,108865000,90651000,70966000,50538000,208591000,964282000,241312000,49688000,126686000,1205594000,1414185000,735043000,-24200000,567000,711410000,12305000,723715000,2137900000,25482000,22747000,-3745000,-42750000,1734000,-4188000,-4914000.00000001,-959846.787884423,-21694000,-3860000,-25554000,-28734000,-28734000,-28734000,60609000,993042000,0.32998,0.24798,0.16495,0.0348,0.01178,1.28537,1.95406,0.46449,0.55436,0.55406,3.36068,15.65913,0.0211374295709397,0.01286,1.09987937435853,15.85784,25.38503
"15","2013_Q4",24.55390625,"Up",130749000,-90993000,39756000,-9959000,-9121000,-838000,29797000,-11295000,-17717000,1258000,5164000,18502000,18502000,-5201000,13143000,13143000,-193000,12950000,12950000,35435000,35435000,60526000,60526000,20396000,182580000,36724000,145856000,298937000,1719268000,150130000,33032000,95551000,1869398000,2168335000,102039000,83751000,63195000,42767000,194109000,997872000,239384000,52233000,122934000,1237256000,1431365000,737171000,-13066000,527000,724632000,12338000,736970000,2168335000,13143000,25027000,5118000,-31012000,12276000,-26507000,-28050000,-1816000,24348000,-653000,22316000,6542000,6542000,6542000,54824000,1026747000,0.30406,0.22789,0.09904,0.01757,0.00597,1.54005,1.94223,0.47352,0.28501,0.28477,2.87759,15.94806,0.03997,0.00737,0.140229999999997,18.08172,33.26885
"16","2014_Q1",25.0567213114754,"Up",130905000,-88001000,42904000,-7265000,-15676000,8411000,35639000,-40428000,-24152000,1241000,-17517000,-4789000,-8883000,21421000,12437000,8329000,-193000,8136000,8136000,57354000,57354000,95365000,95365000,22289000,114332000,29654000,84155000,289340000,1452336000,410681000,31933000,377857000,1870093000,2159433000,98047000,98047000,482685000,24101362.4832788,882179000,362613000,169530000,55035000,114495000,532143000,1414322000,735341000,-3088000,487000,732740000,12371000,745111000,2159433000,8355000,22021000,3051000,21107000,54534000,176216000,5430999.99999999,-1820000,-9048999.99999999,-27269000,-38046000,21919000,21919000,21919000,57660000,664060000,0.32775,0.27225,0.06215,0.01092,0.00377,0.32798,1.89814,0.30752,0.17897,0.17866,2.8795,16.11799,0.04003,0.00631,0.2237,10.52213,17.02365
"17","2014_Q2",26.5215873015873,"Up",142436000,-88977000,53459000,-10888000,-10975000,87000,42571000,-20982000,-20407000,-638000,63000,21589000,28306000,-6320000,21789000,21789000,-237000,21552000,21552000,47927000,47927000,55676000,55676000,22671000,165655000,33728000,131927000,291929000,1713351000,129067000,31122000,89751000.0000001,1842418000,2134347000,114947000,93820000,33154000,33154000,211828000,925002000,231823000,59322000,109739000,1156825000,1368653000,736781000,15737000,451000,752969000,12725000,765694000,2134347000,21789000,23417000,2929000,19941000,68076000,21979000,-35323000,-2727000,-38205000,-1248000,-42180000,-9427000,-9427000,-9427000,65988000,988729000,0.37532,0.29888,0.15131,0.02815,0.0101,1.37814,1.78747,0.46325,0.47389,0.47201,3.13191,16.55641,0.05996,0.01222,0.12653,14.25717,22.0996
"18","2014_Q3",25.4315625,"Down",127603000,-87646000,39957000,-9520000,-9288000,-232000.000000002,30437000,-21694000,-21982000,-55000.0000000002,343000,8743000,14394000,-4967000,9313000,9313000,-177000,9136000,9136000,80120000,80120000,78764000,78764000,18292000,127163000,38156000,89007000,304339000,1715913000,124677000,30302000,88583000,1840590000,2144929000,101007000,79800000,58393000,58393000,225994000,917958000,230377000,63884000,104464000,1148335000,1374329000,738888000,22597000,-3673000,757812000,12788000,770600000,2144929000,9313000,25402000,1021000,-233000,35503000,41777000,6311000,-2276000,-3150000,-4587000,-9621000,32193000,32193000,32193000,55839000,984552000,0.31314,0.23853,0.0716,0.01186,0.00426,1.34667,1.78345,0.45901,0.2003,0.19863,2.79764,16.61468,0.0499,0.00575,0.24912,16.19714,29.71489
"19","2014_Q4",25.658125,"Up",140242000,-84767000,55475000,-11687000,-11437000,-250000,43788000,-25162000,-22459000,-2946000,243000,18626000,24113000,-6444000,16770000,16770000,-256000,16514000,16514000,42451000,42451000,75224000,75224000,17337000,189756000,36879000,152877000,324768000,1727665000,119480000,29481000,86047000,1847145000,2171913000,96406000,78411000,76521000,76521000,197043000,966923000,224403000,67328000,95781000,1191326000,1388369000,740697000,36835000,-5710000,771822000,11722000,783544000,2171913000,16770000,26017000,672000,31732000,75191000,414000,-106423000,-2276000,4355000,-8865000,-6437000,-37669000,-37669000,-37669000,69805000,991039000,0.39557,0.31223,0.11775,0.02108,0.0076,1.64821,1.77191,0.4563,0.36142,0.35824,3.06929,16.89184,0.04981,0.0094,0.13782,13.58911,21.6632
"20","2015_Q1",29.4365573770492,"Up",149243000,-94383000,54860000,-12727000,-12339000,-388000,42133000,-21587000,-19494000,-2200000,107000,20546000,19023000,-9877000,7143000,7143000,-163000,6980000,6980000,40230000,40230000,48609000,48609000,16930000,167854000,34884000,132970000,273623000,1734359000,113574000,28655000,84668000,1847933000,2121556000,106271000,88276000,60066000,59092000,205753000,909631000,215809000,66220000,89029000,1125440000,1331193000,742052000,41539000,-5051000,778540000,11823000,790363000,2121556000,7143000,25962000,3472000,-2112000.00000001,34465000,-42179000,6273000.00000003,-2276000,-38757000,-2166000,-42959000,-2221000,-2221000,-2221000,68095000,949047000,0.36759,0.28231,0.04677,0.00883,0.00329,1.32986,1.68428,0.44734,0.1527,0.15126,3.265,17.03216,0.04979,0.00473,0.32607,13.34631,21.57019
"21","2015_Q2",35.3363492063492,"Up",120231000,-76206000,44025000,-1.4e+07,-13637000,-363000,30025000,-18902000,-17819000,-1366000,283000,11123000,16501000,-5459000,10267000,10267000,-235000,10032000,10032000,70724000,70724000,56300000,56300000,17286000,162254000,29566000,132688000,306564000,1765794000,110975000,27846000,82633000,1876769000,2183333000,361796000,83676000,120271000,119296000,512667000,638672000,212822000,70247000,82760000,851494000,1364161000,771640000,47673000,-11971000,807342000,11830000,819172000,2183333000,10267000,25639000,5979000,41262000,83147000,-4871000,-47257000,-3898000,-194000,-4008000,-5396000,30494000,30494000,30494000,55664000,669272000,0.36617,0.24973,0.08344,0.01225,0.00459,0.59798,1.66529,0.30654,0.21234,0.20866,2.54489,17.08877,0.08251,0.00819,0.38856,10.75287,19.93499
"22","2015_Q3",34.83953125,"Down",140487000,-89704000,50783000,-12140000,-11726000,-414000,38643000,-21061000,-18815000,-571000,-1675000,17582000,22313000,-6056000,15273000,15273000,-859000,14414000,14414000,137665000,137665000,58089000,58089000,16401000,157351000,31055000,126029000,369506000,1797935000,109109000,27029000,80386000,1907044000,2276550000,116476000,98481000,100890000,99915000,217366000,857950000,207421000,73887000,74464000,1065371000,1282737000,845222000,59155000,-8519000,895858000,97955000,993813000,2276550000,15273000,26920000,1893000,-14507000,29579000,23202000,-32176000,-2932000,-80148000,151356000,69538000,66941000,66941000,66941000,65563000,857950000,0.36148,0.27506,0.1026,0.0145,0.00633,1.69993,1.29072,0.37686,0.29487,0.28369,2.874,18.32695,0.05998,0.00842,0.20341,10.98615,18.63947
"23","2015_Q4",34.3621875,"Down",162852000,-103520000,59332000,-12668000,-12333000,-335000,46664000,-16530000,-17695000,1296000,-131000,30134000,38583000,38211000,73661000,73661000,-1522000,72139000,72139000,171541000,171541000,52313000,52313000,16595000,128939000,34011000,94928000,369388000,1810940000,106005000,26202000,78459000,1916945000,2286333000,106721000,85226000,40819000,39844000,147540000,925654000,155182000,31360000,65497000,1080836000,1228376000,847047000,128352000,-12844000,962555000,95402000,1057957000,2286333000,73661000,27904000,-43509000,-43602000,14454000,16851000,-2973000,-2942000,30872000,-162941000,22396000,33877000,33877000,33877000,74568000,925654000,0.36433,0.28654,0.44297,0.06819,0.03155,2.50365,1.16108,0.40486,1.47108,1.41048,3.32093,19.62876,0.05999,0.0351,0.04078,10.11309,16.16049
"24","2016_Q1",35.1145901639344,"Up",171074000,-106935000,64139000,-13831000,-13163000,-668000,50308000,-19400000,-17951000,-981000,-468000,30908000,36202000,-10639000,24947000,24947000,-1160000,23787000,23787000,185919000,185919000,55301000,55301000,18074000,115842000,33334000,82508000,375136000,1808170000,90676000,25875000,64801000,1898846000,2273982000,113450000,91955000,63822000,63822000,188501000,838749000,154758000,32654000,64005000,993507000,1182008000,849272000,148396000,433000,998101000,93873000,1091974000,2273982000,24148000,26743000,-7616999.99999999,19571000,62845000,183432000,148070000,-2944000,-31169000,-7137000,-196538000,14377000,14377000,14377000,77051000,849978000,0.37492,0.29407,0.13905,0.02178,0.01046,1.9901,1.08245,0.37378,0.48462,0.50919,3.48533,20.33455,0.05998,0.01275,0.12377,8.61843,13.19987
"25","2016_Q2",40.7084375,"Up",151594000,-87721000,63873000,-12773000,-12424000,-349000,51100000,-13550000,-15703000,1962000,191000,37550000,41391000,-9509000,30945000,30945000,-1674000,29271000,29271000,148498000,148498000,76465000,76465000,16795000,137807000,35135000,102672000,379565000,1570074000,310495000,25056000,285439000,1880569000,2260134000,82487000,82487000,63641000,63641000,185045000,578106000,398650000,27356338.3524377,61859203.3915519,976756000,1161801000,854309000,162195000,-10849000,1005655000,92678000,1098333000,2260134000,30945000,26181000,4436000,-34518000,27044000,-13589000,-44620000,-15472000,-2631000,-5937000,-19845000,-37421000,-37421000,-37421000,77281000,617023000,0.42134,0.33708,0.19309,0.02665,0.01295,2.0512,1.05779,0.273,0.59527,0.58798,3.08287,20.45137,0.31464,0.02117,0.52858,6.06262,9.16879
"26","2016_Q3",45.0534375,"Up",159861000,-94065000,65796000,-13046000,-12451000,-595000,52750000,-22439000,-18156000,-4332000,48999.9999999998,30311000,33967000,-8085000,24738000,24738000,-584000,24154000,24154000,192556000,192556000,59042000,59042000,16690000,111948000,44334000,67614000,380236000,1803514000,89263000,24236000,65027000,1892777000,2273013000,109006000,87511000,72910000,72910000,193145000,808460000,138626000,21907000,59794000,947086000,1140231000,856876000,183018000,2509000,1042403000,90379000,1132782000,2273013000,24738000,25077000,7811000,34903000,92529000,26079000,-10669000,-3526000,-28755000,-7271000.00000001,-37802000,44058000,44058000,44058000,77827000,819689000,0.41158,0.32997,0.15109,0.02132,0.01063,1.96866,1.00658,0.36062,0.4884,0.48142,3.23245,21.07781,0.0713,0.01324,0.14598,8.05804,11.88878
"27","2016_Q4",46.3763492063492,"Up",184617000,-110128000,74489000,-24972000,-23886000,-1086000,49517000,-22639000,-16871000,-222000,-5546000,26878000,29047000,-12109000,14285000,14285000,-2326000,11959000,11959000,90066000,90066000,65198000,65198000,12973000,141135000,38940000,102195000,309372000,1842160000,127739000,56052000,64616000,1969899000,2279271000,124348000,102854000,65255000,65255000,201905000,756083000,163705000,34961000,73284000,919788000,1121693000,859905000,191627000,5161000,1056693000,100885000,1157578000,2279271000,14285000,26307000,11243000,-13381000,38454000,-10571000,-69900000,-3471000,-63256000,-5622000,-71044000,-102490000,-102490000,-102490000,75824000,768385000,0.40348,0.26821,0.06478,0.01033,0.00525,1.53227,0.969,0.33712,0.24111,0.23781,3.72219,21.30472,0.06998,0.00738,0.29024,8.94597,13.69871
"28","2017_Q1",53.0945161290323,"Up",166519000,-99882000,66637000,-15105000,-14373000,-732000,51532000,-18669000,-15688000,-2942000,-39000.0000000009,32863000,36683000,-7356000,26326000,26326000,-3002000,23324000,23324000,230214000,230214000,80807000,80807000,1.2e+07,149809000,45867000,103942000,472830000,1863087000,125652000,52753000,66249000,1988739000,2461569000,113145000,91650000,63864000,63864000,189251000,872873000,215320000,36411000,124348000,1088193000,1277444000,869513000,215352000,-3403000,1081462000,102663000,1184125000,2461569000,32488498.1055904,26910642.5634938,2199682.22299217,-18342862.2245925,43255960.6674839,-21117756.6344329,-113312337.704515,-8118352.1054871,-21724271.603437,-5472225.13529984,-29051008.1884883,-99107385.2255194,-99107385.2255194,-99107329.8325144,81396490.7208749,885115000,0.40018,0.30947,0.14007,0.0197,0.00948,2.49843,1.07881,0.35957,0.46978,0.46354,3.35392,21.78215,0.163612707444459,0.01021,0.286061003466351,8.56798396641766,12.70863
"29","2017_Q2",56.4634920634921,"Up",189898000,-115488000,74410000,-14914000,-14312000,-602000,59496000,-13433000,-14679000,1338000,-92000,46063000,52220000,-11004000,39617000,39617000,-4423000,35194000,35194000,174138000,174138000,68920000,68920000,17804000,167887000,40482000,127405000,428749000,1894323000,174010000,86800000,67500000,2071139000,2499888000,117013000,95518000,49880000,49880000,207491000,861723000,228978000,42283000,132897000,1090701000,1298192000,871226000,243508000,-7076000,1107658000,94038000,1201696000,2499888000,39617000,27059000,3600000,1187000,71463000,-17999.9999999851,-103121000,-8448000,16187000,-6540000,1199000,-30459000,-30459000,-30459000,86555000,902321000,0.39184,0.31331,0.18533,0.02929,0.01408,2.06635,1.0803,0.36094,0.70841,0.69704,3.82242,22.29585,0.17005,0.01871,0.24004,8.41295,12.23919
