"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",6.97390625,"Down",498169000,-344999000,153170000,-106424000,-106424000,46746000,-10958000,-10910000,-48000,35788000,35788000,-12828000,22960000,22960000,-764000,22196000,22196000,29104000,11284000,322190000,322190000,435883000,59408000,59408000,846585000,193673000,306323000,210223000,96100000,499996000,1346581000,242877000,165691000,77186000,242877000,593424000,34651000,34651000,628075000,870952000,474626000,1003000,475629000,1346581000,22960000,8331000,9537000,-174951000,-134123000,-8139000,0,-8139000,142914000,-1749000,-2127000,215000,141380000,-882000,-882000,-425000,-1307000,55077000,593424000,-115185000,0.30747,0.09384,0.04456,0.04667,0.01648,-5.18945,3.48565,1.83116,0.44069,0.4618,0.4554,10.3647,9.87488,-2.39649,0.02011,-0.10436,10.24602,12.07205
"12","2013_Q4",7.325,"Up",494130000,-341664000,152466000,-119574000,-119574000,32892000,-10966000,-11319000,353000,21926000,21926000,-7520000,14406000,14406000,-681000,13725000,13725000,38302000,20482000,243650000,243650000,413070000,53751000,53751000,748773000,190921000,304942000,210223000,94719000,495863000,1244636000,205731000,112313000,93418000,205731000,509430000,37845000,37845000,547275000,753006000,489946000,1684000,491630000,1244636000,14406000,7811000,7587000,66902000,96706000,-3370000,0,-3370000,-84087000,-85999.9999999998,-171000,56000,-84117000.0000001,9219000,9219000,-21000,9197999.99999999,40703000,509430000,111755000,0.30855,0.06657,0.02778,0.02792,0.01103,8.14244,3.63957,1.53165,0.4093,0.28491,0.28112,10.25741,10.17055,2.31987,0.01321,0.10757,11.57477,14.32348
"13","2014_Q1",7.15049180327869,"Down",368837000,-287530000,81307000,-99987000,-99987000,-18680000,-10492000,-10491000,-1000,-29172000,-36881000,13962000,-22919000,-22919000,338000,-22581000,-22581000,32976000,15156000,194260000,194260000,391934000,53484000,53484000,672654000,188913000,299593000,205756000,13969000,488506000,1161160000,182187000,103569000,78618000,182329000,472445000,36362000,36362000,508807000,691136000,468678000,1346000,470024000,1161160000,-22919000,8810000,849000,50436000,37176000,-5638000,-2.3283064365387e-10,-5638000,-37075000,-53000,-106000,43000,-37085000,-5547000,-5547000,221000,-5326000,-9870000,472587000,20966000,0.22044,-0.05065,-0.06122,-0.04804,-0.01945,-0.92848,3.68923,1.47043,0.407,-0.46783,-0.48103,7.64144,9.70991,0.43437,-0.02307,0.02142,-44.54012,-23.53378
"14","2014_Q2",8.21301587301587,"Up",290521000,-210780000,79741000,-88096000,-88096000,-8355000,-12372000,-12204000,-168000,-20727000,-20727000,7915000,-12812000,-12812000,104000,-12708000,-12708000,30931000,16711000,143105000,143105000,427439000,69100000,69100000,670575000,187138000,298255000,205756000,13643000,485393000,1155968000,209060000,120548000,88512000,209133000,449465000,38867000,38867000,488332000,697465000,457894000,609000,458503000,1155968000,-12812000,8320000,5724000,28777000,30009000,-5377000,3600000,-1777000,-23076000,-201000,-401000,-3447000,-26724000,1508000,1508000,47000,1555000,-35000,449538000,15450000,0.27448,-0.02876,-0.04374,-0.02772,-0.01099,-1.21577,3.20645,1.52118,0.38888,-0.26274,-0.26274,6.00647,9.46688,0.31943,-0.01342,0.01632,-11960.2,-50.10257
"15","2014_Q3",8.6196875,"Up",501611000,-354015000,147596000,-102827000,-102827000,44769000,-10281000,-10389000,108000,34488000,34488000,-12999000,21489000,21489000,-594000,20895000,20895000,30968000,16748000,323183000,323183000,402720000,55882000,55882000,812753000,185354000,296240000,205756000,12589000,481594000,1294347000,223038000,142152000,80886000,223341000,545032000,40470000,40470000,585502000,808843000,484301000,1203000,485504000,1294347000,21489000,9192000,5402000,-126135000,-90052000,-4647000,-4.65661287307739e-10,-4647000,94873000,-262000,-523000,48000,94659000,-40000,-40000,77000,37000,53961000,545335000,-63822000,0.29424,0.08925,0.04166,0.04304,0.01614,-3.05441,3.63907,1.66599,0.42132,0.42916,0.42542,10.30256,9.94703,-1.31084,0.0195,-0.05957,9.5322,11.48936
"16","2014_Q4",7.6815625,"Down",437987000,-318856000,119131000,-100705000,-100705000,18426000,-9959000,-10415000,456000,8467000,8467000.00000001,-3133000,5334000,5334000,-647000,4687000,4687000,46066000,31846000,214120000,214120000,365035000,53689000,53689000,678910000,177660000,309368000,205756000,26689000,487028000,1165938000,179480000,89959000,89521000,179776000,449994000,43236000,43236000,493230000,673006000,491082000,1850000,492932000,1165938000,5334000,9171000,2559000,111830000,128894000,1488000,0,-18774000,-95079000,-133000,-266000,98000,-95114000,15006000,15006000,92000,15098000,27597000,450290000,144048000,0.272,0.04207,0.0107,0.00951,0.00402,30.73352,3.77642,1.36531,0.3862,0.0953700000000001,0.09404,8.91159,9.9919,2.9309,0.00475,0.14603,14.6473900000004,21.9377
"17","2015_Q1",9.29950819672131,"Up",374238000,-266682000,107556000,-106183000,-106183000,1373000,-9735000,-9742000,7000,-8362000,-8362000,4172000,-4190000,-4190000,120000,-4070000,-4070000,88666000,78676000,193729000,193729000,326386000,62771000,48488000,671552000,166849000,310326000,208233000,102093000,477175000,1148727000,173098000,88428000,84670000,173098000,449948000,39228000,39228000,489176000,662274000,484723000,1730000,486453000,1148727000,-4190000,9098000,5188000,47520000,57616000,1e+05,-10063000,-9983000,-85000,-571000,-1142000,76000,-580000,47053000,47053000,-223000,46830000,10471000,449948000,53919000,0.2874,0.00367,-0.01088,-0.00837,-0.00354,-13.24791,3.87961,1.36143,0.39169,-0.08253,-0.08097,7.58857,9.82892,1.09334,-0.00417,0.05527,34.5031,263.13328
"18","2015_Q2",9.85333333333333,"Up",307320000,-219339000,87981000,-86843000,-86843000,1138000,-10800000,-10432000,-368000,-9662000,-9662000,3969000,-5693000,-5693000,-4000.00000000012,-5697000,-5697000,89580000,79588000,142877000,142877000,399936000,83970000,64280000,716363000,163546000,304398000,208233000,96165000,467944000,1184307000,221693000,128485000,93208000,271982000,395257000,42212000,42212000,437469000,709451000,474802000,54000,474856000,1184307000,-5693000,8464000,4620000,8461000.00000001,15852000,-4069000,-5419000,-9488000,-72000,-3554000,-3742000,-1640000,-5266000,1098000,1098000,-186000,912000,9602000,445546000,10025000,0.28628,0.0037,-0.01854,-0.012,-0.00481,-1.7597,2.63386,1.49403,0.37621,-0.11537,-0.11537,6.2237,9.61546,0.20302,-0.00592,0.01041,37.07207,312.79965
"19","2015_Q3",11.98125,"Up",497602000,-347540000,150062000,-100091000,-100091000,49971000,-11979000,-11858000,-121000,37992000,37992000,-14012000,23980000,23980000,-743000,23237000,23237000,11943000,11943000,321765000,321765000,382328000,70834000,58251000,786870000,163207000,319120000,209089000,24846000,482327000,1269197000,223263000,139821000,83442000,223552000,511113000,44549000,44549000,555662000,779214000,489186000,797000,489983000,1269197000,23980000,8350000,5305000,-152008000,-114373000,-6956000,16768000,-6188000,64931000,-12390000,-13422000,311000,52852000,-67709000,-67709000,64000,-67645000,58321000,511402000,-86631000,0.30157,0.10042,0.0467,0.04742,0.01831,-3.72815,3.51985,1.59029,0.40293,0.48026,0.47001,10.28443,10.11049,-1.79049,0.02222,-0.08283,8.56396,9.99498
"20","2015_Q4",15.3228125,"Up",459446000,-317409000,142037000,-103044000,-103044000,38993000,-8386000,-8971000,585000,30607000,30607000,-11484000,19123000,19123000,-323000,18800000,18800000,43841000,43841000,223149000,223149000,340233000,67148000,54558000,674371000,162969000,318397000,209089000,25467000,481366000,1155737000,200493000,90423000,110070000,200783000,396395000,47147000,47147000,443542000,644325000,510292000,1120000,511412000,1155737000,19123000,8262000,4929000,122804000,155118000,-7135000,-165000,-7300000,-115075000,-929000,-1857000,334000,-115670000,32148000,32148000,-250000,31898000,47255000,396685000,174408000,0.30915,0.08487,0.04092,0.03676,0.01627,9.27702,3.35871,1.25989,0.34323,0.39031,0.38142,9.53861,10.59422,3.6209,0.01968,0.18258,7.46681,9.04891000000001
