"","YQ","p","d","operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","earnings_per_share_basic","earnings_per_share_diluted"
"12","2019_Q1",2.37262295081967,"Down",-2100000,-2100000,-2100000,-1835000,-1835000,-1835000,-1835000,-1835000,-1835000,67000,204000,-620000,-2184000,0,-2188000,-2188000,-2188000,-2033000,-2.8421709430404e-14,-0.32137,-0.32137
"13","2019_Q2",2.43396825396825,"Up",-2034000,-2034000,-2034000,-1927000,-1927000,-1927000,-1927000,-1927000,-1927000,61000,323000,327000,-1216000,1e+06,-240000,-240000,-240000,-1973000,0,-0.32101,-0.32101
"14","2019_Q3",2.4190625,"Down",-2668000,-2668000,-2668000,-2429000,-2429000,-2429000,-2429000,-2429000,-2429000,54000,515000,-177000,-2037000,2277000,186000,186000,186000,-2614000,-2.27373675443232e-13,-0.36831,-0.36831
"15","2019_Q4",2.24828125,"Down",-2499000,-2499000,-2031000,-1904000,-1904000,-1904000,-1904000,-1904000,-2377000,50000,520000,444000,-1363000,1250000,-153000,-153000,-153000,-2449000,0,-0.26317,-0.26317
"16","2020_Q1",2.86935483870968,"Up",-1669000,-1669000,-2137000,-2072000,-2072000,-2072000,-2072000,-2072000,-1599000,49000,231000,-124000,-1443000,1269000,-185000,-185000,-185000,-1620000,-3.63797880709171e-12,-0.26704,-0.26704
"17","2020_Q2",3.01301587301587,"Up",-1896000,-1896000,-1896000,-1996000,-1996000,-1996000,-1996000,-1996000,-1996000,48000,688000,166000,-1094000,987000,-107000,-107000,-107000,-1848000,0,-0.24086,-0.24086
"18","2020_Q3",2.07484375,"Down",-1261000,-1261000,-1263000,-1185000,-1185000,-1185000,-1185000,-1185000,-1185000,46000,187000,-118000,-1070000,882000,-188000,-188000,-188000,-1215000,404000,-0.1372,-0.1372
"19","2020_Q4",1.41046875,"Down",-1058000,-1058000,-1058000,-660000,-660000,-660000,-660000,-660000,-660000,45000,129000,-369000,-855000,2292000,1430000,1430000,1430000,-1013000,404000,-0.07451,-0.07451
"20","2021_Q1",1.58819672131148,"Up",-1110000,-1110000,-1111000,-1024000,-1024000,-1024000,-1024000,-1024000,-1024000,45000,140000,-183000,-1022000,0,-1022000,-1022000,-1022000,-1065000,404000,-0.10901,-0.10901
"21","2021_Q2",1.22238095238095,"Down",-995000,-995000,-992000,-874000,-874000,-874000,-874000,-874000,-874000,43000,185000,86000,-560000,-861841.942845584,-560000,-560000,-560000,-952000,404000,-0.09939,-0.09939
"22","2021_Q3",2.30421875,"Up",-918000,-918000,-837000,-382000,-382000,-382000,-382000,-382000,-382000,23000,-332000,78000,-613000,598000,-14999.9999999999,-14999.9999999999,-14999.9999999999,-895000,0,-0.04059,-0.04059
"23","2021_Q4",2.82265625,"Up",-822000,-822000,-822000,-849000,-849000,-849000,-849000,-849000,-849000,21000,174000,2e+05,-454000,1998000,1544000,1544000,1544000,-801000,0,-0.08473,-0.08473
"24","2022_Q1",4.10209677419355,"Up",-5901000,-5901000,-5915000,-5873000,-5873000,-5873000,-5873000,-5873000,-5873000,20000,545000,4307000,-1001000,248000,-753000,-753000,-753000,-5881000,0,-0.92756,-0.92756
"25","2022_Q2",5.27274193548387,"Up",-2205000,-2205000,-2206000,-2177000,-2177000,-2177000,-2177000,-2177000,-2177000,14000,235000,1409000,-519000,3055000,2536000,2536000,2536000,-2191000,0,-0.21738,-0.21738
"26","2022_Q3",5.6096875,"Up",-1375000,-1375000,-1377000,-1345000,-1345000,-1345000,-1345000,-1363000,-1345000,13000,277000,-80000,-1135000,2005000,861999.999999999,861999.999999999,861999.999999999,-1362000,0,-0.12137,-0.12137
