"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",6.49403225806452,"Down",243036000,-173087000,69949000,-50103000,-43165000,-13515000,-29650000,-6938000,19846000,-330000,-2286000,1180000,776000,19516000,19460000,-6258000,13202000,13202000,13202000,13202000,18193000,18193000,186194000,186194000,170252000,17354000,12162000,391993000,65871000,30524000,361914000,193614000,158340000,806000,9154000,458309000,850302000,150243000,67359000,3014000,79870000,25633000,176254000,173836000,65016000,4687000,41858000,18471000,238852000,415106000,286341000,-18360000,174898000,-7683000,435196000,435196000,850302000,13202000,4024000,3290000,-34012000,-13496000,-5282000,-5282000,-5282000,-5907000,19168000,19654000,251000,251000,232000,483000,23870000,199469000,-9166000,0.28781,0.08166,0.05432,0.03034,0.01553,-0.69429,2.22402,0.95384,0.23459,0.56336,0.54826,10.37093,18.57086,-0.39114,2,0.01887,-0.0131,7.5943,9.13413
"12","2013_Q1",9.64483333333333,"Up",206790000,-145099000,61691000,-49865000,-43936000,-13749000,-30187000,-5929000,11826000,6152000,-2065000,1150000,7067000,17978000,17682000,-7412000,10270000,10270000,10270000,10270000,17307826000,11307826000,7052656000,7052656000,16715722000,599381000,599381000,41675585000,2394300000,31452263.9403804,2742123000,2742123000,154011060.712542,863487.187307701,11541980.1245587,5136423000,46812008000,1970017000,1386931000,3822571.04995227,583086000,22126321.2268689,6184916000,161126639.143911,4.39e+08,5150364.81932849,43365814.0774548,4.39e+08,4.39e+08,6623916000,40188092000,-18358112.4959924,184680278.988653,-7970682.58191234,40188092000,40188092000,46812008000,10270000,4273000,155000,17222000,31920000,-4417000,-4417000,-4417000,-3779000,-27194000,-26479000,1662000,1662000,-78000.0000000002,1584000,16099000,2.98023223876953e-08,36316000,0.29833,0.05719,0.04966,0.00026,0.000220000000000003,3.53612,6.73826,0.16482,0,0.43649,0.43353,8.78884,1708.04536,1.54348,5,0.000250000000000004,0.000890000000000002,-1075.08702,-1463.54017
"13","2013_Q2",10.6175,"Up",192972000,-138459000,54513000,-50796000,-42061000,-13123000,-28938000,-8735000,3717000,-208000,-1980000,1756000,16000,3509000,3206000,-1064000,2142000,2142000,2142000,2142000,16255000,16255000,139062000,139062000,152309000,13475000,9484000,321101000,76657000,32319000,363633000,202400000,146333000,921000,13979000,472609000,793710000,128624000,59837000,3624000,65163000,18413000,147214000,127423000,72479000,5189000,43378000,23912000,199902000,347116000,286144000,-18360000,187310000,-8500000,446594000,446594000,793710000,2142000,4005000,-501000,28250000,33896000,-3189000,-3189000,-3189000,-3108000,-34853000,-33136000,-2348000,-2348000,-1174000,-3522000,7722000,145836000,33847000,0.28249,0.01926,0.0111,0.0048,0.0027,15.80159,2.18119,0.77725,0.18374,0.0903,0.08945,8.13532,18.82752,1.42692,7,0.00322,0.0509,16.78076,34.86172
"14","2013_Q3",13.2790625,"Up",183818000,-129716000,54102000,-50871000,-41645000,-12602000,-29043000,-9226000,3231000,5394000,-1799000,1496000,5697000,8625000,7651000,-2788000,4863000,4863000,4863000,4863000,13385999.9999981,13385999.9999981,129415000.000001,129415000.000001,174499000,14387000,10434000.0000001,331687000,77721000,33034000,364015000,201673000,147377000,903000,14062000,474770000,806457000.000008,145001000,71124999.9999998,4753000,69123000,18135000,163307000.000001,114634000,73212000,5249000,44132000,23831000,187846000,351152999.999999,288247999.999992,-18360000,192173000,-6757000,455304000,455304000,806457000.000008,4863000,3956000,356000,2048000,11223000,-2542000,-2542000,-2542000,-2623000,-13628000,-11579000,-2979000,-2979000,110000,-2869000,7187000,132769000,9481000,0.29432,0.01758,0.02646,0.01068,0.00603,1.94962,2.03106,0.77125,0.16463,0.2016,0.20045,7.62023,18.8747699999998,0.39304,6,0.00735,0.01434,16.61096,36.9492400000003
"15","2013_Q4",15.7871875,"Up",245814000,-177016000,68798000,-52188000,-46448000,-15026000,-31422000,-5740000,16610000,5270000,-1830000,1520000,5580000,21880000,21833000,-6409000,15424000,15424000,15424000,15424000,16328000,16328000,187868000,187868000,160853000,17629000,12718000,382678000,79754000,34249000,362949000,201495000,149075000,901000,11478000,476952000,859630000,167766000,76347000,8543000,82876000,19047000,187982000,121839000,73555000,5630000,44382000,23543000,195394000,383376000,289880000,-18351000,207597000,-2872000,476254000,476254000,859630000,15424000,4039000,243000,-22492000,-2786000,-3854000,-3854000,-3854000,-3771000,7762000,9271000,2714000,2714000,228000,2942000,20649000,140886000,712000,0.27988,0.06757,0.06275,0.03239,0.01794,0.04616,2.03572,0.80498,0.16389,0.63372,0.63156,10.09966,19.56766,0.02925,3,0.02233,0.00103,6.03216,7.49898
"16","2014_Q1",13.6572131147541,"Down",187105000,-134270000,52835000,-54883000,-44423000,-14974000,-29449000,-10460000,-2048000,87000,-1785000,1298000,574000,-1961000,-59345000,10319000,-49026000,-49026000,-49026000,-49026000,10603000,10603000.0000001,149497000,149497000,144339000,21418000,15897000,325857000,83222000,34730000,303341000,174312000,117938000,760000,10331000,421293000,747150000,140811000,55373000,3634000,81804000,5960000,146780000,109336000,61450000,5807000,34963000,20680000,170786000,317566000,290960000,-18351000,158571000,-1596000,429584000,429584000,747150000,-49026000,4183000,47861000,21466000,24484000,-5044000,-5044000,-5044000,-5127000,-24717000,-24715000,-5358000,-5358000,-367000,-5725000,2135000,115296000,8238000,0.28238,-0.01095,-0.26202,-0.11412,-0.06562,-0.168030000000002,2.22004,0.73924,0.15431,-2.02122,-2.0592,7.71389,17.71071,0.33963,2,-0.08086,0.01359,49.03653,-51.11963
"17","2014_Q2",10.4433333333333,"Down",186899000,-133846000,53053000,-53472000,-44211000,-14596000,-29615000,-9261000,-419000,874000,-1608000,1931000,551000,455000,557000,-68000,489000,489000,489000,489000,18580000,10926000,125455000,125455000,143173000,23495000,16357000,310703000,83244000,33798000,300701000,172654000,117464000,775000,9808000,417743000,728446000,135434000,64827000,3125000,67482000,6530000,141974000,90189000,65926000,5684000,34991000,25251000,156115000,298089000,291312000,-18351000,159060000,-1664000,430357000,430357000,728446000,489000,3933000,-2000,23325000,27745000,-3012000,-3012000,-3012000,-9012000,-18512000,-18512000,221000,221000,102000,323000,3514000,96719000,23895000,0.28386,-0.00224,0.00262,0.00114,0.00067,48.86503,2.18845,0.69266,0.13277,0.01994,0.01992,7.62277,17.55233,0.97457,7,0.00082,0.04029,22.23648,-186.48926
"18","2014_Q3",9.72578125,"Down",177343000,-124939000,52404000,-51313000,-42098000,-13010000,-29088000,-9215000,1091000,601000,-1577000,1455000,723000,1692000,-4642000.00000001,1960000,-2682000,-2682000,-2681999.99999999,-2681999.99999999,10367000,9401000,114313000,114313000,153797000,29428000,20697000,307905000,82317000,33939000,294465000,169533000,115052000,776000,9104000,410721000,718626000,132404000,64656000,2974000,64774000,8501000,140915000,93580000,63018000,5774000,33402000,23842000,156598000,297513000,291110000,-18351000,156378000,-8024000,421113000,421113000,718626000,-2682000,4067000,5274000,-10578000,-3919000,-2965000,-2965000,-2965000,-2965000,5985000,5985000,-899000,-899000,-626000,-1525000,5158000,102081000,-10345000,0.2955,0.00614999999999999,-0.01512,-0.00637000000000002,-0.00373,3.8572,2.18504,0.70649,0.14205,-0.11015,-0.11026,7.28328,17.29464,-0.42486,4,-0.00457999999999999,-0.01765,17.78092,84.06416
"19","2014_Q4",8.3565625,"Down",223356000,-154399000,68957000,-52313000,-43210000,-13623000,-29587000,-9103000,16644000,-438000,-1825000,1245000,142000,16206000,16206000,-584000,15622000,15622000,15622000,15622000,12024000,11056000,144423000,144423000,153325000,26662000,19747000,336434000,81500000,33824000,286898000,165767000,111946000,750000,8435000,402222000,738656000,157703000,73971000,6856000,76876000,2068000,159848000,100758000,51444000,4615000,33534000,13295000,152202000,312050000,291283000,-20958000,1.72e+08,-15719000,426606000,426606000,738656000,15622000,4189000,2654000,-15894000,6571000,-3830000,-3885000,-3885000,-3603000,1376000,-1212000,1756000,1756000,-101000,1655000,20833000,102826000,1693000,0.30873,0.07452,0.06994,0.03662,0.02115,0.10837,2.10471,0.73147,0.13921,0.64227,0.64059,9.18287,17.53912,0.0696,7,0.02689,0.00291,4.35857,5.45554
"20","2015_Q1",8.48344262295082,"Up",169900000,-120444000,49456000,-49044000,-39466000,-12907000,-26559000,-9578000,411999.999999998,-527000,-1841000,1235000,79000,-114999.999999998,-11425000,-2946000,-14371000,-14371000,-14371000,-14371000,8723000,8448000,106388000,106388000,156649000,29955000,26370000,301715000,69783000,34061000,271954000,158455000,105874000,717000,6908000,375798000,677513000,140311000,71403000,3067000,65841000,6032000,147403000,80188000,53782000,4650000,34327000,14805000,133970000,281373000,292427000,-20958000,157629000,-32958000,396140000,396140000,677513000,-14371000,3376000,12569000,15457000,17031000,-7297000,-7333000,-7333000,-7302000,-10501000,-11139000,-1410000,-1410000,-1198000,-2608000,3788000,86220000,14894000,0.29109,0.00241999999999999,-0.08459,-0.03628,-0.02121,-1.03639,2.04687,0.71029,0.12726,-0.59555,-0.59714,7.04089,16.41658,0.61723,6,-0.0268,0.02778,20.45855,188.09951
"21","2015_Q2",8.82587301587302,"Up",164383000,-116340000,48043000,-48808000,-40729000,-13038000,-27691000,-8079000,-765000,327000,-1567000,1618000,276000,-438000,-438000,-276000,-714000,-714000,-714000,-714000,7055000,7055000,94294000,94294000,154903000,28282000,24857000,284534000,71865000,34004000,268522000,156381000,104898000,717000,6526000,374391000,658925000,122112000,60165000,3054000,58893000,10457000,133375000,79804000,53265000,4373000,34260000,14632000,133069000,266444000,292895000,-20958000,156915000,-36371000,392481000,392481000,658925000,-714000,3497000,-998000,-1297000,488000,-4392000,-4455000,-4455000,-5391000,3135000,3360000,-1543000,-1543000,150000,-1393000,2732000,90261000,-2681000,0.29226,-0.00465,-0.00434,-0.00182,-0.00108,3.7549,2.13334,0.67887,0.13698,-0.02956,-0.02956,6.80566,16.2492,-0.111,5,-0.00133,-0.005,30.45608,-108.76601
"22","2015_Q3",7.8921875,"Down",154174000,-109199000,44975000,-45635000,-36983000,-10680000,-26303000,-8652000,-660000,22999.9999999999,-1625000,1457000,191000,-637000,-6847000,2453000,-4394000.00000001,-4394000,-4394000,-4394000,8450000,8450000,84708000,84708000,162933000,25208000,21370000,281299000,76344000,35170000,267146000,149282000,105898000,675000,11291000,378660000,659959000,121499000,57045000,3558000,60896000,11549000,133535000,86494000,50642000,4254000,31359000,15029000,137136000,270671000,293361000,-20958000,152521000,-35636000,389288000,389288000,659959000,-4394000,3558000,2300000,931000,2395000,-5932000,-6069000,-6069000,-8624000,7487000,7366000,1137000,1137000,258000,1395000,2898000,98043000,-4556000,0.29172,-0.00428,-0.0285,-0.01129,-0.00666,1.03687,2.10656,0.6953,0.14856,-0.18162,-0.18162,6.37251,16.09053,-0.18831,3,-0.00817,-0.00847,30.91546,-135.74697
"23","2015_Q4",5.850625,"Down",192506000,-136663000,55843000,-51459000,-4.2e+07,-12464000,-29536000,-9459000,4384000,791000,-1772000,1927000,636000,5175000,9054000,-2968000,6086000,6086000,7777000,7777000,12435000,12435000,105139000,105139000,153663000,21549000,18248000,292786000,78458000,32881000,298827000,189069000,102967000,673000,6118000,410166000,702952000,143765000,71739000,4006000,68020000,85179000,229504000,18752000,55583000,4404000,35339000,15840000,74335000,303839000,293390000,-21185000,160298000,-43501000,389002000,399113000,702952000,6086000,4301000,-3632000,12839000,19594000,-5834000,-6101000,-6101000,-21572000,6707000,6480000,4502000,4502000,-517000,3985000,8685000,103931000,18658000,0.29008,0.02277,0.0404,0.01949,0.01106,2.39913,1.27573,0.76129,0.14785,0.32158,0.3211,7.96013,16.08524,0.77151,5,0.01392,0.0334,10.53495,20.87044
"24","2016_Q1",4.37081967213115,"Down",19143000,-24468000,-5324999.99999999,-4831000,-8098000,-7394000,-704000.000000004,3267000,-10156000,-1925000,-2934000,1536000,-527000,-12081000,-14941000,3142000,-11799000,-7041000,-5351000,-5351000,11767000,11767000,89574000,89574000,144028000,18682000,17256000,264051000,79422000,32155000,291562000,185022000,104349000,23000,2168000,403139000,667190000,123058000,55790000,4081000,63187000,8826000,131884000,89550000,49862000,4011000,30374000,15477000,139412000,271296000,294038000,-21176000,154947000,-40439000,387370000,395894000,667190000,-7041000,4482000,1129000,6474000,5044000,-3e+06,-3011000,-3011000,-3e+06,-3386000,-3511000,-1467000,-1467000,799000,-668000,-5674000,98376000,-5342000,-0.27817,-0.53053,-0.27953,-0.01352,-0.00802,0.99832,2.00215,0.68527,0.14745,-0.22149,-0.22181,0.79236,16.0338,-0.22111,3,-0.00983,-0.00982,-15.26419,-8.52787
"25","2016_Q2",3.71609375,"Down",155456000,-109355000,46101000,-53214000,-39735000,-12664000,-27071000,-13479000,-7113000,-399000,-1695000,1808000,-512000,-7512000,-7512000,1392000,-6120000,-6120000,-4308000,-4308000,8558000,8558000,80788000,80788000,150638000,18042000,16437000,258026000,79932000,32275000,291969000,184020000,105729000,23000,2197000,404176000,662202000,115731000,57848000,1807000,56076000,10989000,126720000,93224000,48406000,4034000,28839000,15533000,141630000,268350000,294373000,-21176000,150639000,-36797000,387039000,393852000,662202000,-6120000,4549000,-1088000,-3885000,-6544000,-2292000,-2297000,-2297000,-2292000,4903000,4903000,-3933000,-3933000,724000,-3209000,-2564000,104213000,-10133000,0.29655,-0.04576,-0.02771,-0.01094,-0.00651,2.35214,2.03619,0.68135,0.15737,-0.17831,-0.17831,6.43435,16.01961,-0.41941,1,-0.00788,-0.01854,-37.30694,-13.44791
"26","2016_Q3",2.8921875,"Down",76769000,-58454000,18315000,-20895000,-19719000,-8642000,-11077000,-1176000,-2580000,202000,-1598000,1545000,255000,-2378000,-2378000,5548000,3170000,1304000,3020000,3020000,4851000,4851000,82892000,82892000,160833000,22494000,17993000,271070000,80054000,32272000,289578000,181858000,105591000,23000,2106000,401904000,672974000,124327000,71268000,1742000,51317000,10840000,135167000,94114000,48784000,4237000,28819000,15728000,142898000,278065000,294721000,-21176000,153659000,-37495000,389709000,394909000,672974000,1304000,4555000,1992000,-8324000,-472999.999999998,-2797000,-2801000,-2801000,-2797000,-319000,-319000.000000002,-3589000,-3589000,-118000,-3707000,1975000,104954000,-14694000,0.23857,-0.03361,0.03934,0.00765,0.00449,-4.86556,2.00545,0.70412,0.15596,0.125,0.12402,3.17748,16.13012,-0.60819,2,0.0055,-0.02678,50.68506,-38.79961
"27","2016_Q4",4.36333333333333,"Up",157411000,-113763000,43648000,-38416000,-31180000,-11081000,-20099000,-7236000,5232000,151000,-1901000,1931000,121000,5383000,5383000,-3756000,1627000,3910000,5800000,5800000,5672000,5672000,113322000,113322000,158636000,21046000,19681000,298676000,79664000,32760000,283406000,178300000,103265000,23000,1818000,395830000,694506000,133845000,71778000,38999.9999999998,62028000,11820000,145665000,105971000,49414000,4276000,30107000,15031000,155385000,301050000,295087000,-21176000,159459000,-43327000,390043000,393456000,694506000,3910000,4533000,2743000,-19301000,-8115000,-3518000,-3524000,-3524000,-3518000,12650000,12650000,1017000,1017000,-196000,821000,9765000,117791000,-9298000,0.27729,0.03324,0.03685,0.01474,0.00835,-1.6031,2.05043,0.76514,0.1696,0.24006,0.23966,6.51527,16.14395,-0.38485,3,0.01034,-0.01658,11.48172,21.42947
