"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_receivables","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",34.7162903225806,"Down",637424000,-252450000,384974000,-215583000,-26867000,-187229000,-1487000,169391000,-75316000,-73350000,-1966000,94075000,-3723000,90352000,8886000,116312000,111821000,61000,111882000,111882000,58530000,58530000,76908000,76908000,135438000,16919677000,19366852000,-2447175000,215775000,215775000,1170009000,90992000,1079017000,18305461000,18440899000,1105369000,1049043000,56326000,1105369000,7494774000,265116000,265116000,7759890000,8865259000,10014926000,73896000,9941030000,-680888000,23626000,9357664000,217976000,9575640000,18440899000,111821000,196622000,-42088000,5443000,-47531000,-17844000,-17844000,248511000,-237226000,66298000,66298000,-255508000,-255508000,-48016000,-1629000,-238855000,-183283000,179364000,0,0,-50000,-3969000,5687000,5687000,5727000,366013000,7494774000,102057000,0.60395,0.26574,0.17552,0.01168,0.00607,0.91218,0.12253,0.92581,0.40642,0.3793,0.37619,2.16099,31.72423,0.34599,0.62136,5,0.01703,0.00589,1.63818,20.31688,43.89988
"12","2013_Q1",37.4986666666667,"Up",654141000,-261483000,392658000,-204766000,-23022000,-180175000,-1569000,187892000,-76577000,-74689000,-1888000,111315000,-12918000,98397000,3555000,102201000,86126000,141000,86267000,86267000,67908000,67908000,105913000,105913000,173821000,17111532000,19745607000,-2634075000,635002000,635002000,1059645000,95409000,964236000,18806179000,1.898e+10,1042721000,995156000,47565000,1042721000,8413646000,259715000,259715000,8673361000,9716082000,9994866000,73904000,9920962000,-777927000,23354000,9019128000,244790000,9263918000,1.898e+10,86126000,201748000,-23999000,4255000,-28254000,19622000,19622000,283497000,-275296000,73900000,73900000,-298153000,-298153000,-51043000,-717987000,-955783000,-183306000,888017000,0,0,-23049000,681662000,9376000,9376000,9378000,389640000,8413646000,130411000,0.60027,0.28723,0.13188,0.00931,0.00455,1.51171,0.1667,1.04881,0.44329,0.2927,0.29032,2.2195,30.60184,0.44248,0.62196,4,0.01503,0.00726999999999999,2.12487,21.4191,44.41774
"13","2013_Q2",41.6828125,"Up",682909000,-267201000,415708000,-205881000,-28774000,-175468000,-1639000,209827000,-83221000,-78634000,-4587000,126606000,-4262000,122344000,-1744000,121529000,113098000,-905000,112193000,112193000,57690000,57690000,99225000,99225000,156915000,16995737000,19798805000,-2803068000,490107000,490107000,1064162000,94257000,969905000,18550006000,18706921000,968778000,910692000,58086000,968778000,8295908000,261122000,261122000,8557030000,9525808000,9978663000,73969000,9904694000,-861434000,21828000,8915348000,265765000,9181113000,18706921000,113098000,186943000,-7939000,5662000,-13601000,-61797000,-61797000,230305000,-86308000,11250000,11250000,-56175000,-56175000,-41383000,145781000,59473000,-195700000,-94838000,5050000.00000001,5050000.00000001,-14459000,-299947000,-10169000,-10169000,-10218000,396770000,8295908000,250409000,0.60873,0.30725,0.16429,0.01222,0.006,2.23195,0.16197,1.03754,0.44347,0.38494,0.38171,2.3431,30.58911,0.85917,0.67146,5,0.01736,0.01412,1.74432,20.76321,39.26195
"14","2013_Q3",36.328125,"Down",684109000,-269488000,414621000,-200518000,-27324000,-171527000,-1667000,214103000,-86622000,-82237000,-4385000,127481000,-5947000,121534000,12064000,133092000,114533000,46999.9999999999,114580000,114580000,62421000,62421000,94492000,94492000,156913000,17135848000,20113002000,-2977154000,470441000,470441000,1033380000,93155000,940225000,18639669000,18796582000,938174000,887314000,50860000,938174000,8420073000,247591000,247591000,8667664000,9605838000,10070343000,74248000,9996095000,-943384000,19752000,8925582000,265162000,9190744000,18796582000,114533000,193989000,-23889000,5138000,-29027000,-7250000.00000001,-7250000.00000001,277383000,-253767000,13040000,13040000,-227447000,-227447000,-39360000,45211000,-203063000,-196530000,46849000,77334000,77334000,2798000,-69548999.9999999,4771000,4771000,4731000,408092000,8420073000,135011000,0.60607,0.31297,0.16749,0.01247,0.0061,1.17831,0.16725,1.04516,0.44796,0.39154,0.38809,2.33769,30.4999,0.46135,0.67157,5,0.01742,0.00756,1.71522,20.47982,39.03566
"15","2013_Q4",34.3871875,"Down",711249000,-284882000,426367000,-207348000,-28659000,-177038000,-1651000,219019000,-88117000,-83764000,-4353000,130902000,-6019000,124883000,2780000,127773000,118599000,-303000,118296000,118296000,54672000,54672000,98200000,98200000,152872000,18174943000,21331149000,-3156206000,400889000,400889000,1150654000,91531000,1059123000,19726486000,19879358000,1081342000,1019166000,62176000,1081342000,9413318000,248369000,248369000,9661687000,10743029000,10106630000,74345000,10032285000,-1021628000,21293000,8885092000,251237000,9136329000,19879358000,118599000,188393000,-14120000,4210000,-18330000,34869000,34869000,327741000,-1114841000,4901000,4901000,-1075144000,-1075144000,-44598000,80330000,-1034511000,-196540000,881715000,23618000,23618000,-9802000,698991000,-7779000,-7779000,-7749000,407412000,9413318000,-675340000,0.59946,0.30794,0.16632,0.01295,0.00595,-5.7089,0.14137,1.17586,0.47352,0.40398,0.40074,2.42891,30.34257,-2.30628,0.67118,6,0.01675,-0.03593,1.66143,22.97096,42.72984
"16","2014_Q1",34.9180327868852,"Up",438350000,-288354000,149996000,-139559000,-30326000,-105875000,-3358000,10437000,-8413000.00000001,-4374000,-4039000,2024000,-6607000,-4583000.00000001,-1272000,-6896000,108439000,1000.00000000006,108440000,108440000,94816000,94816000,84657000,84657000,179473000,18075586000,21403592000,-3328006000,376229000,376229000,1100206000,91656000,1008550000,19552021000,19731494000,1055864000,1001515000,54349000,1055864000,9364992000,250167000,250167000,9615159000,10671023000,10153080000,74488000,10078592000,-1126541000,19659000,8824281000,236190000,9060471000,19731494000,108439000,200556000,-7652000,5643000,-13295000,57983000,57983000,359326000,-123850000,6400000,6400000,-78236000,-78236000,-52014000,19191000,-104659000,-213353000,-22701000.0000001,35341000,35341000,-13786000,-214499000,40168000,40168000,40144000,210993000,9364992000,146398000,0.34218,0.02381,0.24738,0.01197,0.0055,1.35004,0.16998,1.17776,0.47462,0.36923,0.36626,1.49255,30.04604,0.49847,0.72645,6,0.01723,0.00784,1.96748,43.93594,888.20312
"17","2014_Q2",37.7284126984127,"Up",741470000,-287640000,453830000,-229831000,-32866000,-193594000,-3371000,223999000,-93070000,-87841000,-5229000,130929000,-10501000,120428000,-3433000,117243000,121274000,-227000,121047000,121047000,59791000,59791000,76110000,76110000,135901000,18096467000,21612335000,-3515868000,376074000,376074000,1094326000,90929000,1003397000,19566867000,19702768000,999181000,938098000,61083000,999181000,9481051000,252499000,252499000,9733550000,10732731000,9932332000,73599000,9858733000,-1218967000,18464000,8731667000,238370000,8970037000,19702768000,121274000,193876000,-5653000,6044000,-11697000,-25076000,-25076000,284421000,-195798000,26150000,26150000,-181866000,-181866000,-40082000,2448000,-218350000,-213473000,113981000,39647877.6486305,39647877.6486305,-2165000,-101657000,-35586000,-35586000,-35025000,417875000,9481051000,200434000,0.61207,0.3021,0.16325,0.01349,0.00614,1.65584,0.13601,1.19651,0.4812,0.4119,0.4086,2.52308,29.71218,0.68204,0.72641,6,0.01789,0.01072,1.76355,22.54564,42.05938
"18","2014_Q3",37.47625,"Down",751254000,-288759000,462495000,-223750000,-31306000,-190818000,-1626000,238745000,-96364000,-91501000,-4863000,142381000,-12523000,129858000,-3274000,126932000,138566000,-168000,138398000,138398000,86635000,86635000,75514000,75514000,162149000,17886270000,21543811000,-3657541000,414051000,414051000,1328316000,89423000,1238893000,19628637000,19790786000,1032004000,975282000,56722000,1032004000,9602439000,256392000,256392000,9858831000,10890835000,9922903000,73602000,9849301000,-1294048000,26255000,8655110000,244841000,8899951000,19790786000,138566000,192064000,-12146000,5367000,-17513000,-7202999.99999999,-7203000,311281000,-103327000,26200000,26200000,-89660000,-89660000,-39867000,-42067000,-167083000,-213479000,110003000,-1.49011611938477e-08,-1.49011611938477e-08,-12925000,-116401000,27797000,27797000,26844000,430809000,9602439000,323553000,0.61563,0.3178,0.18422,0.01555,0.00699,2.33784,0.15712,1.2237,0.4852,0.47076,0.46677,2.55539,29.44035,1.10057,0.72615,6,0.01876,0.01725,1.5425,22.08822,39.8576100000001
"19","2014_Q4",40.91953125,"Up",551999000,-306615000,245384000,-156783000,-29460000,-122755000,-4568000,88601000,-42753000,-34775000,-7978000,45848000,-17999000,27849000,1887000,29689000,109564000,-432000,109132000,109132000,64595000,64595000,78746000,78746000,143341000,18925811000,22759785000,-3833974000,407551000,407551000,1174462000,88175000,1086287000,20507824000,20651165000,1034352000,965240000,69112000,1034352000,10469106000,361454000,361454000,10830560000,11864912000,9933093000,73603000,9859490000,-1398378000,16156000,8548796000,237457000,8786253000,20651165000,109564000,201236000,-5733000,5381000,-11114000,19203000,19203000,324270000,-899775000,60396000,60396000,-912510000,-912510000,-47661000,27349000,-850737000,-213462000,724922000,0,0,-11381000,500079000,-26388000,-26388000,-22040000,289837000,10469106000,-592622000,0.44454,0.16051,0.1977,0.01242,0.00528,-5.43032,0.13858,1.35039,0.50695,0.37116,0.36807,1.87736,29.07457,-2.01552,0.72599,3,0.01644,-0.03021,1.956,35.8978,117.43108
"20","2015_Q1",45.2773770491803,"Up",732090000,-312374000,419716000,-253682000,-28106000,-218049000,-7527000,166034000,-85621000,-77948000,-7673000,80413000,-7845000,72568000,13552000,85432000,107597000,-407000,107190000,107190000,55348000,55348000,2627093000,71771000,2682441000,16772990000,20196770000,-3423780000,802881000,802881000,907601000,91872000,451758000,18483472000,21165913000,812839000,750657000,62182000,1050812000,10844351000,344337000,344337000,11188688000,12239500000,10193962000,74656000,10119306000,-1526388000,13121000,8680184000,246229000,8926413000,21165913000,107597000,241291000,-21786000,4202000,-25988000,7771000,7771000,334873000,-345582000,5500000,5500000,-284250000,-284250000,-66832000,-423288000,-818870000,-235200000,447609000,242107000,242107000,21520000,476036000,-7961000,-7961000,-9247000,407325000,10844351000,55961999.9999999,0.57331,0.22679,0.14642,0.01201,0.00506,0.522079999999999,2.55273,1.37116,0.51235,0.36359,0.36035,2.48329,29.44362,0.189830000000001,0.79781,6,0.01702,0.00278,2.19423,26.48746,64.98068
"21","2015_Q2",41.4655555555556,"Down",805598000,-340799000,464799000,-257463000,-34326000,-216219000,-6918000,207336000,-87202000,-82328000,-4874000,120134000,-30634000,89500000,7250000,96499000,120759000,-317000,120442000,120442000,120225000,120225000,223772000,223772000,343997000,21418659000,25620993000,-4202334000,773773000,773773000,1903442000,95147000,1808295000,24095874000,24439871000,1093951000,1016592000,77359000,1093951000,11603925000,371785000,371785000,11975710000,13069661000,12698774000,82718000,12616056000,-1660856000,4357000,11039890000,330320000,11370210000,24439871000,120759000,247453000,-20850000,6307000,-27157000,-3193000,-3193000,344169000,-960836000,166341000,166341000,-1072539000,-1072539000,-54638000,52306000,-908530000,-254910000,615289000,285327000,285327000,-16161000,629545000,65184000,65184000,64877000,454789000,11603925000,-516490000,0.57696,0.25737,0.14951,0.01059,0.00493,-4.28829,0.31445,1.14947,0.47479,0.37007,0.36586,2.47531,33.92151,-1.58698,0.78324,5,0.01608,-0.02212,2.11645,25.25061,55.38691
"22","2015_Q3",39.6490625,"Down",811920000,-342662000,469258000,-254434000,-33959000,-214711000,-5764000,214824000,-88238000,-83959000,-4279000,126586000,-11810000,114776000,9789000,124574000,150286000,-465000,149821000,149821000,60532000,60532000,193960000,193960000,254492000,21365096000,25793348000,-4428252000,789408000,789408000,1866166000,85461000,1780705000,24020670000,24275162000,1103990000,1026359000,77631000,1103990000,11507861000,370161000,370161000,11878022000,12982012000,12791880000,82982000,12708898000,-1772529000,10180000,11027483000,265667000,11293150000,24275162000,150286000,249207000,-18025000,4885000,-22910000,-7913000,-7913000,373555000,-125942000,106850000,106850000,-181371000,-181371000,-51421000,-19500000,-88217000.0000001,-261494000,-107094000,66840000,66840000,-43687000,-345435000,-60097000,-60097000,-59693000,464031000,11507861000,320387000,0.57796,0.26459,0.18453,0.01327,0.00617,2.13847,0.23052,1.14955,0.47406,0.45302,0.44853,2.45504,33.34437,0.96877,0.79069,5,0.01775,0.01383,1.74538,24.66932,53.28701
"23","2015_Q4",38.60546875,"Down",827606000,-347845000,479761000,-264862000,-32114000,-226332000,-6416000,214899000,-101930000,-97135000,-4795000,112969000,-77476000,35493000,10697000,45235000,23117000,-265000,22852000,22852000,65231000,65231000,243422000,74491000,308653000,19771586000,23738533000,-3966947000,766707000,766707000,1567031000,96208000,418502000,22105324000,22413977000,858788000,791430000,67358000,924253000,11268560000,352658000,352658000,11621218000,12545471000,11606550000,83238000,11523312000,-1992848000,-592000,9609435000,259071000,9868506000,22413977000,23117000,240210000,2311000,4869000,-2558000,38683000,38683000,304321000,-1226847000,136442000,136442000,-1303078000,-1303078000,-60211000,-24264000,-1257818000,-243171000,1283390000,65651000,65651000,-147338000,958532000,5035000,5035000,4699000,455109000,11268560000,-743752000,0.5797,0.25966,0.02761,0.00232,0.00102,-32.54647,0.33395,1.27126,0.50275,0.06873,0.06794,2.48911,28.90134,-2.23691,0.73136,7,0.01238,-0.03461,10.64113,24.6168,52.133
"24","2016_Q1",40.5468852459016,"Up",841274000,-352334000,488940000,-271898000,-27636000,-236795000,-7467000,217042000,-107701000,-103692000,-4009000,109341000,2565000,111906000,11548000,123231000,125060000,-332000,124728000,124728000,53023000,53023000,170956000,77896000,223979000,19625220000,23802454000,-4177234000,857112000,857112000,1555607000,95707000,412403000,22037939000,22261918000,860244000,779380000,80864000,894584000,11206996000,338382000,338382000,11545378000,12439962000,11686417000,83579000,11602838000,-2111958000,-7565000,9564327000,257629000,9821956000,22261918000,125060000,236793000,-17557000,3476000,-21033000,32490000,32490000,376786000,-71916000,82775000,82775000,-93800000.0000002,-93800000.0000002,-60891000,-66507000,-169127000,-243838000,-37891000,73205000,73205000,-11060000,-219584000,-11925000,-11925000,-12208000,453835000,11206996000,402861000,0.58119,0.25799,0.14826,0.0127,0.0056,3.22992000000001,0.25037,1.26655,0.50342,0.37503,0.37071,2.52951,28.75763,1.21131,0.73316,7,0.01725,0.01885,1.95496,24.57715,51.39085
