"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",21.0390322580645,"Down",310983000,-92854000,218129000,-182920000,-124557000,-94706000,-29851000,-53260000,-5103000,35209000,-304000,-304000,34905000,30779000,-7884000,22895000,22895000,22895000,22895000,238047000,238047000,203261000,203261000,166663000,30065000,607971000,61849000,941641000,192959000,606782000,112338000,29562000,1003490000,1611461000,170576000,5505000,147293000,311719000,311040000,482295000,1.4e+08,126163000,12756000,23987000,89420000,266163000,748458000,1805133000,-870149000,-71981000,863003000,863003000,1611461000,22895000,16867000,13427000,10821000,64010000,-5882000,-5882000,-5882000,-5882000,-2e+07,-18778000,1192000,-1428000,-40206000,17922000,17922000,-3982000,13940000,52076000,1.4e+08,64899000,0.70142,0.11322,0.07362,0.02653,0.01421,2.83464,1.26058,0.86727,0.08688,0.19233,0.18965,2.61242,7.24969,0.54519,7,0.02028,0.05748,-1.88277,-2.78471
"12","2013_Q1",23.9976666666667,"Up",325295000,-87839000,237456000,-179851000,-122861000,-94350000,-28511000,-52131000,-4859000,57605000,-1446000,9162000,56159000,56159000,-140144000,-83985000,-83985000,-83985000,-83985000,489543000,489543000,217370000,217370000,172239000,28341000,879152000,63466000,849016000,185885000,610347000,20660000,32124000,912482000,1791634000,158533000,803999.999999999,157729000,315711000,315309000,481744000,362500000,150131000,12220000,31854000,106057000,512631000,994375000,1823894000,-954134000,-72501000,797259000,797259000,1791634000,-83985000,16319000,115778000,-27181000,20931000,-8907000,-8907000,-8907000,-7957000.00000001,2.3e+08,5895000,5895000,-1154000,234741000,247715000,247715000,3781000,251496000,73924000,3.7e+08,177980000,0.72997,0.17709,-0.25818,-0.10534,-0.04688,-2.11919,1.82494,1.24724,0.20652,-0.70535,-0.74902,2.73201,6.69583,1.49478,5,-0.06375,0.1351,-1.61711,-2.07522
"13","2013_Q2",24.00671875,"Up",319751000,-97072000,222679000,-193418000,-129366000,-93549000,-35817000,-57429000,-6623000,29261000,-1805000,-1805000,27456000,12054000,23757000,35811000,35811000,35811000,35811000,248392000,248392000,221687000,221687000,163419000,33727000,633498000,66109000,1103039000,292925000,755075000,20671000,34368000,1169148000,1802646000,153543000,7156000,146387000,294152000,293615000,453320000,362500000,160868000,9492000,46736000,104640000,523368000,976688000,1811285000,-918322000,-67005000,825958000,825958000,1802646000,35811000,19477000,11893000,-53545000,13636000,-7393000,-7393000,-7393000,-229816000,-1875000.00000003,-15147000,645000,-9320000,-26342000,-242522000,-242522000,1371000,-241151000,48738000,368125000,-35957000,0.69641,0.09151,0.112,0.04336,0.01987,-1.00408,1.39746,1.18249,0.20421,0.29861,0.294,2.66621,6.88717,-0.29982,5,0.02643,-0.02654,2.45667,4.0919
"14","2013_Q3",27.203125,"Up",313949000,-93270000,220679000,-183625000,-121457000,-88059000,-33398000,-55528000,-6640000,37054000,-1867000,-1867000,35187000,19377000,-2340000,17037000,17037000,17037000,17037000,240809000,240809000,213252000,213252000,191177000,44129000,645238000,62731000,1076850000,278748000,748251000,17654000,32197000,1139581000,1784819000,150321000,5203000,145118000,341248000,340681000,499069000,300625000,157326000,9660000,45326000,102340000,457951000,957020000,1802745000,-901286000,-73660000,827799000,827799000,1784819000,17037000,19387000,11809000,34563000,82796000,-5033000,-5033000,-5033000,-5032999.99999997,-6e+07,-16926000,2229000,-3432000,-80358000,-2595000,-2595000,-4988000,-7583000,56441000,308125000,88311000,0.70291,0.11803,0.0542699999999999,0.02058,0.00955,5.18348,1.29288,1.1561,0.17264,0.14255,0.14072,2.62681,6.9262,0.7389,7,0.01317,0.06829,1.19268,1.8167
"15","2013_Q4",30.71953125,"Up",314996000,-91168000,223828000,-177476000,-117110000,-88298000,-28812000,-53834000,-6532000,46352000,3181000,3181000,49533000,46396000,-11941000,34455000,34455000,34455000,34455000,257031000,257031000,200883000,200883000,182034000,46302000,639948000,61482000,1055347000,266997000,746584000,5208000,36558000,1116829000,1756777000,163620000,4700000,158920000,321033000,320376000,494028000,258750000,153294000,8214000,42644000,102436000,412044000,906072000,1792371000,-866830000,-74836000,850705000,850705000,1756777000,34455000,18568000,11214000,20353000,84590000,-6702000,-6702000,-6702000,-5096000,-4e+07,-19427000,538000,-2051000,-61478000,18016000,18016000,-1794000,16222000,64920000,268125000,90512000,0.71057,0.14715,0.10938,0.0405,0.01961,2.62696,1.29537,1.06508,0.15262,0.28847,0.28516,2.63727,7.12245,0.7578,6,0.02708,0.07115,0.17089,0.23934
"16","2014_Q1",36.752131147541,"Up",344845000,-91529000,253316000,-186462000,-124644000,-90734000,-33910000,-55127000,-6691000,66854000,-599000,8404000,66255000,48407000,8059000,56466000,56466000,56466000,56466000,241913000,241913000,229106000,229106000,209197000,45674000,680216000,64652000,1084038000,273121000,769095000,7696000,34126000,1148690000,1828906000,185813000,7074000,162534000,327800000,326947000,528613000,243125000,130688000,9966000,42088000,78634000,373813000,902426000,1788005000,-810365000,-51160000,926480000,926480000,1828906000,56466000,19119000,-25838000,-6086000,43661000,-10200000,-10200000,-10200000,-34505000,-1e+07,-18487000,1472000,140999.999999999,-28346000,-19190000,-19190000,4072000,-15118000,85973000,258125000,61628000,0.73458,0.19387,0.16374,0.06095,0.03087,1.09142,1.28679,0.97404,0.14114,0.47447,0.46567,2.89766,7.78502,0.51785,6,0.04293,0.04685,0.18857,0.2425
"17","2014_Q2",36.0280952380952,"Down",324925000,-92956000,231969000,-176031000,-115169000,-84238000,-30931000,-53073000,-7789000,55938000,-1753000,-1753000,54185000,53118000,-13461000,39657000,39657000,39657000,39657000,371377000,371377000,212570000,212570000,185153000,148470000,769100000,63152000,1072490000,260264000,769158000,7911000,35157000,1135642000,1904742000,147323000,11433000,135890000,293614000,293441000,455937000,353125000,127032000,8047000,40387000,78598000,480157000,936094000,1788559000,-770708000,-49203000,968648000,968648000,1904742000,39657000,19100000,6049000,-28564000,36242000,-5774000,-5774000,-5774000,-5774000,1.1e+08,351000,351000,-12561000,97790000,128258000,128258000,1206000,129464000,75038000,368125000,54161000,0.71392,0.17216,0.12205,0.04094,0.02082,1.36574,1.68686,0.96639,0.19327,0.33344,0.32747,2.732,8.14448,0.45539,7,0.02709,0.037,-0.04334,-0.05814
"18","2014_Q3",38.23796875,"Up",328700000,-93797000,234903000,-183690000,-120074000,-85934000,-34140000,-55631000,-7985000,51213000,-2693000,-2693000,48520000,48520000,-4764000,43756000,43756000,43756000,43756000,270470000,270470000,221288000,221288000,211686000,171217000,703444000,60632000,1195050000,279901000,869324000,8159000,37666000,1255682000,1959126000,153523000,12094000,141429000,359792000,358182000,525815000,305625000,145265000,7400000,43974000,93891000,450890000,976705000,1760541000,-726952000,-51168000,982421000,982421000,1959126000,43756000,19173000,11815000,35978000,110722000,-4568000,-4568000,-4568000,-116087000,-5e+07,-39600000,365000,-5104000,-94704000,-100069000,-100069000,-838000.000000001,-100907000,70386000,318125000,106560000,0.71464,0.1558,0.13312,0.04454,0.02233,2.43532,1.33782,0.99418,0.16238,0.36766,0.36242,2.76188,8.25474,0.89536,8,0.03026,0.0737,0.67705,0.93053
"19","2014_Q4",37.02015625,"Down",336634000,-91076000,245558000,-190660000,-125257000,-91440000,-33817000,-57405000,-7998000,54898000,-2278000,-2278000,52620000,52106000,-14080000,38026000,38026000,38026000,38026000,304173000,304173000,228623000,228623000,178433000,139464000,711229000,63582000,1183395000,268018000,870766000,7086000,37525000,1246977000,1958206000,168048000,14232000,153816000,364678000,362865000,548351000,299375000,138011000,9025000,41886000,87100000,437386000,985737000,1709580000,-688926000,-48185000,972469000,972469000,1958206000,38026000,19026000,10271000,39100000,106423000,-6379000,-6379000,-6379000,-6379000,-3125000,-59865000,85000,-3628000,-66618000,33426000,33426000,277000,33703000,73924000,3.15e+08,120725000,0.72945,0.16308,0.11296,0.0391,0.01942,3.1748,1.29703,1.01364,0.16086,0.3214,0.31718,2.84528,8.21946,1.02039,6,0.02668,0.08469,0.14646,0.19722
"20","2015_Q1",34.523606557377,"Down",366708000,-95854000,270854000,-207921000,-139179000,-105842000,-33337000,-60387000,-8355000,62933000,-3740000,8884000,59193000,32368000,6387000,38755000,38755000,38755000,38755000,293654000,293654000,235688000,235688000,202825000,37667000,732167000,67783000,1400004000,336873000,1012527000,8958000,41646000,1467787000,2199954000,231542000,9329000,202411000,370125000,369271000,626667000,586875000,132523000,13273000,36601000,82649000,719398000,1346065000,1598427000,-650171000,-94367000,853889000,853889000,2199954000,38755000,20008000,-8380000,782000,51165000,-8554000,-8554000,-8554000,-220560000,296875000,-124924000,76000,-3066000,168885000,-509999.99999997,-509999.99999997,-10009000,-10519000,82941000,611875000,68782000,0.73861,0.17162,0.10568,0.04539,0.01762,1.77479,1.16835,1.57639,0.27813,0.33376,0.32783,3.15809,7.35369,0.59235,5,0.02425,0.04303,3.83672,5.0565
"21","2015_Q2",39.5338095238095,"Up",325442000,-92942000,232500000,-195124000,-124614000,-89484000,-35130000,-61097000,-9413000,37376000,-3224000,-3224000,34152000,34407000,-4123000,30284000,30284000,30284000,30284000,261052000,261052000,201391000,201391000,233622000,203549000,696065000,65766000,1375392000,319021000,1000992000,14327000,41052000,1441158000,2137223000,171261000,8340000,149059000,386471000,385963000,588982000,574375000,118413000,11657000,36242000,70514000,692788000,1281770000,1588166000,-619887000,-112826000,855453000,855453000,2137223000,30284000,21237000,10908000,-48797000,13632000,-7947000,-7947000,-7947000,-8767000,-6250000.00000006,3000,3000,-21506000,-27753000,-22888000,-22888000,-9714000,-32602000,58613000,605625000,5992000,0.71441,0.11485,0.09305,0.0354,0.01417,0.19786,1.18181,1.49835,0.28337,0.26256,0.25878,2.82156,7.41673,0.05195,4,0.01917,0.00379,5.87878,9.2191
"22","2015_Q3",35.7796875,"Down",314119000,-86054000,228065000,-185590000,-116259000,-83865000,-32394000,-60158000,-9173000,42475000,-3601000,-3601000,38874000,387000.000000007,5005000,5392000,5392000,5392000,5392000,267815000,267815000,201379000,201379000,237058000,203726000,706252000,65191000,1337187000,301443000,984953000,20639000,30152000,1402378000,2108630000,219189000,14316000,190994000,404047000,403864000,660736000,493125000,100549000,16963000,30880000,52706000,593674000,1254410000,1600796000,-614495000,-132081000,854220000,854220000,2108630000,5392000,20968000,12992000,52640000,91992000,-6160000,-6160000,-6160000,-6160000,-7.5e+07,3000.0000000149,3000,-195000,-75192000,10640000,10640000,-3877000,6763000,63443000,530625000,104918000,0.72605,0.13522,0.01717,0.00631,0.00256,19.45809,1.06889,1.46849,0.25164,0.04691,0.04651,2.73259,7.43104,0.9127,5,0.00363,0.07063,4.14246,6.1874
"23","2015_Q4",35.02484375,"Down",303113000,-79376000,223737000,-197737000,-134554000,-88353000,-46201000,-54078000,-9105000,2.6e+07,-3667000,-3667000,22333000,17940000,-505000,17435000,17435000,17435000,17435000,275060000,275060000,183144000,183144000,177001000,148732000,635205000,65020000,1446376000,305527000,1071796000,27938000,41115000,1511396000,2146601000,222482000,6839000,201082000,371961000,371859000,638193000,580625000,97460000,17280000,30610000,49570000,678085000,1316278000,1557450000,-597060000,-130067000,830323000,830323000,2146601000,17435000,21250000,14253000,33901000,86839000,-6530000,-6530000,-6530000,-115121000,93750000,-49930000,32000,-7487000,36333000,8051000,8051000,-806000,7245000,47250000,624375000,75126000,0.73813,0.08578,0.05752,0.021,0.00812,4.30892,0.99532,1.58526,0.29087,0.15191,0.15026,2.64107,7.23473,0.65458,5,0.01123,0.0484,7.39291,13.43519
"24","2016_Q1",30.8719672131148,"Down",312568000,-76362000,236206000,-190700000,-130082000,-85092000,-44990000,-52180000,-8438000,45506000,-4599000,12849000,40907000,-26209000,20655000,-5554000,-5554000,-5554000,-5554000,273417000,273417000,197275000,197275000,233987000,56365000,704679000,65162000,1440072000,291301000,1069041000,38936000,40794000,1505234000,2209913000,197398000,4010000,180027000,369862000,368240000,617260000,618125000,114357000,18610000,42361000,53386000,732482000,1349742000,1554527000,-602614000,-91742000,860171000,860171000,2209913000,-5554000,20978000,29133000,-57117000,-12560000,-9991000,-9991000,-9991000,-9990999.99999997,43750000,-14975000,3000,-4318000,24457000,1906000,1906000,-3549000,-1643000,66484000,668125000,-21279000,0.75569,0.14559,-0.01777,-0.00646,-0.00251,3.83129,1.14162,1.56916,0.30233,-0.0487,-0.04827,2.74093,7.54291,-0.1866,2,-0.00338,-0.01295,5.93689,8.67376
"25","2016_Q2",35.8271875,"Up",291017000,-80147000,210870000,-187015000,-120996000,-82429000,-38567000,-57669000,-8350000,23855000,-6253000,-6253000,17602000,-19545000,-4347000,-23892000,-23892000,-23892000,-23892000,296797000,296797000,161402000,161402000,201389000,56536000,659588000,60878000,1495427000,317670000,1086230000,49631000,41896000,1556305000,2215893000,205619000,4105000,189343000,373768000,373768000,579387000,718125000,82444000,15498000,13704000,53242000,800569000,1379956000,1562940000,-626506000,-100497000,835937000,835937000,2215893000,-23892000,20613000,23178000,41355000,61254000,-4185000,-4185000,-4185000,-68965000,5e+07,1000,1000,-17077000,32924000,25213000,25213000,-1833000,23380000,44468000,718125000,85985000,0.7246,0.08197,-0.0821,-0.02858,-0.01078,-3.5989,1.13842,1.65079,0.32408,-0.2093,-0.2093,2.5494,7.32308,0.75326,4,-0.0146,0.05254,9.47486,17.66204
"26","2016_Q3",41.46984375,"Up",272627000,-80192000,192435000,-186099000,-121093000,-87177000,-33916000,-56610000,-8396000,6336000,-5327000,6020000,1009000,-3570000,-1603000,-5173000,-5173000,-5173000,-5173000,368456000,368456000,146669000,146669000,226265000,63811000,741390000,62867000,1607245000,338644000,1172772000,57089000,38740000,1670112000,2411502000,186905000,8617000,164862000,431901000,431901000,618806000,838125000,100467000,14707000,15018000,70742000,938592000,1557398000,1577138000,-631679000,-91355000,854104000,854104000,2411502000,-5173000,22291000,14995000,16772000,48885000,-4681000,-4681000,-4681000,-104092000,1.2e+08,2.3283064365387e-10,0,-638000,119362000,64155000,64155000,7504000,71659000,28627000,838125000,42321000,0.70585,0.02324,-0.01897,-0.00606,-0.00215,-8.18113,1.1981,1.82343,0.34755,-0.04516,-0.04516,2.37984,7.45571,0.36943,4,-0.00289,0.02361,16.4065,74.12705
"27","2016_Q4",46.7536507936508,"Up",288652000,-82470000,206182000,-195771000,-130359000,-94874000,-35485000,-57118000,-8294000,10411000,-8300000,-136000,2111000,-704000,3777000,3073000,3073000,3073000,3073000,306006000,294626000,151718000,151718000,177562000,56986000,635286000,62909000,1607725000,323382000,1169660000,71467000,43216000,1703860000,2339146000,192898000,7784000,168864000,410996000,410996000,603894000,778125000,94466000,14436000,20342000,59688000,872591000,1476485000,1585825000,-628606000,-94558000,862661000,862661000,2339146000,3073000,21817000,13800000,20767000,59457000,-7766000,-7766000,-7766000,-52371000,-59999999.9999999,18000,18000,-20207000,-80189000,-73103000,-73103000,-727000,-73830000,32228000,778125000,41452000,0.71429,0.03607,0.01065,0.00356,0.00131,13.4891,1.05198,1.71155,0.33265,0.02677,0.02677,2.51463,7.51519,0.36111,5,0.00177,0.02389,14.64934,45.34809
