"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q3",3.84265625,"Up",43750,-3708861,-779970,-2125019,-5390287,-1465060,-1307448,-6855347,-6939682,-6939682,-6940018,-6757936,-6757936,3313483,3313483,426398,426398,3739881,4013094,4666350,4636339,30011,8679444,12419325,2917797,871707,2046090,3147942,3082317,7164026,272179,272179,1494795,8658821,151682662,-146369775,5312887,3760504,12419325,-6306269,1839505,-4466764,-13993,1146188,3756860,3756860,3703363,382787,382451,382451,2320903,-123.20656,-154.46711,-1.79708,-0.54415,0.52204,2.30257,0.18688,-0.41127,-0.41127,0.00266,0.32333,-1.06364,0.18414
"12","2013_Q4",7.995,"Up",43750,-3473839,-899633,-1756527,-5081818,51438.0000000002,210968,-5030380,-6177628,-6177628,-6177628,-6079010,-6079010,33083933,29025930,1327063,1059503,34410996,3793311,3284188,3254177,30011,7077499,41488495,2579082,1061944,1517138,2953445,2881570,6677866,337587,337587,1504661,8182527,187405744,-152448785,34956969,33305968,41488495,-6150593,815583,-5335010,-200137,-4258140,35359497,35359497,35305597,25712447,25712447,25712447,2312413,-116.15584,-138.9488,-0.18252,-0.14652,5.15299,0.24568,0.05574,-0.23261,-0.23261,0.00167,1.3376,-0.16907,6.05522
"13","2014_Q1",17.5647540983607,"Up",43750,-4959860,-891585,-3247415,-6577451,-289948,-29506,-6867399,-13805060,-13805060,-13805060,-13692184,-13692184,28144705,19114444,624014,624014,28843719,3513235,3270524,3240513,30011,8485912,37329631,2744287,1199632,1544655,4787831,4684706,8725020,1758709,1758709,2869822,11594842,193639625,-166140969,27498666,25734789,37329631,-7821090,2427624,-5393466,-105224,-6520894,2057180,2057180,2002874,-9911486,-9911486,-9911486,2304015,-150.34174,-312.96421,-0.53205,-0.36679,3.30586,0.45055,0.06172,-0.34814,-0.34814,0.00111,0.69919,-0.45951,3.92868
"14","2014_Q2",13.1114285714286,"Down",43750,-4971341,-913784,-3133014,-7009382,-103209,35247,-7112591,-10685732,-10685732,-10685732,-10628312,-10628312,75626181,59713424,710442,689954,76411623,3186147,3226850,3226850,-26961.999959022,16280854,92692477,1951903,589348,1362555,5795160,5685785,9018408,1757384,1757384,2763782,11782190,259500814,-176769281,82731584,80910287,92692477,-6563010,-459322,-7022332,-116215,-15145565,62821592,62821592,62766877,40598980,40598980,40598980,2277743,-160.21445,-242.93285,-0.13136,-0.11466,8.47285,0.14562,0.02457,-0.28161,-0.28161,0.00116,2.19204,-0.12512,10.46432
"15","2014_Q3",13.661875,"Up",43750,-8158346,-1347677,-5216446,-11212498,186339,195936,-11026159,-13982699,-13982699,-13982699,-13942519,-13942519,160646335,142847860,1276830,1276830,161923165,3290270,3379600,3213186,166414,40718229,202641394,4157559,2511572,1645987,5062747,4997122,10482540,1755520,1755520,2621297,13103837,382110813,-190711800,191399034,189537557,202641394,-9586845,1889123,-7697722,-491557,-26817497,117799388,117799388,117649655,83134436,83134436,83134436,2128011,-256.28567,-318.68615,-0.07356,-0.0688,15.44694,0.06914,0.0105,-0.31586,-0.31586,0.00099,4.33598,-0.07208,14.13765
"16","2014_Q4",6.80265625,"Down",43750,-10289399,-1604384,-6370279,-12700098,315181,236478,-12384917,-11626449,-11626449,-11626449,-11628917,-11628917,162184141,138349733,1238805,1238805,163422946,3674131,3240937,3199523,41414,33199930,196622876,3837892,2158133,1679759,4149094,4077219,8250096,1752822,1752822,2564991,10815087,388703583,-202340717,186362887,185807789,196622876,-10286454,509941.000000001,-9776513,-644215,936371,4394745,4394745,4342015,-4498127,-4498127,-4498127,1075279,-290.28795,-265.80382,-0.06259,-0.05914,19.80861,0.05821,0.00547,-0.22445,-0.22445,0.00084,3.59696,-0.06165,12.68564
"17","2015_Q1",7.09590163934426,"Up",43750,-12654800,-2028163,-8418311,-17806263,250400,259924,-17555863,-22425232,-22430532,-22430532,-22430442,-22430442,154163642,132510610,637128,637128,154800770,3872753,1054887,1013473,41413.9999999995,28015986,182816756,7247470,2579478,4667992,4335563,4232438,11847024,4226137,4226137,4984477,16831501,391311584,-224771159,166540443,165985255,182816756,-19878424,8958618,-10919806,-455375,4544921,503990,503990,535762,-5839123,-5839123,-5839123,1022331,-407.0003,-512.69582,-0.13514,-0.12269,13.06664,0.1014,0.00559,-0.41509,-0.41509,0.00081,3.08196,-0.13099,8.60042
"18","2015_Q2",6.87174603174603,"Down",170750,-22135409,-2086202,-17744312,-25115276,184233,184233,-24931043,-22575282,-22575282,-22575282,-22575282,-22575282,127523633,103991231,4513965,4513965,132164598,4124441,8041223,999809.000000001,7041414,29972163,162136761,9318527,5994951,3323576,1965147,1855772,11497665,4224252,4224252,4929425,16427090,393611282,-247346441,146264859,145709671,162136761,6798,-1631522,-24200006,-554445,-4499671,283466.000000004,283466.000000004,180298,-28519379,-28519379,-28519379,919164,-147.088,-132.21249,-0.15493,-0.13924,11.49491,0.11274,0.00567,-0.41277,-0.41277,0.00312,2.67432,-0.14965,5.04093
"19","2015_Q3",6.288125,"Down",43750,-15994474,-1696624,-11643212,-19492375,734199,734199,-18758176,-28686412,-28686412,-28686412,-28686412,-28686412,116008473,96447301,4138480,4138480,120146953,4127366,25743071,25701657,41414,42231505,162378458,8249457,4936282,3313175,4745142,4679517,13210361,4321729,4321729,4971743,18182104,420848344,-276032853,144751542,144196354,162378458,12453976,-137142,-16369578,-297118,8798882,30152,30152,26766,-7543930,-7543930,-7543930,865776,-445.54,-655.68942,-0.19894,-0.17666,9.0949,0.12609,0.00533,-0.51494,-0.51494,0.00079,2.59837,-0.19203,5.90706
"20","2015_Q4",5.66890625,"Down",123750,-12546926,-1829393,-7490401,-15993707,162368,162368,-15831339,-15936052,-15936052,-15936052,-15936052,-15936052,110533453,87252813,4154248,4154248,114687701,4108667,25308675,25262886,45789,30502624,145190325,7473085,4862263,2610822,1842750,1770875,9532488,4317927,4317927,4913443,14445931,423334418,-291968905,131299582,130744394,145190325,2886732,-68476.9999999991,-13117797,-283588,3976784,133,133,-53475,-9194488,-9194488,-9194488,812169,-129.24208,-128.77618,-0.12189,-0.10976,12.03125,0.11049,0.00559,-0.26786,-0.26786,0.00208,2.20698,-0.11729,6.86028
