"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",2.48015625,"Up",22598000,-13550000,9048000,-12949000,-11032000,-989000,-3901000,-199000,-10000,-214000,25000,-4100000,-5808000,-5770000,-5770000,-5770000,-5770000,5644000,5644000,13188000,13188000,9271000,2250000,2250000,30353000,8928000,18347000,10416000,7452000,479000,27275000,57628000,20419000,9185000,11234000,313000,313000,20732000,1474000,803000,1474000,22206000,302922000,-269318000,1818000,35422000,35422000,57628000,-5770000,1161000,1509000,-843000,-3943000,-182000,-230000,-104000,-101000,-4274000,-4274000,-105000,-4379000,-2740000,0,0.40039,-0.17263,-0.25533,-0.16289,-0.10012,1.46407,0.6269,1.73472347597681e-18,-0.14588,-0.14588,0.57133,0.89556,-0.15639,2.05985,1.44681
"12","2014_Q1",3.42770491803279,"Up",23270000,-13823000,9447000,-11874000,-10314000,-921000,-2427000,-144000,-29000,-39000,-76000,-2571000,-3534000,-3102000,-3102000,-3102000,-3102000,9007000,9007000,12288000,12288000,8805000,2456000,2456000,32556000,8617000,17785000,9943000,7452000,390000,26402000,58958000,20257000,8481000,11776000,331000,331000,23852000,974000,774000,974000,24826000,304694000,-272420000,1858000,34132000,34132000,58958000,-3102000,1108000,361000,133000,-1500000,-216000,-127000,3177000,4999000,3372000,3372000,-9000,3363000,-1319000,3264000,0.40597,-0.1043,-0.1333,-0.09088,-0.05261,1.36492,0.72735,0.05536,-0.077,-0.077,0.57765,0.84728,-0.08084,4.35406,2.3663
"13","2014_Q2",4.32412698412698,"Up",24134000,-13555000,10579000,-12218000,-10529000,-817000,-1639000,296000,-62000,297000,61000,-1343000,-2724000,-2787000,-2787000,-2787000,-2787000,7426000,7426000,13717000,13717000,9107000,2140000,2140000,32390000,8510000,17386000,9564000,7452000,370000,25896000,58286000,20247000,8721000,11526000,349000,349000,24241000,951000,775000,951000,25192000,306487000,-275207000,1814000,33094000,33094000,58286000,-2787000,1025000,801000,-2347000,-3308000,-334000,-314000,285000,1969000,-1653000,-1653000,72000,-1581000,-614000,3645000,0.43834,-0.06791,-0.11548,-0.08421,-0.04782,1.33617,0.76123,0.06254,-0.06788,-0.06788,0.58782,0.80605,-0.07395,6.15798,2.30689
"14","2014_Q3",5.33515625,"Up",22927000,-13158000,9769000,-11827000,-10083000,-832000,-2058000,-16999.9999999999,-52000,19999.9999999999,15000,-2075000,-3571000,-3566000,-3566000,-3566000,-3566000,7621000,7621000,11855000,11855000,9220000,1945000,1945000,30641000,8112000,16981000,9111000,7452000,418000,25093000,55734000,19392000,8818000,10574000,342000,342000,22647000,897000,737000,897000,23544000,309196000,-278773000,1767000,32190000,32190000,55734000,-3566000,1002000,1145000,23000.0000000009,-1396000,-110000,-158000,-817000,1743000,188999.999999999,188999.999999999,6000,195000,-1056000,2913000,0.42609,-0.08976,-0.15554,-0.11078,-0.06398,1.35298,0.73141,0.05227,-0.08513,-0.08513,0.54735,0.7685,-0.09906,4.45833,2.28766
"15","2014_Q4",4.7653125,"Down",23979000,-13583000,10396000,-12138000,-10605000,-849000,-1742000,105000,-47000,143000,9000,-1637000,-448000,-455000,-455000,-455000,-455000,14804000,14804000,12315000,12315000,8976000,2104000,2104000,38199000,7807000,16510000,8714000,7452000,344000,24317000,62516000,18371000,7411000,10960000,761000,761000,22145000,2448000,2310000,2448000,24593000,315405000,-279228000,1746000,37923000,37923000,62516000,-455000,988000,972000,465000,1970000,-126000,-52000,1000,5212000,7130000,7130000,53000,7183000,-754000,3013000,0.43355,-0.07265,-0.01897,-0.012,-0.00728,1.72495,0.6485,0.0482,-0.01052,-0.01052,0.55452,0.87697,-0.01049,15.63793,6.76866
"16","2015_Q1",3.27377049180328,"Down",24907000,-13972000,10935000,-11822000,-10584000,-643000,-887000,-109000,-47000,-171000,109000,-996000,-3162000,-3169000,-3169000,-3169000,-3169000,17455000,17455000,12470000,12470000,8690000,2121000,2121000,40736000,7730000,15945000,8108000,7452000,385000,23675000,64411000,21162000,8245000,12917000,790000,790000,24965000,2496000,2313000,2496000,27461000,317603000,-282397000,1744000,36950000,36950000,64411000,-3169000,956000,1053000,2197000,1037000,-268000,-309000,-94000,1993000,2721000,2721000,-70000,2651000,69000,3013000,0.43903,-0.03561,-0.12723,-0.08576,-0.0492,1.63172,0.74319,0.04678,-0.07193,-0.07193,0.56534,0.83869,-0.07464,-209.30435,16.28185
"17","2015_Q2",2.81095238095238,"Down",24824000,-13825000,10999000,-11617000,-10285000,-791000,-618000,-522000,-69000,-472000,19000,-1140000,-3606000,-3729000,-3729000,-3729000,-3729000,16591000,16591000,12379000,12379000,8523000,2255000,2255000,39748000,7480000,15391000,7557000,7452000,382000,22871000,62619000,20718000,7098000,13620000,778000,778000,24509000,1997000,1847000,1997000,26506000,320387000,-286126000,1852000,36113000,36113000,62619000,-3729000,938000,1182000,-1146000,-2755000,-264000,-259000,-115000,2207000,-807000,-807000,-57000,-864000,320000,3013000,0.44308,-0.0249,-0.15022,-0.10326,-0.05955,1.62177,0.73397,0.04812,-0.08368,-0.08368,0.55704,0.81036,-0.09068,-42.43125,21.97087
"18","2015_Q3",3.0340625,"Up",23092000,-13064000,10028000,-11105000,-9670000,-834000,-1077000,-325000,-49000,-259000,-17000,-1402000,-4206000,-4091000,-4091000,-4091000,-4091000,15346000,15346000,11795000,11795000,8283000,1593000,1593000,37017000,7567000,14959000,7122000,7452000,385000,22526000,59543000,18847000,6840000,12007000,830000,830000,22690000,1991000,1872000,1991000,24681000,323192000,-290217000,1887000,34862000,34862000,59543000,-4091000,935000,981000,-1542000,-3717000,-389000,-394000,-115000,2904000,-1207000,-1207000,-38000,-1245000,-142000,3013000,0.43426,-0.04664,-0.17716,-0.11735,-0.06871,1.63142,0.70796,0.0506,-0.09091,-0.09091,0.51316,0.77471,-0.10262,86.85211,11.45125
"19","2015_Q4",4.2228125,"Up",23986000,-13503000,10483000,-11544000,-10146000,-809000,-1061000,-157000,-58000,-125000,26000,-1218000,-3003000,-2907000,-2907000,-2907000,-2907000,14375000,14375000,11613000,11613000,7978000,2099000,2099000,36065000,7955000,14496000,6658000,7452000,386000,22451000,58516000,18672000,7612000,11060000,851000,851000,22536000,1920000,1825000,1920000,24456000,325317000,-293124000,1867000,34060000,34060000,58516000,-2907000,924000,967000,-682000,-1698000,-515000,-516000,-86000,1260000,-954000,-954000,-17000,-971000,-137000,3013000,0.43705,-0.04423,-0.1212,-0.08535,-0.04968,1.60033,0.71803,0.05149,-0.06348,-0.06348,0.52375,0.74372,-0.07455,82.93431,10.70877
"20","2016_Q1",4.45114754098361,"Up",25697000,-14380000,11317000,-12437000,-10968000,-916000,-1120000,-82000,-69000,-80000,67000,-1202000,8523000,8442000,8442000,8442000,8442000,18109000,18109000,12109000,12109000,7396000,8872000,2222000,46486000,7948000,13960000,6155000,7452000,353000,21908000,68394000,20059000,8762000,11297000,886000,886000,23958000,1830000,1793000,1830000,25788000,325427000,-284682000,1861000,42606000,42606000,68394000,8442000,992000,805000,-5769000,4470000,-615000,-583000,-147000,-146000,3741000,3741000,-7000,3734000,-128000,3013000,0.4404,-0.04358,0.32852,0.19814,0.12343,1.94031,0.60527,0.04405,0.18329,0.18329,0.55791,0.92503,0.17792,117.9375,13.47857
"21","2016_Q2",5.5496875,"Up",25177000,-13943000,11234000,-11796000,-10225000,-867000,-562000,-116000,-40000,-130000,54000,-678000,4521000,4434000,4434000,4434000,4434000,30642000,30642000,12763000,12763000,7582000,1780000,1780000,52767000,8132000,13497000,5707000,7452000,338000,21629000,74396000,21807000,9450000,12357000,969000,969000,25789000,1394000,1357000,1394000,27183000,325538000,-280248000,1923000,47213000,47213000,74396000,4434000,950000,1107000,6662000,13153000,-505000,-490000,-125000,-125000,12538000,12538000,-5000,12533000,388000,3013000,0.4462,-0.02232,0.17611,0.09391,0.0596,2.0461,0.57575,0.0405,0.09625,0.09599,0.54652,1.02485,0.0859,-71.20876,49.16192
"22","2016_Q3",5.971875,"Up",24560000,-13741000,10819000,-12600000,-11280000,-861000,-1781000,-419000,-42000,-388000,11000,-2200000,7039000,6832000,6832000,6832000,6832000,37016000,37016000,12877000,12877000,7395000,1866000,1866000,59154000,8730000,13022000,5221000,7452000,349000,21752000,80906000,19015000,9459000,9556000,2476000,2476000,24504000,1955000,1925000,1955000,26459000,325714000,-273416000,2149000,54447000,54447000,80906000,6832000,952000,1051000,-1924000,6911000,-438000,-451000,-133000,-67000,6393000,6393000,-19000,6374000,-829000,3013000,0.44051,-0.07252,0.27818,0.12548,0.08444,2.41405,0.48596,0.03724,0.14827,0.14687,0.53302,1.18165,0.11499,41.01689,19.09208
"23","2016_Q4",6.38190476190476,"Up",26433000,-14988000,11445000,-12327000,-10869000,-882000,-882000,401000,-40000,419000,22000,-481000,-2113000,-2115000,-2115000,-2115000,-2115000,32360000,32360000,1.4e+07,1.4e+07,6978000,1819000,1819000,55157000,8638000,12693000,4884000,7452000,357000,21331000,76488000,17208000,9152000,8056000,2464000,2464000,21672000,1848000,1820000,1848000,23520000,326572000,-275531000,1927000,52968000,52968000,76488000,-2115000,960000,-52000,-1853000,-3060000,-446000,-449000,-1179000,-1179000,-4688000,-4688000,32000,-4656000,78000,2e+06,0.43298,-0.03337,-0.08001,-0.03993,-0.02765,2.54508,0.44404,0.02615,-0.04578,-0.04578,0.57213,1.14647,-0.0372299999999999,-389.23077,34.42177
"24","2017_Q1",7.045,"Up",26603000,-14518000,12085000,-12878000,-11367000,-914000,-793000,-354000,-14000,-375000,35000,-1147000,36913000,36135000,36135000,36135000,36135000,67777000,67777000,14592000,14592000,6971000,2057000,2057000,91397000,8214000,12210000,4422000,7452000,336000,20424000,111821000,18068000,9857000,8211000,943000,943000,20568000,1699000,1699000,1699000,22267000,326751000,-239396000,2199000,89554000,89554000,111821000,36135000,978000,1761000,-2752000,36122000,-141000,-122000,-584000,-560000,35440000,35440000,-23000,35417000,185000,1557000,0.45427,-0.02981,1.35831,0.4035,0.32315,4.44365,0.24864,0.01392,0.78103,0.7608,0.575,1.93563,0.38934,-357.94595,83.50567
"25","2017_Q2",9.3184126984127,"Up",26284000,-14205000,12079000,-12985000,-11494000,-822000,-906000,-196000,46000,-361000,119000,-1102000,-1474000,-1474000,-1474000,-1474000,-1474000,67214000,67214000,14057000,14057000,7248000,1919000,1919000,90438000,8276000,11757000,3971000,7452000,334000,20033000,110471000,17851000,9338000,8513000,926000,926000,20777000,1203000,1203000,1203000,21980000,326908000,-240870000,2453000,88491000,88491000,110471000,-1474000,927000,1346000,-1132000,-333000,-514000,-514000,297000,303000,-544000,-544000,-19000,-563000,21000,2e+06,0.45956,-0.03447,-0.05608,-0.01666,-0.01334,4.35279,0.24839,0.0181,-0.03186,-0.03186,0.56803,1.91241,-0.0160800000000001,-3105.42857,71.98013
"26","2017_Q3",11.0995238095238,"Up",26260000,-14572000,11688000,-12380000,-11218000,-483000,-692000,9000.00000000003,79000,-94000,24000,-683000,-1053000,-1053000,-1053000,-1053000,-1053000,62427000,62427000,15355000,15355000,7115000,1982000,1982000,86879000,8168000,11344000,3560000,7452000,332000,19512000,106391000,16706000,10285000,6421000,859000,859000,17565000,1098000,1098000,1098000,18663000,327214000,-241923000,2437000,87728000,87728000,106391000,-1053000,915000,1168000,-3529000,-2499000,-175000,-173000,-2177000,-2112000,-4784000,-4784000,-3000,-4787000,223000,-4.65661287307739e-10,0.44509,-0.02635,-0.0400999999999999,-0.012,-0.0099,4.94614,0.21274,0,-0.02275,-0.0227500000000003,0.56727,1.8951,-0.01185,-279.9417,90.21243
"27","2017_Q4",9.55079365079365,"Down",27089000,-14916000,12173000,-11920000,-10534000,-766000,253000,188000,115000,147000,-74000,441000,-71000,-71000,-71000,-71000,-71000,62627000,62627000,15805000,15805000,7170000,1860000,1860000,87462000,8093000,11022000,3244000,7452000,326000,19115000,106577000,16161000,9400000,6761000,797000,797000,16958000,1057000,1057000,1057000,18015000,328235000,-241994000,2321000,88562000,88562000,106577000,-71000,850000,874000,-715000,938000,-735000,-731000,-104000,-15999.9999999995,191000,191000,9000,2e+05,1103000,0,0.44937,0.00934,-0.00262,-0.000800000000000013,-0.000669999999999999,5.15757,0.20342,1.73472347597681e-18,-0.00153,-0.00153,0.58423,1.91002,-0.000790000000000013,-56.77879,-247.53755
"28","2018_Q1",7.04409836065574,"Down",28171000,-15785000,12386000,-12510000,-10846000,-857000,-124000,643000,144000,443000,56000,519000,94000,94000,94000,94000,94000,64167000,64167000,15180000,15180000,7047000,2690000,2690000,89084000,7901000,10680000,2895000,7452000,333000,18581000,107665000,17070000,10350000,6720000,740000,740000,17810000,983000,983000,983000,18793000,328759000,-241900000,2013000,88872000,88872000,107665000,94000,906000,466000,223000,1689000,-329000,-331000,-138000,156000,1514000,1514000,26000,1540000,782000,0,0.43967,-0.0044,0.00334,0.00106,0.00087,5.00191,0.21146,0,0.00201999999999999,0.00201999999999999,0.60623,1.9125,0.00105,-82.05499,517.47581
"29","2018_Q2",6.09296875,"Down",26876000,-15431000,11445000,-11652000,-10905000,-747000,-207000,-2000,157000,-195000,36000,-209000,-640000,-640000,-640000,-640000,-640000,66849000,66849000,14443000,14443000,7210000,2481000,2481000,90983000,7837000,10436000,2647000,7452000,337000,18273000,109256000,18871000,9558000,9313000,670000,670000,19541000,533000,533000,533000,20074000,330441000,-242540000,2096000,89182000,89182000,109256000,-640000,749000,580000,1906000,2595000,-461000,-461000,-101000,557000,2691000,2691000,-9000,2682000,542000,0,0.42584,-0.0077,-0.02381,-0.00718,-0.00586,4.65601,0.22509,0,-0.01364,-0.01364,0.57288,1.90097,-0.00713,-123.33764,322.94203
"30","2018_Q3",4.54269841269841,"Down",27752000,-15607000,12145000,-13461000,-11056000,-812000,-1316000,1018000,185000,8e+05,33000,-298000,-1998000,-901000,-901000,-901000,-901000,64468000,64468000,14977000,14977000,7481000,2613000,2613000,89539000,7945000,10841000,2449000,7452000,940000,18786000,108325000,19229000,9564000,9665000,642000,642000,19871000,495000,495000,495000,20366000,330896000,-243441000,1518000,87959000,87959000,108325000,-901000,786000,1189000,-2834000,-1760000,-605000,-615000,-89000,-37000,-2412000,-2412000,31000,-2381000,-530000,0,0.43763,-0.04742,-0.03247,-0.01024,-0.00832,4.50601,0.23154,0,-0.01919,-0.01919,0.59121,1.87382,-0.01019,121.63774,48.98784
"31","2018_Q4",3.27555555555556,"Down",25630000,-14557000,11073000,-12220000,-11025000,-799000,-1147000,-218000,227000,-462000,17000,-1365000,-3016000,-3016000,-3016000,-3016000,-3016000,62556000,62556000,14407000,14407000,7278000,2175000,2175000,86416000,7953000,11082000,2149000,7452000,1481000,19035000,105451000,18045000,8250000,9795000,623000,623000,18668000,404000,404000,404000,19072000,330989000,-246457000,1847000,86379000,86379000,105451000,-3016000,815000,1318000,-427000,-1310000,-560000,-601000,-109000,12000,-1899000,-1899000,-13000,-1912000,-332000,0,0.43203,-0.04475,-0.11767,-0.03492,-0.0286,4.6291,0.22079,-1.0842021724855e-19,-0.06407,-0.06407,0.54447,1.835,-0.03475,188.42169,54.5388
"32","2019_Q1",3.27295081967213,"Down",20755000,-14790000,5965000,-10332000,-11469000,-852000,-4367000,-52000.0000000001,284000,-418000,82000,-4419000,-5764000,-5764000,-5764000,-5764000,-5764000,60041000,60041000,13147000,13147000,7278000,2734000,2734000,83200000,7636000,10824000,1886000,7452000,1486000,18460000,101660000,19570000,9516000,10054000,616000,616000,20186000,353000,353000,353000,20539000,331242000,-252221000,2100000,81121000,81121000,101660000,-5764000,780000,-970000,3694000,-2260000,-262000,-267000,-28000,27000,-2500000,-2500000,-15000,-2515000,-3587000,0,0.2874,-0.21041,-0.27772,-0.07105,-0.0567,4.12167,0.25319,0,-0.12274,-0.12274,0.44197,1.72745,-0.07075,16.7385,13.7488
"33","2019_Q2",3.52285714285714,"Up",21260000,-14239000,7021000,-11698000,-10970000,-728000,-4677000,-3000,274000,-324000,47000,-4680000,-5981000,-5981000,-5981000,-5981000,-5981000,52777000,52777000,12836000,12836000,7588000,2307000,2307000,75508000,7503000,11172000,1625000,7452000,2095000,18675000,94183000,18003000,7155000,10848000,190000,190000,18193000,320000,320000,320000,18513000,331502000,-258202000,2370000,75670000,75670000,94183000,-5981000,766000,733000,-1722000,-6204000,-406000,-1015000,-59000.0000000002,-33999.9999999998,-7253000,-7253000,-11000,-7264000,-3911000,0,0.33024,-0.21999,-0.28133,-0.07904,-0.0635,4.15039,0.24465,0,-0.12675,-0.12675,0.45056,1.60365,-0.07871,13.4945,11.28437
