"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2018_Q2",88.83296875,"Up",108221000,-17050000,91171000,-94802000,-72199000,-22603000,-3631000,-1663000,-821000,-842000,-5294000,-5294000,-321000,-5615000,-5615000,-5615000,-5615000,720936000,554875000,166061000,59366000,59366000,36271000,14773000,816573000,54932000,46985000,1115000,11828000,34042000,101917000,918490000,22120000,4304000,17816000,190851000,190851000,212971000,10298000,9420000,401171000,614142000,575167000,-263000,-270286000,-270000,304348000,304348000,918490000,-5615000,12201000,14209000,29589000,50384000,-7040000,-52229000,-59269000,5794000,431281000,422396000,422396000,422396000,8570000,390873000,31440000,0.84245,-0.03355,-0.05188,-0.01845,-0.00611,-5.59929,3.8342,2.01789,0.42556,-0.09994,-0.09994,1.92622,5.41708,0.5596,-0.00796,0.04456,-38.51377,90.9014
"15","2018_Q3",103.589206349206,"Up",114896000,-18447000,96449000,-101984000,-78022000,-23962000,-5535000,-2773000,-2338000,-435000,-8308000,-8308000,-225000,-8533000,-8533000,-8336000,-8336000,731108000,196797000,534311000,76019000,76019000,41458000,18049000,848585000,62738000,48205000,918000,11828000,35459000,110943000,959528000,30941000,10618000,20323000,191587000,191587000,222528000,19930000,11013000,415754000,638282000,597305000,-263000,-278622000,-573000,317847000,321246000,959528000,-8533000,12622000,18531000,-14790000,7830000,-7215000,-370379000,-377594000,8091000,11687000,-358077000,-358077000,-358077000,7087000,395824000,-14693000,0.83945,-0.04817,-0.07255,-0.02595,-0.00869,1.7626,3.81339,1.98689,0.41252,-0.147,-0.147,2.02617,5.60517,-0.25911,-0.01131,-0.01994,-47.30972,60.57525
"16","2018_Q4",84.2361904761905,"Down",124011000,-20206000,103805000,-112345000,-86163000,-26182000,-8540000,-1755000,-1747000,-8000,-10295000,-10295000,106000,-10189000,-10189000,-10103000,-10103000,722311000,185462000,536849000,102433000,102433000,42014000,16739000,866758000,71076000,56005000,3394000,15334000,37277000,127081000,993839000,34459000,11237000,23222000,211285000,211285000,245744000,18157000,11519000,419002000,664746000,614731000,-263000,-288727000,39000,325780000,329093000,993839000,-10189000,13762000,18397000,-13290000,8680000,-15460000,-1469000,-22485000.0000001,2521000,2521000.00000006,-11283999.9999999,-11283999.9999999,-11283999.9999999,5222000,400845000,-23634000,0.83706,-0.06886,-0.08147,-0.0307,-0.01017,2.33931,3.52708,2.01993,0.40333,-0.17695,-0.17695,2.17197,5.70583,-0.41393,-0.0135,-0.03159,-61.55994,37.64239
"17","2019_Q1",98.9888524590164,"Up",132097000,-21696000,110401000,-125801000,-93689000,-32112000,-15400000,-1762000,-1670000,-92000,-17162000,-17162000,-257000,-17419000,-17419000,-16839000,-16839000,744728000,234356000,510372000,120605000,120605000,48999000,21838000,914332000,80742000,95153000,13855000,41512000,39786000,175895000,1090227000,33786000,10249000,23537000,281572000,281572000,315358000,16569000,11972000,422506000,737864000,654817000,-263000,-305569000,645000,349630000,352363000,1090227000,-17419000,15209000,20810000,30023000,48623000,-13588000,27144000,-11320000,12142000,12142000,49445000,49445000,49445000,-191000,405937000,16501000,0.83576,-0.11658,-0.12747,-0.04779,-0.01545,-0.97993,2.89935,2.09405,0.37234,-0.29259,-0.29259,2.2953,6.07513,0.28672,-0.02173,0.0213,1773.77487,21.99942
"18","2019_Q2",98.7828571428571,"Down",141010000,-23613000,117397000,-134289000,-99950000,-34339000,-16892000,1299000,-1679000,2978000,-15593000,-15593000,36000,-15557000,-15557000,-15169000,-15169000,768935000,228140000,540795000,84173000,84173000,47450000,18878000,900558000,92336000,160272000,13415000,41512000,105345000,252608000,1153166000,38344000,14513000,23831000,274213000,274213000,312557000,67431000,65245000,478533000,791090000,678591000,-263000,-320738000,2141000,359731000,362076000,1153166000,-15557000,16170000,20870000,15033000,36516000,-16234000,-29155000,-45389000,2271000,2271000,-6602000.00000001,-6602000.00000001,-6602000.00000001,-721999.999999999,411102000,-1959000,0.83254,-0.11979,-0.10757,-0.04189,-0.01315,0.12914,2.88126,2.18487,0.3565,-0.26179,-0.26179,2.43356,6.20825,-0.03381,-0.01805,-0.00233,495.61357,21.18358
"19","2019_Q3",72.30453125,"Down",145815000,-25149000,120666000,-137567000,-103435000,-34132000,-16901000,-1562000,-1877000,315000,-18463000,-18463000,-660000,-19123000,-19123000,-18614000,-18614000,771475000,242407000,529068000,76954000,76954000,46360000,17029000,894789000,100742000,154840000,12975000,41512000,100353000,255582000,1150371000,42307000,19502000,22805000,255013000,255013000,297320000,62736000,62697000,479077000,776397000,708820000,-263000,-339352000,1955000,371160000,373974000,1150371000,-19123000,21098000,29609000,-22596000,8988000,-15336000,10160000,-5176000,6716000,7694000,11506000,11506000,11506000,4197000,416341000,-33075000,0.82753,-0.11591,-0.12765,-0.04977,-0.01618,1.77689,3.00952,2.07607,0.36192,-0.31885,-0.31885,2.49777,6.35787,-0.56657,-0.02182,-0.03877,-84.61615,21.0126
"20","2019_Q4",64.9521875,"Down",153028000,-26402000,126626000,-150842000,-112455000,-38387000,-24216000,-2625000,-2160000,-465000,-26841000,-26841000,-894000,-27735000,-27735000,-27195000,-27195000,736659000,178997000,557662000,110590000,110590000,48671000,18872000,895920000,105040000,157233000,14059000,45112000,98062000,262273000,1158193000,41132000,15582000,25550000,258194000,258194000,299326000,61419000,61309000,483074000,782400000,738422000,-263000,-366547000,1907000,373519000,375793000,1158193000,-27735000,18969000,29810000,-34882000,-13838000,-18135000,-30129000,-52514000,2923000,2923000,-63429000,-63429000,-63429000,-5247000,421655000,-57370000,0.82747,-0.15825,-0.17771,-0.07237,-0.02348,2.10958,2.99312,2.082,0.36406,-0.46302,-0.46302,2.60544,6.3595,-0.97678,-0.03166,-0.0668,60.03507,13.00809
"21","2020_Q1",58.4009677419355,"Down",159657000,-28073000,131584000,-159064000,-117763000,-41301000,-27480000,-2391000,-2497000,106000,-29871000,-29871000,1307000,-28564000,-28564000,-27959000,-27959000,805097000,292523000,512574000,147361000,147361000,47995000,15979000,1000453000,100294000,157687000,13691000,45112000,98884000,257981000,1258434000,41619000,12565000,29054000,334963000,334963000,376582000,62500000,59334000,489544000,866126000,780539000,-263000,-394506000,4869000,390639000,392308000,1258434000,-28564000,19506000,35949000,34862000,61753000,-8513000,46963000,38450000,13325000,13325000,113528000,113528000,113528000,-7974000,427044000,17068000,0.82417,-0.17212,-0.17512,-0.07127,-0.02222,-0.61047,2.65667,2.20777,0.33935,-0.4711,-0.4711,2.69018,6.58218,0.28759,-0.0317,0.01935,47.41071,13.75739
"22","2020_Q2",59.7177777777778,"Up",162585000,-33273000,129312000,-155414000,-114570000,-40844000,-26102000,-3718000,-3323000,-395000,-29820000,-29820000,-332000,-30152000,-30152000,-29756000,-29756000,828890000,256879000,572011000,111296000,111296000,52465000,19853000,992651000,100651000,158798000,12415000,45112000,101271000,259449000,1252100000,39030000,7925000,31105000,313868000,313868000,352898000,72562000,69998000,505072000,857970000,813272000,-263000,-424262000,4110000,392857000,394130000,1252100000,-30152000,21051000,36452000,7797000,35148000,-8225000,-63990000,-72215000,1424000,1424000,-35643000,-35643000,-35643000,-5051000,432510000,-5147000.00000001,0.79535,-0.16054,-0.18302,-0.0755,-0.02376,0.17297,2.81286,2.17687,0.34543,-0.49654,-0.49654,2.71305,6.55559,-0.08589,-0.03309,-0.00572000000000001,78.47555,15.18581
"23","2020_Q3",61.05171875,"Up",166054000,-45198000,120856000,-163804000,-119176000,-44628000,-42948000,-4600000,-3996000,-604000,-47548000,-47548000,-380000,-47928000,-47928000,-47551000,-47551000,839782000,276843000,562939000,101381000,101381000,47521000,14202000,988684000,98718000,156075000,11139000,45112000,99824000,254793000,1243477000,50387000,26132000,24255000,293527000,293527000,343914000,73218000,71230000,511272000,855186000,857072000,-263000,-471813000,2399000,387395000,388291000,1243477000,-47928000,22353000,43487000,-5002000,12910000,-4416000,3750000,-666000,7720000,7720000,19964000,19964000,19964000,-20595000,438054000,-29633000,0.72781,-0.25864,-0.28636,-0.12246,-0.03824,0.62318,2.8748,2.20244,0.35228,-0.78536,-0.78536,2.74256,6.39825,-0.48942,-0.05286,-0.03294,19.50609,9.35382
"24","2020_Q4",61.62171875,"Up",166340000,-45968000,120372000,-168414000,-122641000,-45773000,-48042000,-5306000,-4495000,-811000,-53348000,-53348000,-564000,-53912000,-53912000,-53626000,-53626000,784617000,211145000,573472000,143775000,143775000,50974000,16236000,979366000,93011000,261132000,14662000,144253000,102217000,354143000,1333509000,61450000,22034000,39416000,323188000,323188000,384638000,72622000,70941000,516298000,900936000,956733000,-263000,-525439000,932000,431963000,432573000,1333509000,-53912000,22911000,41549000,-17221000,-6673000,-3158000,-15293000,-59987000,982000.000000002,982000.000000003,-65678000,-65678000,-65678000,-25131000,443676000,-44946000,0.72365,-0.28882,-0.32239,-0.12397,-0.04021,0.83814,2.5462,2.08274,0.33271,-0.87607,-0.87607,2.71744,7.05684,-0.73427,-0.05652,-0.04737,13.56655,7.09673
"25","2021_Q1",66.4370491803279,"Up",172669000,-57125000,115544000,-169852000,-126246000,-43606000,-54308000,-5307000,-5199000,-108000,-59615000,-59615000,717000,-58898000,-58898000,-61677000,-61677000,816075000,240821000,575254000,174027000,174027000,58154000,21944000,1048256000,91308000,259055000,12986000,144253000,101816000,350363000,1398619000,61367000,24171000,37196000,400654000,400654000,462021000,69854000,68180000,519234000,981255000,1001309000,-263000,-587116000,-19000,413975000,417364000,1398619000,-58898000,22997000,39601000,24781000,28481000,-2938000,-7051000,-9989000,11164000,11164000,29656000,29656000,29656000,-31311000,449380000,-10185000,0.66916,-0.31452,-0.3572,-0.14778,-0.0441,0.16513,2.26885,2.35108,0.3213,-0.98535,-0.98535,2.75856,6.61263,-0.16272,-0.06585,-0.01087,11.71138,6.75214
"26","2021_Q2",64.3855555555556,"Down",180484000,-59264000,121220000,-195108000,-146378000,-48730000,-73888000,-624000,-288000,-336000,-74512000,-74512000,453000,-74059000,-74059000,-78414000,-78414000,817120000,259897000,557223000,93477000,93477000,55204000,22172000,965801000,84645000,277646000,21610000,163677000,92359000,362291000,1328092000,59950000,27631000,32319000,339951000,339951000,399901000,74411000,73367000,570304000,970205000,962576000,-263000,-611320000,-850000,350143000,357887000,1328092000,-74059000,23025000,41852000,19054000,9872000.00000001,-2226000,13825000,4407000,4797000,4797000,19076000,19076000,19076000,-50863000,495893000,-34488000,0.67164,-0.40939,-0.43447,-0.2191,-0.05904,0.43982,2.4151,2.71093,0.37339,-1.284,-1.284,2.95536,5.73347,-0.56473,-0.08448,-0.03716,6.31553,4.34749
"27","2021_Q3",73.87,"Up",195694000,-64262000,131432000,-178449000,-127081000,-51368000,-47017000,-547000,-504000,-43000,-47564000,-47564000,-506000,-48070000,-48070000,-53769000,-53769000,783512000,231918000,551594000,103103000,103103000,54611000,24759000,941226000,78993000,267261000,19933000,163677000,83651000,346254000,1287480000,69767000,37888000,31879000,293619000,293619000,363386000,72301000,71742000,568783000,932169000,1008428000,-263000,-665089000,-1208000,341868000,355311000,1287480000,-48070000,22401000,38958000,-50292000,-37003000,-6e+05,1391000,791000,8234000,8234000,-27978000,-27978000,-27978000,-24616000,496482000,-75002000,0.67162,-0.24026,-0.27476,-0.15133,-0.04176,1.39489,2.59015,2.62353,0.38562,-0.84263,-0.84263,3.06678,5.35751,-1.17538,-0.05819,-0.08116,11.6603,6.10481
"28","2021_Q4",96.4634375,"Up",203591000,-68793000,134798000,-186699000,-133337000,-53362000,-51901000,-921000,-653000,-268000,-52822000,-52822000,-763000,-53585000,-53585000,-62706000,-62706000,779779000,245827000,533952000,177080000,177080000,51962000,24935000,1008821000,73432000,259225000,17928000,163677000,77620000,332657000,1341478000,62935000,25874000,37061000,341737000,341737000,404672000,79822000,79672000,576894000,981566000,1068363000,-263000,-727795000,-2957000,337348000,359912000,1341478000,-53585000,21361000,38301000,-25274000,-19197000,-351000,12038000,11687000,21551000,21551000,14041000,14041000,14041000,-30540000,497072000,-55402000,0.6621,-0.25493,-0.308,-0.17423,-0.04674,0.88352,2.49294,2.72724,0.37054,-0.97556,-0.97556,3.1674,5.24835,-0.86193,-0.06694,-0.05914,9.25694,5.44704
"29","2022_Q1",81.8633870967742,"Down",205752000,-63960000,141792000,-197539000,-139143000,-58396000,-55747000,-1137000,-614000,-523000,-56884000,-56884000,493000,-56391000,-56391000,-55513000,-55513000,828679000,268695000,559984000,226182000,226182000,53505000,29447000,1108366000,68368000,250932000,15636000,163677000,71619000,319300000,1427666000,69568000,32545000,37023000,445955000,47201000,515523000,70090000,69982000,567753000,1083276000,1114287000,-263000,-783308000,-8012000,322704000,344390000,1427666000,-56391000,19278000,37714000,49351000,49952000,-1600000,-35042000,-36642000,9558000,9558000,22868000,22868000,22868000,-36469000,497663000,10789000,0.68914,-0.27094,-0.26981,-0.16119,-0.03888,-0.19435,2.14998,3.14549,0.34859,-0.83517,-0.83517,3.09546,4.85495,0.16232,-0.06086,0.01183,9.07664,5.93783
"30","2022_Q2",55.5114516129032,"Down",216459000,-63893000,152566000,-208219000,-143450000,-64769000,-55653000,-331000,-122000,-209000,-55984000,-55984000,-267000,-56251000,-56251000,-50239000,-50239000,867324000,303493000,563831000,109637000,109637000,49142000,28239000,1026103000,65501000,243339000,13344000,163677000,66318000,308840000,1334943000,70746000,35260000,35486000,377104000,377104000,946106000,64241000,64167000,64241000,1010347000,1152680000,-263000,-833547000,-9948000,308922000,324596000,1334943000,-56251000,17868000,35123000,46269000,43009000,-351000,-9585000,-9936000,1725000,1725000,34798000,34798000,34798000,-37785000,498256000,8400000,0.70483,-0.25711,-0.23209,-0.15477,-0.03763,-0.1672,1.08455,3.11263,0.37324,-0.75637,-0.75637,3.25889,4.65097,0.12647,-0.05663,0.00947,9.76758,6.63159
