"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",2.62870967741936,"Down",2289820,-7308744,-3138712,-4170032,-5018924,94.0000000000073,94.0000000000001,-5018830,-510252,-5529082,2470346,-3058736,-3058736,-3058736,-3058736,22671928,22671928,1095324,1095324,1415644,675205,42540233,774739,46122094,898334,4023611,49511759,92051992,15796769,10613539,5183230,16546540,43765882,161980,43765882,60312422,151949722,-120210152,31739570,31739570,92051992,98735,-2498474,-9850730,-12250469,-18266,7887,-12260848,-12260848,-12260848,-4920189,0,-2.19184,-1.3358,-0.09637,-0.03323,2.57094,1.90023,0,-0.05923,-0.05923,0.04434,0.61463,-0.04051,4.60794,4.51729
"12","2013_Q1",3.26483333333333,"Up",2514099,-6978801,-2140131,-4395950,-4464702,-172801,192,-4637503,238779,-4398724,1780368,-2618356,-2618356,-2618356,-2618356,32017490,32017490,970288,970288,34316476,801149,84946176,987869,19902085,898334,8794473,20889954,105836130,14473766,10189917,4283849,16419543,57218323,166303,61173585,77593128,167593539,-139350537,28243002,28243002,105836130,111650,-3255300,7903992.00000001,4760342,-324780,4910000,9345562,9345562,9345562,-4353052,4910000,-1.77587,-1.04147,-0.09271,-0.02474,5.17348,2.74734,0.04639,-0.0507,-0.0507,0.04868,0.54689,-0.02897,6.22724,6.07151
"13","2013_Q2",3.15984375,"Down",1328364,-6676818,-3031349,-3645469,-5348454,-373452,103,-5721906,-1432355,-7154261,2278442,-4875819,-4875819,-4875819,-4875819,24690394,24690394,1026599,1026599,64664660,779150,103530458,1158327,24037719,898334,10794310,25196046,128726504,13158137,8588832,4569305,15151839,83672959,167093,87141440,102293279,169725986,-144226355,26433225,26433225,128726504,98134,-3283905,-4908005,-8093776,-268592,1035272,-7327096,-7327096,-7327096,-5250320,4922730,-4.02635,-3.67054,-0.18446,-0.03788,6.83286,3.86988,0.03824,-0.09428,-0.09428,0.02569,0.49309,-0.04239,3.76504,3.69596
"14","2013_Q3",3.22484375,"Up",964667,-6296850,-3166150,-3130700,-5332183,-374941,1382,-5707124,679709,-5027415,1966336,-3061079,-3061079,-3061079,-3061079,32962728,32962728,622789,622789,93575506,930507,145613525,1143651,30256938,898334,16437048,31400589,177014114,21761143,16258393,5502750,30963067,119417370,348135,122394294,153357361,170694629,-147287434,23656753,23656753,177014114,104625,-3472862,4568862,1200625,-89949,7161658,8272334,8272334,8272334,-5227558,11935649,-5.52749,-3.1732,-0.1294,-0.01729,4.70281,6.4826,0.06743,-0.05862,-0.05862,0.01847,0.44826,-0.01975,4.02235,3.94343
"15","2013_Q4",3.1803125,"Down",2292143,-7526705,-3119066,-4260971,-5234562,-293434,4,-5527996,-1064010,-6592006,1690028,-4901978,-4901978,-4901978,-4901978,105190655,105190655,741918,741918,20932560,1061109,143853152,1236373,56480131,898334,24025085,57716504,201569656,14058249,6826552,7231697,17249699,162511771,454241,164995857,182245556,171513512,-152189412,19324100,19324100,201569656,116618,-3556346,83121128,79681400,-209340,-7244133,72227927,72227927,72227927,-5117944,4447824,-2.2837,-2.1386,-0.25367,-0.02432,8.33946,9.431,0.02207,-0.09327,-0.09327,0.04361,0.36769,-0.02631,19.68424,19.2457
"16","2014_Q1",3.12147540983607,"Down",934126,-6600946,-3802464,-2747943,-5666820,-164008,8,-5830828,-191262,-6022090,1683633,-4338457,-4338457,-4338457,-4338457,91309754,91309754,982023,982023,11134716,750808,123941842,1382073,68500319,898334,24661361,69882392,193824234,9906773,5064380,4842393,12189024,162669794,447605,164659742,176848766,173503338,-156527870,16975468,16975468,193824234,143760,-4478184,-10017323,-14351747,-289460,760306,-13880901,-13880901,-13880901,-5523060,3958774,-6.06644,-4.6444,-0.25557,-0.02238,10.16832,10.4179,0.02042,-0.08188,-0.08188,0.01763,0.32036,-0.02363,15.81569,15.41446
"17","2014_Q2",2.63936507936508,"Down",549415,-5902114,-3088658,-2813456,-5352699,-140824,5.00000000000011,-5493523,-129631,-5623154,2241295,-3381859,-3381859,-3381859,-3381859,107067070,107067070,610420,610420,8580689,978488,133333724,1084650,80369455,898334,31201311,81454105,214787829,9004509,4343762,4660747,11135819,188220415,437034.999999996,189714905,200850724,173846834,-159909729,13937105,13937105,214787829,91106,-2829407,19331065,16592764,-14184,-821264,15757316,15757316,15757316,-5261593,3468480,-9.74254,-6.15538,-0.24265,-0.01575,11.97341,14.41122,0.01615,-0.06351,-0.06351,0.01032,0.26172,-0.01645,19.68959,19.35446
"18","2014_Q3",1.8446875,"Down",650612,-5170923,-2799054,-2371869,-4520310.99999999,-122558,1051,-4642869.00000001,-80411,-4723279.99999999,1775017,-2948262.99999999,-2948262.99999999,-2948262.99999999,-2948262.99999999,99029327,99029327,742709,742709,13116828,1358018,129734471,1000542,78736576,898334,32097014,79737118,209471589,6406106,1628237,4777869,8396869,188508322,426465,189506015,197902884,174426697,-162857992,11568705,11568705,209471589,89698,-2800899.00000001,-5356799,-8068000,522897,-492640,-8037743.00000001,-8037743.00000001,-8037743.00000001,-4430613.00000001,2976924,-6.94777999999999,-4.53151999999999,-0.25485,-0.01407,15.45034,17.10674,0.01421,-0.0552,-0.0551999999999997,0.01218,0.21658,-0.0145200000000001,21.67926,21.24907
"19","2014_Q4",1.425625,"Down",1099429,-182521587,-4307581,-2648167,-181422158,-105144,5,-181527302,-596414,-182123716,-57953045,-240076761,-240076761,-240076761,-240076761,104682642,104682642,569061,569061,724174,724174,124102788,913309,39699287,898334,38800953,40612596,164715384,2606626,680930,1925696,4591176,387601181,387360208,388100717,392691893,174958244,-402934753,-227976509,-227976509,164715384,87233,-239573355,249604437,10118315,-3965000,-5e+05,5653315,5653315,5653315,-181334925,2484086,-165.01489,-218.36495,1.05308,-1.45752,27.03072,-1.72251,0.01508,-4.4869,-4.4869,0.02055,-4.26075,-1.48096,0.56359,0.56332
"20","2015_Q1",1.75383333333333,"Up",840379,-18224448,-2451360,-2873862,-17384069,-86219,4,-17470288,-1994432,-19464720,408465,-19056255,-19056255,-19056255,-19056255,99713929,99713929,491632,491632,4898705,898705,124148743,831936,35748728,898334,34850394,36580664,160729407,5470305,3384310,2085995,7460253,399771631,399445292,399771631,407231884,175488531,-421991008,-246502477,-246502477,160729407,83524,-18451923,13901839.9999999,-4466559,-2152.00000000093,-500002,-4968713,-4968713,-4968713,-17300545,1989948,-20.68599,-22.6757900000001,0.07731,-0.11856,16.64136,-1.65204,0.01238,-0.356160000000001,-0.356159999999999,0.01571,-4.60707,-0.12274,5.64861,5.62147
"21","2015_Q2",1.61790322580645,"Down",1192092,-5898704,-3077987,-2807422,-4706612,-247948,5464,-4954560,-2114928,-7069488,-83831,-7153319,-7153319,-7153319,-7153319,95545619,95545619,14272317,14272317,422521,422521,125056292,753158,47429412,898334,40279642,48182570,173238862,6976888,3553191,3423697,6976888,419460137,399430184,419460137,426437025,175946164,-429144327,-253198163,-253198163,173238862,78778,-6646527,399439,-6168310,4e+06,-2e+06,-4168310,-4168310,-4168310,-4627834,0,-3.9482,-6.00064,0.02825,-0.04129,17.92437,-1.6842,0,-0.1337,-0.1337,0.02228,-4.7323,-0.04302,20.64586,20.3003
"22","2015_Q3",1.1784375,"Down",1467459,-5538060,-2592285,-2959070,-4070601,-29172,10877,-4099773,-2385316,-6485089,-88348.0000000019,-6573436.99999999,-6573436.99999999,-6573436.99999999,-6573436.99999999,115656150,115656150,769214,769214,1153130,1153130,126348982,446581,55667264,898334,47949181,56113845,182462827,8023712,4780691,3243021,8023712,433828581,193014699,433828581,441852293,176328298,-435717764,-259389466,-259389466,182462827,68076,-5958653.00000001,25988908,20098331,9.31322574615479e-10,12200.0000000002,20110531,20110531,20110531,-4002525,-4.65661287307739e-10,-2.77391,-4.47947,0.02534,-0.03603,15.74695,-1.70343,0,-0.12266,-0.12266,0.02738,-4.84028,-0.03768,28.8958,28.41255
"23","2015_Q4",0.70296875,"Down",1327404,-4788093,-2317226,-2430576,-3460689,39217.0000000001,12482,-3421472,-2143138,-5564610,-65910,-5630520,-5630520,-5630520,-5630520,129289275,129289275,979232,979232,888481,888481,132248936,457457,64458613,898334,56298515,64916070,197165006,6238230,3174820,3063410,6238230,455594480,192979839,455594480,461832710,176680580,-441348284,-264667704,-264667704,197165006,52290,-5278238,18922239,13696291,-63166,0,13633125,13633125,13633125,-3408399,0,-2.60711,-4.24175,0.02127,-0.02856,21.19975,-1.74495,0,-0.10444,-0.10444,0.02462,-4.90931,-0.02949,37.93255,37.3594
"24","2016_Q1",0.508196721311475,"Down",4188923,-22904287,-2594570,-4933461,-18715364,13379,13379,-18701985,-1168169,-19870154,-223894,-20094048,-20094048,-20094048,-20094048,112711028,112711028,3676730,3676730,623983,623983,129458829,449825,55824282,898334,54925948,56274107,185732936,7333084,3944476,3388608,7333084,462828402,207304388,462828402,470161486,177013782,-461442332,-284428550,-284428550,185732936,48213,-19719006,3153864,-16516929,-45787,-15531.0000000005,-16578247,-16578247,-16578247,-18667151,0,-4.46782,-4.79695,0.07065,-0.10819,17.65408,-1.653,0,-0.37139,-0.37139,0.07742,-5.25694,-0.11263,6.03792999999999,6.02238
"25","2016_Q2",0.80953125,"Up",1269733,-5192242,-2656231,-2536011,-3922509,-2905876,11311,-6828385,-3608888,-10437273,-11294,-10448567,-10448567,-10448567,-10448567,104061350,104061350,1003154,1003154,552616,552616,128458981,413848,55923489,898334,55025155,56337337,184796318,13538816,8493678,5045138,13538816,465938754,210186663,465938754,479477570,177209647,-471890899,-294681252,-294681252,184796318,44452,-10252702,1567047,-8641203,-8475,-20966566.0551198,-8649678,-8649678,-8649678,-3878057,0,-3.08924,-8.22895,0.03546,-0.05654,9.4882,-1.62711,0,-0.19308,-0.19308,0.02346,-5.44553,-0.06101,26.83337,26.52928
"26","2016_Q3",2.15546875,"Up",1901314,-7146506,-3738709,-2948392,-5245192,-4211175,58489,-9456367,-108014,-9564381,-1470,-9565851,-9565851,-9565851,-9565851,78022356,78022356,34488734,34488734,2124292,2124292,143567275,372779,57728502,898334,56830168,58101281,201668556,13227634,9916911,3310723,216882489,288860599,290104,288860599,505743088,177382218,-481456750,-304074532,-304074532,201668556,43592,-9381835,-16698228,-26036471,-2523,-35459775.4354529,-26038994,-26038994,-26038994,-5201600,0,-2.75872,-5.03118,0.03146,-0.04743,0.66196,-1.66322,-3.46944695195361e-18,-0.17644,-0.17644,0.03507,-5.60851,0.62876,14.99968,14.87502
"27","2016_Q4",2.49746031746032,"Up",4658355,-9180879,-2881567,-6069066,-4522524,-3603660,30756,-8126184,-1121530,-9247714,4072,-9243642,-9243642,-9243642,-9243642,20492788,20492788,38747077,38747077,9586430,9586430,86577814,330118,75929407,898334,75031073,76259525,162837339,7718764,2925464,4793300,101373619,374628664,7223201,374628664,476002283,177535448,-490700392,-313164944,-313164944,162837339,42660,-7964081,-48313647,-56235068,1,-1294500.99999999,-57529568,-57529568,-57529568,-4479864,0,-0.97084,-1.98431,0.02952,-0.05677,0.85405,-1.51997,0,-0.17028,-0.17028,0.08581,-5.76889,-0.15039,4.57442,4.53127
"28","2017_Q1",2.88629032258065,"Up",7158226,-12814057,-4437128,-8157204,-5655831,-3241382,1768,-8897213,-1537495,-10434708,-5192,-10439900,-10439900,-10439900,-10439900,28701824,28701824,3154370,3154370,11093316,954426,69159474,299477,91523026,898334,90624692,91822503,160981977,7101824,2517072,4584752,7101824,374745369,6975398,441298422,448400246,213722023,-501140292,-287418269,-287418269,160981977,43571,-9841814,-16102018,-25900261,1199661,60381858,35681258,35681258,35681258,-5612260,66553053,-0.79012,-1.45845,0.03632,-0.06485,9.73827,-1.5601,0.41342,-0.15785,-0.15785,0.10823,-4.34574,-0.0678399999999999,-6.74438,-6.69243
"29","2017_Q2",3.1968253968254,"Up",5201786,-9470956,-2869869,-6360490,-4269170,-3604497,4419,-7873667,-626209,-8499876,-115070,-8614946,-8614946,-8614946,-8614946,30103574,30103574,4878631,4878631,11070893,932003,65172653,263302,95384530,898334,94486196,95647832,160820485,5207445,2259096,2948349,5207445,384089744,7579442,451751713,456959158,213616565,-509755238,-296138673,-296138673,160820485,36175,-6771037,5801886,-932976,754282.571721628,-193052.000000015,-1126028,-1126028,-1126028,-4232995,67661969,-0.82071,-1.65615,0.02909,-0.05357,12.51528,-1.54306,0.42073,-0.10936,-0.10936,0.06603,-3.7592,-0.05536,-8.87277,-8.79759
"30","2017_Q3",2.91984126984127,"Down",4264561,-8323099,-3058244,-5067837,-4058538,-3644431,8065,-7702969,294356,-7408613,-92825,-7501438,-7501438,-7501438,-7501438,30865936,30865936,1768981,1768981,10893935,571646,58945660,262966,96821848,898334,95923514,97084814,156030474,6573017,3475102,3097915,6573017,384084967,7297585,452868173,459441190,213845960,-517256676,-303410716,-303410716,156030474,39662,-5852658,4140432,-1672564,-39325.9999999995,-56503,-1768393,-1768393,-1768393,-4018876,68783206,-0.95169,-1.75902,0.02472,-0.04808,8.96782,-1.51425,0.44083,-0.09515,-0.09515,0.05409,-3.8484,-0.05019,-9.43479,-9.34259
"31","2017_Q4",4.28301587301587,"Up",1390254,-7041038,-3093926,-2470835,-5650784,-3735154,-666.000000000015,-9385938,-295771,-9681709,-134668,-9816377,-9816377,-9816377,-9816377,25798125,25798125,612166,612166,11501206,1092396,40894746,119735,107711677,898334,106813343,107831412,148726158,5683325,1362331,4320994,5683325,385952982,8199440,455869747,461553072,214246139,-527073053,-312826914,-312826914,148726158,29375,-6762255,-894878,-7627758,-14916,1.86264514923096e-09,-7642674,-7642674,-7642674,-5621409,69916765,-4.06457,-7.06085,0.03138,-0.066,7.19557,-1.47543,0.4701,-0.1244,-0.1244,0.01762,-3.96435,-0.06863,-7.84832,-7.80753
"32","2018_Q1",5.17262295081967,"Up",1412359,-6283036,-3281011,-2780550,-4870677,-3757270,4970,-8627947,-4111129,-12739076,2436353,-10302723,-10302723,-10302723,-10302723,19857833,19857833,1802107,1802107,12721304,2019999,37364493,138640,107167246,898334,103836949,107305886,144670379,6810446,1328867,5481579,6810446,389947900,12306415,460998224,467808670,214237485,-537375776,-323138291,-323138291,144670379,26977,-7469087,-711359.000000001,-8153469,-45882.0000000002,-336014,-8535365,-8535365,-8535365,-4843700,71050324,-3.44861,-7.29469,0.03188,-0.07122,5.48635,-1.4477,0.49112,-0.13046,-0.13046,0.01788,-4.0919,-0.07473,-10.56888,-10.51034
"33","2018_Q2",6.10875,"Up",1747934,-6282845,-3056546,-3007827,-4534911,-3746583,2235.00000000023,-8281494,-3303114,-11584608,2352,-11582256,-11582256,-11582256,-11582256,13934807,13934807,1263680,1263680,12750702,1900566,30932438,108850,102093965,898334,98753911,102202815,133135253,4018402,432207,3586195,4018402,391574111,15543407,463733351,467751753,214564845,-549181345,-334616500,-334616500,133135253,29790,-6852624,-1738869,-8561703,6477485.37759922,355115.195633882,-8561703,-8561703,-8561703,-4505121,72159240,-2.59444,-6.62625,0.03461,-0.087,7.6977,-1.39787,0.542,-0.14654,-0.14654,0.02211,-4.23356,-0.0897,-12.92406,-12.83916
"34","2018_Q3",6.90904761904762,"Up",2661216,-6370907,-2880394,-3312180,-3709690.99999999,-3699009,144152,-7408699.99999999,360285,-7048415.00000001,-2849,-7051263.99999999,-7051263.99999999,-7051263.99999999,-7051263.99999999,10581112,10581112,2128957,2128957,106757903,1389933,122376221,132574,5831830,898334,2491756,5964404,128340625,4701032,1412595,3288437,4701032,391676847,15113849,464957324,469658356,214914878,-556232609,-341317731,-341317731,128340625,4138.99999999999,-5927970,735918,-5187913,-27863,-12328,-5228104,-5228104,-5228104,-3705551.99999999,73280477,-1.39398,-2.64964,0.0206599999999997,-0.05494,26.03178,-1.37602,0.57098,-0.0891500000000002,-0.0891499999999997,0.0336500000000003,-4.31531,-0.0570299999999999,-16.92038,-16.90151
"35","2018_Q4",5.38920634920635,"Down",471075324,-7023903,-3114677,-3723198,368885150,-3919057,5067.00000000373,364966093,-2328674,362637419,25412995,388050414,388050414,388050414,388050414,103985265,103985265,1539538,1539538,5230294,1134925,113663346,117864,29946111,898334,1095199,30063975,143727321,5205709,894792,4310917,5205709,11633771,11633771,86047807,91253516,220656000,-168182195,52473805,52473805,143727321,14710,367178367,-280980939,86212138,0,-1443283,84768855,84768855,84768855,368899860,74414036,0.78307,0.82375,7.39513,2.69991,21.83436,1.73903,0.51774,4.80156,4.30693,5.82887,0.64929,2.80137,-0.08016,-0.08016
"36","2019_Q1",6.32360655737705,"Up",1569308,-7007755,-3828121,-2972978,-5541150,74827431,78789531,69286281.0000001,-1651121,67635160.0000001,-15244226,52390934,52390934,52390934,52390934,100652809,100652809,1959133,1959133,15769693,4317615,121289845,171274,81982622,898334,69350903,82153896,203443741,11337405,1688488,9648917,11337405,13644052,13644052,89191649,100529054,218705948,-115791261,102914687,102914687,203443741,20991,-6537118.99999994,2924928.99999994,-3591198.99999999,78264425,-2356950,72316276,72316276,72316276,-5520159,75547597,-3.53095,33.38474,0.50907,0.25752,10.6982,0.97682,0.37134,0.64887,0.634260000000001,0.0194400000000012,1.27461,0.27272,4.54791,4.53069
"37","2019_Q2",5.21825396825397,"Down",10459084,-7351763,-3166566,-3997281,2191954,-3192289,736128.999999985,-1000335,3136265,2135930,-506153,1629777,1629777,1629777,1629777,102085215,102085215,4099954,4099954,15336420,3875130,123538666,2987432,79913250,898334,67787209,82900682,206439348,12107341,2149605,9957736,12107341,11605927,11605927,88262438,100369779,220231053,-114161484,106069569,106069569,206439348,137724,517000,-645345,9379,-8951,-56590,-56162,-56162,-56162,2329678,76656511,0.20957,0.15582,0.01537,0.00789,10.20362,0.94626,0.37133,0.02014,0.01984,0.12926,1.3109,0.00839,-10.91512,-11.60093
"38","2019_Q3",5.0821875,"Down",3907611,-5612861,-3392228,-2038323,-1705250.00000001,-3233454,737577,-4938704,656523,-4282181,1119689,-3162492,-3162492,-3162492,-3162492,100263915,100263915,4128216,4128216,14752332,3503932,121534950,2859865,78697445,898334,65410587,81557310,203092260,11123209,1070926,10052283,11123209,10736836,10736836,88514584,99637793,220778443,-117323976,103454467,103454467,203092260,127565,-3311205,-1164172,-4347812,3,-4.65661287307739e-10,-4347809,-4347809,-4347809,-1577685,77777748,-0.43639,-0.809320000000002,-0.0305700000000001,-0.0155699999999999,10.92625,0.96311,0.38297,-0.03905,-0.03851,0.0482499999999998,1.27742,-0.01647,14.25263,13.18643
"39","2019_Q4",4.79890625,"Down",8111324,-6713472,-3196371,-3343521,660578,-3212070,759882,-2551492,981923,-1569569,363742,-1205827,-1205827,-1205827,-1205827,78095231,78095231,3217701,3217701,13377639,2324439,98621732,2749758,101639947,898334,87942553,104389705,203011437,11795874,2251814,9544060,11795874,9437740,9437740,88349047,100144921,221396319,-118529803,102866516,102866516,203011437,130251,-703631,971810,398430,-20144,-143220,235066,235066,235066,790829,78911307,0.08144,-0.14866,-0.01172,-0.00594,8.3607,0.97354,0.3887,-0.01487,-0.01467,0.10006,1.26892,-0.00631,1.03192,1.2354
