"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",22.8266129032258,"Up",325514000,-239004000,86510000,-65305000,-31637000,-8192000,-25476000,21205000,-342000,20863000,20863000,-7038000,13825000,13825000,-794000,13031000,13031000,25353000,25353000,37317000,33072000,21419000,21581000,7444000,5728000,105670000,185596000,121213000,78971000,42242000,306809000,412479000,97315000,34072000,10217000,53026000,97315000,5e+07,47358000,10508000,28831000,97358000,194673000,278182000,-416133000,343471000,2856000,208376000,9430000,217806000,412479000,13825000,13825000,8192000,2129000,5465000,-5943000,-1721000,1693000,11436000,29611000,-11379000,-11379000,-1847000,-13373000,0,-24419000,999000,-230000,-24649000,-8411000,-8411000,139000,-8272000,29397000,5e+07,30521000,0.26576,0.06514,0.04003,0.05983,0.03159,2.34218,1.08586,0.89379,0.12122,0.56004,0.54934,13.98977,8.95548,1.31172,9,0.04135,0.09684,0.83842,1.16232
"12","2013_Q1",25.0466666666667,"Up",367284000,-323085000,44199000,-17180000,-38399000,-8575000,29794000,27019000,-473000,26546000,26546000,-8137000,18409000,18409000,-1050000,17359000,17359000,16396000,16396000,48162000,48162000,22178000,31890000,12782000,8829000,118626000,196661000,123121000,78958000,44163000,319782000,438408000,103581000,32624000,10429000,60528000,103581000,88258000,58675000,10672000,40674000,146933000,250514000,281276000,-458047000,356461000,1824000,181514000,6380000,187894000,438408000,18409000,18409000,8575000,2613000,-19991000,-12030000,-759000,-1448000,-5754000.00000001,9606000,-16203000,-16203000,102000,-16261000,38258000,-41084000,865000,519000,-2307000,-8962000,-8962000,4999.99999999994,-8957000,35594000,88258000,7537000,0.12034,0.07356,0.04726,0.09239,0.0396,0.43418,1.14525,1.33327,0.20131,0.14886,0.1459,3.14968,1.55659,0.06463,5,0.05184,0.02251,2.01894,2.65968
"13","2013_Q2",28.0225,"Up",355604000,-232240000,123364000,-93739000,-34343000,-8537000,-50859000,29625000,672000,30297000,30297000,-9978000,20319000,20319000,-1013000,19306000,19306000,24551000,24551000,47973000,44792000,23922000,24744000,9544000,7625000,121190000,198559000,123536000,78065000,45471000,322095000,443285000,97467000,32218000,11672000,53577000,97467000,108911000,57907000,9689000,41326000,166818000,264285000,284893000,-488990000,375767000,1036000,172706000,6294000,1.79e+08,443285000,20319000,20319000,8537000,3998000,-2940000,-627000,-1744000,-406000,-163000,29914000,-13248000,-13248000,487000,-12761000,20652000,-29418000,2704000,-239000,-9005000,8148000,8148000,7000,8155000,38162000,108911000,31952000,0.34691,0.08331,0.05429,0.10785,0.04355,1.65503,1.2434,1.47645,0.24569,0.43373,0.42327,7.98895,3.87999,0.71783,5,0.05583,0.0924,2.21058,2.84759
"14","2013_Q3",30.33921875,"Up",349186000,-228386000,120800000,-93852000,-34723000,-8530000,-50599000,26948000,-340000,26608000,26608000,-8563000,18045000,18045000,-895000,17150000,17150000,28236000,28236000,46675000,43235000,21722000,26301000,10782000,7804000,122934000,201942000,124602000,78088000,46514000,326544000,449478000,82085000,28728000,1407000,51950000,82085000,133241000,59549000,11955000,40858000,192790000,274875000,288587000,-514533000,392917000,786000,167757000,6846000,174603000,449478000,18045000,18045000,8530000,5713000,-14970000,1123000,2200000,-3490000,-14803000,17318000,-12245000,-12245000,-363000,-12608000,24331000,-25692000,992000,433000,-927999.999999996,3782000,3782000,-97000,3685000,35478000,133241000,16826000,0.34595,0.07717,0.04911,0.09822,0.03816,0.98111,1.49764,1.57429,0.29643,0.3944,0.38539,8.03022,3.8579,0.38695,7,0.04668,0.0458,2.95972,3.89658
"15","2013_Q4",35.24,"Up",346342000,-230554000,115788000,-94340000,-33040000,-8605000,-52695000,21448000,-185000,21263000,21263000,-6385000,14878000,14878000,-602000,14276000,14276000,13689000,13689000,53148000,47642000,22918000,29532000,12373000,7896000,119287000,207415000,124737000,79024000,45713000,332152000,451439000,95191000,34081000,5918000,55192000,95191000,1.2e+08,59804000,12471000,41118000,179804000,274995000,291261000,-524817000,401352000,1700000,169496000,6948000,176444000,451439000,14878000,14878000,8605000,1207000,2911000,-5162000,-1196000,5353000,3916000,27601000,-13044000,-13044000,57000,-12987000,-13241000,-9834000,497000,-799000,-29288000,-14674000,-14674000,127000,-14547000,30053000,1.2e+08,26305000,0.33432,0.06193,0.04122,0.08091,0.03162,1.8426,1.25313,1.55854,0.26582,0.3306,0.32322,8.02052,3.92515,0.60917,6,0.05527,0.07384,3.53745,4.95669
"16","2014_Q1",43.7088524590164,"Up",387890000,-408724000,-20834000,49316000,-38795000,-9433000,97544000,28482000,-541000,27941000,27941000,-8204000,19737000,19737000,-932000,18805000,17765000,13670000,13670000,56485000,56485000,23035000,31850000,14336000,9510000,125040000,212097000,127154000,79391000,47763000,339251000,464291000,97861000,35653000,4401000,57807000,97861000,157900000,63322000,14660000,42835000,221222000,319083000,137980000,-44066000,41297000,2463000,137674000,7534000,145208000,464291000,19737000,19737000,9433000,7027000,-9670000,-6392000,-117000,1572000,-4732999.99999999,26527000,-12213000,-12213000,1131000,-11082000,37900000,-46760000,2672000,-1251000,-15494000,-49000,-49000,30000,-18999.9999999963,37915000,157900000,24236000,-0.0537099999999999,0.07343,0.0458,0.12234,0.03826,1.36426,1.27773,2.19742,0.34009,0.41928,0.41612,9.15483,3.24933,0.57201,5,0.06317,0.06614,3.80404,5.0639
"17","2014_Q2",39.4455555555556,"Down",401377000,-306827000,94550000,-62548000,-38499000,-9164000,-14885000,32002000,-592000,31410000,31410000,-10869000,20541000,20541000,-1230000,19311000,19166000,14388000,14388000,59507000,53682000,27767000,27677000,12417000,9430000,129339000,213427000,125833000,79430000,46403000,339260000,468599000,93887000,34342000,7669000,51876000,93887000,177167000,63271000,13729000,43589000,240438000,334325000,139722000,-71521000,55384000,2415000,1.26e+08,8274000,134274000,468599000,20541000,20541000,9164000,4715000,-7742000,-854000,-3210000,-1311000,-2367000,26678000,-11137000,-11137000,-587000,-11724000,19267000,-29811000,2989000,1590000,-14194000,760000,760000,-42000,718000,41166000,177167000,33156000,0.23556,0.07973,0.04775,0.14274,0.0409,1.72994,1.3776,2.48987,0.37808,0.45876,0.44889,9.60738,3.01594,0.79362,6,0.06513,0.08848,3.95421,5.08653
"18","2014_Q3",36.49734375,"Down",380864000,-267956000,112908000,-85909000,-35526000,-9855000,-40528000,26999000,-763000,26236000,26236000,-8397000,17839000,17839000,-1091000,16748000,16636000,19971000,19971000,54239000,48377000,31895000,31475000,14156000,9646000,137580000,218448000,129172000,82106000,47066000,347620000,485200000,94011000,33719000,5824000,54468000,94011000,2.1e+08,64151000,12928000,45644000,274151000,368162000,140137000,-101830000,66944000,2765000,108016000,9022000,117038000,485200000,17839000,17839000,9855000,511000,-318000.000000001,4254000,-4085000,-623000,136000,27887000,-15102000,-15102000,-172000,-18453000,32833000,-30132000,372000,-1405000,-3868000,5566000,5566000,17000,5583000,36854000,2.1e+08,29831000,0.29645,0.07089,0.04368,0.14214,0.03429,1.79316,1.46345,3.14566,0.43281,0.40355,0.3964,9.23889,2.62022,0.72363,4,0.05573,0.07626,5.15627,7.03837
"19","2014_Q4",43.76125,"Up",390399000,-278480000,111919000,-86733000,-36814000,-10520000,-39399000,25186000,-968000,24218000,24218000,-7256000,16962000,16962000,-887000,16075000,15956000,17148000,17148000,63326000,57262000,34428000,28620000,11881000,9815000,143522000,218453000,130206000,82689000,47517000,348659000,492181000,97976000,34273000,10837000,52866000,97976000,224684000,56671000,12604000,39180000,281355000,379331000,144454000,-132545000,77268000,2173000,91350000,21500000,112850000,492181000,16962000,16962000,10520000,5556000,-2777000,-10261000,-2497000,554000,9427000,30261000,-11461000,-11461000,-1066000,-13612000,14684000,-29457000,1391000,1077000,-19411000,-2762000,-2762000,-61000,-2823000,35706000,224684000,28724000,0.28668,0.06451,0.04087,0.14139,0.03242,1.8002,1.46487,3.36137,0.45651,0.39164,0.38542,9.58222,2.24216,0.70502,7,0.05497,0.07287,5.81236,8.24013
"20","2015_Q1",55.8086885245902,"Up",425509000,281205000,706714000,-672292000,-36971000,-10426000,-624895000,34422000,-1052000,33370000,32391000,-10036000,22355000,22355000,-1174000,21181000,21111000,20122000,20122000,62039000,62039000,27394000,38205000,18736000,9942000,147760000,219457000,137338000,82007000,51417000,356795000,504555000,106762000,38832000,9637000,58293000,106762000,230451000,60072000,13940000,41875000,290523000,397285000,148345000,-155659000,92876000,671000,86233000,21037000,107270000,504555000,22355000,22355000,10426000,8885000,-3860000,1120000,6954000,4551000,-16485000,37806000,-10955000,-10955000,-181000,-11245000,5767000,-22163000,1085000,-1438000,-23450000,3111000,3111000,-137000,2974000,44848000,230451000,40069000,1.66087,0.0809,0.04961,0.1968,0.04184,1.89802,1.38401,3.7036,0.45674,0.52651,0.51731,10.61226,2.15066,0.99933,8,0.06719,0.10073,4.68982,6.11031
"21","2015_Q2",59.897619047619,"Up",432284000,-325371000,106913000,-69268000,-43749000,-10041000,-15478000,37645000,-1209000,36436000,36436000,-12197000,24239000,24239000,-2003000,22236000,22206000,23524000,23524000,62290000,56187000,26354000,37318000,15982000,10132000,149486000,216080000,136411000,81421000,51076000,352491000,501977000,100334000,35009000,9804000,55521000,100334000,2.31e+08,68544000,20508000,44130000,299544000,399878000,149416000,-177216000,109616000,-982000,80834000,21265000,102099000,501977000,24239000,24239000,10041000,4067000,1902000,-1312000,1043000,-3828000,5999000,40249000,-7558000,-7558000,597000,-7302000,549000,-22555000,2210000,-1918000,-29469000,3478000,3478000,-76000,3402000,47686000,2.31e+08,54227000,0.24732,0.08708,0.05137,0.21749,0.04424,2.442,1.48988,3.91657,0.46018,0.55756,0.54816,10.85404,2.02963,1.36156,8,0.06909,0.13501,4.35088,5.51138
"22","2015_Q3",64.77796875,"Up",398991000,-298562000,100429000,-69433000,-43047000,-10136000,-16250000,30996000,-1187000,29809000,17531000,-5063000,12468000,12468000,-1688000,10780000,10803000,22447000,22447000,59505000,53083000,23848000,47392000,17737000,9535000,153192000,215208000,134642000,82291000,48814000,349850000,503042000,117899000,35029000,9709000,73161000,117899000,2.34e+08,65980000,19792000,42262000,299980000,417879000,153006000,-204309000,114908000,639000,64244000,20919000,85163000,503042000,12468000,12468000,10136000,724000,14405000,2994000,2431000,-48999.9999999991,9029000,37733000,-8943000,-8943000,967000,-8126000,3e+06,-25613000,1705000,-2596000,-30747000,-1140000,-1140000,63000,-1077000,41132000,2.34e+08,51657000,0.25171,0.07769,0.02708,0.12685,0.02148,4.78173,1.29935,4.90681,0.46517,0.27211,0.26856,10.0499,1.6182,1.30115,4,0.04243,0.13412,5.14327,6.82517
"23","2015_Q4",55.70765625,"Down",389284000,-297245000,92039000,-64602000,-37660000,-10461000,-16481000,27437000,-1180000,26257000,26257000,-7281000,18976000,18976000,-1005000,17971000,17947000,24441000,24441000,64183000,56445000,24335000,45717000,15914000,9462000,158676000,209137000,126804000,79913000,43870000,335941000,494617000,124120000,35546000,10012000,78562000,124120000,2.39e+08,61912000,14251000,44034000,300912000,425032000,155607000,-232032000,126045000,-1305000,48315000,21270000,69585000,494617000,18976000,18976000,10461000,-1211000,13530000,-3676000,-1296000,497000,18005000,41756000,-10007000,-10007000,306000,-9701000,5e+06,-27429000,654000,-439000,-29735000,2320000,2320000,-326000,1994000,37898000,2.39e+08,48702000,0.23643,0.07048,0.0461,0.25791,0.03628,2.71366,1.27841,6.1081,0.4832,0.4556,0.44987,9.88231,1.22652,1.23634,5,0.06697,0.13145,5.66149,7.82006
"24","2016_Q1",47.573606557377,"Down",416816000,316972000,733788000,-693559000,-39170000,-9669000,-644720000,40229000,-1306000,38923000,38923000,-12642000,26281000,26281000,-1586000,24695000,24466000,21006000,21006000,70979000,70979000,21564000,39041000,20372000,9098000,152590000,214044000,127424000,79657000,45352000,341468000,494058000,132937000,43492000,8527000,80918000,132937000,255146000,55406000,4610000,47606000,310552000,443489000,158785000,-271557000,143789000,-1836000,29181000,21388000,50569000,494058000,26281000,26281000,9669000,5462000,9313000,-7185000,2789000,8184000,5525000,50725000,-12464000,-12464000,-928000,-13823000,1.7e+07,-38999000,628000,-11434000,-40327000,-3425000,-3425000,-9999.99999999988,-3435000,49898000,255146000,59389000,1.76046,0.09652,0.0587,0.48381,0.04952,2.42741,1.14784,8.76997999999999,0.51643,0.62875,0.62144,10.71176,0.74992,1.52624,6,0.08684,0.16446,4.69237,5.82018
"25","2016_Q2",55.3690625,"Up",428595000,-161310000,267285000,-224387000,-40247000,-9744000,-174396000,42898000,-1489000,41409000,41409000,-13358000,28051000,28051000,-1869000,26182000,26292000,17272000,17272000,63732000,56683000,22267000,37052000,18450000,9460000,140323000,213296000,137360000,87740000,47579000,350656000,490979000,104966000,33582000,8805000,62579000,104966000,316717000,66103000,9394000,52862000,382820000,487786000,157614000,-334828000,163564000,-5213000,-18863000,22056000,3193000,490979000,28051000,28051000,9744000,10630000,-14572000,6457000,-612000,-10007000,-10410000,33853000,-10249000,-10249000,517000,-20934000,61500000,-65111000,922000,-6356000,-16595000,-3676000,-3676000,-58000,-3734000,52642000,316717000,41179000,0.62363,0.10009,0.06134,8.23426,0.05355,1.56622,1.33684,152.7673,0.64507,0.69315,0.68653,11.29933,-0.4973,1.08563,6,0.08528,0.10668,5.68833,6.9804
"26","2016_Q3",67.94390625,"Up",422964000,-163469000,259495000,-222664000,-42623000,-10031000,-170010000,36831000,-1631000,35200000,35200000,-11088000,24112000,24112000,-1571000,22541000,22729000,15266000,15266000,61072000,56357000,22531000,35556000,17841000,8148000,134425000,217528000,135270000,87266000,46291000,352798000,487223000,116046000,34928000,12231000,68887000,116046000,316484000,63986000,2002000,58019000,380470000,496516000,162289000,-364742000,179882000,-7850000,-30421000,21128000,-9293000,487223000,24112000,24112000,10031000,179000,11438000,223000.000000002,-265000,1353000,10127000,45760000,-13752000,-13752000,3400000,-10352000,-125000,-28432000,1890000,-2284000,-37343000,-1935000,-1935000,-71000,-2006000,46862000,316484000,55636000,0.61352,0.08708,0.05374,-2.44582,0.04665,2.4478,1.15838,-53.42903,0.64957,0.61095,0.60593,11.36908,-0.8177,1.49547,7,0.07875,0.14989,6.42777,8.17838
"27","2016_Q4",75.6739682539683,"Up",422442000,-161750000,260692000,-227309000,-40549000,-10614000,-176146000,33383000,-1756000,31627000,31627000,-8977000,22650000,22650000,-1183000,21467000,21223000,19107000,19107000,63315000,59046000,24328000,33702000,15633000,8584000,140452000,221809000,136527000,86570000,48529000,358336000,498788000,122859000,37302000,11909000,73648000,122859000,311570000,67148000,2215000,61161000,378718000,501577000,168066000,-377481000,193798000,-9011000,-24628000,21839000,-2789000,498788000,22650000,22650000,10614000,4646000,3933000,-2813000,-1796000,2364000,6178000,41843000,-14953000,-14953000,509000,-14444000,-5e+06,-10487000,2565000,-708000,-23588000,3811000,3811000,30000,3841000,43997000,311570000,41954000,0.61711,0.07902,0.05024,-7.60954,0.04255,1.97682,1.1432,-179.84116,0.62465,0.57378,0.56855,11.42106,-0.66584,1.13426,7,0.07612,0.1116,6.64734,8.76084
