"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",2.92096774193548,"Up",20070000,-14788000,5282000,-2779000,-2742000,2503000,28000,13000,15000,2531000,2531000,-927000,1604000,1604000,1604000,1604000,245000.000000001,245000.000000001,13282000,20898000,2137000,18761000,34425000,797000,3919000,-3122000,8355000,5847000,1126000,77000,9152000,43577000,11856000,8310000,3546000,11955000,0,0,0,11955000,46214000,-7690000,-6902000,31622000,31622000,43577000,1604000,59000,843000,-1681000,825000,-206000,-206000,-6484000,-302000,-1184000,-6710000,-6091000,-6091000,-6091000,2562000,0,1602000,0.26318,0.12471,0.07992,0.05072,0.03681,0.99875,2.87955,0.37806,0,0.16341,0.1657,2.04462,3.22148,0.1632,0.66055,0.25577,0.05066,4.04239,-0.0956299999999999,-0.0978799999999991
"12","2013_Q1",3.0135,"Up",23611000,-17465000,6146000,-3136000,-3104000,3010000,-14000,-26000,12000,2996000,2912000,-1057000,1855000,1855000,1855000,1855000,340000,340000,10930000,23957000,2073000,21724000,35227000,738000,3808000,-3070000,8198000,5990000,1126000,77000,8936000,44163000,11351000,7376000,3189000,11351000,0,0,0,11351000,46336000,-7690000,-5834000,32812000,32812000,44163000,1855000,64000,452000,-1837000,534000,-439000,-439000,9.31322574615479e-10,0,0,-9.31322574615479e-10,95000.0000000009,95000.0000000009,95000.0000000009,3074000,2.27373675443232e-13,1855000,0.2603,0.12748,0.07857,0.05653,0.042,1,3.10343,0.34594,0,0.18875,0.18875,2.40242,3.33862,0.18875,0,0.05653,0.05653,8.88178419700125e-16,-0.11061,-0.11296
"13","2013_Q2",3.3346875,"Up",16613000,-12119000,4494000,-3170000,-2911000,1324000,-15000,-12000,-3000,1309000,1309000,-487000,822000,822000,822000,822000,2890000,2890000,15117000,17064000,1999000,14896000,35071000,681000,3827000,-3146000,8021000,5823000,1126000,77000,8702000,43773000,10789000,6459000,3544000,10789000,0,0,0,10789000,46527000,-7745000,-5798000,32984000,32984000,43773000,822000,76000,373000,2104000,3375000,-35000,-35000,-786000,-4000,-55000,-790000,2550000,2550000,2550000,1400000,0,3956000,0.27051,0.0797,0.04948,0.02492,0.01878,4.81265,3.25063,0.3271,0,0.08364,0.08354,1.69037,3.35613,0.40252,0.07998,0.04875,0.11994,0.9562,-2.06429,-2.18278
"14","2013_Q3",3.863125,"Up",20051000,-14324000,5727000,-3882000,-3584000,1845000,-17000,-5000,-12000,1828000,1828000,-686000,1142000,1142000,1142000,1142000,1778000,1778000,15033000,18883000,1350000,17015000,35694000,613000,3834000,-3221000,7822000,5637000,1126000,78000,8435000,44129000,10629000,5898000,3942000,10629000,1.13686837721616e-13,-1.13686837721616e-13,1.13686837721616e-13,10629000,46860000,-7913000,-5447000,33500000,33500000,44129000,1142000,75000,9000.00000000006,-1498000,-272000.000000001,-7000,-7000.00000000006,-789000,-66000,-168000,-833000,-1112000,-1112000,-1112000,1920000,0,1101000,0.28562,0.09202,0.05695,0.03409,0.02588,0.964100000000001,3.35817,0.31728,0,0.11596,0.1158,2.03605,3.40171,0.1118,0.08012,0.05764,0.03287,0.69089,-0.92604,-0.96369
"15","2013_Q4",4.37046875,"Up",20619000,-14665000,5954000,-3095000,-2951000,2859000,10000,-3000,13000,2869000,2869000,-1090000,1779000,1779000,1779000,1779000,3771000,3771000,17240000,20141000,2347000,17274000,41152000,577000,3872000,-3295000,7671000,5443000,1126000,78000,8248000,49400000,14815000,9619000,4407000,14815000,0,0,0,14815000,47061000,-8021000,-4455000,34585000,34585000,49400000,1779000,74000,280000,721000,2854000,-38000,-38000,-787000,-56000,-108000,-823000,1993000,1993000,1993000,2933000,0,4706000,0.28876,0.13866,0.08628,0.05144,0.03601,2.64531,2.77773,0.42836,-1.05879118406788e-22,0.18044,0.18021,2.09139,3.50796,0.47733,0.07983,0.07419,0.13607,0.44238,-1.28571,-1.31899
"16","2014_Q1",4.73508196721312,"Up",24011000,-17652000,6359000,-3009000,-2843000,3350000,-10000,-8000,36000,3340000,3340000,-1312000,2028000,2028000,2028000,2028000,560000,560000,13607000,23902000,1391000,21712000,38069000,586000,3815000,-3229000,7560000,5248000,1126000,77000,8146000,46215000,10298000,5066000,4443000,10298000,66.0968489036422,66.0968489036444,66.0968489036422,10298000,47280000,-8147000,-3216000,35917000,35917000,46215000,2028000,74000,-54000,-4366000,-2318000,-81000,-81000,-788000,-24000,-126000,-812000,-3211000,-3211000,-3211000,3424000,0,288999.999999999,0.26484,0.13952,0.08446,0.05646,0.04388,0.1425,3.69674,0.28672,0,0.20574,0.20572,2.43593,3.64381,0.0293200000000001,0.07994,0.0784,0.00805,0.38856,-0.16355,-0.16716
"17","2014_Q2",4.83793650793651,"Up",15704000,-11422000,4282000,-3162000,-2970000,1120000,7000,2000,3000,1127000,1127000,-424000,703000,703000,703000,703000,6219000,6219000,18042000,17120000,967000,14799000,41381000,551000,3860000,-3309000,7123000,5054000,1126000,91000,7674000,49055000,12660000,7588000,4268000,12660000,0,0,0,12660000,47859000,-8147000,-3317000,36395000,36395000,49055000,703000,80000,111000,5589000,6483000,-45000,-45000,-789000,0,0,-779000,5659000,5659000,5659000,1200000,0,7168000,0.27267,0.07132,0.04477,0.01932,0.01433,10.1963,3.26864,0.34785,0,0.07041,0.0701,1.57276,3.64497,0.71788,0.07902,0.04099,0.19695,1.12233,-5.1825,-5.55268
"18","2014_Q3",4.53109375,"Down",20441000,-14595000,5846000,-4507000,-3398000,1339000,-18000,-3000,-1000,1321000,1321000,-491000,830000,830000,830000,830000,2203000,2203000,19055000,21240000,1087000,18944000,42498000,554000,3935000,-3381000,7144000,4871000,1126000,112000,7698000,50196000,13546000,7707000,5033000,13546000,0,0,0,13546000,48090000,-8147000,-3293000,36650000,36650000,50196000,830000,72000,357000,-4415000,-3156000,-75000,-75000,-804000,-7.27595761418343e-12,0,-785000,-4016000,-4016000,-4016000,1411000,0,-2588000,0.28599,0.06551,0.0406,0.02265,0.01654,-3.11807,3.13731,0.3696,0,0.08246,0.08215,2.0309,3.64133,-0.25713,0.07988,0.04458,-0.07061,0.96867,-1.5613,-1.64526
"19","2014_Q4",4.38,"Down",23743000,-17115000,6628000,-3356000,-3297000,3272000,-30000,-9000,-3000,3242000,3242000,-1196000,2046000,2046000,2046000,2046000,485000,485000,19301000,26059000,3156000,21831000,45845000,578000,4023000,-3445000,6676000,4689000,1126000,133000,7254000,53099000,15059000,9309000,4945000,15059000,0,0,0,15059000,48412000,-8320000,-2052000,38040000,38040000,53099000,2046000,79000,851000,-3709000,-733000,-103000,-103000,-806000,-115000,-173000,-882000,-1718000,-1718000,-1718000,3351000,0,735000,0.27916,0.13781,0.08617,0.05379,0.03853,0.35924,3.04436,0.39587,4.13590306276514e-25,0.20312,0.20265,2.35709,3.77643,0.07297,0.08002,0.07497,0.0193200000000001,0.39394,-0.14473,-0.14823
"20","2015_Q1",4.83459016393443,"Up",26090000,-19296000,6794000,-3305000,-3297000,3489000,-19000,-8000,8000,3470000,3470000,-1331000,2139000,2139000,2139000,2139000,1807000,1807000,15468000,25244000,1906000,22370000,42519000,528000,4056000,-3528000,6899000,4507000,1126000,133000,7427000,49946000,10374000,4472000,5097000,10374000,0,0,0,10374000,48681000,-8390000,-719000,39572000,39572000,49946000,2139000,83000,90999.9999999999,-141000,2172000,-33000,-33000,-806000,-12000,-70000,-817000,1322000,1322000,1322000,3572000,0,4729000,0.26041,0.13373,0.08199,0.05405,0.04283,2.21085,4.09861,0.26216,0,0.21252,0.21195,2.59215,3.93164,0.46985,0.08008,0.07442,0.1195,0.37681,-0.50588,-0.51791
"21","2015_Q2",4.90380952380952,"Up",17858000,-13077000,4781000,-3261000,-3261000,1520000,12000,7000,4000,1532000,1532000,-605000,927000,927000,927000,927000,8240000,8240000,18130000,18981000,1627000,16279000,45351000,505000,4112000,-3607000,6845000,4448000,1126000,134000,7350000,52701000,12891000,7460000,4625000,12891000,1.81898940354586e-12,9.09494701772928e-13,1.81898940354586e-12,12891000,49158000,-8750000,-598000,39810000,39810000,52701000,927000,79000,327000,6363000,7696000,-179000,-179000,-805000,-360000,-360000,-1084000,6433000,6433000,6433000,1599000,0,8388000,0.26772,0.08512,0.05191,0.02329,0.01759,9.04854,3.51804,0.32381,0,0.09217,0.09171,1.7755,3.95804,0.83396,0.08004,0.04351,0.2107,0.86839,-5.15322,-5.42105
"22","2015_Q3",4.933125,"Up",20716000,-15010000,5706000,-3108000,-3108000,2598000,-27000,-16000,-1000,2571000,2586000,-1021000,1565000,1565000,1565000,1565000,6139000,6139000,17564000,20029000,1185000,17918000,43732000,518000,4165000,-3647000,6311000,4259000,1126000,157000,6829000,50561000,10539000,6381000,3359000,10539000,0,0,0,10539000,49711000,-9857000,168000,40022000,40022000,50561000,1565000,78000,911000,-2999000,-444999.999999999,-76000,-76000,-806000,-960000,-1107000,-1580000,-2101000,-2101000,-2101000,2676000,0,622000,0.27544,0.12541,0.07555,0.0391,0.03095,0.397439999999998,4.14954,0.26333,0,0.15622,0.1556,2.06788,3.99501,0.06209,0.08046,0.05924,0.01554,0.51502,-2.2941,-2.36297
"23","2015_Q4",5.15515625,"Up",20691000,-14439000,6252000,-3182000,-3182000,3070000,-48000,6000,-1000,3022000,3022000,-879000,2143000,2143000,2143000,2143000,7549000,7549000,17513000,22128000,2427000,18186000,47190000,493000,4188000,-3695000,6117000,4071000,1126000,185000,6610000,53800000,12099000,6959000,4340000,12099000,140000,140000,140000,12239000,50132000,-10082000,1511000,41561000,41561000,53800000,2143000,78000,536000,-481000,2276000,-53000,-53000,-799000,-25000,-225000,-813000,1410000,1410000,1410000,3148000,0,3493000,0.30216,0.14837,0.10357,0.05156,0.03983,1.62996,3.90032,0.29448,-3.23117426778526e-27,0.21439,0.21381,2.06993,4.15776,0.34944,0.07993,0.07055,0.08376,0.37284,-2.39803,-2.45896
"24","2016_Q1",5.35131147540984,"Up",25077000,-18003000,7074000,-3474000,-3474000,3600000,19000,14000,5000,3619000,3604000,-1410000,2194000,2194000,2194000,2194000,7574000,7574000,14785000,23534000,1689000,20796000,45893000,433000,4173000,-3740000,6089000,3882000,1126000,193000,6522000,52415000,12185000,4640000,4242000,12185000,211000,211000,211000,12396000,50846000,-11228000,401000,40019000,40019000,52415000,2194000,75000,236000,-1016000,1489000,107000,-16000,-801000,-647000,-1146000,-1448000,25000,25000,25000,3675000,-2.71050543121376e-20,4176000,0.28209,0.14356,0.08749,0.05482,0.04186,1.90337,3.76635,0.30975,0,0.21949,0.22021,2.5087,4.0035,0.41777,0.08013,0.07445,0.1038,0.36509,-2.06095,-2.10389
"25","2016_Q2",6.05421875,"Up",15599000,-11312000,4287000,-2839000,-2839000,1448000,42000,10000,1000,1490000,1490000,-387000,1103000,1103000,1103000,1103000,12448000,12448000,16783000,15103000,1406000,13697000,44334000,486000,4274000,-3788000,6705000,3693000,1126000,188000,7191000,51525000,10425000,5626000,4e+06,10425000,528000,528000,528000,10953000,51306000,-11439000,705000,40572000,40572000,51525000,1103000,48000,629000,6518000,8298000,-101000,-101000,-3303000,-20000,-211000,-3323000,4874000,4874000,4874000,1496000,0,8300000,0.27483,0.09283,0.07071,0.02719,0.02141,7.52493,4.25266,0.26996,-1.61558713389263e-27,0.11053,0.11002,1.56318,4.06574,0.83175,0.331,0.1072,0.20195,2.99456,-8.32086,-8.59669
"26","2016_Q3",6.4671875,"Up",15809000,-11500000,4309000,-2761000,-2761000,1548000,10000,11000,1000,1558000,1558000,-559000,999000,999000,999000,999000,10219000,10219000,15532000,16944000,1045000,15899000,42695000,491000,4325000,-3834000,6076000,3505000,1126000,187000,6567000,49262000,7810000,4687000,2321000,7810000,578000,578000,578000,8388000,51856000,-11884000,902000,40874000,40874000,49262000,999000,46000,824000,-3258000,-1389000,0,0,-799000,-40999.9999999999,-445000,-840000,-2229000,-2229000,-2229000,1594000,0,-1105000,0.27257,0.09792,0.06319,0.02444,0.02028,-1.10611,5.46671,0.20522,0,0.09979,0.09943,1.57916,4.08291,-0.11038,0.07981,0.04338,-0.02666,0.799799999999999,-6.41092,-6.60142
"27","2016_Q4",5.92650793650794,"Down",17262000,-11623000,5639000,-2576000,-2576000,3063000,25000,27000,1000,3088000,3088000,-1227000,1861000,1861000,1861000,1861000,14394000,14394000,16375000,17661000,3208000,14453000,48430000,473000,4345000,-3872000,5920000,3316000,1126000,210000,6393000,54823000,16113000,7633000,3664000,16113000,656000,656000,656000,16769000,52196000,-12089000,-2053000,38054000,38054000,54823000,1861000,44000,406000,2732000,5043000,-51000,-51000,-803000,-14000,-205000,-817000,4175000,4175000,4175000,3107000,0,7015000,0.32667,0.17744,0.10781,0.0489,0.03395,3.76948,3.00565,0.44066,-1.29246970711411e-26,0.18552,0.18521,1.72087,3.79364,0.69933,0.08005,0.06882,0.18122,0.43149,-4.63276,-4.69931
"28","2017_Q1",5.3841935483871,"Down",17308000,-12132000,5176000,-2535000,-2535000,2641000,19000,18000,1000,2660000,2660000,-1051000,1609000,1609000,1609000,1609000,7892000,7892000,15821000,17397000,1783000,15614000,41110000,441000,3680000,-3239000,5633000,3128000,1126000,139000,6074000,47184000,7573000,5149000,1621000,7573000,688000,688000,688000,8261000,52344000,-12175000,-1246000,38923000,38923000,47184000,1609000,40000,4e+05,-3612000,-1563000,-39000,-38999.9999999999,-4814000,-86000,-85999.9999999999,-4900000,-6502000,-6502000,-6502000,2681000,3.46944695195361e-18,81000,0.29905,0.15259,0.09296,0.04134,0.0341,0.0503399999999998,5.4285,0.21224,0,0.1604,0.1602,1.72545,3.88027,0.00807000000000024,0.47991,0.16215,0.00204,2.99192,-2.94368,-2.98826
"29","2017_Q2",5.31365079365079,"Down",13647000,-10045000,3602000,-2901000,-2901000,701000,20000,21000,1000,721000,721000,-203000,518000,518000,518000,518000,11903000,11903000,15558000,14888000,1802000,13086000,42349000,461000,3736000,-3275000,5405000,2939000,1126000,140000,5866000,48215000,8658000,5415000,2438000,8658000,718000,718000,718000,9376000,52603000,-12231000,-1533000,38839000,38839000,48215000,518000,36000,401000,3971000,4926000,-56000,-56000,-803000,-56000,-56000,-859000,4011000,4011000,4011000,737000,0,4855000,0.26394,0.05137,0.03796,0.01334,0.01074,9.37259,4.89131,0.24141,-2.06795153138257e-25,0.05157,0.05152,1.35872,3.86689,0.48337,0.07995,0.03339,0.12273,1.55019,-16.15061,-16.98003
"30","2017_Q3",4.39269841269841,"Down",16461000,-11439000,5022000,-3807000,-3807000,1215000,10000,10000,-2000,1225000,1225000,-5e+05,725000,725000,725000,725000,3242000,3242000,16771000,13873000,1056000,12817000,33886000,1511000,4846000,-3335000,13341000,5559000,6505000,139000,14852000,48738000,9095000,5395000,2893000,9095000,752000,752000,752000,9847000,52737000,-12231000,-1615000,38891000,38891000,48738000,725000,60000,471000,499000,1755000,-42000,-8767000,-804000,7.27595761418343e-12,0,-1649000,-8661000,-8661000,-8661000,1275000,5.55111512312578e-17,2232000,0.30508,0.07381,0.04404,0.01864,0.01488,3.07862,3.72578,0.25319,0,0.07197,0.07193,1.63401,3.86053,0.22156,0.07981,0.03857,0.0563,1.10897,-2.54275,-2.66831
"31","2017_Q4",4.53238095238095,"Up",17476000,-12207000,5269000,-3656000,-3656000,1613000,-35000,-36000,1000,1578000,1578000,-1047000,531000,531000,531000,531000,117000.000000001,117000.000000001,22844000,14869000,2105000,12764000,37830000,1871000,5293000,-3422000,15398000,7750000,6863000,130000,17269000,55099000,13087000,8902000,3378000,13087000,3267000,3267000,3267000,16354000,52866000,-12231000,-1890000,38745000,38745000,55099000,531000,87000,1005000,330000,1953000,-62000,-6582000,-807000,0,0,1504000,-3125000,-3125000,-3125000,1700000,0,3015000,0.3015,0.0923,0.03038,0.0137,0.00964,5.67797,2.89065,0.42209,0,0.05265,0.05262,1.7327,3.84146,0.29893,0.08001,0.03185,0.07177,1.51977,-0.0688199999999988,-0.07254
