"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",5.52951612903226,"Down",7242000,-4377000,2865000,-2231000,-2179000,-52000,634000,-14000,-14000,620000,619000,-12000,607000,607000,607000,607000,3609000,3609000,4242000,4242000,3488000,416000,279000,11755000,8471000,2357000,1050000,10828000,22583000,2749000,1956000,793000,64000,42000,42000,2855000,2286000,2302000,5157000,29019000,-11593000,17426000,17426000,22583000,607000,220000,201000,-984000,44000,-1988000,-1988000,-1988000,-19000,-20000,-19000,6000,6000,6000,854000,2350000,-2106000,0.39561,0.08754,0.08382,0.03483,0.02688,-3.46952,4.11734,0.29594,0.10406,0.11111,0.10917,1.32565,3.18982,-0.3855,0.03067,-0.10641,-1.47424,-1.9858
"12","2013_Q1",4.748,"Down",6775000,-4142000,2633000,-2100000,-2025000,-75000,533000,-17000,-17000,516000,506000,2082000,2588000,2588000,2588000,2588000,4364000,4364000,3766000,3766000,3688000,373000,263000,12191000,8835000,7561000,4132000,16396000,28587000,2724000,1852000,872000,128000,33000,33000,2885000,5454000,5475000,8360000,29186000,-8959000,20227000,20227000,28587000,2588000,228000,-1933000,322000,1205000,-602000,-602000,-602000,-3681000,3231000,3231000,755000,755000,755000,761000,5582000,-1601000,0.38863,0.07867,0.38199,0.12795,0.09053,-0.618619999999997,4.22565,0.41331,0.19526,0.47339,0.46681,1.23925,3.69984,-0.29285,0.10019,-0.06198,1.60053,2.28518
"13","2013_Q2",5.086875,"Up",6909000,-4057000,2852000,-2675000,-2560000,-115000,177000,-36000,-36000,141000,136000,-106000,30000,30000,30000,30000,3104000,3104000,3896000,3896000,4213000,761000,651000,11974000,10198000,6851000,3528000,17049000,29023000,2960000,2209000,751000,156000,29000,29000,3145000,5418000,5439000,8584000,29368000,-8929000,20439000,20439000,29023000,30000,240000,298000,-859000,-291000,-1611000,-1611000,-1611000,-967000,-8000,-2000,-1260000,-1260000,-1260000,417000,5574000,-1947000,0.41279,0.02562,0.00434,0.00147,0.00103,-64.9,3.80731,0.41998,0.19205,0.00549,0.00534,1.26446,3.74067,-0.35633,0.00115,-0.07479,5.92326,13.9548
"14","2013_Q3",5.89375,"Up",7299000,-4306000,2993000,-2611000,-2440000,-171000,382000,-26000,-26000,356000,335000,-229000,106000,106000,106000,106000,3279000,3279000,4038000,4038000,4480000,674000,564000,12471000,10930000,5913000,2819000,16843000,29314000,2877000,2124000,753000,199000,67000,67000,3143000,5354000,5373000,8516000,29621000,-8823000,20798000,20798000,29314000,106000,248000,487000,-377000,464000,-999000,-999000,-999000,-293000,-21000,4000,175000,175000,175000,630000,5553000,-517000,0.41006,0.05234,0.01452,0.00509999999999999,0.00362,-4.87736,3.96787,0.40946,0.18943,0.01936,0.0186100000000001,1.33291,3.79803,-0.09441,0.00402,-0.01961,3.60952,5.95288
"15","2013_Q4",5.0675,"Down",7438000,-4293000,3145000,-2805000,-2697000,-108000,340000,-28000,-28000,312000,293000,-257000,36000,36000,36000,36000,2510000,2510000,4502000,4502000,5230000,536000,426000,12778000,11366000,5728000,2694000,17094000,29872000,3268000,2437000,831000,202000,60000,60000,3530000,5303000,5321000,8851000,29808000,-8787000,21021000,21021000,29872000,36000,296000,274000,-737000,-131000,-752000,-752000,-752000,-593000,-49000,-45000,-769000,-769000,-769000,636000,5505000,-596000,0.42283,0.04571,0.00484,0.00171,0.00121,-16.55556,3.61983,0.42106,0.18429,0.00656,0.00636,1.35606,3.83245,-0.10866,0.00136,-0.02245,4.70912,8.80882
"16","2014_Q1",5.32377049180328,"Up",6532000,-4333000,2199000,-3262000,-3187000,-75000,-1063000,-28000,-28000,-1091000,-1092000,5e+05,-592000,-592000,-592000,-592000,4312000,4312000,2376000,2376000,5341000,555000,339000,12584000,11826000,5567000,2270000,17393000,29977000,3921000,3147000,774000,204000,30000,30000,4155000,5263000,5271000,9426000,30001000,-9450000,20551000,20551000,29977000,-592000,302000,-132000,2529000,2107000,-755000,-755000,-755000,-272000,-38000,-33000,1802000,1802000,1802000,-761000,5467000,513000,0.33665,-0.16274,-0.09063,-0.02881,-0.01975,-0.866550000000004,3.02864,0.45866,0.18237,-0.10789,-0.11974,1.19045,3.7454,0.09349,-0.02275,0.01971,-1.51774,-1.08655
"17","2014_Q2",4.87952380952381,"Down",7442000,-4474000,2968000,-4097000,-3981000,-116000,-1129000,-25000,-25000,-1154000,-1164000,751000,-413000,-413000,-413000,-413000,3393000,3393000,3064000,3064000,4818000,613000,397000,11888000,12417000,5872000,1997000,18289000,30177000,4063000,3284000,779000,210000,63000,63000,4336000,5206000,5214000,9550000,30194000,-9567000,20627000,20627000,30177000,-381000,303000,-503000,363000,-218000,-903000,-903000,-903000,-650000,-51000,-51000,-919000,-919000,-919000,-826000,5416000,-2117000,0.39882,-0.15171,-0.0555,-0.02002,-0.01369,5.12591,2.7417,0.46299,0.17947,-0.07526,-0.07526,1.35605,3.75856,-0.38575,-0.01585,-0.08126,-2.44915,-1.79185
"18","2014_Q3",4.68125,"Down",8128000,-4102000,4026000,-3737000,-3632000,-105000,289000,-24000,-24000,265000,262000,-167000,95000,95000,95000,95000,2858000,2858000,4185000,4185000,5312000,668000,452000,13023000,13232000,5513000,1963000,18745000,31768000,5276000,4244000,1032000,210000,34000,34000,5520000,5155000,5163000,10683000,30464000,-9379000,21085000,21085000,31768000,63000,279000,387000,-171000,558000,-1098000,-1098000,-1098000,-1074000,-51000,-19000,-535000,-535000,-535000,568000,5365000,-534000,0.49532,0.03556,0.01169,0.00451,0.00299,-5.62105,2.35924,0.50666,0.16888,0.01729,0.01729,1.47943,3.83782,-0.0972000000000001,0.00359,-0.02018,4.41373,8.67474
"19","2014_Q4",5.66078125,"Up",9691000,-4893000,4798000,-3457000,-3302000,-155000,1341000,-22000,-22000,1319000,1206000,-741000,465000,465000,465000,465000,2541000,2541000,3804000,3804000,6540000,622000,406000,13507000,13957000,4461000,1366000,18418000,31925000,4878000,3835000,1043000,209000,46000,46000,5133000,5103000,5110000,10243000,30757000,-9075000,21682000,21682000,31925000,465000,343000,1018000,-1580000,246000,-1183000,-1183000,-1183000,-653000,-51000,90000,-317000,-317000,-317000,1684000,5312000,-338000,0.4951,0.13838,0.04798,0.02145,0.01457,-0.72688,2.6314,0.47242,0.16639,0.08404,0.07586,1.75149,3.91867,-0.06109,0.01722,-0.01252,1.64549,2.06637
"20","2015_Q1",7.65180327868852,"Up",8548000,-5874000,2674000,-2853000,-2712000,-141000,-179000,-22000,-22000,-201000,-75000,-96000,-171000,-171000,-171000,-171000,2226000,2226000,3258000,3258000,5678000,632000,317000,11794000,14754000,4367000,1332000,19121000,30915000,4050000,2926000,1124000,234000,31000,31000,4315000,5109000,5117000,9432000,30957000,-9474000,21483000,21483000,30915000,-171000,318000,154000,321000,622000,-995000,-995000,-995000,-920000,-59000,-17000,-315000,-315000,-315000,139000,5343000,-439000,0.31282,-0.02094,-0.02,-0.00796,-0.00553,2.56725,2.73326,0.43904,0.17283,-0.03079,-0.0345,1.53935,3.86872,-0.07906,-0.00637,-0.01636,22.42446,-17.41341
"21","2015_Q2",9.33095238095238,"Up",7594000,-4670000,2924000,-3119000,-2942000,-177000,-195000,-24000,-24000,-219000,-219000,114000,-105000,-105000,-105000,-105000,1502000,1502000,3548000,3548000,5839000,716000,401000,11605000,15533000,4426000,1257000,19959000,31564000,4145000,3090000,1055000,733000,83000,83000,4961000,5053000,5061000,10022000,31121000,-9579000,21542000,21542000,31564000,-105000,313000,41000,-482000,-233000,-1092000,-1092000,-1092000,-934000,443000,443000,-724000,-724000,-724000,118000,5786000,-1570000,0.38504,-0.02568,-0.01383,-0.00487,-0.00333,14.95238,2.33925,0.46523,0.18331,-0.01887,-0.01887,1.3646,3.87098,-0.28212,-0.00384,-0.05743,36.30508,-21.96923
"22","2015_Q3",7.41078125,"Down",8516000,-5416000,3100000,-3268000,-3102000,-166000,-168000,-51000,-51000,-219000,-190000,204000,13999.9999999999,13999.9999999999,13999.9999999999,13999.9999999999,2062000,2062000,4226000,4226000,6169000,778000,463000,13235000,17534000,4151000,778000,21685000,34920000,5154000,3994000,1160000,560000,97000,97000,5811000,7335000,7342000,13153000,31333000,-9566000,21767000,21767000,34920000,14000,324000,-33000,63000,368000,-2122000,-2122000,-2122000,-1794000,1841000,1986000,560000,560000,560000,156000,7895000,-2107000,0.36402,-0.01973,0.00164,0.000640000000000003,4e-04,-150.5,2.27758,0.60426,0.22609,0.00251,0.00251000000000001,1.52973,3.91001,-0.37848,0.00047,-0.07102,37.39103,-34.72024
"23","2015_Q4",5.600625,"Down",7534000,-4450000,3084000,-2759000,-2627000,-132000,325000,-89000,-89000,236000,207000,-457000,-250000,-250000,-250000,-250000,1995000,1995000,3058000,3058000,7352000,934000,619000,13339000,17904000,3661000,794000,21565000,34904000,5231000,3910000,1321000,562000,130000,130000,5923000,7193000,7203000,13126000,31593000,-9815000,21778000,21778000,34904000,-250000,420000,813000,-13000,970000,-819000,-819000,-819000,-819000,-139000,-218000,-67000,-67000,-67000,745000,7755000,370000,0.40934,0.04314,-0.03318,-0.01148,-0.00716,-1.48,2.25207,0.60272,0.22218,-0.04467,-0.04467,1.34632,3.89171,0.06612,-0.00846,0.01252,7.73154,17.72308
"24","2016_Q1",4.8383606557377,"Down",8196000,-5438000,2758000,-3505000,-3347000,-158000,-747000,-118000,-118000,-865000,-865000,-3189000,-4054000,-4054000,-4054000,-4054000,1240000,1240000,2983000,2983000,7856000,576000,502000,12655000,17796000,696000,696000,18492000,31147000,5430000,4e+06,1430000,574000,117000,117000,6121000,7094000,7198000,13319000,31697000,-13869000,17828000,17828000,31147000,-4054000,463000,3392000,-161000,-360000,-270000,-270000,-270000,-270000,-134000,-125000,-755000,-755000,-755000,-284000,7668000,2474000,0.33651,-0.09114,-0.49463,-0.2274,-0.13016,-0.610260000000007,2.06747,0.74708,0.24619,-0.72445,-0.72445,1.46462,3.18585,0.4421,-0.15836,0.09664,-22.6338,-8.60509
"25","2016_Q2",5.10666666666667,"Up",7322000,-4501000,2821000,-3431000,-3265000,-166000,-610000,-132000,-132000,-742000,-742000,51000,-691000,-691000,-691000,-691000,1554000,1554000,2246000,2246000,8388000,678000,604000,12866000,17458000,4e+05,4e+05,17858000,30724000,5651000,3991000,1660000,1179000,65000,65000,6895000,6653000,6761000,13656000,31628000,-14560000,17068000,17068000,30724000,-691000,493000,94000,276000,172000,-170000,-170000,-170000,-170000,459000,312000,314000,314000,314000,-117000,7832000,-62000,0.38528,-0.08331,-0.09437,-0.04049,-0.02249,0.08973,1.86599,0.80009,0.25491,-0.12267,-0.12267,1.29984,3.03,-0.01101,-0.02763,-0.00248,-53.65812,-10.2918
"26","2016_Q3",4.26047619047619,"Down",9862000,-5977000,3885000,-3638000,-3486000,-152000,247000,-121000,-121000,126000,126000,-27000.0000000009,99000,99000,99000,99000,2055000,2055000,3053000,3053000,7459000,835000,761000,13402000,17145000,374000,374000,17519000,30921000,5687000,4184000,1503000,1216000,50000,50000,6953000,6549000,6661000,13614000,31769000,-14462000,17307000,17307000,30921000,99000,514000,136000,-10000,739000,-107000,-107000,-107000,-107000,-135000,-131000,501000,501000,501000,761000,7765000,671000,0.39394,0.02505,0.01004,0.00572000000000003,0.0032,6.77778,1.92751,0.78662,0.25112,0.0175,0.0175,1.74333,3.0594,0.11861,0.00392999999999998,0.02664,7.50329000000001,23.11741
"27","2016_Q4",3.89396825396825,"Down",7605000,-4748000,2857000,-3030000,-2887000,-143000,-173000,-150000,-150000,-323000,-323000,-27000,-350000,-350000,-350000,-350000,1662000,1662000,2467000,2467000,7671000,832000,758000,12632000,16867000,222000,222000,17089000,29721000,4944000,3548000,1396000,1225000,76000,76000,6245000,6400000,6517000,12762000,31770000,-14811000,16959000,16959000,29721000,-350000,482000,35000,-186000,-19000,-231000,-231000,-231000,-231000,-143000,-143000,-393000,-393000,-393000,309000,7625000,-81000,0.37567,-0.02275,-0.04602,-0.02064,-0.01178,0.23143,2.02274,0.75252,0.25655,-0.06174,-0.06174,1.34151,2.99153,-0.01429,-0.01417,-0.00328,19.29773,-34.46821
"28","2017_Q1",4.10806451612903,"Up",7253000,-4592000,2661000,-2807000,-2675000,-132000,-146000,-125000,-125000,-271000,-271000,-2000,-273000,-273000,-273000,-273000,1407000,1407000,2135000,2135000,7972000,722000,565000,12236000,16712000,213000,213000,16925000,29161000,4679000,3666000,1013000,1234000,119000,119000,6032000,6249000,6522000,12554000,31691000,-15084000,16607000,16607000,29161000,-273000,489000,97000.0000000001,15000,328000,-339000,-339000,-339000,-339000,-150000,-244000,-255000,-255000,-255000,343000,7483000,21000,0.36688,-0.02013,-0.03764,-0.01644,-0.00936,-0.0769199999999999,2.02851,0.75595,0.25661,-0.04812,-0.04812,1.27851,2.92738,0.00370000000000001,-0.01121,0.000860000000000001,17.71429,-41.61644
"29","2017_Q2",3.71222222222222,"Down",8809000,-5206000,3603000,-2983000,-2841000,-142000,620000,-108000,-108000,512000,512000,-11000,501000,501000,501000,501000,1299000,1299000,2619000,2619000,7981000,427000,427000,12326000,16289000,207000,207000,16496000,28822000,4275000,3132000,1143000,1124000,80000,80000,5479000,6105000,6204000,11683000,31722000,-14583000,17139000,17139000,28822000,501000,479000,46000,-816000,210000,-56000,-56000,-56000,-56000,-262000,-262000,-108000,-108000,-108000,1099000,7229000,238000,0.40901,0.07038,0.05687,0.02923,0.01738,0.47505,2.24968,0.68166,0.25082,0.08813,0.0876,1.54952,3.01478,0.04186,0.02048,0.00973,5.39581,9.56452
"30","2017_Q3",4.06825396825397,"Up",8055000,-4435000,3620000,-3001000,-2852000,-149000,619000,-133000,-133000,486000,486000,-10000,476000,476000,476000,476000,2102000,2102000,1541000,1541000,9315000,447000,447000,13405000,16023000,251000,251000,16274000,29679000,4485000,3473000,1012000,1126000,72000,72000,5683000,5959000,6069000,11752000,32034000,-14107000,17927000,17927000,29679000,476000,459000,359000,-113000,1181000,-225000,-225000,-225000,-225000,-155000,-153000,803000,803000,803000,1078000,7085000,750000,0.44941,0.07685,0.05909,0.02655,0.01604,1.57563,2.35879,0.65555,0.23872,0.08205,0.08254,1.38855,3.09033,0.12929,0.01895,0.02985,4.62245,8.05008
"31","2017_Q4",4.33888888888889,"Up",9150000,-4910000,4240000,-3130000,-2988000,-142000,1110000,-130000,-130000,980000,980000,126000,1106000,1106000,1106000,1106000,1763000,1763000,2926000,2926000,9702000,553000,553000,14944000,15945000,382000,382000,16327000,31271000,4935000,3590000,1345000,1156000,39000,39000,6130000,5948000,6056000,12186000,32086000,-13001000,19085000,19085000,31271000,1106000,465000,16000,-1510000,77000,-386000,-386000,-386000,-451000,11000,35000,-339000,-339000,-339000,1575000,7104000,-447000,0.46339,0.12131,0.12087,0.05795,0.03537,-0.40416,2.43785,0.63851,0.22718,0.18951,0.18951,1.56785,3.27022,-0.07659,0.04206,-0.017,3.39111,4.81171
"32","2018_Q1",4.66704918032787,"Up",8101000,-6193000,1908000,-2843000,-2713000,-130000,-935000,-128000,-128000,-1063000,-1063000,4999.99999999999,-1058000,-1058000,-1058000,-1058000,1329000,1329000,2664000,2664000,9034000,590000,590000,13617000,15734000,356000,356000,16090000,29707000,4419000,3527000,892000,1155000,133000,133000,5707000,5790000,5893000,11600000,32166000,-14059000,18107000,18107000,29707000,-1058000,474000,157000,449000,21999.9999999999,-338000,-338000,-338000,-273000,-167000,-118000,-369000,-369000,-369000,-461000,6945000,-355000,0.23553,-0.11542,-0.1306,-0.05843,-0.03561,0.33554,2.38602,0.64064,0.23378,-0.19188,-0.18235,1.46917,3.28382,-0.06438,-0.04206,-0.01411,-12.18221,-6.00642
"33","2018_Q2",4.2728125,"Down",7145000,-5309000,1836000,-3003000,-2795000,-208000,-1167000,-130000,-130000,-1297000,-1297000,22000,-1275000,-1275000,-1275000,-1275000,935000,935000,2804000,2804000,9487000,593000,593000,13819000,15432000,280000,280000,15712000,29531000,4735000,3735000,1e+06,1910000,3e+05,3e+05,6945000,5636000,5734000,12679000,32186000,-15334000,16852000,16852000,29531000,-1275000,475000,53000,-118000,-865000,-173000,-173000,-173000,-173000,593000,579000,-459000,-459000,-459000,-692000,7546000,-1005000,0.25696,-0.16333,-0.17845,-0.07566,-0.04317,0.78824,1.98978,0.75237,0.25553,-0.2204,-0.2204,1.23509,2.91305,-0.17373,-0.05205,-0.04103,-9.55347,-5.66495
"34","2018_Q3",3.70269841269841,"Down",6954000,-4669000,2285000,-3289000,-3078000,-211000,-1004000,-150000,-150000,-1154000,-1154000,18000,-1136000,-1136000,-1136000,-1136000,663000,663000,1882000,1882000,10439000,7e+05,7e+05,13684000,15122000,298000,298000,15420000,29104000,5106000,4295000,811000,2413000,83000,83000,7602000,5482000,5575000,13177000,32397000,-16470000,15927000,15927000,29104000,-1136000,475000,230000,-17000,-448000,-165000,-165000,-165000,-165000,340000,341000,-272000,-272000,-272000,-529000,7895000,-729000,0.32859,-0.14438,-0.16336,-0.07133,-0.03903,0.64173,1.80005,0.82734,0.27127,-0.19563,-0.19563,1.19752,2.74272,-0.12554,-0.0475,-0.03048,-13.67108,-7.20319
