"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",20.5621875,"Down",578387000,-481636000,96751000,-48868000,-42443000,-2702000,-3723000,47883000,-9022000,-10441000,1419000,38861000,31588000,-12199000,19389000,19389000,86000,19475000,19475000,508447000,508447000,329368000,329368000,378367000,107075000,74867000,1323257000,566549000,164543000,113934000,731092000,2054349000,210585000,210585000,230658000,128904000,128904000,570147000,634171000,161115000,61071000,100044000,795286000,1365433000,554488000,-16004000,180936000,-56577000,662843000,26073000,688916000,2054349000,19389000,19984000,8238000,-26331000,21280000,-21174000,-21393000,338072000,319385000,319272000,319272000,61000,319333000,67867000,864829000,32561000,0.16728,0.08279,0.03367,0.02827,0.00948,1.67194,2.3209,1.982,0.42097,0.37585,0.32653,11.16232,12.79225,0.6284,0.0115,0.01899,5.25118,7.44277
"12","2013_Q3",16.18078125,"Down",593291000,-506636000,86655000,-49749000,-43653000,-2801000,-3295000,36906000,-15498000,-13069000,-2429000,21408000,43859000,-21003000,22856000,22856000,361000,23217000,23217000,424387000,424387000,335854000,335854000,368963000,117765000,87557000,1246969000,554154000,143424000,113515000,697578000,1944547000,211878000,211878000,105110000,134172000,134172000,451160000,638846000,153823000,50305000,103518000,792669000,1243829000,556455000,-15873000,215564000,-78182000,677964000,22754000,700718000,1944547000,22856000,20047000,23571000,-1143999.99999999,65330000,-14894000,-21305000,-122684000,-123251000,-79226000,-79226000,-4834000,-84060000,56953000,743956000,61918000,0.14606,0.06221,0.03913,0.03313,0.01194,2.66693,2.76392,1.77508,0.38259,0.4345,0.39018,11.10325,12.68788,1.15878,0.01469,0.03874,5.6111,8.659
"13","2013_Q4",15.6940625,"Down",497510000,-435004000,62506000,-45451000,-38731000,-2778000,-3942000,17055000,-3692000,-12414000,8722000,13363000,13363000,-5711000,7652000,7652000,441000,8093000,8093000,447456000,447456000,290247000,290247000,375893000,130425000,97292000,1244021000,561706000,142034000,112259000,703740000,1947761000,195123000,195123000,104884000,153476000,153476000,453483000,637388000,145848000,47216000,98632000,783236000,1236719000,557467000,-15769000,223389000,-76715000,688372000,22670000,711042000,1947761000,7652000,16302000,-15954000,37579000,45579000,-18888000,-17724000,-6235000,-6552000,21303000,21303000,1766000,23069000,33357000,742272000,57759000,0.12564,0.03428,0.01627,0.01138,0.00416,7.13691,2.74326,1.73931,0.38109,0.15141,0.13627,9.30795,12.8788,1.08062,0.00523,0.03612,8.8382,17.28619
"14","2014_Q1",17.616393442623,"Up",494407000,-445129000,49278000,-48727000,-42544000,-2884000,-3299000,551000.000000002,-11893000,-11196000,4223000,-11342000,-34076000,13866000,-20210000,-20210000,4630000,-15580000,-15580000,189360000,189360000,263053000,263053000,384920000,170545000,114346000,1007878000,638807000,174546000,129699000,813353000,1821231000,176719000,176719000,75061000,134791000,134791000,386571000,497694000,138930000,60985000,77945000,636624000,1023195000,558637000,-15586000,207541000,-62869000,687723000,110313000,798036000,1821231000,-20210000,24289000,26863000,-46257000,-15315000,-25175000,-132882000,-179530000,-106902000,-255099000,-255099000,-2997000,-258096000,24840000,572755000,-60458000,0.09967,0.00111,-0.03151,-0.01952,-0.00855,3.88049,2.60723,1.28214,0.31449,-0.29145,-0.26162,9.24886,12.86522,-1.13099,-0.01014,-0.04005,15.43458,695.8167
"15","2014_Q2",16.4371428571429,"Down",538940000,-484390000,54550000,-54286000,-46835000,-3710000,-3741000,264000,-8743000,-9259000,516000,-8479000,-8479000,3351000,-5128000,-5128000,7291000,2163000,2163000,200094000,200094000,328027000,328027000,394550000,130195000,86346000,1052866000,628807000,176825000,133571000,805632000,1858498000,213464000,213464000,78022000,151850000,148570000,443336000,498774000,134264000,57406000,76858000,633038000,1076374000,559575000,-15494000,209436000,-57966000,695551000,86573000,782124000,1858498000,-5128000,23275000,-3873000,3717000,17991000,-16754000,-11964000,2697000,2414000,8441000,8441000,2293000,10734000,23539000,576796000,7151000,0.10122,0.00049,0.00401,0.00277,0.00116,3.30606,2.37487,1.37622,0.31036,0.04045,0.04022,10.0793,13.00825,0.13374,0.00163,0.00479,16.00331,1426.90152
"16","2014_Q3",14.38265625,"Down",523731000,-505531000,18200000,-47667000,-39876000,-3961000,-3830000,-29467000,-2591000,-8926000,6335000,-32058000,-32058000,7167000,-24891000,-24891000,4380000,-20511000,-20511000,162954000,162954000,302504000,302504000,386700000,122259000,80552000,974417000,604017000,184076000,134340000,788093000,1762510000,200548000,200548000,26498000,143547000,139463000,370593000,501468000,124833000,48706000,76127000,626301000,996894000,560916000,-15343000,188657000,-53489000,680741000,84875000,765616000,1762510000,-24891000,23540000,22921000,3494000,25064000,-14129000,-14805000,-49873000,-50063000,-39804000,-39804000,2664000,-37140000,-5927000,527966000,-23729000,0.03475,-0.05626,-0.03916,-0.02679,-0.01164,1.15689,2.62935,1.30208,0.29955,-0.38348,-0.38348,9.79193,12.72746,-0.44365,-0.01427,-0.01673,-61.58461,-12.3871400000003
"17","2014_Q4",10.10265625,"Down",449579000,-405940000,43639000,-46153000,-39231000,-3247000,-3675000,-2514000,-19630000,-8951000,620000,-22144000,-22144000,5127000,-17017000,-17017000,7950000,-9067000,-9067000,180271000,180271000,248331000,248331000,375267000,133260000,91447000,937129000,566643000,169180000,126351000,735823000,1672952000,169439000,169439000,24768000,141607000,137849000,335814000,501276000,126475000,44712000,81763000,627751000,963565000,562014000,-15253000,179322000,-84569000,641514000,67873000,709387000,1672952000,-17017000,20974000,4251000,26084000,34292000,-15446000,-14077000,1731000,1457000,21672000,21672000,-4355000,17317000,18460000,526044000,23971000,0.09707,-0.00559,-0.02017,-0.01278,-0.00542,-2.64376,2.79062,1.35831,0.31444,-0.16949,-0.16949,8.40382,11.99159,0.44808,-0.00646,0.0176,18.73093,-137.53898
"18","2015_Q1",9.55262295081967,"Down",383277000,-359023000,24254000,-53591000,-47672000,-3087000,-2832000,-29337000,-23655000,-9428000,6187000,-52992000,-89563000,6174000,-83389000,-83389000,30343000,-53046000,-102323000,201451000,201451000,199378000,199378000,331432000,103669000,80234000,835930000,527414000,132380000,116757000,659794000,1495724000,146305000,146305000,26233000,129018000,129018000,301556000,496503000,107607000,18582000,89025000,604110000,905666000,513090000,-13897000,126007000,-113705000,511495000,78563000,590058000,1495724000,-83389000,20915000,43904000,59043000,40473000,-12110000,-15424000,808000,-82000,24967000,24967000,-3787000,21180000,-8422000,522736000,32337000,0.06328,-0.07654,-0.26697,-0.17341,-0.06841,-0.31603,2.77206,1.53488,0.34949,-1.91133,-1.92224,7.15937,9.5544,0.60403,-0.08362,0.0265,-38.1483,-10.95153
"19","2015_Q2",10.361746031746,"Up",402059000,-359265000,42794000,-41985000,-35674000,-3086000,-3225000,809000,-473000,-8756000,2317000,336000,336000,-1396000,-1060000,-1060000,1292000,232000,-2698000,190551000,190551000,239468000,239468000,307318000,96267000,74092000,833604000,482593000,126278000,111781000,608871000,1442475000,152923000,152923000,29753000,134409000,134409000,317085000,493768000,88237000,5148000,83089000,582005000,899090000,510110000,-13772000,125970000,-157335000,464973000,78412000,543385000,1442475000,-1060000,18480000,1296000,-25683000,-6967000,-11419000,-9085000,9646000,8989000,-7063000,-7063000,-3837000,-10900000,19289000,523521000,-16417000,0.10644,0.00201,-0.00671,-0.00497,-0.00187,6.08488,2.62896,1.65461,0.36293,-0.05028,-0.05028,7.49229,8.66469,-0.30593,-0.0021,-0.01421,17.26217,411.5822
"20","2015_Q3",8.555625,"Down",376067000,-325014000,51053000,-43522000,-37848000,-2779000,-2895000,7531000,-1736000,-8642000,3259000,5795000,5795000,-1515000,4279999.99999999,4279999.99999999,2491000,6771000.00000001,9351000,187484000,187484000,224689000,224689000,306087000,88758000,74786000,807018000,483407000,129989000,111686000,613396000,1420414000,135758000,135758000,25068000,121967000,121967000,282793000,495273000,87854000,3524000,84330000,583127000,865920000,513600000,-13508000,132472000,-151998000,480566000,73928000,554494000,1420414000,4279999.99999999,18124000,4649000,-12244000,14809000,-11086000,-10712000,-4924000,-5199000,-1102000,-1102000,-1965000,-3067000,25655000,520341000,3840000,0.13576,0.02003,0.0248699999999999,0.01686,0.00657999999999999,0.41065,2.85374,1.56164,0.36633,0.17418,0.15719,7.00494,8.95142,0.07153,0.00827,0.0033,12.97435,44.1982500000001
"21","2015_Q4",5.38984375,"Down",308836000,-282683000,26153000,-40615000,-35512000,-2982000,-2121000,-14462000,-22867000,-8289000,755000,-37329000,-37329000,-283000,-37612000,-37612000,6136000,-31476000,-42527000,193812000,193812000,183755000,183755000,287135000,86002000,70263000,750704000,459350000,126698000,106818000,586048000,1336752000,127998000,127998000,21038000,122966000,122966000,272002000,492442000,83321000,0,83321000,575763000,847765000,502763000,-13376000,100727000,-177873000,412241000,76746000,488987000,1336752000,-37612000,16377000,7186000,36743000,22694000,-12708000,-11099000,-1538000,-2027000,9568000,9568000,-3240000,6328000,1915000,513480000,26233000,0.08468,-0.04683,-0.1377,-0.08697,-0.03181,-0.61686,2.75992,1.73372,0.38413,-0.79183,-0.79183,5.75039,7.67574,0.48845,-0.03892,0.02416,166.92846,-22.104
"22","2016_Q1",4.09377049180328,"Down",307809000,-293066000,14743000,-35966000,-31359000,-2315000,-2292000,-21223000,-2651000.00000001,-8345000,4732000,-23874000,-23874000,-31562000,-55436000,-55436000,4735000,-50701000,-56968000,200188000,200188000,177389000,177389000,269791000,62633000,62633000,710001000,450020000,110209000,104242000,560229000,1270230000,123154000,123154000,31222000,115721000,115721000,270097000,475443000,102833000,14509000,88324000,578276000,848373000,497008000,-12420000,49297000,-188826000,345059000,76798000,421857000,1270230000,-55436000,16637000,26289000,45904000,33394000,-13216000,-19041000,-2978000,-2489000,11864000,11864000,-5488000,6376000,-4586000,506665000,59664000,0.0479,-0.06895,-0.18508,-0.13504,-0.04485,-1.04732,2.62869,2.01104,0.39888,-1.0603,-1.18869,5.72902,6.42233,1.11048,-0.05497,0.05785,-66.82883,-14.4408
"23","2016_Q2",6.12765625,"Up",321794000,-293497000,28297000,-39835000,-35062000,-2479000,-2294000,-11538000,216000,-8512000,3905000,-11322000,-11322000,-1004000,-12326000,-12326000,-417000,-12743000,-17951000,191097000,191097000,216423000,216423000,265173000,60759000,60759000,733452000,458005000,116508000,109644000,574513000,1307965000,138126000,138126000,88783000,125034000,125034000,351943000,419509000,105286000,15505000,89781000,524795000,876738000,483366000,-12028000,39915000,-175938000,335315000,95912000,431227000,1307965000,-12326000,15249000,-3772000,3182000,2333000,-7149000,-6378000,-7178000,-7448000,-11493000,-11493000,2402000,-9091000,3711000,508292000,748000,0.08794,-0.03586,-0.05578,-0.04163,-0.01372,-0.04167,2.08401,2.03312,0.38861,-0.33333,-0.33333,5.9753,6.22637,0.01389,-0.01692,0.00072,85.47427,-27.49133
"24","2016_Q3",8.13078125,"Up",330214000,-286496000,43718000,-41125000,-36302000,-2714000,-2109000,2593000,-2751000,-7982000,3049000,-158000,-158000,-3648000,-3806000,-3806000,550000,-3256000,-5156000,207238000,207238000,196718000,196718000,273744000,72352000,72352000,750052000,449472000,108948000,101790000,558420000,1308472000,145568000,145568000,89038000,122252000,122252000,356858000,414570000,103032000,16852000,86180000,517602000,874460000,481930000,-11784000,37746000,-172399000,335493000,98519000,434012000,1308472000,-3806000,15366000,12326000,3453000,27339000,-10901000,-10378000,-1511000,-1781000,15180000,15180000,961000.000000001,16141000,17959000,503608000,14159000,0.13239,0.00785,-0.01561,-0.01188,-0.00394,-2.74612,2.10182,2.01483,0.38488,-0.09569,-0.0956899999999999,6.12824,6.22621,0.26277,-0.0047,0.01361,16.50259,114.29618
"25","2016_Q4",10.8033333333333,"Up",306195000,-271275000,34920000,-41230000,-36348000,-2597000,-2285000,-6310000,-4738000,-8714000,3578000,-11048000,-11048000,2074000,-8974000,-8974000,966000,-8008000,-9375000,215509000,215509000,184352000,184352000,278083000,76972000,76972000,754916000,447082000,106058000,98634000,553140000,1308056000,152387000,152387000,91030000,130238000,130238000,373655000,410089000,101036000,16627000,84409000,511125000,884780000,480377000,-11226000,27524000,-172607000,324068000,99208000,423276000,1308056000,-8974000,14274000,3026000,15986000,24312000,-12796000,-12403000,-2963000,-3233000,8676000,8676000,-405000,8271000,7964000,501119000,9080000,0.11404,-0.02061,-0.03062,-0.02215,-0.00717,-0.96853,2.02036,2.09031,0.3831,-0.17378,-0.17378,5.67595,6.00727,0.16832,-0.00888,0.00885,35.86263,-45.26307
"26","2017_Q1",11.7183870967742,"Up",307294000,-272814000,34480000,-41625000,-37276000,-2181000,-2168000,-7145000,-6801000,-7331000,-617000,-13946000,-13946000,-702999.999999999,-14649000,-14649000,1051000,-13598000,-14679000,147827000,147827000,179384000,179384000,272236000,129734000,79734000,729181000,437201000,99514000,94851000,536715000,1265896000,148255000,148255000,97412000,120437000,120437000,366104000,408760000,93344000,13183000,80161000,502104000,868208000,479075000,-10119000,17214000,-189353000,296817000,100871000,397688000,1265896000,-14649000,14879000,-15000,-10699000,-10484000,-11102000,-60567000,6303000,6032000,-65019000,-65019000,-2663000,-67682000,7734000,506172000,-13364000,0.11221,-0.02325,-0.04777,-0.03691,-0.0116,0.91042,1.99173,2.18314,0.39985,-0.27193,-0.27193,5.69274,5.49865,-0.24757,-0.01445,-0.0134,46.33372,-50.15325
"27","2017_Q2",10.6525396825397,"Down",357501000,-317300000,40201000,-46790000,-41338000,-2843000,-2609000,-6589000,-554000,-7721000,2677000,-7143000,-7143000,-3442000,-10585000,-10585000,-868000,-11453000,-10512000,131158000,131158000,232244000,232244000,292401000,128291000,78291000,784094000,439333000,102806000,96048000,542139000,1326233000,186163000,186163000,46244000,129281000,129281000,361688000,409706000,97587000,16362000,81225000,507293000,868981000,538707000,-10015000,5463000,-179516000,354639000,102613000,457252000,1326233000,-10585000,14466000,-292000,-18128000,-14539000,-8389000,-7815000,4419000,4148000,-18206000,-18206000,1537000,-16669000,7877000,455950000,-15198000,0.11245,-0.01843,-0.0294,-0.02299,-0.00793,1.44578,2.16787,1.90044,0.34379,-0.17947,-0.17947,6.10362,6.05475,-0.25948,-0.01013,-0.01504,41.23296,-49.29306
"28","2017_Q3",10.2907936507937,"Down",364399000,-320379000,44020000,-39604000,-34463000,-2608000,-2533000,4416000,-10827000,-7320000,1750000,-6411000,-6411000,-126000,-6537000,-6537000,244000,-6293000,-10333000,143236000,143236000,219924000,219924000,323491000,88413000,78413000,775064000,435731000,101156000,92891000,536887000,1311951000,187077000,187077000,42563000,118024000,118024000,347664000,408789000,96074000,18248000,77826000,504863000,852527000,535436000,-9893000,-1128000,-169203000,355212000,104212000,459424000,1311951000,-6537000,15020000,5309000,-29806000,-16014000,-6763000,33701000,-5754000,-6053000,11634000,11634000,444000.000000001,12078000,19436000,451352000,-17007000,0.1208,0.01212,-0.02836,-0.02249,-0.00788,1.64589,2.22935,1.85564,0.34403,-0.17344,-0.17344,6.11644,5.96223,-0.28546,-0.00997,-0.01689,15.85285,69.77264
"29","2017_Q4",10.987619047619,"Up",370988000,-330851000,40137000,-44806000,-39752000,-2457000,-2597000,-4669000,-4153000,-7537000,2569000,-8822000,-8822000,-2396000,-11218000,-11218000,-8e+05,-12018000,-12900000,155675000,155675000,236216000,236216000,331378000,62632000,62632000,785901000,440078000,103931000,94672000,544009000,1329910000,184330000,184330000,36174000,133631000,133631000,354135000,411230000,102418000,17807000,84611000,513648000,867783000,534522000,-9502000,-13445000,-155644000,355931000,106196000,462127000,1329910000,-11218000,14543000,-2846000,14862000,15341000,-8428000,1827000,-6128000,-6426000,10742000,10742000,1697000,12439000,9874000,447404000,18704000,0.10819,-0.01259,-0.03477,-0.02791,-0.0097,-1.44992,2.21921,1.8778,0.33642,-0.21644,-0.21644,6.22463,5.972,0.31383,-0.01245,0.01848,29.54517,-62.48212
