"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"11","2017_Q1",10.5935483870968,"Up",64278864,-49168541,15110323,-10687627,-9135742,-1551885,4422696,-683435,-683435,3739261,3739261,-1435328,2303933,2303933,2303933,2303933,33328900,33328900,1105369,950696,34434269,1910858,44869007,23514376,9184659,9512455,2657517,46779865,81214134,11668835,951672,100868,10423031,3580561,3580561,15249396,23618194,1858090,1858090,25476284,40725680,36229373,4259081,40488454,40488454,81214134,2303933,1551885,475526,-1909074,2422270,-320786,-320786,4124102,-2101484,0,0,0,5974581,23618194,5180049,0.23507,0.0688,0.03584,0.0569,0.02837,2.24835,2.25807,1.00586,0.29081,0.26565,0.2597,7.41146,4.66839,0.59727,0.06778,0.07853
"12","2017_Q2",12.7095238095238,"Up",56843687,-43172453,13671234,-10977878,-9606444,-1371434,2693356,-558619,-558619,2134737,2134737,-832906,1301831,1301831,1301831,1301831,31407679,31407679,1170244,1017667,32577923,2098379,43677288,22282533,9184659,9512455,2697641,45775667,78353590,13319050,1302156,100379,10893345,3757026,3757026,17076076,19665547,1911446,1911446,21576993,38653069,36306936,3393585,39700521,39700521,78353590,1301831,1371434,364731,3433888,6471884,-327112,-327111.999999999,-3977445,-6144772,2.27373675443232e-13,2.27373675443232e-13,2.27373675443232e-13,4064790,19665547,8004472,0.24051,0.04738,0.0229,0.03279,0.01661,6.14863,1.90781,0.97362,0.25098,0.15017,0.14587,6.55716,4.57962,0.92335,0.05661,0.13063
"13","2017_Q3",12.9363492063492,"Up",68773863,-51546582,17227281,-12645379,-10780337,-1865042,4581902,-837365,-837365,3744537,3744537,-1460011,2284526,2284526,2284526,2284526,39874287,39874287,969986,712966,40844273,1751342,63896462,35162650,16085760,9911956,2736096,65647804,106492077,15896999,1976788,333412,12754108,5719783,5719783,23506341,38654702,3261314,3261314,41916016,65422357,37580353,3489367,41069720,41069720,106492077,2284526,1865042,204562,-4049890,304240,-509480,-19009480,21813362,18705240,0,0,0,6446944,40544261,3347585,0.25049,0.06662,0.03322,0.05563,0.02145,1.46533,1.73759,1.59296,0.38073,0.26121,0.25242,7.86337,4.69578,0.38275,0.0527,0.03944
"14","2017_Q4",13.075873015873,"Up",71281674,-53033615,18248059,-12611875,-11175596,-1436279,5636184,-883668,-883668,4752516,4752516,-1615653,3136863,3136863,3136863,3136863,40618312,40618312,627730,529469,41246042,1700470,69345524,38803342,17826199,9916170,2799813,71045994,112292036,15540852,1946662,308979,12847874,5852362,5852362,24007374,41064722,5110908,5110908,46175630,70183004,37672646,4436386,42109032,42109032,112292036,3136863,1436279,565525,47472.9999999991,5186140,-57897,-6057897,3171790,871756.999999996,0,0,0,7072463,43678882,8677692,0.256,0.07907,0.04401,0.07449,0.02793,2.76636,1.71806,1.6667,0.38898,0.35811,0.34558,8.13776,4.80731,0.99067,0.0586,0.09547
"15","2018_Q1",13.6,"Up",75700826,-56445402,19255424,-14406098,-12786895,-1619203,4849326,-973482,-973482,3875844,3875844,-4750630,-874786,-874786,-874786,-874786,36707885,36707885,1282117,947968,37990002,2039935,64602952,37323286,17970049,6402513,2907104,66642887,104632889,14373169,1909612,330630,12132927,4373236,4373236,21670104,41199322,2628784,2628784,43828106,65498210,37762923,1371756,39134679,39134679,104632889,-874786,1619203,4434159,922883,6101459,-248918,-248918,365147,-5852541,0,0,0,6468529,44123021,11893124,0.25436,0.06406,-0.01156,-0.02235,-0.00836,-13.59547,1.75311,1.67366,0.42169,-0.09985,-0.09612,8.64033,4.46675,1.35746,0.01531,0.13847
"16","2018_Q2",16.65921875,"Up",66855470,-49545539,17309931,-13274626,-11979120,-1295506,4035305,-871092,-871092,3164213,3164213,-698642,2465571,2465571,2465571,2465571,35018400,35018400,2005468,1803606,37023868,2242225,63473789,36193616,17983549,6253256,3043368,65716014,102739882,13044063,753965,365818,11617104,4432984,4432984,20712294,39724028,2833625,2833625,42557653,63269947,37822452,1647483,39469935,39469935,102739882,2465571,1295506,673761,-839067,3595771,-153904,-153904,-1244523,-3441867,0,0,0,5330811,42959275,5036482,0.25892,0.06036,0.03688,0.06247,0.024,2.04272,1.78753,1.60299,0.41814,0.28142,0.27133,7.63078,4.50504,0.57486,0.0546,0.05907
"17","2018_Q3",21.7507936507936,"Up",70945438,-51753159,19192279,-12615109,-11356728,-1258381,6577170,-741800,-741800,5835370,5835370,-665486,5169884,5169884,5169884,5169884,40155241,40155241,2794632,1572081,42949873,2350966,61834259,35125109,17983549,5604195,3121406,64185225,107135098,13186626,1134932,214660,11837034,4777218,4777218,21877703,23645744,1500344,1500344,25146088,47023791,55932172,4179135,60111307,60111307,107135098,5169884,1258381,-245152,-5681243,501870,-298615,-298615,-15623417,-203255,0,0,0,7835551,27559603,2521179,0.27052,0.09271,0.07287,0.08601,0.04826,0.48767,1.96318,0.78228,0.25724,0.55979,0.542,7.68194,6.50883,0.27299,0.08756,0.02827
"18","2018_Q4",20.1234920634921,"Down",77062137,-55689112,21373025,-14281698,-13034160,-1247538,7091327,-661683,-661683,6429644,6429644,-1368258,5061386,5061386,5061386,5061386,39691279,39691279,2048821,1339763,41740100,2517234,60572202,34076543,17983549,5317371,3194739,63089436,104829536,12787706,261083,348820,12151278,3598340,3598340,20310724,20058982,1605398,1605398,21664380,41975104,56640620,6213812,62854432,62854432,104829536,5061386,1247538,322312,652111,7283347,-228814,-228814,-3649927,-7054533,0,0,0,8338865,23983660,10130420,0.27735,0.09202,0.06568,0.08053,0.04828,2.00151,2.05508,0.66781,0.22879,0.50064,0.48937,7.62253,6.21718,1.00204,0.09145,0.11454
"19","2019_Q1",20.486393442623,"Up",71999881,-53279924,18719957,-15939381,-14696319,-1243062,2780576,-575830,-575830,2204746,5980053,-1127353,4852700,4852700,4852700,4852700,37606721,37606721,1006952,984219,38613673,2556992,59098138,33034173,17983549,4870997,3209419,61655130,100268803,11452999,146257,308547,10942354,2363512,2363512,18059091,15846157,661542,661542,16507699,34566790,57702625,7999388,65702013,65702013,100268803,4852700,1243062,-789189,1738914,7045487,-242661,-242661,-3966411,-6802826,0,0,0,4023638,20088737,6647244,0.26,0.03862,0.0674,0.07386,0.0484,1.3698,2.13818,0.52611,0.20035,0.47559,0.47278,7.05635,6.43913,0.65146,0.09161,0.07689
"20","2019_Q2",17.4939682539683,"Down",68776067,-50337427,18438640,-14851932,-13620423,-1231509,3586708,-353237,-353237,3233471,3233471,-737447,2496024,2496024,2496024,2496024,35708420,35708420,2482246,2459513,38190666,2347667,62118410,32347648,17983549,4327974,7459239,64466077,102656743,11802289,154159,101204,11362273,3765104,3765104,19209957,14543933,3654186,3654186,18198119,37408076,58022709,7225958,65248667,65248667,102656743,2496024,1231509,927515,726494,5381542,-341464,-341464,-1971231,-5040078,6.93889390390723e-18,6.93889390390723e-18,6.93889390390723e-18,4818217,18186497,5940694,0.2681,0.05215,0.03629,0.03825,0.02431,2.38006,1.98807,0.57332,0.17716,0.244,0.2399,6.72333,6.3785,0.58074,0.0639,0.06821
"21","2019_Q3",16.28609375,"Down",73857890,-52995055,20862835,-15442076,-14237839,-1204237,5420759,-496109,-496109,4924650,4924650,-1122820,3801830,3801830,3801830,3801830,38411622,38411622,1735142,1714431,40146764,2448608,61443788,31350775,17983549,4408099,7701365,63892396,104039160,12507160,213300,164979,12020461,3801238,3801238,16308398,17862945,3699666,3699666,21562611,37871009,58209338,7958813,66168151,66168151,104039160,3801830,1204237,241554,-1466848,3780773,-332288,-332288,-379511,-3448485,0,0,0,6624996,17862945,5948680,0.28247,0.07339,0.05147,0.05746,0.03654,1.56469,2.46172,0.57234,0.17169,0.37154,0.36711,7.21791,6.46641,0.58135,0.07832,0.06781
"22","2019_Q4",18.10859375,"Up",79364306,-57187685,22176621,-15699510,-14502756,-1196754,6477111,-395449,-395449,6081662,5540957,-1333788,4207169,4207169,4207169,4207169,40399213,40399213,1748911,1709978,42148124,3099489,60745637,30539442,17983549,4408099,7814547,63845126,105993250,13063959,140541,203620,12440191,1271711,1271711,14335670,20196123,3875349,3875349,24071472,38407142,58491987,9094121,67586108,67586108,105993250,4207169,1196754,863746,-1465036,4802633,-860264,-860264,2159020,-3942369,-2.77555756156289e-17,-2.77555756156289e-17,-2.77555756156289e-17,7673865,20196123,6682353,0.27943,0.08161,0.0530099999999999,0.06225,0.03969,1.58833,2.94009,0.56827,0.19054,0.41089,0.40699,7.75108,6.60077,0.65263,0.07942,0.07291
"23","2020_Q1",15.1283870967742,"Down",-2233939,10581747,8347808,-8947268,-7861401,-1085867,-599460,-324020,-324020,-923480,-923480,59288,-864192,2741967,2741967,2741967,39423801,39423801,1313395,1243746,40737196,3545049,71303799,33807973,25194639,4071847,8229340,74848848,115586044,11037488,479422,73027,10485039,2294408,2294408,13706896,27118829,6303329,6303329,33422158,47129054,59693562,8763428,68456990,68456990,115586044,-864192,1085867,599233,-1542137,3988896,-542421,-8195053,7265389,4206157,0,0,0,486407,27493829,-1657439,-3.73681,0.26834,-1.22741,0.04005,0.02372,-0.60447,2.97202,0.68845,0.23786,0.26743,0.26607,-0.21788,6.67672,-0.16165,0.05686,-0.01621
"24","2020_Q2",9.32015873015873,"Down",74067429,-53791698,20275731,-17618337,-16203624,-1414713,2657394,-456025,-456025,2201369,2201369,-702509,1498860,1498860,1498860,1498860,42634730,42634730,2968382,2452485,45603112,4822162,87710004,43875709,31372990,2849646,9611659,92532166,138135278,14465168,226729,181376,13726440,3772233,3772233,19537401,45387209,6154676,6154676,51541885,71079286,59886475,7169517,67055992,67055992,138135278,1498860,1414713,604334,3130315,6648222,-1049673,-22730128,19174677,16081906,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4072107,46687209,6855258,0.27375,0.03588,0.0202399999999998,0.02235,0.01085,4.57365,2.33414,1.06,0.33798,0.1454,0.14436,7.18512,6.50496,0.66501,0.0383,0.05718
"25","2020_Q3",8.79796875,"Down",62606334,-45701191,16905143,-15750392,-14306440,-1443952,1154751,-429660,-429660,725091,-6514423,1685160,-4829263,-4829263,-4829263,-4829263,37762131,37762131,2338894,1822807,40101025,4156997,78578600,36441098,31372990,4514048,6250464,86854705,126955730,13286984,127088,279418,12834242,2947921,2947921,18484905,37375001,9373090,9373090,46748091,65232996,60069552,1824905,61722734,61722734,126955730,-4829263,1443952,5902578,5936287,8453554,-847294,-847294,-7080911,-7606260,0,0,0,2598703,39625001,6002536,0.27002,0.01844,-0.07714,-0.07824,-0.03804,-1.24295,2.16939,1.05687,0.31212,-0.46854,-0.47196,6.07417,5.98844,0.58238,-0.03896,0.05421
"26","2020_Q4",10.1225,"Up",71518691,-51806765,19711926,-16139961,-14869011,-1270950,3571965,-359804,-359804,3212161,3288263,-722700,2565563,2565563,2565563,2565563,41769774,41769774,1010648,1010648,42780422,3742358,77479387,35437325,31350224,4514048,6177790,86321259,129101681,13508596,432950,94322,12797763,1894132,1894132,17840228,34575721,12650976,12650976,47226697,65066925,60314119,3875119,64034756,64034756,129101681,2565563,1270950,289180,-939414.999999999,3186278,-63212,-40446,-2630483,-3145832,7.105427357601e-15,7.105427357601e-15,7.105427357601e-15,4842915,37013221,4562988,0.27562,0.0499399999999999,0.03587,0.04007,0.01987,1.77855,2.39798,1.01612,0.2867,0.24877,0.24877,6.93485,6.20917,0.44245,0.0271,0.04013
"27","2021_Q1",13.0227868852459,"Up",-1066974,10213608,9146634,-10596245,-9865072,-731173,-1449611,-338141,-338141,-1787752,-1787752,480705,-1307047,2206308,2206308,2206308,32831016,32831016,10817750,2154966,43648766,3463876,83165626,32133168,27052060,5827673,10725747,86629502,130278268,12534580,219693,78134,10375637,3104664,1866008,18264244,32009266,14547006,14224131,46556272,64820516,60530878,5049748,65457752,65457752,130278268,-1307047,731173,-637912,2605325,3968896,-116037,-529187,-2405898,-3439709,0,0,0,-718438,34634266,1290145,-8.5725,1.35862,-2.06782,0.03371,0.01694,0.58475,2.38985,0.99026,0.26585,0.21383,0.21166,-0.10341,6.344,0.12504,0.02825,0.01125
"28","2021_Q2",12.1731746031746,"Down",49750192,-33535483,16214709,-16138666,-15302424,-836242,76043,-376527,-376527,-300483.999999999,-300484,88901,-211583,711797,711797,711797,42887949,42887949,2680218,2680218,45568167,4060055,87231728,36466907,34155493,5874449,10734879,91291783,136859950,15445038,261418,105678,13192509,7934233,7934233,26379271,35113070,9973435,9973435,45086505,71465776,60756885,4727948,65394174,65394174,136859950,-443873.000000001,836242,285013,-1861658,1911133,-540311,-4327637,3460101,2416504,-1.13686837721616e-13,-1.13686837721616e-13,-1.13686837721616e-13,912285,38113070,-1578585,0.325919999999998,0.00153000000000003,0.01431,0.01088,0.0052,-2.21775,1.72742,1.09285,0.27848,0.06889,0.06848,4.81478,6.32879,-0.15277,0.01538,-0.01391
"29","2021_Q3",12.0234375,"Down",57397721,-38150241,19247480,-17134897,-16269056,-865841,2112583,-218533,-218533,1894050,3088625,-540057,2548568,-2529447,-2529447,-2529447,46660140,46660140,2689298,2672579,49349438,2787251,87132280,36978504,34155493,5339332,10658951,89919531,139268969,15050580,285596,108815,14656169,7825398,7825398,26063478,36706814,8440805,8440805,45147619,71211097,60982265,7136452,68057872,68057872,139268969,4598508,914016,-114998,-2474461,-172344,-563189,-555863,1762541,728207,0,0,0,3026599,39894314,529006,0.33534,0.03681,-0.04407,-0.03717,-0.01816,-0.20914,1.89343,1.04633,0.28646,-0.2448,-0.24334,5.5549,6.58658,0.0512,-0.01285,0.00454
"30","2021_Q4",12.8903125,"Up",64184810,-42137924,22046886,-18223530,-17054127,-1169403,3823356,-431332,-431332,3392024,4600293,-892795,3707498,4643609,4643609,4643609,54051208,54051208,1862548,1842650,55913756,3046081,85140819,35959677,34155493,4887702,10137947,88186900,144100656,16595722,362785,125072,15515677,6663060,6663060,26633782,37480982,7955166,7955166,45436148,72069930,61553461,10531878,72030726,72030726,144100656,1313045,1121226,-270944,-6621667,616081,-423226,-457731,942965,-158350,-9.09494701772928e-13,-9.09494701772928e-13,-9.09494701772928e-13,4944582,40855982,-1207516,0.34349,0.05957,0.07235,0.06447,0.03222,-0.26004,2.09935,1.00054,0.28352,0.44732,0.44534,6.18297,6.93877,-0.11632,0.04876,-0.00999
"31","2022_Q1",13.2916129032258,"Up",67694454,-44262626,23431828,-17316459,-16489616,-826843,6115369,-406341,-406341,5709028,5709028,-1295636,4413392,11283519,11283519,11283519,48132896,48132896,11925249,2345948,60170249,4331052,83792665,33584910,29141883,4548285,9304311,88123717,148293966,17039205,401175,102304,16153920,7781995,6519939,28383700,35887591,7430491,7240096,43318082,71701782,61941766,14592087,76592184,76592184,148293966,-3479493,-1169401,168933,4833220,-616081,450341,457731,-942965,158350,0,0,0,4945968,39450091,11525165,0.34614,0.09034,0.16668,0.14732,0.07609,1.02142,2.11989,0.93615,0.26603,1.08695,1.08213,6.52106,7.37818,1.11023,0.08128,0.09334
"32","2022_Q2",12.1624193548387,"Down",68542277,-45111478,23430799,-20615285,-19716312,-898973,2815514,-273379,-273379,2542135,2542135,-534366,2007769,15799783,15799783,15799783,47677430,47677430,7520196,2673068,55197626,6223457,74095289,32807369,29141883,3536023,8610014,80318746,135516372,21297922,1138617,118823,15491877,5623611,5623611,26921533,14124318,3278161,3278161,17402479,44324012,62365141,28827219,91192360,91192360,135516372,14564787,898973,-15801922,-722272,-385487,-2050225,-2075980,-25457873,2349363,-112104,-112104,-112104,3714487,14124318,1476356,0.34184,0.04108,0.23051,0.17326,0.11659,0.0934400000000002,2.05032,0.48605,0.10423,1.52201,1.51526,6.60273,8.78463,0.14222,0.1599,0.0136
"33","2022_Q3",12.15609375,"Down",74089166,-49029740,25059426,-20820115,-19898281,-921834,4239311,-69589,-69589,4169722,4169722,-986080,3183642,-29584569,-29584569,-29584569,50116825,50116825,6556175,1795458,56717512,6344059,72904259,32410938,29141883,3333384,8018054,79248318,135965830,16573943,607871,79966,15636061,6565149,6565149,23139092,17660915,1881836,1881836,19542751,42681843,62852685,30431302,93283987,93283987,135965830,3176415,921834,563803,-2384476,-671079,-1480271,-1480271,3530043,2195862,44512,44512,44512,5161145,17660915,2282478,0.33823,0.05722,-0.39931,-0.31715,-0.21759,-0.07715,2.45116,0.45755,0.12989,-2.82502,-2.81376,7.07474,8.90764,0.21795,-0.24828,0.02023
