"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",38.0390322580645,"Up",252037000,-125113000,126924000,-78479000,-54802000,-32321000,-22481000,-22007000,-1670000,48445000,-267000,-514000,48178000,-9680000,38498000,-11917000,26581000,27097000,27097000,27097000,212943000,52253000,165160000,165160000,122915000,29960000,14454000,530978000,102537000,151323000,95345000,39017000,9425000,409712000,940690000,80779000,28180000,2031000,50568000,12288000,12288000,93067000,14594000,14594000,14594000,107661000,137472000,-628683000,1333530000,-9290000,833029000,833029000,940690000,27097000,6942000,14839000,1450000,50328000,-9541000,-9541000,-6541000,-34695000,-90320000,1901000,-13151000,-53143000,-53143000,28000,-53115000,55387000,0,59213000,0.50359,0.19221,0.10751,0.03253,0.02881,2.18522,5.70533,0.12924,0,0.52551,0.523,4.88794,16.15556,1.14836,5,0.03197,0.06986,-3.84464,-4.39556
"12","2013_Q1",43.8286666666667,"Up",253179000,-128719000,124460000,-78345000,-54277000,-33313000,-20964000,-22605000,-1463000,46115000,-56000.0000000001,-5000,46059000,-1997000,44062000,-9263000,34799000,34990000,34990000,34990000,388880000,64740000,168732000,168732000,123357000,29894000,16410000,710863000,101349000,150341000,94942000,39151000,13646000,256885000,967748000,81888000,23045000,1609000,57234000,13326000,13326000,95214000,15532000,15532000,15532000,110746000,140245000,-641438000,1368520000,-10325000,857002000,857002000,967748000,34990000,7271000,8284000,-2197000,48348000,-5803000,-5803000,-5303000,-16949000,-22754000,1538000,-13138000,12456000,12456000,31000,12487000,53386000,-1.45519152283669e-11,54649000,0.49159,0.18214,0.1382,0.04083,0.03616,1.56185,7.46595,0.12922,0,0.6869,0.68275,4.97024,16.82408,1.07283,6,0.0401,0.06263,-7.28431,-8.43283
"13","2013_Q2",45.52546875,"Up",236937000,-123872000,113065000,-82513000,-58792000,-33515000,-25277000,-21858000,-1863000,30552000,589000,-98000,31141000,-2377000,28764000,-5222000,23542000,23542000,23542000,23542000,414121000,49592000,169255000,169255000,116417000,30341000,17379000,730134000,101054000,148966000,94942000,37288000,14602000,253463000,983597000,66447000,20141000,2374000,43932000,13445000,13445000,79892000,17341000,17341000,17341000,97233000,141458000,-638596000,1392062000,-8560000,886364000,886364000,983597000,23542000,7372000,2914000,-9664000,24164000,-2452000,-2452000,-1952000,-39313000,-41765000,6271000,2383000,-15218000,-15218000,70000,-15148000,37924000,0,31030000,0.47719,0.12895,0.09936,0.02656,0.02393,1.31807,9.13901,0.1097,0,0.46179,0.45832,4.64765,17.3865,0.60867,5,0.02605,0.03434,-10.91976,-13.55463
"14","2013_Q3",46.12921875,"Up",253160000,-132253000,120907000,-82946000,-57882000,-33830000,-24052000,-23201000,-1863000,37961000,1474000,-462000,39435000,-1719000,37716000,-7158000,30558000,30566000,30566000,30566000,445685000,55886000,170856000,170856000,109149000,36917000,16246000,762607000,101737000,145858000,94942000,35425000,15491000,255948000,1018555000,89399000,31945000,6870000,50584000,12416000,12416000,101815000,20161000,18617000,20161000,121976000,138064000,-654518000,1422628000,-9595000,896579000,896579000,1018555000,30566000,8040000,4484000,23802000,66892000,-6595000,-6595000,-6595000,-31047000,-37642000,1560000,-23115000,6135000,6135000,159000,6294000,46001000,-2.3283064365387e-10,70366000,0.47759,0.14995,0.12074,0.03409,0.03001,2.3021,7.49012,0.13605,0,0.60077,0.59636,4.97582,17.62214,1.38303,5,0.03334,0.07676,-9.68859,-11.7406
"15","2013_Q4",50.13640625,"Up",263523000,-134913000,128610000,-81054000,-56847000,-34395000,-22452000,-22376000,-1831000,47556000,372000,-173000,47928000,-787000,47141000,-8541000,38600000,38600000,38600000,38600000,463737000,64196000,175639000,175639000,106628000,33459000,14421000,779463000,100515000,145072000,94942000,33594000,16536000,248175000,1027638000,83469000,26675000,7346000,49448000,15104000,15104000,98573000,18722000,16486000,18722000,117295000,140490000,-681388000,1461228000,-9987000,910343000,910343000,1027638000,38600000,7900000,2864000,-3431000,45933000,-5975000,-5975000,-4975000,-4649000,-10624000,2809000,-27087000,8222000,8222000,88000,8310000,55456000,0,54591000,0.48804,0.18046,0.14648,0.0424,0.03756,1.41427,7.90747,0.12885,0,0.76336,0.75845,5.21147,18.00307,1.0796,6,0.04155,0.05876,-8.36225,-9.75139
"16","2014_Q1",61.3227868852459,"Up",284380000,-143962000,140418000,-85487000,-60479000,-36260000,-24219000,-23565000,-1443000,54931000,1565000,-267000,56496000,-6117000,50379000,-9079000,41300000,41292000,41292000,41292000,413207000,62827000,176917000,176917000,121023000,42956000,15524000,754103000,109588000,256121000,155800000,68968000,31353000,365709000,1119812000,103548000,34688000,6898000,61962000,15506000,15506000,119054000,42100000,5957000,42100000,161154000,144017000,-678456000,1502878000,-9781000,958658000,958658000,1119812000,41292000,8688000,6738000,292999.999999996,57011000,-6978000,-6978000,-6478000,39009000,-62969000,8360000,3819000,-2139000,-2139000,683000,-1456000,63619000,0,66013000,0.49377,0.19316,0.1452,0.04307,0.03687,1.59869,6.33413,0.1681,0,0.82014,0.81381,5.64831,19.04072,1.31114,7,0.04126,0.06596,-6.49503,-7.52229
"17","2014_Q2",72.9630158730159,"Up",288268000,-140330000,147938000,-89336000,-63807000,-35416000,-28391000,-22857000,-2672000,58602000,137000,-292000,58739000,-5194000,53545000,-11939000,41606000,41606000,41606000,41606000,465567000,51424000,181618000,181618000,119373000,34457000,13879000,801015000,107511000,251265000,155800000,66296000,29169000,361364000,1162379000,94953000,34637000,8010000,52306000,16411000,16411000,111364000,42075000,16565000,42075000,153439000,147632000,-673989000,1544484000,-9187000,1008940000,1008940000,1162379000,41606000,9003000,2601000,-3455000,49755000,-2374000,-2374000,-2374000,-64020000,-66394000,5331000,5331000,-11308000,-11308000,-95000,-11403000,67605000,0,73715000,0.5132,0.20329,0.14433,0.04124,0.03579,1.77174,7.19276,0.15208,0,0.82548,0.81622,5.71932,20.01767,1.46253,7,0.03959,0.07014,-6.88658,-7.94456
"18","2014_Q3",77.9984375,"Up",288421000,-146252000,142169000,-88453000,-62076000,-35755000,-26321000,-23710000,-2667000,53716000,365000,43000,54081000,-23084000,30997000,-3440000,27557000,27557000,27557000,27557000,525993000,70349000,165426000,165426000,126103000,41725000,13055000,859247000,107115000,252607000,155800000,63629000,33178000,359722000,1218969000,106382000,31752000,9112000,65518000,16896000,16896000,123278000,47629000,19158000,47629000,170907000,150197000,-666084000,1572041000,-8092000,1048062000,1048062000,1218969000,27557000,9093000,6023000,17485000,60158000,-5588000,-5588000,-5588000,-41960000,-47548000,6327000,6327000,18937000,18937000,-12000,18925000,62809000,-2.98023223876953e-08,78146000,0.49292,0.18624,0.09554,0.02629,0.02261,2.83579,6.96999,0.16307,-3.46944695195361e-18,0.54444,0.53734,5.69827,20.70633,1.54391,4,0.02515,0.07132,-8.37448,-9.79211
"19","2014_Q4",72.03078125,"Down",303272000,-151766000,151506000,-89344000,-61522000,-36781000,-24741000,-25225000,-2597000,62162000,-4583000,-83000,57579000,-32773000,24806000,-9861000,14945000,14945000,14945000,14945000,541920000,60214000,187543000,187543000,139621000,51966000,22673000,921050000,113206000,248914000,153515000,61032000,34367000,362120000,1283170000,139249000,46083000,10131000,83035000,18965000,18965000,158214000,48207000,20820000,48207000,206421000,153748000,-660294000,1586986000,-3691000,1076749000,1076749000,1283170000,14945000,9127000,5126000,-9433000,19765000,-12061000,-12061000,-12061000,-23891000,-35952000,6085000,6085000,-10102000,-10102000,-33000,-10135000,71289000,0,59656000,0.49957,0.20497,0.04928,0.01388,0.01165,3.9917,5.82155,0.19171,0,0.29404,0.29022,5.96675,21.18459,1.17371,4,0.01328,0.05303,-7.60173,-8.71787
"20","2015_Q1",86.5254098360656,"Up",791039000,-454652000,336387000,-288867000,-163595000,-105048000,-58547000,-79208000,-46064000,47520000,-67919000,-8668000,-20399000,-71949000,-92348000,40240000,-52108000,-52108000,-52108000,-52108000,4.18e+08,3.94e+08,6.71e+08,6.71e+08,3.94e+08,1.89e+08,5.3e+07,1.672e+09,2.55e+08,3.612e+09,2.49e+09,1.029e+09,9.3e+07,3.867e+09,5.539e+09,7.53e+08,3.27e+08,5e+06,4.21e+08,1.96e+08,1.96e+08,9.53e+08,3.9e+08,7.4e+07,3.546e+09,4.499e+09,1.48e+08,-6.34e+08,1.535e+09,-9e+06,1.04e+09,1.04e+09,5.539e+09,-52108000,53777000,-32750000,149403000,118322000,-18977000,-18977000,-18977000,456871000,-2961106000,-14743000,3174257000,331473000,331473000,2140000,333613000,101297000,3.16e+09,191483000,0.42525,0.06007,-0.06587,-0.0501,-0.00941,-3.67473,1.75446,4.32596,0.5705,-1.01553,-1.00661,15.41656,20.26856,3.73181,2,-0.01135,0.04172,27.06892,57.70202
"21","2015_Q2",103.776031746032,"Up",8.93e+08,-4.84e+08,4.09e+08,-3.52e+08,-1.88e+08,-1.22e+08,-6.6e+07,-9.6e+07,-6.8e+07,5.7e+07,-7.8e+07,-2.7e+07,-2.1e+07,-3.7e+07,-5.8e+07,3.3e+07,-2.5e+07,-2.5e+07,-2.5e+07,-2.5e+07,329534000,329534000,637953000,637953000,405469000,246018000,68971000,1618974000,270228000,3565428000,2482528000,961704000,121196000,3835656000,5454630000,670739000,284730000,14903000,371106000,225112000,225112000,895851000,388604000,88373000,3532781000,4428632000,161027000,-629403000,1510010000,-15636000,1025998000,1025998000,5454630000,-2.5e+07,8e+07,1e+07,-2.9e+07,3.6e+07,-2.6e+07,-2.6e+07,-2.6e+07,2.6e+07,-4.9e+07,1e+07,-4e+07,-5.3e+07,-5.3e+07,-1.1e+07,-6.4e+07,1.37e+08,3144177000,4.9e+07,0.45801,0.06383,-0.028,-0.02437,-0.00458,-1.96,1.80719,4.31641,0.57642,-0.49342,-0.49342,17.62488,20.24983,0.9671,4,-0.00548,0.01075,20.54484,49.3797
"22","2015_Q3",94.3275,"Down",8.9e+08,-4.97e+08,3.93e+08,-3.58e+08,-1.95e+08,-1.25e+08,-7e+07,-1e+08,-6.3e+07,3.5e+07,-3.9e+07,1.1e+07,-4e+06,-4.9e+07,-5.3e+07,-2.4e+07,-7.7e+07,-7.7e+07,-7.7e+07,-7.7e+07,204918000,204918000,631067000,631067000,404472000,215663000,67304000,1456120000,284593000,3475867000,2482858000,898004000,95005000,3760460000,5216580000,657976000,281771000,13110000,363095000,215458000,215458000,873434000,351195000,86034000,3391556000,4264990000,176304000,-632820000,1433752000,-25646000,951590000,951590000,5216580000,-7.7e+07,8.2e+07,-1.7e+07,-4000000.00000003,-1.6e+07,-2.3e+07,-2.3e+07,-2.3e+07,-5.96046447753906e-08,-2.3e+07,-999999.999999996,-80999999.9999995,-1.2e+08,-1.2e+08,-5e+06,-1.25e+08,1.17e+08,3040361000,1.14e+08,0.44157,0.03933,-0.08652,-0.08092,-0.01476,-1.48052,1.66712,4.48196,0.58283,-1.51189,-1.51189,17.47515,18.68446,2.23839,3,-0.01773,0.02625,24.23456,81.01266
"23","2015_Q4",74.944375,"Down",9.16e+08,-5.02e+08,4.14e+08,-3.46e+08,-1.87e+08,-1.2e+08,-6.7e+07,-1e+08,-5.9e+07,6.8e+07,-5e+07,-5e+06,1.8e+07,-4.3e+07,-2.5e+07,-4e+06,-2.9e+07,-2.9e+07,-2.9e+07,-2.9e+07,258022000,258022000,625777000,625777000,408158000,197298000,83096000,1489255000,291754000,3397981000,2488501000,816933000,92547000,3689735000,5178990000,695132000,314279000,1592000,379261000,203792000,203792000,898924000,322813000,85577000,3366038000,4264962000,187813000,-632231000,1404802000,-46356000,914028000,914028000,5178990000,-2.9e+07,7.8e+07,5e+06,4.2e+07,9.6e+07,-3.8e+07,-3.8e+07,-3.8e+07,1e+06,-4e+07,3e+06,3e+06,5.9e+07,5.9e+07,-6e+06,5.3e+07,1.46e+08,3043225000,1.54e+08,0.45197,0.07424,-0.03166,-0.03173,-0.0056,-5.31034,1.65671,4.66612,0.58761,-0.56661,-0.56661,17.89708,17.85855,3.0089,4,-0.00678,0.03598,19.07673,40.95887
"24","2016_Q1",62.4875409836066,"Down",9.51e+08,-5.23e+08,4.28e+08,-3.66e+08,-2.07e+08,-1.27e+08,-8e+07,-9.8e+07,-6.1e+07,6.2e+07,-5e+07,-2e+06,1.2e+07,-5.6e+07,-4.4e+07,1.7e+07,-2.7e+07,-2.7e+07,-2.7e+07,-2.7e+07,1.92e+08,1.92e+08,6.71e+08,6.71e+08,3.97e+08,7.4e+07,7e+07,1.334e+09,2.98e+08,3.408e+09,2.49e+09,7.57e+08,9.1e+07,3.706e+09,5.04e+09,6.98e+08,2.89e+08,4.2e+07,3.67e+08,1.97e+08,1.97e+08,8.95e+08,2.4e+08,1.15e+08,3.252e+09,4.147e+09,1.95e+08,-6.31e+08,1.377e+09,-4.8e+07,8.93e+08,8.93e+08,5.04e+09,-2.7e+07,8e+07,-8.3e+07,3.6e+07,6e+06,-3.5e+07,-3.5e+07,-3.5e+07,-1e+06,-3.6e+07,-8e+06,-4.3e+07,-7.3e+07,-7.3e+07,7e+06,-6.6e+07,1.42e+08,3.012e+09,1.26e+08,0.45005,0.06519,-0.02839,-0.03024,-0.00536,-4.66667,1.4905,4.6439,0.59762,-0.52727,-0.52727,18.57161,17.43896,2.46059,5,-0.00651,0.0304,19.85915,45.48387
"25","2016_Q2",58.1328125,"Down",8.49e+08,-4.59e+08,3.9e+08,-3.39e+08,-1.87e+08,-1.13e+08,-7.4e+07,-9.3e+07,-5.9e+07,5.1e+07,-4.9e+07,2e+06,2e+06,-4.1e+07,-3.9e+07,1.3e+07,-2.6e+07,-2.6e+07,-2.6e+07,-2.6e+07,1.94e+08,1.94e+08,6.06e+08,6.06e+08,3.86e+08,9.5e+07,9.5e+07,1.281e+09,3e+08,3.34e+09,2.495e+09,7e+08,8.9e+07,3.64e+09,4.921e+09,6.65e+08,3.16e+08,65415547.45167,3.49e+08,2.08e+08,2.08e+08,8.73e+08,2.32e+08,1.14e+08,3.169e+09,4.042e+09,2.05e+08,-6.29e+08,1.369e+09,-6.6e+07,8.79e+08,8.79e+08,4.921e+09,-2.6e+07,7.7e+07,1.9e+07,2.6e+07,9.6e+07,-1.9e+07,-1.9e+07,-1.9e+07,-1e+06,-2e+07,3e+06,-7.7e+07,-1e+06,-1e+06,3e+06,2e+06,1.28e+08,2.937e+09,1.22e+08,0.45936,0.06007,-0.03062,-0.02958,-0.00528,-4.69231,1.46735,4.59841,0.59683,-0.50578,-0.50578,16.51578,17.09938,2.37329,3,-0.00642,0.03014,21.42969,53.78431
"26","2016_Q3",61.47765625,"Up",8.79e+08,-4.73e+08,4.06e+08,-3.44e+08,-1.89e+08,-1.12e+08,-7.7e+07,-9.5e+07,-6e+07,6.2e+07,-5.6e+07,-5e+06,6e+06,-3.9e+07,-3.3e+07,-1.2e+07,-4.5e+07,-4.5e+07,-4.5e+07,-4.5e+07,1.41e+08,1.41e+08,6.31e+08,6.31e+08,3.62e+08,8.8e+07,8.8e+07,1.222e+09,3.01e+08,3.268e+09,2.496e+09,6.4e+08,7.8e+07,3.569e+09,4.791e+09,6.5e+08,3.47e+08,60389289.5189194,3.03e+08,2.09e+08,2.09e+08,8.59e+08,2.28e+08,1.1e+08,3.101e+09,3.96e+09,1.9e+08,-6.15e+08,1.32e+09,-6.4e+07,8.31e+08,8.31e+08,4.791e+09,-4.5e+07,7.7e+07,8999999.99999999,-1.3e+07,2.8e+07,-1.6e+07,-1.6e+07,-1.6e+07,-2.3283064365387e-10,-1.6e+07,-4e+06,-6.9e+07,-5.7e+07,-5.7e+07,4e+06,-5.3e+07,1.39e+08,2.873e+09,1.22e+08,0.46189,0.07053,-0.05119,-0.05415,-0.00939,-2.71111,1.42258,4.76534,0.59967,-0.87539,-0.87539,17.09938,16.16563,2.37329,4,-0.01144,0.03103,19.65468,44.06452
