"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2013_Q4",3.9696875,"Up",-9313000,-3067000,-6246000,-9313000,-193000,-193000,-9506000,-16712000,-16712000,-16712000,-16712000,-16712000,23631000,23631000,3195000,3195000,27275000,1336000,1336000,867000,867000,2203000,29478000,12464000,891000,11573000,10881000,10081000,23345000,2502000,369000,2502000,25847000,335558000,-331927000,3631000,3631000,29478000,-16712000,186000,8409000,-7383000,-15500000,-3000,-4000,-4000,-3000,452000,202000,202000,-15301000,-15301000,-15301000,-9127000,0,-4.60259,-0.56693,1.16834,7.11842,0,-0.20095,-0.20095,0.04366,-2.72493,2.58913,2.53742
"14","2014_Q1",4.46590163934426,"Up",-6921000,-4202000,-2719000,-6921000,-389000,-389000,-7310000,-8904000,-8904000,-8904000,-8904000,-8904000,68204000,68204000,1948000,1948000,70297000,801000,801000,656000,656000,1457000,71754000,6779000,422000,6357000,12788000,11988000,19567000,2804000,871000,2804000,22371000,390214000,-340831000,49383000,49383000,71754000,-8904000,156000,3210000,-3507000,-9045000,-13000,-13000,-13000,-13000,53381000,53879000,53631000,44573000,44573000,44573000,-6765000,6.46234853557053e-27,-0.180299999999998,-0.12409,3.59263,0.45301,-4.81482486096809e-35,-0.0941,-0.0941,0.52191,-0.17062,10.08189,9.85465
"15","2014_Q2",3.71190476190476,"Down",-9984000,-3442000,-6542000,-9984000,-9000,-9000,-9993000,-9711000,-9711000,-9711000,-9711000,-9711000,60385000,60385000,1589000,1589000,62001000,679000,679000,645000,645000,1324000,63325000,6330000,578000,5752000,12718000,11918000,19048000,2545000,812000,2545000,21593000,392274000,-350542000,41732000,41732000,63325000,-9711000,124000,1141000,-208000,-8654000,-2000,-2000,-2000,-2000,837000,969000,837000,-7819000,-7819000,-7819000,-9860000,0,-0.2327,-0.15335,3.25499,0.51742,0,-0.09689,-0.09689,0.41637,-0.21932,6.12424,6.04818
"16","2014_Q3",3.21390625,"Down",-11377000,-3031000,-8346000,-11377000,1000,1000,-11376000,-5576000,-5576000,-5576000,-5576000,-5576000,53001000,53001000,991000,991000,54024000,683000,683000,641000,641000,1324000,55348000,8220000,447000,7773000,8662000,6329000,16882000,750000,750000,750000,17632000,393834000,-356118000,37716000,37716000,55348000,-5576000,93000,-4388000,2236000,-7635000,-97000,-97000,-97000,-97000,348000.000000007,348000,348000,-7384000.00000001,-7384000.00000001,-7384000.00000001,-11284000,-5.16987882845642e-26,-0.14784,-0.10074,3.20009,0.46749,7.70371977754894e-34,-0.05552,-0.05552,0.37557,-0.14496,4.697,4.65861
"17","2014_Q4",3.53890625,"Up",-12575000,-2842000,-9733000,-12575000,2000,2000,-12573000,-6093000,-6093000,-6093000,-6093000,-6093000,46122000,46122000,1484000,1484000,47814000,654000,654000,641000,641000,1295000,49109000,9756000,1953000,7803000,2191000,491000,11947000,685000,685000,685000,12632000,398688000,-362211000,36477000,36477000,49109000,-6093000,122000,-4699000,179000,-10491000,-94000,-94000,-94000,-94000,3706000,3706000,3706000,-6879000,-6879000,-6879000,-12453000,0,-0.16704,-0.12407,4.00218,0.3463,0,-0.06067,-0.06067,0.36321,-0.16396,3.70369,3.66775
"18","2015_Q1",9.88065573770492,"Up",-10936000,-2851000,-8085000,-10936000,999.999999999996,1000,-10935000,-10401000,-10401000,-10401000,-10401000,-10401000,42803000,42803000,1139000,1139000,44087000,531000,531000,619000,619000,1150000,45237000,9186000,2004000,7182000,1640000,280000,10826000,570000,570000,570000,11396000,406453000,-372612000,33841000,33841000,45237000,-10401000,123000,965999.999999998,-558000,-9870000,1.45519152283669e-11,0,0,1.45519152283669e-11,6551000,6963000,6551000,-3319000,-3319000,-3319000,-10813000,-8.27180612553028e-25,-0.30735,-0.22992,4.07233,0.33675,-6.16297582203915e-33,-0.10055,-0.10055,0.32715,-0.30226,3.95848,3.91395
"19","2015_Q2",10.3488888888889,"Up",-78499000,-4250000,-74249000,-78499000,-4000,-4000,-78503000,-78231000,-78231000,-78231000,-78231000,-78231000,129684000,129684000,857000,857000,130603000,426000,426000,619000,619000,1045000,131648000,8999000,779000,8220000,1493000,405000,10492000,553000,553000,553000,11045000,571446000,-450843000,120603000,120603000,131648000,-78231000,122000,68378000,14000,-9717000,-17000,-17000,-17000,-17000,96615000,96861000,96615000,86881000,86881000,86881000,-78377000,0,-0.64867,-0.59424,12.44787,0.09158,0,-0.68981,-0.68981,1.06342,-0.6457,1.65462,1.65205
"20","2015_Q3",11.00234375,"Up",-14497000,-7073000,-7423999.99999999,-14497000,14000,14000,-14483000,-14211000,-14211000,-14211000,-14211000,-14211000,118550000,118550000,4441000,4441000,123080000,321000,321000,637000,637000,958000,124038000,11895000,3143000,8752000,1215000,399000,13110000,487000.000000002,487000,487000.000000002,13597000,575495000,-465054000,110441000,110441000,124038000,-14211000,114000,3483000.00000001,-1080000,-11694000,-5000.00000000001,-5000,-5000,-5000.00000000001,564999.999999985,599000.000000015,565000,-11134000,-11134000,-11134000,-14383000,-2.64697796016969e-23,-0.12868,-0.11457,9.38825,0.12312,0,-0.11059,-0.11059,0.85949,-0.12811,8.24237,8.17755
"21","2015_Q4",11.02625,"Up",-20035000,-3065000,-16970000,-20035000,-4000,-4000,-20039000,-18170000,-18170000,-18170000,-18170000,-18170000,163843000,163843000,8268000,8268000,172480000,262000,262000,619000,619000,881000,173361000,22292000,4154000,18138000,7335000,402000,29627000,49893000,379000,49893000,79520000,577065000,-483224000,93841000,93841000,173361000,-18170000,59000,1477000,61837000,45203000,-3000,-3000,-3000,-3000,93000,226000,93000,45293000,45293000,45293000,-19976000,0,-0.19363,-0.10481,5.82172,0.84739,0,-0.13995,-0.13995,0.72281,-0.12641,8.20199,8.17784
"22","2016_Q1",6.82295081967213,"Down",-11401000,-3259000,-8142000,-11401000,6000,6000,-11395000,-9476000,-9476000,-9476000,-9476000,-9476000,140717000,140717000,11358000,11358000,152521000,581000,581000,622000,622000,1203000,153724000,10914000,2008000,8906000,7209000,348000,18123000,48230000,312999.999999999,48230000,66353000,580071000,-492700000,87371000,87371000,153724000,-9476000,62000,1944000,-16332000,-23802000,-387000,-387000,-387000,-387000,1063000,684000,1063000,-23126000,-23126000,-23126000,-11339000,2.11758236813575e-22,-0.10846,-0.06164,8.41588,0.75944,1.57772181044202e-30,-0.07293,-0.07293,0.67245,-0.06988,12.41,12.34251
"23","2016_Q2",7.25859375,"Up",-14009000,-3810000,-10199000,-14009000,21000,21000,-13988000,-12019000,-12019000,-12019000,-12019000,-12019000,124846000,124846000,14483000,14483000,140389000,667000,667000,626000,626000,1293000,141682000,10490000,1908000,8582000,6784000,295000,17274000,46595000,276000,46595000,63869000,582532000,-504719000,77813000,77813000,141682000,-12019000,72000,2096000,-6228000,-16079000,-157000,-157000,-157000,-157000,365000,367000,365000,-15871000,-15871000,-15871000,-13937000,0,-0.15446,-0.08483,8.12719,0.8208,0,-0.09234,-0.09234,0.59784,-0.09661,8.95788,8.91184
"24","2016_Q3",5.35859375,"Down",-132939000,-3711000,-129228000,-132939000,42000,42000,-132897000,-131200000,-131200000,-131200000,-131200000,-131200000,109004000,109004000,17690000,17690000,126709000,682000,682000,621000,621000,1303000,128012000,9423000,2031000,7392000,6612000,223000,16035000,163967000,119245000,163967000,180002000,583929000,-635919000,-51990000,-51990000,128012000,-131200000,83000,121111000,-5067000,-15073000,-1e+05,-1e+05,-1e+05,-1e+05,-669000,184000,-669000,-15842000,-15842000,-15842000,-132856000,0,2.52356,-1.0249,7.90203,-3.46224,-2.52435489670724e-29,-1.00625,-1.00625,-0.39874,-1.17167,0.82047,0.819960000000002
"25","2016_Q4",6.00825396825397,"Up",-12512000,-3537000,-8975000,-12512000,39000,39000,-12473000,-10854000,-10854000,-10854000,-10854000,-14445000,94683000,94683000,20969000,20969000,115677000,825000,825000,620000,620000,1445000,117122000,9178000,1814000,7364000,6566000,177000,15744000,43982000,857000,43982000,59726000,582357000,-646773000,57396000,57396000,117122000,-10854000,72000,1889000,-5216000,-14109000,-212000,-212000,-212000,-212000,0,0,0,-14321000,-14321000,-14321000,-12440000,0,-0.25167,-0.12333,7.34737,1.0406,0,-0.11069,-0.11069,-0.49361,-0.14249,7.61117,7.56738
"26","2017_Q1",6.20758064516129,"Up",-12708000,-3319000,-9389000.00000003,-12708000,32000,32000,-12676000,-11224000,-11224000,-11224000,-11224000,-14756000,81053000,81053000,23810000,23810000,104884000,843000,843000,621000,621000,1464000,106348000,9265000,156000,9109000,6544000,155000,15809000,42516000,988000.000000015,42516000,58325000,580699000,-657997000,48023000,48023000,106348000,-11224000,63000,2503000.00000001,-4406000,-13064000,-82000,-82000,-82000,-82000,-484000,-1337000,-484000,-13630000,-13630000,-13630000,-12645000,-2.71050543121376e-20,-0.30727,-0.13875,6.63445,1.21452,4.03896783473158e-28,-0.11305,-0.11305,-0.59221,-0.16298,6.40989,6.37811
"27","2017_Q2",6.53539682539683,"Up",-15562000,-3595000,-11967000,-15562000,38000,38000,-15524000,-15487000,-15487000,-15487000,-15487000,-19658000,66447000,66447000,26236000,26236000,92750000,1124000,1124000,620000,620000,1744000,94494000,10913000,226000,10687000,6551000,162000,17464000,42491000,2560000,42491000,59955000,578703000,-673606000,34539000,34539000,94494000,-15487000,79000,3584000,-2453000,-14277000,-358000,-358000,-358000,-358000,29000,29000,29000,-14606000,-14606000,-14606000,-15483000,0,-0.56915,-0.20803,5.31093,1.73586,0,-0.15041,-0.15041,-0.72613,-0.2552,4.29161,4.26982
"28","2017_Q3",5.9215873015873,"Down",-14611000,-3780000,-10831000,-14611000,86000,86000,-14525000,-12862000,-12862000,-12862000,-12862000,-17727000,97194000,97194000,27892000,27892000,125130000,1062000,1062000,621000,621000,1683000,126813000,9435000,81000,9354000,6553000,164000,15988000,40865000,2532000,40865000,56853000,622194000,-686468000,69960000,69960000,126813000,-12862000,88000,1992000,-4741000,-15523000,-26999.9999999999,-27000.0000000001,-27000.0000000001,-26999.9999999999,46297000,47339000,46297000,30747000,30747000,30747000,-14523000,4.33680868994202e-19,-0.25339,-0.13979,7.82649,0.81265,-3.23117426778526e-27,-0.13067,-0.13067,-0.4738,-0.15995,6.69242,6.65211
"29","2017_Q4",4.78968253968254,"Down",-14676000,-3571000,-11105000,-14676000,175000,175000,-14501000,-12701000,-12701000,-12701000,-12701000,-17604000,84406000,84406000,30469000,30469000,114888000,1047000,1047000,624000,624000,1671000,116559000,11634000,1524000,10110000,6555000,166000,18189000,39100000,2364000,39100000,57289000,619374000,-699169000,59270000,59270000,116559000,-12701000,92000,1881000,-1985000,-12713000,-76000,-76000,-76000,-76000,1000,1000,1000,-12788000,-12788000,-12788000,-14584000,0,-0.29701,-0.15103,6.31635,0.96658,0,-0.1251,-0.1251,-0.56707,-0.17896,5.78758,5.75129
"30","2018_Q1",4.15475409836066,"Down",-15033000,-3852000,-11181000,-15033000,166000,166000,-14867000,-13273000,-13273000,-13273000,-13273000,-18272000,70946000,70946000,19818000,19818000,90783000,1211000,1211000,13612000,13612000,14823000,105606000,14326000,4417000,9909000,6530000,141000,20856000,37564000,2425000,37564000,58420000,615636000,-712442000,47186000,47186000,105606000,-13273000,110000,2292000,-1285000,-12156000,-276000,-276000,-276000,-276000,-1027999.99999999,-2070000,-1028000,-13460000,-13460000,-13460000,-14923000,0,-0.38723,-0.17302,4.35285,1.23808,0,-0.12988,-0.12988,-0.6881,-0.2156,4.75414,4.71935
"31","2018_Q2",4.22734375,"Up",-16342000,-6159000,-10183000,-16342000,148000,148000,-16194000,-16020000,-16020000,-16020000,-16020000,-21140000,51108000,51108000,20989000,20989000,72115000,1244000,1244000,14102000,14102000,15346000,87461000,9484000,606000,8878000,578000,102000,10062000,51509000,2472000,51509000,61571000,613444000,-736593000,25890000,25890000,87461000,-16020000,117000,3631000,-6685000,-18957000,-150000,-150000,-150000,-150000,-731000,2911383.38275748,-731000,-19838000,-19838000,-19838000,-16225000,0,-0.81653,-0.24171,7.16706,2.37818,0,-0.15009,-0.15009,-0.87431,-0.27313,3.14995,3.1274
"32","2018_Q3",2.8584126984127,"Down",-12378000,-4889000,-7489000,-12378000,164000,164000,-12214000,-12031000,-12031000,-12031000,-12031000,-17493000,40404000,40404000,11926000,11926000,52993000,1332000,1332000,22058000,22058000,23390000,76383000,9251000,588000,8663000,63000.0000000019,63000,9314000,51876000,2363000,51876000,61190000,609389000,-748624000,15193000,15193000,76383000,-12031000,138000,1528000,190999.999999999,-10174000,-226000,-226000,-226000,-226000,-304000,240000,-304000,-10704000,-10704000,-10704000,-12240000,-1.11022302462516e-16,-1.15139,-0.22902,5.68961,4.02751,8.27180612553028e-25,-0.12405,-0.12405,-0.98735,-0.26082,3.30098,3.26418
"33","2018_Q4",2.63555555555556,"Down",-12570000,-4307000,-8263000,-12570000,150000,150000,-12420000,-12585000,-12585000,-12585000,-12585000,-18659000,31728000,31728000,14412000,14412000,47161000,1344000,1344000,18296000,18296000,19640000,66801000,10646000,1269000,9377000,49537000,24000,60183000,2603000,2603000,2603000,62786000,604795000,-761209000,4015000,4015000,66801000,-12585000,157000,1645000,2276000,-8507000,-169000,-169000,-169000,-169000,0,0,0,-8676000,-8676000,-8676000,-12413000,0,-4.64732,-0.27932,0.78363,15.63786,0,-0.13216,-0.13216,-1.10784,-2.81943,2.55603,2.52411
"34","2019_Q1",2.7872131147541,"Up",-12762000,-4563000,-8199000,-12762000,169000,169000,-12593000,194880000,194880000,194880000,194880000,194538000,61729000,61729000,20692000,20692000,84285000,1097000,1097000,9669000,9669000,10766000,95051000,9470000,707000,8763000,13000,13000,9482999.99999999,4000.00000000373,4000,4000.00000000373,9486999.99999999,651893000,-566329000,85564000,85564000,95051000,-12481000,163000,572000,-73000,-11819000,86000,86000,86000,86000,-347000,-9.31322574615479e-10,41346000,29613000,29613000,29613000,-12599000,-1.77635683940025e-15,2.2736,2.04667,8.88801,0.11088,0,1.28855,1.28171,0.56674,2.27349,4.89952,4.83694
"35","2019_Q2",4.58428571428571,"Up",-13621000,-4145000,-9476000,-13621000,187000,187000,-13434000,-13434000,-13434000,-13434000,-13434000,-13434000,51487000,51487000,21752000,21752000,74093000,2556000,2556000,6854000,6854000,9410000,83503000,7695000,859000,6836000,644000,180050.297660251,8339000,948000,948000,948000,9287000,653979000,-579763000,74216000,74216000,83503000,-13434000,140000,2086000,976000,-10232000,-10000,-10000,-10000,-10000,-19537626.1205946,-19021036.5880708,11564321.3213878,-10242000,-10242000,-10242000,-13481000,0,-0.18101,-0.16088,8.88512,0.12513,0,-0.08363,-0.08363,0.462,-0.17873,3.81923,3.77997
"36","2019_Q3",5.28859375,"Up",-14753000,-4755000,-9998000,-14753000,133000,133000,-14620000,-14620000,-14620000,-14620000,-14620000,-14620000,43563000,43563000,20836000,20836000,65859000,2315000,2315000,4999000,4999000,7314000,73173000,9740000,941000,8799000,659999.999999998,449487.859977193,10400000,778000,778000,778000,11178000,656378000,-594383000,61995000,61995000,73173000,-14620000,156000,2169000,4208000,-8087000,-67000,-67000,-67000,-67000,229999.999999985,600000.000000007,229999.99999997,-7924000,-7924000,-7924000,-14597000,-1.4210854715202e-14,-0.235829999999999,-0.1998,6.3326,0.1803,2.11758236813575e-22,-0.09092,-0.09092,0.38555,-0.2329,2.98438,2.95282
"37","2019_Q4",4.5871875,"Down",-13448000,-4807000,-8641000,-13448000,203000,203000,-13245000,-73996000,-73996000,-73996000,-73996000,-73996000,88419000,88419000,23739000,23739000,115599000,2111000,2111000,239000,239000,2350000,117949000,10499000,926000,9573000,677000,677000,11176000,647000,647000,647000,11823000,774505000,-668379000,106126000,106126000,117949000,-73996000,157000,62237000,675000,-10927000,-107000,-107000,-107000,-107000,55890000,55890000,55890000,44856000,44856000,44856000,-13291000,0,-0.69725,-0.62736,10.3435,0.11141,0,-0.43343,-0.43343,0.62163,-0.69302,6.65255,6.57488
"38","2020_Q1",3.44967741935484,"Down",-16036000,-5820000,-10216000,-16036000,290000,290000,-15746000,-15746000,-15746000,-15746000,-15746000,-15746000,79741000,79741000,22421000,22421000,105492000,1110000,1110000,2512000,2512000,3622000,109114000,11752000,906000,10846000,774000,774000,12526000,1578000,1578000,1578000,14104000,779135000,-684125000,95010000,95010000,109114000,-15746000,176000,1600000.00000001,2362000,-11608000,-1e+05,-1e+05,-1e+05,-1e+05,3030000.00000001,3313000,3030000,-8678000,-8678000,-8678000,-15860000,2.27373675443232e-13,-0.16573,-0.14431,8.42184,0.14845,0,-0.08765,-0.08765,0.52886,-0.16302,5.02781,4.97262
"39","2020_Q2",2.97206349206349,"Down",-18660000,-5954000,-12706000,-18660000,367000,367000,-18293000,-18293000,-18293000,-18293000,-18293000,-18293000,171002000,171002000,19836000,19836000,191620000,3784000,3784000,2875000,2875000,6659000,198279000,15751000,396000,15355000,828000,828000,16579000,1363000,1363000,1363000,17942000,882755000,-702418000,180337000,180337000,198279000,-18293000,142000,1940000,6305000,-9906000,-513000,-513000,-513000,-513000,101680000,101680000,101680000,91261000,91261000,91261000,-18518000,0,-0.10144,-0.09226,11.558,0.09949,0,-0.09155,-0.09155,0.90252,-0.10068,9.23437,9.16409
