"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",32.13484375,"Up",71361000,-27027000,44334000,-39463000,-36544000,-2919000,4871000,376000,376000,5247000,-1791000,3456000,-1287000,2169000,2169000,2169000,2169000,264552000,143944000,49160000,49160000,27652000,18036000,9616000,341364000,44554000,95258000,7291000,78152000,9815000,148738000,490102000,30508000,922000,29586000,152188000,152188000,182696000,9318000,9318000,9318000,192014000,393105000,-210843000,116639000,-813000,298088000,298088000,490102000,2169000,2919000,1105000,29260000,35453000,-939000,12761000,1447000,1447000,109000,-1794000,46420000,46420000,-1286000,45134000,7790000,0,37398000,0.62126,0.06826,0.03039,0.00728,0.00443,17.24205,1.86848,0.64415,0,0.09724,0.09573,3.19918,13.36358,1.67659,0.01795,0.12166,-33.96046,-54.31164
"12","2013_Q3",31.88234375,"Down",78953000,-30786000,48167000,-38065000,-35209000,-2856000,10102000,255000,255000,10357000,-216000,10141000,-3956000,6185000,6185000,6185000,6185000,178633000,55083000,39785000,39785000,25443000,16593000,8850000,243861000,42478000,96491000,6767000,78480000,11244000,147889000,391750000,27991000,1122000,26869000,136803000,136803000,164794000,9233000,9233000,9233000,174027000,100117000,-424000,119197000,-1167000,217723000,217723000,391750000,6185000,2856000,-2420000,-4843000.00000001,1778000,-328000,-4273000,-83017000,9066000,-371000,-86452000,-88947000,-88947000,86000.0000000002,-88861000,12958000,0,11743000,0.61007,0.12795,0.07834,0.02841,0.01579,1.89863,1.47979,0.7993,-1.57772181044202e-30,0.29098,0.28442,3.71439,10.2429,0.55246,0.04075,0.05174,-13.78554,-17.68293
"13","2013_Q4",34.54609375,"Up",69815000,-27584000,42231000,-37930000,-35081000,-2849000,4301000,-71000,-71000,4230000,18000,4248000,-1739000,2509000,2509000,2509000,2509000,157661000,70700000,37009000,37009000,27053000,18645000,8408000,221723000,41058000,96955000,6296000,79493000,11166000,147105000,368828000,26102000,918000,25184000,125787000,125787000,151889000,8972000,8972000,8972000,160861000,105600000,-17071000,118814000,624000,207967000,207967000,368828000,2509000,2849000,1583000,-11820000,-4879000,-782000,35359000,-13117000,3993000,49000,-16079000,14401000,14401000,1216000,15617000,7150000,0,-3713000,0.6049,0.06161,0.03594,0.01206,0.0068,-1.47987,1.45977,0.77349,0,0.12473,0.12141,3.47062,10.33839,-0.18458,0.02544,-0.01712,-22.05049,-36.65682
"14","2014_Q1",33.8070491803279,"Down",77521000,-31664000,45857000,-41393000,-38519000,-2874000,4464000,32000,31999.9999999999,4496000,-2349000,2147000,13999.9999999998,2161000,2161000,2161000,2161000,155145000,74132000,77543000,77543000,33701000,20762000,12939000,266389000,39868000,95945000,5777000,80001000,10167000,135813000,402202000,34495000,1024000,33471000,152903000,152903000,187398000,10142000,10142000,10142000,197540000,109881000,-26088000,118415000,2454000,204662000,204662000,402202000,2161000,2874000,6333000,-13007000,-1639000,-1078000,13709000,-6136000.00000001,2881000,49999.9999999999,-9054999.99999999,3015000,3015000,417000,3431999.99999999,7338000,2.71050543121376e-20,-6761000,0.59154,0.05758,0.02788,0.01056,0.00537,-3.12864000000003,1.42151,0.9652,-2.52435489670724e-29,0.10933,0.10623,3.92194,10.35424,-0.34205,0.02388,-0.03148,-21.14268,-34.7547
"15","2014_Q2",33.3806349206349,"Down",73071000,-29480000,43591000,-42722000,-39410000,-3312000,869000,-64000,-64000,805000,-812000,-7000,-59000,-66000,-66000,-66000,-66000,157241000,80501000,49105000,49105000,36359000,23348000,13011000,242705000,37833000,93821000,5237000,79992000,8592000,131654000,374359000,29812000,1168000,28644000,159778000,159778000,189590000,9458000,9458000,9458000,199048000,113387000,-55800000,115214000,2510000,175311000,175311000,374359000,-66000,3312000,2414000,27344000,33004000,-680000,4599000,-28156000,1556000,22000,-31269000,6334000,6334000,35000,6369000,4181000,0,30904000,0.59656,0.01189,-9e-04,-0.00038,-0.00018,-468.24242,1.28016,1.1354,0,-0.00337,-0.00337,3.72564,8.93851,1.57569,0.01661,0.16726,-37.60847,-180.94476
"16","2014_Q3",35.058125,"Up",82947000,-33558000,49389000,-41270000,-38445000,-2825000,8119000,79000,79000,8198000,-996000,7202000,-2913000,4289000,4289000,4289000,4289000,133658000,52634000,41182000,41182000,33759000,22481000,11278000,208599000,35789000,94487000,4686000,79780000,10021000,130276000,338875000,31552000,966000,30586000,143938000,143938000,175490000,9464000,9464000,9464000,184954000,116010000,-81028000,116510000,2429000,153921000,153921000,338875000,4289000,2825000,-1223000,-3614000,2277000,-191000,-4734000,-22598000,2630000,78000,-25513000,-27970000,-27970000,103000,-27867000,10944000,2.16840434497101e-19,10052000,0.59543,0.09788,0.05171,0.02786,0.01266,2.34366999999997,1.18867,1.20162,0,0.22866,0.22522,4.42219,8.20606,0.53591,0.04457,0.06152,-12.2129,-16.46237
"17","2014_Q4",36.4825,"Up",75363000,-30105000,45258000,-40404000,-37700000,-2704000,4854000,232000,232000,5086000,-34000,5052000,-2009000,3043000,3043000,3043000,3043000,112429000,56932000,39041000,39041000,32916000,23207000,9709000,184386000,33863000,92640000,4019000,77793000,10828000,126503000,310889000,27551000,1035000,26516000,129390000,129390000,156941000,9305000,9305000,9305000,166246000,120623000,-92645000,116628000,37000,144643000,144643000,310889000,3043000,2704000,-142000,-13035000,-7430000,-239000,24941000,-9022000,2595000,57000,-11890000,5621000,5621000,-1323000,4298000,7558000,0,-3707000,0.60053,0.06441,0.04038,0.02104,0.00979,-1.21821,1.17487,1.14935,0,0.1664,0.16405,4.12112,7.90961,-0.20271,0.03877,-0.02408,-14.8755,-23.16213
"18","2015_Q1",34.6375409836066,"Down",80681000,-33056000,47625000,-41437000,-38782000,-2655000,6188000,217000,217000,6405000,-263000,6142000,-2543000,3599000,3599000,3599000,3599000,104535000,49650000,67429000,67429000,36031000,22277000,13754000,207995000,32174000,92538000,3382000,76683000,12473000,124712000,332707000,37129000,912000,36217000,144568000,144568000,181697000,9408000,9408000,9408000,191105000,125151000,-99254000,117318000,-1613000,141602000,141602000,332707000,3599000,2655000,571000,-5881000,944000,-393000,-41000.0000000075,-4421000,2188000,87000,-7243000,-6340000.00000001,-6340000.00000001,-942000,-7282000,8843000,-6.93889390390723e-18,5112000,0.59029,0.0767,0.04461,0.02542,0.01082,1.42039,1.14474,1.34959,0,0.1978,0.19121,4.43424,7.78247,0.28096,0.0431,0.03385,-11.82121,-16.89318
"19","2015_Q2",32.7868253968254,"Down",75187000,-30761000,44426000,-41717000,-39389000,-2328000,2709000,282000,282000,2991000,-3443000,-452000,228000,-224000,-224000,-224000,-224000,1.11e+08,50168000,5e+07,5e+07,40464000,27495000,12969000,201464000,30571000,89025000,2995000,74037000,11993000,119596000,321060000,28031000,857000,27174000,150417000,150417000,178448000,9391000,9391000,9391000,187839000,128688000,-104977000,114025000,-4515000,133221000,133221000,321060000,-224000,2328000,2335000,11843000,16282000,-948000,-6718000,-4374000,1349000,20000,-7423000,2141000,2141000,-1623000,518000,5037000,0,15704000,0.59087,0.03603,-0.00298,-0.00168,-7e-04,-70.10714,1.12898,1.40998,0,-0.0124,-0.0124,4.16364,7.3774,0.86964,0.01995,0.11012,-22.03693,-40.97453
"20","2015_Q3",30.78421875,"Down",82811000,-32560000,50251000,-40077000,-37757000,-2320000,10174000,-99000.0000000001,-99000.0000000001,10075000,-71000,10004000,-4254000,5750000,5750000,5750000,5750000,110840000,50163000,42656000,42656000,33315000,22330000,10985000,186811000,29305000,91270000,2801000,74525000,13944000,120575000,307386000,29866000,698000,29168000,136228000,136228000,166094000,9315000,9315000,9315000,175409000,129798000,-111040000,116718000,-3499000,131977000,131977000,307386000,5750000,2320000,272000,137000,8479000,-730000,-791000,-5506000,557000,11000,-8552000,-863999.999999998,-863999.999999998,859000,-5000,12494000,0,16155000,0.60682,0.12286,0.06944,0.04357,0.01871,2.80957000000001,1.12473,1.32909,0,0.31932,0.31476,4.59882,7.32921,0.89715,0.06233,0.11434,-8.87146,-10.89444
"21","2015_Q4",29.22640625,"Down",74753000,-29222000,45531000,-39262000,-36990000,-2272000,6269000,159000,159000,6428000,-683000,5745000,-1295000,4450000,4450000,4450000,4450000,104151000,45586000,37379000,37379000,30486000,21154000,9332000,172016000,27781000,92903000,2591000,74772000,15540000,120684000,292700000,30236000,595000,29641000,124195000,124195000,154431000,9277000,9277000,9277000,163708000,132382000,-117893000,118131000,-3628000,128992000,128992000,292700000,4450000,2429000,1199000,-4621000,3457000,-638000,1309000,-5860000,993000,1000,-8896000,-4130000,-4130000,-447000,-4577000,8698000,0,4734000,0.60909,0.08386,0.05953,0.0345,0.0152,1.06382,1.11387,1.26913,0,0.24871,0.24633,4.17801,7.20948,0.26459,0.05415,0.03424,-11.97413,-16.61365
"22","2016_Q1",29.0501639344262,"Down",80975000,-33718000,47257000,-43149000,-40986000,-2163000,4108000,169000,169000,4277000,-254000,4023000,-2003000,2020000,2020000,2020000,2020000,101106000,53331000,67355000,67355000,29266000,15737000,13529000,197727000,27569000,93695000,2334000,74071000,17290000,121264000,318991000,41777000,525000,41252000,140676000,140676000,182453000,9236000,9236000,9236000,191689000,135178000,-120185000,117135000,-4826000,127302000,127302000,318991000,2020000,2164000,4305000,-2731000,5758000,-1615000,8989000,-1844000,448000,-1491000,-6351000,8396000,8396000,-651000,7745000,6272000,-8.88178419700125e-16,3929000,0.5836,0.05073,0.02495,0.01587,0.00633,1.94505,1.08371,1.50578,-8.27180612553028e-25,0.1138,0.1111,4.56171,7.17154,0.22134,0.03688,0.02878,-16.12022,-24.61198
"23","2016_Q2",33.81328125,"Up",77401000,-31123000,46278000,-42551000,-40377000,-2174000,3727000,-328000,-328000,3399000,-1015000,2384000,-1095000,1289000,1289000,1289000,1289000,120010000,78654000,49351000,49351000,32029000,18713000,13316000,201390000,26946000,94583000,2165000,74992000,17426000,121529000,322919000,28660000,1289000,27371000,154805000,154805000,183465000,9254000,9254000,9254000,192719000,138391000,-120185000,115222000,-3228000,130200000,130200000,322919000,1289000,2174000,2529000,15584000,21576000,-1144000,5340000,1182000,1182000,-25000,-2044000,24872000,24872000,451000,25323000,5901000,0,21436000,0.5979,0.04815,0.01665,0.0099,0.00399,16.62995,1.0977,1.48018,0,0.07257,0.07191,4.35767,7.33026,1.20685,0.0322,0.15371,-20.33723,-32.20016
"24","2016_Q3",37.7053125,"Up",87821000,-34417000,53404000,-41921000,-39635000,-2286000,11483000,473000,473000,11956000,-64999.9999999998,11891000,-4431000,7460000,7460000,7460000,7460000,126529000,68856000,42714000,42714000,25784000,14208000,11576000,195027000,25833000,95214000,1933000,74444000,18837000,121047000,316074000,31342000,694000,30648000,138597000,138597000,169939000,9436000,9436000,9436000,179375000,142082000,-120185000,119456000,-4654000,136699000,136699000,316074000,7460000,2286000,211000,-78000,9879000,-1174000,-17570000,2965000,2965000,-738000,-1e+06,-8691000,-8691000,-1107000,-9798000.00000001,13769000,7.105427357601e-15,16948000,0.6081,0.13075,0.08495,0.05457,0.0236,2.27185,1.14763,1.31219,0,0.41762,0.41113,4.91636,7.65263,0.94878,0.07313,0.11597,-9.18941,-11.01881
"25","2016_Q4",38.0266666666667,"Up",77427000,-29889000,47538000,-39986000,-37837000,-2149000,7552000,229000,229000,7781000,-1085000,6696000,-3584000,3112000,3112000,3112000,3112000,133240000,70136000,36024000,36024000,22229000,12590000,9639000,191493000,24846000,93300000,1705000,74607000,16988000,118146000,309639000,30288000,634000,29654000,126178000,126178000,156466000,10254000,10254000,10254000,166720000,148626000,-120185000,119300000,-4822000,142919000,142919000,309639000,3112000,2149000,4082000,-2493000,6850000,-1016000,-6622000,5840000,5840000,-1306000,1266000,1494000,1494000,-214000,1280000,9701000,0,9776000,0.61397,0.09754,0.04019,0.02177,0.01005,3.14139,1.22386,1.16653,0,0.1723,0.16881,4.28673,7.91269,0.54125,0.04165,0.06382,-13.73467,-17.64301
"26","2017_Q1",37.7527419354839,"Down",83446000,-32746000,50700000,-41662000,-39628000,-2034000,9038000,366000,366000,9404000,334000,9738000,-3948000,5790000,5790000,5790000,5790000,138105000,76958000,58812000,58812000,26519000,14467000,12052000,223436000,23894000,88455000,1464000,73193000,13798000,112349000,335785000,43209000,1806000,41403000,134265000,134265000,177474000,8275000,8275000,8275000,185749000,157786000,-121976000,121799000,-7573000,150036000,150036000,335785000,5790000,2034000,4825000,-6477000,6172000,-806000,986999.999999999,4956000,6747000,0,1665000,8824000,8824000,-2002000,6822000,11072000,-1.13686837721616e-13,7737000,0.60758,0.10831,0.06939,0.03859,0.01724,1.33627,1.25898,1.23803,0,0.31728,0.31178,4.57263,8.2216,0.42397,0.05736,0.04887,-12.47336,-15.28048
"27","2017_Q2",38.1911111111111,"Up",77194000,-31396000,45798000,-42662000,-40792000,-1870000,3136000,9000,9000,3145000,-203000,2942000,88000,3030000,3030000,3030000,3030000,134593000,74176000,55029000,55029000,26599000,14312000,12287000,216221000,23413000,88168000,1280000,73552000,13336000,111581000,327802000,30107000,328000,29779000,156256000,156256000,186363000,8188000,8188000,8188000,194551000,162377000,-143429000,121069000,-6766000,133251000,133251000,327802000,3030000,1870000,2271000,12283000,19454000,-1540000,-659000,-18730000,2723000,-56000,-22248000,-3453000,-3453000,671000,-2782000,5006000,0,15661000,0.59328,0.04062,0.03925,0.02274,0.00924,5.16865,1.16021,1.46003,0,0.16621,0.16347,4.23445,7.30943,0.85908,0.0459,0.11073,-26.88634,-42.91869
"28","2017_Q3",39.1304761904762,"Up",89733000,-36910000,52823000,-42610000,-40927000,-1683000,10213000,92999.9999999999,93000.0000000001,10306000,-22000,10284000,-4220000,6064000,6064000,6064000,6064000,125235000,67106000,50954000,50954000,23801000,13223000,10578000,199990000,24439000,89764000,1109000,75024000,13631000,114203000,314193000,33429000,1080000,32349000,145350000,145350000,178779000,8040000,8040000,8040000,186819000,166241000,-158402000,123780000,-4245000,127374000,127374000,314193000,6064000,1683000,1996000,-2303999.99999999,7439000,-1700000,570000,-12824000,2149000,-481000,-16658000,-8649000,-8649000,1579000,-7070000,11896000,0,12112000,0.58867,0.11382,0.06758,0.04761,0.0193,1.99736,1.11864,1.4667,-3.3881317890172e-21,0.34231,0.33596,5.06537,7.19018,0.68371,0.06954,0.08944,-10.52749,-12.26231
"29","2017_Q4",43.922380952381,"Up",80369000,-32508000,47861000,-41112000,-39308000,-1804000,6749000,146000,146000,6895000,-772000,6123000,-2170000,3953000,3953000,3953000,3953000,133979000,79960000,39481000,39481000,24963000,15817000,9146000,198423000,26128000,89837000,927000,75815000,13095000,115965000,314388000,37451000,613000,36838000,132929000,132929000,170380000,8788000,8788000,8788000,179168000,175441000,-161943000,124343000,-2621000,135220000,135220000,314388000,3953000,1804000,2847000,1366000,9970000,-2566000,1511000,5453000,8994000,-1974000,89000,11570000,11570000,1284000,12854000,8553000,0,9523000,0.59552,0.08398,0.04919,0.02923,0.01257,2.40906,1.16459,1.32501,0,0.22274,0.21899,4.5286,7.61932,0.5366,0.05099,0.06613,-15.66456,-19.85168
"30","2018_Q1",41.9550819672131,"Down",90377000,-36058000,54319000,-46868000,-44796000,-2072000,7451000,53000,53000,7504000,518000,8022000,-5929000,2093000,2093000,2093000,2093000,134123000,79790000,70023000,70023000,32673000,18942000,13731000,236819000,25249000,83132000,732000,76169000,6231000,108381000,345200000,49846000,217000,49629000,145207000,145207000,195053000,8958000,8958000,8958000,204011000,182134000,-161943000,123010000,-2012000,141189000,141189000,345200000,2093000,2072000,9119000,-12654000,630000,-2055000,-2392000,4640000,4640000,-16000,1198000,-564000,-564000,394000,-170000.000000004,9523000,2.91038304567337e-11,743000,0.60103,0.08244,0.02316,0.01482,0.00606,0.35499,1.21413,1.44495,0,0.11638,0.11423,5.02541,7.85081,0.04131,0.03676,0.00495,-14.08411,-18.00067
