"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","trading_securities","investment_securities_available_for_sale","investment_securities_held_to_maturity","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","securities_sold_under_repo","short_term_borrowings","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",14.7326984126984,"Up",1.626e+09,9.73e+08,1.117e+09,-1.44e+08,6.53e+08,1.35e+08,5.18e+08,-6.6e+07,1.56e+09,-9.95e+08,-6.6e+07,-9.29e+08,5.65e+08,5.65e+08,5.65e+08,-1.58e+08,4.07e+08,5e+06,5e+06,4.12e+08,4.12e+08,-1.4e+07,3.98e+08,6.01e+08,3.7733e+10,1.081e+09,1.8024e+10,1.0638e+10,7.99e+09,8.5633e+10,-8.7e+08,8.6503e+10,9.19e+08,4.35e+08,2.464e+09,8.039e+09,1.35824e+11,1.02821e+11,7.1289e+10,3.1532e+10,2.704e+09,1.78e+09,9.24e+08,1.3261e+10,1.475e+09,1.20569e+11,1.025e+09,7.567e+09,1.257e+09,6.31e+09,-2.711e+09,9.878e+09,-5.06e+08,1.5253e+10,1.5255e+10,1.35824e+11,4.12e+08,9.8e+07,6.6e+07,2.589e+09,-3.349e+09,-1.84e+08,-2.2e+07,7e+06,8e+06,-5.74e+08,-6.55e+08,-1.18e+08,2.262e+09,-85999999.9999999,-1.161e+09,8.91e+08,5.2e+07,5.2e+07,5.2e+07,6.63e+08,1.5965e+10,-2.55e+09,0.34748,0.24477,0.02609,0.00293,-6.40704,7.90357,0.11754,0.36982,0.36412,1.51087,13.22055,-2.36944,0.10964,0.0038,-0.01877,0.29648,23.17345,27.19292
"31","2017_Q4",15.4415873015873,"Up",1.54e+09,9.48e+08,1.109e+09,-1.61e+08,5.92e+08,1.41e+08,4.51e+08,-5.1e+07,1.489e+09,-9.92e+08,-7e+07,-9.22e+08,4.97e+08,4.97e+08,4.97e+08,-1.34e+08,3.63e+08,1e+06,1e+06,3.64e+08,3.64e+08,-1.4e+07,3.5e+08,5.62e+08,3.9527e+10,7.83e+08,1.9012e+10,1.0276e+10,9.456e+09,8.5612e+10,-8.8e+08,8.6492e+10,9.16e+08,4.12e+08,2.487e+09,7.217e+09,1.36733e+11,1.03446e+11,7.1339e+10,3.2107e+10,9.88e+08,3.72e+08,6.16e+08,1.51e+10,1.717e+09,1.21483e+11,1.025e+09,7.567e+09,1.257e+09,6.31e+09,-2.962e+09,1.0125e+10,-5.06e+08,1.5249e+10,1.525e+10,1.36733e+11,3.64e+08,1.03e+08,5.1e+07,3.236e+09,-2.086e+09,1.668e+09,-3.2e+07,-5.52e+08,1.8e+07,-1.535e+09,-2.101e+09,-1.17e+08,1.58e+08,-2.66e+08,6.25e+08,3.94e+08,-3.9e+07,-3.9e+07,-3.9e+07,6e+08,1.6088e+10,-1.384e+09,0.32273,0.22727,0.02295,0.00256,-3.95429,7.9661,0.11766,0.32607,0.32144,1.43471,13.25147,-1.28937,0.109,0.00342,-0.01012,0.33429,25.87667,31.23944
"32","2018_Q1",17.256393442623,"Up",1.594e+09,9.38e+08,1.114e+09,-1.76e+08,6.56e+08,2e+08,4.56e+08,-4.9e+07,1.545e+09,-1.098e+09,-7.2e+07,-1.026e+09,4.47e+08,4.47e+08,4.47e+08,-2.51e+08,1.96e+08,1e+06,1e+06,1.97e+08,1.96e+08,-1.4e+07,1.82e+08,6.71e+08,4.011e+10,8.36e+08,1.8139e+10,1.183e+10,9.305e+09,8.5528e+10,-8.77e+08,8.6405e+10,9.3e+08,4.16e+08,2.538e+09,7.505e+09,1.37698e+11,1.05235e+11,7.157e+10,3.3665e+10,1.011e+09,3.77e+08,6.34e+08,1.4333e+10,2.094e+09,1.22673e+11,1.025e+09,7.592e+09,1.257e+09,6.335e+09,-3.15e+09,1.0335e+10,-7.79e+08,1.5023e+10,1.5025e+10,1.37698e+11,1.97e+08,1.06e+08,4.9e+07,3.816e+09,-3.432e+09,7.36e+08,-5.6e+07,-7.91e+08,1.4e+07,-5.03e+08,-1.406e+09,-1.27e+08,-6.8e+08,-2.02e+08,1.789e+09,7.79e+08,1.09e+08,1.09e+08,1.09e+08,5.53e+08,1.5344e+10,-2.684e+09,0.28043,0.11418,0.01211,0.00132,-14.74725,8.16459,0.11143,0.17008,0.16759,1.48957,13.0809,-2.50815,0.11868,0.00224,-0.01949,0.6978,26.53345,32.8255
"33","2018_Q2",16.52109375,"Down",1.545e+09,9.44e+08,1.137e+09,-1.93e+08,6.01e+08,1.43e+08,4.58e+08,-6.1e+07,1.484e+09,-1.006e+09,-6.2e+07,-9.44e+08,4.78e+08,4.78e+08,4.78e+08,-6.2e+07,4.16e+08,2e+06,2e+06,4.18e+08,4.18e+08,-1.4e+07,4.04e+08,6.43e+08,3.7347e+10,7.69e+08,1.7888e+10,1.2189e+10,6.501e+09,8.7208e+10,-8.81e+08,8.8089e+10,9.16e+08,3.87e+08,2.538e+09,8.01e+09,1.37049e+11,1.04751e+11,7.315e+10,3.1601e+10,1.749e+09,6.16e+08,1.133e+09,1.3749e+10,1.854e+09,1.22103e+11,1.025e+09,7.546e+09,1.257e+09,6.289e+09,-3.26e+09,1.0624e+10,-9.91e+08,1.4944e+10,1.4946e+10,1.37049e+11,4.18e+08,1.03e+08,6.1e+07,2.734e+09,-3.527e+09,-2.11e+08,-1.8e+07,-2.5e+08,7e+06,1.01e+09,7.49e+08,-1.27e+08,2.34e+08,-1.46e+08,-4.84e+08,-5.66e+08,-2.8e+07,-2.8e+07,-2.8e+07,5.81e+08,1.5498e+10,-2.902e+09,0.30939,0.26149,0.02703,0.00295,-7.18317,8.16961,0.11308,0.38256,0.37694,1.46302,13.18041,-2.74801,0.12026,0.00387,-0.02117,0.31436,25.56799,31.07741
"34","2018_Q3",17.3052380952381,"Up",1.639e+09,9.79e+08,1.205e+09,-2.26e+08,6.6e+08,1.55e+08,5.05e+08,-6.4e+07,1.575e+09,-9.93e+08,-7.2e+07,-9.21e+08,5.82e+08,5.82e+08,5.82e+08,-1.03e+08,4.79e+08,3e+06,3e+06,4.82e+08,4.82e+08,-1.5e+07,4.67e+08,7.84e+08,3.7979e+10,8.33e+08,1.7367e+10,1.2277e+10,7.502e+09,8.7335e+10,-8.87e+08,8.8222e+10,8.92e+08,3.61e+08,2.516e+09,7.925e+09,1.37792e+11,1.04548e+11,7.3748e+10,3.08e+10,2.306e+09,1.667e+09,6.39e+08,1.3853e+10,1.983e+09,1.2269e+11,1.025e+09,7.572e+09,1.257e+09,6.315e+09,-3.382e+09,1.097e+10,-1.085e+09,1.51e+10,1.5102e+10,1.37792e+11,4.82e+08,9.2e+07,6.4e+07,2.79e+09,-2.809e+09,6.19e+08,-1.7e+07,5.55e+08,7e+06,-1.253e+09,-7.08e+08,-1.41e+08,6.96e+08,-1.19e+08,-2.03e+08,2.3e+08,1.41e+08,1.41e+08,1.41e+08,6.74e+08,1.6159e+10,-2.049e+09,0.35509,0.28493,0.03092,0.00339,-4.38758,8.12409,0.11727,0.44364,0.43817,1.55702,13.37099,-1.94651,0.13395,0.00441,-0.01487,0.30193,22.81157,26.41753
"35","2018_Q4",14.7861904761905,"Down",1.595e+09,9.86e+08,1.239e+09,-2.53e+08,6.09e+08,1.66e+08,4.43e+08,-6.2e+07,1.533e+09,-9.64e+08,-6.4e+07,-9e+08,5.69e+08,5.69e+08,5.69e+08,-8.7e+07,4.82e+08,0,0,4.82e+08,4.82e+08,-1.4e+07,4.68e+08,3.19e+08,3.8277e+10,9.58e+08,1.8341e+10,1.1869e+10,7.109e+09,8.8381e+10,-8.87e+08,8.9268e+10,8.91e+08,3.38e+08,2.516e+09,8.083e+09,1.38805e+11,1.0578e+11,7.575e+10,3.003e+10,1.922e+09,1.285e+09,6.37e+08,1.3849e+10,2.044e+09,1.23595e+11,1.45e+09,7.572e+09,1.257e+09,6.315e+09,-3.91e+09,1.1262e+10,-1.166e+09,1.5208e+10,1.521e+10,1.38805e+11,4.82e+08,9.5e+07,6.2e+07,2.536e+09,-2.789e+09,3.86e+08,-3.7e+07,-5.64e+08,8e+06,-8.31e+08,-1.424e+09,-1.9e+08,-3.44e+08,-1.24e+08,1.232e+09,5.73e+08,-4.65e+08,-4.65e+08,-4.65e+08,6.64e+08,1.5771e+10,-2.075e+09,0.35674,0.29342,0.03077,0.00337,-4.43376,8.1259,0.11362,0.45153,0.44572,1.53886,13.27379,-2.00197,0.18331,0.00474,-0.01495,0.40598,23.27108,27.15641
"36","2019_Q1",14.1380327868852,"Down",1.645e+09,1e+09,1.297e+09,-2.97e+08,6.45e+08,1.86e+08,4.59e+08,-5.9e+07,1.586e+09,-1.012e+09,-5.8e+07,-9.54e+08,5.74e+08,5.74e+08,5.74e+08,-9.2e+07,4.82e+08,2e+06,2e+06,4.84e+08,4.84e+08,-2.3e+07,4.61e+08,6.78e+08,3.9195e+10,8.49e+08,1.9428e+10,1.1519e+10,7.399e+09,8.8669e+10,-8.83e+08,8.9552e+10,8.82e+08,3.16e+08,2.516e+09,7.357e+09,1.39613e+11,1.07309e+11,7.8017e+10,2.9292e+10,8.63e+08,3.19e+08,5.44e+08,1.3732e+10,2.113e+09,1.24017e+11,1.45e+09,7.588e+09,1.257e+09,6.331e+09,-4.181e+09,1.1556e+10,-8.18e+08,1.5595e+10,1.5596e+10,1.39613e+11,4.84e+08,9.2e+07,5.9e+07,5.899e+09,-4.822e+09,1.712e+09,1.79e+08,-5.15e+08,-2.2e+07,-7.41e+08,-1.099e+09,-1.98e+08,-1.308e+09,-2.77e+08,1.529e+09,-2.54e+08,3.59e+08,3.59e+08,3.59e+08,6.66e+08,1.4595e+10,-3.885e+09,0.34894,0.28024,0.02956,0.0033,-8.42733,7.95185,0.10454,0.45267,0.44706,1.61529,13.88954,-3.81484,0.19442,0.00472,-0.02783,0.4295,20.8964,24.24564
"37","2019_Q2",14.4939682539683,"Up",1.513e+09,9.77e+08,1.304e+09,-3.27e+08,5.36e+08,1.1e+08,4.26e+08,-6.2e+07,1.451e+09,-9.63e+08,-5.1e+07,-9.12e+08,4.88e+08,4.88e+08,4.88e+08,-8.2e+07,4.06e+08,1e+06,1e+06,4.07e+08,4.07e+08,-2e+07,3.87e+08,6.11e+08,4.0408e+10,9.79e+08,2.0854e+10,1.1234e+10,7.341e+09,8.9295e+10,-8.83e+08,9.0178e+10,8.49e+08,3e+08,2.516e+09,7.536e+09,1.41515e+11,1.08175e+11,8.0188e+10,2.7987e+10,9.45e+08,2.66e+08,6.79e+08,1.4168e+10,2.301e+09,1.25589e+11,1.45e+09,7.516e+09,1.257e+09,6.259e+09,-4.283e+09,1.1771e+10,-5.3e+08,1.5924e+10,1.5926e+10,1.41515e+11,4.07e+08,5.8e+07,6.2e+07,2.032e+09,-2.003e+09,5.56e+08,-8e+06,-8.01e+08,4e+06,-7.29e+08,-1.534e+09,-1.92e+08,4.33e+08,-1.64e+08,8.66e+08,9.11e+08,-6.7e+07,-6.7e+07,-6.7e+07,5.46e+08,1.5113e+10,-1.383e+09,0.32254,0.25578,0.0243,0.00273,-3.57364,7.88578,0.10679,0.38442,0.38072,1.5029,14.37743,-1.37377,0.19072,0.00409,-0.00977,0.49612,26.56044,29.71721
"38","2019_Q3",14.98328125,"Up",1.603e+09,9.81e+08,1.329e+09,-3.48e+08,6.22e+08,1.63e+08,4.59e+08,-7.4e+07,1.529e+09,-1.019e+09,-5.4e+07,-9.65e+08,5.1e+08,5.1e+08,5.1e+08,-8.7e+07,4.23e+08,2e+06,2e+06,4.25e+08,4.25e+08,-2e+07,4.05e+08,6.07e+08,4.0687e+10,1.005e+09,2.1528e+10,1.0878e+10,7.276e+09,9.1047e+10,-8.9e+08,9.1937e+10,8.29e+08,2.98e+08,2.664e+09,8.413e+09,1.44545e+11,1.09946e+11,8.1974e+10,2.7972e+10,8.81e+08,1.61e+08,7.2e+08,1.4312e+10,2.435e+09,1.27574e+11,1.9e+09,7.523e+09,1.257e+09,6.266e+09,-4.457e+09,1.2005e+10,-2e+06,1.6969e+10,1.6971e+10,1.44545e+11,4.25e+08,6.3e+07,7.4e+07,2.363e+09,-2.761e+09,1.64e+08,-2.9e+07,1.68e+08,6000000.00000001,-1.899e+09,-1.939e+09,-1.91e+08,-6.6e+07,2.58e+08,1.771e+09,1.771e+09,-3999999.99999994,-3999999.99999994,-3999999.99999994,5.73e+08,1.5193e+10,-2.13e+09,0.31815,0.25265,0.02386,0.0028,-5.25926,7.51718,0.10511,0.40525,0.4017,1.604,15.07839,-2.13133,0.19112,0.00412,-0.01474,0.4716,25.4555,28.6
"39","2019_Q4",16.5096875,"Up",1.622e+09,9.72e+08,1.317e+09,-3.45e+08,6.5e+08,1.76e+08,4.74e+08,-2e+08,1.422e+09,-9.39e+08,-5e+07,-8.89e+08,4.83e+08,4.83e+08,4.83e+08,-7e+07,4.13e+08,3e+06,3e+06,4.16e+08,4.16e+08,-3e+07,3.86e+08,6.36e+08,4.2018e+10,9.63e+08,2.2378e+10,1.049e+10,8.187e+09,9.1867e+10,-8.93e+08,9.276e+10,8.15e+08,2.72e+08,2.664e+09,8.419e+09,1.46691e+11,1.11649e+11,8.2766e+10,2.8883e+10,8.82e+08,1.82e+08,7e+08,1.447e+10,2.574e+09,1.29575e+11,1.9e+09,7.544e+09,1.257e+09,6.287e+09,-4.696e+09,1.2209e+10,1.59e+08,1.7116e+10,1.7116e+10,1.46691e+11,4.16e+08,6.2e+07,2e+08,3.575e+09,-3.06e+09,1.193e+09,-4e+06,-2.02e+08,-1e+07,-2.283e+09,-2.499e+09,-2.12e+08,9e+07,-2.46e+08,1.703e+09,1.335e+09,2.9e+07,2.9e+07,2.9e+07,5.45e+08,1.5352e+10,-2.449e+09,0.29778,0.23798,0.02255,0.00263,-6.34456,7.5704,0.10466,0.39041,0.3864,1.64052,15.38975,-2.47696,0.21442,0.00408,-0.01669,0.54922,27.00183,30.46791
"40","2020_Q1",14.695,"Down",1.63e+09,9.79e+08,1.285e+09,-3.06e+08,6.51e+08,1.81e+08,4.7e+08,-1.09e+08,1.521e+09,-9.8e+08,-3.1e+07,-9.49e+08,5.41e+08,5.41e+08,5.41e+08,-7.5e+07,4.66e+08,3e+06,3e+06,4.69e+08,4.69e+08,-2.7e+07,4.42e+08,7.32e+08,3.906e+10,1.04e+09,2.1843e+10,1.0067e+10,6.11e+09,9.3746e+10,-9e+08,9.4646e+10,8.14e+08,2.53e+08,2.664e+09,7.719e+09,1.44988e+11,1.1187e+11,8.3017e+10,2.8853e+10,1.092e+09,3.87e+08,7.05e+08,1.2448e+10,2.54e+09,1.2795e+11,1.9e+09,7.552e+09,1.257e+09,6.295e+09,-4.909e+09,1.2469e+10,2.6e+07,1.7038e+10,1.7038e+10,1.44988e+11,4.69e+08,5.8e+07,1.09e+08,3.868e+09,-3.511e+09,9.93e+08,-2.6e+07,6.11e+08,3.99e+08,7e+07,1.054e+09,-2.09e+08,-1.733e+09,-2.3e+08,2.21e+08,-1.951e+09,9.6e+07,9.6e+07,9.6e+07,5.99e+08,1.354e+10,-2.863e+09,0.3319,0.27117,0.02594,0.00305,-6.47738,7.50968,0.09339,0.454,0.44859,1.67427,15.54912,-2.94075,0.21468,0.00449,-0.01975,0.47285,21.3823,23.67468
"41","2020_Q2",10.4073015873016,"Down",1.458e+09,9.81e+08,1.251e+09,-2.7e+08,4.77e+08,1.16e+08,3.61e+08,-3.59e+08,1.099e+09,-9.31e+08,-4.4e+07,-8.87e+08,1.68e+08,1.68e+08,1.68e+08,-2.3e+07,1.45e+08,1e+06,1e+06,1.46e+08,1.46e+08,-2.7e+07,1.19e+08,8.65e+08,4.0235e+10,7.95e+08,2.0807e+10,9.638e+09,8.995e+09,1.01839e+11,-1.359e+09,1.03198e+11,7.91e+08,2.36e+08,2.664e+09,9.567e+09,1.56197e+11,1.15304e+11,8.6011e+10,2.9293e+10,7.05e+09,2.444e+09,4.606e+09,1.3732e+10,2.7e+09,1.38786e+11,1.9e+09,7.479e+09,1.257e+09,6.222e+09,-4.956e+09,1.2174e+10,8.14e+08,1.7411e+10,1.7411e+10,1.56197e+11,1.46e+08,5.4e+07,3.59e+08,2.641e+09,-3.373e+09,-1.73e+08,-1.2e+07,1.92e+09,5.4e+07,-1.1684e+10,-9.722e+09,-2.08e+08,6.949e+09,-1.12e+08,3.434e+09,1.0028e+10,1.33e+08,1.33e+08,1.33e+08,2.22e+08,2.0782e+10,-3.14e+09,0.11523,0.08162,0.00683,0.00076,-26.38655,7.97117,0.13305,0.123,0.12191,1.50706,16.03294,-3.24566,0.215,0.00209,-0.0201,1.7479,89.71622,118.55357
"42","2020_Q3",11.07703125,"Up",1.71e+09,1.018e+09,1.19e+09,-1.72e+08,6.92e+08,1.56e+08,5.36e+08,-4.82e+08,1.228e+09,-1.013e+09,-4.9e+07,-9.64e+08,2.15e+08,2.15e+08,2.15e+08,-3e+07,1.85e+08,2e+06,2e+06,1.87e+08,1.87e+08,-2.6e+07,1.61e+08,1.059e+09,5.2262e+10,6.45e+08,2.36e+10,9.075e+09,1.8942e+10,1.04451e+11,-1.708e+09,1.06159e+11,7.76e+08,2.18e+08,2.664e+09,9.762e+09,1.71192e+11,1.35513e+11,9.2711e+10,4.2802e+10,1.983e+09,2.67e+08,1.716e+09,1.3734e+10,2.42e+09,1.5365e+11,1.9e+09,7.497e+09,1.257e+09,6.24e+09,-4.945e+09,1.2154e+10,9.36e+08,1.7542e+10,1.7542e+10,1.71192e+11,1.87e+08,3.2e+07,4.82e+08,3.533e+09,-3.956e+09,2.78e+08,-1.5e+07,-2.037e+09,37000000.0000001,-2.43e+08,-1.5022e+10,-2.07e+08,-5.064e+09,1e+06,2.0209e+10,1.4938e+10,1.94e+08,1.94e+08,1.94e+08,2.47e+08,1.5717e+10,-3.694e+09,0.12573,0.09415,0.00918,0.00094,-22.9441,8.75898,0.09181,0.16644,0.16556,1.76778,16.17055,-3.81882,0.21399,0.00215,-0.02158,1.28571,59.34413,68.17674
"43","2020_Q4",13.43125,"Up",1.681e+09,1e+09,1.119e+09,-1.19e+08,6.81e+08,1.46e+08,5.35e+08,-1.6e+08,1.521e+09,-1.037e+09,-4.9e+07,-9.88e+08,4.84e+08,4.84e+08,4.84e+08,-6e+07,4.24e+08,4e+06,4e+06,4.28e+08,4.28e+08,-2.7e+07,4.01e+08,9.56e+08,5.5054e+10,7.33e+08,2.6895e+10,8.384e+09,1.9042e+10,1.01351e+11,-1.73e+09,1.03081e+11,7.65e+08,2.03e+08,2.664e+09,9.547e+09,1.7054e+11,1.36746e+11,9.3171e+10,4.3575e+10,1.031e+09,2.13e+08,8.18e+08,1.2685e+10,2.356e+09,1.52818e+11,1.9e+09,7.52e+09,1.257e+09,6.263e+09,-4.94e+09,1.2375e+10,8.67e+08,1.7722e+10,1.7722e+10,1.7054e+11,4.28e+08,2.6e+07,1.6e+08,3.513e+09,-3.505e+09,6.22e+08,-1.8e+07,-2.573e+09,4.9e+07,2.855e+09,2.01e+08,-2.07e+08,-1.953e+09,1e+06,1.233e+09,-9.26e+08,-1.03e+08,-1.03e+08,-1.03e+08,5.1e+08,1.3716e+10,-2.953e+09,0.28792,0.23855,0.02263,0.00235,-7.36409,8.62307,0.08043,0.4142,0.41158,1.73633,16.34275,-3.05019,0.21381,0.00357,-0.01732,0.51621,25.01961,26.36364
"44","2021_Q1",17.9840983606557,"Up",1.837e+09,1.035e+09,1.125e+09,-9e+07,8.02e+08,2.43e+08,5.59e+08,-2e+07,1.817e+09,-1.128e+09,-5.4e+07,-1.074e+09,6.89e+08,6.89e+08,6.89e+08,-1.14e+08,5.75e+08,7e+06,7e+06,5.82e+08,5.82e+08,-2.6e+07,5.56e+08,1.091e+09,5.6987e+10,7.35e+08,2.7556e+10,7.595e+09,2.1101e+10,9.9559e+10,-1.626e+09,1.01185e+11,7.53e+08,1.88e+08,2.664e+09,9.094e+09,1.70336e+11,1.35282e+11,9.2083e+10,4.3199e+10,2.2e+08,2.2e+08,816425019.16188,1.4468e+10,2.385e+09,1.52355e+11,1.9e+09,7.538e+09,1.257e+09,6.281e+09,-4.946e+09,1.2751e+10,7.38e+08,1.7981e+10,1.7981e+10,1.70336e+11,5.82e+08,-999999.999999996,2e+07,3.955e+09,-3.61e+09,9.46e+08,-1.8e+07,3.5e+07,7.1e+07,-1.3142e+10,-1.78e+08,-2.07e+08,1.054e+09,-1.6e+07,-1.464e+09,-633000000.000002,1.35e+08,1.35e+08,1.35e+08,6.88e+08,1.4688e+10,-2.826e+09,0.37507,0.30267,0.03092,0.00326,-5.08273,8.47311,0.08623,0.57424,0.56945,1.89726,16.60855,-2.91871,0.21379,0.00448,-0.01659,0.3723,19.76308,19.7344
"45","2021_Q2",20.4019047619048,"Up",1.743e+09,1.005e+09,1.087e+09,-8.2e+07,7.38e+08,1.62e+08,5.76e+08,9.3e+07,1.836e+09,-1.071e+09,-5e+07,-1.021e+09,7.65e+08,7.65e+08,7.65e+08,-1.47e+08,6.18e+08,4e+06,4e+06,6.22e+08,6.22e+08,-2.7e+07,5.95e+08,9.38e+08,6.1884e+10,8.11e+08,3.3923e+10,6.857e+09,2.0293e+10,9.9488e+10,-1.438e+09,1.00926e+11,7.37e+08,1.73e+08,2.673e+09,1.031e+10,1.76203e+11,1.42183e+11,9.4651e+10,4.7532e+10,1.025e+09,2.81e+08,7.44e+08,1.2499e+10,2.862e+09,1.58569e+11,1.9e+09,7.47e+09,1.257e+09,6.213e+09,-5.005e+09,1.3166e+10,1.03e+08,1.7634e+10,1.7634e+10,1.76203e+11,6.22e+08,1.7e+07,-9.3e+07,3.412e+09,-4.163e+09,-2.05e+08,-1.2e+07,-6.45e+09,-9.8e+07,1.039e+09,-5.53e+09,-2.07e+08,-9.58e+08,-1.23e+08,6.901e+09,5.582e+09,-1.53e+08,-1.53e+08,-1.53e+08,7.82e+08,1.3524e+10,-3.246e+09,0.4389,0.34137,0.03374,0.00338,-5.45546,8.99223,0.07675,0.61481,0.61038,1.80102,16.25778,-3.35406,0.21389,0.00455,-0.01842,0.3479,16.09463,16.45229
"46","2021_Q3",19.15765625,"Down",1.767e+09,1.017e+09,1.09e+09,-7.3e+07,7.5e+08,5.91e+08,1.59e+08,2.22e+08,1.989e+09,-1.076e+09,-5.1e+07,-1.025e+09,9.13e+08,9.13e+08,9.13e+08,-1.89e+08,7.24e+08,5e+06,5e+06,7.29e+08,7.29e+08,2.7e+07,7.56e+08,7.92e+08,6.7063e+10,8.51e+08,3.4638e+10,6.175e+09,2.5399e+10,9.951e+10,-1.22e+09,1.0073e+11,7.85e+08,1.59e+08,2.673e+09,1.0133e+10,1.81115e+11,1.46072e+11,9.6792e+10,4.928e+10,9.34e+08,2.11e+08,7.23e+08,1.3211e+10,2.957e+09,1.63174e+11,1.9e+09,7.489e+09,1.257e+09,6.232e+09,-5.287e+09,1.3689e+10,1.5e+08,1.7941e+10,1.7941e+10,1.81115e+11,7.29e+08,4000000.00000001,-2.22e+08,4.331e+09,-4.389e+09,4.53e+08,-2e+07,194999999.999999,2.61e+08,-7.54e+08,-4.584e+09,-2.06e+08,5.95e+08,-2.92e+08,3.889e+09,3.985e+09,-1.46e+08,-1.46e+08,-1.46e+08,9.17e+08,1.4145e+10,-3.303e+09,0.51669,0.42784,0.04214,0.00417,-4.36905,9.09503,0.0781,0.78117,0.77554,1.82582,16.575,-3.41296,0.21286,0.00531,-0.01824,0.27249,14.56161,14.62541
"47","2021_Q4",22.1903125,"Up",1.813e+09,1.016e+09,1.087e+09,-7.1e+07,7.97e+08,3.6e+08,3.26e+08,1.07e+08,1.92e+09,-1.112e+09,-5.6e+07,-1.056e+09,8.08e+08,8.08e+08,8.08e+08,-1.65e+08,6.43e+08,2e+06,2e+06,6.45e+08,6.45e+08,-41328117.2522133,6.45e+08,7.63e+08,7.4446e+10,9.02e+08,4.0594e+10,8.423e+09,2.4527e+10,9.7525e+10,-1.084e+09,9.8609e+10,6.78e+08,1.44e+08,2.673e+09,1.0806e+10,1.87035e+11,1.51931e+11,9.8706e+10,5.3225e+10,2.28e+08,2.28e+08,439880030.659007,1.3932e+10,3.434e+09,1.69525e+11,1.9e+09,7.398e+09,1.257e+09,6.141e+09,-5.876e+09,1.4133e+10,-4.5e+07,1.751e+10,1.751e+10,1.87035e+11,6.45e+08,5.9e+07,-1.07e+08,3.518e+09,-3.2e+09,9.15e+08,1e+06,-5.628e+09,8e+07,-1.26e+09,-5.955e+09,-2.01e+08,6.1e+07,-7.08e+08,5.859e+09,5.011e+09,-2.9e+07,-2.9e+07,-2.9e+07,8.67e+08,1.416e+10,-2.167e+09,0.44567,0.35576,0.03684,0.00345,-3.35969,9.68161,0.07571,0.69883,0.69004,1.96431,16.91279,-2.34786,0.21778,0.00452,-0.01159,0.31163,15.45213,16.58045
"48","2022_Q1",23.9738709677419,"Up",1.942e+09,1.033e+09,1.103e+09,-7e+07,9.09e+08,-1.76e+08,1.196e+09,-4000000.00000001,1.938e+09,-1.17e+09,-7e+07,-1.1e+09,7.68e+08,7.68e+08,7.68e+08,-1.41e+08,6.27e+08,2e+06,2e+06,6.29e+08,6.29e+08,-1.06e+08,5.23e+08,9.13e+08,6.958e+10,895495776.522552,43907827864.5223,8179295351.07282,16883595206.9487,1.00793e+11,-1.061e+09,1.01854e+11,6.81e+08,1.3e+08,2.693e+09,1.1556e+10,1.86346e+11,1.52572e+11,1.00568e+11,5.2004e+10,1.73e+08,36296600.3779665,-527859908.022978,1.263e+10,3.548e+09,1.68923e+11,1.9e+09,7.535e+09,1257000000.00023,6142970402.69595,-5.979e+09,1.4553e+10,-5.86e+08,1.7423e+10,1.7423e+10,1.86346e+11,6.29e+08,-4.8e+07,4000000.00000001,4.731e+09,-5.326e+09,-10000000.0000001,-3.1e+07,-4.411e+09,9.4e+07,1.955e+09,1.001e+09,-2.09e+08,-1.279e+09,6e+06,641000000.000001,-8.41e+08,1.5e+08,1.5e+08,1.5e+08,7.2e+08,1.2803e+10,-4.496e+09,0.39547,0.26931,0.03002,0.00281,-8.59656,9.6954,0.06871,0.56665,0.55952,2.10408,16.81853,-4.87123,0.22644,0.00393,-0.02413,0.39962,16.51389,15.48177
