"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",0.5096875,"Up",3096000,-2336000,760000,-1148000,-1148000,-388000,13000,13000,-375000,-375000,-24000,-399000,-399000,-399000,-399000,1229000,1229000,1845000,1845000,2864000,242000,242000,6180000,629000,629000,1032000,7212000,2303000,1578000,725000,2315000,450000,476000,2791000,60525000,-56523000,419000,4421000,4421000,7212000,-399000,62000,29000,-107000,-415000,38000,-44000,-44000,-421000,-421000,-4000,-425000,-326000,38000,0.24548,-0.12532,-0.12888,-0.09025,-0.05532,2.66955,0.63131,0.00527,-0.01036,-0.01036,0.08035,0.11474,-0.08128,3.65337,3.06959
"12","2013_Q3",0.7134375,"Up",4287000,-3053000,1234000,-1315000,-1315000,-81000,-9000,-9000,-90000,-90000,-5000,-95000,-95000,-95000,-95000,1328000,1328000,1782000,1782000,2800000,178000,178000,6088000,619000,619000,967000,7055000,2214000,1590000,624000,2227000,466000,466000,2693000,60604000,-56618000,376000,4362000,4362000,7055000,-95000,56000,74000,59000.0000000001,94000.0000000002,0,-3000,-3000.00000000001,91000,91000,8000,99000,-25000,13000,0.28785,-0.01889,-0.02216,-0.02178,-0.01347,2.73372,0.61738,0.00184,-0.00247,-0.00247,0.11126,0.11321,-0.01962,52.6,16.23457
"13","2013_Q4",0.62125,"Down",4217000,-3203000,1014000,-1338000,-1338000,-324000,14000,14000,-310000,-310000,-20000,-330000,-330000,-330000,-330000,1162000,1162000,2130000,2130000,2787000,164000,164000,6243000,254000,254000,546000,6789000,2059000,1350000,709000,2072000,452000,452000,2524000,60811000,-56948000,402000,4265000,4265000,6789000,-330000,56000,79000,-107000,-302000,0,102000,102000,-2e+05,-2e+05,34000,-166000,-268000,13000,0.24046,-0.07683,-0.07825,-0.07737,-0.04861,3.01303,0.59179,0.00191,-0.00854,-0.00854,0.10918,0.11043,-0.06977,4.28731,3.5463
"14","2014_Q1",0.526065573770492,"Down",2096000,-1841000,255000,-1300000,-1300000,-1045000,-8000,-8000,-1053000,-1053000,-16000,-1069000,-1069000,-1069000,-1069000,1464000,1464000,1034000,1034000,2315000,410000,410000,5223000,59000,59000,291000,5514000,1800000,871000,929000,1813000,425000,441000,2254000,60922000,-58017000,355000,3260000,3260000,5514000,-1069000,53000,114000,1208000,306000,2000,-3000.00000000003,6000,314000,314000,-12000,302000,-992000,29000,0.12166,-0.49857,-0.51002,-0.32791,-0.19387,2.88086,0.69141,0.00526,-0.02763,-0.02763,0.05417,0.08426,-0.28783,1.44657,1.37321
"15","2014_Q2",0.43031746031746,"Down",2890000,-2197000,693000,-1203000,-1203000,-510000,-11000,-11000,-521000,-521000,-18000,-539000,-539000,-539000,-539000,1182000,1182000,1611000,1611000,2829000,430000,430000,6052000,47000,47000,226000,6278000,3058000,2222000,836000,3107000,394000,394000,3501000,61009000,-58556000,324000,2777000,2777000,6278000,-539000,53000,98000,124000,-264000,1000,-3000,-3000,-266000,-266000,-16000,-282000,-457000,0,0.23979,-0.17647,-0.18651,-0.19409,-0.08586,1.94786,1.26071,0,-0.01392,-0.01392,0.07466,0.07174,-0.16998,2.58643,2.31765
"16","2014_Q3",0.4025,"Down",3879000,-3007000,872000,-1274000,-1274000,-402000,3000,3000,-399000,-399000,-30000,-429000,-429000,-429000,-429000,519000,519000,2648000,2648000,3420000,185000,185000,6772000,36000,36000,162000,6934000,3829000,3036000,793000,3879000,381000,381000,4260000,61245000,-58984000,413000,2674000,2674000,6934000,-429000,52000,95000,-552000,-834000,0,-3000,133000,-701000,-701000,38000,-663000,-350000,0,0.2248,-0.10363,-0.1106,-0.16043,-0.06187,1.74581,1.59312,0,-0.01098,-0.01098,0.09926,0.06843,-0.14043,1.48286,1.29104
"17","2014_Q4",0.42078125,"Up",4375000,-3325000,1050000,-1227000,-1227000,-177000,-30000,-30000,-207000,-207000,-26000,-233000,-233000,-233000,-233000,577000,577000,2392000,2392000,2610000,146000,146000,5725000,24000,24000,101000,5826000,2401000,1478000,923000,2452000,368000,368000,2820000,61856000,-59218000,368000,3006000,3006000,5826000,-233000,49000,75000,-363000,-472000,0,-4000,536000,64000,64000,-6000,58000,-128000,0,0.24,-0.04046,-0.05326,-0.07751,-0.03999,2.33483,0.93812,0,-0.00585,-0.00585,0.10977,0.07542,-0.06906,4.50781,3.25989
"18","2015_Q1",0.371803278688525,"Down",2411000,-2014000,397000,-1066000,-1066000,-669000,317000,331000,-352000,-352000,13000,-339000,-339000,-339000,-339000,857000,857000,1237000,1237000,2603000,121000,121000,4818000,31000,31000,56000,4874000,2212000,1375000,837000,2226000,24000,26000,2252000,61884000,-59557000,295000,2622000,2622000,4874000,-339000,52000,32000,580000,325000,0,-3000,-10000.0000000001,315000,315000,-35000,280000,-617000,16000,0.16466,-0.27748,-0.14061,-0.12929,-0.06955,2.16442,0.85889,0.00328,-0.00827,-0.00827,0.05882,0.06396,-0.12735,1.36305,1.2571
"19","2015_Q2",0.337619047619048,"Down",2893000,-2151000,742000,-971000,-971000,-229000,-43000,-35000,-272000,-272000,-6000,-278000,-278000,-278000,-278000,476000,476000,1969000,1969000,2601000,153000,153000,5199000,21000,21000,52000,5251000,2550000,1844000,706000,2807000,12000,12000,2819000,61924000,-59835000,343000,2432000,2432000,5251000,-278000,9000,23000,-336000,-582000,-14000,245000,245000,-351000,-351000,-30000,-381000,-220000,0,0.25648,-0.07916,-0.09609,-0.11431,-0.05294,1.85216,1.15913,0,-0.00679,-0.00679,0.07061,0.05936,-0.11375,2.16364,2.0786
"20","2015_Q3",0.34640625,"Up",4262000,-3209000,1053000,-1145000,-1145000,-92000,-14000,1999.99999999994,-106000,-106000,-10000,-116000,-116000,-116000,-116000,667000,667000,2657000,2657000,3475000,137000,137000,6936000,22000,22000,47000,6983000,3737000,3044000,693000,4471000,13000,13000,4484000,62128000,-59951000,322000,2499000,2499000,6983000,-116000,5000,102000,-393000,-402000,-5.45696821063757e-12,477000,591000,189000,189000,2000,191000,-86999.9999999999,0,0.24707,-0.02159,-0.02722,-0.04642,-0.01661,1.55133,1.79432,-4.33680868994202e-19,-0.00282,-0.00282,0.10376,0.06084,-0.04618,7.66667,7.25
"21","2015_Q4",0.42140625,"Up",3762000,-2814000,948000,-945000,-945000,3000,-183000,-169000,-180000,-180000,-1000,-181000,-181000,-181000,-181000,491000,491000,2158000,2158000,3253000,124000,124000,6026000,21000,21000,61000,6087000,3477000,2642000,835000,3808000,14000,14000,3822000,62152000,-60131000,244000,2265000,2265000,6087000,-181000,5000,13000,436000,273000,-20000,-403000,-402000,-149000,-149000,-27000,-176000,8000,0,0.25199,8e-04,-0.04811,-0.07991,-0.02974,1.58246,1.68742,0,-0.00438,-0.00438,0.09105,0.05482,-0.07942,-61.375,-163.66667
"22","2016_Q1",0.543934426229508,"Up",2674000,-2173000,501000,-939000,-939000,-438000,-50000.0000000001,-27000,-488000,-488000,-57000,-545000,-545000,-545000,-545000,772000,772000,1840000,1840000,2569000,116000,116000,5297000,20000,20000,57000,5354000,2666000,1786000,880000,3576000,11000,11000,3587000,62231000,-60677000,213000,1767000,1767000,5354000,-545000,4000,72000,172000,-297000,0,575000,574000,277000,277000,3999.99999999999,281000,-434000,0,0.18736,-0.1638,-0.20381,-0.30843,-0.10179,1.48126,2.02999,-2.71050543121376e-20,-0.01319,-0.01319,0.06472,0.04277,-0.30652,1.77880000000001,1.76256000000001
"23","2016_Q2",0.65828125,"Up",4274000,-3102000,1172000,-1106000,-1106000,66000,-10000,12000,56000,56000,-7000,49000,49000,49000,49000,699000,699000,2406000,2406000,2790000,108000,108000,6003000,21000,21000,53000,6056000,3277000,2080000,1197000,4179000,12000,12000,4191000,62260000,-60628000,233000,1865000,1865000,6056000,49000,4000,40000,-160000,-67000,2944.5833874474,-8000,-8000,-75000,-75000,2000,-73000,70000,0,0.27422,0.01544,0.01146,0.02627,0.00809,1.43647,2.24718,0,0.00119,0.00118,0.10345,0.04514,0.02611,-9.98571,-10.59091
"24","2016_Q3",0.500625,"Down",4304000,-3218000,1086000,-1092000,-1092000,-6000,-50000,-29000,-56000,-56000.0000000001,-9000.00000000001,-65000,-65000,-65000,-65000,584000,584000,2736000,2736000,2514000,80000,80000,5914000,21000,21000,53000,5967000,2830000,1727000,1103000,4017000,11000,11000,4028000,62309000,-60693000,323000,1939000,1939000,5967000,-65000,4000,47000,-381000,-395000,-5000.00000000001,285000,286000,-114000,-114000,-1000,-115000,-1999.99999999994,2.8421709430404e-14,0.25232,-0.00139,-0.0151,-0.03352,-0.01089,1.47224,2.07736,0,-0.00157,-0.00159,0.10417,0.04693,-0.0333299999999999,292,97.33333
"25","2016_Q4",0.434126984126984,"Down",4083000,-2982000,1101000,-1014000,-1014000,87000,-9000,9000,78000,78000,-9000,69000,69000,69000,69000,767000,767000,2582000,2582000,2399000,102000,102000,5850000,21000,21000,49000,5899000,2447000,1408000,1039000,3751000,11000,11000,3762000,62387000,-60624000,374000,2137000,2137000,5899000,69000,4000,55000,-86000,42000,0,117000,124000,166000,166000,17000,183000,91000,0,0.26965,0.02131,0.0169,0.03229,0.0117,1.55958,1.76041,0,0.00167,0.00159,0.09881,0.05172,0.03212,-8.42857,-8.81609
"26","2017_Q1",0.480322580645161,"Up",3006000,-2266000,740000,-972000,-972000,-232000,-25000,-1000.00000000001,-257000,-257000,21000,-236000,-236000,-236000,-236000,733000,733000,2174000,2174000,1850000,142000,142000,4899000,8000,8000,33000,4932000,1910000,1049000,861000,3115000,12000,12000,3127000,62446000,-60860000,219000,1805000,1805000,4932000,-236000,3000,51000,256000,73999.9999999999,0,-99000,-99000,-25000,-25000,-9000,-34000,-229000,-4.54747350886464e-13,0.24617,-0.07718,-0.07851,-0.13075,-0.04785,1.57271,1.73241,5.42101086242752e-20,-0.00571,-0.006,0.07271,0.04366,-0.12988,3.20086999999999,3.15948
"27","2017_Q2",0.49952380952381,"Up",3535000,-2682000,853000,-1027000,-1027000,-174000,-16000,-1000,-190000,-190000,-7000,-197000,-197000,-197000,-197000,554000,554000,2044000,2044000,2127000,124000,124000,4849000,8000,8000,31000,4880000,2567000,1853000,714000,3201000,12000,12000,3213000,62503000,-61057000,221000,1667000,1667000,4880000,-197000,3000,44000,521000,371000,-8891.89037499247,-571000,-555000,-184000,-184000,5000,-179000,-171000,0,0.2413,-0.04922,-0.05573,-0.11818,-0.04037,1.51484,1.92741,0,-0.00476,-0.00476,0.08545,0.0403,-0.11733,3.23977,3.18391
"28","2017_Q3",0.416507936507937,"Down",3933000,-2872000,1061000,-1096000,-1096000,-35000,-12000,8000,-47000,-47000,-8000,-55000,-55000,-55000,-55000,745000,745000,2669000,2669000,2100000,144000,144000,5658000,8000,8000,43000,5701000,2508000,1695000,813000,3972000,12000,12000,3984000,62571000,-61112000,258000,1717000,1717000,5701000,-55000,2000,43000,-643000,-653000,-15000,830000,860000,192000,192000,-1000,191000,-33000,0,0.26977,-0.00889999999999999,-0.01398,-0.03203,-0.00965,1.42447,2.32033,8.67361737988404e-19,-0.00133,-0.00133,0.09498,0.04146,-0.03181,22.57576,21.28571
"29","2017_Q4",0.420952380952381,"Up",3648000,-2749000,899000,-1062000,-1062000,-163000,-42000,-20000,-205000,-205000,-6000,-211000,-211000,-211000,-211000,745000,745000,1873000,1873000,2286000,149000,149000,5053000,8000,8000,51000,5104000,2554000,1953000,601000,3479000,12000,12000,3491000,62614000,-61323000,322000,1613000,1613000,5104000,-211000,4000,39000,684000,516000,-12000,-539000,-539000,-35000,-35000,35000,0,-159000,0,0.24644,-0.04468,-0.05784,-0.13081,-0.04134,1.45243,2.16429,0,-0.00509,-0.00509,0.08801,0.03891,-0.12985,4.68553,4.57055
"30","2018_Q1",0.366229508196721,"Down",2229000,-2018000,211000,-952000,-952000,-741000,-65000,-47000,-806000,-806000,-2000,-808000,-808000,-808000,-808000,397000,397000,1247000,1247000,1557000,141000,141000,3342000,8000,8000,47000,3389000,1576000,949000,627000,2434000,12000,12000.0000000001,2446000,62683000,-62131000,391000,943000,943000,3389000,-808000,4000,330000,203000,-271000,1000,-67000,-63000,-333000,-333000,-15000,-348000,-737000,-1.16415321826935e-10,0.09466,-0.33244,-0.36249,-0.85684,-0.23842,1.37305,2.59385,1.38777878078145e-17,-0.01949,-0.01949,0.05377,0.02275,-0.84607,0.538670000000002,0.535759999999999
"31","2018_Q2",0.2940625,"Down",2837000,-2221000,616000,-1093000,-1093000,-477000,13000,34000,-464000,-464000,-5000,-469000,-469000,-469000,-469000,3015000,3015000,1524000,1524000,1467000,135000,135000,6141000,8000,8000,43000,6184000,2150000,1562000,588000,2909000,11000,2419000,5328000,63082000,-62600000,374000,856000,856000,6184000,-469000,6000,16000,376000,-71000,36000,2657000,2657000,2622000,2622000,-4000,2618000,-471000,2408000,0.21713,-0.16814,-0.16532,-0.5479,-0.07584,2.11103,6.2243,0.38939,-0.01131,-0.01131,0.06842,0.02064,-0.14321,1.28875,1.27254
"32","2018_Q3",0.312222222222222,"Up",3927000,-3014000,913000,-1195000,-1195000,-282000,-71000,6000,-353000,-353000,-10000,-363000,-363000,-363000,-363000,964000,964000,2358000,2358000,1553000,113000,113000,4988000,33000,33000,113000,5101000,1789000,1121000,668000,2079000,10000,2522000,4601000,63116000,-62963000,347000,5e+05,5e+05,5101000,-363000,5000,40000,-1281000,-1599000,-52000,-392000,-392000,-2043000,-2043000,-8000,-2051000,-277000,2512000,0.23249,-0.07181,-0.09244,-0.726,-0.07116,2.39923,9.202,0.49245,-0.00875,-0.00875,0.09471,0.01206,-0.12012,-5.58845,-5.48936
"33","2018_Q4",0.333492063492064,"Up",3454000,-2667000,787000,-1121000,-1121000,-334000,-85000,2000,-419000,-419000,-6000,-425000,-425000,-425000,-425000,1237000,1237000,1865000,1865000,1459000,103000,103000,4664000,33000,33000,131000,4795000,1713000,1007000,706000,2145000,9000,2506000,4651000,63161000,-63388000,371000,144000,144000,4795000,-425000,72000,45000,509000,201000,-26000,92000,92000,267000,267000,6000,273000,-262000,2497000,0.22785,-0.0967,-0.12305,-2.95139,-0.08863,2.17436,32.29861,0.52075,-0.01025,-0.01025,0.0833,0.00347,-0.16038,-4.80916,-3.77246
"34","2019_Q1",0.358196721311475,"Up",2340000,-1920000,420000,-1154000,-1154000,-734000,-85000,1000,-819000,-819000,-3000,-822000,-822000,-822000,-822000,991000,991000,1362000,1362000,1349000,245000,245000,3947000,33000,33000,121000,4068000,1672000,1058000,614000,2100000,143000,2671000,4771000,63211000,-64210000,296000,-703000,-703000,4068000,-822000,40000,74000,473000,-235000,1000,-4000,-3999.99999999977,-238000,-238000,-8000,-246000,-694000,2528000,0.17949,-0.31368,-0.35128,1.16927,-0.20206,1.87952,-6.78663,0.62144,-0.01982,-0.01982,0.05643,-0.01695,-0.41768,-2.2147,-2.09401
"35","2019_Q2",0.651904761904762,"Up",2824000,-2257000,567000,-1273000,-1273000,-706000,-87000,2000,-793000,-793000,-3000,-796000,-796000,-796000,-796000,459000,459000,1849000,1849000,1851000,159000,159000,4318000,124000,124000,209000,4527000,2156000,1457000,699000,3204000,163000,2599000,5803000,63415000,-65006000,315000,-1276000,-1276000,4527000,-796000,41000,92000,-407000,-1070000,-4000,524000,524000,-550000,-550000,18000,-532000,-665000,2436000,0.20078,-0.25,-0.28187,0.62382,-0.17583,1.34769,-4.54781,0.5381,-0.01914,-0.01914,0.0679,-0.03068,-0.60166,-2.97293,-2.80028
"36","2019_Q3",0.55078125,"Down",3489000,-2702000,787000,-1188000,-1188000,-401000,-166000,7000,-567000,-567000,-9000,-576000,-576000,-576000,-576000,138000,138000,2391000,2391000,2102000,227000,227000,4858000,99000,99000,274000,5132000,2926000,2050000,876000,4162000,166000,2148000,6310000,64067000,-65582000,337000,-1178000,-1178000,5132000,-576000,120000,-1999.99999999999,4999.99999999988,-453000,-102000,214000,240000,-315000,-315000,-6000,-321000,-281000,1982000,0.22557,-0.11493,-0.16509,0.48896,-0.11224,1.16723,-5.35654,0.3862,-0.01359,-0.01359,0.08229,-0.02778,-0.59381,-6.56228,-4.5985
"37","2019_Q4",0.3815625,"Down",3032000,-2374000,658000,-1030000,-1030000,-372000,-99000,-8000,-471000,-471000,-5000,-476000,-476000,-476000,-476000,6971000,6971000,1877000,1877000,1929000,175000,175000,10952000,74000,74000,250000,11202000,1735000,999000,736000,1779000,157000,1709000,3488000,73443000,-66058000,329000,7714000,7714000,11202000,-476000,92000,16000,-438000,-806000,-15000,-1166000,7652000,6831000,6831000,2000,6833000,-280000,1552000,0.21702,-0.12269,-0.15699,-0.06171,-0.04249,6.15627,0.45216,0.13855,-0.00807,-0.00807,0.05142,0.13083,-0.05051,19.35357,14.5672
"38","2020_Q1",0.264677419354839,"Down",2163000,-1792000,371000,-1244000,-1244000,-873000,-45000,-6000,-918000,-918000,-12000,-930000,-930000,-930000,-930000,5969000,5969000,1573000,1573000,1788000,310000,310000,9640000,50000,50000,212000,9852000,1227000,554000,673000,1245000,147000,1480000,2725000,73773000,-66988000,342000,7127000,7127000,9852000,-930000,63000,39000,-187000,-1015000,0,0,1000,-1014000,-1014000,12000,-1002000,-810000,1333000,0.17152,-0.40361,-0.42996,-0.13049,-0.0944,7.74297,0.38235,0.1353,-0.01513,-0.01513,0.03518,0.11592,-0.10805,5.72346,5.31042
"39","2020_Q2",0.199047619047619,"Down",2792000,-2210000,582000,-1461000,-1461000,-879000,-8000,13000,-887000,-887000,-4000,-891000,-891000,-891000,-891000,4904000,4904000,2024000,2024000,2293000,169000,169000,9390000,580000,580000,733000,10123000,1874000,1234000,640000,1970000,620000,1966000,3936000,73811000,-67879000,255000,6187000,6187000,10123000,-891000,26000,96000,-261000,-1030000,-138051.809027232,599643.993253677,-6000,-1036000,-1036000,-29000,-1065000,-853000,1346000,0.20845,-0.31483,-0.31913,-0.14401,-0.08802,4.7665,0.63617,0.13296,-0.01445,-0.01445,0.04528,0.10033,-0.10928,4.17116,4.04778
