"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2015_Q4",45.90375,"Up",1.187e+09,-3.71e+08,8.16e+08,-3.76e+08,-2.4e+07,-9.4e+07,-2.58e+08,4.4e+08,-1.7e+07,-2.1e+07,4e+06,4.23e+08,4.23e+08,-1.13e+08,3.1e+08,3.1e+08,-4e+06,3.06e+08,3.06e+08,7.08e+08,6.87e+08,4.9e+08,4.9e+08,4.6854e+10,1.88e+08,4.6666e+10,4.8052e+10,9.04e+08,1.6647e+10,8.507e+09,7.653e+09,4.87e+08,1.7804e+10,6.5856e+10,4.58e+08,1.61e+08,1.253e+09,4.6747e+10,4.6561e+10,4.8458e+10,2.247e+09,2.741e+09,1.87e+09,3.95e+08,4.988e+09,5.3446e+10,1.0058e+10,3.863e+09,-1.91e+08,1.234e+10,7e+07,1.241e+10,6.5856e+10,3.1e+08,9.4e+07,8e+06,-2.92e+08,1.2e+08,-5.6e+07,0,3e+06,-5.3e+07,-8.4e+07,2.37e+08,-2.06e+08,-4e+06,-5.7e+07,1e+07,1e+07,9e+06,5.34e+08,3.5e+09,2.99e+08,0.68745,0.37068,0.25779,0.02466,0.00465,0.97712,0.99162,4.30669,0.05315,0.55636,0.55135,2.15818,22.43636,0.54364,0.15273,0.02091,0.01603,0.27451,5.22846,6.34545
"12","2016_Q1",44.5401639344262,"Down",1.219e+09,-3.44e+08,8.75e+08,-4.57e+08,-3.4e+07,-9.8e+07,-3.25e+08,4.18e+08,-2.7e+07,-3e+07,3e+06,3.91e+08,3.91e+08,-1.8e+07,3.73e+08,3.73e+08,-3e+06,3.7e+08,3.7e+08,6.56e+08,6.27e+08,7e+08,7e+08,5.1957e+10,1.31e+08,5.1826e+10,5.3313e+10,1.037e+09,2.3338e+10,1.2079e+10,1.0758e+10,5.01e+08,2.4674e+10,7.7987e+10,7.29e+08,3.31e+08,2.591e+09,5.1423e+10,5.1325e+10,5.4743e+10,4.717e+09,3.652e+09,2.837e+09,3.37e+08,8.369e+09,6.3112e+10,1.2296e+10,4.148e+09,-1.88e+08,1.4808e+10,6.7e+07,1.4875e+10,7.7987e+10,3.73e+08,9.8e+07,-1.4e+07,-3.6e+07,4.21e+08,-8.5e+07,-3.691e+09,-1.9e+07,-3.85e+09,-8.9e+07,3.811e+09,-5.5e+07,999999.999999985,3.668e+09,2.39e+08,2.39e+08,2.34e+08,5.16e+08,7.308e+09,4.13e+08,0.7178,0.3429,0.30353,0.02487,0.00474,1.11622,0.97388,4.24282,0.09371,0.66667,0.66071,2.1964,26.68108,0.74414,0.16036,0.01777,0.01599,0.24054,12.89147,15.91388
"13","2016_Q2",46.36328125,"Up",1.554e+09,-4e+08,1.154e+09,-5.7e+08,-2.2e+07,-1.43e+08,-4.05e+08,5.84e+08,-4.4e+07,-4.6e+07,2e+06,5.4e+08,5.4e+08,-1.63e+08,3.77e+08,3.77e+08,-8e+06,3.69e+08,3.69e+08,4.93e+08,4.68e+08,9.41e+08,9.41e+08,5.312e+10,1.34e+08,5.2986e+10,5.4554e+10,1.018e+09,2.3236e+10,1.2104e+10,1.063e+10,5.02e+08,2.4606e+10,7.916e+10,6.03e+08,2.04e+08,2.048e+09,5.2985e+10,5.2556e+10,5.5636e+10,4.718e+09,3.692e+09,2.893e+09,3.29e+08,8.41e+09,6.4046e+10,1.2335e+10,4.415e+09,-2.08e+08,1.5048e+10,6.6e+07,1.5114e+10,7.916e+10,3.77e+08,1.43e+08,6.2e+07,1.5e+07,5.97e+08,-5.6e+07,0,-3e+06,-5.9e+07,-1.02e+08,-5.43e+08,0,-5.2e+07,-6.97e+08,-1.59e+08,-1.59e+08,-1.59e+08,7.27e+08,6.766e+09,8.49e+08,0.7426,0.3758,0.23745,0.02441,0.00466,2.30081,0.98055,4.23753,0.08547,0.62017,0.61706,2.61176,25.29076,1.42689,0.17143,0.01842,0.0332,0.27642,8.62861,10.74144
"14","2016_Q3",50.3090625,"Up",1.504e+09,-3.75e+08,1.129e+09,-5.78e+08,-3e+07,-1.46e+08,-4.02e+08,5.51e+08,-3.5e+07,-4.4e+07,9e+06,5.16e+08,5.16e+08,-1.53e+08,3.63e+08,3.63e+08,-6e+06,3.57e+08,3.57e+08,4.14e+08,3.9e+08,8.62e+08,8.62e+08,4.9354e+10,1.31e+08,4.9223e+10,5.063e+10,1.048e+09,2.3119e+10,1.2046e+10,1.0493e+10,5.8e+08,2.4594e+10,7.5224e+10,6.94e+08,3.44e+08,1.811e+09,4.8933e+10,4.8603e+10,5.1438e+10,4.719e+09,3.704e+09,2.903e+09,3.31e+08,8.423e+09,5.9861e+10,1.2377e+10,4.669e+09,-2.58e+08,1.5292e+10,7.1e+07,1.5363e+10,7.5224e+10,3.63e+08,1.46e+08,5.1e+07,-5.4e+07,5.06e+08,-1.01e+08,-7e+07,-7.2e+07,-2.43e+08,-1.03e+08,-2.38e+08,0,6999999.99999999,-3.34e+08,-7.1e+07,-71000000.0000001,-7.8e+07,6.97e+08,6.53e+09,6.95e+08,0.75066,0.36636,0.23737,0.02324,0.00475,1.94678,0.98429,3.89644,0.08681,0.6,0.59599,2.52773,25.70084,1.16807,0.17311,0.01797,0.02715,0.28852,8.77475,11.09982
"15","2016_Q4",51.2038095238095,"Up",1.416e+09,-3.38e+08,1.078e+09,-6.04e+08,-3.1e+07,-1.81e+08,-3.92e+08,4.74e+08,-3.1e+07,-4.4e+07,1.3e+07,4.43e+08,4.43e+08,-9.3e+07,3.5e+08,3.5e+08,-6e+06,3.44e+08,3.44e+08,4.82e+08,4.58e+08,7.89e+08,7.89e+08,5.0573e+10,1.12e+08,5.0461e+10,5.1844e+10,1.08e+09,2.2956e+10,1.2009e+10,1.0359e+10,5.88e+08,2.4452e+10,7.6296e+10,5.98e+08,2.15e+08,1.585e+09,5.0171e+10,4.9954e+10,5.2354e+10,4.72e+09,3.644e+09,2.841e+09,3.49e+08,8.364e+09,6.0718e+10,1.2416e+10,4.911e+09,-3.16e+08,1.5512e+10,6.6e+07,1.5578e+10,7.6296e+10,3.5e+08,1.81e+08,-1e+06,-1.25e+08,4.05e+08,-9.7e+07,0,9.3e+07,-4e+06,-1.02e+08,-2.25e+08,0,-8e+06,-3.35e+08,6.6e+07,6.6e+07,6.8e+07,6.55e+08,6.305e+09,5.26e+08,0.7613,0.33475,0.24294,0.02208,0.00451,1.52907,0.99026,3.89768,0.08264,0.57815,0.57333,2.37983,26.07059,0.88403,0.17143,0.01747,0.02061,0.29651,8.89008,12.28481
"16","2017_Q1",54.2633870967742,"Up",1.484e+09,-3.46e+08,1.138e+09,-5.8e+08,-3.3e+07,-1.4e+08,-4.07e+08,5.58e+08,-2.8e+07,-4.4e+07,1.6e+07,5.3e+08,5.3e+08,-1.71e+08,3.59e+08,3.59e+08,-7e+06,3.52e+08,3.52e+08,4.3e+08,4.07e+08,7.77e+08,7.77e+08,5.5926e+10,9.7e+07,5.5829e+10,5.7133e+10,1.129e+09,2.3309e+10,1.2291e+10,1.042e+10,5.98e+08,2.487e+10,8.2003e+10,7.49e+08,3.61e+08,2.493e+09,5.5375e+10,5.5261e+10,5.8617e+10,3.871e+09,3.725e+09,2.958e+09,3.37e+08,7.596e+09,6.6213e+10,1.1312e+10,4.789e+09,-3.44e+08,1.5717e+10,7.3e+07,1.579e+10,8.2003e+10,3.59e+08,1.4e+08,1.2e+08,2.2e+07,6.41e+08,-1.11e+08,-3.55e+08,-1.8e+07,-5.54e+08,-1.02e+08,5.7e+07,-5e+07,-1e+06,-9.6e+07,-9e+06,-9e+06,-2.8e+07,6.98e+08,6.364e+09,7.8e+08,0.76685,0.37601,0.2372,0.02229,0.00429,2.21591,0.97468,4.19335,0.07761,0.5916,0.58765,2.49412,26.41513,1.31092,0.17143,0.01754,0.03014,0.28977,8.50143,10.63441
"17","2017_Q2",57.0619047619048,"Up",1.471e+09,-3.05e+08,1.166e+09,-5.84e+08,-4.1e+07,-1.34e+08,-4.09e+08,5.82e+08,1.43e+08,-4.5e+07,1.88e+08,7.25e+08,7.25e+08,-2.14e+08,5.11e+08,5.11e+08,-8e+06,5.03e+08,5.03e+08,3.81e+08,3.6e+08,9.99e+08,9.99e+08,5.3693e+10,5.96e+08,5.3097e+10,5.5073e+10,1.132e+09,2.3258e+10,1.2302e+10,1.0356e+10,6e+08,2.439e+10,7.9463e+10,6.45e+08,1.94e+08,2.376e+09,5.2985e+10,5.2545e+10,5.6006e+10,3.872e+09,3.761e+09,2.985e+09,3.61e+08,7.633e+09,6.3639e+10,1.1357e+10,5.171e+09,-4.27e+08,1.5755e+10,6.9e+07,1.5824e+10,7.9463e+10,5.11e+08,1.34e+08,-1.15e+08,8.1e+07,6.11e+08,-6.6e+07,2.2e+07,0,-4.4e+07,-1.2e+08,-1.17e+08,-2.29e+08,-8.5e+07,-5.51e+08,1.6e+07,1.6e+07,1.7e+07,7.16e+08,6.248e+09,9.45e+08,0.79266,0.39565,0.34194,0.03179,0.00633,1.87873,0.98334,4.02168,0.07863,0.8468,0.83973,2.47643,26.52357,1.59091,0.20202,0.02412,0.03658,0.23857,8.19413,10.08076
"18","2017_Q3",61.4796825396825,"Up",1.496e+09,-3.16e+08,1.18e+09,-5.71e+08,-3.8e+07,-1.42e+08,-3.91e+08,6.09e+08,-4.2e+07,-4.5e+07,2999999.99999997,5.67e+08,5.67e+08,-1.4e+08,4.27e+08,4.27e+08,-8e+06,4.19e+08,4.19e+08,4.15e+08,3.98e+08,9.12e+08,9.12e+08,5.5121e+10,7.67e+08,5.4354e+10,5.6448e+10,1.161e+09,2.2715e+10,1.2001e+10,1.0103e+10,6.11e+08,2.3876e+10,8.0324e+10,7.36e+08,3.21e+08,2.023e+09,5.406e+10,5.3722e+10,5.6819e+10,3.874e+09,3.698e+09,2.915e+09,3.76e+08,7.572e+09,6.4391e+10,1.1387e+10,5.468e+09,-3.67e+08,1.5898e+10,3.5e+07,1.5933e+10,8.0324e+10,4.27e+08,1.42e+08,5.1e+07,-1.32e+08,4.88e+08,-8.4e+07,4.26e+08,0,3.42e+08,-1.19e+08,-3.52e+08,-2.4e+08,-5.9e+07,-7.7e+08,6e+07,6e+07,6.4e+07,7.51e+08,5.897e+09,6.75e+08,0.78877,0.40709,0.28008,0.0263,0.00522,1.61098,0.99347,4.04136,0.07342,0.70897,0.7042,2.5313,26.90017,1.14213,0.20135,0.02107,0.02644,0.28401,7.2996,9.00164
"19","2017_Q4",64.2526984126984,"Up",1.435e+09,-2.89e+08,1.146e+09,-5.5e+08,-3.8e+07,-1.28e+08,-3.84e+08,5.96e+08,-3.3e+07,-4.7e+07,1.4e+07,5.63e+08,5.63e+08,-1.86e+08,3.77e+08,3.77e+08,-6e+06,3.71e+08,3.71e+08,4.35e+08,4.19e+08,8.97e+08,8.97e+08,5.3907e+10,7.44e+08,5.3163e+10,5.5239e+10,1.192e+09,2.2687e+10,1.2016e+10,1.0056e+10,6.15e+08,2.3879e+10,7.9118e+10,6.43e+08,2.16e+08,1.197e+09,5.276e+10,5.2532e+10,5.46e+10,4.865e+09,3.634e+09,2.989e+09,3.81e+08,8.499e+09,6.3099e+10,1.1429e+10,5.718e+09,-3.22e+08,1.5992e+10,2.7e+07,1.6019e+10,7.9118e+10,3.77e+08,1.28e+08,9.7e+07,-2.91e+08,3.11e+08,-9e+07,-1e+06,0,-9.1e+07,-1.19e+08,1.59e+08,-2.4e+08,-1.3e+07,-2.13e+08,7e+06,7e+06,1.1e+07,7.24e+08,6.062e+09,5.29e+08,0.79861,0.41533,0.25854,0.02316,0.00469,1.42588,1.0117,3.93901,0.07662,0.63095,0.62669,2.44048,27.19728,0.89966,0.20238,0.01906,0.02057,0.32075,7.7721,9.44128
"20","2018_Q1",68.6152459016393,"Up",1.441e+09,-2.95e+08,1.146e+09,-5.54e+08,-3.8e+07,-1.31e+08,-3.85e+08,5.92e+08,7.9e+07,-4.2e+07,1.21e+08,6.71e+08,6.71e+08,5.68e+08,1.239e+09,1.239e+09,-6e+06,1.233e+09,1.233e+09,5.35e+08,5.35e+08,9.03e+08,9.03e+08,5.2124e+10,1.33e+08,5.1991e+10,5.3562e+10,1.246e+09,2.3456e+10,1.2216e+10,1.0269e+10,9.71e+08,2.4702e+10,7.8264e+10,8.17e+08,3.55e+08,1.833e+09,5.1525e+10,5.14e+10,5.4175e+10,4.267e+09,2.837e+09,2.298e+09,2.96e+08,7.104e+09,6.1279e+10,1.1398e+10,6.858e+09,-2.23e+08,1.6957e+10,2.8e+07,1.6985e+10,7.8264e+10,1.239e+09,1.31e+08,-7.98e+08,1.03e+08,6.75e+08,-1.17e+08,3.29e+08,0,-1.15e+08,-1.18e+08,35000000.0000001,-2.4e+08,-1.14e+08,-4.37e+08,1.23e+08,1.23e+08,1.26e+08,7.23e+08,6.1e+09,1.41e+08,0.79528,0.41083,0.85566,0.07259,0.01575,0.11436,0.98868,3.60783,0.07794,2.11492,2.08983,2.4717,29.08576,0.24185,0.2024,0.05212,0.00544,0.0957,7.6971,9.40034
"21","2018_Q2",68.5740625,"Down",1.58e+09,-3.55e+08,1.225e+09,-5.75e+08,-3.3e+07,-1.38e+08,-4.04e+08,6.5e+08,-3.3e+07,-4.8e+07,1.5e+07,6.17e+08,6.17e+08,-1.43e+08,4.74e+08,4.74e+08,-1e+07,4.64e+08,4.64e+08,5.23e+08,5.23e+08,1.167e+09,1.167e+09,5.4944e+10,1.61e+08,5.4783e+10,5.6634e+10,1.235e+09,2.4193e+10,1.2514e+10,1.0326e+10,1.353e+09,2.5428e+10,8.2062e+10,7e+08,2.24e+08,2.623e+09,5.4623e+10,5.4155e+10,5.7946e+10,4.269e+09,2.841e+09,2.292e+09,3.09e+08,7.11e+09,6.5056e+10,1.1434e+10,7.182e+09,-1.9e+08,1.6978e+10,2.8e+07,1.7006e+10,8.2062e+10,4.74e+08,1.38e+08,2.4e+07,-6.3e+07,5.73e+08,-5.1e+07,-4e+08,-201073605.218392,-7.55e+08,-1.4e+08,7.89e+08,-3e+08,-7.9e+07,2.7e+08,8.8e+07,8.8e+07,9e+07,7.88e+08,6.892e+09,8.17e+08,0.77532,0.41139,0.29367,0.02728,0.00565,1.76078,0.97736,3.82547,0.08399,0.79725,0.79181,2.71478,29.17182,1.40378,0.24055,0.02259,0.03055,0.30172,8.08249,9.79846
"22","2018_Q3",71.0250793650794,"Up",1.556e+09,-3.1e+08,1.246e+09,-5.91e+08,-3.9e+07,-1.43e+08,-4.09e+08,6.55e+08,-4.4e+07,-5.9e+07,1.5e+07,6.11e+08,6.11e+08,-1.49e+08,4.62e+08,4.62e+08,-7e+06,4.55e+08,4.55e+08,5.32e+08,5.32e+08,1.049e+09,1.049e+09,5.5979e+10,1.71e+08,5.5808e+10,5.756e+10,1.22e+09,2.4067e+10,1.2484e+10,1.0223e+10,1.36e+09,2.5287e+10,8.2847e+10,7.64e+08,3.59e+08,2.645e+09,5.5485e+10,5.5113e+10,5.8894e+10,4.271e+09,2.842e+09,2.284e+09,3.23e+08,7.113e+09,6.6007e+10,1.1483e+10,7.498e+09,-2.65e+08,1.6805e+10,3.5e+07,1.684e+10,8.2847e+10,4.62e+08,1.43e+08,2.6e+07,3.2e+07,6.63e+08,-5.7e+07,-4999999.99999976,-3.05e+08,-6.3e+07,-1.39e+08,23000000.0000002,-4.59e+08,4e+06,-5.71e+08,2.9e+07,2.9e+07,2.2e+07,7.98e+08,6.916e+09,9.22e+08,0.80077,0.42095,0.29242,0.02702,0.00549,2.02637,0.97735,3.91966,0.08348,0.7872,0.78313,2.69204,29.07439,1.59516,0.24048,0.02233,0.03466,0.30549,8,9.74656
"23","2018_Q4",72.6246031746032,"Up",1.463e+09,-2.63e+08,1.2e+09,-5.98e+08,-3.7e+07,-1.48e+08,-4.13e+08,6.02e+08,-4.8e+07,-6.6e+07,1.8e+07,5.54e+08,5.54e+08,-8.9e+07,4.65e+08,4.65e+08,-7e+06,4.58e+08,4.58e+08,5.15e+08,5.15e+08,1.02e+09,1.02e+09,5.976e+10,1.79e+08,5.9581e+10,6.1295e+10,1.206e+09,2.4741e+10,1.2934e+10,1.0445e+10,1.362e+09,2.5947e+10,8.7242e+10,7.24e+08,2.38e+08,1.198e+09,5.9143e+10,5.8894e+10,6.1065e+10,6.488e+09,2.835e+09,2.275e+09,3.25e+08,9.323e+09,7.0388e+10,1.1501e+10,7.818e+09,-2.74e+08,1.6832e+10,2.2e+07,1.6854e+10,8.7242e+10,4.65e+08,1.48e+08,3e+07,-1.44e+08,4.99e+08,-5.3e+07,-7.46e+08,0,-7.99e+08,-1.38e+08,7.66e+08,-3e+08,-4.6e+07,2.82e+08,-1.8e+07,-1.8e+07,-1.8e+07,7.5e+08,7.686e+09,6.42e+08,0.82023,0.41148,0.31306,0.02717,0.00525,1.40175,1.00377,4.17634,0.0881,0.8007,0.79514,2.55769,29.42657,1.12238,0.24126,0.02177,0.02345,0.30131,9.56133,11.91196
"24","2019_Q1",71.2245901639344,"Down",1.677e+09,-3.69e+08,1.308e+09,-6.32e+08,-4.2e+07,-1.57e+08,-4.33e+08,6.76e+08,6.2e+07,-4.9e+07,1.11e+08,7.38e+08,7.38e+08,-1.19e+08,6.19e+08,6.19e+08,-8e+06,6.11e+08,6.11e+08,7.24e+08,7.24e+08,9.53e+08,9.53e+08,6.5015e+10,2.42e+08,6.4773e+10,6.6692e+10,1.241e+09,2.4858e+10,1.3085e+10,1.0462e+10,1.311e+09,2.6099e+10,9.2791e+10,9.06e+08,3.85e+08,9.51e+08,6.4251e+10,6.4116e+10,6.6108e+10,6.49e+09,2.891e+09,2.337e+09,3.5e+08,9.381e+09,7.5489e+10,1.1553e+10,8.317e+09,-3.15e+08,1.7201e+10,1.01e+08,1.7302e+10,9.2791e+10,6.19e+08,1.57e+08,-5.7e+07,7.9e+07,7.98e+08,-1.19e+08,-94999999.9999999,3.82e+08,-1.38e+08,-1.38e+08,-2.48e+08,-1.39e+08,8.1e+07,-4.44e+08,2.16e+08,2.16e+08,2.1e+08,8.33e+08,7.441e+09,9.12e+08,0.77996,0.4031,0.36434,0.03531,0.00658,1.49264,1.00883,4.36302,0.08019,1.0757,1.06632,2.95246,30.28345,1.60563,0.24296,0.0271,0.033,0.22586,8.06363,9.93639
"25","2019_Q2",77.9268253968254,"Up",1.583e+09,-3.13e+08,1.27e+09,-6.05e+08,-4.2e+07,-1.58e+08,-4.05e+08,6.65e+08,-3.9e+07,-6.2e+07,2.3e+07,6.26e+08,6.26e+08,-1.34e+08,4.92e+08,4.92e+08,-8e+06,4.84e+08,4.84e+08,6.53e+08,6.53e+08,1.181e+09,1.181e+09,6.5651e+10,2.19e+08,6.5432e+10,6.7485e+10,1.538e+09,2.4834e+10,1.3098e+10,1.0406e+10,1.33e+09,2.6372e+10,9.3857e+10,7.04e+08,1.95e+08,1.005e+09,6.5326e+10,6.4847e+10,6.7035e+10,6.492e+09,3.129e+09,2.308e+09,6.18e+08,9.621e+09,7.6656e+10,1.1603e+10,8.644e+09,-2.9e+08,1.7106e+10,9.5e+07,1.7201e+10,9.3857e+10,4.92e+08,1.58e+08,-2e+07,2.4e+07,6.54e+08,-6.5e+07,2.5e+07,232350862.24548,-4e+07,-1.57e+08,5.4e+07,-4.4e+08,-5.3e+07,-5.96e+08,1.8e+07,1.8e+07,1.9e+07,8.23e+08,7.497e+09,9.16e+08,0.80227,0.42009,0.30575,0.02814,0.00516,1.89256,1.00671,4.45649,0.07988,0.85211,0.84912,2.78697,30.1162,1.61268,0.27641,0.02304,0.03292,0.32438,8.31592,10.29173
"26","2019_Q3",87.378125,"Up",1.634e+09,-3.36e+08,1.298e+09,-6.18e+08,-4.1e+07,-1.57e+08,-4.2e+08,6.8e+08,-5.2e+07,-6.1e+07,8999999.99999999,6.28e+08,6.28e+08,-1.5e+08,4.78e+08,4.78e+08,-6e+06,4.72e+08,4.72e+08,8.37e+08,8.37e+08,1.062e+09,1.062e+09,6.2473e+10,2.4e+08,6.2233e+10,6.4372e+10,1.525e+09,2.5033e+10,1.3308e+10,1.0446e+10,1.279e+09,2.6558e+10,9.093e+10,8.62e+08,3.44e+08,1.303e+09,6.1966e+10,6.1606e+10,6.4131e+10,6.494e+09,3.087e+09,2.296e+09,5.91e+08,9.581e+09,7.3712e+10,1.1657e+10,8.961e+09,-3.09e+08,1.7115e+10,1.03e+08,1.7218e+10,9.093e+10,4.78e+08,1.57e+08,1.6e+07,7.7e+07,7.28e+08,-6.9e+07,-3.77e+08,84000000.0000001,-3.62e+08,-1.55e+08,2.93e+08,-3.4e+08,1.6e+07,-1.86e+08,1.8e+08,1.8e+08,1.8e+08,8.37e+08,7.797e+09,9.95e+08,0.79437,0.41616,0.28886,0.02741,0.00519,2.10805,1.00376,4.2811,0.08575,0.83986,0.83392,2.90747,30.45374,1.77046,0.2758,0.02231,0.03541,0.32839,8.31541,10.23529
"27","2019_Q4",89.10140625,"Up",1.663e+09,-3.27e+08,1.336e+09,-6.3e+08,-3.3e+07,-1.58e+08,-4.39e+08,7.06e+08,-6.6e+07,-6.4e+07,-2e+06,6.4e+08,6.4e+08,-1.03e+08,5.37e+08,5.37e+08,-8e+06,5.29e+08,5.29e+08,6.55e+08,6.55e+08,1.056e+09,1.056e+09,6.716e+10,2.27e+08,6.6933e+10,6.8871e+10,1.505e+09,2.4963e+10,1.331e+10,1.033e+10,1.323e+09,2.6468e+10,9.5339e+10,8.05e+08,2.62e+08,1.329e+09,6.64e+10,6.6153e+10,6.8534e+10,6.496e+09,3.052e+09,2.281e+09,5.74e+08,9.548e+09,7.8082e+10,1.1712e+10,9.335e+09,-3.48e+08,1.7161e+10,9.6e+07,1.7257e+10,9.5339e+10,5.37e+08,1.58e+08,1.8e+07,-2.13e+08,5e+08,-6.9e+07,0,-4.1e+07,-1.1e+08,-1.55e+08,5.3e+07,-3.4e+08,-2.7e+07,-4.69e+08,-7.9e+07,-7.9e+07,-8.2e+07,8.64e+08,7.825e+09,6.85e+08,0.80337,0.42453,0.3181,0.03065,0.00555,1.2949,1.00492,4.52466,0.08208,0.94633,0.94128,2.97496,30.69946,1.2254,0.27728,0.02431,0.02435,0.29301,8.29861,10.15581
"28","2020_Q1",87.2703225806452,"Down",1.667e+09,-3.69e+08,1.298e+09,-6.74e+08,-4.5e+07,-1.89e+08,-4.4e+08,6.24e+08,-3.5e+07,-6.3e+07,2.8e+07,5.89e+08,5.87e+08,-1.34e+08,4.53e+08,4.53e+08,-5e+06,4.48e+08,4.48e+08,8.41e+08,8.41e+08,9.88e+08,9.88e+08,6.615e+10,2.2e+08,6.593e+10,6.7979e+10,1.536e+09,2.4978e+10,1.3342e+10,1.0258e+10,1.378e+09,2.6514e+10,9.4493e+10,9.34e+08,4.29e+08,2.569e+09,6.5313e+10,6.5184e+10,6.8816e+10,5.25e+09,3.063e+09,2.314e+09,5.51e+08,8.313e+09,7.7129e+10,1.1748e+10,9.629e+09,-2.43e+08,1.7255e+10,1.09e+08,1.7364e+10,9.4493e+10,4.53e+08,1.89e+08,5.2e+07,8.3e+07,7.77e+08,5e+07,0,-1.287e+09,-1.228e+09,-1.54e+08,-3e+07,-3.4e+08,1.351e+09,8.27e+08,3.76e+08,3.8e+08,3.82e+08,8.13e+08,7.819e+09,1.08e+09,0.77864,0.37433,0.26875,0.0258,0.00474,2.41071,0.98784,4.44189,0.08275,0.80721,0.79715,3.0036,31.09009,1.94595,0.27748,0.02131,0.03824,0.34375,8.58303,11.18269
"29","2020_Q2",88.5184126984127,"Up",2.115e+09,-5.56e+08,1.559e+09,-6.77e+08,-4.9e+07,-1.57e+08,-4.71e+08,8.82e+08,-4.6e+07,-6.6e+07,2e+07,8.36e+08,8.36e+08,-1.78e+08,6.58e+08,6.58e+08,-8e+06,6.5e+08,6.5e+08,5.83e+08,5.83e+08,1.569e+09,1.569e+09,1.10101e+11,2.39e+08,1.09862e+11,1.12253e+11,1.503e+09,2.5145e+10,1.3527e+10,1.0212e+10,1.406e+09,2.6648e+10,1.38901e+11,8.4e+08,2.92e+08,3.071e+09,1.09615e+11,1.09111e+11,1.13526e+11,5.252e+09,3.061e+09,2.312e+09,5.58e+08,8.313e+09,1.21839e+11,1.1816e+10,1.0103e+10,-3.33e+08,1.6939e+10,1.23e+08,1.7062e+10,1.38901e+11,6.58e+08,1.57e+08,2.7e+07,-3.22e+08,5.2e+08,-1.5e+07,-2.49e+08,-4.4e+07,-3.02e+08,-1.66e+08,5.03e+08,-6.99e+08,-4.9e+07,-4.11e+08,-1.93e+08,-1.93e+08,-2.02e+08,1.039e+09,8.323e+09,8.8e+08,0.73712,0.41702,0.30733,0.0381,0.00468,1.35385,0.98879,7.14096,0.05992,1.17754,1.17117,3.83152,30.68659,1.5942,0.30072,0.02869,0.03094,0.25538,7.44947,8.77551
