"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",18.9143548387097,"Up",284147000,-158732000,125415000,-59252000,-59252000,66163000,172000,172000,66335000,66335000,-24418000,41917000,41917000,41917000,41917000,244741000,213036000,31705000,7906000,134507000,18079000,18079000,405233000,170562000,376527000,-205965000,33847000,2254000,2254000,206663000,611896000,90521000,38249000,39751000,13381000,13381000,103902000,59509000,10065000,37093000,59509000,163411000,111877000,337232000,448485000,448485000,611896000,41917000,8466000,1939000,8429000,60751000,-6492000,1832000,-4591000,-9588000,-9144000,47016000,47016000,47016000,74629000,0,100984000,0.44137,0.23285,0.14752,0.09346,0.0685,2.40914,3.90015,0.36436,0,0.88509,0.87897,5.99985,9.4699,2.13231,0.20245,0.10139,0.19879,0.22874,-3.27944,-3.69906
"12","2013_Q1",20.2633333333333,"Up",360615000,-187413000,173202000,-75602000,-75602000,97600000,1179000,1179000,98779000,98779000,-37423000,61356000,61356000,61356000,61356000,144022000,117608000,26414000,3470000,103853000,25528000,25528000,276873000,163103000,373286000,-210183000,35735000,2263000,2263000,201101000,477974000,106735000,34124000,52304000,22221000,22221000,128956000,59369000,10600000,36947000,59369000,188325000,117872000,172711000,289649000,289649000,477974000,61356000,9119000,3030000,55085000,128590000,-3028000,2911000,-126000,-225877000,-223892000,-95428000,-95428000,-95428000,106719000,0,196199000,0.4803,0.27065,0.17014,0.21183,0.12837,3.19771,2.14703,0.65018,0,1.28869,1.28113,7.5742,6.08366,4.12088,4.74422,0.82297,0.56215,3.68142,-1.34954,-1.47564
"13","2013_Q2",22.6728125,"Up",269712000,-152705000,117007000,-57750000,-57750000,59257000,350000,350000,59607000,59607000,-22055000,37552000,37552000,37552000,37552000,144167000,116601000,27566000,4176000,105894000,26506000,26506000,280743000,166505000,383901000,-217396000,36094000,2265000,2265000,204864000,485607000,85946000,40746000,24138000,17674000,17674000,103620000,61662000,11890000,38441000,61662000,165282000,120653000,200598000,320325000,320325000,485607000,37552000,7887000,1645000,-25943000,21141000,-11157000,-1499000,-12656000,-9665000,-9492000,-1007000,-1007000,-1007000,67144000,0,52099000,0.43382,0.2197,0.13923,0.11723,0.07733,1.38738,2.70935,0.51598,0,0.78729,0.78343,5.65458,6.71569,1.09227,0.20263,0.12361,0.13639,0.25738,-2.14713,-2.43291
"14","2013_Q3",24.1175,"Up",232529000,-138042000,94487000,-55084000,-55084000,39403000,507000,507000,39910000,39910000,-14766000,25144000,25144000,25144000,25144000,128765000,103054000,25711000,6885000,133550000,27623000,27623000,296823000,166850000,389945000,-223095000,39501000,2194000,2194000,208545000,505368000,89623000,56522000,31668000,15968000,15968000,105591000,61325000,12303000,38096000,61325000,166916000,123147000,216077000,338452000,338452000,505368000,25144000,8040000,1571000,-29719000,5035999.99999999,-7735000,-1307000,-8973000,-9665000,-9610000.00000003,-13547000,-13547000,-13547000,47443000,0,24755000,0.40635,0.16945,0.10813,0.07429,0.04975,0.98453,2.81106,0.49317,0,0.52708,0.52426,4.87441,7.09483,0.51893,0.2026,0.08707,0.06192,0.38439,-2.7141,-3.2679
"15","2013_Q4",22.71640625,"Down",286761000,-160536000,126225000,-62167000,-62167000,64058000,361000,361000,64419000,64419000,-23835000,40584000,40584000,40584000,40584000,156296000,130841000,25455000,7866000,146290000,29017000,29017000,339469000,164886000,395272000,-230386000,39307000,2121000,2121000,206314000,545783000,98221000,49079000,38519000,15152000,15152000,113373000,60546000,12626000,37488000,60546000,173919000,125641000,246995000,371864000,371864000,545783000,40584000,8059000,1580000,-7080000,43143000,-6269000,450000,-5746000,-9666000,-9610000,27787000,27787000,27787000,72117000,0,82603000,0.44017,0.22338,0.14153,0.10914,0.07436,2.03536,2.99427,0.4677,0,0.85069,0.8458,6.01088,7.79475,1.73146,0.20261,0.11621,0.19103,0.23817,-2.16726,-2.43991
"16","2014_Q1",21.0616393442623,"Down",338999000,-177573000,161426000,-67150000,-67150000,94276000,2244000,2244000,96520000,96520000,-37216000,59304000,59304000,59304000,59304000,185065000,164868000,20197000,4318000,124141000,28613000,28613000,342137000,158569000,393656000,-235087000,43436000,2151000,2151000,204156000,546293000,100250000,37147000,46916000,23131000,23131000,123381000,60982000,12797000,37564000,60982000,184363000,124617000,238151000,361930000,361930000,546293000,59304000,8645000,-828000,37585000,104706000,-3639000,1023000,-2646000,-68148000,-68033000,34027000,34027000,34027000,102921000,0,174083000,0.47618,0.2781,0.17494,0.16385,0.10856,2.93543,2.77301,0.50939,0,1.23893,1.23481,7.0821,7.56116,3.63681,1.42369,0.30137,0.41163,1.14913,-1.79813,-1.96301
"17","2014_Q2",21.2077777777778,"Up",271675000,-154475000,117200000,-57988000,-57988000,59212000,345000,345000,59557000,59557000,-22215000,37342000,37342000,37342000,37342000,191808000,169716000,22092000,4832000,119206000,28560000,28560000,344406000,160660000,400624000,-239964000,45987000,2151000,2151000,208798000,553204000,81287000,36439000,23433000,18794000,18794000,100081000,62225000,13724000,38231000,62225000,162306000,126885000,264851000,390898000,390898000,553204000,37342000,7651000,1465000,-16546000,29912000,-10146000,-4446000,-14592000,-10642000,-10472000,4848000,4848000,4848000,66863000,0,62386000,0.4314,0.21795,0.13745,0.09553,0.0675,1.67067,3.44127,0.41521,0,0.77981,0.77716,5.67337,8.1631,1.3028,0.22224,0.1059,0.13768,0.28499,-2.86867,-3.23934
"18","2014_Q3",21.54546875,"Up",235725000,-140800000,94925000,-56154000,-56154000,38771000,260000,260000,39031000,39031000,-14558000,24473000,24473000,24473000,24473000,186618000,169460000,17158000,12355000,128184000,30761000,30761000,357918000,166024000,411969000,-245945000,43903000,2082000,2082000,212009000,569927000,82791000,51631000,31160000,16910000,16910000,99701000,63482000,13916000,39597000,63482000,163183000,128817000,278680000,406744000,406744000,569927000,24473000,7870000,1273000,-17870000,15746000,-12580000,7153000,-5358000,-10644000,-10644000,-256000,-256000,-256000,46641000,0,30749000,0.40269,0.16448,0.10382,0.06017,0.04294,1.25645,3.58991,0.40119,0,0.51101,0.50915,4.92211,8.49312,0.64206,0.22225,0.07468,0.06539,0.43493,-4.00116,-4.81334
"19","2014_Q4",23.03796875,"Up",292201000,-164409000,127792000,-63239000,-63239000,64553000,226000,226000,64779000,64779000,-24163000,40616000,40616000,40616000,40616000,208078000,182267000,25811000,13052000,147221000,31667000,31667000,400018000,171312000,420868000,-249556000,44310000,2013000,2013000,217635000,617653000,98981000,53501000,37502000,15943000,15943000,114924000,64078000,14248000,40212000,64078000,179002000,130750000,308654000,438651000,438651000,617653000,40616000,7738000,1444000,-3808000,45990000,-13551000,-9059000,-22541000,-10642000,-10642000,12807000,12807000,12807000,72291000,0,79095000,0.43734,0.22092,0.139,0.09259,0.06576,1.94739,3.48072,0.40807,0,0.84809,0.84478,6.10138,9.15936,1.65156,0.22221,0.10196,0.15733,0.26201,-2.87834,-3.22337
"20","2015_Q1",24.8624590163934,"Up",353541000,-186126000,167415000,-72978000,-72978000,94437000,1892000,1892000,96329000,96329000,-36196000,60133000,60133000,60133000,60133000,159565000,133708000,25857000,8567000,129921000,26536000,26536000,324589000,172663000,427915000,-255252000,43698000,2043000,2043000,218404000,542993000,98279000,35714000,46904000,23992000,23992000,122271000,65444000,14261000,40566000,65444000,187715000,131596000,224111000,355278000,355278000,542993000,60133000,8420000,1319000,34248000,104120000,-9177000,1079000,-8128000,-144676000,-144551000,-48559000,-48559000,-48559000,102857000,0,164124000,0.47354,0.26712,0.17009,0.16926,0.11074,2.72935,2.65467,0.52836,0,1.25173,1.24845,7.3593,7.39546,3.4164,3.01157,0.4868,0.3901,2.40593,-1.55133,-1.68964
"21","2015_Q2",22.9942857142857,"Down",271345000,-157748000,113597000,-60792000,-60792000,52805000,736000,736000,53541000,53541000,-19971000,33570000,33570000,33570000,33570000,157424000,134632000,22792000,6627000,129626000,27552000,27552000,321229000,176200000,436393000,-260193000,45103000,2043000,2043000,223346000,544575000,81479000,38778000,23436000,19402000,19402000,100881000,63673000,13541000,39940000,63673000,164554000,133931000,246519000,380021000,380021000,544575000,33570000,7728000,1590000,-21133000,21755000,-11329000,1660000,-9669000,-11162000,-11162000,924000,924000,924000,60533000,0,48042000,0.41864,0.1946,0.12372,0.08834,0.06164,1.4311,3.18424,0.43301,0,0.6983,0.69665,5.64432,7.90492,0.99933,0.23218,0.10082,0.10828,0.3325,-2.60063,-2.98123
"22","2015_Q3",21.15890625,"Down",236053000,-141458000,94595000,-57418000,-57418000,37177000,272000,272000,37449000,37449000,-13968000,23481000,23481000,23481000,23481000,142296000,122458000,19838000,16037000,150789000,27707000,27707000,336829000,177658000,442954000,-265296000,48455000,1978000,1978000,228091000,564920000,88591000,59212000,29379000,17662000,17662000,106253000,64149000,13576000,40804000,64149000,170402000,136106000,258837000,394518000,394518000,564920000,23481000,8106000,1535000,-24114000,9008000,-9693000,-391000,-10019000,-11163000,-11163000,-12174000,-12174000,-12174000,45283000,0,25444000,0.40074,0.15749,0.09947,0.05952,0.04157,1.0836,3.17007,0.43192,0,0.48843,0.48714,4.9102,8.20647,0.52927,0.232200000000001,0.07553,0.05547,0.47541,-3.14237,-3.82753
"23","2015_Q4",16.7478125,"Down",280187000,-162923000,117264000,-60969000,-60969000,56295000,951000,951000,57246000,57246000,-21353000,35893000,35893000,35893000,35893000,149611000,121430000,28181000,12855000,175852000,28917000,28917000,367235000,178372000,450185000,-271813000,42372000,1914000,1914000,222658000,589893000,91749000,52537000,32792000,16738000,16738000,108487000,62802000,13358000,39623000,62802000,171289000,135371000,283658000,418604000,418604000,589893000,35893000,7780000,181000,-21026000,22828000,-9903000,-2260000,-12099000,-11072000,-11757000,-1028000,-1028000,-1028000,64075000,0,54499000,0.41852,0.20092,0.1281,0.08574,0.06085,1.51837,3.38506,0.40919,0,0.74664,0.74437,5.82837,8.70767,1.13367,0.23032,0.09756,0.11321,0.30847,-2.33494,-2.65763
"24","2016_Q1",15.9931147540984,"Down",332031000,-176086000,155945000,-72634000,-72634000,83311000,3277000,3277000,86588000,86588000,-32249000,54339000,54339000,54339000,54339000,197650000,161185000,36465000,9651000,149566000,6030000,6030000,362897000,172781000,450762000,-277981000,33826000,3269000,3269000,209876000,572773000,84768000,33862000,39765000,22858000,22858000,107626000,52504000,12849000,39655000,52504000,160130000,135348000,277626000,412643000,412643000,572773000,54339000,8528000,2122000,40742000,105731000,-3454000,412000,-3071000,-60371000,-62905000,39755000,39755000,39755000,91839000,0,161376000,0.46967,0.25091,0.16366,0.13169,0.09487,2.9698,3.37183,0.38806,0,1.12983,1.1272,6.90365,8.57975,3.35536,1.25524,0.24661,0.34694,1.11101,-2.15214,-2.37244
"25","2016_Q2",14.3634375,"Down",243543000,-148814000,94729000,-58299000,-58299000,36430000,408000,408000,36838000,36838000,-13741000,23097000,23097000,23097000,23097000,192868000,153415000,39453000,8853000,138788000,16977000,16977000,357486000,172393000,455087000,-282694000,30986000,3954000,3954000,207333000,564819000,66892000,32139000,21522000,18590000,18590000,85482000,53836000,13770000,40066000,53836000,139318000,137229000,288567000,425501000,425501000,564819000,23097000,7927000,1713000,-20418000,12319000,-7832000,-91000,-7933000,-12156000,-12156000,-7770000,-7770000,-7770000,44357000,0,29848000,0.38896,0.14958,0.09484,0.05428,0.04089,1.29229,4.182,0.32742,0,0.48012,0.47916,5.06253,8.84489,0.62045,0.25269,0.07355,0.0622699999999999,0.5263,-4.34808,-5.29421
"26","2016_Q3",13.87203125,"Down",212157000,-132275000,79882000,-55800000,-55800000,24082000,595000,595000,24677000,24677000,-9205000,15472000,15472000,15472000,15472000,206785000,168173000,38612000,16954000,144267000,5864000,5864000,373870000,173527000,459228000,-285701000,28080000,4490000,4490000,206097000,579967000,78347000,48764000,29583000,16883000,16883000,95230000,54011000,14186000,39825000,54011000,149241000,139021000,291883000,430726000,430726000,579967000,15472000,8224000,1752000,6681999.99999999,32130000,-9207000,3932000,-5216000,-12156000,-12156000,14758000,14758000,14758000,32306000,0,38986000,0.37652,0.11351,0.07293,0.03592,0.02668,2.51978,3.92597,0.34649,0,0.32162,0.32082,4.41011,8.9535,0.8104,0.25269,0.057,0.08043,0.78568,-6.40082,-8.5867
"27","2016_Q4",12.5087301587302,"Down",239213000,-142339000,96874000,-60054000,-60054000,36820000,497000,497000,37317000,37317000,-13920000,23397000,23397000,23397000,23397000,212993000,163006000,49987000,13427000,148193000,7320000,7320000,381933000,174960000,464507000,-289547000,19828000,4850000,4850000,199638000,581571000,71156000,36314000,32091000,16088000,16088000,87244000,51173000,12571000,38602000,51173000,138417000,140156000,303176000,443154000,443154000,581571000,23397000,7919000,890000,-12507000,19699000,-9699000,-3123000,-12762000,-12104000,-12104000,-5167000,-5167000,-5167000,44739000,0,36453000,0.40497,0.15392,0.09781,0.0528,0.04023,1.55802,4.37776,0.31235,0,0.48635,0.48482,4.97252,9.21184,0.75775,0.25161,0.07182,0.07374,0.51733,-4.76079,-5.78471
"28","2017_Q1",11.418064516129,"Down",279960000,-154277000,125683000,-70255000,-70255000,55428000,2011000,2011000,57439000,57439000,-21444000,35995000,35995000,35995000,35995000,246530000,196536000,49994000,8210000,125694000,6023000,6023000,386457000,168995000,459359000,-290364000,18092000,6303000,6303000,193390000,579847000,77417000,25079000,41601000,21199000,21199000,98616000,50692000,13092000,37600000,50692000,149308000,139884000,290737000,430539000,430539000,579847000,35995000,8717000,-410000,40416000,84718000,-4607000,1882000,-2754000,-48434000,-48434000,33530000,33530000,33530000,64145000,0,121398000,0.44893,0.19799,0.12857,0.0836,0.06208,3.37264,3.91881,0.34679,0,0.74711,0.7447,5.81083,8.93624,2.51973,1.00529,0.17544,0.25227,1.34558,-3.84332,-4.44775
"29","2017_Q2",10.3104761904762,"Down",212251000,-130534000,81717000,-56679000,-56679000,25038000,935000,935000,25973000,25973000,-9688000,16285000,16285000,16285000,16285000,261257000,207868000,53389000,8487000,119361000,7295000,7295000,396400000,164927000,460440000,-295513000,15485000,6912000,6912000,187324000,583724000,79236000,32422000,26377000,17272000,17272000,96508000,50959000,13763000,37196000,50959000,147467000,141530000,294809000,436257000,436257000,583724000,16285000,7854000,1340000,2727000,28206000,-3873000,-788000,-4661000,-12213000,-12213000,11332000,11332000,11332000,32892000,0,41434000,0.385,0.11796,0.07673,0.03733,0.0279,2.5443,4.10743,0.33803,0,0.33774,0.33686,4.4019,9.0476,0.85931,0.25329,0.05849,0.08504,0.74995,-7.94287,-10.43442
"30","2017_Q3",9.41142857142857,"Down",195650000,-121511000,74139000,-56724000,-56724000,17415000,899000,899000,18314000,18314000,-6831000,11483000,11483000,11483000,11483000,243851000,195614000,48237000,14732000,121671000,7750000,7750000,388004000,159831000,460250000,-300419000,18294000,7433000,7433000,185558000,573562000,70348000,39890000,30458000,15698000,15698000,86046000,50403000,14167000,36236000,50403000,136449000,143110000,294082000,437113000,437113000,573562000,11483000,7931000,1088000,-19661000,840999.999999993,-3294000,2348000,-885000,-12210000,-12210000,-12254000,-12254000,-12254000,25346000,0,9222000,0.37894,0.08901,0.05869,0.02627,0.02002,0.8031,4.50926,0.31216,0,0.23815,0.23769,4.05761,9.06535,0.19126,0.25322,0.0486,0.01892,1.06331,-9.62089,-14.00235
"31","2017_Q4",11.8722222222222,"Up",224307000,-133379000,90928000,-59991000,-59991000,30937000,808000,808000,31745000,31745000,-11841000,19904000,19904000,19904000,19904000,257449000,205247000,52202000,11247000,128821000,8317000,8317000,405834000,156143000,462798000,-306655000,18386000,7760000,7760000,182289000,588123000,77324000,41294000,31943000,14853000,14853000,92177000,50033000,14581000,35452000,50033000,142210000,144158000,301834000,445913000,445913000,588123000,19904000,7358000,692000,1619000,29573000,-3792000,-4057000,-7788000,-12152000,-12152000,9633000,9633000,9633000,38295000,0,47963000,0.40537,0.13792,0.08874,0.04464,0.03384,2.40972,4.40277,0.31892,0,0.41279,0.41176,4.65193,9.24785,0.99471,0.25202,0.06464,0.09671,0.61053,-6.72278,-8.32172
"32","2018_Q1",13.7109836065574,"Up",281172000,-147933000,133239000,-72551000,-72551000,60688000,2765000,2765000,63453000,63453000,-21418000,42035000,42035000,42035000,42035000,215919000,165086000,50833000,8588000,118007000,18070000,18070000,360584000,149546000,459043000,-309497000,21453000,6533000,6533000,177532000,538116000,79704000,29387000,37953000,18202000,18202000,97906000,48962000,15154000,33808000,48962000,146868000,144767000,246570000,391248000,391248000,538116000,42035000,7602000,3051000,8413000,61101000,-2240000,-1693000,-3963000,-97299000,-97299000,-40161000,-40161000,-40161000,68290000,0,95881000,0.47387,0.21584,0.1495,0.10744,0.07812,2.28098,3.68296,0.37538,0,0.86946,0.86672,5.81583,8.09267,1.98323,2.01256,0.31652,0.21781,2.31471,-3.1618,-3.55785
