"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",8737.5,"Down",-2712316,-1121703,-1590613,-2712316,-2649,-2649,-2714965,-3453879,-3453879,-3453879,-3453879,-3453879,7862479,7862479,246844,191844,8109323,2621593,3580944,1905482,6202537,14311860,6590250,862989,6592689,137599,137599,588667,7181356,-4.33680868994202e-19,50861783,-43731279,7130504,7130504,14311860,-3453879,111874,1169325,283743,-1888937,-92977,28763.0000000005,3184934,3184934,3184934,-2600442,453507,-0.48438,-0.24133,1.23005,1.00713,0.03169,-1346.88583,-1346.88583,2780.63441,-0.4473,2.84912,2.7316
"12","2013_Q3",8296.875,"Down",-2722586,-1073749,-1648837,-2722586,-2217,-2217,-2724803,-2064462,-2064462,-2064462,-2064462,-2064462,5828253,5828253,202369,147369,6030622,2513499,3580916,1905454,6094415,12125037,6088394,1021474,6090876,139795,139795,590226,6681102,0,51239676,-45795741,5443935,5443935,12125037,-2064462,108094,-282448,205156,-2033660,0,28,-2034226,-2034226,-2034226,-2614492,452913,-0.37922,-0.17026,0.99011,1.22726,0.03735,-718.92702,-718.92702,1895.7927,-0.34199,2.05598,1.97435
"13","2013_Q4",7387.5,"Down",-2910449,-843622,-2066827,-2910449,-2241,-2241,-2912690,-1315318,-1315318,-1315318,-1315318,-1315318,5110493,5110493,384352,329352,5494845,2449786,1702684,27222,4152470,9647315,4626861,1157313,4629170,141854,141854,591854,5221024,-6.93889390390723e-18,51537350,-47111059,4426291,4426291,9647315,-1315318,105692,-1299698,-44085,-2553409,-41979,1836253,-717760,-717760,-717760,-2804757,452309,-0.29716,-0.13634,1.187,1.17955,0.04688,-458.04854,-458.04854,1541.41899,-0.26199,1.66082,1.6005
"14","2014_Q1",7960.98360655738,"Up",-2959579,-1405693,-1553886,-2959579,-2241,-2241,-2961820,-3948509,-3948509,-3948509,-3948509,-3948509,2418384,2418384,349687,294687,2768071,2360534,1687334,11871.9999999998,4047868,6815939,4521461,1162098,4523155,143234,143234,593234,5116389,0,52759118,-51059568,1699550,1699550,6815939,-3948509,99098,1114593,56180,-2678638,-12856,-12856,-2692109,-2692109,-2692109,-2860481,451694,-2.32327,-0.57931,0.61198,3.01044,0.06627,-1375.4387,-1375.4387,592.02773,-1.72087,0.68754,0.66452
"15","2014_Q2",7203.01587301587,"Down",-2802342,-1087035,-1715307,-2802342,-69244,-69244,-2871586,-2943413,-2943413,-2943413,-2943413,-2943413,3807967,3807967,267343,212343,4075310,2277408,1687334,11872,3964742,8040052,4406655,992347,4407723,144614,144614,4359642,8767365,0,53275668,-54002981,-727313,-727313,8040052,-2943413,96048,338792,-86026.9999999999,-2594600,-15191,-15191,1389583,1389583,1389583,-2706294,4216096,4.04697,-0.36609,0.92458,-12.05446,0.52439,-1025.67272,-1025.67272,-253.44221,-0.8101,-0.15081,-0.14564
"16","2014_Q3",4510.3109375,"Down",-2340684,-959886,-1380798,-2340684,-113970,-113970,-2454654,-2085836,-2085836,-2085836,-2085836,-2085836,1626025,1626025,389979,334979,2016004,2185087,1687471,12009,3872558,5888562,4035975,1195418,4077736,145993,145993,4351444,8429180,0,53548199,-56088817,-2540618,-2540618,5888562,-2085836,92321,-268309,254084,-2007740,0,0,-2181942,-2181942,-2181942,-2248363,4247212,0.821,-0.35422,0.49439,-3.31777,0.72126,-726.83822,-726.83822,-885.31326,-1.1259,-1.16582,-1.11984
"17","2014_Q4",2567.9421875,"Down",-2273091,-802793,-1470298,-2273091,-253058,-253058,-2526149,324022,324022,324022,324022,324022,11576005,11576005,345352,290352,11921357,2111280,1687334,11872,3798614,15719971,5232598,1139503,5338045,147234,147234,505093,5843138,0,65641628,-55764795,9876833,9876833,15719971,324022,89319,-2327958,-182316,-2096933,-2206,-2206,9949980,9949980,9949980,-2183772,463306,0.03281,0.02061,2.23328,0.5916,0.02947,64.64658,64.64658,1970.55608,0.0309,5.08876,4.88881
"18","2015_Q1",2675.20163934426,"Up",-2253012,-854962,-1398050,-2253012,-10042,-10042,-2263054,-3346875,-3346875,-3346875,-3346875,-3346875,9422627,9422627,275611,220611,9698238,2033944,1687334,11872,3721278,13419516,6110903,933988,6233006,147774,147774,488977,6721983,0,65809203,-59111670,6697533,6697533,13419516,-3346875,89509,1251395,-135235,-2141206,-12172,-12172,-2153378,-2153378,-2153378,-2163503,463306,-0.49972,-0.2494,1.55595,1.00365,0.03452,-439.28263,-439.28263,879.06178,-0.45794,4.14112,3.9766
"19","2015_Q2",2909.53650793651,"Up",-2587427,-943433,-1643994,-2587427,-1980,-1980,-2589407,-2301156,-2301156,-2301156,-2301156,-2301156,7029612,7029612,226025,171025,7255637,1968508,1687334,11872,3655842,10911479,5712904,824240,5895533,148313,148313,427779,6323312,1.4210854715202e-14,66000993,-61412826,4588167,4588167,10911479,-2301156,90044,-95603.0000000005,-59623,-2366338,-25466,-25466,-2393015,-2393015,-2393015,-2497383,462095,-0.50154,-0.21089,1.2307,1.37818,0.04235,-304.27463,-304.27463,606.67891,-0.44265,2.62976,2.53824
"20","2015_Q3",3035.0671875,"Up",-2200624,-817657,-1382967,-2200624,450,449.999999999993,-2200174,-2286550,-2286550,-2286550,-2286550,-2286550,4833277,4833277,173589,118589,5006866,1886014,1687334,11872,3573348,8580214,5596761,712221,5839832,148853,148853,367011,6206843,0,66072747,-63699376,2373371,2373371,8580214,-2286550,90692,67631,-59043,-2187270,-8199,-8199,-2196335,-2196335,-2196335,-2109932,461229,-0.96342,-0.26649,0.85736,2.6152,0.05375,-302.34324,-302.34324,313.82331,-0.76641,2.07213,1.98673
"21","2015_Q4",1420.775,"Down",-2002655,-834889,-1167766,-2002655,617,617,-2002038,-1858237,-1858237,-1858237,-1858237,-1858237,2472527,2472527,500281,445281,2972808,1801365,1687334,11872,3488699,6461507,5230812,579812,5475576,149249,149249,305780,5781356,2.27373675443232e-13,66237764,-65557613,680151,680151,6461507,-1858237,90772,-68633,-328940,-2165038,-6122,-6122,-2360750,-2360750,-2360750,-1911883,401295,-2.73209,-0.28759,0.54292,8.50011,0.06211,-245.67827,-245.67827,89.92304,-1.50991,1.08335,1.03424
"22","2016_Q1",515.910491803279,"Down",-1763528,-799381,-964147,-1763528,72,72,-1763456,950913,950913,950913,950913,950913,3857791,3857791,322783,267783,4180574,1728471,1687334,11872,3415805,7596379,5457006,675924,5703045,148924,148924,243531,5946576,0,66256503,-64606700,1649803,1649803,7596379,950913,90994,-2718330,182089,-1494334,-18683,-18683,1385264,1385264,1385264,-1672534,340646,0.57638,0.12518,0.73304,3.60442,0.04484,110.70287,110.70287,192.06587,0.44448,2.10288,1.99438
"23","2016_Q2",279.015625,"Down",-2000708,-961254,-1039454,-2000708,549,549,-2000159,824563,824563,824563,824563,824563,1908375,1908375,336440,281440,2244815,1637698,1687334,11872,3325032,5569847,2565028,608668,2812352,148599,148599,180805,2993157,0,66358827,-63782137,2576690,2576690,5569847,824563,90773,-2721804,-11788,-1818256,0,0,-1949416,-1949416,-1949416,-1909935,279530,0.32001,0.14804,0.7982,1.16163,0.05019,96.09093,90.97311,300.27607,0.27441,0.85283,0.81413
"24","2016_Q3",273.4075,"Down",-2332911,-1367727,-965184,-2332911,1638,1638,-2331273,-2132903,-2132903,-2132903,-2132903,-2132903,7922144,7922144,217215,162215,8139359,1551217,1687334,11872,3238551,11377910,1182325,816763,1393801,148273,148273,154922,1548723,0,75744228,-65915041,9829187,9829187,11377910,-2132903,90688,-78401,218974,-1901642,-4207,-4207,6013769,6013769,6013769,-2242223,218125,-0.217,-0.18746,5.83969,0.15756,0.01917,-49.27804,-49.27804,227.09101,-0.2092,3.43588,3.30232
"25","2016_Q4",180.737777777778,"Down",-2467888,-1162278,-1305610,-2467888,3116,3116,-2464772,-2286860,-2286860,-2286860,-2286860,-2286860,5645968,5645968,492601,437601,6138569,1464410,1693034,17572,3157444,9296013,1275090,1087440,1425683,147800,147800,153758,1579441,-2.91038304567337e-11,75918473,-68201901,7716572,7716572,9296013,-2286860,87856,-3667.00000000023,-10881.0000000001,-2213552,-1051,-1051,-2276176,-2276176,-2276176,-2380032,156551,-0.29636,-0.246,4.3057,0.20468,0.01684,-42.59985,-42.59985,143.74505,-0.28511,2.30645,2.22434
"26","2017_Q1",198.040322580645,"Up",-2648245,-1208079,-1440166,-2648245,2594,2594,-2645651,-2585126,-2585126,-2585126,-2585126,-5765107,11444619,11444619,748569,693569,12193188,1444058,1687334,11872,3131392,15324580,1543558,1416433,1632876,146583,146583,151832,1784708,865136,83461762,-70787026,13539872,13539872,15324580,-2585126,87348,71502,77508,-2348768,-66993,-66993,5798651,5798651,5798651,-2560897,94567,-0.42579,-0.3762,7.46731,0.13181,0.00617,-75.94054,-76.42652,166.95722,-0.41834,4.43206,4.28588
"27","2017_Q2",182.712857142857,"Down",-2812236,-955356,-1856880,-2812236,3387,3387,-2808849,-2891324,-2891324,-2891324,-2891324,-2891324,11238394,11238394,948185,893185,12186579,1423448,1687334,11872,3110782,15297361,1395692,1186092,1398493,145367,145367,149887,1548380,0,87427331,-73678350,13748981,13748981,15297361,-2891324,86911,248149,-431173,-2987437,-66301,-66301,-206225.000000002,-206225.000000002,-206225.000000002,-2725325,7321,-0.21029,-0.18901,8.71408,0.11262,0.00048,-24.07374,-24.07374,114.47674,-0.20798,4.121,3.99365
"28","2017_Q3",161.527301587302,"Down",-3216470,-1040540,-2175930,-3216470,4941,4941,-3211529,-3121529,-3121529,-3121529,-3121529,-3121529,8313073,8313073,1024585,969585,9337658,1576244,1687334,11872,3263578,12601236,1585897,1466297,1588774,144151,144151,147923,1736697,0,87664417,-76799878,10864539,10864539,12601236,-3121529,101414,141086,215436,-2663593,-254209,-254209,-2925321,-2925321,-2925321,-3115056,6649.00000000001,-0.28731,-0.24772,5.87727,0.15985,0.000529999999999999,-23.18772,-23.18772,80.70527,-0.28338,2.66654,2.58247
"29","2017_Q4",148.904761904762,"Down",-3483767,-1150709,-2333058,-3483767,3969,3969,-3479798,-3470698,-3470698,-3470698,-3470698,-3470698,5662227,5662227,1025240,970240,6687467,1496566,1687334,11872,3183900,9871367,2129731,2019231,2132660,142782,142782,146043,2278703,5.82076609134674e-11,87863241,-80270577,7592664,7592664,9871367,-3470698,105870,167224,654400,-2543204,-26193,-26192.9999999999,-2650846,-2650846,-2650846,-3377897,6190,-0.45711,-0.35159,3.13574,0.30012,0.00063,-25.76427,-25.76427,56.36314,-0.44832,1.67443,1.62354
