"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"11","2013_Q2",54.87125,"Up",239993000,-149116000,90877000,-48438000,-45113000,-3325000,42439000,-45000,-45000,42394000,42394000,-16180000,26214000,26214000,26214000,26214000,26214000,3325000,507000,6272000,36318000,-8195000,-189000,-8384000,-67000,-629000,559000,-1188000,-961000,-1657000,26277000,26277000,26277000,45764000,704000,60021000,0.37867,0.17683,0.10923,2.28965,0.97168,0.95303,8.89588,2.22481
"12","2013_Q3",54.4978125,"Down",186235000,-122308000,63927000,-46960000,-43641000,-3319000,16967000,-43000,-43000,16924000,16924000,-6382000,10542000,10542000,10542000,10542000,10542000,3319000,605000,-19507000,-5041000,-12020000,-2000,-12022000,-68000,-5465000,688000,-6153000,321000,-5212000,-22275000,-22275000,-22275000,20286000,692000,-4859000,0.34326,0.09111,0.05661,-0.46092,0.39076,0.38326,6.90322,-0.18011
"13","2013_Q4",59.35390625,"Up",207970000,-131483000,76487000,-49046000,-45497000,-3549000,27441000,-54000,-54000,27387000,27387000,-10138000,17249000,17249000,17249000,17249000,17249000,3549000,40000,-2581000,18257000,-22289000,-136000,-22425000,-69000,-6887000,255000,-7142000,148000,-6808000,-10976000,-10976000,-10976000,30990000,682000,16258000,0.36778,0.13195,0.08294,0.94255,0.66007,0.64753,7.95844,0.62215
"14","2014_Q1",57.4091803278689,"Down",184502000,-116911000,67591000,-38457000,-35621000,-2836000,29134000,-26000,-26000,29108000,29108000,-10531000,18577000,18577000,18577000,18577000,18577000,2836000,-944000,17121000,37590000,20716000,-203000,20513000,23000,-29959000,1496000,-31455000,580000,-29356000,28747000,28747000,28747000,31970000,3211000,80338000,0.36634,0.15791,0.10069,4.32459,0.71089,0.69739,7.06039,3.07432
"15","2014_Q2",52.4419047619048,"Down",239993000,-149116000,90877000,-48438000,-45113000,-3325000,42439000,-45000,-45000,42394000,42394000,-16180000,26214000,26214000,26214000,26214000,26214000,3325000,507000,6272000,36318000,-8195000,-189000,-8384000,-67000,-629000,559000,-1188000,-961000,-1657000,26277000,26277000,26277000,45764000,0,60021000,0.37867,0.17683,0.10923,2.28965,1.01189,0.99567,9.26399,2.31688
"16","2014_Q3",46.46171875,"Down",186235000,-122308000,63927000,-46960000,-43641000,-3319000,16967000,-43000,-43000,16924000,16924000,-6382000,10542000,10542000,10542000,10542000,10542000,3319000,605000,-19507000,-5041000,-12020000,-2000.00000000003,-12022000,-68000,-5465000,688000,-6153000,321000,-5212000,-22275000,-22275000,-22275000,20286000,0,-4859000,0.34326,0.09111,0.05661,-0.46092,0.40621,0.40056,7.17613,-0.18723
"17","2014_Q4",45.13765625,"Down",207970000,-131483000,76487000,-49046000,-45497000,-3549000,27441000,-54000,-54000,27387000,27387000,-10138000,17249000,17249000,17249000,17249000,17249000,3549000,40000,-2581000,18257000,-22289000,-136000,-22425000,-69000,-6887000,255000,-7142000,148000,-6808000,-10976000,-10976000,-10976000,30990000,0,16258000,0.36778,0.13195,0.08294,0.94255,0.66802,0.6563,8.0543,0.62964
"18","2015_Q1",48.0083606557377,"Up",217767000,-139793000,77974000,-50930000,-47276000,-3654000,27044000,-46000,-46000,26998000,26998000,-10126000,16872000,16872000,16872000,16872000,16872000,3654000,429000,-17188000,3767000.00000001,-7782000,-377000,-8159000,-64000,185000,1509000,-1324000,561000,681999.999999999,-3710000,-3710000,-3710000,30698000,3211000,15854000,0.35806,0.12419,0.07748,0.93966,0.65393,0.64555,8.44025,0.61447
"19","2015_Q2",46.4785714285714,"Down",261909000,-163713000,98196000,-52532000,-48952000,-3580000,45664000,-73000,-73000,45591000,45591000,-17203000,28388000,28388000,28388000,28388000,28388000,3580000,2329000,29185000,63482000,-6480000,-364000,-6844000,-86000,-10567000,209000,-10776000,-1937000,-12590000,44048000,44048000,44048000,49244000,391000,89152000,0.37492,0.17435,0.10839,3.14048,1.09835,1.08637,10.13344,3.44935
"20","2015_Q3",40.62734375,"Down",193918000,-129510000,64408000,-50685000,-46625000,-4060000,13723000,-71000,-71000,13652000,13652000,-5272000,8380000,8380000,8380000,8380000,8380000,4060000,-19000,-11382000,1038999.99999999,-7723000,-75000,-7798000,-92000,-22111000,308000,-22419000,134000,-22069000,-28828000,-28828000,-28828000,17783000,386000,3949999.99999999,0.33214,0.07077,0.04321,0.47136,0.32792,0.32473,7.58826,0.154569999999999
"21","2015_Q4",32.138125,"Down",218321000,-139171000,79150000,-52338000,-48201000,-4137000,26812000,-72000,-72000,26740000,26740000,-9849000,16891000,16891000,16891000,16891000,16891000,4137000,234000,-10525000,10737000,-4752000,630000,-4122000,-95000,-16530000,183000,-16713000,44000,-16581000,-9966000,-9966000,-9966000,30949000,428000,25521000,0.36254,0.12281,0.07737,1.51092,0.67265,0.66668,8.69424,1.01633
"22","2016_Q1",32.4531147540984,"Up",268956000,-177995000,90961000,-65156000,-59895000,-5261000,25805000,-76000,-76000,25729000,25729000,-8860000,16869000,16869000,16869000,16869000,16869000,5261000,2883000,-41792000,-16779000,-5894000,-19000,-5913000,-73000,-39151000,153000,-39304000,539000,-38685000,-61377000,-61377000,-61377000,31066000,3465000,-7759999.99999999,0.3382,0.09595,0.06272,-0.46002,0.67573,0.66922,10.77375,-0.31085
"23","2016_Q2",33.7334375,"Up",282092000,-177090000,105002000,-60660000,-56061000,-4599000,44342000,-65000,-65000,44277000,44277000,-16371000,27906000,27906000,27906000,27906000,27906000,4599000,2168000,21336000,56009000,-6780000,147000,-6633000,-113000,-7209000,169000,-7378000,-913000,-8235000,41141000,41141000,41141000,48941000,449000,79868000,0.37223,0.15719,0.09893,2.86204,1.22502,1.21611,12.38332,3.50606
"24","2016_Q3",36.6240625,"Up",206934000,-138677000,68257000,-58140000,-53501000,-4639000,10117000,-62000,-62000,10055000,10055000,-3545000,6510000,6510000,6510000,6510000,6510000,4639000,977000,-12466000,-340000.000000015,-5897000,-4000,-5901000,-114000,-21224000,152000,-21376000,51000.0000000002,-21287000,-27528000,-27528000,-27528000,14756000,457000,-62000.0000000298,0.32985,0.04889,0.03146,-0.00952000000000108,0.29218,0.29008,9.28746,-0.00278
"25","2016_Q4",39.4260317460317,"Up",237005000,-153180000,83825000,-60651000,-55853000,-4798000,23174000,-60000,-60000,23114000,23114000,-8510000,14604000,14604000,14604000,14604000,14604000,4798000,722000,-15965000,4159000,-6877000,-61000,-6938000,-117000,-1800000,137000,-1937000,4000,-1913000,-4692000,-4692000,-4692000,27972000,467000,13640000,0.35368,0.09778,0.06162,0.93399,0.52273,0.51846,8.48325,0.48822
"26","2017_Q1",30.5374193548387,"Down",246929000,-165417000,81512000,-62381000,-57370000,-5011000,19131000,-81000,-81000,19050000,19050000,-6995000,12055000,12055000,12055000,12055000,12055000,5011000,2282000,-501000,18847000,-10025000,88000,-9937000,-141000,-11020000,404000,-11424000,13999.9999999999,-11147000,-2236999.99999999,-2236999.99999999,-2236999.99999999,24142000,3452000,20611000,0.3301,0.07748,0.04882,1.70975,0.52898,0.52507,10.83545,0.90443
"27","2017_Q2",23.9534920634921,"Down",275688000,-177470000,98218000,-64050000,-58337000,-5713000,34168000,-66000,-66000,34102000,34102000,-13192000,20910000,20910000,20910000,20910000,20910000,5713000,1799000,38448000,66870000,-7796000,-80000,-7876000,-146000,-21249000,387000,-21636000,-701000,-22096000,36898000,36898000,36898000,39881000,603000,83725000,0.35627,0.12394,0.07585,4.00407,0.98095,0.9741,12.93338,3.9278
"28","2017_Q3",14.4342857142857,"Down",187958000,-133550000,54408000,-59569000,-53556000,-6013000,-5161000,-58000,-58000,-5219000,-5218999.99999999,2042000,-3177000,-3177000,-3177000,-3177000,-3177000,6013000,672000,-13193000,-9685000,-6579000,136000,-6443000,-148000,-6812000,93000,-6905000,-7999.99999999988,-6968000,-23096000,-23096000,-23096000,852000,612000,-20962000,0.28947,-0.02746,-0.0169,6.59805,-0.15288,-0.15288,9.0447,-1.00871
"29","2017_Q4",16.0674603174603,"Up",262385000,-157927000,104458000,-55832000,-53522000,-2310000,48626000,-63000,-63000,48563000,48563000,-17276000,31287000,31287000,31287000,31287000,31287000,2310000,1396000,-32350000,2643000,-5179000,26000,-5153000,-50000,-2172000,-22000,-2150000,-149000,-2371000,-4881000,-4881000,-4881000,50936000,545000,30683000,0.39811,0.18532,0.11924,0.98069,1.25384,1.23527,10.51517,1.22963
"30","2018_Q1",23.1168852459016,"Up",246929000,-165417000,81512000,-62381000,-57370000,-5011000,19131000,-81000,-81000,19050000,19050000,-6995000,12055000,12055000,12055000,12055000,12055000,5011000,2282000,-501000,18847000,-10025000,88000,-9937000,-141000,-11020000,404000,-11424000,14000,-11147000,-2237000,-2237000,-2237000,24142000,663000,20611000,0.3301,0.07748,0.04882,1.70975,0.55021,0.54466,11.27015,0.94071
"31","2018_Q2",25.36484375,"Up",274707000,-177934000,96773000,-68152000,-61904000,-6248000,28621000,-57000,-57000,28564000,28564000,-7055000,21509000,21509000,21509000,21509000,21509000,6248000,1897000,17369000,47023000,-4095000,28000,-4067000,-160000,-97000,358000,-455000,-416000,-673000,42283000,42283000,42283000,34869000,641000,55198000,0.35228,0.10419,0.0783,2.56627,1.13384,1.1236,14.48113,2.90975
"32","2018_Q3",22.0431746031746,"Down",211123000,-144772000,66351000,-68236000,-61965000,-6271000,-1885000,168000,168000,-1717000,-1717000,495000,-1222000,-1222000,-1222000,-1222000,-1222000,6271000,1171000,9284000,15504000,-3898000,144000,-3754000,-158999.999999999,-7827000,150000,-7977000,0,-7986000,3764000.00000001,3764000.00000001,3764000.00000001,4386000,643000,9277000.00000001,0.31428,-0.00892999999999999,-0.00579000000000002,-7.59165,-0.0649200000000001,-0.0649200000000001,11.21622,0.49285
"33","2018_Q4",16.5385714285714,"Down",216888000,-146376000,70512000,-68670000,-62342000,-6328000,1842000,276000,276000,2118000,2118000,-619000,1499000,1499000,1499000,1499000,1499000,6328000,891000,-18772000,-10054000,-5956000,85000,-5871000,24838000,-7327000,299000,-7626000,0,17511000,1586000,1586000,1586000,8170000,644000,-15939000,0.32511,0.00849,0.00691,-10.63309,0.08105,0.08027,11.72685,-0.8618
"34","2019_Q1",17.1460655737705,"Up",305964000,-210865000,95099000,-86136000,-77931000,-8205000,8963000,-370000,-370000,8593000,8593000,-1958000,6635000,6635000,6635000,6635000,6635000,8205000,3348000,2756000,20944000,-3417000,75000,-90179000,9786000,28000,94000,-66000,5.82076609134674e-11,9814000,-59421000,-59421000,-59421000,17168000,3011000,18465000,0.31082,0.02929,0.02169,2.78297,0.36281,0.35552,16.73031,1.00968
"35","2019_Q2",20.4468253968254,"Up",343295000,-224692000,118603000,-81261000,-74038000,-7223000,37342000,-46000,-46000,37296000,37296000,-9439000,27857000,27857000,27857000,27857000,27857000,7223000,4729000,32249000,72058000,-2469000,-54000,-2523000,-9e+06,-4596000,203000,-4799000,-732000,-14328000,55207000,55207000,55207000,44565000,2750000,83784000,0.34548,0.10878,0.08115,3.00765,1.52158,1.50294,18.75109,4.57636
"36","2019_Q3",17.73453125,"Down",252440000,-176067000,76373000,-88015000,-80335000,-7680000,-11642000,75000,75000,-11567000,-11567000,2789000,-8778000.00000001,-8778000.00000001,-8778000.00000001,-8778000.00000001,-8778000.00000001,7680000,6038000,-2853999.99999999,2086000,-3404000,308000,-3096000,-9481000,-8859000,87000,-8946000,177000,-18163000,-19173000,-19173000,-19173000,-3962000.00000001,2045000,-13009000,0.30254,-0.04612,-0.03477,1.482,-0.49023,-0.49025,14.09807,-0.72652
"37","2019_Q4",24.6953125,"Up",275475000,-185743000,89732000,-87108000,-79712000,-7396000,2624000,150000,150000,2774000,2774000,-509000,2265000,2265000,2265000,2265000,2265000,7396000,-744000,-8005000,912000,-5163000,29000,-5134000,-9241000,-6955000,89000,-7044000,0,-16196000,-20418000,-20418000,-20418000,10020000,1805000,-2639000,0.32574,0.00953,0.00822,-1.16512,0.12893,0.12714,15.68139,-0.15022
"38","2020_Q1",20.3004838709677,"Down",313024000,-214281000,98743000,-90950000,-83926000,-7024000,7793000,32000,32000,7825000,7825000,-1825000,6e+06,6e+06,6e+06,6e+06,6e+06,7024000,2451000,1758000,17233000,-5760000,-493000,-6253000,-7278000,-14019000,96000,-14115000,-977000,-22274000,-11294000,-11294000,-11294000,14817000,1704000,12640000,0.31545,0.0249,0.01917,2.10667,0.34878,0.34143,18.1959,0.73476
"39","2020_Q2",16.2174603174603,"Down",269837000,-195690000,74147000,-76543000,-69673000,-6870000,-2396000,-170000,-170000,-2566000,-22227000,6940000,-15287000,-15287000,-15287000,-15287000,-15287000,6870000,19971000,-7672000,3882000,-4059000,612000,-3447000,49699000,-9583000,165000,-9748000,-424000,39692000,40127000,40127000,40127000,4474000,187905000,-14197000,0.27478,-0.00888,-0.05665,0.9287,-0.92391,-0.92391,16.30829,-0.85803
"40","2020_Q3",28.19328125,"Up",441608000,-278011000,163597000,-107319000,-99835000,-7484000,56278000,-206000,-206000,56072000,56072000,-15717000,40355000,40355000,40355000,40355000,40355000,7484000,6598000,120550000,174987000,-8393000,-50000,-8443000,-50216000,96000,96000,0,-4820000,-54940000,111604000,111604000,111604000,63762000,2862000,191636000,0.37046,0.12744,0.09138,4.74875,2.44073,2.37634,26.70908,11.59042
"41","2020_Q4",43.46609375,"Up",331382000,-204346000,127036000,-93871000,-86330000,-7541000,33165000,-31000,-31000,33134000,33134000,-7868000,25266000,25266000,25266000,25266000,25266000,7541000,160000,-66627000,-33660000,-8339000,935000,-7404000,-249000,1202000,1202000,0,0,953000,-40111000,-40111000,-40111000,40706000,3162000,-26392000,0.38335,0.10008,0.07624,-1.04457,1.52453,1.47083,19.99529,-1.59247
"42","2021_Q1",59.9939344262295,"Up",376830000,-237122000,139708000,-108706000,-101018000,-7688000,31002000,-29000,-29000,30973000,30973000,-7041000,23932000,23932000,23932000,23932000,23932000,7688000,3898000,16989000,52507000,-13128000,-548000,-13676000,766000.000000007,-6574000,395000,-6969000,-1431000,-7239000,31592000,31592000,31592000,38690000,189688000,49592000,0.37075,0.08227,0.06351,2.0722,1.44735,1.37209,22.78984,2.99921
"43","2021_Q2",76.0706349206349,"Up",506861000,-296898000,209963000,-99813000,-91739000,-8074000,110150000,-99000,-99000,110051000,110051000,-25285000,84766000,84766000,84766000,84766000,84766000,8074000,-9565000,25085000,108360000,-7033000,102000,-6931000,-14369845.3666645,-35542000,1772000,-37314000,-4325000,-39867000,61562000,61562000,61562000,118224000,188684000,161561000,0.41424,0.21732,0.16724,1.90596,5.12274,4.97541,30.63159,9.76376
"44","2021_Q3",85.28453125,"Up",419257000,-255930000,163327000,-101827000,-93442000,-8385000,61500000,-28000,-28000,61472000,61472000,-14776000,46696000,46696000,46696000,46696000,46696000,8385000,-536000,-47373000,7172000,-13802000,-22999.9999999999,-13825000,-17703018.6216714,-82938000,225000,-83163000,-574000,-87358000,-94011000,-94011000,-94011000,69885000,194600000,23486000,0.38956,0.14669,0.11138,0.50296,2.91704,2.80709,26.19047,1.46714
"45","2021_Q4",77.9996875,"Down",381719000,-243023000,138696000,-105283000,-96324000,-8959000,33413000,-64000,-64000,33349000,33349000,-8157000,25192000,25192000,25192000,25192000,25192000,8959000,5362000,-43057000,-3544000,-23059000,834000,-22225000,-11993182.5658427,-117382000,468000,-117850000,-254000,-121323000,-147092000,-147092000,-147092000,42372000,204934000,-15587000,0.36335,0.08753,0.066,-0.61873,1.57371,1.5144,23.84551,-0.9737
"46","2022_Q1",53.2464516129032,"Down",383347000,-248926000,134421000,-111318000,-100909000,-10409000,23103000,-83000,-83000,23020000,23020000,-5361000,17659000,17659000,17659000,17659000,17659000,10409000,5191000,14241000,47500000,-26112000,-1068000,-27180000,1.49011611938477e-08,-29306000,193000,-29499000,-303000,-33015000,-12695000,-12695000,-12695000,33512000,214751000,27002000,0.35065,0.06027,0.04607,1.52908,1.0672,1.0672,23.16716,1.63184
"47","2022_Q2",45.6041935483871,"Down",424051000,-267218000,156833000,-106114000,-95596000,-10518000,50719000,-72000,-72000,50647000,50647000,-11300000,39347000,39347000,39347000,39347000,39347000,10518000,6322000,-27365000,28822000,-15975000,361000,-15614000,20415000,-21861000,538000,-22399000,-2318000,-7041000,6167000,6167000,6167000,61237000,242261000,29197000,0.36984,0.11961,0.09279,0.74204,2.97542,2.89061,32.06677,2.20788
"48","2022_Q3",52.16671875,"Up",392805000,-257653000,135152000,-102340000,-91414000,-10926000,32812000,-361000,-361000,32451000,32451000,-7738000,24713000,24713000,24713000,24713000,24713000,10926000,3374000,-77681000,-38668000,-14520000,397000,-14123000,68133000,-6641000,369000,-7010000,-261000,58008000,5217000,5217000,5217000,43738000,319669000,-40725000,0.34407,0.08353,0.06291,-1.64792,1.90819,1.86358,30.33009,-3.14454
