"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",77.21328125,"Up",201040000,-120080000,80960000,-43401000,-34437000,-6217000,-2747000,37559000,-1035000,-939000,1380000,36524000,36524000,-9534000,26990000,26990000,26990000,26990000,301744000,292936000,129122000,129122000,91978000,23271000,17771000,546115000,146100000,11136000,303580000,42461000,186667000,14933000,59519000,460816000,1006931000,87765000,38937000,10154000,38674000,221265000,30259000,15331000,125259000,346524000,660407000,1006931000,26990000,9602000,2592000,7622000,46806000,-10781000,-10781000,-4924000,-4500000,268000,-5222000,30803000,30803000,4461000,35264000,47161000,228500000,53536000,0.40271,0.18682,0.13425,0.04087,0.0268,1.98355,2.46815,0.52471,0.22693,1.20341,1.19293,8.9638,2.38702,0.21955,0.03472,0.05824,0.18244,-1.55306,-1.95011
"12","2014_Q1",84.8750819672131,"Up",198129000,-121020000,77109000,-44286000,-34566000,-6690000,-3030000,32823000,1519000,-958000,1103000,34342000,34342000,-10684000,23658000,23658000,23658000,23658000,312078000,305192000,127887000,127887000,92591000,22580000,17080000,555136000,150173000,12286000,306778000,25166000,186464000,15555000,79593000,469237000,1024373000,82509000,33872000,5931000,42706000,208738000,34969000,14856000,128719000,337457000,686916000,1024373000,23658000,8628000,7596000,-8326000,31556000,-9607000,-6944999.99999999,-4933000,-8749999.99999999,291000,-10768000,13843000,13843000,-1587000,12256000,41451000,219750000,34202000,0.38919,0.16566,0.11941,0.03444,0.0231,1.44568,2.65949,0.49126,0.21452,1.05423,1.04413,8.82888,1.52409,0.21982,0.03036,0.03632,0.20851,-2.2274,-2.81291
"13","2014_Q2",84.4903174603175,"Down",206859000,-128365000,78494000,-44904000,-34171000,-7574000,-3159000,33590000,222000,-1216000,1186000,33812000,33812000,-8423000,25389000,25389000,25389000,25389000,326749000,319806000,136077000,136077000,99121000,25165000,19665000,587112000,158517000,13686000,336351000,26339000,199415000,15696000,94901000,508554000,1095666000,74963000,37341000,7357000,30265000,268199000,28600000,16907000,121100000,389299000,706367000,1095666000,25389000,10166000,1886000,-25932000,11509000,-6408000,-58408000,-4944000,65750000,949000,65431000,18532000,18532000,-3918000,14614000,43756000,285500000,19839000,0.37946,0.16238,0.12274,0.03594,0.02317,0.7814,2.18909,0.55113,0.26057,1.1288,1.11762,9.197,0.88205,0.21981,0.02972,0.01944,0.19473,-0.94271,-1.22801
"14","2014_Q3",84.511875,"Up",220908000,-137913000,82995000,-49276000,-38328000,-7810000,-3138000,33719000,-2157000,-1228000,1446000,31562000,31562000,-6984000,24578000,24578000,24578000,24578000,353255000,346406000,144869000,144869000,96674000,23992000,18492000,618790000,158659000,15787000,335663000,25638000,201769000,15449000,92807000,510109000,1128899000,79663000,36793000,6422000,36448000,283670000,26486000,14922000,117736000,401406000,727493000,1128899000,24578000,10590000,4023000,-8187000,31004000,-6687000,-7455000,-4977000,9750000,1173000,-911999.999999993,22637000,22637000,3963000,26600000,44309000,295250000,36419000,0.3757,0.15264,0.11126,0.03378,0.02177,1.48177,2.18137,0.55177,0.26154,1.08853,1.08035,9.78378,1.61296,0.22043,0.02817,0.03471,0.2025,-1.3091,-1.72025
"15","2014_Q4",86.1378125,"Up",217608000,-130228000,87380000,-47250000,-36647000,-7449000,-3154000,40130000,1070000,-1292000,2261000,41200000,41200000,-11260000,29940000,29940000,29940000,29940000,378314000,378276000,134706000,134706000,99822000,22070000,16570000,634912000,157260000,13115000,328528000,24514000,198702000,16047000,89265000,498903000,1133815000,93805000,37062000,15059000,41684000,280312000,25604000,14558000,115604000,395916000,737899000,1133815000,29940000,10431000,2224000,18723000,61318000,-6255000,515000,-5622000,-18750000,247000,-23056000,38777000,38777000,-6907000,31870000,50561000,276500000,74289000,0.40155,0.18441,0.13759,0.04057,0.02641,2.48126,2.26502,0.53654,0.24387,1.32854,1.31958,9.65602,3.29646,0.24947,0.03419,0.07143,0.18778,-2.01369,-2.5371
"16","2015_Q1",90.884262295082,"Up",206620000,-131061000,75559000,-49168000,-37829000,-8289000,-3050000,26391000,-1319000,-1167000,1751000,25072000,25072000,-6879000,18193000,18193000,18193000,18193000,301873000,297571000,135356000,135356000,97391000,19404000,13904000,554024000,158640000,12056000,346106000,23640000,196256000,22874000,103336000,516802000,1070826000,104198000,50793000,9045000,44360000,215542000,20961000,15814000,127619000,343161000,727665000,1070826000,18193000,10688000,-2161000,22590000,49310000,-12806000,-38645000,-5632000,-81342000,367000,-84716000,-74051000,-74051000,-6654000,-80705000,37079000,195158000,53742000,0.36569,0.12773,0.08805,0.025,0.01699,2.95399,2.57038,0.47159,0.18225,0.80625,0.79962,9.15666,2.38165,0.24959,0.02524,0.05694,0.30957,-2.87804,-4.04361
"17","2015_Q2",91.0374603174603,"Up",210313000,-133983000,76330000,-46782000,-36345000,-7384000,-3053000,29548000,-3142000,-1151000,1126000,26406000,26406000,-6411000,19995000,19995000,19995000,19995000,297500000,293631000,136133000,136133000,96159000,19464000,13964000,549256000,160872000,12862000,336025000,22009000,190804000,22855000,100357000,509759000,1059015000,91304000,47385000,9893000,34026000,190072000,30713000,15440000,133682000,323754000,735261000,1059015000,19995000,10418000,1235000,-8418000,23230000,-12273000,-12273000,-5635000,-5250000,672000,-8445000,2512000,2512000,-6452000,-3940000,39966000,189969000,25686000,0.36294,0.1405,0.09507,0.02719,0.01888,1.28462,2.88973,0.44033,0.17938,0.88473,0.87771,9.30588,1.13655,0.24934,0.02681,0.02687,0.28182,-2.69056,-3.6392
"18","2015_Q3",85.16078125,"Down",222021000,-136740000,85281000,-49110000,-38772000,-7361000,-2977000,36171000,1546000,-948000,1202000,37717000,37717000,-9033000,28684000,28684000,28684000,28684000,315869000,311915000,151283000,151283000,97735000,20857000,15357000,585744000,166379000,14503000,332665000,21449000,192947000,22982000,95287000,513547000,1099291000,109668000,53919000,8547000,47202000,214859000,20147000,14900000,117140000,331999000,767292000,1099291000,28684000,10373000,3059000,-3711000,38405000,-14115000,-10219000,-5661000,-10769000,756000,-11164000,17022000,17022000,1262000,18284000,46544000,179243000,37751000,0.38411,0.16292,0.12919,0.03738,0.02609,1.3161,2.72618,0.43269,0.16305,1.26411,1.25614,9.78454,1.6637,0.24948,0.03553,0.03905,0.19736,-2.93542,-3.77722
"19","2015_Q4",96.53640625,"Up",215510000,-129328000,86182000,-47403000,-37002000,-7479000,-2922000,38779000,4057000,-922000,1430000,42836000,12642000,-1317000,11325000,11325000,11325000,11325000,340598000,336640000,145655000,145655000,99203000,14179000,14179000,599635000,162765000,11196000,318281000,20180000,190016000,19328000,88757000,492242000,1091877000,114587000,53308000,6738000,54541000,250652000,15968000,10943000,107485000,358137000,733740000,1091877000,11324000,10315000,21983000,8326000,51948000,-8590000,-6556000,-6568000,30339000,30000,-7543000,37849000,37849000,-13124000,24725000,49094000,209017000,50147000,0.3999,0.17994,0.05255,0.01543,0.01037,4.42799,2.3923,0.4881,0.19143,0.50153,0.49905,9.54386,2.22076,0.29086,0.01866,0.05231,0.57996,-2.68018,-3.3931
"20","2016_Q1",103.606721311475,"Up",220020000,-137314000,82706000,-53119000,-41595000,-8578000,-2946000,29587000,330000,-1070000,1659000,29917000,30183000,-9321000,20862000,20862000,20862000,20862000,332965000,328786000,142882000,142882000,98629000,9453000,7943000,583929000,162568000,15197000,303781000,20221000,189767000,8333000,85460000,481546000,1065475000,124048000,51658000,11836000,60554000,211048000,31422000,17755000,115175000,326223000,739254000,1065477000,20863000,10493000,14302000,6585000,52243000,-8939000,-15116000,-6477000,-37381000,391000,-40503000,-3376000,-3376000,-4478000,-7854000,40080000,170753000,47047000,0.3759,0.13447,0.09482,0.02822,0.01958,2.25515,2.76681,0.44129,0.16026,0.93184,0.92445,9.82759,2.10144,0.28931,0.02904,0.04997,0.31047,-4.04721,-5.48254
"21","2016_Q2",109.63828125,"Up",219398000,-132243000,87155000,-54727000,-42366000,-8565000,-3796000,32428000,-5351000,-2045000,517000,27077000,27077000,-7788000,19289000,19289000,19289000,19289000,256673434.912731,252521926.963178,165642608.897025,165642608.897025,111649543.782524,8657267.49786682,10911560.1445272,542622855.090146,193438539.539616,15511018.0926044,419583365.000127,56131837.5316423,264513526.437325,8176063.02907873,90761938.0020804,628532922.632347,1171155777.72249,148686883.006324,64636492.4975491,10126324.2028749,73924066.3058998,181294922.195858,31698253.978795,15540439.4412402,235607585.935972,416902508.13183,754254761.549093,1171157269.68092,19289000,11026000,2916000,-23739000,9492000,-9121000,-273219000,-6483000,207500000,-994000,203733000,-59994000,-59994000,4072000,-55922000,43454000,0,18382000,0.39725,0.1478,0.08792,0.0350522883640845,0.0228061239856286,0.95298,2.95044953850861,0.552229276546369,0.200648517149645,0.85966,0.8527,9.77797,0.81924,0.28893,0.0320936519984003,0.0276980278476726,0.3361,-0.394375433257359,-0.151891876599516
"22","2016_Q3",115.800625,"Up",271912000,-174046000,97866000,-68164000,-51092000,-11916000,-5156000,29702000,4312000,-1670000,-255000,34014000,34014000,-6862000,27152000,27152000,27152000,27152000,183381000,179461000,197543000,197543000,124700000,14253000,14253000,519877000,224510000,13936000,583475000,76703000,363341000,13994000,129437000,821921000,1341798000,172538000,78197000,6682000,87659000,178788000,26421000,12576000,388153000,566941000,774857000,1341798000,27152000,14082000,10247000,-25697000,25784000,-10726000,-100984000,-6512000,-8562999.99999994,879000,-14946000,-90146000,-90146000,-3257000,-93403000,43784000,367982000,14223000,0.35992,0.10923,0.09986,0.03504,0.02024,0.52383,2.90778,0.73167,0.27425,1.20526,1.19749,12.06996,0.63135,0.28906,0.02879,0.01216,0.23984,4.21617,6.2151
"23","2016_Q4",135.15746031746,"Up",280331000,-166572000,113759000,-71424000,-56589000,-10403000,-4432000,42335000,2907000,-2571000,778000,45242000,30433000,369000,30802000,30802000,30802000,30802000,198455000,194494000,205211000,205211000,121616000,29887000,15543000,555169000,223853000,14974000,664107000,88322000,409527000,17151000,149107000,902934000,1458103000,181654000,81382000,8622000,91650000,187904000,32617000,19037000,466823000,654727000,803376000,1458103000,30802000,13117000,17827000,2993000,64739000,-14399000,-124278000,-7410000,72382000,686000,73594000,14055000,14055000,978000,15033000,55452000,440456000,43677000,0.4058,0.15102,0.10988,0.03834,0.02112,1.41799,2.95454,0.81497,0.30207,1.36425,1.35489,12.41611,1.93449,0.3282,0.02994,0.03422,0.24057,4.36415,5.71633
"24","2017_Q1",150.49064516129,"Up",284518000,-170181000,114337000,-73349000,-56082000,-11314000,-5953000,40988000,-9238000,-2342000,690000,31750000,31750000,-4505000,27245000,27245000,27245000,27245000,278814000,275124000,176032000,176032000,114063000,43172000,31501000,612081000,217175000,13933000,648005000,213027000,403544000,20585000,10849000,879113000,1491194000,181291000,90712000,8846000,81733000,187541000,40830000,20366000,488722000,676263000,814931000,1491194000,27245000,14912000,-1077000,39038000,80118000,-11734000,-12762000,-7461000,20411000,-733000,21815000,89171000,89171000,-8541000,80630000,55900000,454142000,87709000,0.40186,0.14406,0.09576,0.03343,0.01827,3.21927,3.26372,0.82984,0.30455,1.20064,1.19083,12.53825,3.86519,0.32879,0.0265,0.06696,0.27385,3.13646,4.27754
"25","2017_Q2",152.806349206349,"Up",285441000,-171791000,113650000,-64798000,-46703000,-12151000,-5944000,48852000,-1424000,-3120000,139000,47428000,47428000,-8537000,38891000,38891000,38891000,38891000,278011000,277979000,212586000,212586000,118311000,25317000,13044000,634225000,223942000,11657000,674222000,88147000,428343000,19530000,138202000,909821000,1544046000,170922000,88360000,8827000,73735000,177172000,46840000,24375000,511113000,688285000,855761000,1544046000,38891000,15072000,5150000,-36170000,22943000,-12320000,-22098000,-7472000,10282000,-71000,2938000,3783000,3783000,-928000,2855000,63924000,470523000,23971000,0.39816,0.17115,0.13625,0.04545,0.02519,0.61636,3.57971,0.8043,0.30473,1.70964,1.69172,12.54796,1.05376,0.32847,0.03376,0.01746,0.19213,3.01158,3.94072
"26","2017_Q3",173.039523809524,"Up",313356000,-180748000,132608000,-72337000,-53436000,-12730000,-6171000,60271000,-2914000,-3281000,-191000,57357000,57357000,-8718000,48639000,48639000,48639000,48639000,321927000,321893000,199027000,199027000,125240000,58658000,51938000,704852000,232539000,11916000,672884000,85798000,432134000,19028000,135924000,917339000,1622191000,194379000,100826000,9522000,84031000,202192000,50688000,25887000,524567000,726759000,895432000,1622191000,48639000,15618000,7442000,-1069000,70630000,-15780000,-14019000,-7491000,-3323000,70000,-13017000,43594000,43594000,320000.000000001,43914000,75889000,481692000,67758000,0.42319,0.19234,0.15522,0.05432,0.02998,1.39308,3.48605,0.81163,0.29694,2.13123,2.11263,13.73044,2.96898,0.32824,0.03931,0.04746,0.15401,2.10525,2.65078
"27","2017_Q4",191.50126984127,"Up",317888000,-184237000,133651000,-75043000,-56760000,-11991000,-6292000,58608000,-3085000,-3467000,1014000,55523000,55523000,-12715000,42808000,42808000,42808000,42808000,372863000,372828000,197539000,197539000,136505000,52457000,45799000,759364000,244874000,10582000,687372000,84455000,451131000,17806000,133980000,942828000,1702192000,216781000,103849000,16281000,96651000,226156000,50520000,26230000,542792000,768948000,933244000,1702192000,42808000,15945000,5485000,23509000,87747000,-19829000,-43084000,-8404000,12255000,-1000,3588000,48251000,48251000,2684000,50935000,74553000,501647000,90948000,0.42043,0.18437,0.13466,0.04587,0.02515,2.12456,3.3577,0.82395,0.29471,1.88474,1.86503,13.99586,4.00423,0.37001,0.03448,0.06123,0.19632,1.72742,2.19738
"28","2018_Q1",200.685737704918,"Up",304849000,-178225000,126624000,-75844000,-55934000,-13617000,-6293000,50780000,-7051000,-3512000,320000,43729000,43729000,-54548000,-10819000,-10819000,-10819000,-10819000,429711000,429676000,182699000,182699000,140789000,39141000,37452000,792340000,250577000,10993000,686192000,203850000,453414000,11858000,17070000,947762000,1740102000,218544000,101844000,16285000,100415000,224794000,98391000,62580000,587752000,812546000,927556000,1740102000,-10819000,16376000,22956000,59337000,87850000,-17034000,-16936000,-8403000,-8126000.00000001,-1624000,-18190000,52724000,52724000,4124000,56848000,67156000,495611000,164007000,0.41537,0.16657,-0.03549,-0.01166,-0.00622,-15.15916,3.52474,0.87601,0.28482,-0.48159,-0.47537,13.56995,7.30056,0.37405,-0.00158999999999999,0.10779,-0.77669,0.9813,1.29776
"29","2018_Q2",205.66296875,"Up",417813000,-268190000,149623000,-112052000,-77514000,-22540000,-11998000,37571000,7075000,-5423000,1943000,44646000,44646000,-8617000,36029000,36029000,36029000,36029000,412495000,412458000,244905000,244905000,263969000,51693000,47794000,973062000,337205000,31128000,1286115000,405406000,840574000,12039000,28096000,1654448000,2627510000,254267000,120817000,15938000,117512000,264378000,177721000,81379000,921158000,1185536000,1441974000,2627510000,36029000,23612000,25674000,-16047000,69268000,-17890000,-324377000,-9198000,250500000,-878000,240308000,-14801000,-14801000,-2417000,-17218000,61183000,753548000,35863000,0.35811,0.08992,0.08623,0.02499,0.01371,0.99539,3.68057,0.82216,0.28679,1.4803,1.45425,17.1664,1.47348,0.37791,0.01906,0.01511,0.25529,5.57431,9.07756
"30","2018_Q3",211.211746031746,"Up",459183000,-290196000,168987000,-109365000,-73244000,-22748000,-13373000,59622000,-7305000,-5782000,1678000,52317000,52317000,-9992000,42325000,42325000,42325000,42325000,408181000,408147000,260444000,260444000,239201000,50375000,45727000,958201000,338755000,31326000,1259712000,390052000,832227000,10320000,27113000,1629793000,2587994000,257103000,127290000,19376000,110437000,267163000,163273000,76067000,850811000,1117974000,1470020000,2587994000,42325000,26190000,28162000,-25030000,71647000,-22357000,-26357000,-9260000,-40525000,2.3283064365387e-10,-44101000,1189000,1189000,-5500000,-4311000,85812000,697598000,48417000,0.36802,0.12984,0.09217,0.02879,0.01635,1.14393,3.58658,0.76052,0.26955,1.69273,1.66627,18.36438,1.93637,0.37034,0.02213,0.02077,0.21878,3.37269,4.8542
