"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","current_ratio","liabilities_to_equity_ratio","debt_ratio","equity_per_share"
"15","2018_Q3",22.9465079365079,"Down",-6315000,-5305000,-1010000,-5793000,-45000,-5838000,-6333000,-6333000,-6333000,-6333000,-6333000,5011000,5011000,739000,739000,7266000,791000,42000,42000,833000,8099000,3894000,2078000,1816000,3944000,3944000,84363000,-80208000,4155000,4155000,8099000,-5838000,48000,2421000,1341000,-2028000,-11000,-2000,0,0,0,-2030000,-2030000,-2030000,0,1.84229,0.94922,0,4.03926
"16","2018_Q4",17.9374603174603,"Down",-4522000,-3525000,-997000,-4054000,-8999.99999999999,-4063000,-4063000,-4063000,-4063000,-4063000,-4063000,11427000,11427000,707000,707000,13528000,758000,47000,47000,805000,14333000,3537000,2203000,1334000,3922000,3922000,94682000,-84271000,10411000,10411000,14333000,-4063000,59000,633000,134000,-3237000,-26000,-33000,9686000,9686000,9686000,6416000,6416000,6416000,3.46944695195361e-18,3.44926,0.37672,-2.58493941422821e-26,8.79168
"17","2019_Q1",14.8481967213115,"Down",-5149000,-4222000,-927000,-4926000,-57000,-4983000,-4488000,-4488000,-4488000,-4488000,-4981000,10997000,10997000,560000,560000,13102000,733000,254000,254000,987000,14089000,4428000,2574000,1854000,5164000,5164000,98179000,-89254000,8925000,8925000,14089000,-4983000,47000,474000,1023000,-3439000,-22000,-92000,3023000,3023000,3023000,-508000,-508000,-508000,0,2.53718,0.5786,0,5.18116
"18","2019_Q2",12.9736507936508,"Down",-5921000,-4919000,-1002000,-5363000,-13000,-5376000,-5376000,-5376000,-5376000,-5376000,-5376000,6958000,6958000,730000,730000,9864000,732000,837000,837000,1569000,11433000,5455000,2977000,2478000,7018000,7568000,98495000,-94630000,3865000,3865000,11433000,-5376000,46000,280000,1061000,-3989000,-45000,-45000,4834803.56471511,4834803.65101114,4834818.88290445,-4034000,-4034000,-4034000,5.55111512312578e-17,1.40553,1.95809,-4.13590306276514e-25,2.10143
"19","2019_Q3",8.6553125,"Down",-5688000,-4697000,-991000,-5362000,-20000,-5382000,-5382000,-5382000,-5382000,-5382000,-5382000,7986000,7986000,739000,739000,10822000,711000,793000,793000,1504000,12326000,4048000,2384000,1664000,5723000,6232000,106106000,-100012000,6094000,6094000,12326000,-5382000,47000,1160000,-1327000,-5502000,-26000,-27000,6558000,6558000,6558000,1029000,1029000,1029000,0,1.89097,1.02265,0,3.31336
"20","2019_Q4",5.51859375,"Down",-3672000,-2813000,-859000,-2799000,-6000,-2805000,-2805000,-2805000,-2805000,-2805000,-2805000,4585000,4585000,581000,581000,7158000,674000,771000,771000,1445000,8603000,2621000,1406000,1215000,4219000,4696000,106724000,-102817000,3907000,3907000,8603000,-2805000,45000,648000,-1270000,-3382000,-8000,-15000,0,0,0,-3397000,-3397000,-3397000,8.88178419700125e-16,1.69661,1.20195,-6.61744490042422e-24,1.59139
"21","2020_Q1",7.39548387096774,"Up",-5021000,-4181000,-840000,-4181000,8000,-4173000,-4173000,-4173000,-4173000,-4173000,-7328000,20395000,20395000,458000,458000,22939000,648000,982000,982000,1630000,24569000,3680000,1656000,2024000,5220000,5675000,129039000,-110145000,18894000,18894000,24569000,-4173000,45000,537000,739000,-2852000,-19000,-26000,18689000,18689000,18689000,15811000,15811000,15811000,0,4.39444,0.30036,0,11.11893
"22","2020_Q2",6.64285714285714,"Down",-10893000,-9662000,-1231000,-10114000,222000,-9892000,-9892000,-9892000,-9892000,-9892000,-11167000,15826000,15826000,672000,672000,18493000,630000,911000,911000,1541000,20034000,2672000,1239000,1433000,4230000,4608000,136738000,-121312000,15426000,15426000,20034000,-9892000,46000,6436000,-1135000,-4545000,-28000,-28000,43551070.8794495,43551064.5500549,43549947.364665,-4573000,-4573000,-4573000,0,4.37187,0.29872,1.05879118406788e-22,4.99096
"23","2020_Q3",13.525,"Up",-4759000,-3934000,-825000,-4123000,117000,-4006000,-4006000,-4006000,-4006000,-4006000,-4792000,13182000,13182000,660000,660000,15807000,597000,803000,803000,1400000,17207000,3105000,1579000,1526000,4662000,4981000,138330000,-126104000,12226000,12226000,17207000,-4006000,46000,904000,417000,-2639000,-13000,-15000,52594421.6748851,52594411.0846445,52592541.8281559,-2654000,-2654000,-2654000,0,3.3906,0.40741,0,2.96606
"24","2020_Q4",12.88984375,"Down",-7151000,-6197000,-954000,-6602000,52000,-6550000,-6550000,-6550000,-6550000,-6550000,-7480000,36907000,36907000,808000,808000,39830000,577000,737000,737000,1314000,41144000,4282000,1999000,2283000,5852000,6110000,168618000,-133584000,35034000,35034000,41144000,-6550000,48000,1872000,838000,-3792000,-28000,-30000,27548000,27548000,27548000,23726000,23726000,23726000,0,6.80622,0.1744,-8.470329472543e-22,4.76291
"25","2021_Q1",22.5262295081967,"Up",-9613000,-8190000,-1423000,-9064000,67000,-8997000,-8997000,-8997000,-8997000,-8997000,-9664000,28590000,28590000,3121000,3121000,34128000,576000,703000,703000,1279000,35407000,5500000,2480000,3020000,7034000,7256000,171399000,-143248000,28151000,28151000,35407000,-8997000,50000,2157000,30000,-6760000,-49000,-1549000,0,0,0,-8309000,-8309000,-8309000,0,4.85186,0.25775,0,6.8692220219611
"26","2021_Q2",19.0374603174603,"Down",-15408000,-12753000,-2655000,-14327000,-639000,-14966000,-14966000,-14966000,-14966000,-14966000,-15510000,81171000,81171000,1597000,1597000,88256000,722000,35209000,650000,35931000,124187000,10034000,3426000,6608000,11742000,11920000,271025000,-158758000,112267000,112267000,124187000,-14966000,590000,4444000,-6e+05,-10532000,-68000,-2540000,65711000,65711000,65711000,52639000,52639000,52639000,-1.81898940354586e-12,7.51627,0.10618,-1.35525271560688e-20,8.00425
"27","2021_Q3",14.42546875,"Down",-20606000,-15769000,-3742000,-18003000,238000,-17765000,-17765000,-17765000,-17765000,-17765000,-18253000,63865000,63865000,1736000,1736000,71609000,686000,58688000,590000,59374000,130983000,11125000,4044000,7081000,12745000,12870000,295124000,-177011000,118113000,118113000,130983000,-17765000,1172000,5521000,-1234000,-12306000,-29000,-5053000,55000,55000,55000,-17304000,-17304000,-17304000,0,5.6186,0.10896,0,6.99076
"28","2021_Q4",15.20703125,"Up",-23325000,-17819000,-5506000,-22499000,55000,-22444000,-22444000,-22444000,-22444000,-22444000,-22932000,51331000,51331000,1732000,1732000,59227000,713000,57246000,438000,57959000,117186000,11175000,3990000,7185000,12681000,12747000,304382000,-199943000,104439000,104439000,117186000,-22444000,-1560000,12223000,-654000,-12435000,-96000,-97000,0,0,7.45058059692383e-09,-12532000,-12532000,-12532000,-2.91038304567337e-11,4.67053,0.12205,2.16840434497101e-19,5.90514
"29","2022_Q1",8.27177419354839,"Down",-21118000,-16897000,-5316000,-21665000,111000,-21554000,-21554000,-21586000,-21586000,-21586000,-22071000,35808000,35808000,2259000,2259000,45605000,702000,54464000,364000,55166000,100771000,12915000,5109000,7806000,15201000,15222000,307563000,-222014000,85549000,85549000,100771000,-21586000,4255000,2994000,-799000,-15136000,-68000,-444000,0,0,0,-15580000,-15580000,-15580000,0,3.00013,0.17793,0,11.41253
"30","2022_Q2",5.86629032258065,"Down",-19857000,-13930000,-5927000,-15872000,-44000,-15916000,-15916000,-15916000,-15916000,-15916000,-16367000,55558000,55558000,3461000,3461000,71376000,698000,55257000,303000,55955000,127331000,11420000,4228000,7192000,12725000,13146000,352566000,-238381000,114185000,114185000,127331000,-15916000,1033000,4898000,-8109000,-18094000,-66000,-181000,38023000,38023000,38023000,19748000,19748000,19748000,0,5.60912,0.11513,-3.46944695195361e-18,7.27694
"31","2022_Q3",5.3671875,"Down",-20519000,-14356000,-4137000,-17355000,-672000,-18027000,-18027000,-18028000,-18028000,-18028000,-18461000,67949000,67949000,3010000,3010000,82444000,773000,54122000,292000,54895000,137339000,10086000,3280000,6806000,11222000,37687000,356494000,-256842000,99652000,99652000,137339000,-18028000,1208000,5344000,361000,-11115000,-159000,-159000,-134000,0,23652000,12378000,12378000,12378000,23061000,7.34664,0.37819,0.16791,4.44359
