"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"32","2018_Q1",15.4581967213115,"Down",15864000,8918000,10530000,-1612000,6946000,1230000,222000,377000,16241000,-14717000,-14717000,1524000,1524000,1524000,-560000,964000,964000,964000,964000,964000,692000,395074000,-404910000,-8180000,-5e+05,-29152000,-24297000,-42832000,-1026000,14982000,-11785000,-1460000,-52472000,-52472000,-52472000,2216000,126226000,-402634000,0.09607,0.06077,-417.67012,0.12288,0.12023,2.02223,-51.32485,0.13079,1.06432
"33","2018_Q2",15.56375,"Up",15470000,9118000,10745000,-1627000,6352000,1302000,243000,-169000,15301000,-15734000,-15734000,-433000,-433000,-433000,208000,-225000,-225000,-225000,-225000,-225000,664000,381485000,-390636000,-8712000,-901000,1587000,-3517000,-6980000,-1078000,-5020000,495000,-7917000,-23609000,-23609000,-23609000,231000,121206000,-391514000,-0.02799,-0.01454,1740.06222,-0.02924,-0.02924,2.01066,-50.88563,0.14011,-4.79111
"34","2018_Q3",15.6804761904762,"Up",14492000,8751000,10365000,-1614000,5741000,1226000,220000,11000,14503000,-13213000,-13213000,1290000,1290000,1290000,-2067000,-777000,-777000,-777000,-777000,-777000,918000,363553000,-330548000,33146000,-688000,0,21065000,-2263000,-1064000,-10017000,-19228000,-32927000,-2044000,-2044000,-2044000,2208000,111189000,-326961000,0.08901,-0.05362,420.79923,-0.1027,-0.1027,1.91541,-43.21451,0.14063,-1.36937
"35","2018_Q4",14.8433333333333,"Down",14334000,9124000,10692000,-1568000,5210000,1394000,238000,505000,14839000,-12439000,-12439000,2400000,2400000,2400000,-667000,1733000,1733000,1733000,1733000,1733000,647000,226158000,-220353000,8185000,-1124000,836000,-8592000,-17104000,-1042000,-13000,14711000,12320000,3401000,3401000,3401000,3047000,111176000,-217763000,0.16743,0.1209,-125.65666,0.23234,0.21796,1.92171,-29.19466,0.1397,0.60127
"36","2019_Q1",16.0096721311475,"Up",13899000,9307000,10910000,-1603000,4592000,1313000,243000,189000,14088000,-11818000,-11818000,2270000,2270000,2270000,-870000,1400000,1400000,1400000,1400000,1400000,901000,236175000,-243109000,-4633000,-196000,321000,-9179000,-958000,-1044000,14987000,-14901000,-1682000.00000001,-7273000,-7273000,-7273000,3171000,126163000,-239264000,0.16332,0.10073,-170.90286,0.18794,0.18444,1.86582,-32.11906,0.14015,0.74571
"37","2019_Q2",17.7320634920635,"Up",13906000,9357000,1.1e+07,-1643000,4549000,1227000,190000,237000,14143000,-11704000,-11704000,2439000,2439000,2439000,-616000,1823000,1823000,1823000,1823000,1823000,928000,213582000,-192716000,23617000,-307000,595000,25927000,34362000,-1040000,-15014000,-5486000,-22352000,35627000,35627000,35627000,3367000,111149000,-189040000,0.17539,0.13109,-103.6972,0.24532,0.24123,1.87135,-25.43938,0.13995,0.57049
"38","2019_Q3",18.23734375,"Up",13426000,9831000,11440000,-1609000,3595000,1178000,160000,217000,13643000,-10875000,-10875000,2768000,2768000,2768000,-810000,1958000,1958000,1958000,1958000,1958000,736000,168810000,-149967000,21537000,-41000.0000000001,520000,1627000,-3053000,-1051000,-14000,-29228000,-30053000,-11569000,-11569000,-11569000,3504000,111135000,-145694000,0.20617,0.14584,-74.4096,0.26089,0.2576,1.78894,-19.41292,0.14004,0.53677
"39","2019_Q4",18.77484375,"Up",12664000,9612000,11133000,-1521000,3052000,1106000,225000,-4000,12660000,-1.3e+07,-1.3e+07,-340000,-340000,-340000,189000,-151000,-151000,-151000,-151000,-151000,381000,137454000,-110644000,27040000,197000,6e+05,-8324000,-25564000,-1052000,-10014000,4e+06,-7377000,-5901000,-5901000,-5901000,41000,101121000,-110595000,-0.02685,-0.01192,732.41722,-0.02011,-0.02011,1.68696,-14.73225,0.14014,-6.96689
"40","2020_Q1",17.5522580645161,"Down",10685000,9370000,10805000,-1435000,1315000,1036000,254000,25000,10710000,-9657000,-9657000,1053000,1053000,1053000,-266000,787000,787000,787000,787000,787000,1030000,44208000,-11128000,34897000,-298000,-4.65661287307739e-10,3249000,11546000,-1051000,-14000,-35613000,-37269000,9174000,9174000,9174000,2083000,101107000,-9077000,0.09855,0.07365,-11.53367,0.10498,0.10194,1.42529,-1.2108,0.1402,1.33545
"41","2020_Q2",11.7209523809524,"Down",10652000,9582000,11078000,-1496000,1070000,970000,1e+05,181000,10833000,-7238000,-7238000,3595000,3595000,3595000,-1033000,2562000,2562000,2562000,2562000,2562000,790000,1232000,-4793000,-209000,-10000,9308000,-44368000,-35070000,-1047000,29985000,-9535000,19162000,-16117000,-16117000,-16117000,4385000,131092000,615000,0.3375,0.24052,0.24005,0.34242,0.33499,1.42368,0.0822,0.13994,0.40867
"42","2020_Q3",11.10953125,"Down",10983000,9639000,11221000,-1582000,1344000,1189000,155000,22000.0000000001,11005000,-7554000,-7554000,3451000,3451000,3451000,-1053000,2398000,2398000,2398000,2398000,2398000,566000,477000,-1155000,2286000,-138000,8089000,-17405000,-9454000,-1048000,-7000,1914000,886000,-6282000,-6282000,-6282000,4017000,131085000,3777000,0.31421,0.21834,1.57505999999998,0.3205,0.3133,1.46792,0.50481,0.14007,0.43703
"43","2020_Q4",12.88953125,"Up",9991000,8890000,10430000,-1540000,1101000,914000,187000,-874000,9117000,-7505000,-7505000,1612000,1612000,1612000,-467000,1145000,1145000,1145000,1145000,1145000,991000,-111000,-867000,1829000,-37000,7896000,26097000,33956000,-1047000,-15000,2181000,232000,36017000,36017000,36017000,2603000,131070000,2166000,0.16135,0.1146,1.8917,0.15328,0.15234,1.33748,0.28996,0.14016,0.91441
"44","2021_Q1",15.3318032786885,"Up",9295000,8290000,9727000,-1437000,1005000,810000,195000,-448000,8847000,-6603000,-6603000,2244000,2244000,2244000,-660000,1584000,1584000,1584000,1584000,1584000,1044000,-92000,1064000,4048000,-44000,-49092000,10797000,-38339000,-1041000,9977000,57138000,66075000,31784000,31784000,31784000,3288000,141047000,4968000,0.24142,0.17041,3.13636,0.21301,0.21157,1.24995,0.66807,0.13999,0.6572
"45","2021_Q2",15.7563492063492,"Up",9325000,8166000,9519000,-1353000,1159000,1079000,80000,-220000,9105000,-6985000,-6985000,2120000,2120000,2120000,-635000,1485000,1485000,1485000,1485000,1485000,1266000,301000,-224000,3048000,-69000,-75303000,17157000,-58215000,-1041000,-5016000,11717000,5600000,-49567000,-49567000,-49567000,3386000,136031000,3728000,0.22735,0.15925,2.51044,0.1997,0.19914,1.25403,0.50134,0.13999,0.70101
"46","2021_Q3",16.16265625,"Up",8612000,7638000,8909000,-1271000,974000,817000,157000,-39000,8573000,-6916000,-6916000,1657000,1657000,1657000,-481000,1176000,1176000,1176000,1176000,1176000,1530000,-155000,1095000,3685000,-138000,-9531000,29307000,19638000,-1042000,-20016000,5281999.99999999,-15789000,7534000,7534000,7534000,3187000,116015000,4625000,0.19241,0.13655,3.93282,0.15802,0.15695,1.15722,0.62147,0.14002,0.88605
"47","2021_Q4",15.95265625,"Down",8656000,7457000,8430000,-973000,1199000,1039000,160000,2e+05,8856000,-6909000,-6909000,1947000,1947000,1947000,-386000,1561000,1561000,1561000,1561000,1561000,1741000,223000,-1033000,2292000,-18000,-36562000,14295000,-22285000,-1041000,-5015000,23788000,17621000,-2372000,-2372000,-2372000,3688000,1.11e+08,3023000,0.22493,0.18034,1.93658,0.20917,0.20504,1.15986,0.40506,0.13949,0.66688
"48","2022_Q1",15.9609677419355,"Up",5489000,7378000,8343000,-965000,-1889000,1087000,-2976000,767000,6256000,-1793000,-1793000,4463000,4463000,4463000,-1124000,3339000,3339000,3339000,3339000,3339000,1729000,707000,-3168000,2548000,0,15661000,-10671000,4990000,-1049000,-10017000,4217000,-8897000,-1359000,-1359000,-1359000,6192000,100983000,4148000,0.81308,0.60831,1.24229,0.44412,0.43988,0.73009,0.55172,0.13953,0.31417
"49","2022_Q2",14.5062903225806,"Down",8957000,7888000,8746000,-858000,1069000,903000,166000,339000,9296000,-5668000,-5668000,3628000,3628000,3628000,-961000,2667000,2667000,2667000,2667000,2667000,1364000,462000,-1107000,3047000,-8000,17238000,-8177000,9053000,-1056000,-10983000,18769000,5879000,17979000,17979000,17979000,4992000,9e+07,4838000,0.40505,0.29776,1.81402,0.35728,0.35379,1.1999,0.64811,0.14146,0.39595
"50","2022_Q3",14.194375,"Down",9031000,7663000,8511000,-848000,1368000,1168000,2e+05,1067000,10098000,-6899000,-6899000,3199000,3199000,3199000,-935000,2264000,2264000,2264000,2264000,2264000,1454000,441000,-454000,2638000,-15000,501000,7474000,7960000,-1039000,-1e+07,-394000,-13167000,-2569000,-2569000,-2569000,4653000,8e+07,5119000,0.35422,0.25069,2.26104,0.3045,0.30256,1.21462,0.68848,0.13974,0.45892
