"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q2",31.16390625,"Up",270835000,-109123000,161712000,-93441000,-86938000,-456000,-6047000,68271000,3022000,241000,4590000,-1809000,71293000,71293000,-19040000,52253000,52253000,-47900000,4353000,471154000,172273000,109835000,116142000,116142000,31889000,43162000,31483000,4578000,363466000,153509000,1111349000,181119000,531263000,332170000,66797000,1328810000,1692276000,101960000,36315000,65645000,4075000,140671000,43197000,97474000,246706000,163902000,275588000,35018000,240570000,439490000,686196000,378000,1006080000,1006080000,1692276000,52253000,17912000,16801000,-64247000,22719000,-17141000,-17141000,-17141000,-186629000,-22432000,149670000,-212000.000000002,127223000,-36687000,-36687000,-36687000,86183000,167977000,23835000,0.59709,0.25208,1.73963,0.46831,0.27841,0.05059,1.47328,0.68205,0.09926,12.48586,3.23684,7.17729,26.66172,0.63164,0.59446,0.34049,0.01644,0.04761,-0.0498500000000002,-0.0629299999999997
"12","2016_Q3",30.6284375,"Down",291669000,-112597000,179072000,-108979000,-99284000,-424000,-9271000,70093000,3576000,-937000,4785000,-272000,73669000,73669000,-12674000,60995000,60995000,-49817000,11178000,-54382999.9999999,199615000,157410000,125052000,125052000,30244000,31847000,28083000,3764000,386758000,163044000,1186215000,175952000,537905000,408512000,63846000,1401222000,1787980000,108145000,25829000,82316000,4046000,150378000,48872000,101506000,262569000,113104000,335130000,38428000,296702000,448234000,710803000,436000,1077177000,1077177000,1787980000,60995000,21470000,15899000,13644000,112008000,-21741000,-21741000,-21741000,9965000,-23029000,-51006000,-1705000,-74398000,47575000,47575000,47575000,91563000,117150000,96140000,0.61396,0.24032,-0.18645,-0.05049,-0.03042,-1.76783,1.47298,0.65988,0.06552,-1.30807,-0.37174,7.01549,25.90925,2.31245,0.55391,-0.0205,0.06286,-0.42346,-0.90064,-1.17651
"13","2016_Q4",29.1077777777778,"Down",298669000,-112093000,186576000,-111818000,-101898000,-1180000,-8740000,74758000,6342000,-285000,6627000,0,81100000,81100000,-9543000,71557000,71557000,-56018000,15539000,299948000,265554000,238384000,128981000,128981000,29307000,29415000,24970000,4445000,453257000,165736000,1196527000,167212000,537902000,423766000,67647000,1401719000,1854976000,137909000,26365000,111544000,4731000,156450000,52820000,103630000,299090000,64243000,341335000,38791000,302544000,405578000,704668000,453000,1150308000,1150308000,1854976000,71557000,21850000,5089000,37714000,136210000,-15802000,-15802000,-15802000,15533000,-22504000,-50511000,-36000,-70769000,80974000,80974000,80974000,96608000,68974000,128063000,0.62469,0.2503,1.00428,0.26075,0.1617,0.42695,1.51545,0.61259,0.03718,6.7137,2.07118,6.68507,25.74721,2.86642,0.5037,0.20662,0.08206,0.07503,-2.03482,-2.62955
"14","2017_Q1",29.6922580645161,"Up",301421000,-123243000,178178000,-130170000,-120309000,-865000,-8996000,48008000,5994000,-39999.9999999999,5645000,389000,54002000,58820000,-8464000,50356000,50356000,-39812000,10544000,101645000,266576000,248817000,144424000,144424000,29121000,22769000,19646000,3123000,462890000,174080000,1188283000,158217000,537962000,422849000,52455000,1392493000,1855383000,163202000,46003000,117199000,5484000,157377000,54498000,102879000,326063000,13858000,329693000,39965000,289728000,343551000,669614000,460000,1185769000,1185769000,1855383000,50356000,22924000,11197000,16056000,100533000,-22306000,-22306000,-22306000,1495000.00000001,-24742000,-50296000,-18605000,-91595000,10433000,10433000,10433000,70932000,19342000,73146000,0.59113,0.15927,0.33722,0.08572,0.05478,0.71962,1.41963,0.56471,0.01042,2.23469,0.70314,6.62682,26.06945,1.60813,0.54396,0.08235,0.04766,0.24342,-3.48551,-5.14985
"15","2017_Q2",32.3284126984127,"Up",313272000,-138503000,174769000,-102253000,-92238000,-806000,-9209000,72516000,10433000,-152000,9579000,1006000,82949000,81431000,-23336000,58095000,58095000,-49601000,8494000,70302000,156012000,156012000,144464000,144464000,34685000,48869000,45007000,3862000,384030000,175221000,1234707000,175588000,577812000,422410000,58897000,1505634000,1889664000,136348000,43933000,92415000,10243000,154531000,49813000,104718000,301122000,8881000,359988000,40142000,319846000,368869000,669991000,481000,1219673000,1219673000,1889664000,58095000,23227000,8704000,-48199000,41827000,-16966000,-16966000,-16966000,-96803000,-22493000,-218000,-17435000,-37829000,-92805000,-92805000,-92805000,95743000,19124000,53914000,0.55788,0.23148,0.22441,0.05764,0.0372,0.76689,1.27533,0.54932,0.01012,1.48901,0.49175,6.63515,25.83287,1.14191,0.47641,0.05804,0.03372,0.31995,-1.42974,-1.88769
"16","2017_Q3",32.0742857142857,"Down",358500000,-176014000,182486000,-113567000,-101649000,-767000,-11151000,68919000,4139000,-857000,5127000,-131000,73058000,283613000,-37429000,246184000,246184000,-181173000,65011000,400275000,218892000,218892000,181083000,181083000,65690000,48285000,45674000,2611000,513950000,180408000,1888385000,411343000,862939000,462658000,52650000,2068793000,2582743000,172289000,70163000,102126000,338505000,280901000,52156000,228745000,791695000,6999000,478289000,38306000,355642000,485288000,1276983000,502000,1305760000,1305760000,2582743000,246184000,25349000,-171687000,-3309000,96537000,-17359000,-17359000,-17359000,-239555000,-22137000,326380000,-100193000,205898000,62880000,62880000,62880000,94268000,345504000,111029000,0.50903,0.19224,1.11653,0.30655,0.15498,0.27738,0.64918,0.97796,0.13377,8.09519,2.83272,7.25033,26.4078,2.24546,0.4477,0.19836,0.05214,0.0553,1.34311,1.83711
"17","2017_Q4",29.1303174603175,"Down",379803000,-177248000,202555000,-123503000,-108668000,-755000,-14080000,79052000,326000,-2017000,83000,2260000,79378000,78653000,-7315000,71338000,71338000,-51433000,19905000,-80601000,236218000,236218000,162178000,162178000,48770000,47090000,41702000,5388000,494256000,182093000,1889912000,393075000,865445000,479241000,53273000,2072005000,2566261000,161663000,30974000,130689000,376710000,187534000,49723000,137811000,725907000,6928000,498551000,39875000,378254000,505479000,1231386000,507000,1334875000,1334875000,2566261000,71338000,29182000,3287000,32040000,135847000,-17567000,-17567000,-17567000,-110823000,-22733000,38002000,-23380000,-7698000,17326000,17326000,17326000,108234000,383638000,130022000,0.53332,0.20814,-0.21222,-0.06038,-0.03141,-1.61316,0.68088,0.92247,0.14949,-1.59628,-0.57634,7.52189,26.43683,2.57505,0.45022,-0.0261,0.05865,-0.28204,1.36205,1.86485
"18","2018_Q1",30.5031147540984,"Up",14663000,183052000,197715000,-105692000,-93231000,-779000,-11682000,92023000,-4051000,-1486000,-44000,-2521000,87972000,87831000,-13844000,73987000,73860000,-53845000,20015000,-313727000,156735000,156735000,159745000,159745000,50426000,41906000,35164000,6742000,408812000,187365000,1911659000,377962000,906545000,482484000,51789000,2099024000,2507836000,152178000,42815000,109363000,227993000,191416000,44443000,146973000,571587000,6279000,453640000,41518000,363895000,459919000,1031506000,519000,1476330000,1476330000,2507836000,73987000,26242000,26538000,-19676000,118036000,-19480000,-19480000,-19480000,-17872000,-23071000,-149650000,-13999000,-179647000,-79483000,-79483000,-79483000,118265000,234272000,92953000,13.48394,6.27586,-21.39583,-0.2125,-0.1251,-0.29629,0.71522,0.6987,0.09342,-6.09617,-6.22795,0.284919999999999,28.68721,1.80621,0.4483,-0.1343,0.04295,-0.0735399999999999,0.65562,0.84258
"19","2018_Q2",31.3109375,"Up",390564000,-191376000,199188000,-128708000,-114321000,-489000,-13898000,70480000,4220000,-1495000,4252000,1463000,74700000,73380000,-12764000,60616000,60616000,-44610000,16006000,336430000,132120000,132120000,173869000,173869000,57604000,30274000,29787000,486999.999999999,393867000,186179000,1924296000,364064000,906545000,506166000,50390000,2110475000,2504342000,141599000,47449000,94150000,173023000,175512000,41102000,134410000,490134000,6275000,496961000,40906000,404692000,503236000,993370000,536000,1510972000,1510972000,2504342000,60616000,30405000,20583000,-36571000,75033000,-16646000,-16646000,-16646000,-16646000,-24951000,-54974000,-5729000,-83002000,-24615000,-24615000,-24615000,100885000,179298000,60432000,0.51,0.18046,0.8614,0.22266,0.13434,0.17963,0.80359,0.65744,0.07159,6.35865,2.40228,7.38181,28.55794,1.14219,0.47158,0.16522,0.02763,0.07416,0.46764,0.66938
"20","2018_Q3",38.1453968253968,"Up",411398000,-200527000,210871000,-122761000,-108620000,-324000,-13817000,88110000,-13607000,-1508000,1257000,-13356000,74503000,251277000,-231508000,19769000,19769000,-56485000,-36716000,281200000,163014000,163014000,171354000,171354000,62067000,24402000,24021000,381000,420837000,190815000,1708511000,349847000,906545000,305549000,48182000,1899326000,2320163000,137441000,49626000,87815000,201139000,167777000,45699000,122078000,506357000,6544000,358195000,42779000,284474000,364739000,871096000,573000,1449067000,1449067000,2320163000,19769000,31127000,74014000,6572000,131482000,-21976000,-21976000,-21976000,-21976000,-20752000,28116000,-16676000,-78612000,30894000,30894000,30894000,119237000,207683000,335341000,0.51257,0.21417,0.683520000000005,0.19406,0.1212,1.19254,0.83111,0.60114,0.08951,5.09337,2.01959,7.45165,26.24693,6.07403,0.37588,0.14986,0.16643,0.0738,0.37462,0.50697
"21","2018_Q4",39.0657142857143,"Up",425338000,-203547000,221791000,-123181000,-109007000,-292000,-13882000,98610000,-8768000,-1236000,-4939000,-2593000,89842000,89837000,-13288000,76549000,76549000,-53047000,23502000,-103537000,149410000,149410000,174092000,174092000,57230000,24865000,24374000,490999.999999998,405597000,198853000,1690187000,335948000,906545000,306738000,47508000,1889040000,2294637000,165659000,43708000,121951000,200255000,158001000,44534000,113467000,523915000,6962000,366293000,43267000,289239000,373255000,897170000,574000,1397467000,1397467000,2294637000,76549000,32466000,23163000,31041000,163219000,-26638000,-26638000,-26638000,-26638000,-20395000,-1139000,-173000,-150185000,-13604000,-13604000,-13604000,131076000,207217000,148767000,0.52145,0.23184,-0.24342,-0.07409,-0.04512,-1.43685,0.77417,0.642,0.0903,-1.93393,-0.76422,7.94475,26.10283,2.77877,0.38095,-0.04218,0.07548,-0.19698,0.44102,0.58622
"22","2019_Q1",34.93,"Down",-42642999.9999999,253453000,210810000,-104825000,-93303000,-318000,-11204000,105985000,17365000,-1061000,604000.000000001,17822000,123350000,103039000,-1966000,101073000,100636000,-70127000,30509000,-323211000,152386000,152386000,186768000,186768000,52635000,36829000,22437000,99806665.4556343,428618000,205349000,1678249000,300386000,843170000,305624000,48469000,1883598000,2312216000,171417000,47954000,123463000,100250000,177215000,39785000,120121000,448882000,6962000,363026000,44577000,300560000,369988000,818870000,575000,1493346000,1493346000,2312216000,101073000,29067000,-3363000,8747000,137972000,-27165000,-27165000,-27165000,-27420000,-13157000,-100005000,10589000,-107576000,2975999.99999999,2975999.99999999,2976000.00000001,135052000,107212000,118600000,-4.9436,-2.4854,7.57946,-0.21643,-0.13978,-0.36694,0.95486,0.54835,0.04637,-6.16615,-2.40131,-0.813529999999999,28.48973,2.26262,0.25101,-0.1579,0.0604,-0.04071,-0.33449,-0.42623
"23","2019_Q2",34.1315873015873,"Down",292602000,-83139000,209463000,-114834000,-101517000,-340000,-12977000,94629000,61000,-688000,2690000,-1941000,94690000,94690000,-11318000,83372000,81973000,-55113000,26860000,-681333000,142422000,142422000,182254000,182254000,68236000,233290000,29675000,203615000,626202000,211248000,1679102000,308477000,906545000,301267000,66070000,1890350000,2516552000,173964000,53452000,120512000,101771000,194097000,34259000,159838000,469832000,5447000,358466000,43343000,293173000,363913000,833745000,580000,1682807000,1682807000,2516552000,83372000,33230000,-21097000,-33905000,64327000,-25062000,-25062000,-25062000,-29062000,-15465000,-42239825.6777938,-24923000,-45229000,-9964000,-9964000,-9964000,127859000,107218000,80210000,0.71586,0.32341,-2.32853,-0.40488,-0.27074,-0.11773,1.33282,0.49545,0.04261,-12.80196,-12.80196,5.49787,31.61923,1.50711,0.29058,-0.30992,0.03733,-0.0227,-0.27533,-0.37202
"24","2019_Q3",35.20703125,"Up",307589000,-87950999.9999999,219638000,-118875000,-105345000,-292000,-13238000,100763000,216999.999999998,-859000,1444000,-368000,100980000,108547000,-2736000,105811000,104811000,-62631000,42180000,693889000,110584000,110584000,197366000,197366000,70032000,236233000,27259000,208974000,614215000,211859000,1818777000,318199000,943281000,389632000,69576000,2030636000,2644851000,207406000,66855000,140551000,102302000,204980000,33874000,171106000,514688000,5107000,421805000,39752000,363203000,426912000,941600000,638000,1703251000,1703251000,2644851000,105811000,34717000,-10980000,19047000,147982000,-22047000,-22047000,-22047000,-77653000,-14993000,73541859.9107677,-1338000,-102167000,-31838000,-31838000,-31838000,135480000,107409000,135216000,0.71406,0.32759,2.2559,0.40739,0.26235,0.19487,1.19337,0.55283,0.04061,11.58896,11.20133,5.13719,28.44678,2.2583,0.25041,0.31753,0.06057,0.02161,-0.02344,-0.03151
"25","2019_Q4",33.266875,"Down",301213000,-86041000,215172000,-127204000,-113336000,-296000,-13572000,87968000,3143000,-1081000,553000,3671000,91111000,87002000,-11737000,75265000,73802000,-43388000,30414000,265808000,137512000,137512000,206595000,206595000,64775000,226075000,28593000,197482000,634957000,212306000,1836910000,303966000,943970000,413511000,76821000,2049216000,2684173000,231521000,68708000,162813000,152046000,204415000,34154000,170261000,587982000,6188000,451719000,43696000,387544000,457907000,1045889000,642000,1638284000,1638284000,2684173000,75265000,35369000,27097000,8708000,155827000,-22797000,-22797000,-22797000,-25670000,-14288000,50000000.0000001,19222000,-103229000,26928000,26928000,26928000,123337000,158234000,120985000,0.71435,0.29205,0.88246,0.16225,0.09903,0.45516,1.07989,0.63841,0.05895,4.29124,0.94399,4.86282,26.44868,1.9532,0.23067,0.12458,0.05381,0.05375,0.16801,0.23556
"26","2020_Q1",30.8308064516129,"Down",316234000,-98499000,217735000,-132581000,-118787000,-296000,-13498000,85154000,-3779000,157000,971000,-4907000,81375000,77900000,-7671000,70229000,23493000,-13827000,9666000,-287308000,141055000,141055000,168115000,168115000,51032000,253842000,23765000,205509000,614044000,205108000,1750415000,270722000,880709000,422014000,77334000,1955523000,2569567000,207815000,54540000,153275000,27608000,222599000,35623000,175179000,458022000,6003000,444522000,45466000,394290000,450525000,908547000,644000,1661020000,1661020000,2569567000,70229000,36848000,49661000,-1434000,137203000,-748000,-23479000,-23479000,2915000,-13079000,-125676000,3473000,-136575000,3542999.99999999,3542999.99999999,3542999.99999999,122002000,33611000,127491000,0.68852,0.26928,-0.908529999999999,-0.17297,-0.11181,-0.44374,1.34064,0.54698,0.01308,-4.65548,-4.76709,5.12419,26.9148,2.06584,0.21193,-0.1282,0.0596,-0.04552,-0.88067,-1.26176
