"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",80.2434920634921,"Up",634159000,-367761000,266398000,-167854000,-153880000,-13974000,98544000,-11170000,-12683000,1513000,87374000,-27000,87347000,-22903000,64444000,64444000,15000,64459000,64459000,295628000,295628000,449371000,449371000,224795000,57441000,57441000,1027235000,962515000,3130526000,3091095000,39431000,4093041000,5120276000,367470000,129208000,10856000,227406000,367470000,1445297000,266704000,178726000,87978000,1712001000,2079471000,2081494000,1028543000,-80059000,3029993000,10812000,3040805000,5120276000,64444000,45548000,14669000,12063000,136724000,-36862000,2066000,-38928000,-9797000,-46659000,-26422000,-59330000,-11339000,-12201000,0,-97091000,-7026000,-7026000,7814000,788000,144092000,1445297000,142196000,0.42008,0.15539,0.10164,0.0212,0.01259,2.20599,2.79543,0.68386,0.28227,0.75657,0.75067,7.44327,35.56354,1.66899,0.31012,0.01912,0.02992,0.4099,7.97871,11.66656
"12","2017_Q4",84.775873015873,"Up",661900000,-383683000,278217000,-174858000,-159663000,-15195000,103359000,-11345000,-12461000,1116000,92014000,-78000,91936000,3404000,95340000,95340000,-559000,94781000,94781000,283844000,283844000,472060000,472060000,219495000,57528000,57528000,1032927000,983841000,3140236000,3102361000,37875000,4124077000,5157004000,366616000,122107000,6298000,238211000,366616000,1420049000,252551000,156112000,96439000,1672600000,2039216000,2063870000,1097726000,-54983000,3106628000,11160000,3117788000,5157004000,95340000,44656000,-2344000,-27174000,110478000,-38072000,18999.9999999995,-38091000,-9220000,-47292000,-26353000,-28030000,-21900000,-23199000,-188000,-76471000,-13285000,-13285000,1501000,-11784000,148015000,1420049000,79365000,0.42033,0.15616,0.1432,0.0304,0.01838,0.83735,2.81746,0.65406,0.27536,1.11502,1.10572,7.78669,36.54667,0.93366,0.31002,0.02529,0.01657,0.27804,7.67628,10.9928
"13","2018_Q1",86.6924590163934,"Up",715973000,-423608000,292365000,-179708000,-162099000,-17609000,112657000,-11265000,-13019000,1754000,101392000,53000,101445000,-27822000,73623000,73623000,-25000,73598000,73598000,201534000,201534000,528066000,528066000,205731000,54326000,54326000,989657000,1010524000,3200153000,726980000,39389000,4210677000,5200334000,398462000,135866000,379000,262217000,398462000,1316001000,268571000,159971000,108600000,1584572000,1983034000,2048037000,1146223000,11685000,3205960000,11340000,3217300000,5200334000,73623000,44477000,32333000,-20656000,129777000,-51946000,0,-51946000,33000,-54996000,-26296000,-112206000,-18481000,-21634000,-3385000,-160368000,-85587000,-85587000,3277000,-82310000,157134000,1316001000,112354000,0.40835,0.15735,0.10279,0.02288,0.01415,1.52659,2.48369,0.61637,0.25306,0.86771,0.86035,8.44119,37.79749,1.32463,0.31002,0.0208,0.0234,0.35729,7.09246,9.89257
"14","2018_Q2",96.18859375,"Up",638758000,-369708000,269050000,-174626000,-158406000,-16220000,94424000,-11373000,-11740000,367000,83051000,-12649315.4093019,83051000,-12773000,70278000,70278000,-287000,69991000,69991000,218524000,218524000,481482000,481482000,233876000,55007000,55007000,988889000,984235000,3078690000,3032408000,46282000,4062925000,5051814000,373842000,130738000,7415000,235689000,373842000,1320064000,258720000,154849000,103871000,1578784000,1952626000,2027004000,1181517000,-121096000,3087440000,11748000,3099188000,5051814000,70278000,46854000,-15743000,-610000,100779000,-24931000,2795000,-27726000,-196000,-34866000,-26265000,18443000,-30409000,-33844000,-983000,-39214000,26699000,26699000,-9709000,16990000,141278000,1320064000,128510000,0.42121,0.14782,0.10957,0.02258,0.01385,1.83609,2.64521,0.63004,0.2613,0.82649,0.81852,7.54275,36.45776,1.51751,0.31015,0.02058,0.02747,0.37526,7.79697,11.66589
"15","2018_Q3",108.476666666667,"Up",678961000,-394297000,284664000,-178085000,-162312000,-15773000,106579000,-11320000,-11394000,74000,95259000,-27599274.2148168,95259000,-17764000,77495000,77495000,-38000,77457000,77457000,209921000,209921000,490952000,490952000,230828000,47819000,47819000,979520000,986213000,3055557000,3008866000,46691000,4041770000,5021290000,372592000,125549000,0,247043000,372592000,1267723000,255998000,154098000,101900000,1523721000,1896313000,2012566000,1232062000,-126780000,3117863000,7114000,3124977000,5021290000,77495000,46117000,14872000,-12561000,125923000,-32071000,2752000,-34823000,0,-33290000,-28740000,-51350000,-20557000,-22058000,0,-100647000,-8014000,-8014000,-589000,-8603000,152696000,1267723000,125828000,0.41926,0.15697,0.11408,0.02479,0.01543,1.62449,2.62893,0.60682,0.25247,0.91625,0.90617,8.03152,36.88146,1.48844,0.33997,0.02284,0.02707,0.37104,6.9275,9.92505
"16","2018_Q4",107.421746031746,"Down",696238000,-409241000,286997000,-191266000,-176099000,-15167000,95731000,-11824000,-10880000,-944000,83907000,-26147000,57760000,-9334000,48426000,48426000,-568000,47858000,47858000,224906000,224906000,509859000,509859000,227626000,58132000,58132000,1020523000,989044000,2996823000,2945214000,51609000,3985867000,5006390000,398019000,136723000,0,261296000,398019000,1246308000,249756000,153158000,96598000,1496064000,1894083000,2018045000,1253501000,-167025000,3104536000,7771000,3112307000,5006390000,48426000,82687000,10963000,-8199000,133877000,-50671000,16000,-50687000,-13313000,-71406000,-28745000,-16677000,2322000,-352000,-847000,-43947000,18524000,18524000,-3539000,14985000,178418000,1246308000,128882000,0.41221,0.1375,0.06874,0.01538,0.00956,2.69301,2.56401,0.60858,0.24894,0.5661,0.56013,8.2356,36.72251,1.52451,0.34002,0.01662,0.02797,0.60063,5.72477,10.6695
"17","2019_Q1",113.577049180328,"Up",768213000,-433938000,334275000,-188998000,-173120000,-15878000,145277000,-7478000,-11001000,3523000,137799000,-4840000,132959000,-24412000,108547000,108547000,-132000,108415000,108415000,220633000,220633000,564830000,564830000,208243000,60029000,60029000,1053735000,1031582000,2987754000,604614000,60212000,4019336000,5073071000,465196000,152913000,15460000,296823000,465196000,1183227000,238850000,151038000,87812000,1422077000,1887273000,1998564000,1339024000,-159778000,3177810000,7988000,3185798000,5073071000,108547000,50263000,-11592000,31708000,178926000,-76475000,4000,-76479000,2674000,-73662000,-28753000,-62503000,-19488000,-25240000,-240000,-110984000,-5720000,-5720000,1447000,-4273000,195540000,1183227000,175185000,0.43513,0.18911,0.14113,0.03403,0.02137,1.61587,2.26514,0.5924,0.23324,1.28232,1.26883,9.08633,37.58676,2.07207,0.34009,0.02977,0.03802,0.26521,4.92275,6.62592
"18","2019_Q2",129.191587301587,"Up",696803000,-390960000,305843000,-194366000,-178781000,-15585000,111477000,-10678000,-10445000,-233000.000000002,100799000,-1389000,99410000,-14633000,84777000,84777000,-187000,84590000,84590000,238067000,238067000,509655000,509655000,233587000,62973000,62973000,1044282000,1054217000,3131224000,602179000,181716000,4185441000,5229723000,412635000,135487000,25041000,252107000,432774000,1312491000,239456000,154385000,85071000,1551947000,1984721000,1996354000,1397390000,-156844000,3236900000,8102000,3245002000,5229723000,84777000,47102000,8008000,-30550000,109337000,-49776000,18000,-49794000,-34531000,-84307000,-28823000,27861000,-4987000,-14886000,-1658000,-7607000,17423000,17423000,11000,17434000,158579000,1332630000,92886000,0.43892,0.15998,0.1214,0.02607,0.01617,1.09807,2.413,0.61162,0.25482,0.99943,0.98859,8.23274,38.24405,1.09745,0.34054,0.02354,0.01928,0.34074,6.90232,9.81873
"19","2019_Q3",144.8703125,"Up",736840000,-418173000,318667000,-192208000,-175959000,-16249000,126459000,-9426000,-10444000,1018000,117033000,274000,117307000,-22165000,95142000,95142000,-373000,94769000,94769000,225536000,225536000,513353000,513353000,236837000,56228000,56228000,1031954000,1066223000,3087540000,576379000,192099000,4153763000,5185717000,409562000,133802000,6186000,269574000,428023000,1285105000,234944000,152748000,82196000,1520049000,1948072000,1981660000,1472725000,-225717000,3228668000,8977000,3237645000,5185717000,95142000,49634000,7962000,-2075000,150663000,-48186000,188000,-48374000,-52965000,-101151000,-31397000,-14621000,-9904000,-22980000,0,-55922000,-6410000,-6410000,-6121000,-12531000,176093000,1303566000,147997000,0.43248,0.17162,0.12862,0.02927,0.01828,1.56166,2.41098,0.60169,0.25138,1.11764,1.1059,8.68977,38.07661,1.74537,0.37027,0.02642,0.03099,0.3313,6.12194,8.52474
"20","2019_Q4",142.5215625,"Down",774261000,-442908000,331353000,-189414000,-172927000,-16487000,141939000,-8435000,-9813000,1378000,133504000,448000,133952000,-29285000,104667000,104667000,263000,104930000,104930000,199230000,199230000,544405000,544405000,252046000,57190000,57190000,1052871000,1102604000,3180106000,594167000,182436000,4282710000,5335581000,431617000,139808000,12916000,278893000,450806000,1241028000,247681000,156333000,91348000,1488709000,1939515000,1987107000,1544495000,-148922000,3382680000,13386000,3396066000,5335581000,104667000,49558000,1260000,-24159000,131326000,-55300000,181000,-55481000,-19231000,-74531000,-31375000,-61707000,-2473000,-2456000,5210000,-90345000,-33550000,-33550000,7244000,-26306000,191497000,1260217000,141323000,0.42796,0.18332,0.13552,0.0309,0.01967,1.34683,2.33553,0.57111,0.23619,1.23756,1.22539,9.13173,39.89574,1.66678,0.37004,0.02779,0.02882,0.29901,5.54049,7.47495
"21","2020_Q1",145.765,"Up",822991000,-458858000,364133000,-206289000,-189064000,-17225000,157844000,-9753000,-9577000,-176000,148091000,-6000,148085000,-24812000,123273000,123273000,97000,123370000,123370000,319581000,319581000,586481000,586481000,263544000,54430000,54430000,1224036000,1111855000,3104976000,565473000,183418000,4216831000,5440867000,483798000,149341000,14013000,320444000,503607000,1264635000,254415000,164069000,90346000,1519050000,2022657000,1982164000,1658661000,-235463000,3405362000,12848000,3418210000,5440867000,123273000,50941000,18045000,6974000,199233000,-57098000,3769000,-60867000,-2648000,-59746000,-31439000,21967000,-33877000,-10919000,34077000,-9272000,130215000,130215000,-9864000,120351000,208785000,1284444000,183473000,0.44245,0.19179,0.1499,0.03609,0.02267,1.48718,2.43054,0.59173,0.23607,1.45326,1.43999,9.69456,40.11405,2.16125,0.37034,0.03123,0.03701,0.25484,4.62132,6.11276
"22","2020_Q2",148.741746031746,"Up",668932000,-381548000,287384000,-171401000,-155170000,-16231000,115983000,-7203000,-9492000,2289000,108780000,-166000,108614000,-19083000,89531000,89531000,66000,89597000,89597000,255627000,255627000,503172000,503172000,276970000,61359000,61359000,1097128000,1148052000,3118747000,551526000,195432000,4266799000,5363927000,423974000,133532000,28205000,262237000,479549000,1147307000,247358000,160972000,86386000,1394665000,1874214000,1983047000,1699971000,-208354000,3474664000,15049000,3489713000,5363927000,89531000,48954000,11237000,-15600000,134122000,-66724000,137000,-66861000,-514638492.174547,-66724000,-31471000,-95837000,-14296000,-14296000,7604000,-1.34e+08,-66602000,-66602000,2648000,-63954000,164937000,1202882000,101696000,0.42962,0.17339,0.13394,0.02567,0.0167,1.13504,2.28783,0.53707,0.22425,1.05459,1.04577,7.87359,40.89813,1.197,0.37043,0.02451,0.02059,0.35125,5.74313,8.16719
"23","2020_Q3",156.59796875,"Up",756132000,-426095000,330037000,-188851000,-172708000,-16143000,141186000,-7477000,-8665000,1188000,133709000,76000,133785000,-27777000,106008000,106008000,-150000,105858000,105858000,312028000,312028000,503724000,503724000,278593000,55965000,55965000,1150310000,1176066000,3166191000,550022000,198213000,4342257000,5492567000,414447000,124944000,15831000,273672000,435418000,1144891000,249803000,164727000,85076000,1394694000,1830112000,1990880000,1786878000,-130613000,3647145000,15310000,3662455000,5492567000,106008000,54418000,7783000,-6258000,161951000,-43747000,138000,-43885000,-1066058165.89366,-46139000,-34089000,-46325000,-138000,-138000,15233000,-65319000,50493000,50493000,5908000,56401000,195604000,1165862000,173376000,0.43648,0.18672,0.14,0.0289,0.01927,1.63782,2.64185,0.4997,0.21226,1.24289,1.23314,8.87781,42.82144,2.03562,0.40024,0.02756,0.03414,0.32203,4.36512,6.04758
"24","2020_Q4",183.19375,"Up",808924000,-463063000,345861000,-198810000,-182372000,-16438000,147051000,-7600000,-8899000,1299000,139451000,-20000.0000000005,139431000,-24843000,114588000,114588000,-87000,114501000,114501000,252502000,252502000,556117000,556117000,294132000,73324000,73324000,1176075000,1226895000,4177810000,1043904000,207355000,5404705000,6580780000,484503000,134471000,13068000,336964000,505867000,1843416000,353305000,264041000,89264000,2196721000,2702588000,1996843000,1872533000,-2386000.00000001,3866990000,11202000,3878192000,6580780000,114588000,56821000,5426000,28877000,205712000,-53609000,142000,-53751000,-869431000,-923040000,-34136000,680944000,-126000,-126000,-4830000,641852000,-75476000,-75476000,15950000,-59526000,203872000,1864780000,203983000,0.42756,0.18179,0.14155,0.02952,0.0174,1.7815,2.32487,0.69687,0.28337,1.34188,1.3309,9.48006,45.31859,2.39055,0.40005,0.02438,0.03346,0.29813,7.90829,10.96407
"25","2021_Q1",182.544590163934,"Down",873531000,-493713000,379818000,-238584000,-221070000,-17514000,141234000,-8555000,-10124000,1569000,132679000,3024000,135703000,-48960000,86743000,86743000,701000,87444000,87444000,220531000,220531000,609406000,609406000,315067000,66750000,66750000,1211754000,1235400000,4127317000,898406000,202862000,5362717000,6574471000,555146000,156950000,27561000,370635000,577920000,1780213000,324870000,236860000,88010000,2105083000,2683003000,2002825000,1939408000,-61243000,3880990000,10478000,3891468000,6574471000,86743000,59044000,30081000,11987000,187855000,-74613000,152000,-74765000,-39243000,-118256000,-34141000,-54243000,-86000,-86000,-8443000,-96913000,-27314000,-27314000,-4657000,-31971000,200278000,1780213000,186612000,0.43481,0.16168,0.1001,0.02247,0.0133,2.13407,2.09675,0.68946,0.27078,1.0245,1.01633,10.23433,45.46987,2.18636,0.4,0.02028,0.03112,0.39043,7.78759,11.04325
"26","2021_Q2",198.527619047619,"Up",968422000,-542140000,426282000,-411944000,-393752000,-18192000,14338000,-20378000,-21812000,1434000,-6040000,-22937000,-28977000,7075000,-21902000,-21902000,95000.0000000001,-21807000,-21807000,534774000,534774000,743420000,743420000,593067000,136599000,136599000,2007860000,1499448000,8593699000,3048319000,258786000,10093147000,12101007000,734639000,232186000,8516000,493937000,1145025000,3428028000,942939000,856899000,86040000,4370967000,5515992000,4736838000,1874559000,-36817000,6574580000,10435000,6585015000,12101007000,-21902000,83621000,48888000,-13181000,97426000,-56179000,217000,-56396000,-547353000,-603532000,-34148000,904295000,-10670000,-10670000,-40667000,818810000,312704000,312704000,1539000,314243000,97959000,3639936000,21524000,0.44018,0.01481,-0.02252,-0.00331,-0.0018,-0.98702,1.75355,0.83766,0.3008,-0.25594,-0.25387,11.36606,77.16371,0.25262,0.40078,0.00111,0.00193,-1.56592,31.69859,216.5687
