"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",22.2901612903226,"Down",6237847000,-4426526000,1811321000,-1612198000,-1612198000,199123000,-128371000,-128371000,70752000,-8104000,62648000,-777000,61871000,61871000,61871000,61871000,263641000,263641000,917033000,917033000,3096988000,194930000,194930000,4472592000,1901542000,812008000,476413000,335595000,2713550000,7186142000,2614631000,1437728000,1176903000,229041000,2843672000,5923370000,995214000,995214000,6918584000,9762256000,-2576114000,7186142000,61871000,61871000,102790000,12323000,91536000,268520000,-110676000,14249000,-96427000,-7824000,4948000,-2777000,169316000,169316000,169316000,301913000,6152411000,283550000,0.29038,0.03192,0.00992,-0.02402,0.00861,4.58292,1.57282,-3.78953,0.85615,1.38875,1.34823,140.01414,6.36454,0.01353,0.06203,19.50486,29.57353
"12","2013_Q1",32.8466666666667,"Up",6455245000,-4407482000,2047763000,-1682332000,-1682332000,365431000,-127408000,-127408000,238023000,-161718000,76305000,46782000,123087000,123087000,123087000,123087000,129452000,129452000,929476000,929476000,3154742000,195377000,195377000,4409047000,1895650000,774022000,464404000,309618000,2669672000,7078719000,2540959000,1384644000,1156315000,37311000,2578270000,5996220000,963663000,963663000,6959883000,9538153000,-2459434000,7078719000,123087000,123087000,102951000,-8821000,3134000,220351000,-104126000,2576000,-101550000,-209367000,-44166000,-252990000,-134189000,-134189000,-134189000,468382000,6033531000,320608000,0.31722,0.05661,0.01907,-0.05005,0.01739,2.60473,1.71008,-3.87819,0.85235,2.76583,2.63551,145.05256,7.20422,0.02713,0.07065,12.60526,16.15648
"13","2013_Q2",52.153125,"Up",6293057000,-4472066000,1820991000,-1609261000,-1609261000,211730000,-113064000,-113064000,98666000,-5792000,92874000,-3212000,89662000,89662000,89662000,89662000,108902000,108902000,881447000,881447000,3135759000,174776000,174776000,4300884000,1899831000,744723000,444234000,300489000,2644554000,6945438000,2435010000,1366036000,1068974000,43401000,2478411000,5868264000,956287000,956287000,6824551000,9302962000,-2357524000,6945438000,89662000,89662000,101246000,22032000,-28493000,184447000,-92692000,10599000,-82093000,-127378000,-2270000,-122904000,-20550000,-20550000,-20550000,312976000,5911665000,195003000,0.28937,0.03365,0.01425,-0.03803,0.01291,2.17487,1.73534,-3.94607,0.85116,2.00615,1.80937,140.80459,4.36311,0.01988,0.04323,18.5406,27.40643
"14","2013_Q3",68.234375,"Up",6278165000,-4461804000,1816361000,-1602931000,-1602931000,213430000,-106716000,-106716000,106714000,-71677000,35037000,-2210000.00000001,32827000,32827000,32827000,32827000,144167000,144167000,922648000,922648000,3215611000,208607000,208607000,4491033000,1936577000,741380000,438776000,302604000,2677957000,7168990000,2500192000,1415880000,1084312000,47213000,2547405000,6004346000,935105000,935105000,6939451000,9486856000,-2317866000,7168990000,32827000,32827000,99247000,98514000,-151123000,79465000,-113809000,3088000,-110721000,81771000,-20769000,66521000,35265000,35265000,35265000,312677000,6051559000,49955000,0.28931,0.034,0.00523,-0.01416,0.00458,1.52177,1.76298,-4.09293,0.84413,0.72778,0.70234,139.18769,1.10751,0.00703,0.0107,18.89295,27.67836
"15","2013_Q4",106.365625,"Up",6357732000,-4557066000,1800666000,-1632299000,-1632299000,168367000,-102819000,-102819000,65548000,7388000,72936000,-1388000,71548000,71548000,71548000,71548000,183212000,183212000,850249000,850249000,3301103000,111689000,111689000,4446253000,1957584000,734330000,438281000,296049000,2691914000,7138167000,2517331000,1397093000,1120238000,47753000,2565084000,5904673000,897235000,897235000,6801908000,9366992000,-2228825000,7138167000,71548000,71548000,101188000,12979000,58291000,244006000,-113373000,19347000,-94026000,-97557000,-25996000,-110935000,39045000,39045000,39045000,269555000,5952426000,215861000,0.28322,0.02648,0.01125,-0.0321,0.01002,3.01701,1.73338,-4.20266,0.83389,1.52418,1.53432,135.43832,4.59847,0.01548,0.04671,21.40273,34.26571
"16","2014_Q1",121.862295081967,"Up",6597459000,-4711743000,1885716000,-1716671000,-1716671000,169045000,-101992000,-101992000,67053000,-17682000,49371000,6006000,55377000,55377000,55377000,55377000,146406000,146406000,949062000,949062000,2993948000,195709000,195709000,4285125000,1957329000,702417000,431227000,271190000,2659746000,6944871000,2458278000,1292419000,1165859000,49174000,2507452000,5707969000,843152000,843152000,6551121000,9058573000,-2113702000,6944871000,55377000,55377000,102060000,39159000,-2468000,194128000,-101349000,23265000,-78084000,-197907000,36721000,-152850000,-36806000,-36806000,-36806000,271105000,5757143000,161282000,0.28582,0.02562,0.00839,-0.0262,0.00797,2.91244,1.70896,-4.28564,0.82898,1.16098,1.04696,138.31557,3.38127,0.01234,0.03595,20.69581,33.19079
"17","2014_Q2",147.609523809524,"Up",6465531000,-4662552000,1802979000,-1644354000,-1644354000,158625000,-100820000,-100820000,57805000,-4478000,53327000,-11881000,41446000,41446000,41446000,41446000,166003000,166003000,910624000,910624000,2933316000,188593000,188593000,4198536000,1974204000,773777000,420507000,269299000,2747981000,6946517000,2442713000,1364271000,1078442000,112818000,2555531000,5591568000,845772000,845772000,6437340000,8992871000,-2046354000,6946517000,41446000,41446000,103105000,-343000,95540000,239748000,-113928000,1873000,-177361000,-54150000,456000,-42790000,19597000,19597000,19597000,261730000,5704386000,255223000,0.27886,0.02453,0.00641,-0.0202499999999999,0.00597,6.15796,1.64292,-4.39458,0.82119,0.86047,0.83179,134.23266,5.29875,0.0092,0.05667,21.16067,34.91494
"18","2014_Q3",129.103125,"Down",6522584000,-4628005000,1894579000,-1640524000,-1640524000,254055000,-100950000,-100950000,153105000,-5396000,147709000,-19860000,127849000,127849000,127849000,127849000,185758000,185758000,954785000,954785000,2922203000,131281000,131281000,4194027000,2006872000,758445000,411295000,274047000,2765317000,6959344000,2297906000,1205834000,1092072000,113070000,2410976000,5639216000,815677000,815677000,6454893000,8865869000,-1906525000,6959344000,127849000,127849000,101484000,-3860000,-102990000,122483000,-119728000,4229000,-119986000,45820000,-32449000,17258000,19755000,19755000,19755000,355539000,5752286000,152681000,0.29046,0.03895,0.0196,-0.06706,0.01837,1.19423,1.73956,-4.65028,0.82656,2.63426,2.46026,134.39455,3.14591,0.02743,0.03275,15.65659,21.91072
"19","2014_Q4",111.015625,"Down",6692333000,-4769020000,1923313000,-1692437000,-1692437000,230876000,-97400000,-97400000,133476000,-26759000,106717000,-1871000,104846000,104846000,104846000,104846000,232954000,232954000,996545000,996545000,2997595000,132873000,132873000,4359967000,2062376000,763643000,420415000,267104000,2826019000,7185986000,2353061000,1205887000,1147174000,111613000,2464674000,5739074000,774896000,774896000,6513970000,8978644000,-1792658000,7185986000,104846000,104846000,104614000,34753000,-132485000,111728000,-170891000,4457000,-166434000,82970000,18200000,101902000,47196000,47196000,47196000,335490000,5850687000,33985000,0.28739,0.0345,0.01567,-0.0584900000000011,0.01459,0.32414,1.76898,-5.00856000000001,0.81418,2.15578,2.05339,137.60365,0.69878,0.02169,0.00703000000000001,16.74486,24.33225
"20","2015_Q1",155.711475409836,"Up",6847929000,-4892068000,1955861000,-1718327000,-1718327000,237534000,-98442000,-98442000,139092000,-20025000,119067000,1715965000,1835032000,1835032000,1835032000,1835032000,115899000,115899000,980904000,980904000,2882980000,241975000,224152000,4221758000,2091369000,2464298000,421480000,200345000,4555667000,8777425000,2326939000,1133520000,1193419000,100376000,2.485e+09,5458740000,776629000,776629000,6235369000,8720369000,57056000,8777425000,1835032000,1835032000,107425000,-10922000,-1756535000,1.75e+08,-134839000,4935000,-129904000,-206897000,36152000,-162151000,-117055000,-117055000,-117055000,344959000,5559116000,-3262380000,0.28561,0.03469,0.26797,32.16195,0.20906,-1.77783,1.6989,152.83877,0.63334,37.53708,36.18054,140.07998,-66.73465,0.28705,-0.51032,15.77932,22.91553
"21","2015_Q2",167.84126984127,"Up",6647561000,-4788031000,1859530000,-1699585000,-1699585000,159945000,-123607000,-123607000,36338000,-5061000,31277000,-12441000,18836000,18836000,18836000,18836000,1922129000,1922129000,969725000,969725000,2820784000,118209000,100386000,5830847000,2143575000,2555352000,403085000,319334000,4698927000,10529774000,2312243000,1167354000,1144889000,35039000,2404967000,7199832000,772244000,772244000,7972076000,10377043000,152731000,10529774000,18836000,18836000,109649000,15598000,223752000,367835000,-155330000,2838000,-152492000,1653423000,-65914000,1590887000,1806230000,1806230000,1806230000,269594000,7234871000,350457000,0.27973,0.02406,0.00283,0.12333000000001,0.00178999999999999,18.6057,2.4245,67.94327,0.68709,0.3818,0.3733,134.74454,7.10368,0.00230999999999992,0.04295,19.70645,33.21606
"22","2015_Q3",166.6125,"Down",7664776000,-5742485000,1922291000,-1725826000,-1725826000,196465000,-115410000,-115410000,81055000,-43123000,37932000,-16463000,21469000,21469000,21469000,21469000,152647000,152647000,1872976000,1872976000,2902749000,158762000,140939000,5087134000,2198674000,4693423000,1225531000,316754000,6892097000,11979231000,3297956000,1594411000,1703545000,29002000,3384580000,7415311000,749637000,749637000,8164948000,11549528000,429703000,11979231000,21468999.9999998,21469000.0000002,127699000,39891000,-215322000,-26262999.9999999,-159815000,3243000,-1936143000,187357000,840000.000000015,192924000,-1769482000,-1769482000,-1769482000,324164000,7444313000,-34509999.9999995,0.2508,0.02563,0.00280000000000003,0.04996,0.00179,-1.60743,1.50303,26.87793,0.62143,0.416960000000001,0.410789999999995,148.86052,-0.670230000000008,0.00249,-0.004,22.49376,37.11433
"23","2015_Q4",148,"Down",8154184000,-6151306000,2002878000,-1777647000,-1777647000,225231000,-106878000,-106878000,118353000,-10342000,108011000,-48468000,59543000,59543000,59543000,59543000,226252000,226252000,1555352000,1555352000,2871929000,151634000,133811000,4805167000,2264251000,4648662000,1206105000,314515000,6912913000,11718080000,3076177000,1663483000,1412694000,29135000,3162997000,7338345000,715910000,715910000,8054255000,11217252000,500828000,11718080000,59543000,59543000,136434000,26089000,105899000,327965000,-196805000,2616000,-192995000,-78750000,16865000,-61365000,73605000,73605000,73605000,361665000,7367480000,319227000,0.24563,0.02762,0.0073,0.11889,0.00507999999999999,5.36129,1.51918,22.39741,0.62873,1.14521,1.12532,156.83159,6.13978,0.00694,0.03719,19.74542,31.70624
"24","2016_Q1",157.695081967213,"Up",-1696284000,903563999.999999,-792720000,621887000,621887000,-170833000,159763000,159763000,-11070000,-14550000,-25620000,27860000,2240000.00000001,65617000,65617000,65617000,124471000,124471000,1601008000,1601008000,2697104000,128144000,128144000,4550727000,2255398000,4470885000,1004379000,213890000,6726283000,11277010000,2970047000,1542797000,1427250000,26848000,2996895000,6967288000,731399000,731399000,7698687000,10695582000,581428000,11277010000,2239999.99999999,65617000,-12648000,14454000,36760000.0000001,40806000,30877000,28029000,58906000,-280527000,-43925000,-321701000,-221989000,-101781000,-101781000,-183481000,6994136000,-143704000,0.46733,0.10071,-0.03868,0.11285,0.00582,-2.19004,1.51848,18.39537,0.62021,1.26046,1.2418,-32.58453,-2.76046,0.0079,-0.0173,-37.44074,-40.21275
"25","2016_Q2",157.703125,"Up",8184181000,-6289881000,1894300000,-1793247000,-1793247000,101053000,-105113000,-105113000,-4060000,-6837000,-10897000,6309000,-4588000,-4588000,-4588000,-4588000,144840000,144840000,1679166000,1679166000,2623886000,107293000,107293000,4555185000,2257795000,4441967000,964709000,218893000,6699762000,11254947000,2954129000,1663436000,1290693000,25640000,2979769000,6948762000,734912000,734912000,7683674000,10663443000,591504000,11254947000,-4588000,-4588000,138788000,30849000,-5049000,1.6e+08,-122458000,3088000,-119370000,-25721000,3089000,-20261000,20369000,20369000,20369000,239841000,6974402000,106025000,0.23146,0.01235,-0.00056,-0.00775999999999999,-0.000410000000000001,-23.1092,1.5287,18.02768,0.61967,-0.08802,-0.08802,157.02016,2.03418,-0.000549999999999998,0.01277,28.47537,67.58396
"26","2016_Q3",149.221875,"Down",8029806000,-6113063000,1916743000,-1778247000,-1778247000,138496000,-105388000,-105388000,33108000,-7407000,25701000,-10928000,14773000,14773000,14773000,14773000,136093000,136093000,1828641000,1828641000,2827018000,146764000,146764000,4938516000,2281392000,4391061000,921348000,215630000,6672453000,11610969000,3027547000,1695840000,1331707000,24399000,3051946000,7220297000,722057000,722057000,7942354000,10994300000,616669000,11610969000,14773000,14773000,142051000,31354000,-329139000,-140961000,-132129000,3745000,-128384000,264491000,-5480000,260598000,-8747000,-8747000,-8747000,280547000,7244696000,-169793000,0.2387,0.01725,0.00184,0.02396,0.00127,-11.49347,1.61815,17.82853,0.62395,0.28295,0.27392,153.79868,-3.25213,0.00172,-0.01978,25.33837,51.32714
"27","2016_Q4",151.095238095238,"Up",810167000,-905561000,-95394000,47644000,47644000,-47750000,63827000,63827000,16077000,-5571000,10506000,8443000,18949000,15010000,15010000,15010000,220028000,220028000,1707648000,1707648000,2947358000,142134000,142134000,5017168000,2291459000,4350299000,885220000,215163000,6641758000,11658926000,3048857000,1792574000,1256283000,22681000,3071538000,7252229000,689032000,689032000,7941261000,11012799000,646127000,11658926000,18949000,15010000,23621000,15835000,95804000,154209000,20878000,3384000,24262000,28502000,30631000,59587000,238058000,83935000,83935000,-24129000,7274910000,84110000,-0.11775,-0.05894,0.01853,0.02323,0.00129,5.6036,1.63344,17.04433,0.62398,0.28727,0.28269,15.50519,1.60972,0.00174,0.00976999999999999,-292.38186,-147.74622
"28","2017_Q1",120.493548387097,"Down",5903386000,-4554328000,1349058000,-1253145000,-1253145000,95913000,-53391000,-53391000,42522000,-19314000,23208000,-48262000,-25054000,-21142000,-21142000,-21142000,245410000,245410000,1771126000,1771126000,1789541000,1259211000,211541000,5065288000,1526462000,5002002000,715406000,1098185000,6528464000,11593752000,2954856000,1613909000,1340947000,17709000,3005248000,3273092000,4701342000,4701342000,7974434000,10979682000,614070000,11593752000,-25054000,-21142000,102906000,-19691000,-48382000,9779000,-60088000,6635000,-53453000,46140000.0000001,9129000.00000001,57808000,14133999.9999999,25382000,25382000,198819000,3290801000,138611000,0.22852,0.01625,-0.00358,-0.03443,-0.00182,-6.55619,1.68548,17.88018,0.28384,-0.40423,-0.3988,112.87038,2.65019,-0.00246,0.01611,15.3174,31.7516
"29","2017_Q2",75.5777777777778,"Down",5436523000,-4274580000,1161943000,-1160940000,-1160940000,1003000,-5.1e+07,-5.1e+07,-49997000,1839000,-48158000,12121000,-36037000,-75349000,-75349000,-75349000,214449000,214449000,1781175000,1781175000,2789176000,192767000,192767000,4977567000,2218333000,4264238000,787969000,204489000,6482571000,11460138000,2986235000,1646457000,1339778000,22460000,3008695000,7217807000,673008000.000001,673008000.000001,7890815000,10899510000,560628000,11460138000,-36037000,-75349000,101029000,17372000,-34595000,47769000,-43846000,10776000,-33070000,-93503000,28621000,-64735000,-50036000,-30961000,-30961000,102032000,7240267000,11470000,0.21373,0.00018,-0.01386,-0.1344,-0.00657,-0.15222,1.65439,19.44161,0.63178,-1.43957,-1.43957,103.86679,0.21914,-0.00889,0.00135,68.85897,7004.80359
"30","2017_Q3",47.4063492063492,"Down",5345011000,-4183338000,1161673000,-1141844000,-1141844000,19829000,-50857000,-50857000,-31028000,336838000,305810000,-117450000,188360000,170716000,170716000,170716000,238978000,238978000,1843320000,1843320000,2877427000,221644000,221644000,5181369000,2188217000,4128722000,747288000,212664000,6316939000,11498308000,2958720000,1687880000,1270840000,22491000,2981211000,7120439000,663048000,663048000,7783487000,10764698000,733610000,11498308000,188360000,170716000,95655000,-2078000,-34233000,247704000,-44949000,10258000,-34691000,-100883000,-22503000,-123318000,89695000,24529000,24529000,115484000,7142930000,153752000,0.21734,0.00371000000000001,0.03194,0.23271,0.01485,0.90063,1.73801,14.6736,0.62122,3.25624,3.12169,101.95072,2.93266,0.01999,0.018,59.78276,348.17449
"31","2017_Q4",35.7269841269841,"Down",5353170000,-4166447000,1186723000,-1166514000,-1166514000,20209000,-50308000,-50308000,-30099000,-4144000,-34243000,16061000,-18182000,81031000,81031000,81031000,169800000,169800000,1796919000,1796919000,1853886000,2108840000,240712000,5929445000,1479214000,3931955000,618274000,211290000,5411169000,11340614000,3048042000,1789456000,1258586000,20354000,6905915000,3017354000,592201000,592201000,3609555000,10515470000,825144000,11340614000,-18182000,81031000,95764000,18116000,33279000,128977000,-72222000,1847000,-70375000,-76986000,17373000,-55412000,3190000,-69178000,-69178000,115973000,3037708000,60969000,0.22169,0.00378,0.01514,0.0981999999999999,0.00715,0.75242,0.8586,12.7438,0.26786,1.54396,1.52701,101.99895,1.1617,0.01819,0.01369,24.7291,141.91242
