"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",45.4459677419355,"Down",668657000,-398580000,270077000,-185167000,-185167000,84910000,9015000,-1656000,-1656000,10671000,93925000,93925000,-34547000,59378000,59378000,59378000,59378000,254321000,254321000,200156000,200156000,375102000,46897000,16913000,876476000,153330000,502984000,306172000,190470000,6342000,656314000,1532790000,115005000,115005000,89158000,89158000,204163000,1.86e+08,209185000,113280000,95905000,395185000,599348000,245451000,697125000,-9134000,933442000,933442000,1532790000,59378000,8826000,4475000,-33403000,39276000,-22105000,-22105000,-22105000,-22105000,1169000,1169000,-1749000,-580000,16591000,16591000,16692000,93736000,1.86e+08,72775000,0.40391,0.12699,0.0888,0.06361,0.03874,1.22562,4.29302,0.64208,0.12135,1.01906,1.00369,11.47566,16.01997,1.24898,5,0.04469,0.05477,-0.72887,-0.80463
"12","2013_Q1",50.0516666666667,"Up",689253000,-399364000,289889000,-222049000,-222049000,67840000,9193000,-1252000,-1486000,10445000,77033000,77033000,-28341000,48692000,48692000,48692000,48692000,382236000,382236000,168046000,168046000,349530000,57891000,22216000,957703000,170110000,502296000,306072000,189749000,6475000,672406000,1630109000,149625000,149625000,94610000,94610000,244235000,1.86e+08,214395000,114341000,100054000,400395000,644630000,250867000,745817000,-11205000,985479000,985479000,1630109000,48692000,13229000,3915000,83568000,149404000,-23582000,-23582000,-23582000,-23582000,2035000,2035000,2237000,2355999.99999999,128178000,128178000,127915000,81069000,1.86e+08,169396000,0.42058,0.09843,0.07064,0.04941,0.02987,3.47893,3.92124,0.65413,0.1141,0.83456,0.82221,11.81348,16.89065,2.90337,6,0.03513,0.12223,-2.4206,-2.89263
"13","2013_Q2",57.5534375,"Up",591009000,-347947000,243062000,-185361000,-185361000,57701000,7566000,-1103000,-1294000,8669000,65267000,65267000,-23852000,41415000,41415000,41415000,41415000,397563000,397563000,178360000,178360000,284525000,53320000,21612000,913768000,182193000,501720000,305974000,188731000,7015000,683913000,1597681000,97884000,97884000,72590000,72590000,170474000,1.86e+08,218019000,112015000,106004000,404019000,574493000,248626000,787232000,-12670000,1023188000,1023188000,1597681000,41415000,12389000,1709000,-2385000,53128000,-31426000,-31426000,-31426000,-31426000,-5182000,3760000,-852000,-6034000,15668000,15668000,15327000,70090000,1.86e+08,60131000,0.41127,0.09763,0.07008,0.04048,0.02592,1.45191,5.36016,0.56147,0.11642,0.70834,0.69787,10.10828,17.50002,1.02845,6,0.02902,0.04213,-3.01845,-3.66654
"14","2013_Q3",62.9371875,"Up",517874000,-297629000,220245000,-195014000,-195014000,25231000,5916000,-1060000,-1253000,6976000,31147000,31147000,-11474000,19673000,19673000,19673000,19673000,312132000,312132000,133277000,133277000,429223000,81569000,48621000,956201000,208094000,537456000,342883000,186957000,7616000,745550000,1701751000,199588000,199588000,74062000,74062000,273650000,1.86e+08,221164000,112171000,108993000,407164000,680814000,238761000,797383000,-15207000,1020937000,1020937000,1701751000,19673000,12547000,157000,-15665000,16712000,-39140000,-39140000,-39140000,-77147000,-21365000,7450000,6242000,-24645000,-85080000,-85080000,-85431000,37778000,1.86e+08,-5552999.99999999,0.42529,0.04872,0.03799,0.01927,0.01156,-0.28227,3.49425,0.66685,0.1093,0.33588,0.3335,8.84185,17.43083,-0.0948100000000001,5,0.02044,-0.00388999999999999,-3.33877,-4.99909
"15","2013_Q4",61.44546875,"Down",760173000,-450524000,309649000,-229264000,-229264000,80385000,6751000,-3995000,-4134000,10746000,87136000,87136000,-30565000,56571000,56571000,56571000,56571000,201819000,201819000,245610000,245610000,440446000,56328000,22872000,944203000,256225000,537129000,336596000,188006000,12527000,793354000,1737557000,158600000,158600000,85107000,85107000,243707000,5.86e+08,248927000,110708000,138219000,834927000,1078634000,545000,671909000,-13531000,658923000,658923000,1737557000,56571000,11129000,10386000,-84460000,-6374000,-59062000,-59062000,-59062000,-59062000,-415162000,1214000,-14327000,-45442000,-110878000,-110878000,-110313000,91514000,5.86e+08,-21443000,0.40734,0.10575,0.07442,0.08585,0.03256,-0.37905,3.87434,1.63697,0.33726,0.99407,0.98462,13.35778,11.57861,-0.3768,3,0.04421,-0.01435,4.19806,4.77926
"16","2014_Q1",62.1775409836066,"Up",769655000,-447232000,322423000,-258841000,-258841000,63582000,2333000,-6610000,-6756000,8943000,65915000,65915000,-23167000,42748000,42748000,42748000,42748000,286546000,286546000,193611000,193611000,417754000,72470000,35157000,970381000,307885000,534218000,330258000,186077000,17883000,842103000,1812484000,164010000,164010000,105129000,105129000,269139000,5.86e+08,256614000,121434000,135180000,842614000,1111753000,4877000,705936000,-10082000,700731000,700731000,1812484000,42748000,18850000,10482000,74150000,146230000,-90904000,-90904000,-52897000,-52897000,488000,488000,204000,-8537000,84796000,84796000,84727000,82432000,5.86e+08,88845000,0.41892,0.08261,0.05554,0.061,0.02359,2.07834,3.6055,1.58656,0.32331,0.7949,0.78727,14.3118,13.03015,1.65208,4,0.03335,0.05757,3.63274,4.70973
"17","2014_Q2",62.975873015873,"Up",651643000,-389918000,261725000,-210095000,-210095000,51630000,2540000,-6765000,-6897000,9305000,54170000,54170000,-19873000,34297000,34297000,34297000,34297000,277236000,277236000,205166000,205166000,363018000,63705000,26362000,909125000,334593729.595674,843224000,323967000,184604000,334653000,843224000,1752349000,103439000,103439000,75235000,75235000,178674000,5.86e+08,258525000,118032000,140493000,844525000,1023199000,11957000,730035000,-12842000,729150000,729150000,1752349000,34297000,15354000,8454000,-27545000,30560000,-32083000,-32083000,-32083000,-32083000,3254000,5546000,-709000,-7718000,-9241000,-9241000,-9310000,66984000,5.86e+08,27229000,0.40164,0.07923,0.05263,0.04704,0.01957,0.79392,5.08818,1.40328,0.33441,0.64501,0.63899,12.25527,13.71293,0.51209,3,0.02828,0.0173,4.60952,5.98032
"18","2014_Q3",67.19140625,"Up",574066000,-328589000,245477000,-206315000,-206315000,39162000,1631000,-6743000,-6883000,8374000,40793000,40793000,-14897000,25896000,25896000,25896000,25896000,207920000,207920000,133885000,133885000,538233000,80218000,43684000,960256000,339644822.450679,848906000,318346000,186173000,344387000,848906000,1809162000,164199000,164199000,75561000,75561000,239760000,5.86e+08,263030000,114878000,148152000,849030000,1088790000,533000,729889000,-10050000,720372000,720372000,1809162000,25896000,14325000,11260000,-48917000,2563999.99999999,-29083000,-29217000,-29217000,-29083000,-32786000,1002000,208000.000000001,-42809000,-69328000,-69328000,-69316000,53487000,5.86e+08,-9616000.00000001,0.42761,0.06822,0.04511,0.03595,0.01431,-0.37133,4.00507,1.51143,0.32391,0.49012,0.48593,10.86504,13.6341,-0.182,6,0.02298,-0.00613,7.06863,9.65426
"19","2014_Q4",70.3153125,"Up",798936000,-477730000,321206000,-221939000,-221939000,99267000,3081000,-6798000,-6843000,9879000,102348000,102348000,-36462000,65886000,65886000,65886000,65886000,133646000,133646000,232478000,232478000,519416000,69827000,31258000,955367000,335119004.080345,851374000,316046000,184196000,351132000,851374000,1806741000,117329000,117329000,100473000,100473000,217802000,5.86e+08,251358000,113173000,138185000,837358000,1055160000,530000,764678000,-13627000,751581000,751581000,1806741000,65886000,13152000,6555000,-93790000,-8197000,-22325000,-22334000,-22334000,-22325000,-25466000,1223000,-8516000,-44086000,-74608000,-74608000,-74274000,112419000,5.86e+08,32766000,0.40204,0.12425,0.08247,0.08766,0.03647,0.49731,4.3864,1.40392,0.32434,1.25842,1.24713,15.25965,14.35517,0.62583,5,0.0478,0.02062,4.02382,4.55694
"20","2015_Q1",75.4191803278689,"Up",869223000,-513191000,356032000,-251902000,-251902000,104130000,1465000,-6944000,-7030000,8409000,105595000,105595000,-37004000,68591000,68591000,68591000,68591000,340638000,340638000,184563000,184563000,444844000,71413000,34788000,1041458000,333097000,518541000,317297000,181975000,19269000,851638000,1893096000,150243000,150243000,97728000,97728000,247971000,5.86e+08,272441000,121536000,150905000,858441000,1106412000,527000,809194000,-23037000,786684000,786684000,1893096000,68591000,15656000,9482000,163741000,257470000,-21241000,-23369000,-19819000,-21241000,-18037000,1293000,267999.999999998,-27825000,208404000,208404000,206992000,119786000,5.86e+08,299290000,0.4096,0.1198,0.07891,0.08719,0.03623,4.3634,4.19992,1.40642,0.30955,1.3167,1.30454,16.68597,15.10152,5.7453,8,0.04779,0.18193,2.04834,2.3563
"21","2015_Q2",87.7934920634921,"Up",684764000,-400712000,284052000,-211183000,-211183000,72869000,3119000,-6555000,-6692000,9674000,75988000,75988000,-26196000,49792000,49792000,49792000,49792000,377400000,377400000,195593000,195593000,358014000,66736000,33894000,997743000,341658000,507712000,314955000,178859000,13898000,849370000,1847113000,94133000,94133000,93403000,93403000,187536000,580273000,273591000,120274000,153317000,853864000,1041400000,526000,834218000,-29031000,805713000,805713000,1847113000,49792000,14875000,3761000,18796000,87224000,-20684000,-20760000,-20760000,-20684000,-11352000,2768000,-6560000,-29160000,37380000,37380000,36762000,87744000,580273000,112052000,0.41482,0.10641,0.07271,0.0618,0.02696,2.2504,5.32027,1.29252,0.31415,0.95535,0.94635,13.13842,15.45904,2.14992,8,0.03699,0.06752,2.3121,2.78408
"22","2015_Q3",87.89078125,"Up",612765000,-349870000,262895000,-209296000,-209296000,53599000,3475000,-6778000,-6935000,10253000,57074000,57074000,-20969000,36105000,36105000,36105000,36105000,244301000,244301000,157145000,157145000,544256000,79510000,47639000,1025212000,353138000,505348000,312836000,178753000,13759000,858486000,1883698000,145809000,145809000,76451000,76451000,222260000,580427000,278072000,119230000,158842000,858499000,1080759000,523000,831691000,-29275000,802939000,802939000,1883698000,36105000,15463000,4999000,-116659000,-60092000,-29557000,-29524000,-29524000,-29557000,-32982000,1792000,1073000,-43455000,-133104000,-133104000,-133099000,69062000,580427000,-56185000,0.42903,0.08747,0.05892,0.04497,0.01917,-1.55616,4.61267,1.346,0.30813,0.69405,0.68702,11.77932,15.43508,-1.08006,7,0.02868,-0.03382,4.86702,6.27112
"23","2015_Q4",78.4709375,"Down",849806000,-502267000,347539000,-230017000,-230017000,117522000,6505000,-6816000,-6907000,13321000,124027000,124027000,-44701000,79326000,79326000,79326000,79326000,288260000,288260000,246565000,246565000,511520000,71309000,36414000,1117654000,361305000,503415000,311842000,176633000,14940000,864720000,1982374000,173594000,173594000,105199000,105199000,278793000,579612000,281026000,119499000,161527000,860638000,1139431000,521000,875902000,-33480000,842943000,842943000,1982374000,79326000,13849000,4359000,21368000,118902000,-26680000,-26703000,-26703000,-26680000,-28262000,1183000,-6697000,-47928000,44294000,44294000,43959000,131371000,579612000,170760000,0.40896,0.13829,0.09335,0.09411,0.04002,2.15264,4.0089,1.35173,0.29238,1.53315,1.51818,16.42438,16.29174,3.30031,7,0.0533,0.10024,2.21778,2.47913
"24","2016_Q1",84.5001639344262,"Up",866544000,-503006000,363538000,-258737000,-258737000,104801000,6298000,-6382000,-6497000,12680000,111099000,111099000,-38500000,72599000,72599000,72599000,72599000,381209000,381209000,207570000,207570000,469934000,71895000,37815000,1130608000,371704000,501342000,310848000,174874000,15620000,873046000,2003654000,157648000,157648000,105070000,105070000,262718000,578972000,286913000,128838000,158075000,865885000,1128603000,518000,910900000,-36367000,875051000,875051000,2003654000,72599000,17795000,4774000,66785000,161953000,-26504000,-26510000,-26510000,-26504000,-30718000,1233000,799999.999999999,-41462000,93987000,93987000,92949000,122596000,578972000,201377000,0.41953,0.12094,0.08378,0.08297,0.03623,2.77383,4.3035,1.28976,0.28896,1.41078,1.39829,16.83915,17.00446,3.91327,8,0.04826,0.11567,1.61313,1.88703
"25","2016_Q2",91.29078125,"Up",724085000,-413156000,310929000,-228996000,-228996000,81933000,1350000,-6532000,-6739000,7882000,83283000,83283000,-29303000,53980000,53980000,53980000,53980000,395141000,395141000,192569000,192569000,376499000,68632000,36791000,1032841000,377273000,502349000,309853000,177238000,15258000,879622000,1912463000,90387000,90387000,102494000,102494000,192881000,580319000,290546000,128815000,161731000,870865000,1063746000,512000,879286000,-31081000,848717000,848717000,1912463000,53980000,17177000,6740000,50385000,128282000,-25552000,-25552000,-25552000,-25552000,-67814000,3747000,-5310000,-90156000,12574000,12574000,13932000,99110000,580319000,153246000,0.42941,0.11315,0.07455,0.0636,0.02823,2.83894,5.35481,1.25336,0.30344,1.05477,1.04523,14.14864,16.58396,2.99443,9,0.0413,0.08912,1.86841,2.26011
"26","2016_Q3",89.09640625,"Down",639471000,-357289000,282182000,-228464000,-228464000,53718000,2384000,-6625000,-6803000,9009000,56102000,56102000,-19904000,36198000,36198000,36198000,36198000,205080000,205080000,150633000,150633000,587434000,79005000,46189000,1022152000,386034000,504306000,309017000,177540000,17749000,890340000,1912492000,190366000,190366000,80595000,80595000,270961000,580678000,294151000,128682000,165469000,874829000,1145790000,502000,796733000,-30533000,766702000,766702000,1912492000,36198000,17739000,4645000,-101265000,-42683000,-23953000,-24146000,-24146000,-23953000,-107294000,1354000,486000,-123455000,-190091000,-190091000,-190061000,71457000,580678000,-33857000,0.44127,0.084,0.05661,0.04721,0.01893,-0.93533,3.77232,1.49444,0.30362,0.72189,0.71518,12.7528,15.29014,-0.6752,5,0.03219,-0.02063,5.25628,6.99203
"27","2016_Q4",79.5960317460317,"Down",901425000,-525879000,375546000,-255322000,-255322000,120224000,3995000,-6711000,-6779000,10706000,124219000,124219000,-43408000,80811000,80811000,80811000,80811000,140626000,140626000,271207000,271207000,552726000,80755000,43155000,1045314000,388440000,503951000,308973000,176956000,18022000,892391000,1937705000,155223000,155223000,126922000,126922000,282145000,580613000,298813000,129278000,169535000,879426000,1161571000,496000,807527000,-31889000,776134000,776134000,1937705000,80811000,17468000,3723000,-71027000,30975000,-21469000,-21492000,-21492000,-21469000,-57644000,1285000,297000,-73799000,-64293000,-64293000,-64454000,137692000,580613000,88604000,0.41661,0.13337,0.08965,0.10412,0.0417,1.09643,3.70488,1.49661,0.29964,1.63167,1.61624,18.20087,15.67109,1.78902,6,0.05875,0.05352,3.19544,3.65973
"28","2017_Q1",77.03,"Down",933562000,-523700000,409862000,-282624000,-282624000,127238000,4598000,-6613000,-6723000,11211000,131836000,131836000,-45116000,86720000,86720000,86720000,86720000,299358000,299358000,202471000,202471000,487591000,67666000,32180000,1057086000,385874000,503637000,308928000,176009000,18700000,889511000,1946597000,158432000,158432000,119177000,119177000,277609000,580376000,300488000,130656000,169832000,880864000,1158473000,489000,822375000,-34740000,788124000,788124000,1946597000,86720000,19138000,2081000,144716000,252655000,-17366000,-17366000,-17366000,-17366000,-60527000,780000,653999.999999999,-76097000,159192000,159192000,158732000,146376000,580376000,318842000,0.43903,0.13629,0.09289,0.11003,0.04455,3.67668,3.80782,1.46991,0.29815,1.77616,1.76097,19.12081,16.14201,6.53038,7,0.06168,0.19104,1.91984,2.2086
"29","2017_Q2",79.0188888888889,"Up",732827000,-417135000,315692000,-247794000,-247794000,67898000,3814000,-6965000,-7104000,10779000,71712000,71712000,-25117000,46595000,46595000,46595000,46595000,154278000,154278000,206707000,206707000,434712000,48396000,48396000,844093000,386275000,657338000,401379000,232925000,23034000,1043613000,1887706000,101386000,101386000,125634000,125634000,227020000,581621000,306932000,133652000,173280000,888553000,1115573000,485000,805441000,-33793000,772133000,772133000,1887706000,46595000,19513000,3878000,14194000,84180000,-17991000,-17991000,-17991000,-161695000,-45001000,1626000,-5552000,-67516000,-145031000,-145031000,-145080000,87411000,581621000,108731000,0.43079,0.09265,0.06358,0.06035,0.02468,2.33353,3.71814,1.44479,0.30811,0.96425,0.9533,15.16528,15.97868,2.2501,6,0.0389,0.06547,4.88889,6.2939
