"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q4",6.90515625,"Down",3083553,-1661971,-1661971,1229843,-1023448,-1037681,14233,206395,206395,206395,206395,206395,206395,2701450,2701450,2701450,216488664,1931564,214557100,216488664,219190114,2701420,2701420,3240880,140085394,4846532,4846532,144931926,148172806,9061,-8138142,79146389,71017308,71017308,219190114,206395,809445,1866635,-184977,2697498,-31435300,-31435300,13784032,15583751,28280545,-457257,-457257,-457257,2039288,145085394,0.39884,0.06693,0.00291,0.00094,0.83355,2.08643,0.66192,0.02278,0.02278,0.34034,7.83828,0.00585,69.82042,115.77408
"12","2016_Q1",6.48983606557377,"Down",3408330,-1625099,-1625099,1608104,-1240240,-1199382,-40858,367864,367864,367864,367864,367864,367864,2532522,2532522,2532522,227205725,1763541,225442184,227205725,229738247,3495339,3495339,4060932,142733157,4937439,4937439,147670596,151731528,9993,-8895369,86892095,78006719,78006719,229738247,367864,800612,270831,-988980,450327,-9825145,-9875145,-103237,2246514,9255890,-168928,-168928,-168928,2408716,142833157,0.47182,0.10793,0.00472,0.0016,0.62363,1.94511,0.62172,0.03681,0.03681,0.34107,7.80618,0.00661,58.24706,87.246
"13","2016_Q2",8.0753125,"Up",3682677,-2007050,-2007050,1495424,-1255432,-1254849,-583,239992,239992,239992,239992,234416,234416,2193360,2193360,2193360,254777269,2225926,252551343,254777269,256970629,4746694,4746694,5375115,159728055,8427252,8427252,168155307,173530422,9993,-9860106,87494870,77644757,83440207,256970629,234416,976710,4675987,-1653345,4233768,-20949732,-21149732,-187238.000000002,17963193,16576802,-339162,-339162,-339162,2472134,162528055,0.40607,0.06365,0.00281,0.00091,0.40806,2.0797,0.63248,0.02346,0.02346,0.36853,7.76996,0.00564,64.8568,107.21688
"14","2016_Q3",8.91484375,"Up",4244441,-2467178,-2467178,1618685,-1502825,-1486820,-16005,115860,115860,115860,115860,107813,107813,2077250,2077250,2077250,273107859,2033221,271074638,273107859,275185109,3945411,3945411,4681532,180473676,7802760,7802760,188276436,192957968,9993,-10988919,87494872,76515946,82227141,275185109,107813,1334973,10526,577473,2030785,-21526359,-21476359,-232358,20798448,19329464,-116110,-116110,-116110,2953658,194973676,0.38137,0.0254,0.00131,0.00039,0.44371,2.34665,0.70852,0.01079,0.01079,0.42474,7.657,0.00472,65.30764,119.1686
"15","2016_Q4",8.50333333333333,"Down",4469174,-2379586,-2379586,1928675,-1894074,-1554668,-339406,34601,34601,34601,34601,31883,31883,2396852,2396852,2396852,313909880,2115085,311794795,313909880,316306732,2222547,2222547,2859088,190379624,36522965,36522965,226902589,229761677,10025,-12197348,89374991,77187668,86545055,316306732,31883,1431846,-2658448,2142046,947327,-37184697,-37134697,-2186434,39573246,36506972,319602,319602,319602,3360521,212879624,0.43155,0.00713,0.00037,1e-04,0.83833,2.65482,0.67302,0.00318,0.00318,0.4461,7.70464,0.00379,62.63397,109.13335
"16","2017_Q1",9.53,"Up",4920325,-2489876,-2489876,2260192,-2177158,-1718995,-458163,83034,83034,83034,83034,73990,73990,2438021,2438021,2438021,331546998,1999773,329547225,331546998,333985019,2801194,2801194,3551990,207347012,35308855,35308855,242655867,246207857,10025,-13401529,90081837,76690333,87777162,333985019,73990,1443720,324665,-651733,1190642,-15340187,-15740187,-2221098,18089983,14590714,41169,41169,41169,3703912,223897012,0.45936,0.01504,0.00084,0.00022,0.68638,2.80492,0.67038,0.00712,0.00712,0.4733,7.3771,0.0039,59.79056,97.98238
"17","2017_Q2",9.1568253968254,"Down",5750000,-2889000,-2889000,2613000,-2440000,-2157000,-283000,173000,173000,173000,173000,152000,152000,2473000,2473000,2473000,384509000,1872000,382637000,384509000,386982000,2596000,2596000,3576000,240770000,36688000,36688000,277458000,281034000,12000,-14621000,109012000,94403000,105948000,386982000,152000,1472000,1111031,10969,2746000,-54215000,-54215000,-2231000,34385000,51504000,35000,35000,35000,4085000,260820000,0.45443,0.02643,0.00143,0.00039,0.69155,2.65257,0.67398,0.01462,0.01462,0.55311,9.08093,0.00378,63.24284,98.86988
"18","2017_Q3",10.4984126984127,"Up",5996000,-2811000,-2811000,2943000,-2688000,-2193000,-495000,255000,255000,255000,255000,227000,227000,2766000,2766000,2766000,414254000,5905000,408349000,414254000,417020000,4684000,4684000,5520000,271991000,35033000,35033000,307024000,312544000,12000,-15941000,109020000,93091000,104476000,417020000,227000,1599000,1758000,-1651000,1933000,-30924000,-30924000,-19837000,50667000,29284000,293000,293000,293000,4542000,307041000,0.49083,0.03786,0.00217,0.00054,0.50109,2.99154,0.73627,0.01916,0.01916,0.50596,7.85537,0.00397,66.99141,103.3894
"19","2017_Q4",11.2795238095238,"Up",6564000,-3366000,-3366000,2941000,-3188000,-2634000,-554000,-247000,-247000,-247000,-247000,-221000,-221000,3758000,3758000,3758000,452802000,5796000,447006000,452802000,456560000,4382000,4382000,5366000,295334000,36874000,36874000,332208000,337574000,13000,-17801000,126848000,109060000,118986000,456560000,-221000,2052000,15000,1146000,2992000,-40149000,-40149000,-46545000,66634000,38149000,992000,992000,992000,4993000,300434000,0.44805,-0.03367,-0.00186,-0.00048,0.70034,2.83709,0.65804,-0.01801,-0.01801,0.53488,8.88695,0.00311,59.41839,100.87589
"20","2018_Q1",10.7752459016393,"Down",6812000,-3387000,-3387000,3007000,-3222000,-2778000,-444000,-215000,-215000,-215000,-215000,-189000,-189000,2938000,2938000,4466000,457812000,5492000,452320000,457812000,462278000,7398000,7398000,8338000,301002000,34987000,34987000,335989000,344327000,14000,-19802000,129705000,109917000,117951000,462278000,-189000,2114000,-817000,-2264000,-1156000,-4357000,-4357000,-4243000,9561000,4693000,-820000,-820000,-820000,5121000,311002000,0.44143,-0.02775,-0.0016,-0.00041,0.53562,2.91924,0.67276,-0.01354,-0.01354,0.48804,7.87499,0.0035,60.157,102.44895
"21","2018_Q2",10.775625,"Up",9245000,-5897000,-5897000,2920000,-3238000,-2832000,-406000,-318000,-318000,-318000,-318000,-297000,-297000,2679000,2679000,4738000,468178000,5328000,462850000,468178000,472916000,8575000,8575000,9525000,292950000,38473000,38473000,331423000,340948000,15000,-21950000,145990000,124055000,131968000,472916000,-297000,2189000,1774000,-915000,2751000,-9310000,-9310000,-16718000,7783000,6300000,-259000,-259000,-259000,5109000,296850000,0.31585,-0.03213,-0.00225,-0.00063,0.49743,2.58357,0.6277,-0.02128,-0.02128,0.66236,8.88791,0.00333,57.57898,100.74349
"22","2018_Q3",10.8060317460317,"Up",11394000,-8604000,-8604000,2472000,-4324000,-2815000,-1509000,-1852000,-1852000,-1852000,-1852000,-1742000,-1742000,2583000,2583000,2583000,472628000,5078000,467550000,472628000,475211000,9958000,9958000,10765000,293424000,35871000,35871000,329295000,340060000,16000,-25763000,155106000,129359000,135151000,475211000,-1742000,2241000,4627000,-3395000,1731000,-7250000,-7250000,-2659000,2644000,5423000,-96000,-96000,-96000,4713000,296924000,0.21696,-0.15289,-0.01289,-0.00367,0.23994,2.51615,0.62483,-0.11234,-0.11234,0.73479,8.34224,7e-04,62.453,119.06998
"23","2018_Q4",10.877619047619,"Up",8017000,-4051000,-4051000,3345000,2675000,-3082000,5757000,6020000,6020000,6020000,6020000,5683000,5683000,2929000,2929000,2929000,506967000,5829000,501138000,506967000,509896000,6400000,6400000,7424000,316242000,39030000,39030000,355272000,362696000,16000,-22305000,163943000,141654000,147200000,509896000,5683000,2375000,-8183000,3687000,3562000,-32032000,-32032000,-27423000,58419000,28816000,346000,346000,346000,5720000,316342000,0.41724,0.70887,0.03861,0.01115,0.39453,2.46397,0.6204,0.35391,0.35391,0.49925,8.82142,0.01564,54.79248,93.69596
"24","2019_Q1",10.5970491803279,"Down",8030000,-3859000,-3859000,3509000,-4592000,-3402000,-1190000,-1083000,-1083000,-1083000,-1083000,-1014000,-1014000,14730000,14730000,14730000,550389000,5686000,544703000,550389000,565119000,9152000,9152000,10097000,335888000,38081000,38081000,373969000,384066000,18000,-25826000,202053000,176246000,181053000,565119000,-1014000,2570000,-8320000,9128000,2364000,-45217000,-45217000,-16455000,73665000,54654000,11801000,11801000,11801000,6079000,335988000,0.43699,-0.12628,-0.0056,-0.00179,1.45885,2.12129,0.59454,-0.05624,-0.05624,0.4454,9.77573,0.00278,52.84718,91.55258
"25","2019_Q2",10.9884126984127,"Up",7830000,-3789000,-3789000,3225000,-3117000,-3453000,336000,108000,108000,108000,108000,105000,105000,23108000,23108000,23108000,552841000,5364000,547477000,552841000,575949000,6715000,6715000,7391000,333935000,39854000,39854000,373789000,381180000,18000,-28731000,223480000,194769000,194769000,575949000,105000,2597000,-11354000,11084000,2432000,-5717000,-5717000,-3450000,18136000,11663000,8378000,8378000,8378000,5822000,334035000,0.41188,0.01341,0.00054,0.00018,3.12651,1.95709,0.57997,0.00582,0.00582,0.4343,10.80309,0.00548,53.40553,96.41147
"26","2019_Q3",10.4815625,"Down",8362000,-3655000,-3655000,4121000,-3947000,-3543000,-404000,174000,174000,174000,174000,173000,173000,28705000,28705000,28705000,600018000,5039000,594979000,600018000,628723000,9134000,9134000,9498000,350244000,37627000,37627000,387871000,397369000,21000,-31919000,263249000,231354000,231354000,628723000,173000,2936000,-4775000,3490000,1824000,-48886000,-48886000,-15697000,71542000,52659000,5597000,5597000,5597000,7057000,350344000,0.49282,0.02069,0.000750000000000004,0.00028,3.02222,1.71758,0.55723,0.00927999999999999,0.00927999999999999,0.44856,12.41038,0.00518,45.5773,78.04877
"27","2019_Q4",11.16515625,"Up",11012000,-5039000,-5039000,5437000,-4914000,-4401000,-513000,523000,523000,523000,523000,517000,517000,3992000,3992000,3992000,753035000,5257000,747778000,753035000,757027000,7015000,7015000,8209000,452104000,43424000,43424000,495528000,503737000,21000,-35344000,286215000,250895000,253290000,757027000,517000,3419000,29134000,-23424000,9646000,-155347000,-155347000,-7439000,132311000,120988000,-24713000,-24713000,-24713000,8856000,456204000,0.49373,0.04695,0.00204,0.00068,0.4863,1.98878,0.60263,0.0249,0.0249,0.53035,12.08325,0.00578,51.06278,83.17307
"28","2020_Q1",11.8445161290323,"Up",13489000,-6431000,-6431000,6524000,-5566000,-4935000,-631000,958000,958000,958000,958000,946000,946000,13688000,13688000,13688000,803099000,4827000,798272000,803099000,816787000,10132000,10132000,12301000,481929000,43587000,43587000,525516000,537817000,21000,-38785000,315380000,276621000,278970000,816787000,946000,3838000,-2920000,5603999.99999999,7468000,-52700000,-52700000,-27850000,87131000,54928000,9695999.99999999,9695999.99999999,9695999.99999999,10362000,482029000,0.48365,0.07013,0.00339,0.00116,1.11276,1.92787,0.59015,0.04449,0.04449,0.63442,13.00983,0.00643,45.19793,71.7874
"29","2020_Q2",12.9915873015873,"Up",15280000,-7562000,-7562000,7197000,-4096000,-4963000,867000,3101000,3101000,3101000,3101000,3059000,3059000,30232000,30232000,30232000,810888000,4001000,806887000,810888000,841120000,8733000,8733000,11654000,477526000,43885000,43885000,521411000,533065000,21000,-40701000,346373000,305699000,308055000,841120000,3059000,4257000,-21011000,17191000,3496000,-10168000,-10168000,-4388000,32728411,23216000,16544000,16544000,16544000,11454000,477626000,0.47101,0.2002,0.00993,0.00364,2.59413,1.73042,0.56785,0.14387,0.14387,0.71865,14.37738,0.00968,39.06007,62.16396
"30","2020_Q3",14.654375,"Up",12638000,-5737000,-5737000,6184000,-6002000,-4990000,-1012000,182000,182000,182000,182000,184000,184000,24779000,24779000,24779000,831910000,3680000,828230000,831910000,856689000,12443000,12443000,14096000,491638000,44572000,44572000,536210000,550306000,22000.0000000037,-45653000,350861000,305236000,306383000,856689000,184000,3819000,10333000,-7895000,6441000,-24932000,-24932000,-2200000,19736000,13038000,-5453000,-5453000,-5453000,10003000,491738000,0.48932,0.01456,0.000599999999999998,0.00021,1.75787,1.79614,0.574,0.00858999999999999,0.00858999999999999,0.59005,14.25079,0.00541,46.6819,75.51083
"31","2020_Q4",13.73921875,"Down",13989000,-6571000,-6571000,7131000,-5550000,-5202000,-348000,1581000,1581000,1581000,1581000,1568000,1568000,6455000,6455000,6455000,871922000,3626000,868296000,871922000,878377000,11997000,11997000,14263000,503521000,43278000,43278000,546799000,561062000,22000,-49457000,366744000,317315000,317315000,878377000,1568000,3922000,14657000,-18491000,1656000,-40520000,-40520000,-11511000,38311000,20540000,-18324000,-18324000,-18324000,11053000,515121000,0.50976,0.11209,0.00494,0.00179,0.45257,1.76815,0.58645,0.0713,0.0713,0.63612,14.42885,0.00851,46.02063,71.33165
"32","2021_Q1",16.506393442623,"Up",15124000,-7662000,-7662000,7139000,-7048000,-5466000,-1582000,91000.0000000002,90999.9999999998,91000.0000000002,91000.0000000002,114000,114000,9218000,9218000,9218000,11868000,3732000,8136000,1058071000,1067289000,9081000,9081000,9081000,624061000,21763000,21763000,645824000,654905000,440496000,-55213000,-1499999.99999994,412384000,412384000,1067289000,114000,4657000,3177000,5461000,13409000,-197281000,-197281000,-17614000,210030000,186635000,2763000,2763000,2763000,11796000,624061000,0.47203,0.00754000000000003,0.000279999999999999,0.00011,1.01509,1.5881,0.58472,0.00518000000000002,0.00518000000000002,0.68773,17.45159,0.00557,52.12301,86.12453
"33","2021_Q2",21.711746031746,"Up",16034000,-9907000,-539000,6127000,-3971000,-6193000,2235000,2156000,1358000,1358000,1358000,1357000,-2211000,72894000,72894000,72894000,1061572000,4390000,1057182000,1061572000,1134466000,8573000,8573000,11819000,628912000,76068000,76068000,704980000,716799000,27000,-61066000,476863000,415832000,417667000,1134466000,554000,6051000,987000,-936000,6656000,-8e+05,-5406000,4930000,-32429000,62426000,63676000,63676000,63676000,12178000,629012000,0.38213,-0.13789,-0.00529,-0.00195,6.16753,1.7162,0.55446,-0.08227,-0.08227,0.59662,15.47273,0.00366,45.66579,90.76514
"34","2021_Q3",22.5096875,"Up",16893000,-9495000,-580000,7398000,-6132000,-6141000,19999.9999999991,1266000,224000,224000,224000,225000,-3468000,66789000,66789000,66789000,1134845000,5038000,1129807000,1134845000,1201634000,10806000,10806000,12900000,627408000,80012000,80012000,707420000,720320000,30000.0000000596,-68533000,547779000,479284000,481314000,1201634000,-531000,6285000,1219000,3336000,10309000,25000,-79544000,-1634000,-1482000.00000003,63130000,-6105000.00000001,-6105000.00000001,-6105000.00000001,13683000,627508000,0.43793,-0.20529,-0.00721,-0.00289,5.17744,1.49657,0.52221,-0.11812,-0.11812,0.57536,16.32383,0.00348,40.97924,75.79332
"35","2021_Q4",26.15015625,"Up",19591000,-11207000,-462000,8384000,-6125000,-6126000,20000,2259000,2235000,2235000,2235000,2227000,-1639000,66491000,66491000,66491000,1195345000,4742000,1190603000,1195345000,1261836000,8409000,8409000,11690000,645967000,78732000,78732000,724699000,736389000,32000,-74427000,597706000,523320000,525447000,1261836000,1503000,6944000,206000,-5262000,3391000,-1100000,-64551000,18571000,-1966000,60862000,-298000,-298000,-298000,15328000,646067000,0.42795,-0.08366,-0.00312,-0.0013,5.68785,1.40145,0.51201,-0.05226,-0.05226,0.62466,16.68592,0.00456,37.81159,69.12882
"36","2022_Q1",31.4801612903226,"Up",22800000,-13005000,-558000,9795000,-6425000,-6423000,16000.0000000002,3370000,2765000,2765000,2765000,2754000,-1445000,16708000,16708000,16708000,51043999.9999998,4456000,46588000,1334842000,1351550000,10874000,10874000,15098000,667982000,20708000,20708000,688690000,703788000,668309000,-80588075.6846627,-81503000,645511000,647762000,1351550000,1988000,7903000,912000,1218000,12021000,-179000,-145500000,22116000,26160000,83696000,-49783000,-49783000,-49783000,17698000,667982000,0.42961,-0.06338,-0.00223,-0.00107,1.10664,1.08649,0.49423,-0.03817,-0.03817,0.60234,15.50259,0.00483,36.7993,66.49045
"37","2022_Q2",29.573064516129,"Down",19943000,-13364000,-684000,6579000,-3710000,-6448000,2767000,2869000,1939000,1939000,1939000,1930000,-2737000,49381000,49381000,49381000,56341000,4190000,52151000,1336367000,1385748000,12707000,12707000,12707000,660098000,22219000,22219000,682317000,695024000,713805000,-87868000,3694000,688476000,690724000,1385748000,1187000,8346000,1250000,-3230000,7553000,-113000,-3631000,-7788000,-4021000,28751000,32673000,32673000,32673000,14925000,660098000,0.32989,-0.13724,-0.00396,-0.00198,3.88613,1.00623,0.47635,-0.08727,-0.08727,0.63589,20.07597,0.00402,40.91906,92.82824
"38","2022_Q3",23.06484375,"Down",20293000,-12161000,-569000,8132000,-6461000,-6523000,62000,1671000,1364000,1364000,1364000,1367000,-3873000,48444000,48444000,48444000,60937000,5031000,55906000,1361877000,1410321000,14575000,14575000,14575000,661946000,22966000,22966000,684912000,699487000,742070000,-96442000,6256000.00000006,710834000,710834000,1410321000,613000,8392000,578000,2219000,11802000,-707000,-31627000,1795000,-10610000,18888000,-937000,-937000,-937000,16524000,661946000,0.40073,-0.19085,-0.00545,-0.00275,3.32377,0.98404,0.46936,-0.12349,-0.12349,0.64705,20.78551,0.00355,37.12794,75.44294
