"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",12.6912903225806,"Up",238468000,-83489000,-3558000,-79931000,154979000,-2110000,-3534000,1453000,-29000,152869000,-62692000,90177000,-31984000,58193000,58193000,-2420000,55773000,55773000,367777000,183484000,184293000,32382000,32382000,13900000,12211000,1689000,414059000,39077000,751850000,645459000,95037000,790927000,1204986000,142639000,44412000,98227000,23631000,23631000,166270000,286875000,128362000,94685000,33677000,415237000,581507000,267751000,-770128000,1125886000,-3695000,619814000,3665000,623479000,1204986000,58193000,2570000,88111000,7729000,156603000,-2791000,-18452000,-24989000,-10625000,-2619000,-2619000,-1681000,-39914000,98237000,98237000,98237000,157549000,286875000,194471000,0.64989,0.23388,0.08945,0.04629,3.48683,2.49028,0.93268,0.23807,0.55541,0.55541,2.37478,6.1724,1.93663,0.24885,0.07775,0.18722,0.44805,-0.5135,-0.52202
"12","2013_Q1",15.1688333333333,"Up",244825000,-97997000,-3611000,-94386000,146828000,-4132000,-3506000,2487000,-3113000,142696000,-61780000,80916000,-28961000,51955000,51955000,-2375000,49580000,49580000,207555000,67585000,139970000,24120000,24120000,68387000,12986000,55401000,300062000,38912000,751087000,648820000,91685000,789999000,1090061000,155927000,45255000,110672000,25207000,25207000,181134000,276250000,128733000,99399000,29334000,404983000,586117000,273886000,-760022000,984505000,-2937000,495432000,8512000,503944000,1090061000,51955000,2565000,1679000.00000001,20251000,76450000,-2200000,169000,-181857000,-10625000,139000,-1456000,-175000,-192518000,-115899000,-115899000,-115899000,149393000,276250000,196405000,0.59973,0.20251,0.09838,0.04548,3.96138,1.65657,1.16306,0.25343,0.49394,0.49394,2.43905,4.93571,1.95667,1.81174,0.25463,0.21608,3.66795,0.45983,0.46786
"13","2013_Q2",16.5125,"Up",227972000,-101533000,-3422000,-98111000,126439000,-1758000,-3253000,1535000,-40000,124681000,-55347000,69334000,-24646000,44688000,44688000,-1694000,42994000,42994000,190392000,56427000,133965000,24607000,24607000,131248000,10252000,120996000,346247000,40737000,750284000,648824000,91576000,791021000,1137268000,110755000,44810000,65945000,26786000,26786000,137541000,265625000,135119000,110774000,24345000,400744000,538285000,279773000,-751418000,991018000,-436000,518937000,80046000,598983000,1137268000,44688000,2492000,10816000,-38223000,19773000,-3083000,4451000,-25063000,-10625000,-2473000,-2473000,2779000,-35382000,-11158000,-11158000,-11158000,128931000,265625000,112271000,0.55463,0.18859,0.07178,0.0378,2.61132,2.51741,0.89866,0.23356,0.42772,0.42772,2.26797,5.16263,1.11692,0.24934,0.06808,0.1123,0.58294,0.58351,0.59501
"14","2013_Q3",18.68421875,"Up",223805000,-103969000,-3936000,-100033000,119836000,-1459000,-3137000,1708000,-30000.0000000005,118377000,-51457000,66920000,-25059000,41861000,41861000,-1453000,40408000,40408000,212132000,87394000,124738000,23732000,23732000,115374000,19602000,95772000,351238000,40921000,750047000,648824000,91997000,790968000,1142206000,123162000,40625000,82537000,23164000,23164000,146326000,2.55e+08,136218000,112891000,23327000,391218000,537544000,285067000,-754194000,1006271000,-2343000,534801000,69861000,604662000,1142206000,41861000,2503000,1642000,1699999.99999999,47706000,-2903000,20252000,-25145000,-10625000,-2194000,-2194000,973000.000000002,-36991000,30967000,30967000,30967000,122339000,2.55e+08,146195000,0.53545,0.18055,0.06683,0.03538,3.61797,2.40038,0.889,0.22325,0.4012,0.4012,2.22212,5.30994,1.45154,0.24966,0.06582,0.1468,0.62228,0.3504,0.35772
"15","2013_Q4",18.185,"Down",211866000,-103057000,-3975000,-99082000,108809000,-4804000,-3078000,1407000,-3133000,104005000,-45459000,58546000,-20916000,37630000,37630000,74000,37704000,37704000,224223000,78262000,145961000,27019000,27019000,143627000,12146000,131481000,394869000,4.1e+07,747234000,649014000,89627000,788234000,1183103000,154924000,40744000,114180000,21308000,21308000,176232000,226667000,139844000,117062000,22782000,366511000,542743000,290254000,-755878000,1017816000,-2001000,550191000,90169000,640360000,1183103000,37630000,2701000,290000,14107000,54728000,-2793000,-36093000,-26158000,-10625000,-2185000,-2230000,11201000,-27767000,-9132000,-9132000,-9132000,111510000,226667000,143740000,0.51357,0.17796,0.05888,0.03187,3.81233,2.24062,0.84756,0.19159,0.3745,0.3745,2.10441,5.46491,1.42773,0.25982,0.06343,0.14276,0.69377,0.02192,0.02246
"16","2014_Q1",18.7606557377049,"Up",214722000,-96009000,-3761000,-92248000,118713000,-1693000,-2996000,1940000,-637000,117020000,-52805000,64215000,-22039000,42176000,42176000,-1105000,41071000,41071000,238702000,104443000,134259000,29320000,29320000,71296000,12860000,58436000,339318000,40088000,756391000,658743000,89641000,796479000,1135797000,184553000,36364000,148189000,29652000,29652000,214205000,198333000,141398000,121203000,20195000,339731000,553936000,295958000,-751239000,1022608000,-1208000,566119000,15742000,581861000,1135797000,42176000,2739000,83170000,10680000,138765000,-1537000,9279000,-26149000,-10625000,-4598000,-6098000,-80491000,-121863000,26181000,26181000,26181000,121452000,198333000,152634000,0.55287,0.19128,0.07059,0.03616,3.71634,1.58408,0.95201,0.17462,0.40761,0.4076,2.13102,5.61849,1.51483,0.25952,0.07294,0.16562,0.63668,-0.33239,-0.34006
"17","2014_Q2",19.6428571428571,"Up",211496000,-103654000,-3439000,-100215000,107842000,-1117000,-2812000,1700000,-5000,106725000,-49284000,57441000,-21796000,35645000,35645000,-451000,35194000,35194000,203120000,71575000,131545000,28653000,28653000,68587000,10401000,58186000,300360000,38590000,755923000,658743000,89711000,794513000,1094873000,158963000,37387000,121576000,27217000,27217000,186180000,1.7e+08,146173000,128781000,17392000,316173000,502353000,303257000,-745121000,1018448000,-788000,575796000,16724000,592520000,1094873000,35645000,2744000,12223000,-32862000,17750000,-1212000,-7087000,-26199000,-10625000,-8229000,-8709000,1522000,-43531000,-32868000,-32868000,-32868000,110586000,1.7e+08,98308000,0.5099,0.16641,0.0594,0.03214,2.79332,1.61328,0.84782,0.15527,0.34941,0.3494,2.09974,5.71652,0.976,0.2601,0.06756,0.10819,0.74442,-0.2995,-0.30712
"18","2014_Q3",20.42546875,"Up",212981000,-101946000,-2959000,-98987000,111035000,-1052000,-2850000,1802000,-4000,109983000,-49684000,60299000,-22985000,37314000,37314000,-445000,36869000,36869000,207999000,61081000,146918000,27972000,27972000,72752000,12265000,60487000,308723000,37205000,759210000,658837000,93419000,796415000,1105138000,104545000,37228000,67317000,14177000,14177000,118722000,229500000,152082000,133262000,18820000,381582000,500304000,309117000,-751004000,1029014000,122000,587249000,17585000,604834000,1105138000,37314000,2686000,3477000,4011000,47488000,-1145000,-15354000,-26267000,-10625000,-5920000,-5920000,184000,-42628000,-10494000,-10494000,-10494000,113721000,229500000,139572000,0.52134,0.17311,0.06096,0.03336,3.78562,2.60039,0.82718,0.20767,0.3658,0.3658,2.11314,5.82652,1.38479,0.26061,0.06401,0.14149,0.71244,0.18907,0.19364
"19","2014_Q4",21.260625,"Up",216915000,-102600000,-3270000,-99330000,114315000,-933000,-2162000,1234000,-5000,113382000,-53926000,59456000,-22197000,37259000,37259000,301000,37560000,37560000,237546000,90465000,147081000,28635000,28635000,129006000,8827000,120179000,395187000,36633000,759798000,658837000,94468000,796431000,1191618000,121642000,37683000,83959000,15939000,15939000,137581000,223125000,156868000,136893000,19975000,379993000,517574000,314181000,-758138000,1040354000,-1325000,595072000,78972000,674044000,1191618000,37259000,2581000,-17430000,24042000,46452000,-1894000,12662000,-26225000,-6375000,-4472000,-4569000,7342000,-29730000,29384000,29384000,29384000,116896000,223125000,161241000,0.527,0.17316,0.05572,0.03152,4.29289,2.8724,0.76786,0.18725,0.37288,0.37287,2.15345,5.90765,1.60074,0.26035,0.06051,0.15297,0.69822,-0.12337,-0.12615
"20","2015_Q1",22.9939344262295,"Up",217858000,-102460000,-3662000,-98798000,115398000,-467000,-1787000,1335000,-15000,114931000,-52775000,62156000,-22552000,39604000,39604000,9000.00000000012,39613000,39613000,265485000,115267000,150218000,27965000,27965000,48605000,12931000,35674000,342055000,38638000,759826000,658837000,94949000,798464000,1140519000,136091000,34930000,101161000,13230000,13230000,149321000,216750000,161099000,140849000,20250000,377849000,527170000,271020000,-165258000,505394000,-1662000,609494000,3855000,613349000,1140519000,39604000,2693000,24770000,13725000,80792000,-4599000,-6639000,-26149000,-6375000,-6572000,-8041000,-10255000,-49351000,24802000,24802000,24802000,118091000,216750000,149769000,0.52969,0.18183,0.06458,0.03473,3.7808,2.29074,0.85949,0.19005,0.39361,0.3936,2.1647,6.05612,1.48815,0.25982,0.06635,0.1511,0.66011,-0.41269,-0.42232
"21","2015_Q2",24.054126984127,"Up",220522000,-107989000,-3471000,-104518000,112533000,-242000,-1373000,1144000,-13000,112291000,-53749000,58542000,-22124000,36418000,36418000,-111000,36307000,36307000,243670000,91833000,151837000,28611000,28611000,50610000,11001000,39609000,322891000,37354000,758862000,658837000,94432000,796216000,1119107000,92501000,39215000,53286000,21845000,21845000,114346000,210375000,165376000,149371000,16005000,375751000,490097000,280845000,-162915000,503290000,-1146000,620074000,8936000,629010000,1119107000,36418000,2507000,12036000,-36298000,14663000,-1008000,-1951000,-26202000,-6375000,-10195000,-10276000,6626000,-36146000,-23434000,-23434000,-23434000,115040000,210375000,99858000,0.5103,0.16464,0.05772,0.03244,2.75038,2.82381,0.77916,0.18798,0.36076,0.36075,2.19117,6.16125,0.99222,0.26035,0.06221,0.09938,0.72168,-0.28942,-0.29587
"22","2015_Q3",22.51765625,"Down",228127000,-104790000,-3504000,-101286000,123337000,401000,-974000,1390000,-15000,123738000,-55038000,68700000,-26437000,42263000,42263000,-504000,41759000,41759000,261508000,109087000,152421000,29877000,29877000,54790000,12784000,42006000,346175000,37434000,759212000,659237000,94741000,796646000,1142821000,108168000,39773000,68395000,15652000,15652000,123820000,2.04e+08,170756000,152521000,18235000,374756000,498576000,286832000,-173272000,518623000,-1183000,6.31e+08,13245000,644245000,1142821000,42263000,2344000,6189000,7121000.00000001,57917000,-2222000,-3197000,-26246000,-6375000,-9192000,-9193000,4347000,-37466000,17254000,17254000,17254000,125681000,2.04e+08,157017000,0.54065,0.18305,0.06482,0.03654,3.76008,2.79579,0.77389,0.17851,0.41456,0.41455,2.26469,6.26415,1.55876,0.26055,0.06674,0.15409,0.62851,-0.45757,-0.46627
"23","2015_Q4",21.37984375,"Down",234321000,-101254000,-3310000,-97944000,133067000,256000,-978000,1243000,-9000,133323000,-63115000,70208000,-26072000,44136000,44136000,-5000,44131000,44131000,296124000,141157000,154967000,28407000,28407000,38363000,9309000,29054000,362894000,36458000,757348000,659315000,93122000,793806000,1156700000,125816000,39511000,86305000,15845000,15845000,141661000,197625000,171259000,152207000,19052000,368884000,510545000,292162000,-189613000,536607000,-3545000,635611000,10544000,646155000,1156700000,44136000,2333000,6815000,26359000,79643000,-1388000,-2161000,-26159000,-6375000,-17620000,-17637000,4742000,-45412000,32070000,32070000,32070000,135400000,197625000,186443000,0.56788,0.18834,0.0683,0.03815,4.22476,2.56171,0.79013,0.17085,0.43934,0.43933,2.33274,6.3277,1.8561,0.26042,0.06925,0.18368,0.59276,-0.72747,-0.74022
"24","2016_Q1",18.8296721311475,"Down",243639000,-100685000,-3645000,-97040000,142954000,309000,-974000,1279000,4000,143263000,-65807000,77456000,-28287000,49169000,49169000,-1559000,47610000,47610000,321447000,172628000,148819000,33524000,33524000,40857000,10722000,30135000,395828000,35743000,755632000,659315000,91722000,791375000,1187203000,144742000,43551000,101191000,14466000,14466000,159208000,191250000,179039000,158895000,20144000,370289000,529497000,298579000,-191939000,545785000,-4609000,647816000,9890000,657706000,1187203000,49169000,2351000,14409000,15032000,80961000,-1408000,1578000,-26021000,-6375000,-15309000,-16762000,-3363000,-51068000,31471000,31471000,31471000,145305000,191250000,187216000,0.58675,0.19541,0.07239,0.0401,3.93228,2.48623,0.80507,0.16109,0.47573,0.47571,2.43449,6.47311,1.8707,0.26001,0.07163,0.18212,0.54654,-0.89603,-0.91076
"25","2016_Q2",22.0765625,"Up",272109000,-109173000,-3442000,-105731000,162936000,509000,-1059000,1573000,-5000,163445000,-87290000,76155000,-27196000,48959000,48959000,-3516000,45443000,45443000,286885000,147762000,139123000,41396000,41396000,70309000,10996000,59313000,398590000,37417000,754607000,659315000,91001000,792024000,1190614000,105909000,52974000,52935000,25717000,25717000,131626000,184875000,185383000,168192000,17191000,370258000,501884000,306001000,-193700000,552263000,-3182000,661382000,27348000,688730000,1190614000,48959000,2351000,12667000,-37736000,26241000,-3257000,-4030000,-25990000,-6375000,-13728000,-13728000,-984000,-47077000,-24866000,-24866000,-24866000,165287000,184875000,151490000,0.59879,0.167,0.06598,0.03817,3.33363,3.0282,0.72871,0.15528,0.45533,0.45533,2.72649,6.62694,1.51791,0.26042,0.06745,0.14305,0.57193,-0.61717,-0.62607
"26","2016_Q3",22.7940625,"Up",286738000,-104327000,-3938000,-100389000,182411000,652000,-1020000,1674000,-2000,183063000,-95310000,87753000,-31335000,56418000,56418000,-3709000,52709000,52709000,295572000,153860000,141712000,39469000,39469000,71398000,11214000,60184000,406439000,38315000,755083000,659189000,91907000,793398000,1199837000,121734000,52643000,69091000,13342000,13342000,135076000,178500000,187484000,170279000,17205000,365984000,501060000,311600000,-219616000,577856000,-2056000,667784000,30993000,698777000,1199837000,56418000,2508000,6697000,-2712000,62911000,-3820000,-4433000,-25996000,-6375000,-21320000,-21469000,1311000,-52380000,6098000.00000001,6098000.00000001,6098000,184919000,178500000,209722000,0.63616,0.18382,0.07543,0.04393,3.97887,3.00897,0.71705,0.14877,0.52925,0.52924,2.87913,6.7052,2.10581,0.26102,0.07392,0.19697,0.4932,-0.6331,-0.6418
"27","2016_Q4",20.8452380952381,"Down",294620000,-107244000,-3371000,-103873000,187376000,838000,-1039000,1857000,20000,188214000,-96709000,91505000,-32597000,58908000,58908000,-3983000,54925000,54925000,321531000,185104000,136427000,39040000,39040000,71920000,9718000,62202000,432491000,39738000,758288000,659189000,95340000,798026000,1230517000,141711000,54430000,87281000,10623000,10623000,152334000,172125000,195220000,172853000,22367000,367345000,519679000,315796000,-242703000,607161000,-594000,679660000,31178000,710838000,1230517000,58908000,2239000,3484000,21735000,86366000,-3314000,3779000,-25781000,-6375000,-26170000,-26243000,-575000,-58901000,31244000,31244000,31244000,189615000,172125000,240633000,0.63599,0.18643,0.07727,0.04464,4.38112,2.8391,0.73108,0.13988,0.55589,0.55589,2.98183,6.8788,2.43543,0.26093,0.07485,0.22318,0.46939,-0.78794,-0.79736
"28","2017_Q1",20.6411290322581,"Down",289904000,-103296000,-3771000,-99525000,186608000,1144000,-1055000,2152000,47000,187752000,-102231000,85521000,-28292000,57229000,57229000,-1387000,55842000,55842000,243077000,104839000,138238000,44804000,44804000,71879000,9994000,61885000,359760000,39280000,756067000,659189000,93308000,795347000,1155107000,154422000,54177000,100245000,8116000,8116000,162538000,165750000,199673000,176686000,22987000,365423000,527961000,320982000,-255382000,529749000,-523000,594826000,32320000,627146000,1155107000,57229000,2480000,18006000,12438000,90153000,-2448000,-16355000,-127701000,-6375000,-19117000,-20331000,-815000,-154008000,-80210000,-80210000,-80210000,189088000,165750000,227370000,0.64369,0.19262,0.08904,0.04834,4.07167,2.21339,0.84185,0.14349,0.56828,0.56827,2.95023,6.05328,2.31385,1.29956,0.18492,0.22907,2.28683,-0.40895,-0.41438
