"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q1",19.5049180327869,"Up",130710000,-60906000,69804000,-80204000,-58517000,-35854000,-22663000,-21687000,-10400000,196000,-2582000,-10204000,-10204000,-1574000,-11778000,-11778000,-11778000,-11778000,129592000,129592000,141344000,141344000,468000,27604000,27604000,299008000,35978000,701173000,206448000,416487000,78238000,737151000,1036159000,102672000,16177000,86495000,157865000,157865000,260537000,82915000,16064000,66851000,82915000,343452000,885377000,-176263000,-2884000,692707000,692707000,1036159000,-11778000,10335000,6560000,26043000,31160000,-3226000,-1073000,-1707000,-16274000,13813000,13813000,13813000,-65000,0,24326000,0.53404,-0.07957,-0.09011,-0.017,-0.01137,-2.06538,1.14766,0.49581,0,-0.14615,-0.14615,1.62197,8.59577,0.30186,-0.01519,0.03136,1993.72308,12.46077
"12","2019_Q2",16.621746031746,"Down",132842000,-62841000,70001000,-84473000,-61831000,-38193000,-23638000,-22642000,-14472000,268000,268000,-14204000,-14204000,5934000,-8270000,-8270000,-8270000,-8270000,111176000,111176000,135270000,135270000,632000,24852000,24852000,271930000,35612000,731458000,199514000,416487000,115457000,767070000,1.039e+09,89136000,25152000,63984000,161493000,161493000,250629000,107626000,15801000,91825000,107626000,358255000,882828000,-184533000,-3117000,680745000,680745000,1.039e+09,-8270000,10365000,-169000,-4951000,-3025000,-7016000,-7016000,-7465000,-8375000,-18416000,-18416000,-18416000,-4107000,0,-22008000,0.52695,-0.10894,-0.06225,-0.01215,-0.00796,2.66119,1.08499,0.52627,0,-0.10278,-0.10278,1.65089,8.45993,-0.2735,-0.01049,-0.02792,27.0698799999996,7.68214
"13","2019_Q3",12.33328125,"Down",136605000,-63595000,73010000,-88056000,-63193000,-38047000,-25146000,-24863000,-15046000,1950000,1950000,-13096000,-13096000,2836000,-10260000,-10260000,-10260000,-10260000,117716000,117716000,120104000,120104000,1090000,24591000,24591000,263501000,33210000,724564000,192580000,416487000,115497000,757774000,1021275000,80981000,19224000,61757000,165206000,165206000,246187000,106777000,15997000,90780000,106777000,352964000,887826000,-194793000,-4826000,668311000,668311000,1021275000,-10260000,10783000,3130000,12604000,16257000,-3643000,-3643000,-607000,-6074000,6540000,6540000,6540000,-4263000,0,1862000,0.53446,-0.11014,-0.07511,-0.01535,-0.01005,-0.18148,1.07033,0.52814,0,-0.12718,-0.12718,1.69328,8.28399,0.02308,-0.01324,0.0024,27.61342,7.82374
"14","2019_Q4",12.91171875,"Up",141332000,-61568000,79764000,-89899000,-65804000,-40726000,-25078000,-24095000,-10135000,-1257000,-2218000,-11392000,-11392000,3484000,-7908000,-7908000,-7908000,-7908000,138788000,138788000,118396000,118396000,906000,26177000,26177000,284267000,30580000,715159000,187135000,416487000,111537000,745739000,1030006000,91573000,20407000,71166000,169576000,169576000,261149000,101885000,14276000,87609000,101885000,363034000,892793000,-202701000,-3224000,666972000,666972000,1030006000,-7908000,10869000,3781000,15878000,22620000,-1423000,-1423000,-125000.000000001,-125000,21072000,21072000,21072000,734000,0,11705000,0.56437,-0.07171,-0.05595,-0.01186,-0.00768,-1.48015,1.08852,0.5443,0,-0.09822,-0.09822,1.75531,8.28362,0.14537,-0.01029,0.01522,-189.08447,13.69393
"15","2020_Q1",14.2440322580645,"Up",141986000,-64792000,77194000,-89715000,-66351000,-40708000,-25643000,-23364000,-12521000,-111000,-2983944.30112461,-12632000,-12632000,7404000,-5228000,-5228000,-5228000,-5228000,181838000,181838000,111798000,111798000,746000,27449000,27449000,321831000,27606000,698594000,180052000,416487000,102055000,726200000,1048031000,117545000,18690000,98855000,175847000,175847000,293392000,87759000,12690000,75069000,87759000,381151000,897795000,-207929000,-3090000,666880000,666880000,1048031000,-5228000,10915000,15422000,21878000,42987000,-508000,-508000,-756000,571000,43050000,43050000,43050000,-1606000,0,12360000,0.54367,-0.08818,-0.03682,-0.00784,-0.00499,-2.36419,1.09693,0.57154,0,-0.06487,-0.06487,1.76177,8.27466,0.15336,-0.00693,0.01638,113.22416,14.52264
"16","2020_Q2",11.8903174603175,"Down",141181000,-62909000,78272000,-89041000,-64968000,-37452000,-27516000,-24073000,-10769000,993000,-666311.094920425,-9776000,-9776000,2240000,-7536000,-7536000,-7536000,-7536000,155990000,155990000,116791000,116791000,812000,27404000,27404000,300997000,24541000,688391000,173069000,416487000,98835000,712932000,1013929000,90950000,26629000,64321000,175671000,175671000,266621000,87790000,14260000,73530000,87790000,354411000,899191000,-215465000,-4312000,659518000,659518000,1013929000,-7536000,10486000,3700000,-26987000,-20337000,-1020000,-1020000,-4491000,-4491000,-25848000,-25848000,-25848000,-283000,0,-30530000,0.55441,-0.07628,-0.05338,-0.01143,-0.00743,4.05122,1.12893,0.53738,0,-0.09311,-0.09311,1.74431,8.14843,-0.3772,-0.01008,-0.04085,551.20141,14.4851
"17","2020_Q3",12.1315625,"Up",138476000,-59900000,78576000,-81533000,-57424000,-35624000,-21800000,-24109000,-2957000,30000,1023000,-2927000,-2927000,1700000,-1227000,-1227000,-1227000,-1227000,181494000,181494000,108406000,108406000,705000,28134000,28134000,318739000,22184000,680803000,165898000,416487000,98418000,702987000,1021726000,98652000,19696000,78956000,174948000,174948000,273600000,82559000,11329000,71230000,82559000,356159000,904731000,-216692000,-2576000,665567000,665567000,1021726000,-1227000,10386000,4176000,13025000,26360000,-689000,-689000,-167000,-167000,25504000,25504000,25504000,7429000,0,18065000,0.56743,-0.02135,-0.00886,-0.00184,-0.0012,-14.7229,1.16498,0.53512,0,-0.01507,-0.01507,1.70085,8.17489,0.22189,-0.00164,0.02415,-24.43048,61.37775
"18","2020_Q4",11.9028125,"Down",141641000,-59613000,82028000,-86926000,-59318000,-34810000,-24508000,-27608000,-4898000,-79000.0000000001,-79000,-4977000,-4977000,1369000,-3608000,-3608000,-3608000,-3608000,188048000,188048000,107907000,107907000,690000,25992000,25992000,322637000,19669000,689151000,164928000,425314000,98909000,708820000,1031457000,109082000,20874000,88208000,173536000,173536000,282618000,81690000,9930000,71760000,81690000,364308000,910508000,-220300000,-3163000,667149000,667149000,1031457000,-3608000,10106000,5321000,10592000,22411000,-472000,-15553000,-304000,-304000,6553999.99999999,6553999.99999999,6553999.99999999,5208000,0,13959000,0.57913,-0.03458,-0.02547,-0.00541,-0.0035,-3.8689,1.1416,0.54607,0,-0.04428,-0.04428,1.73848,8.18849,0.17133,-0.00482,0.01864,-36.1075300000001,38.39281
"19","2021_Q1",14.4595081967213,"Up",139736000,-59745000,79991000,-94202000,-64984000,-37048000,-27936000,-29218000,-14211000,90000,-944000,-14121000,-14121000,4590000,-9531000,-9531000,-9531000,-9531000,220300000,220300000,108005000,108005000,560000,17349000,17349000,346214000,17143000,682004000,157820000,425861000,98323000,699147000,1045361000,125903000,16769000,109134000,168437000,168437000,294340000,83240000,9590000,73650000,83240000,377580000,918168000,-229831000,-660000,667781000,667781000,1045361000,-9531000,10636000,45277000,-14227000,32155000,-824000,-824000,-548000,921000,32252000,32252000,32252000,-3575000,0,-23216000,0.57244,-0.1017,-0.06821,-0.01427,-0.00912,2.43584,1.17624,0.56542,0,-0.1168,-0.1168,1.71237,8.18319,-0.2845,-0.01269,-0.03091,61.62238,15.50208
"20","2021_Q2",15.5631746031746,"Up",139463000,-57207000,82256000,-90112000,-61960000,-36405000,-25555000,-28152000,-7856000,-907000,-907000,-8763000,-8763000,2373000,-6390000,-6390000,-6390000,-6390000,180607000,180607000,94901000,94901000,687000,16920000,16920000,293115000,15243000,676453000,152247000,426278000,97928000,691696000,984811000,77667000,17473000,60194000,166211000,166211000,243878000,79884000,8193000,71691000,79884000,323762000,917363000,-236222000,-196000,661049000,661049000,984811000,-6390000,9918000,4894000,-38980000,-30558000,-2294000,-2294000,-6841000,-6841000,-39693000,-39693000,-39693000,2062000,0,-41585000,0.58981,-0.05633,-0.04582,-0.00967,-0.00649,6.50782,1.20189,0.48977,0,-0.07854,-0.07854,1.71419,8.12519,-0.51114,-0.00862,-0.05613,-87.58826,22.98969
"21","2021_Q3",20.68,"Up",134172000,-56483000,77689000,-91590000,-61173000,-34297397.6023437,-20520594.2749084,-30417000,-13901000,-601000,-601000,-14502000,-14502000,2739000,-11763000,-11763000,-11763000,-11763000,196961000,196961000,97835000,97835000,627000,17143000,17143000,312566000,13149000,668878000,146128000,426149000,96601000,682027000,994593000,91861000,15446000,76415000,168001000,168001000,259862000,77213000,7418000,69795000,77213000,337075000,925972000,-247984000,-574000,657518000,657518000,994593000,-11763000,9945000,7499000,11600000,17281000,1261000,-1957000,-3104000,1030000,16354000,16354000,16354000,-3956000,0,6166000,0.57903,-0.10361,-0.08767,-0.01789,-0.01183,-0.52419,1.20282,0.51265,0,-0.14261,-0.14261,1.62668,7.97165,0.07476,-0.01601,0.00839,49.78792,14.16884
"22","2021_Q4",18.3,"Down",133699000,-52890000,80809000,-96179000,-63412000,-32927463.4697915,-16562659.0332112,-32767000,-15370000,-762000,-762000,-16132000,-16132000,3269000,-12863000,-12863000,-12863000,-12863000,205129000,205129000,95108000,95108000,515000,14515000,14515000,315267000,11048000,664372000,139853000,426228000,98291000,675420000,990687000,98191000,13063000,85128000,164359000,164359000,262550000,75806000,5399000,70407000,75806000,338356000,934269000,-260847000,-1195000,652331000,652331000,990687000,-12863000,10051000,8431000,5885000,11504000,-215000,-1571000,-1765000,-1765000,8168000.00000001,8168000.00000001,8168000.00000001,-5319000,0,-2918000,0.60441,-0.11496,-0.09621,-0.01972,-0.01298,0.226849999999999,1.20079,0.51869,0,-0.15595,-0.15595,1.62095,7.90877,-0.0353799999999999,-0.01767,-0.00401,38.56533,13.34606
"23","2022_Q1",14.2803225806452,"Down",127880000,-50546000,77334000,-92581000,-61423000,-34006297.6023437,-17052144.2749084,-31158000,-15247000,-1262000,2270000,-16509000,-16509000,7734000,-8775000,-8775000,-8775000,-8775000,220655000,220655000,86231000,86231000,505000,26040000,26040000,333431000,8426000,645445000,133732000,425926000,85787000,653871000,987302000,103184000,15062000,88122000,163304000,163304000,266488000,72757000,12764000,59993000,72757000,339245000,940247000,-269622000,-2672000,648057000,648057000,987302000,-8775000,10606000,12807000,3872000,18510000,-680000,-2192000,-792000,-792000,15526000,15526000,15526000,-4641000,0,-9183000,0.60474,-0.11923,-0.06862,-0.01354,-0.00889,1.0465,1.2512,0.52348,0,-0.10786,-0.10786,1.57182,7.9655,-0.11287,-0.01217,-0.01274,47.54471,14.47203
"24","2022_Q2",11.3682258064516,"Down",121015000,-49435000,71580000,-97936000,-64605000,-39245000,-25360000,-33331000,-26356000,-697000,-697000,-27053000,-27053000,5455000,-21598000,-21598000,-21598000,-21598000,186220000,186220000,74899000,74899000,373000,27075000,27075000,288567000,7241000,639078000,127643000,425877000,85558000,646319000,934886000,77923000,22859000,55064000,163055000,163055000,240978000,68605000,10412000,58193000,68605000,309583000,941931000,-291220000,-5512000,625303000,625303000,934886000,-21598000,9383000,10315000,-22979000,-24879000,-413000,-2114000,-7442000,-7442000,-34435000,-34435000,-34435000,-16973000,0,-45820000,0.5915,-0.21779,-0.17847,-0.03454,-0.0231,2.12149,1.19748,0.49509,0,-0.25785,-0.25785,1.44473,7.46515,-0.54702,-0.03113,-0.06603,10.97154,7.06556
"25","2022_Q3",9.9121875,"Down",116182000,-49579000,66603000,-98852000,-65214000,-50354670.6627606,-44857176.208486,-33638000,-32249000,131000,131000,-32118000,-32118000,7399000,-24719000,-24719000,-24719000,-24719000,167487000,167487000,71339000,71339000,475000,27283000,27283000,266584000,6150000,627847000,121144000,425878000,80825000,633997000,900581000,85505000,20883000,64622000,151026000,151026000,236531000,56457000,8881000,47576000,56457000,292988000,950098000,-315939000,-6670000,607593000,607593000,900581000,-24719000,9132000,8073000,-9021000,-16535000,-414000,-1553000,-645000,-645000,-18733000,-18733000,-18733000,-23117000,0,-39951000,0.57326,-0.27757,-0.21276,-0.04068,-0.02745,1.61621,1.12706,0.48221,0,-0.29259,-0.29259,1.37521,7.1919,-0.47289,-0.03722,-0.06016,7.24519,5.19356
