"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",2.53435483870968,"Down",238724000,-97504000,141220000,-95751000,-12310000,-79153000,45469000,-55486000,-55486000,-10017000,-10017000,-108000,-9920000,53335000,-14554000,38781000,24163000,102515000,102515000,158649000,158649000,297704000,5751208000,8600254000,-2849046000,516476000,478227000,6267684000,6565388000,264369000,235881000,444152000,4938181000,4938181000,5382333000,3716130000,875672000,307383000,1183055000,6565388000,53335000,79153000,-19482000,15041000,90265000,48552000,17008000,65560000,-34112000,-367999000,-366274000,-210449000,-210449000,-210449000,124622000,4938181000,188323000,0.59156,0.19047,0.10122,0.02042,0.00368,7.79386,0.67028,4.54952,0.75215,0.02291,0.02291,0.22638,0.76581,0.17859,0.00395,0.03077,38.80267,106.35083
"12","2013_Q1",2.86866666666667,"Up",214523000,-83805000,130718000,-87406000,-12111000,-72225000,43312000,-22868000,-40346000,20444000,22558000,506000,25864000,97248000,-28322000,68926000,68069000,84413000,84413000,145585000,145585000,229998000,5234961000,7872018000,-2637057000,936421000,936421000,6171382000,6401380000,344358000,313611000,753357000,4413083000,4413083000,5166440000,3714140000,915425000,319515000,1234940000,6401380000,97248000,113802000,-191585000,-38720000,74530000,-368140000,-41319000,75445000,-112134000,94956999.9999999,-168077000,-18101999.9999999,-18101999.9999999,-18101999.9999999,157114000,4413083000,-250252000,0.60934,0.2019,0.3173,0.05512,0.01063,-3.67644999999993,0.3053,4.18356,0.6894,0.06452,0.06452,0.20333,0.80309,-0.23719,0.03702,-0.04431,27.55114,99.94159
"13","2013_Q2",3.074375,"Up",237504000,-95301000,142203000,-89564000,-11779000,-75716000,52639000,-54197000,-51931000,-1558000,-1558000,-105000,-1663000,2833000,3059000,5892000,5050000,49558000,49558000,156143000,156143000,240178000,5497884000,8391014000,-2893130000,632331000,632331000,6130215000,6370393000,344652000,319417000,468304000,4713460000,4713460000,5181764000,3718023000,888380000,300249000,1188629000,6370393000,2833000,75716000,1725000,-31382000,48892000,-68989000,-7478000,-73569000,26675000,-2138000,-10178000,-34855000,-34855000,-34855000,128355000,4713460000,28089000,0.59874,0.22163,0.02126,0.00425000000000001,0.000790000000000001,5.56218,0.51287,4.35945,0.7399,0.00478,0.00478,0.2249,0.77674,0.0266,0.0069,0.00475999999999999,36.33596,88.60165
"14","2013_Q3",2.9384375,"Down",241745000,-95995000,145750000,-87037000,-11153000,-73832000,58713000,-56066000,-55081000,2647000,2647000,-169000,2478000,6979000.00000001,3969000,10948000,10107000,46923000,46923000,123112000,123112000,199941000,5540513000,8464622000,-2924109000,730261000,730261000,6270774000,6470715000,367888000,334473000,484126000,4843547000,4843547000,5327673000,3705485000,851371000,291671000,1143042000,6470715000,6979000.00000001,73832000,10501000,32822000,124134000,-118946000,-79316000,-193200000,117850000,-15701000,66431000,-2635000.00000003,-2635000.00000003,-2635000.00000003,132545000,4843547000,46590000,0.60291,0.24287,0.04181,0.00884,0.00156,4.60968,0.41299,4.66096,0.74853,0.00861999999999999,0.00862,0.20607,0.66767,0.03971,0.00765,0.00778,36.18865,81.69612
"15","2013_Q4",2.7378125,"Down",243943000,-94271000,149672000,-85162000,-10962000,-72040000,64510000,-57621000,-56060000,6889000,6889000,87000,6976000,79410000,-12178000,67232000,66392000,67622000,67622000,130511000,130511000,231058000,5510043000,8418984000,-2908941000,748405000,748405000,6258448000,6489506000,356348000,328910000,484856000,4829521000,4829521000,5314377000,3705852000,882147000,292982000,1175129000,6489506000,79410000,72040000,-64207000,-12146000,75097000,-146526000,1360000,-32390000,45942000,-32239000,-22008000,20699000,20699000,20699000,136550000,4829521000,-22209000,0.61355,0.26445,0.27216,0.0565,0.01023,-0.33451,0.47655,4.52238,0.7442,0.07054,0.0701,0.25917,0.86485,-0.0236,0.01701,-0.0037,34.87293,73.81645
"16","2014_Q1",2.95655737704918,"Up",250861000,-94484000,156377000,-83220000,-11776000,-70322000,73157000,-48498000,-56033000,24659000,24659000,2146000,26805000,148603000,-25385000,123218000,122124000,55751000,55751000,127037000,127037000,182788000,5391209000,8214081000,-2822872000,505416000,505416000,5896625000,6079413000,330756000,287595000,438531000,4388185000,4388185000,4826716000,3702798000,967457000,285240000,1252697000,6079413000,148603000,70322000,57859000,-13243000,77473000,-78031000,205804000,364351000,-379378000,-38598000,-453695000,-11871000,-11871000,-11871000,143479000,4388185000,50059000,0.62336,0.29162,0.48682,0.09749,0.02009,0.4099,0.41682,3.85306,0.72181,0.11551,0.11538,0.23727,0.85061,0.04735,0.02798,0.00887,30.1956,59.22105
"17","2014_Q2",3.21714285714286,"Up",248924000,-100520000,148404000,-83130000,-10527000,-70307000,65274000,-55992000,-54015000,9282000,9282000,2758000,12040000,81532000,-16605000,64927000,64234000,38402000,38402000,160816000,160816000,199218000,5369420000,8209491000,-2840071000,514514000,514514000,5883934000,6083152000,325410000,289615000,427757000,4394823000,4394823000,4822580000,3701830000,983096000,277476000,1260572000,6083152000,81532000,70307000,-66067000,-30971000,54801000,-108911000,-37260000,-46089000,36809000,-24204000,-26061000,-17349000,-17349000,-17349000,135581000,4394823000,-7059000,0.59618,0.26222,0.25805,0.05096,0.01056,-0.1099,0.46573,3.82571,0.72246,0.0607,0.06061,0.23522,0.87407,-0.00667,0.0182,-0.00125,32.1315,66.74052
"18","2014_Q3",3.51890625,"Up",246418000,-95521000,150897000,-85096000,-10119000,-71399000,65801000,-53205000,-53392000,12596000,12596000,5347000,17943000,84605000,-7563000,77042000,75010000,33826000,33826000,223580000,223580000,257406000,5264939000,7981015000,-2716076000,556320000,556320000,5821259000,6078665000,319689000,282531000,443736000,4206202000,4206202000,4649938000,3694316000,1140102000,288625000,1428727000,6078665000,84605000,71399000,-68538000,2012000,89478000,-91624000,-62373000,-15224000,-149574000,-14221000,-78829999.9999999,-4576000,-4576000,-4576000,137200000,4206202000,42241000,0.61236,0.26703,0.3044,0.0525,0.01234,0.56314,0.58009,3.2546,0.69196,0.07079,0.07063,0.23256,0.90033,0.03987,0.02018,0.0075,30.4109,63.40901
"19","2014_Q4",3.78921875,"Up",246843000,-96519000,150324000,-81444000,-10658000,-69437000,68880000,-54286000,-56019000,14594000,13181000,5005000,18186000,144515000,-16487000,128028000,124704000,29186000,29186000,166024000,166024000,195210000,5224875000,7840587000,-2615712000,517378000,517378000,5742253000,5937463000,328854000,288688000,452763000,3962236000,3962236000,4414999000,3695563000,1228251000,294213000,1522464000,5937463000,144515000,69437000,-127674000,2832000,89110000,-215547000,66703000,176988000,-216768000,-13822000,-270738000,-4640000,-4640000,-4640000,138317000,3962236000,-79403000,0.60899,0.27904,0.5052,0.08191,0.021,-0.63673,0.43115,2.8999,0.66733,0.11768,0.11733,0.23294,0.98342,-0.07493,0.03005,-0.01448,28.43504,57.10003
"20","2015_Q1",4.17475409836066,"Up",242178000,-88404000,153774000,-91379000,-12788000,-71465000,62395000,-51439000,-50667000,10956000,12369000,6937000,19306000,45459000,-6207000,39252000,36272000,28971000,28971000,91445000,91445000,120416000,5472779000,8144958000,-2672179000,503833000,503833000,5976612000,6097028000,320996000,279077000,431847000,4135139000,4135139000,4566986000,3697607000,1227735000,302307000,1530042000,6097028000,45459000,71465000,-34160000,5271000,88035000,-243762000,66408000,-101997000,66367000,-10945000,13747000,-215000.000000007,-215000.000000007,-215000.000000007,133860000,4135139000,-111568000,0.63496,0.25764,0.14977,0.02371,0.00595,-3.07587,0.27884,2.98488,0.67822,0.03421,0.0341,0.22841,0.98238,-0.10522,0.01375,-0.01969,30.67509,65.80925
"21","2015_Q2",4.08095238095238,"Down",244265000,-97095000,147170000,-86103000,-10652000,-74432000,61067000,-49531000,-51795000,11536000,11536000,6921000,18457000,104150000,-10890000,93260000,89344000,164490000,164490000,95428000,95428000,259918000,5484023000,8187957000,-2703934000,471512000,471512000,5955535000,6215453000,321064000,270204000,404601000,3888284000,3888284000,4292885000,4066974000,1615527000,307041000,1922568000,6215453000,104150000,74432000,-94188000,-19743000,64651000,-114709000,1847000,20443000,-234715000,-34860000,50425000,135519000,135519000,135519000,135499000,3888284000,-5874000,0.6025,0.25,0.36577,0.04647,0.01437,-0.06575,0.64241,2.23289,0.62558,0.07984,0.07961,0.21829,1.30155,-0.00525,0.02339,-0.00101,27.48208,60.97883
"22","2015_Q3",4.1178125,"Up",244783000,-89016000,155767000,-90124000,-12062000,-75150000,65643000,-47550000,-47900000,18093000,18093000,5814000,23907000,68688000,-4819000,63869000,60804000,46835000,46835000,89083000,89083000,135918000,5564185000,8230795000,-2666610000,457591000,457591000,6021776000,6157694000,315357000,280118000,385660000,3866007000,3866007000,4251667000,4066522000,1628910000,277117000,1906027000,6157694000,68688000,75150000,-47538000,-3647000,92653000,-202982000,4085000,-104291000,-22683000,-33856000,-106017000,-117655000,-117655000,-117655000,140793000,3866007000,-71650000,0.63635,0.26817,0.2484,0.0319,0.00987,-1.17838,0.35243,2.23064,0.62783,0.05374,0.0536,0.21636,1.29913,-0.06333,0.01911,-0.01241,27.12615,58.18095
"23","2015_Q4",4.22234375,"Up",246387000,-90526000,155861000,-91840000,-11013000,-77237000,64021000,-48531000,-46548000,15490000,15490000,8279000,23769000,23769000,-1844000,21925000,19179000,45241000,45241000,93230000,93230000,138471000,5580271000,8299922000,-2719651000,498920000,498920000,6079191000,6217662000,362057000,324746000,445062000,3935899000,3935899000,4380961000,4066293000,1601690000,235011000,1836701000,6217662000,23769000,77237000,-5885000,6019000,101140000,-106716000,-25155000,-131871000,87518000,-8829000,29137000,-1594000,-1594000,-1594000,141258000,3935899000,32282000,0.63259,0.25984,0.07784,0.01044,0.00308,1.6832,0.31113,2.38523,0.63302,0.01694,0.0169,0.21762,1.27412,0.02851,0.01191,0.00559,27.54292,60.77159
"24","2016_Q1",4.23770491803279,"Up",245875000,-47942000,197933000,-132449000,-12583000,-79482000,65484000,-46737000,-46493000,18747000,199340000,6510000,205850000,75376000,-5960000,69416000,78193000,50789000,50789000,86956000,86956000,137745000,5529461000,8307483000,-2778022000,451475000,451475000,5980936000,6118681000,353604000,317481000,417709000,3849141000,3849141000,4266850000,4066222000,1622391000,229440000,1851831000,6118681000,75376000,79482000,-49067000,-4344000,101447000,50562000,222171000,44822000,-77142000,-209189000,-140721000,5548000,5548000,5548000,144966000,3849141000,184674000,0.80501,0.26633,0.31802,0.04222,0.01278,2.36177,0.32976,2.30412,0.62908,0.06903,0.06888,0.21705,1.2917,0.16302,-0.01183,0.03239,26.20167,58.00428
"25","2016_Q2",4.61875,"Up",246239000,-80406000,165833000,-102299000,-11935000,-79828000,63534000,-45722000,-45799000,17812000,23999000,5886000,29885000,29885000,7656000,37541000,40221000,64454000,64454000,90158000,90158000,154612000,5527521000,8386163000,-2858642000,460080000,460080000,5987601000,6142213000,343396000,305604000,403357000,3917590000,3917590000,4320947000,4069762000,1603162000,218104000,1821266000,6142213000,29885000,79828000,-14936000,-20824000,73953000,-83615000,8443000,-65571000,67667000,-8104000,5283000,13665000,13665000,13665000,143362000,3917590000,33037000,0.67346,0.25802,0.16334,0.02208,0.00655000000000001,0.82139,0.38331,2.3725,0.63781,0.03549,0.03542,0.21727,1.27418,0.02915,0.01647,0.00576000000000001,26.87697,60.64683
"26","2016_Q3",5.06109375,"Up",251218000,-79708000,171510000,-107074000,-11616000,-80680000,64436000,-42145000,-47051000,22291000,238832000,7121000,245953000,245953000,43040000,288993000,291458000,55225000,55225000,375092000,375092000,430317000,5474290000,8131580000,-2657290000,369621000,369621000,5843911000,6274228000,249518000,206104000,313551000,3955638000,3955638000,4269189000,4068042000,1771156000,233883000,2005039000,6274228000,245953000,80680000,-218172000,-5649000,102812000,-92959000,-285271000,-89140000,44867000,-13483000,-22901000,-9229000,-9229000,-9229000,145116000,3955638000,39387000,0.68271,0.25649,1.16018,0.14536,0.04645,0.13514,1.3724,2.12923,0.63046,0.25621,0.25553,0.22084,1.4171,0.03462,0.058,0.00661,26.8779,60.53158
"27","2016_Q4",4.83619047619048,"Down",248904000,-82756000,166148000,-107416000,-11615000,-84848000,58732000,-46656000,-47214000,12076000,26574000,3462000,30036000,30036000,29046000,59082000,63391000,47908000,47908000,109511000,109511000,157419000,5755678000,8406509000,-2650831000,380750000,380750000,6136428000,6293847000,259990000,212046000,307498000,4055541000,4055541000,4363039000,4054218000,1682907000,247901000,1930808000,6293847000,30036000,84848000,-14648000,-545000,99691000,-377173000,270970000,-79550000,92632000,-66128000,-27458000,-7317000,-7317000,-7317000,143580000,4055541000,-237600000,0.66752,0.23596,0.25468,0.03283,0.01007,-3.74817,0.51194,2.2597,0.64437,0.05583,0.05567,0.21922,1.37212,-0.20927,0.0196,-0.03969,27.9122,68.23594
"28","2017_Q1",5.09258064516129,"Up",249493000,-83041322.5558652,163528284.51802,-432269000,-11618000,-87710000,60094000,-47998000,-48528000,12096000,175026000,2373000,177399000,177399000,-132605000,44794000,22711000,61244000,61244000,363674000,363674000,424918000,5755408000,8176765000,-2421357000,52492000,52492000,5807900000,6232818000,281567000,281567000,3930295000,254356000,254356000,4184651000,4053291000,1793903000,254264000,2048167000,6232818000,177399000,87710000,-164624000,-440000,100045000,199562000,260896000,135114000,-168860000,-16247000,-238873000,-3714000,-3714000,-3714000,147804000,254356000,344553000,0.663315713248732,0.24086,0.09103,0.01109,0.00364,15.17119,0.10811,2.04312,0.04081,0.02004,0.02,0.22019,1.4729,0.30409,0.03321,0.14964,1.30654,3.2135
"29","2017_Q2",5.02444444444444,"Down",246481000,-79626000,166855000,-109066000,-10962000,-87168000,57789000,-45225000,-45690000,12564000,12170000,4985000,17155000,17155000,6914000,24069000,26158000,65074000,65074000,288670000,288670000,353744000,5745171000,8241838000,-2496667000,88525000,88525000,5833696000,6187440000,261553000,261553000,3948875000,300582000,300582000,4249457000,4053215000,1688136000,249847000,1937983000,6187440000,17155000,87168000,-3395000,-27324000,73604000,-89956000,94000,-87683000,88279000,-8251000,21552000,7473000,7473000,7473000,144957000,300582000,22692000,0.67695,0.23446,0.10613,0.0135,0.00423,0.8675,0.08958,2.19272,0.0485800000000001,0.02366,0.02366,0.22291,1.41367,0.02052,0.03781,0.01014,1.62467,4.07531
"30","2017_Q3",5.18349206349206,"Up",249092000,-79082000,170010000,-110304000,-10108000,-89155000,59706000,-44646000,-44846000,15060000,16568000,5023000,21591000,21591000,7078000,28669000,30758000,63762000,63762000,317210000,317210000,380972000,5767352000,8235558000,-2468206000,50878000,50878000,5818230000,6199202000,262638000,262638000,3895175000,724391000,724391000,4619566000,3899191000,1494502000,85134000,1579636000,6199202000,21591000,89155000,-3021000,-3823000,103902000,-100626000,639000,-91251000,366626000,-326037000,-17893000,-5242000,-5242000,-5242000,148861000,724391000,39388999.9999999,0.68252,0.23969,0.12348,0.01947,0.00496,1.28061,0.09781,2.92445,0.11685,0.02633,0.02619,0.21326,1.17249,0.03372,0.03873,0.0171,4.43789,11.0647
"31","2017_Q4",5.15333333333333,"Down",254635000,-81244000,173391000,-114186000,-10529000,-92513000,59205000,-41698000,-48635000,17507000,17274000,4870000,22144000,22144000,5018000,27162000,29310000,55681000,55681000,325637000,325637000,381318000,5771527000,8320724000,-2549197000,16493000,16493000,5788020000,6169338000,227668000,227668000,3798258000,833854000,833854000,4632112000,3900011000,1454186000,83040000,1537226000,6169338000,22144000,92513000,5933000,-2947000,117643000,-95105000,-1819000,-96951000,48496000,-10499000,-20477000,215000,215000,215000,151718000,833854000,48796000,0.68094,0.23251,0.11511,0.01907,0.00475,1.66482,0.10039,3.01329,0.13516,0.02578,0.02569,0.22394,1.16897,0.04291,0.03702,0.02058,5.12907,13.1437
"32","2018_Q1",4.73016393442623,"Down",255229000,-80851007.479142,170220343.143962,-442017000,-12058000,-97348000,53164000,-47020000,-47112000,6144000,270231000,15958000,286189000,286189000,-50315000,235874000,220635000,76786000,76786000,356453000,338494000,433239000,5630268000,8152626000,-2522358000,15533000,15533000,5645801000,6079040000,232839000,232839000,3777948000,543802000,543802000,4321750000,3901614000,1663144000,94146000,1757290000,6079040000,286189000,97348000,-289472000,2858000,96923000,-81316000,381108000,288904000,-301303000,-17040000,-376882000,8945000,8945000,8945000,150512000,543802000,56096000,0.677990712825276,0.2083,0.86446,0.12555,0.03629,0.25425,0.11468,2.45933,0.08946,0.21766,0.21992,0.25179,1.51741,0.05534,0.12132,0.02438,3.10285,8.78444
"33","2018_Q2",4.84390625,"Up",247720000,-78287000,169433000,-116056000,-11355000,-92548000,53377000,-45399000,-45623000,7978000,58302000,37388000,95690000,95690000,23796000,119486000,121515000,70268000,70268000,439915000,439915000,510183000,5734738000,8331195000,-2596457000,10369000,10369000,5745107000,6255290000,224606000,224606000,3937399000,553866000,553866000,4491265000,3886852000,1670190000,93835000,1764025000,6255290000,95690000,92548000,-87428000,-19487000,81323000,-241198000,-218000,-171628000,165826000,-17231000,86795000,-3510000,-3510000,-3510000,145925000,553866000,-152148000,0.68397,0.21547,0.49053,0.06889,0.01943,-1.25209,0.12957,2.54603,0.08854,0.1099,0.1099,0.22403,1.39744,-0.1376,0.07909,-0.06564,3.31402,9.06004
