"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2018_Q4",5.35603174603175,"Down",461600000,-375700000,85900000,-72300000,-1.7e+07,-9e+05,-16100000,-36900000,-18400000,13600000,-1.1e+07,-11600000,-11800000,2e+05,6e+05,2600000,3e+05,2900000,-7e+05,2200000,2200000,2200000,-1200000,1e+06,18077000,18077000,233983000,233983000,55247000,21789000,312673000,562659000,531202000,212009000,274291000,44902000,1093861000,1406534000,114570000,25534000,89036000,58407000,172977000,610024000,155017000,134057000,20960000,765041000,938018000,6.5e+07,-29710000,433220000,468516000,468516000,1406534000,2200000,36900000,7e+05,-2.2e+07,17800000,-23900000,3800000,3800000,-27700000,-27700000,-76600000,-1200000,1e+05,-1900000,-60700000,-60700000,-60600000,50500000,668431000,5300000,0.18609,0.02946,0.00217,0.00213,0.00071,5.3,1.8076,2.0021,0.47523,0.01655,0.01655,7.64065,6.67921,0.08773,0.01986,0.0017,0.0041,1.2,12.8783,47.82015
"12","2019_Q1",4.50786885245902,"Down",4.47e+08,-370900000,76100000,-74800000,-18300000,-1100000,-17200000,-37300000,-19200000,1300000,-13500000,-12200000,-12300000,1e+05,-1300000,-12200000,-9600000,-21800000,1700000,-20100000,-20100000,-20100000,-1200000,-21300000,4.6e+07,4.6e+07,209200000,209200000,4.8e+07,21700000,308100000,572700000,510100000,208800000,258400000,42900000,1082800000,1390900000,108500000,22200000,86300000,63500000,193900000,622700000,127300000,126800000,500000.000000004,7.5e+08,943900000,6.5e+07,-5.1e+07,4.33e+08,4.47e+08,4.47e+08,1390900000,-20100000,37300000,7400000,33900000,58500000,3200000,10800000,10800000,-7600000,-7600000,3300000,-1200000,-33300000,-34800000,2.7e+07,2.7e+07,27900000,38600000,686200000,7.4e+07,0.17025,0.00291,-0.04765,-0.04765,-0.01531,-3.47418,1.58896,2.11163,0.49335,-0.3258,-0.25339,6.83714,5.84293,1.13188,0.01835,-0.01595,0.05871,-0.0563400000000001,16.58549,492.46154
"13","2019_Q2",4.73698412698413,"Up",4.33e+08,-355500000,77500000,-77200000,-17300000,-1200000,-16100000,-41500000,-18400000,3e+05,-11900000,-12500000,-12700000,2e+05,6e+05,-11600000,4e+05,-11200000,1900000,-9300000,-9300000,-9300000,-1200000,-10500000,62400000,62400000,218100000,218100000,27900000,8300000,313300000,598800000,587700000,204700000,258500000,124500000,1186500000,1499800000,120800000,29700000,91100000,64100000,233300000,631200000,197700000,125400000,72300000,828900000,1062200000,6.5e+07,-61500000,434100000,437600000,437600000,1499800000,-9300000,41500000,6100000,-1900000,36400000,7e+05,4600000,4600000,-3900000,-3900000,7e+05,-1200000,-19300000,-20500000,16600000,16600000,16400000,41800000,695300000,38700000,0.17898,0.00069,-0.02425,-0.02399,-0.007,-3.68571,1.34291,2.42733,0.4636,-0.16287,-0.16279,6.71634,5.77946,0.60028,0.01861,-0.00699,0.02908,-0.11429,15.14115,2109.66667
"14","2019_Q3",2.81171875,"Down",450600000,-3.7e+08,80600000,-76600000,-18500000,-1300000,-17200000,-39700000,-18400000,4e+06,-11800000,-12500000,-12700000,2e+05,7e+05,-7800000,7e+05,-7100000,700000.000000002,-6400000,-6400000,-6400000,-1300000,-7699999.99999999,63700000,63700000,2.31e+08,2.31e+08,2.7e+07,7300000,326700000,579900000,596400000,200900000,258700000,136800000,1176300000,1.503e+09,120100000,23800000,96300000,62400000,232500000,636500000,2.03e+08,123900000,79100000,839500000,1.072e+09,6.5e+07,-69200000,435200000,4.31e+08,4.31e+08,1.503e+09,-6400000,39700000,7400000.00000001,-22200000,18500000,3700000,11900000,11900000,-8200000,-8200000,3700000,-1300000,-19600000,-21100000,1100000,1100000,1300000,43700000,698900000,24500000,0.17887,0.00888,-0.01709,-0.01787,-0.00511999999999999,-3.18182,1.40516,2.48724,0.465,-0.11944,-0.11938,6.98934,5.67709,0.38002,0.02016,-0.0048,0.01838,-0.16883,14.53547,158.8
"15","2019_Q4",2.9290625,"Up",450400000,-374100000,76300000,-80200000,-22700000,-1300000,-21400000,-38300000,-19200000,-3900000,-12500000,-12500000,-12800000,3e+05,0,-16400000,-314700000,-331100000,57800000,-273300000,-273300000,-273300000,-1200000,-274500000,79600000,79600000,230300000,230300000,29900000,8e+06,343700000,463100000,383300000,1.11e+08,145700000,126600000,846400000,1190100000,136400000,2.4e+07,112400000,61600000,247900000,639100000,145800000,66200000,79600000,784900000,1032800000,6.5e+07,-343700000,4.36e+08,157300000,157300000,1190100000,-273300000,38300000,267400000,2100000,34500000,2e+06,7300000,7300000,-5300000,-5300000,2e+06,-1200000,-18900000,-20300000,16200000,16200000,15900000,34400000,700700000,-19300000,0.1694,-0.00866,-0.60946,-1.74507,-0.23065,0.07031,1.38645,6.5658,0.58877,-4.25411,-4.25581,6.98016,1.43044,-0.29911,0.0186,-0.27227,-0.01923,-0.00437,18.05523,-159.25641
"16","2020_Q1",2.94822580645161,"Up",4.03e+08,-332900000,70100000,-66600000,-22100000,-1300000,-20800000,-2.7e+07,-17500000,3500000,-11400000,-11900000,-12200000,3e+05,5e+05,-7900000,-4700000,-12600000.0000001,-5800000,-18399999.9999999,-18399999.9999999,-18399999.9999999,-1300000,-19699999.9999999,95700000,95700000,197800000,197800000,33600000,33600000,327100000,464300000,349200000,109100000,139900000,100200000,813500000,1140600000,111600000,20500000,91100000,59400000,219800000,633300000,148800000,69900000,78900000,782100000,1001900000,6.5e+07,-363400000,437100000,138700000,138700000,1140600000,-18400000,2.7e+07,7400000.00000006,8700000,24700000,9400000,1.4e+07,1.4e+07,-4600000,-4600000,9400000,-1300000,-16500000,-17700000,16400000,16400000,16100000,30500000,692700000,54400000,0.17395,0.00868,-0.0488800000000001,-0.14203,-0.01727,-2.76142,1.48817,7.2235,0.60731,-0.30957,-0.3092,6.33285,1.15814,0.85486,0.02043,-0.01877,0.0555,-0.06599,19.57377,170.57143
"17","2020_Q2",2.20111111111111,"Down",3.91e+08,-318900000,72100000,-67700000,-20900000,-7e+05,-20200000,-26300000,-20500000,4400000,-12900000,-11700000,-1.2e+07,3e+05,-1200000,-8500000,-11700000,-20200000,3900000,-16300000,-16300000,-16300000,-1200000,-17500000,107500000,107500000,166600000,166600000,95100000,6900000,372300000,387900000,377900000,100800000,139100000,1.38e+08,765800000,1138100000,108500000,17400000,91100000,57700000,228600000,625600000,163300000,70700000,92600000,788900000,1017500000,6.5e+07,-381900000,437500000,120600000,120600000,1138100000,-16300000,26300000,13200000,6500000,29700000,1300000,5800000,5800000,-4500000,-4500000,1300000,-1200000,-18800000,-2e+07,1.1e+07,1.1e+07,11800000,30700000,683300000,34600000,0.1844,0.01125,-0.04476,-0.14511,-0.01538,-1.97714,1.62861,8.43698,0.60039,-0.27091,-0.27091,6.05282,0.86071,0.53562,0.01858,-0.01685,0.03577,-0.06857,18.7557,130.86364
"18","2020_Q3",5.13671875,"Up",351700000,-275100000,76600000,-60800000,-17500000,-3e+05,-17200000,-22800000,-20500000,15800000,-9800000,-10900000,-1.1e+07,1e+05,1100000,6e+06,-2299999.99999999,3699999.99999999,-2100000,1600000,1600000,1600000,-1300000,3e+05,157300000,157300000,1.62e+08,1.62e+08,38900000,9400000,361100000,388600000,384300000,9.9e+07,139500000,145800000,772900000,1.134e+09,120500000,1.8e+07,102500000,5.5e+07,226600000,625100000,161300000,67400000,93900000,786400000,1.013e+09,6.5e+07,-382700000,438700000,1.21e+08,1.21e+08,1.134e+09,1600000,22800000,4199999.99999999,24600000,53200000,20200000,30600000,30600000,-10400000,-10400000,20200000,-1300000,-2.2e+07,-23300000,50100000,50100000,49800000,38600000,680100000,85500000,0.2178,0.04492,0.000849999999999997,0.00248000000000007,0.000260000000000002,285,1.59356,8.3719,0.59974,0.00463999999999998,0.00464000000000009,5.43492,0.86538,1.32125,0.02009,0.00166,0.08884,4.33333,13.54404,33.08861
"19","2020_Q4",6.3746875,"Up",375800000,-289399999,86400001,-56300000,-12900000,-3e+05,-12600000,-22300000,-21100000,30100001,-10400000,-1.1e+07,-11100000,1e+05,6e+05,19700001,-5e+06,14700001,-2e+06,12700001,12700001,12700001,-1200000,11500001,189800000,189800000,172500000,172500000,33400000,8900000,398800000,3.79e+08,397800000,97400000,139700000,160700000,776800000,1175600000,131800000,15400000,116400000,55400000,239400000,625100000,174400000,69600000,104800000,799500000,1038900000,6.5e+07,-368200000,439900000,136700000,136700000,1175600000,12700000,22300000,2700000,1800000,39500000,12500000,15600000,15600000,-3100000,-3100000,12500000,-1200000,-18200000,-19400000,32600000,32600000,32500000,52400001,680500000,68700001,0.22991,0.0801,0.0306,0.08413,0.00978,5.97391,1.66583,7.59985,0.57885,0.17756,0.17756,5.80235,1.10705,1.06073,0.01853,0.01281,0.06928,0.10435,9.3645,16.30233
"20","2021_Q1",6.12819672131148,"Down",335600000,-263800001,71799999,-68699999,-1.7e+07,-5e+05,-16500000,-26900000,-24799999,3100000,3700000,-10700000,-10800000,1e+05,14400000,6800000,-1100000,5700000,4e+05,6100000,6100000,6100000,-1200000,4900000,176200000,176200000,154400000,154400000,34500000,34500000,365100000,402700000,359099999,93800000,140100000,125199999,761799999,1126899999,105800000,16500000,89300000,5.4e+07,190700000,618600000,178800000,7e+07,108800000,797400000,988100000,6.5e+07,-327800000,401600000,138800000,138800000,1126900000,6099999,26900000,-20100000,9600001,22500000,-2400000,16800000,16800000,-19200000,-19200000,-2400000,-1200000,-24900000,-33700000,-13600000,-13600000,-13600000,3e+07,672600000,36800001,0.21395,0.00924,0.0146,0.0353,0.00435,7.51019999999998,1.91453,7.11888,0.59686,0.07536,0.07536,5.16109,1.13495,0.56594,0.01845,0.00616,0.03716,0.244900000000001,16.54667,160.12903
"21","2021_Q2",7.25952380952381,"Up",333900000,-267800000,66100000,-61100000,-17100000,-6e+05,-16500000,-22200000,-21800000,5e+06,-10600000,-1.1e+07,-11100000,1e+05,4e+05,-5600000,-2500000,-8100000,8e+05,-7300000,-7300000,-7300000,-1200000,-8500000,107300000,107300000,157700000,157700000,28500000,28500000,293500000,394300000,3.58e+08,92100000,140200000,125700000,752300000,1045800000,111700000,12700000,9.9e+07,53400000,209100000,533700000,171300000,69400000,101900000,7.05e+08,914100000,6.5e+07,-336300000,4.03e+08,131700000,131700000,1045800000,-7300000,22200000,5800000,8800000,29500000,4900000,10100000,10100000,-5200000,-5200000,4900000,-1200000,-9.9e+07,-103100000,-68700000,-68700000,-68900000,27200000,587100000,40100000,0.19796,0.01497,-0.02546,-0.06454,-0.00813,-4.71765,1.40363,6.94077,0.56139,-0.13122,-0.13122,5.15474,1.02971,0.61906,0.01853,-0.0082,0.04505,-0.14118,17.63971,95.96
"22","2021_Q3",8.31734375,"Up",4.04e+08,-245400000,158600000,-117800000,-13200000,-5e+05,-12700000,-22200000,-82400000,40800000,-7100000,-7500000,-7600000,1e+05,400000.000000002,33700000,12300000,4.6e+07,-10700000,35300000,35300000,35300000,-1300000,3.4e+07,111700000,111700000,189800000,189800000,33100000,33100000,334600000,393800000,359700000,90400000,140400000,128900000,753500000,1088100000,124800000,16200000,108600000,55400000,218299999,530799999,1.81e+08,80200000,100800000,711799999,930099998,6.5e+07,-302300000,395300000,1.58e+08,1.58e+08,1088099998,35300000,22200000,-1599999.99999999,-27300000,28600000,3700000,16500000,16500000,-12800000,-12800000,3700000,-1300000,-15900000,-27800000,4500000,4500000,4400000,6.3e+07,586199999,50100000,0.39257,0.10099,0.08416,0.21519,0.03125,1.47353,1.53275,5.88671,0.53874,0.52489,0.52489,6.23695,1.43573,0.77344,0.02007,0.03815,0.05415,0.03824,7.53175,11.6299
"23","2021_Q4",9.82828125,"Up",424600000,-290900000,133700000,-98600000,-5.8e+07,-387004.477332545,-12159007.8785934,-22300000,-18300000,35100000,-7400000,-7200000,-5708729.07415883,-378.377285349605,-2e+05,27700000,1900000,29600000,-8700000,20900000,20900000,20900000,-1200000,19700000,143600000,143600000,189100000,189100000,35100000,35100000,367800000,394200000,347700000,88600000,140100000,1.19e+08,741900000,1109700000,127700000,16100000,111600000,55700000,224500000,536200000,180500000,87500000,9.3e+07,716700000,941200000,6.5e+07,-282600000,386100000,168500000,168500000,1109700000,20900000,22300000,1e+07,4400000,57600000,5100000,19675749.4632534,19675749.4632534,-16378804.1335055,-16378804.1335055,5100000,-1200000,-19900000,-3.1e+07,31700000,31700000,31900000,57400000,591900000,75600000,0.31488,0.08267,0.0464,0.11691,0.01775,3.83756,1.63831,5.58576,0.53339,0.31478,0.28143,6.78458,1.6538,1.20799,0.01917,0.02221,0.08035,0.06091,7.8101,12.77208
"24","2022_Q1",10.8517741935484,"Up",394300000,-423800000,-29500000,44600000,23600000,-341730.121938892,-14424823.1954685,-21400000,42400000,15100000,-7300000,-7500000,-6041009.41082835,-67513.5128179497,2e+05,7800000,6700000,14500000,-7400000,7100000,7100000,7100000,-1300000,5800000,147500000,147500000,172300000,172300000,30300000,30300000,350100000,397700000,339600000,86900000,140100000,112600000,737300000,1087400000,118300000,14700000,103600000,55500000,212200000,531400000,167800000,85100000,82700000,699200000,911400000,6.5e+07,-276800000,390536715.015643,1.76e+08,1.76e+08,1087400000,7100000,21400000,-6200000,6700000,2.9e+07,-8800000,16482749.658434,16482749.658434,-11797420.8122308,-11797420.8122308,-8800000,-1300000,-15100000,-16300000,3900000,3900000,3900000,36500000,586900000,41800000,-0.0748199999999999,0.0383,0.01471,0.03295,0.00533,7.2069,1.64986,5.17841,0.53973,0.09268,0.08286,6.30042,1.77364,0.66791,0.02077,0.00763,0.04491,0.22414,12.03836,29.09934
"25","2022_Q2",7.64435483870968,"Down",4.21e+08,-338600000,82400000,-66800000,-17300000,-4e+05,-16900000,-21600000,-27900000,15600000,-6500000,-7e+06,-7100000,1e+05,5e+05,9100000,7300000,16400000,-3400000,1.3e+07,1.3e+07,1.3e+07,-1200000,11800000,153500000,153500000,202200000,202200000,29700000,29700000,385400000,397700000,346500000,85200000,1.48e+08,113300000,744200000,1129600000,145300000,20200000,125100000,55200000,234600000,524299999,170500000,85500000,8.5e+07,694799999,929399999,6.5e+07,-2.65e+08,400200000,200200000,200200000,1129599999,1.3e+07,21600000,-4400000,-1e+06,29200000,2700000,11500000,11500000,-8800000,-8800000,-16600000,-1200000,-15300000,-6300000,6300000,6300000,6e+06,37200000,579499999,42300000,0.19572,0.03705,0.02803,0.05894,0.01045,3.58475,1.6428,4.64236,0.51301,0.18883,0.18186,6.73716,2.16357,0.67692,0.0192,0.01368,0.04452,0.10169,11.45161,27.30769
