"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q2",6.08825396825397,"Up",5370000,-2968000,2402000,-4225000,-2801000,-1272000,-1529000,-1424000,-1823000,207000,207000,-1616000,-1616000,-13000,-1908000,-1908000,-1908000,-1908000,29427000,5288000,24139000,4563000,4563000,2311000,2311000,36301000,6046000,10216000,3089000,3089000,19351000,55652000,2810000,1456000,3203000,2488000,2488000,5691000,114792000,-64926000,95000,49961000,49961000,55652000,-1908000,535000,971000,1457000,1055000,-134000,-2388000,-2522000,4000,4000,4000,-1463000,-1463000,-1448000,-1288000,0,48000,0.4473,-0.33948,-0.35531,-0.03819,-0.03428,-0.02516,11.33344,0.11391,0,-0.10467,-0.10467,0.2946,2.74089,0.00263,-0.03638,0.00092,22.84705,16.14207
"12","2019_Q3",9.43453125,"Up",8424000,-3620000,4804000,-4509000,-2935000,-1304000,-1631000,-1574000,295000,192000,192000,487000,487000,-7000.00000000012,331000,331000,331000,331000,26985000,9165000,17820000,5543000,5543000,2267000,2267000,34795000,5937000,12781000,2923000,2923000,21641000,56436000,2508000,1175000,2909000,2385000,2385000,5294000,115534000,-64595000,203000,51142000,51142000,56436000,331000,511000,1071000,-1238000,675000,-499000,3710000,3211000,4999.99999999977,4999.99999999977,4999.99999999953,3891000,3891000,3877000,806000,-1.4210854715202e-14,-924000,0.57028,0.03502,0.03929,0.00647,0.00587,-2.79154,11.96116,0.10352,0,0.01804,0.01804,0.45922,2.78794,-0.05037,0.00618,-0.01726,-33.48015,-91.47458
"13","2019_Q4",11.88515625,"Up",10347000,-3885000,6462000,-4953000,-3209000,-1687000,-1522000,-1744000,1509000,189000,189000,1698000,1698000,-61000,1462000,1462000,1462000,1462000,32118000,20522000,11596000,5292000,5292000,1795000,1795000,39205000,6396000,12396000,3148000,3148000,21940000,61145000,3844000,2150000,4253000,2366000,2366000,6619000,117480000,-63133000,179000,54526000,54526000,61145000,1462000,503000,1258000,680000,3903000,-88000,6432000,6344000,17000,17000,1127000,11374000,11374000,11357000,2012000,0,2665000,0.62453,0.14584,0.1413,0.02681,0.02391,1.82285,9.2182,0.12139,0,0.07902,0.07902,0.55924,2.94703,0.14404,0.0257,0.04684,-15.96322,-21.28429
"14","2020_Q1",13.9293548387097,"Up",8387000,-3634000,4753000,-5162000,-3367000,-1635000,-1732000,-1795000,-409000,249000,249000,-160000,-160000,38000,-296000,-296000,-296000,-296000,28269000,11965000,16304000,6555000,6555000,2255000,2255000,37079000,5974000,42819000,2884000,2884000,51677000,88756000,2938000,1581000,3723000,2256000,2256000,5979000,146060000,-63429000,146000,82777000,82777000,88756000,-296000,558000,1436000,-1814000,-116000,-461000,-35481000,-36079000,28770000,28770000,27639000,-8556000,-8556000,-8557000,149000,0,-2164000,0.56671,-0.04877,-0.03529,-0.00358,-0.00333,7.31081,9.95944,0.07223,2.11758236813575e-22,-0.01373,-0.01373,0.3889,3.83831,-0.10034,-0.00348,-0.02545,-189.72483,69.11736
"15","2020_Q2",15.312380952381,"Up",7753000,-4057000,3696000,-5610000,-3632000,-1597000,-2035000,-1978000,-1914000,241000,241000,-1673000,-1673000,-34000,-1956000,-1956000,-1956000,-1956000,27330000,9302000,18028000,6371000,6371000,3324000,3324000,37025000,5698000,43917000,2685000,2685000,52300000,89325000,4935000,2855000,5810000,2143000,2143000,7953000,146950000,-65385000,-193000,81372000,81372000,89325000,-1956000,569000,1465000,1288000,1366000,-796000,-3066000.00000001,-3862000,-34000,12000,-164000,-2660000,-2660000,-2663000,-1345000,0,-819000,0.47672,-0.24687,-0.25229,-0.02404,-0.0219,0.41871,6.37263,0.09774,0,-0.0907,-0.0907,0.3595,3.77316,-0.03798,-0.02342,-0.00981,20.3197,14.279
"16","2020_Q3",31.30171875,"Up",17265000,-7717000,9548000,-6908000,-5059000,-3260000,-1799000,-1849000,2640000,275000,275000,2915000,2915000,599000,3321000,3321000,3321000,3321000,20961000,2431000,18530000,13863000,13863000,6359000,6359000,41183000,6013000,45833000,2886000,2886000,54732000,95915000,5386000,3636000,6509000,2363000,2363000,8872000,148058000,-62064000,1049000,87043000,87043000,95915000,3321000,549000,1548000,-9827000,-4409000,-411000,-1994000,-2404999.99999999,74000.0000000037,27999.9999999963,-59000,-6873000,-6873000,-6871000,3189000,-7.27595761418343e-12,-7648000,0.55303,0.15291,0.19235,0.03815,0.03462,-2.30292,6.32709,0.10193,-3.3881317890172e-21,0.15399,0.15399,0.80057,4.03612,-0.35463,0.03715,-0.08554,-6.57290999999999,-7.93977
"17","2020_Q4",41.7853125,"Up",101716000,-26261000,75455000,-11932000,-8755000,-5014000,-3741000,-3177000,63523000,421000,421000,63944000,61353000,-14526000,46638000,46638000,46638000,46638000,74935000,53031000,21904000,90680000,90680000,3e+07,3e+07,195615000,17385000,30656000,3655000,3655000,51696000,247311000,38768000,18674000,57736000,2620000,2620000,60356000,201774000,-15426000,607000,186955000,186955000,247311000,46638000,722000,6127000,-44072000,9415000,-10121000,12688000,-1404000,42354000,42354000,42571000,50582000,50582000,50600000,64245000,0,24578000,0.74182,0.62451,0.45851,0.24946,0.18858,0.527,3.38809,0.32284,0,2.16257,2.16257,4.7165,8.66897,1.13966,0.24601,0.12965,-1.16639,-1.17965
"18","2021_Q1",103.229508196721,"Up",294978000,-51772000,243206000,-17297000,-12721000,-5081000,-7640000,-4576000,225909000,589000,589000,226498000,224735000,-58571000,166307000,166307000,166307000,166307000,299367000,87426000,211941000,183857000,183857000,40392000,40392000,523616000,40199000,132502000,4144000,4144000,176845000,700461000,88253000,26488000,130115000,959000,959000,131074000,418068000,150881000,438000,569387000,569387000,700461000,166307000,1122000,5667000,-38840000,134256000,-23794000,-294973000,-318767000,203900000,203900000,218903000,34392000,34392000,34395000,227031000,0,222968000,0.82449,0.76585,0.56379,0.29208,0.23743,1.3407,4.02426,0.2302,0,7.71154,7.71154,13.67792,26.40207,10.33887,0.29159,0.39093,-1.31862,-1.32517
"19","2021_Q2",79.8426984126984,"Down",359429000,-74075000,285354000,-18432000,-13010000,-5008000,-8002000,-5422000,266922000,282000,282000,267204000,267204000,-66513000,200691000,200691000,200691000,200691000,409778000,151461000,258317000,216509000,216509000,32853000,32853000,659140000,46987000,287626000,5330000,5330000,339943000,999083000,137962000,17440000,196530000,987000,987000,197517000,450858000,350924000,-216000,801566000,801566000,999083000,200691000,1922000,5281000,25285000,233179000,-11479000,-205012000,-216491000,47831000,47831000,47347000,64035000,64035000,64035000,268844000,0,349163000,0.79391,0.74263,0.55836,0.25037,0.20088,1.7398,3.35389,0.24641,0,6.76342,6.43859,12.113,27.01331,11.76703,0.25007,0.43507,-1.52422,-1.5352
"20","2021_Q3",90.88875,"Up",153616000,-35858000,117758000,-18860000,-13548000,-5089164.17828564,-7142021.56995451,-5312000,98898000,604000,604000,99502000,103236000,-23589000,79647000,79647000,79812000,79812000,383789000,100461000,283328000,148576000,148576000,34321000,34321000,566686000,51086000,393250000,38833000,8897000,483169000,1049855000,41142000,14743000,121524000,1707000,7606000,129130000,482258000,430736000,-265000,912729000,920725000,1049855000,79647000,2418000,2224000,-8177999.99999999,76111000,-2935000,-133561000,-155005000,-47763000,-47763000,27893000,-51001000,-51001000,-5.1e+07,101316000,5899000,113792000,0.76657,0.6438,0.51956,0.08668,0.07602,1.42575,4.66316,0.14025,0.00562,2.68972,2.56054,5.17696,30.75958,3.83487,0.08597,0.12258,-3.72982,-3.82101
"21","2021_Q4",87.890625,"Down",227868000,-43466000,184402000,-25129000,-18311000,-5450752.23771418,-8094362.09327269,-6021000,159273000,496000,496000,159769000,159769000,-37545000,122224000,122224000,122522000,122522000,469979000,214877000,255102000,120822000,120822000,32035000,32035000,622836000,60166000,427284000,94382000,8949000,581832000,1204668000,42743000,24868000,147158000,7110000,13057000,160215000,483734000,553258000,-212000,1036780000,1044453000,1204668000,122224000,3173000,4837000,21967000,152201000,-3393000,31959000,-14793000,17000,17000,-22989000,114419000,114419000,114416000,162446000,5947000,218565000,0.80925,0.69897,0.53769,0.11731,0.10171,1.78388,4.23243,0.1534,0.00494,4.12907,3.93077,7.6793,34.94018,7.36579,0.11586,0.20668,-2.85653,-2.91344
"22","2022_Q1",65.8390322580645,"Down",251671000,-62134000,189537000,-38677000,-30302000,-6323964.17828564,-13443771.5699545,-7464000,150860000,-35000,-35000,150825000,150825000,-47148000,103677000,103677000,104339000,104339000,450499000,164894000,285605000,138912000,138912000,22549000,22549000,611960000,62287000,507012000,97461000,10650000,666760000,1278720000,38970000,20494000,105310000,7530000,7530000,112840000,501911000,657597000,-759000,1158749000,1165880000,1278720000,103677000,3491000,11668000,-41750000,77086000,-5974000,-134285000,-160259000,89476000,89476000,33154000,-50019000,-50019000,-49983000,154351000,6147000,153775000,0.75311,0.59943,0.41458,0.08949,0.0816,1.4738,5.81103,0.09679,0.00481,3.51629,3.34742,8.48148,39.05062,5.18232,0.08846,0.13037,-2.87884,-2.94546
"23","2022_Q2",54.9579032258065,"Down",320268000,-77725000,242543000,-40610000,-33715000,-7940000,-25775000,-5989000,201933000,45000,45000,201978000,201978000,-48421000,153557000,153557000,153979000,153979000,585114000,353069000,232045000,160261000,160261000,19958000,19958000,765333000,68622000,510791000,120844000,34808000,700257000,1465590000,87709000,23699000,141714000,10916000,10916000,152630000,507049000,811576000,-12493000,1306132000,1312960000,1465590000,153557000,4695000,15343000,14816000,188411000,-5346000,31034000,688000,16000,16000,-934000,188165000,188165000,188175000,206628000,6086000,264519000,0.75731,0.63051,0.48078,0.11728,0.10506,1.71789,5.40055,0.11625,0.00415,5.09291,4.92891,10.59297,43.20077,8.74906,0.11578,0.19889,-2.80227,-2.86743
"24","2022_Q3",50.13171875,"Down",125341000,-60065000,65276000,-49586000,-41106000,-10530059.7028573,-47672797.3834091,-6905000,15690000,958000,958000,16648000,13752000,-2653000,11099000,11099000,11537000,11537000,515402000,138780000,376622000,133303000,133303000,26480000,26480000,675185000,86049000,427602000,272826000,61777000,786477000,1461662000,67013000,37109000,127527000,23402000,23402000,150929000,504069000,823113000,-22417000,1304765000,1310733000,1461662000,11099000,8345000,16245000,-24563000,11126000,-3254000,-72683000,-213692000,-10574000,3000,-11152000,-213718000,-213718000,-214289000,24035000,5793000,-1129000,0.52079,0.12518,0.09204,0.00879999999999999,0.00788999999999998,-0.0978599999999998,5.29445,0.11515,0.00396,0.37998,0.36991,4.12822,42.97362,-0.0371799999999993,0.00861000000000001,-0.000840000000000007,-21.20279,-32.47986
