"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"18","2014_Q3",13.19015625,"Down",47349,-2648041,-1674719,-2600692,9173,-2591519,-2591519,-2591519,-2591519,-2591519,-2591519,29100909,3752767,268681,268681,29369590,2166600,1674454,1674454,3841054,33210644,1319744,499949,819795,96698,96698,1566560,1307062,1307062,3381390,4947950,120183650,-91920956,28262694,28262694,33210644,-2591519,70997,302218,94124.0000000001,-2124180,-16545156,-16545156,-105915,18437001,-232335,-232335,-232335,-2529695,2224446,-54.92602,-54.73229,-0.09169,-0.07803,18.74782,0.17507,0.06698,-0.67239,-0.67239,0.01229,7.33299,-0.08151,10.62439,10.33435
"19","2014_Q4",10.70140625,"Down",60471,-2592616,-1473301,-2544536,11155,-2533381,-2533381,-2533381,-2533381,-2533381,-2533381,26715639,4371246,536353,536353,27251992,2131756,1667196,1667196,3798952,31050944,1284564,521447,763117,96698,96698,1788481,1282888,1282888,3319077,5107558,120397723,-94454337,25943386,25943386,31050944,-2533381,68456,155898,15835,-2293192,2989707,3011395,-99724,-99724,618479,618479,618479,-2476080,2443408,-42.07862,-41.89415,-0.09765,-0.08159,15.23751,0.19687,0.07869,-0.65289,-0.65289,0.01558,6.68595,-0.08539,9.80268,9.53896
"20","2015_Q1",6.4216393442623,"Down",7406.99999999999,-2334299,-1517178,-2354064,-16473,-2370537,-2370537,-2370537,-2370537,-2370537,-2370537,24538700,3539911,357083,357083,24895783,2103880,1724190,1724190,3828070,28723853,1372336,437519,934817,96698,96698,1781968,1258713,1258713,3256762,5038730,120509997,-96824874,23685123,23685123,28723853,-2370537,66703,88099,267042,-1948693,1265413,1249783,-132425,-132425.000000002,-831335,-831335,-831335,-2287361,2310983,-317.81612,-320.0401,-0.10009,-0.08253,13.97095,0.21274,0.08046,-0.61144,-0.61144,0.00191,6.10915,-0.08698,9.71763,9.44227
"21","2015_Q2",3.81126984126984,"Down",11288,-2243593,-1535851,-2236312,25764,-2210548,-2186373,-2186373,-2186373,-2186373,-2186373,22103635,4202035,260316,260316,22363951,2064006,1714722,1714722,3778728,26142679,702023,402812,299211,96698,96698,1017122,1234538,1234538,3193405,4210527,120943399,-99011247,21932152,21932152,26142679,-2186373,64021,409227,-573546,-2286671,3082510,3082510,-133715,-133715,662124,662124,662124,-2172291,2177268,-198.1141,-193.69002,-0.09969,-0.08363,21.98748,0.19198,0.08328,-0.56394,-0.56394,0.00291,5.65705,-0.08627,9.17297,8.91037
"22","2015_Q3",2.9434375,"Down",24517,-2035016,-1482608,-2018595,-38814,-2057409,-2033235,-2033235,-2033235,-2033235,-2033235,20430729,4867832,155325,155325,20586054,2026365,1714286,1714286,3740651,24326705,698097,293726,404371,96698,96698,950423,1210364,1210364,3129784,4080207,121290980,-101044482,20246498,20246498,24326705,-2033235,65773,328054,101065,-1538343,2306360,2306360,-102220,-102220,665797,665797,665797,-1952822,2075048,-82.3345,-82.93164,-0.10042,-0.08358,21.65989,0.20153,0.0853,-0.52444,-0.52444,0.00632,5.22226,-0.0864,9.39957,9.0933
"23","2015_Q4",2.17390625,"Down",57089,-1584840,-1231101,-1542284,7549,-1534735,-1583084,-1583084,-1583084,-1583084,-1583084,18932210,3230308,462763,462763,19394973,1990138,1698761,1698761,3688899,23083872,635818,212203,423615,96698,96698,1116631,1186189,1186189,3065743,4182374,121529064,-102627566,18901498,18901498,23083872,-1583084,64644,213909,-86892,-1391423,-151897,-151897,-94204,-94204,-1637524,-1637524,-1637524,-1477640,2263669,-27.01543,-27.73011,-0.08375,-0.06858,17.36919,0.22127,0.09806,-0.40833,-0.40833,0.01473,4.87534,-0.07083,11.28052,10.8077
"24","2016_Q1",1.78983606557377,"Down",8494,-2956064,-2507514,-2951520,-3353.00000000001,-2954873,-2954873,-2954873,-2954873,-2954873,-2954873,16160274,2012283,251778,251778,16412052,1954496,1523649,1523649,4450145,20862197,1392819,701064,691755,96698,96698,1790767,1162015,1162015,3000794,4791561,121653075,-105582439,16070636,16070636,20862197,-2954873,59380,275221,967985,-1652287,549792,557902,-123640,-123640,-1218025,-1218025,-1218025,-2892140,2140029,-347.48293,-347.87768,-0.18387,-0.14164,9.16482,0.29816,0.10258,-0.76216,-0.76216,0.00219,4.14516,-0.15253,4.84771,4.75018
"25","2016_Q2",2.91625,"Up",24175,-1402712,-1030126,-1378537,18687,-1359850,559511,559511,559511,559511,559511,16600174,3841065,241817,241817,16841991,896,1381566,1381566,1632462,18474453,504732,321054,183678,96698,96698,658582,1137840,1137840,1137840,1796422,121700959,-105022928,16678031,16678031,18474453,559511,19401,-1761753,-720121,-1902962,2100104,3848675,-116931,-116931,1828782,1828782,1828782,-1359136,57152,-57.02325,23.1442,0.03355,0.03029,25.57311,0.10771,0.00309,0.14432,0.14432,0.00624,4.30183,0.0313,12.17172,12.00042
"26","2016_Q3",3.11484375,"Up",24174,-895920,-822835,-871746,34959,-836787,-835875,-835875,-835875,-835875,-835875,16147221,4489809,111042,111042,16258263,539,1330714,1330714,1331253,17589516,360609,194599,166010,96698,96698,457307,1113665,1113665,1113665,1570972,121877347,-105858803,16018544,16018544,17589516,-835875,26630,185479,-19348,-643114,1348097,1349010,-57152,-57152,648744,648744,648744,-845116,2.3283064365387e-10,-36.06131,-34.57744,-0.05218,-0.04752,35.55218,0.09807,1.82145964977565e-17,-0.2156,-0.2156,0.00624,4.13173,-0.04879,19.10651,18.52285
"27","2016_Q4",2.73380952380952,"Down",24175,-1533104,-1480141,-1508929,21255,-1487674,-1474612,-1474612,-1711085,-1711085,-1711085,14863407,2447320,322867,322867,15619888,95387,3607522,1315556,3702909,19322797,859648,297044,562604,96698,96698,1178481,1089490,1089490,1089490,2267971,124598545,-107568735,17029810,17054826,19322797,-1474612,28067,138982,387800,-1294991,-758675,-692343,-55155,-55155,-2042489,-2042489,-2042489,-1480862,222135,-62.41692,-70.77911,-0.10033,-0.08855,13.25426,0.13298,0.0115,-0.42771,-0.42771,0.00604,4.25689,-0.09316,9.88699,9.70309
"28","2017_Q1",3.03193548387097,"Up",24175,-1457327,-1078225,-1433152,16662,-1416490,-1406845,-1406845,-2285388,-2285388,-2285388,13036609,5529848,706881,219991,13743490,5538.00000000001,3291787,550799,3297325,17040815,560012,253817,306195,355517,96698,1055140,1065316,1065316,1065316,2120456,124775635,-109855276,14920359,14920359,17040815,-1406845,19217,478418,-72399,-1678677,4897637,4843079,-81874,-81874,3082528,3082528,3082528,-1413935,139611,-59.2824,-94.53518,-0.15317,-0.13411,13.02528,0.14212,0.00819,-0.50706,-0.50706,0.00536,3.31036,-0.14173,9.12135,8.99904
"29","2017_Q2",3.42571428571429,"Up",24175,-1052345,-1034653,-1028170,21386,-1006784,-3711140,-3711140,-4353776,-4353776,-4353776,11981618,11981618,355924,155757,12337542,5063,979291,932291,984354,13321896,373735,269767,100064,445262,96698,875155,1041141,1041141,1041141,1916296,125614652,-114209052,11405600,11405600,13321896,-1006784,18133,110368,-123544,-1663825,-11911,7493074,705974,622521,6451770,6451770,6451770,-1010037,56158,-42.5303,-180.09415,-0.38172,-0.32681,14.09755,0.16801,0.00422,-0.94664,-0.94664,0.00526,2.47992,-0.34822,11.80695,11.59872
"30","2017_Q3",3.48746031746032,"Up",24174,-1090198,-1062064,-1066024,2059,-1063965,-978928,-978928,-1311771,-1311771,-1311771,11933573,11933573,52817,51741,11986390,4587,915687,915687,920274,12906664,516349,239403,249357,360780,96698,877129,1016967,1016967,1016967,1894096,126533391,-115520823,11012568,11012568,12906664,-1063965,19634,112337,246630,-912153,7518672,4726,-845585,859382,-48045,-48045,-48045,-1046390,0,-44.09796,-54.26371,-0.11912,-0.10164,13.66548,0.17199,0,-0.25688,-0.25688,0.00473,2.15657,-0.10905,11.40452,11.19447
"31","2017_Q4",13.9225396825397,"Up",24175,-614676,-594569,-590501,-4742494,-5332995,-2713676,-2713676,-5302073,-5302073,-5302073,13139722,13139722,306591,295059,13446313,4113,899319,899319,3903432,17349745,376469,248820,127649,298778,96698,890959,992792,992792,992792,1883751,131490219,-120822896,15465994,15465994,17349745,-5332995,18132,4834393,-65887,-587893,-3014255,-3001290,4697072,4795332,1206149,1206149,1206149,-572369,215712,-24.4261,-219.3205,-0.34282,-0.3056,15.09195,0.1218,0.01243,-0.98049,-0.98049,0.00447,1.97266,-0.31797,22.57986,21.88652
"32","2018_Q1",13.9349180327869,"Up",197133,-5447296,-4622340,-5275349,11666.9999999991,-5263682,-13252543,-11643543,-9003312,-8878253,-8878253,41852129,41651965,538856,538812,42390985,4294166,2650389,2e+05,9944555,52335540,626912,410029,216883,278038,96698,1040524,1667617,968617,1667617,2708141,188132784,-139263480,48869304,49627399,52335540,-9024224,834990,6950599,-49204,-1276179,3014255,1082485,-80139,28705937,28512243,28512243,28512243,-4440359,135574,-26.76035,-45.03687,-0.1789,-0.16964,40.74004,0.05457,0.00259,-0.99022,-0.99022,0.02199,5.45053,0.0132999999999999,9.39486,7.90783
"33","2018_Q2",7.31578125,"Down",925554,-6067156,-3910729,-5490613,57835,-5432778,-19714482,-16661482,-16565350,-16350092,-16350092,9516203,5257534,4096073,511374,13612276,22492426,4066124,1392576,35971276,49583552,2254699,1511227,743472,1613038,96698,4697345,1651152,944443,1651152,6348497,198265249,-155613572,42651677,43235055,49583552,-16661482,2156427,11775135,-2830853,-5629597,-1247095,-32207390,694034,1442556,-36394431,-36394431,-36394431,-3334186,829608,-5.93224,-17.6652,-0.37817,-0.32975,2.89787,0.14684,0.01673,-1.33038,-1.33038,0.07531,3.4705,-0.35765,2.60531,1.58208
"34","2018_Q3",5.57666666666667,"Down",2792794,-9303782,-6432883,-7988575,-1028561,-9017136,-24905838,-24433838,-24433838,-24016920,-24016920,6543352,1654034,2902369,317670,9445721,5420262,4115700,1414773,18948688,28394409,4183594,2713639,1469955,1613038,96698,6572187,1154978,920269,1154978,7727165,200131276,-179630492,20500784,20667244,28394409,-24433838,2870899,17258553,353980,-3950406,-64185.0000000009,400958.999999993,-54052.9999999998,-54053.0000000037,-3603500,-3603500,-3603500,-5117676,775555,-2.86042,-8.5996,-1.16208,-0.84583,1.43723,0.37388,0.02731,-1.77844,-1.77844,0.2068,1.51807,-1.0628,1.12703,0.72201
"35","2018_Q4",2.22079365079365,"Down",2441581,-6628749,-5970411,-6293951,1001806,-5292145,-6526940,-6526940,-6526940,-6229958,-6229958,3322394,1607085,3540518,1955819,6862912,4853744,4574028,903275,18840498,25703410,4881966,3393970,1487996,3159121,96698,8041087,1130803,896094,1130803,9171890,202348285,-185796070,16552215,16531520,25703410,-6526940,658338,1841076,-2357183,-6384709,-472939,4946677,920528,1391083,-46949,-46949,-46949,-5635613,0,-2.57782,-2.55161,-0.37685,-0.24238,0.85348,0.55481,0,-0.43793,-0.43793,0.17163,1.16351,-0.35273,0.58954,0.52787
"36","2019_Q1",2.60393442622951,"Up",1685071,-4125313,-4543977,-4326861,-84080,-4410941,-9860740,-12686740,-12686872,-11411030,-11411030,932000,225000,1379000,1379000,2311000,26000,2110000,903000,11549000,13860000,5361000,3829000,1532000,1297000,97000,6658000,1015000,872000,2711000,9369000,202986000,-197199000,5787000,4491000,13860000,-12686740,-418664,8898236,1051056,-3087288,-81781.0000000001,1997754,-509.000000000466,-292586,-1382120,-1382120,-1382120,-4745525,1696000,-2.56776,-6.77184,-2.54087,-0.82331,0.3471,2.08617,0.12237,-0.83935,-0.83935,0.12395,0.42567,-1.58443,-0.16099,-0.17657
"37","2019_Q2",3.96285714285714,"Up",1430000,-3176000,-3152000,-3217000,15000,-3202000,-13750000,-13750000,-13750000,-13529000,-13529000,2101037,1016019,793690,793690,2894727,27507,3111636,1900221,12551869,15446596,5961940,3455171,2506769,15493499,96698,21455439,1064447,847744,2760530,24215969,203476544,-210728202,-7251658,-8769373,15446596,-13750000,24000,11309000,-767000,-3184000,-26000,975000,3e+06,3e+06,791000,791000,791000,-3193000,1696083,-2.24965,-9.46084,1.54276,-0.87586,0.13492,-2.76143,0.1098,-0.93629,-0.93629,0.09896,-0.50186,2.25151,0.12683,0.12588
"38","2019_Q3",2.085625,"Down",2467000,-2249000,-2226000,-1370000,682000,-688000,-1279000,-1279000,-1279000,-1279000,-1279000,18034443,16110630,331642,331642,18366085,27977,3070446,1880185,12601323,30967408,2800244,817454,1982790,1002270,96698,3802514,1027334,823570,1027334,4829848,238108930,-212006522,26102408,26137560,30967408,-1279000,22999.9999999999,453000,-4195000,-4998000,0,2190000,-950000,17903000,15095000,15095000,15095000,-1347000,0,-0.55533,-0.51844,-0.048929999999999,-0.0413,4.82998,0.184789999999999,1.38777878078145e-17,-0.07992,-0.07992,0.15415,1.63103,-0.0470799999999998,13.3886,13.16383
"39","2019_Q4",1.49625,"Down",1740000,-1786000,-1762000,-1522000,38000,-1484000,-1833000,-1833000,-1833000,-1833000,-1833000,18319999,15162781,2004237,2004237,20324236,127581,2810385,1640670,12661066,32985302,2800488,815713,1984775,1003942,96698,3804430,989749,799396,989749,4794179,241996613,-213840661,28155952,28191123,32985302,-1833000,23000,948000,-3888000,-4750000,0,-4000,0,3806000,-948000,-948000,-948000,-1499000,0,-0.87471,-1.05345,-0.06502,-0.05557,5.34226,0.17006,0,-0.07813,-0.07813,0.07416,1.2001,-0.06282,12.22148,12.03679
"40","2020_Q1",1.20935483870968,"Down",1200000,-2067000,-2019000,-2429000,17000,-2412000,-3584000,-3441000,-3441000,-3398000,-3398000,7440000,7440000,5188000,1349000,12628000,5051000,2978000,2978000,17752000,30380000,2904000,717000,2187000,465000,97000,3369000,776000,776000,776000,4145000,243480000,-217238000,26242000,26235000,30380000,-3441000,49000,-4727000,5636000,-2483000,-1423000,-6372000,-38000,1132000,-7723000,-7723000,-7723000,-2380000,0,-2.02417,-2.83167,-0.12952,-0.11185,3.74829,0.158,-3.46944695195361e-18,-0.13882,-0.13882,0.04903,1.0721,-0.1258,3.12605,3.06299
"41","2020_Q2",1.78873015873016,"Up",2386000,-4398000,-3735000,-3419000,8000,-3411000,-4277000,-4277000,-4277000,-4277000,-4277000,19238000,13956000,806000,806000,20044000,5866000,1441000,985000,17030000,37074000,2638000,582000,2056000,433000,97000,3071000,772000,752000,772000,3843000,254753000,-221515000,33238000,33231000,37074000,-4277000,663000,1073000,-118000,-2659000,-27000,-9000,-408634.316227697,9184000,6516000,6516000,6516000,-2756000,0,-1.43294,-1.79254,-0.12871,-0.11536,6.52686,0.11565,0,-0.14962,-0.14962,0.08347,1.16274,-0.12578,6.98041,5.62679
