"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","deferred_revenue_short_term","liabilities_from_derivatives_hedging_short_term","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",38.5193548387097,"Down",3.438e+09,-1.046e+09,2.392e+09,-1.542e+09,-2.4e+08,-1.302e+09,8.5e+08,-1.49e+08,-1.51e+08,2e+06,7.01e+08,7.01e+08,-2.61e+08,4.4e+08,4.4e+08,4.4e+08,4.4e+08,6.9e+07,6.9e+07,1.319e+09,1.319e+09,1.852e+09,4.33e+08,1.306e+09,3.24e+09,2.6324e+10,3.2712e+10,4.62e+08,9.607e+09,3e+06,4.29e+08,9.175e+09,3.6393e+10,3.9633e+10,1.262e+09,9.68e+08,2.94e+08,9.3e+08,9.3e+08,1.532e+09,3.08e+08,5.6e+07,1.08e+08,1.06e+09,3.724e+09,9.841e+09,9.839e+09,1.4226e+10,4.039e+09,8.026e+09,3.4e+07,2.127e+09,2.4067e+10,2.7791e+10,1.1842e+10,3.9633e+10,4.4e+08,2.4e+08,-1.62e+08,-1.27e+08,3.91e+08,-7.37e+08,-7.62e+08,-1.75e+08,-7.62e+08,-4e+06,-2.3283064365387e-10,-9.41e+08,-1.312e+09,-1.312e+09,-1.312e+09,1.09e+09,1.0771e+10,0.69575,0.24724,0.12798,0.03716,0.0111,0.87003,2.34682,0.27177,1.50222,1.49153,11.73779,0.59747,0.01669,0.39773,9.81835,12.59059
"12","2013_Q1",39.1101666666667,"Up",2.901e+09,-9.2e+08,1.981e+09,-1.528e+09,-2.46e+08,-1.282e+09,4.53e+08,-1.47e+08,-1.49e+08,2e+06,3.06e+08,3.06e+08,-9.9e+07,2.07e+08,2.07e+08,2.07e+08,2.07e+08,3.94e+08,3.94e+08,1.222e+09,1.222e+09,1.835e+09,1.59e+08,1.38e+09,3.451e+09,2.6939e+10,3.3512e+10,4.67e+08,1.0352e+10,2e+06,4.29e+08,9.921e+09,3.7758e+10,4.1209e+10,1.462e+09,1.215e+09,2.47e+08,7.06e+08,7.06e+08,1.777e+09,3.04e+08,4.7e+07,1.62e+08,1.264e+09,3.945e+09,1.0064e+10,1.0062e+10,1.5331e+10,4.678e+09,8.372e+09,3.1e+07,2.25e+09,2.5395e+10,2.934e+10,1.1869e+10,4.1209e+10,2.07e+08,2.46e+08,2.98e+08,2.1e+08,9.61e+08,-5.72e+08,-6.56e+08,-1.85e+08,1.98e+08,7e+06,0,20000000.0000002,3.25e+08,3.25e+08,3.25e+08,6.99e+08,1.077e+10,0.68287,0.15615,0.07135,0.01744,0.00502,0.87478,2.47199,0.26135,0.70673,0.7036,9.9044,0.63161,0.01032,0.89372,14.84406,22.90508
"13","2013_Q2",41.2153125,"Up",3.184e+09,-1.104e+09,2.08e+09,-1.554e+09,-2.51e+08,-1.303e+09,5.26e+08,-2.77e+08,-2.79e+08,2e+06,2.49e+08,2.49e+08,-5.7e+07,1.92e+08,1.92e+08,1.92e+08,1.92e+08,1.32e+08,1.32e+08,1.357e+09,1.357e+09,2.445e+09,4.22e+08,1.583e+09,3.934e+09,2.7283e+10,3.3999e+10,3.51e+08,1.0168e+10,2e+06,4.29e+08,9.737e+09,3.7802e+10,4.1736e+10,1.485e+09,1.065e+09,4.2e+08,4.05e+08,4.05e+08,2.353e+09,3.07e+08,1.5e+07,3.95e+08,1.636e+09,4.243e+09,1.0556e+10,1.0554e+10,1.5048e+10,4.438e+09,8.316e+09,2.6e+07,2.268e+09,2.5604e+10,2.9847e+10,1.1889e+10,4.1736e+10,1.92e+08,2.51e+08,-1.66e+08,-3.61e+08,-8.4e+07,-5.72e+08,-6.63e+08,-1.8e+08,6.73e+08,-1e+06,-7e+06,4.85e+08,-2.62e+08,-2.62e+08,-2.62e+08,7.77e+08,1.0961e+10,0.65327,0.1652,0.0603,0.01615,0.0046,0.92717,2.51047,0.26263,0.65551,0.65262,10.8706,0.61454,0.00982,0.9375,13.93694,20.58745
"14","2013_Q3",39.97265625,"Down",2.819e+09,-9.44e+08,1.875e+09,-1.489e+09,-2.55e+08,-1.234e+09,3.86e+08,-1.49e+08,-1.5e+08,1e+06,2.37e+08,2.37e+08,-6.5e+07,1.72e+08,1.72e+08,1.72e+08,1.72e+08,7.47e+08,7.47e+08,1.211e+09,1.211e+09,2.145e+09,1.19e+08,1.743e+09,4.103e+09,2.7542e+10,3.4379e+10,3.13e+08,9.964e+09,4e+06,4.29e+08,9.531e+09,3.7819e+10,4.1922e+10,1.367e+09,9.97e+08,3.7e+08,4.83e+08,4.83e+08,2.654e+09,3.1e+08,3.1e+07,3.35e+08,1.978e+09,4.504e+09,1.0496e+10,1.0494e+10,1.5039e+10,4.333e+09,8.283e+09,3.2e+07,2.391e+09,2.5535e+10,3.0039e+10,1.1883e+10,4.1922e+10,1.72e+08,2.55e+08,-2.84e+08,8.06e+08,9.49e+08,-5.11e+08,-5.49e+08,-1.8e+08,4.01e+08,-1e+06,-5e+06,2.15e+08,6.15e+08,6.15e+08,6.15e+08,6.41e+08,1.0979e+10,0.66513,0.13693,0.06101,0.01447,0.0041,0.91097,2.5279,0.26189,0.58723,0.58424,9.62445,0.61454,0.00929,1.04651,15.96256,26.50777
"15","2013_Q4",39.44203125,"Down",3.484e+09,-1.077e+09,2.407e+09,-1.552e+09,-2.58e+08,-1.294e+09,8.55e+08,-1.4e+08,-1.46e+08,6e+06,7.15e+08,7.15e+08,-2.51e+08,4.64e+08,4.64e+08,4.64e+08,4.64e+08,7.4e+07,7.4e+07,1.273e+09,1.273e+09,2.357e+09,5.21e+08,1.65e+09,3.704e+09,2.7955e+10,3.4907e+10,4.44e+08,9.861e+09,4e+06,4.29e+08,9.428e+09,3.826e+10,4.1964e+10,1.342e+09,9.25e+08,4.17e+08,4.83e+08,4.83e+08,2.548e+09,3.16e+08,2.5e+07,3.79e+08,1.828e+09,4.373e+09,1.0495e+10,1.0493e+10,1.493e+10,3.816e+09,8.489e+09,2.9e+07,2.596e+09,2.5425e+10,2.9798e+10,1.2166e+10,4.1964e+10,4.64e+08,2.58e+08,-3.77e+08,2.8e+07,3.73e+08,-6.63e+08,-6.83e+08,-1.8e+08,-1.81e+08,-2e+06,0,-3.63e+08,-6.73e+08,-6.73e+08,-6.73e+08,1.113e+09,1.0978e+10,0.69087,0.24541,0.13318,0.03814,0.01106,0.84702,2.44928,0.26161,1.58416,1.57662,11.89484,0.61454,0.01691,0.38793,9.79695,12.75322
"16","2014_Q1",38.452131147541,"Down",2.867e+09,-9.29e+08,1.938e+09,-1.461e+09,-2.6e+08,-1.201e+09,4.77e+08,-1.4e+08,-1.44e+08,4e+06,3.37e+08,3.37e+08,-1.03e+08,2.34e+08,2.34e+08,2.34e+08,2.34e+08,6.74e+08,6.74e+08,1.251e+09,1.251e+09,1.966e+09,1.36e+08,1.708e+09,3.891e+09,2.8436e+10,3.5508e+10,4.61e+08,7.859e+09,4e+06,4.29e+08,7.426e+09,3.6756e+10,4.0647e+10,1.358e+09,1.017e+09,3.41e+08,4.85e+08,4.85e+08,2.887e+09,3.21e+08,1.3e+07,4.76e+08,2.077e+09,4.73e+09,1.0489e+10,1.0489e+10,1.3183e+10,1.727e+09,8.466e+09,5e+06,2.985e+09,2.3672e+10,2.8402e+10,1.2245e+10,4.0647e+10,2.34e+08,2.6e+08,-8.1e+07,9.01e+08,1.314e+09,-8.07e+08,-7.64e+08,-1.81e+08,2.29e+08,-4e+06,6e+06,50000000.0000001,6e+08,6e+08,6e+08,7.37e+08,1.0974e+10,0.67597,0.16638,0.08162,0.01911,0.00576,0.82262,2.31948,0.26998,0.79891,0.79403,9.78832,0.61796,0.0114,0.7735,13.97558,21.59329
"17","2014_Q2",40.048253968254,"Up",3.789e+09,-1.519e+09,2.27e+09,-1.585e+09,-2.61e+08,-1.324e+09,6.85e+08,-1.26e+08,-1.36e+08,1e+07,5.59e+08,5.59e+08,-1.98e+08,3.61e+08,3.61e+08,3.61e+08,3.61e+08,1.02e+08,1.02e+08,1.566e+09,1.566e+09,1.816e+09,4.89e+08,1.245e+09,3.484e+09,2.8682e+10,3.589e+10,5.47e+08,7.768e+09,4e+06,4.29e+08,7.335e+09,3.6997e+10,4.0481e+10,1.386e+09,1.079e+09,3.07e+08,2.85e+08,2.85e+08,1.905e+09,3.26e+08,4e+06,9.8e+07,1.477e+09,3.576e+09,1.1339e+10,1.1338e+10,1.314e+10,1.502e+09,8.564e+09,4e+06,3.07e+09,2.4479e+10,2.8055e+10,1.2426e+10,4.0481e+10,3.61e+08,2.61e+08,1e+07,-4.08e+08,2.24e+08,-5.73e+08,-6.34e+08,-1.84e+08,2.9e+07,-1e+06,-6e+06,-1.62e+08,-5.72e+08,-5.72e+08,-5.72e+08,9.46e+08,1.1624e+10,0.5991,0.18079,0.09528,0.02905,0.00892,0.97427,2.25777,0.28715,1.2325,1.22747,12.93616,0.6282,0.01465,0.5097,12.1797,16.82044
"18","2014_Q3",41.1865625,"Up",2.911e+09,-9.67e+08,1.944e+09,-1.534e+09,-2.65e+08,-1.269e+09,4.1e+08,-1.4e+08,-1.5e+08,1e+07,2.7e+08,3.15e+08,-1.02e+08,2.13e+08,2.13e+08,2.13e+08,2.13e+08,7.74e+08,7.74e+08,1.221e+09,1.221e+09,1.462e+09,1.46e+08,1.273e+09,3.457e+09,2.8754e+10,3.6096e+10,6.93e+08,7.407e+09,3e+06,4.29e+08,6.975e+09,3.6854e+10,4.0311e+10,1.259e+09,9.67e+08,2.92e+08,4.5e+07,4.5e+07,2.535e+09,3.33e+08,4e+06,6.9e+07,2.129e+09,3.839e+09,1.1085e+10,1.1084e+10,1.2932e+10,1.291e+09,8.505e+09,6e+06,3.13e+09,2.4017e+10,2.7856e+10,1.2455e+10,4.0311e+10,2.13e+08,2.65e+08,-2.62e+08,8.17e+08,1.033e+09,-6.55e+08,-5.99e+08,-1.84e+08,4.23e+08,-1e+06,0,2.38e+08,6.72e+08,6.72e+08,6.72e+08,6.75e+08,1.113e+10,0.66781,0.14085,0.07317,0.0171,0.00528,0.90049,2.23653,0.2761,0.72721,0.72449,9.93855,0.6282,0.01087,0.86385,15.34222,25.25854
"19","2014_Q4",45.9884375,"Up",3.391e+09,-9.93e+08,2.398e+09,-1.579e+09,-2.7e+08,-1.309e+09,8.19e+08,-1.24e+08,-1.49e+08,2.5e+07,6.95e+08,6.95e+08,-2.59e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,2.05e+08,2.05e+08,1.28e+09,1.28e+09,2.034e+09,6.44e+08,1.357e+09,3.519e+09,2.9239e+10,3.6721e+10,7.4e+08,7.169e+09,3e+06,4.29e+08,6.737e+09,3.7148e+10,4.0667e+10,1.233e+09,9.72e+08,2.61e+08,2.1e+08,2.1e+08,2.43e+09,3.38e+08,7e+06,4.8e+07,2.037e+09,3.873e+09,1.0986e+10,1.0985e+10,1.3092e+10,1.106e+09,8.817e+09,3e+06,3.166e+09,2.4078e+10,2.7951e+10,1.2716e+10,4.0667e+10,4.36e+08,2.7e+08,1.31e+08,-3.43e+08,4.94e+08,-7.6e+08,-7.63e+08,-1.85e+08,-1.06e+08,-6e+06,-3e+06,-3e+08,-5.69e+08,-5.69e+08,-5.69e+08,1.089e+09,1.1196e+10,0.70717,0.24152,0.12858,0.03429,0.01072,0.9086,2.1981,0.27531,1.48856,1.48299,11.57733,0.63161,0.01678,0.42431,10.09275,13.42002
"20","2015_Q1",48.0555737704918,"Up",2.828e+09,-1.034e+09,1.794e+09,-1.544e+09,-2.75e+08,-1.269e+09,2.5e+08,-1.59e+08,-1.56e+08,-3e+06,90999999.9999999,91000000.0000002,-9e+06,8.2e+07,8.2e+07,8.2e+07,82000000.0000001,6.99e+08,6.99e+08,1.201e+09,1.201e+09,1.816e+09,1.63e+08,1.429e+09,3.716e+09,2.9827e+10,3.7441e+10,8.16e+08,9.712e+09,3e+06,4.29e+08,9.28e+09,4.0355e+10,4.4071e+10,1.262e+09,1.035e+09,2.27e+08,5.6e+08,5.6e+08,1.935e+09,3.44e+08,6.4e+07,7.2e+07,1.455e+09,3.757e+09,1.1546e+10,1.1546e+10,1.6183e+10,3.914e+09,8.948e+09,1.3e+07,3.308e+09,2.7729e+10,3.1486e+10,1.2585e+10,4.4071e+10,8.2e+07,2.75e+08,2.22e+08,5.01e+08,1.08e+09,-7.35e+08,-7.63e+08,-1.86e+08,3.73e+08,-2e+06,-8e+06,1.77e+08,4.94e+08,4.94e+08,4.94e+08,5.25e+08,1.2106e+10,0.63437,0.0884,0.029,0.00652,0.00186,0.98909,2.50187,0.27469,0.27996,0.27901,9.65517,0.63503,0.00656,2.26829,21.72762,45.628
"21","2015_Q2",45.1038095238095,"Down",3.616e+09,-1.3e+09,2.316e+09,-1.59e+09,-2.79e+08,-1.311e+09,7.26e+08,-1.57e+08,-1.61e+08,4e+06,5.69e+08,5.69e+08,-1.99e+08,3.7e+08,3.7e+08,3.7e+08,3.7e+08,1.17e+08,1.17e+08,1.444e+09,1.444e+09,1.837e+09,4.7e+08,1.272e+09,3.398e+09,3.0212e+10,3.7914e+10,8.14e+08,9.553e+09,3e+06,4.29e+08,9.121e+09,4.0579e+10,4.3977e+10,1.217e+09,9.37e+08,2.8e+08,4.96e+08,4.96e+08,1.694e+09,3.45e+08,3.7e+07,8e+07,1.232e+09,3.407e+09,1.1694e+10,1.1694e+10,1.6106e+10,3.629e+09,9.257e+09,2.4e+07,3.196e+09,2.78e+10,3.1207e+10,1.277e+10,4.3977e+10,3.7e+08,2.79e+08,-3.8e+07,-5.2e+07,5.59e+08,-6.25e+08,-6.67e+08,-1.9e+08,-2.81e+08,-2e+06,-1e+06,-4.74e+08,-5.82e+08,-5.82e+08,-5.82e+08,1.005e+09,1.219e+10,0.64049,0.20077,0.10232,0.02897,0.00841,0.99736,2.44377,0.27719,1.26323,1.25893,12.34551,0.64869,0.01364,0.51351,12.01294,16.62948
"22","2015_Q3",47.7659375,"Up",2.788e+09,-7.8e+08,2.008e+09,-1.536e+09,-2.76e+08,-1.26e+09,4.72e+08,-1.52e+08,-1.62e+08,1e+07,3.2e+08,3.2e+08,-1.01e+08,2.19e+08,2.19e+08,2.19e+08,2.19e+08,7.09e+08,7.09e+08,1.084e+09,1.084e+09,1.886e+09,3.07e+08,1.239e+09,3.679e+09,3.0923e+10,3.8749e+10,8.48e+08,9.301e+09,3e+06,4.29e+08,8.869e+09,4.1072e+10,4.4751e+10,1.076e+09,8.45e+08,2.31e+08,4.6e+08,4.6e+08,2.399e+09,3.48e+08,3.2e+07,5.2e+07,1.967e+09,3.935e+09,1.1925e+10,1.1925e+10,1.6094e+10,3.42e+09,9.408e+09,2.4e+07,3.242e+09,2.8019e+10,3.1954e+10,1.2797e+10,4.4751e+10,2.19e+08,2.76e+08,-1.63e+08,5.95e+08,9.27e+08,-9.22e+08,-1.058e+09,-1.9e+08,9.19e+08,-5e+06,-1e+06,7.23e+08,5.92e+08,5.92e+08,5.92e+08,7.48e+08,1.2385e+10,0.72023,0.1693,0.07855,0.01711,0.00489,0.93494,2.49699,0.27675,0.7477,0.7449,9.51861,0.64869,0.00991,0.86758,15.60963,24.73729
"23","2015_Q4",49.02703125,"Up",3.443e+09,-9.55e+08,2.488e+09,-1.658e+09,-2.85e+08,-1.373e+09,8.3e+08,-1.54e+08,-1.63e+08,9e+06,6.76e+08,6.76e+08,-2.48e+08,4.28e+08,4.28e+08,4.28e+08,4.28e+08,9.1e+07,9.1e+07,1.194e+09,1.194e+09,2.22e+09,7.31e+08,1.205e+09,3.505e+09,3.1473e+10,3.9413e+10,8.74e+08,9.119e+09,3e+06,4.29e+08,8.687e+09,4.1466e+10,4.4971e+10,1.368e+09,1.092e+09,2.76e+08,7.61e+08,7.61e+08,2.3e+09,3.51e+08,2.6e+07,5.3e+07,1.87e+09,4.429e+09,1.1521e+10,1.1521e+10,1.5972e+10,3.068e+09,9.598e+09,1.7e+07,3.289e+09,2.7493e+10,3.1922e+10,1.3049e+10,4.4971e+10,4.28e+08,2.85e+08,-5.8e+07,5.8e+07,7.13e+08,-7.74e+08,-9.62e+08,-1.8e+08,-1.85e+08,-2e+06,0,-3.67e+08,-6.16e+08,-6.16e+08,-6.16e+08,1.115e+09,1.2282e+10,0.72263,0.24107,0.12431,0.0328,0.00952,0.79138,2.44632,0.27311,1.46125,1.45479,11.75487,0.61454,0.01472,0.42056,10.93363,14.68795
"24","2016_Q1",54.7280327868852,"Up",2.707e+09,-6.81e+08,2.026e+09,-1.627e+09,-2.9e+08,-1.337e+09,3.99e+08,-1.66e+08,-1.67e+08,1e+06,2.33e+08,2.33e+08,-5.7e+07,1.76e+08,1.76e+08,1.76e+08,1.76e+08,9.44e+08,9.44e+08,1.052e+09,1.052e+09,1.84e+09,1.77e+08,1.34e+09,3.836e+09,3.2209e+10,4.0253e+10,8.84e+08,8.713e+09,2e+06,4.29e+08,8.282e+09,4.1806e+10,4.5642e+10,1.241e+09,1.008e+09,2.33e+08,7.39e+08,7.39e+08,2.74e+09,3.54e+08,6.6e+07,6.2e+07,2.258e+09,4.72e+09,1.2006e+10,1.2006e+10,1.5855e+10,2.911e+09,9.537e+09,3.9e+07,3.368e+09,2.7861e+10,3.2581e+10,1.3061e+10,4.5642e+10,1.76e+08,2.9e+08,1.79e+08,4.33e+08,1.078e+09,-8.44e+08,-9.7e+08,-1.73e+08,9.23e+08,1e+07,-1.3e+07,7.47e+08,8.55e+08,8.55e+08,8.55e+08,6.89e+08,1.2745e+10,0.74843,0.1474,0.06502,0.01348,0.00386,0.81271,2.49453,0.27924,0.60007,0.5956,9.22946,0.58984,0.00838,0.98295,17.12772,29.57644
"25","2016_Q2",58.4425,"Up",3.156e+09,-9.2e+08,2.236e+09,-1.594e+09,-2.97e+08,-1.297e+09,6.42e+08,-1.72e+08,-1.69e+08,-3e+06,4.7e+08,4.74e+08,-1.64e+08,3.1e+08,3.1e+08,3.1e+08,3.1e+08,6.1e+07,6.1e+07,1.085e+09,1.085e+09,2.039e+09,5.5e+08,1.308e+09,3.185e+09,3.2971e+10,4.1145e+10,8.65e+08,8.559e+09,2e+06,4.29e+08,8.128e+09,4.2395e+10,4.558e+10,1.197e+09,9.09e+08,2.88e+08,7.39e+08,7.39e+08,2.5e+09,3.56e+08,9e+07,5.1e+07,2.003e+09,4.436e+09,1.2222e+10,1.2222e+10,1.5721e+10,2.599e+09,9.77e+09,9.2e+07,3.26e+09,2.7943e+10,3.2379e+10,1.3201e+10,4.558e+10,3.1e+08,2.97e+08,5.5e+07,-1.38e+08,5.24e+08,-9.08e+08,-1.118e+09,-1.86e+08,-1.13e+08,1.5e+07,-3e+06,-2.87e+08,-8.81e+08,-8.81e+08,-8.81e+08,9.39e+08,1.2961e+10,0.70849,0.20342,0.09823,0.02348,0.0068,0.71799,2.45277,0.28436,1.0555,1.05156,10.74566,0.6333,0.01184,0.6,13.73802,20.09346
"26","2016_Q3",60.955625,"Up",2.794e+09,-6.72e+08,2.122e+09,-1.607e+09,-3.02e+08,-1.305e+09,5.15e+08,-1.67e+08,-1.7e+08,3e+06,3.48e+08,3.56e+08,-1.24e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,8.62e+08,8.62e+08,9.51e+08,9.51e+08,1.686e+09,1.92e+08,1.296e+09,3.499e+09,3.3459e+10,4.1764e+10,1.913e+09,8.399e+09,2e+06,4.29e+08,7.968e+09,4.3771e+10,4.727e+10,1.207e+09,9.69e+08,2.38e+08,7.46e+08,7.46e+08,1.95e+09,3.58e+08,6.2e+07,4.6e+07,1.484e+09,3.903e+09,1.3747e+10,1.3747e+10,1.5662e+10,2.423e+09,9.878e+09,3.3e+07,3.328e+09,2.9409e+10,3.3312e+10,1.3958e+10,4.727e+10,2.32e+08,3.02e+08,-2.01e+08,7.74e+08,1.107e+09,-1.869e+09,-1.868e+09,-1.93e+08,1.051e+09,7.14e+08,-1.2e+07,1.56e+09,7.99e+08,7.99e+08,7.99e+08,8.17e+08,1.4493e+10,0.75948,0.18432,0.08304,0.01662,0.00491,0.89649,2.38659,0.3066,0.77566,0.7723,9.34136,0.64527,0.00963,0.8319,16.68421,26.46796
"27","2016_Q4",57.2290476190476,"Down",3.418e+09,-9.08e+08,2.51e+09,-1.674e+09,-3.06e+08,-1.368e+09,8.36e+08,-1.6e+08,-1.78e+08,1.8e+07,6.76e+08,8.11e+08,-3.14e+08,4.97e+08,4.97e+08,4.97e+08,4.97e+08,1.5e+08,1.5e+08,1.157e+09,1.157e+09,1.847e+09,5.8e+08,1.201e+09,3.154e+09,3.3906e+10,4.2357e+10,1.931e+09,8.325e+09,0,4.29e+08,7.896e+09,4.4162e+10,4.7316e+10,1.416e+09,1.113e+09,3.03e+08,3.46e+08,3.46e+08,1.829e+09,3.56e+08,7e+07,4.1e+07,1.362e+09,3.591e+09,1.3747e+10,1.3747e+10,1.5703e+10,2.197e+09,1.0155e+10,5.2e+07,3.299e+09,2.945e+10,3.3041e+10,1.4275e+10,4.7316e+10,4.97e+08,3.06e+08,-1.6e+07,-8.2e+07,7.05e+08,-8.76e+08,-7.31e+08,-1.92e+08,-5.08e+08,1.1e+07,-1e+06,-6.9e+08,-7.16e+08,-7.16e+08,-7.16e+08,1.142e+09,1.4093e+10,0.73435,0.24459,0.14541,0.03482,0.0105,0.87831,2.31461,0.29785,1.63218,1.62471,11.22496,0.63054,0.01563,0.38632,12.20928,16.67823
"28","2017_Q1",60.1095161290323,"Up",2.707e+09,-5.88e+08,2.119e+09,-1.641e+09,-3.11e+08,-1.33e+09,4.78e+08,-1.33e+08,-1.79e+08,4.6e+07,3.45e+08,3.02e+08,-9.6e+07,2.06e+08,2.06e+08,2.06e+08,2.06e+08,7.76e+08,7.76e+08,1.106e+09,1.106e+09,1.524e+09,1.59e+08,1.286e+09,3.406e+09,3.5216e+10,4.3757e+10,1.921e+09,7.712e+09,1.24e+08,4.28e+08,7.16e+09,4.4849e+10,4.8255e+10,1.398e+09,1.147e+09,2.51e+08,3.9e+07,3.9e+07,2.406e+09,3.52e+08,7.7e+07,6.4e+07,1.913e+09,3.843e+09,1.4735e+10,1.4735e+10,1.5371e+10,1.847e+09,1.0205e+10,4e+07,3.279e+09,3.0106e+10,3.3949e+10,1.4306e+10,4.8255e+10,2.06e+08,3.11e+08,2.42e+08,3.64e+08,1.123e+09,-7.3e+08,-1.259e+09,-1.93e+08,9.5e+08,1.3e+07,-8e+06,7.62e+08,6.26e+08,6.26e+08,6.26e+08,7.89e+08,1.4774e+10,0.78279,0.17658,0.0761,0.0144,0.00427,0.88629,2.37306,0.30617,0.67696,0.6721,8.89583,0.63424,0.00898,0.93689,17.74144,29.28452
"29","2017_Q2",65.2090476190476,"Up",3.228e+09,-8.06e+08,2.422e+09,-1.61e+09,-3.29e+08,-1.281e+09,8.12e+08,-2.02e+08,-1.81e+08,-2.1e+07,6.1e+08,6.15e+08,-2.27e+08,3.88e+08,3.88e+08,3.88e+08,3.88e+08,6.7e+07,6.7e+07,1.175e+09,1.175e+09,1.775e+09,5.53e+08,1.169e+09,3.017e+09,3.5663e+10,4.4296e+10,1.914e+09,7.771e+09,1.22e+08,4.28e+08,7.221e+09,4.5348e+10,4.8365e+10,1.269e+09,9.63e+08,3.06e+08,3.3e+07,3.3e+07,2.139e+09,3.45e+08,7.6e+07,3.8e+07,1.68e+09,3.441e+09,1.4829e+10,1.4829e+10,1.5589e+10,1.836e+09,1.0443e+10,6.6e+07,3.244e+09,3.0418e+10,3.3859e+10,1.4506e+10,4.8365e+10,3.88e+08,3.29e+08,8.4e+07,-3.53e+08,4.48e+08,-7.66e+08,-8.56e+08,-1.99e+08,-1.29e+08,1.2e+07,-4e+06,-3.2e+08,-7.28e+08,-7.28e+08,-7.28e+08,1.141e+09,1.4862e+10,0.75031,0.25155,0.1202,0.02675,0.00802,0.87678,2.33414,0.30729,1.27171,1.26673,10.58014,0.65225,0.01306,0.51289,12.9667,18.22044
"30","2017_Q3",67.3490476190476,"Up",2.633e+09,-5.96e+08,2.037e+09,-1.575e+09,-3.33e+08,-1.242e+09,4.62e+08,-1.89e+08,-1.79e+08,-9999999.99999999,2.73e+08,2.78e+08,-1.03e+08,1.75e+08,1.75e+08,1.75e+08,1.75e+08,8.16e+08,8.16e+08,9.84e+08,9.84e+08,1.48e+09,1.95e+08,1.235e+09,3.28e+09,3.6251e+10,4.4989e+10,1.961e+09,7.607e+09,1.16e+08,4.28e+08,7.063e+09,4.5819e+10,4.9099e+10,1.208e+09,9.73e+08,2.35e+08,6.37e+08,6.37e+08,2.484e+09,3.45e+08,6.4e+07,4.2e+07,2.033e+09,4.329e+09,1.4703e+10,1.4703e+10,1.5569e+10,1.652e+09,1.0549e+10,7.4e+07,3.294e+09,3.0272e+10,3.4601e+10,1.4498e+10,4.9099e+10,1.75e+08,3.33e+08,-1.17e+08,7.35e+08,1.126e+09,-7.74e+08,-8.75e+08,-1.99e+08,6.82e+08,1.3e+07,-7e+06,4.89e+08,7.4e+08,7.4e+08,7.4e+08,7.95e+08,1.534e+10,0.77364,0.17547,0.06646,0.01207,0.00356,0.75768,2.38661,0.31243,0.57302,0.5704,8.62148,0.6516,0.00824,1.13714,18.26918,31.43723
