"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","total_noncurrent_assets","total_assets","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2020_Q2",5.82952380952381,"Down",40869000,-22126000,-14769000,-3914000,-3443000,18652000,15661000,-188000,34313000,-26067000,696000,-25371000,-25371000,-25371000,-43633000,19301000,19301000,1251000,1251000,37536000,1550997000,1588533000,12728000,12728000,12728000,232257000,67344000,700257000,712985000,473534000,-402486000,70509000,875548000,1588533000,4.68e+08,0.45639,-1.06763,-0.04984,-0.02747,2.94909,0.81433,0.29461,-5.82395,-1.34288,5.45502,9.41124,-0.02769,24.05635
"12","2020_Q3",5.468125,"Down",31514000,-19905000,-12496000,-4062000,-3347000,11700000,15628000,-86000.0000000001,27328000,16034000,7.45058059692383e-09,16034000.0000001,16034000.0000001,16034000.0000001,-2730000,1880000,1880000,1713000,1713000,20936000,1621307000,1642243000,11941000,11941000,12106000,243537000,68039000,736537000,748643000,473534000,-402741000,70344000,893600000,1642243000,4.93e+08,0.37126,-0.0866299999999949,-0.00305999999999974,-0.00166,1.72939,0.83778,0.3002,-0.36438999999999,-0.0840200000000015,4.20635,9.38922,-0.00166999999999985,41.97607
"13","2020_Q4",12.49453125,"Up",40769000,-20047000,-11896000,-4008000,-4143000,19029000,15906000,-72000,34935000,31197000,0,31197000,31197000,31197000,11865000,1983000,1983000,999000,999000,20387000,1735983000,1756370000,16544000,16544000,16544000,247785000,68754000,827785000,844329000,473534000,-400438000,72804000,912041000,1756370000,5.8e+08,0.46675,0.29103,0.01301,0.00676,1.23229,0.92576,0.33023,1.58369,0.36517,5.44167,9.71757,0.01347,30.37558
"14","2021_Q1",22.6101639344262,"Up",35257000,-20084000,-11987000,-3961000,-4136000,13878000,9247000,-1960000,23125000,59824000,0,59824000,59824000,59824000,40276000,24188000,24188000,2127000,2127000,42769000,1756861000,1799630000,5613000,5613000,29983000,209495000,70486000,833495000,863478000,122224000,-369433000,-247354000,936152000,1799630000,6.24e+08,0.39362,1.14235,0.04302,0.02238,1.42644,0.92237,0.34674,5.37587,5.37587,4.70595,-33.01575,0.02929,43.22035
"15","2021_Q2",28.01,"Up",148103000,-79512000,-5626000,-55971000,-17915000,31586000,-13418000,537000,18168000,18136000,-1837894.01652944,18136000,18136000,18136000,18136000,51306000,51306000,7787000,7787000,76194000,1766382000,1842576000,10322000,10322000,21884000,227545000,72007000,884545000,906429000,38219000,-369253000,-331034000,936147000,1842576000,6.57e+08,0.21327,0.12246,0.01937,0.00984,3.48172,0.96825,0.35657,2.42072,2.42072,19.76815,-44.185,0.00996,19.17603
"16","2021_Q3",29.80078125,"Up",135766000,-91197000,-5337000,-57166000,-28694000,1066000,-16070000,25999.9999999995,-15004000,-15366000,-2565287.74557874,-15366000,-15366000,-15366000,-15366000,75092000,75092000,5957000,5957000,98206000,1755448000,1853654000,13582000,13582000,25144000,197454000,72922000,854454000,879598000,2000.00000000745,-506200000,-506198000,974056000,1853654000,6.57e+08,0.00784999999999997,-0.11318,-0.01578,-0.00829,3.90574,0.90303,0.35444,-2.05099,-0.2109,18.12146,-67.56514,-0.0084,545.87992
"17","2021_Q4",31.67,"Up",166586000,-90080000,-6957000,-57154000,-25969000,16003000,-10137000,3578000,5866000,5847000,-1207000,4640000,4640000,4640000,4640000,108988000,108988000,6030000,6030000,130303000,1735631000,1865934000,15907000,15907000,27469000,193652000,73130000,850652000,878121000,2000,-484142000,-484140000,987813000,1865934000,6.57e+08,0.09606,0.02785,0.0047,0.00249,4.74364,0.88895,0.3521,0.61933,0.11549,22.23518,-64.62093,0.00252,34.24433
"18","2022_Q1",30.7317741935484,"Down",-289838000,183772000,-29010000,154090000,58692000,17398000,165967000,8433000,183365000,90604000,1207000,91811000,91811000,91811000,-70095000,18729000,18729000,20683000,20683000,217519000,3335687000,3553206000,50456000,47789000,252599000,40337000,32947000,2293759000,2546358000,10000,-763568202.719151,9999.9999999404,1006848000,3553206000,2307702000,-0.06003,0.24184,-0.06962,-0.01973,0.86112,2.52904,0.64947,-9.35598,-2.1573,-38.68633,0.00132999999999583,0.02195,131.56529
"19","2022_Q2",35.376935483871,"Up",257249000,-117799000,-22752000,-61023000,-34024000,19175000,1393000,250000,20568000,22065000,-676000,21389000,21389000,21389000,16396000,17646000,17646000,29246000,28881000,309467000,5704190000,6013657000,106121000,106114000,388637000,61818000,49942000,2955843000,3344480000,7000,-1137867000,-1068963000,2669177000,6013657000,2948349000,0.07454,0.06374,0.00614,0.00273,0.79629,1.253,0.49028,2.18847,0.50462,34.33649,-151.87667,0.00289,152.83979
"20","2022_Q3",35.89515625,"Up",335572000,-133701000,-25960000,-66581000,-41160000,49157000,22439000,0,71596000,131610000,-162000,131448000,131448000,131448000,21946000,5319000,5319000,40226000,40226000,341763000,5654585000,5996348000,42162000,42162000,305957000,55106000,42805000,3026376000,3332333000,13000,-1181343000,-1150613000,2664015000,5996348000,2971270000,0.14649,0.0654,0.00823999999999999,0.00366,1.11703,1.25087,0.49551,2.92926,0.67543,44.79071,-157.67886,0.00616,60.33629
