"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q1",14.623064516129,"Down",278400000,-226108000,52292000,-43560000,-30024000,-13536000,8732000,-3748000,-4567000,819000,4984000,7684000,-2059000,5625000,5625000,5625000,5625000,98139000,98139000,217433000,217433000,118738000,37950000,472260000,68345000,163532000,69325000,81423000,12784000,231877000,704137000,213846000,164866000,237900000,182450000,10327000,10327000,192777000,430677000,286706000,164620000,-177866000,273460000,273460000,704137000,5625000,9054000,3141000,31121000,48941000,-3392000,-79251000,-1680000,1300000,1300000,-289999.999999996,-670000,-30980000,-30980000,3020000,-27960000,17786000,206504000,47574000,0.18783,0.03136,0.0202,0.02057,0.00799,8.4576,1.98512,1.57492,0.29327,0.12038,0.11842,5.95788,5.85217,1.0181,0.01147,0.09703,6.09271,12.4101
"12","2020_Q2",12.7460317460317,"Down",272018000,-217698000,54320000,-48439000,-33553000,-14886000,5881000,-5332000,-4492000,-840000,549000,548999.999999998,-325000,223999.999999999,223999.999999999,223999.999999999,223999.999999999,111389000,111389000,228782000,228782000,159999000,32158000,532328000,63902000,186503000,65912000,79868000,40723000,250405000,782733000,276936000,224213000,299975000,177303000,33671000,33671000,210974000,510949000,295050000,164844000,-188110000,271784000,271784000,782733000,223999.999999999,9544000,6865000,8634000,25267000,-5116000,-5116000,-5192999.99999999,1166000,1166000,-20000,-4047000,16104000,16104000,-2854000,13250000,15425000,200342000,19268000,0.19969,0.02162,0.000820000000000001,0.00082,0.00029,86.01786,1.77457,1.87998,0.25595,0.00471999999999997,0.00461,5.73563,5.7307,0.40628,0.00044,0.03809,5.76681,15.12549
"13","2020_Q3",13.34296875,"Up",272042000,-220536000,51506000,-43350000,-28648000,-14702000,8156000,-16536000,-4150000,-12386000,-8380000,-8380000,-1340000,-9720000,-9720000,-9720000,-9720000,141860000,141860000,217361000,217361000,161407000,29279000,549907000,59029000,199501000,62498000,78347000,58656000,258530000,808437000,275681000,217256000,277227000,191593000,32566000,32566000,224159000,501386000,350809000,155124000,-198882000,307051000,307051000,808437000,-9720000,9435000,18779000,4840000,23334000,-4156000,-4156000,242328000,641000,641000,-227080000,15889000,35067000,35067000,-4596000,30471000,17591000,193139000,19615000,0.18933,0.02998,-0.03573,-0.03166,-0.01202,-2.018,1.9836,1.63291,0.2389,-0.2033,-0.2083,5.69006,6.42232,0.41027,-0.01824,0.03682,2.91507,6.28727
"14","2020_Q4",14.93234375,"Up",281287000,-227054000,54233000,-44169000,-29734000,-14435000,10064000,-6539000,-3094000,-3445000,3525000,3525000,-2700000,824999.999999998,824999.999999998,825000.000000002,825000.000000002,131845000,131845000,223211000,223211000,180554000,31496000,567106000,53760000,171434000,59085000,73451000,38898000,225194000,792300000,305652000,245774000,306260000,193547000,27974000,27974000,221521000,527781000,343204000,155949000,-234634000,264519000,264519000,792300000,824999.999999998,8818000,11855000,-7872000,13626000,-7463000,-7463000,-201906000,-1807000,-1807000,204622000,909000.000000004,7072000,7072000,-17087000,-10015000,18882000,194155000,6247000,0.1928,0.03578,0.00293,0.00312,0.00104,7.57212,1.85171,1.99525,0.24505,0.01714,0.01714,5.84383,5.49547,0.12978,0.0017,0.01284,3.29997,6.19138
"15","2021_Q1",21.6939344262295,"Up",297030000,-240693000,56337000,-39108000,-31075000,-8033000,17229000,-3563000,-3264000,-299000,13666000,13666000,-6138000,7528000,7528000,7528000,7528000,150811000,150811000,215918000,215918000,162991000,26990000,556710000,54705000,175193000,55671000,73955000,45567000,229898000,786608000,253363000,253363000,282489000,195573000,26442000,26442000,222015000,504504000,348900000,163477000,-228241000,282104000,282104000,786608000,7528000,8633000,4095000,4722000,24978000,-15710000,-15306000,-61000,984161.697399637,984161.697399637,-95999.9999999404,-157000,9515000,9515000,9451000,18966000,25862000,195573000,21012000,0.18967,0.058,0.02534,0.02669,0.00957,2.79118,1.97073,1.78836,0.24863,0.15495,0.15495,6.11399,5.80676,0.43251,0.01493,0.04168,1.7308,2.59806
"16","2021_Q2",24.0953968253968,"Up",291697000,-239053000,52644000,-45020000,-38056000,-6964000,7624000,-2322000,-3154000,832000,5302000,5302000,-3275000,2027000,2027000,2027000,2027000,164097000,164097000,212886000,212886000,147203000,34337000,558523000,60045000,166157000,52258000,72100000,41799000,226202000,784725000,282568000,235557000,282568000,197634000,26205000,26205000,223839000,506407000,357578000,165504000,-244764000,278318000,278318000,784725000,2027000,8367000,14603000,10572000,35569000,-14644000,-14628000,0,3105000,3105000,-3483000,-377999.999999998,20563000,20563000,-7277000,13286000,15991000,197634000,15194000,0.18047,0.02614,0.00695,0.00728,0.00258,7.49581,1.9766,1.81953,0.25185,0.04126,0.04037,5.93822,5.66585,0.30931,0.00404,0.03026,2.09724,4.39887
"17","2021_Q3",23.9321875,"Down",304008000,-250553000,53455000,-40516000,-31664000,-8852000,12939000,-5895000,-4364000,-1531000,7044000,7044000,-1200000,5844000,5844000,5844000,5844000,139803000,139803000,203376000,203376000,189327000,46321000,578827000,78146000,163834000,48844000,73017000,41973000,241980000,820807000,323024000,261443000,323024000,210811000,28413000,28413000,239224000,562248000,321041000,171348000,-233830000,258559000,258559000,820807000,5844000,8793000,10084000,-4300000,20421000,-20151000,-2e+07,11439000,2546000,2546000,-44481000,-30496000,-30075000,-30075000,5781000,-24294000,21732000,210811000,-1519000,0.17583,0.04256,0.01922,0.0226,0.00712,-0.25992,1.7919,2.17454,0.25683,0.12066,0.11532,6.27675,5.33838,-0.03136,0.01174,-0.00305000000000001,3.26744,5.4879
"18","2021_Q4",28.369375,"Up",437728000,-353241000,84487000,-65193000,-48475000,-16718000,19294000,-5538000,-5050000,-488000,13756000,-2644000,-4010000,-6654000,-6654000,-7211000,-7211000,188992000,188992000,274950000,274950000,288962000,53341000,806245000,153261000,229551000,107160000,73257000,49134000,382812000,1189057000,354210000,354210000,492218000,338047000,81324000,81324000,419371000,911589000,336554000,164137000,-231258000,269433000,277468000,1189057000,-6654000,15308000,28515000,12169000,49338000,-5222000,-33780000,2.5e+07,7506000,7506000,-337000,32169000,47727000,47727000,1462000,49189000,34602000,338047000,45559000,0.19301,0.04408,-0.01647,-0.02599,-0.00606,-6.31799,1.63798,3.28538,0.2843,-0.14783,-0.14296,8.97388,5.52366,0.93401,-0.01035,0.06538,4.3077,7.72546
"19","2022_Q1",28.2354838709677,"Down",467709000,-349915000,117794000,-70054000,-53314000,-16740000,47740000,-3470000,-5032000,1562000,44270000,28270000,-6981000,21289000,21289000,20650000,20650000,222986000,222986000,313393000,313393000,363601000,50838000,950818000,156266000,237714000,101073000,74255000,62386000,393980000,1344798000,484107000,484107000,583798000,340484000,101592000,101592000,442076000,1025874000,397624000,184787000,-221615000,310251000,318924000,1344798000,21289000,16643000,22702000,-12612000,48022000,-7563000,-15770000,14923000,-13157000,-13157000,-212000.000000007,1554000,33806000,33806000,188000,33994000,64383000,365838000,51189000,0.25185,0.10207,0.04415,0.06475,0.01536,2.47889,1.62868,3.21667,0.27204,0.42133,0.37796,9.54274,6.3301,1.04442,0.02626,0.0651,2.21878,2.99229
"20","2022_Q2",22.7864516129032,"Down",469944000,-347743000,122201000,-70207000,-52550000,-17657000,51994000,-6341000,-5106000,-1235000,45653000,28453000,-7755000,20698000,20698000,20027000,20027000,233050000,233050000,344107000,344107000,317851000,48829000,943837000,148897000,230964000,95331000,72487000,63146000,379861000,1323698000,426883000,426883000,535119000,341150000,115145000,115145000,456295000,991414000,412392000,204814000,-241055000,322940000,332284000,1323698000,20698000,15813000,29115000,-50480000,15146000,-12766000,-13377000,1e+07,5029000,5029000,-2666000,12363000,14132000,14132000,-4068000,10064000,67807000,376952000,12316000,0.26003,0.11064,0.04262,0.06027,0.01513,0.61497,1.76379,2.98363,0.28477,0.40861,0.36655,9.58835,6.589,0.25129,0.02429,0.01494,2.12223,2.76767
"21","2022_Q3",18.22078125,"Down",449171000,-336458000,112713000,-71908000,-53114000,-18794000,40805000,-6247000,-4462000,-1785000,34558000,10558000,-7586000,2972000,2972000,2458000,2458000,365768000,365768000,385925000,385925000,334148000,45876000,1131717000,149059000,227737000,88887000,73413000,65437000,376796000,1508513000,440983000,440983000,533804000,483911000,135886000,135886000,619797000,1153601000,424671000,207272000,-229676000,348827000,354912000,1508513000,2972000,16077000,43189000,-30073000,32165000,-7376000,-7457000,110775000,2431000,2431000,-7843000,105363000,130071000,130071000,2647000,132718000,56882000,490336000,27019000,0.25094,0.09085,0.00547,0.00693,0.00163,10.99227,2.1201,3.25039,0.32505,0.05015,0.04499,9.16451,7.11718,0.55127,0.00251,0.02754,2.18994,3.05276
