"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2014_Q1",24.3008196721311,"Up",2513213000,2705984000,-1579810000,933403000,-603269000,-317378000,-207474000,-78417000,330134000,-303844000,-208461000,-95383000,26290000,26290000,-3883000,22407000,22407000,-79212000,-56805000,-56805000,1803669000,1803669000,488217000,488217000,107907000,319646000,238657000,2719439000,14055212000,9309959000,2897442000,4511861000,1469261000,431395000,23365171000,26084610000,2119126000,144990000,188522000,1770801000,2215328000,13447230000,2561557000,2419967000,141590000,16008787000,18224115000,4161584000,41964000,12503000,4216051000,3644444000,7860495000,26084610000,22407000,207474000,96167000,-111357000,214691000,-186667000,-5100000,2982000,-188785000,4.13e+08,-10826000,402174000,428080000,428080000,186000,428266000,537608000,13447230000,243467000,0.3714,0.13136,-0.0226,-0.00723,-0.00218,-4.28601,1.22756,2.31844,0.51552,-0.11588,-0.11588,5.12696,8.60075,0.49667,-0.00238,0.0102,21.65809,35.2692
"17","2014_Q2",23.5620634920635,"Down",2630398000,2818005000,-1626619000,1003779000,-587307000,-319246000,-207655000,-60406000,416472000,-233036000,-209387000,-23649000,183436000,183436000,2664000,186100000,186100000,-83448000,102652000,102652000,1114736000,1114736000,492535000,492535000,101553000,261806000,261806000,1970630000,14034075000,9346004000,2896542000,4451496000,1416664000,581302000,23380079000,25350709000,2112922000,220523000,188281000,1683569000,2159564000,12930728000,2437571000,2305322000,132249000,15368299000,17527863000,4165801000,165252000,12236000,4343289000,3479557000,7822846000,25350709000,186100000,207655000,29756000,-132716000,290795000,-192616000,-32175000,10722000,-214069000,-515900000,-248788000,-764688000,-687962000,-687962000,-971000,-688933000,624127000,12930728000,296131000,0.38161,0.15833,0.03903,0.01312,0.00405,2.8848,0.91251,2.2406,0.51007,0.20926,0.20005,5.36223,8.85406,0.60368,0.00443,0.01277,18.93203,28.37164
"18","2014_Q3",23.48546875,"Down",2581033000,2770398000,-1592937000,988096000,-633632000,-327484000,-203070000,-103078000,354464000,-228241000,-203936000,-24305000,126223000,126223000,51945000,178168000,178168000,-68160000,110008000,110008000,1365137000,1365137000,473922000,473922000,102524000,224732000,224732000,2166315000,14113722000,9292266000,2898861000,4396436000,1420924000,576045000,23405988000,25572303000,2241600000,253475000,191141000,1764167000,2560316000,12606520000,2463939000,2356998000,106941000,15070459000,17630775000,4171272000,270796000,15235000,4457303000,3484225000,7941528000,25572303000,178168000,203070000,77768000,53823000,512829000,-177220000,-21575000,10704000,-188091000,-7000000.00000024,-67832000,-74831999.9999998,249906000,249906000,495000,250401000,557534000,12923714000,382192000,0.38283,0.13733,0.04262,0.01385,0.0043,3.47422,0.84611,2.22007,0.50538,0.22415,0.21429,5.25898,9.08197,0.77873,0.00472,0.01638,20.73161,32.60861
"19","2014_Q4",20.49546875,"Down",2485007000,2677491000,-1566875000,918132000,-631643000,-347487000,-202386000,-81770000,286489000,-225899000,-202835000,-23064000,60590000,60590000,-10208000,50382000,50382000,-70652000,-20270000,-20270000,1313427000,1313427000,433853000,433853000,99274000,144503000,144503000,1991057000,14253703000,9203726000,2893467000,4331768000,1555353000,423138000,23457429000,25448486000,2158957000,266696000,180792000,1709079000,3369314000,11723655000,2456881000,2339171000,117710000,14180536000,17549850000,4178114000,234354000,8388000,4420856000,3477780000,7898636000,25448486000,50382000,202386000,56544000,-90122000,219190000,-247086000,-16696000,74889000,-188893000,-7e+06,-72559000,-79559000,-49262000,-49262000,-1101000,-50363000,488875000,12915197000,161875000,0.36947,0.11529,-0.00816,-0.00257,-8e-04,-7.98594,0.59094,2.22188,0.5075,-0.04129,-0.04129,5.062,9.00536,0.32974,-0.00087,0.00696,23.73157,40.49639
"20","2015_Q1",19.752131147541,"Down",2385546000,2582370000,-1482812000,902734000,-636621000,-324532000,-202654000,-109435000,266113000,-225476000,-200903000,-24573000,40637000,40637000,-328109000,-287472000,-287472000,-54791000,-342263000,-342263000,1713715000,1713715000,473345000,473345000,104011000,736089000,151414000,3027160000,14441542000,9125212000,2897110000,4364856000,1559034000,304212000,23566754000,26593914000,1930024000,164252000,191155000,1574617000,3407925000,12805285000,2752430000,2621860000,130570000,15557715000,18965640000,4185835000,-107909000,12991000,4090917000,3537357000,7628274000,26593914000,-287472000,202654000,371646000,-178972000,107856000,-332468000,-32594000,-568035000,-933097000,1243750000,-16594000,1227156000,401915000,401915000,688000,402603000,468767000,14050605000,285436000,0.37842,0.11155,-0.14347,-0.04487,-0.01287,-0.833969999999998,0.88827,2.48623,0.52834,-0.69671,-0.76728,4.85599,8.32743,0.58103,-0.01401,0.01168,26.31774,46.35959
"21","2015_Q2",19.1607936507937,"Down",2332244000,2520643000,-1428024000,904220000,-509116000,-328173000,-206412000,25469000,395104000,-238763000,-216262000,-22501000,156341000,156341000,56305000,212646000,212646000,-42796000,169850000,169850000,2195535000,2195535000,461751000,461751000,103286000,196035000,188310000,2956607000,14561951000,9279889000,2898127000,4309206000,1661444000,411112000,23841840000,26798447000,1699489000,187325000,184205000,1327959000,1895761000,14551810000,2697841000,2547150000,150691000,17249651000,19145412000,4197597000,61940999.9999999,13580000,4273118000,3379917000,7653035000,26798447000,212646000,206412000,-116903000,-126507000,175648000,-292165000,-160079000,569041000,116797000,391999000,-202776000,189223000,481668000,481668000,704000,482372000,601516000,14551810000,126539000,0.3877,0.16941,0.07283,0.02219,0.00634,0.745,1.55959,2.50168,0.54301,0.34563,0.29523,4.74591,8.69541,0.2575,0.00682,0.00508,20.54189,31.27347
"22","2015_Q3",18.8575,"Down",2385135000,2581478000,-1427399000,957736000,-609215000,-333708000,-208565000,-66942000,348521000,-225826000,-203245000,-22581000,122695000,122695000,3772000,126467000,126467000,-29008000,97459000.0000001,97459000.0000001,2342340000,2342340000,467960000,467960000,106914000,349808000,136656000,3267022000,14791558000,9091007000,2898383000,4256409000,1491052000,445163000,23882565000,27149587000,1629102000,174246000,192357000,1262499000,2790795000,12495209000,2681753000,2525636000,156117000,15176962000,17967757000,5654919000,159400000,13891000,5828210000,3353620000,9181830000,27149587000,126467000,208565000,16800000,-80211000,271621000,-281820000,-16600000,4744000,-293676000,267239000,-102603000,164636000,142581000,142581000,10000,142591000,557086000,13370238000,191283000,0.40154,0.14612,0.04086,0.01061,0.00359,1.9627,1.17064,1.95688,0.49247,0.17676,0.17095,4.32593,10.57065,0.34693,0.00386,0.00758,19.79568,31.64199
"23","2015_Q4",20.81578125,"Up",2280816000,2464191000,-1371133000,909683000,-612306000,-340495000,-204742000,-67069000,297377000,-219135000,-191781000,-27354000,78242000,78242000,16493000,94735000,94735000,-28310000,66425000,66425000,1807795000,1807795000,470842000,470842000,100533000,203104000,187050000,2582274000,15014642000,9083350000,2898996000,4212660000,1536531000,435163000,24097992000,26680266000,1674775000,168651000,143361000,1362763000,1952855000,12821037000,2661652000,2496294000,165358000,15482689000,17435544000,5660972000,225825000,14447000,5901244000,3343478000,9244722000,26680266000,94735000,204742000,-12191000,3225000,290511000,-406453000,-17845000,199124000,-225174000,-550467000,-41403000,-591870000,-526533000,-526533000,131000,-526402000,502119000,12821037000,82398000,0.39884,0.13038,0.02912,0.00719,0.00249,1.24047,1.32231,1.886,0.48054,0.11792,0.11667,4.04912,10.47644,0.14628,0.00269,0.00333,21.93353,37.03461
"24","2016_Q1",18.6437704918033,"Down",2191873000,2375529000,-1295916000,895957000,-625200000,-306728000,-200164000,-118308000,270757000,-206287000,-186291000,-19996000,64470000,-1403521000,-69976000,-1473497000,-1473497000,692043000,-781454000,-781454000,1670312000,1670312000,480559000,480559000,104200000,153678000,137685000,2408749000,15371795000,7434634000,1430767000,4164781000,1491497000,347589000,22806429000,25215178000,1659389000,182031000,165914000,1311444000,2237951000,12368311000,2838239000,2680576000,157663000,15206550000,17444501000,5661534000,-555629000,14022000,5119927000,2650750000,7770677000,25215178000,-1473497000,200164000,1583644000,-43012000,267299000,-478349000,90669000,-5325000,-393005000,-7e+06,-12868000,-19868000.0000001,-145574000,-145574000,-52000,-145626000,470921000,12696753000,19536000,0.40876,0.12353,-0.35652,-0.10056,-0.03099,-0.0249999999999997,1.07632,2.24491,0.50354,-1.38206,-1.71092,3.87651,9.05501,0.03455,-0.03353,0.00084,23.41463,40.72449
"25","2016_Q2",21.44453125,"Up",2209686000,2383320000,-1279712000,929974000,-614020000,-308543000,-199839000,-105638000,315954000,-203446000,-184669000,-18777000,112508000,112508000,-21310000,91198000,91198000,-24399000.0000001,66799000,66799000,1664905000,1664905000,452751000,452751000,97584000,186404000,177256000,2401644000,15692731000,7402915000,1429547000,4116904000,1478501000,377963000,23095646000,25497290000,1559932000,183777000,143110000,1233045000,2088311000,12686381000,2851338000,2687946000,163392000,15537719000,17626030000,5677107000,-488830000,11622000,5199899000,2671361000,7871260000,25497290000,91198000,199839000,44420000,-110861000,224596000,-427272000,-1555000,-1197000,-430024000,240339000,-39377000,200962000,-4466000,-4466000,-941000,-5407000,515793000,12929281000,-1030000,0.42086,0.14299,0.03023,0.00849,0.00262,-0.01542,1.15004,2.23929,0.50708,0.11822,0.1173,3.91056,9.20245,-0.00182,0.00282,-3.99999999999997e-05,21.83895,35.65195
