"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",5.45875,"Up",3224263,-417092,2807171,-5206557,-3565203,-1641354,-2399386,6911,-2392475,-2392475,-800,-2393275,-2393275,-2393275,-2393275,14892575,9991249,4901326,793699,793699,720432,720432,16406706,1122593,42049,42049,1582658,17989364,2698762,1776094,922668,2559849,2436997,122852,5258611,818837,818837,818837,6077448,39122304,-27212308,1920,11911916,11911916,17989364,-2393275,68531,703670,1606990,-14084,-433540,141870,-291670,708248,708248,704053,398299,398299,398299,-2330855,0,-1156605,0.87064,-0.74417,-0.74227,-0.20091,-0.13304,0.48327,3.11997,0.5102,0,-0.0904,-0.0904,0.12179,0.44995,-0.04369,-0.18799,-0.09085,6.38932,6.20683
"12","2013_Q4",5.78796875,"Up",3882027,-469444,3412583,-5470234,-3494214,-1976020,-2057651,5592,-2052059,-2052059,0,-2052059,-2052059,-2052059,-2052059,29461214,22945632,6515582,572382,572382,608147,608147,30641743,1560156,42049,42049,1602205,32243948,3575507,2336825,1238682,2865948,2686083,179865,6441455,1379081,1379081,1379081,7820536,53691340,-29264367,-3561,24423412,24423412,32243948,-2052059,92110,742822,2059000,841873,-529673,-1236950,-1766623,13883402,13883402,13879133,12954383,12954383,12954383,-1965541,2.22044604925031e-16,-436214,0.87907,-0.53005,-0.52861,-0.08402,-0.06364,0.21257,4.75696,0.32021,0,-0.07569,-0.07569,0.1432,0.90091,-0.01609,-0.07953,-0.01691,14.98886,14.31789
"13","2014_Q1",5.32508196721311,"Down",4387231,-377067,4010164,-5486599,-3713314,-1773285,-1476435,5981,-1470454,-1470454,-276,-1470730,-1470730,-1470730,-1470730,29025328,23294456,5730872,1494627,1494627,661706,661706,31181661,1629664,42049,42049,1671713,32853374,3331396,1875909,1455487,2487068,2335532,151536,5818464,1306168,795043,1306168,7124632,56462001,-30735097,1838,25728742,25728742,32853374,-1470730,114126,769150,-1651422,-2238876,-182537,750061,567524,2024566,2024566,2020176,348824,348824,348824,-1362309,0,-3195992,0.91405,-0.33653,-0.33523,-0.05716,-0.04477,2.17307,5.35909,0.27691,0,-0.04844,-0.04844,0.14449,0.84738,-0.10526,-0.0544,-0.11822,21.30598,19.65906
"14","2014_Q2",3.40650793650794,"Down",4462524,-570697,3891827,-5372675,-3847101,-1525574,-1480848,13509,-1467339,-1467339,-961,-1468300,-1468300,-1468300,-1468300,23357861,10176985,13180876,2857062,2857062,563622,563622,26778545,1529710,42049,42049,5624185,32402730,2902636,1540241,1362395,3147086,3026533,120553,6049722,1224915,763765,1224915,7274637,57330493,-32203397,997,25128093,25128093,32402730,-1468300,116175,924796,-1116254,-1543583,-16221,-11592555,-11608776,39420.9999999981,39421.0000000019,34888,-13117471,-13117471,-13117471,-1364673,0,-2496187,0.87211,-0.33184,-0.32903,-0.05843,-0.04531,1.70005,4.42641,0.2895,0,-0.0483,-0.0483,0.14678,0.82652,-0.0821,-0.05572,-0.09472,17.11609,15.7733
"15","2014_Q3",2.8915625,"Down",4484138,-449214,4034924,-6246447,-4615819,-1630628,-2211523,19676,-2191847,-2191847,-1170,-2193017,-2193017,-2193017,-2193017,26244964,7920523,18324441,3115319,3115319,609914,609914,29970197,1507237,42049,42049,1549286,31519483,3132458,1684639,1447819,3382853,3225970,156883,6515311,1126947,715772,1126947,7642258,58265956,-34396414,7683,23877225,23877225,31519483,-2193017,120343,1011762,73030,-987882,-97870,-1185448,-1283318,19413,19413,14738,-2256462,-2256462,-2256462,-2091180,0,-2114850,0.89982,-0.49319,-0.48906,-0.09185,-0.06958,0.964360000000009,4.59996,0.32006,0,-0.07201,-0.07201,0.14725,0.78406,-0.06945,-0.08771,-0.08458,12.55031,11.86737
"16","2014_Q4",3.0078125,"Up",4659724,-607586,4052138,-5702579,-4113058,-1589521,-1650441,17934,-1632507,-1632507,-95,-1632602,-1632602,-1632602,-1632602,24732695,9141126,15591569,2519605,2519605,805086,805086,28057386,1406543,42049,42049,3072288,31129674,3181103,1594378,1586725,3747836,3602456,145380,6928939,1038211,677011,1038211,7967150,59188805,-36029016,2735,23162524,23162524,31129674,-1632602,118802,1028935,708448,223583,-18108,1019902,1001794,5.82076609134674e-11,0,-4773.99999999994,1220603,1220603,1220603,-1531639,8.67361737988404e-19,-841204,0.86961,-0.35419,-0.35036,-0.07048,-0.05245,0.51525,4.0493,0.34397,0,-0.05356,-0.05356,0.15287,0.7599,-0.0276,-0.06746,-0.03476,16.14786,14.98551
"17","2015_Q1",3.19606557377049,"Up",5543614,-520503,5023111,-5088299,-3814022,-1274277,-65188,66881,1693,1693,225.999999999998,1919,1919,1919,1919,24035760,7766590,16269170,2955350,2955350,704409,704409,27695519,1293270,42049,42049,3407337,31102856,3227180,1792267,1434913,2984319,2826670,157649,6211499,949324,638099,949324,7160823,59976809,-36026966,-7810,23942033,23942033,31102856,1919,115680,874507,-1153224,-161118,-1801,-1217899,-1219700,11166,11166,6148,-1374670,-1374670,-1374670,50492,0,-1104759,0.90611,-0.01176,0.00035,8e-05,6e-05,-575.69515,4.45875,0.29909,0,6e-05,6e-05,0.1816,0.78428,-0.03619,8e-05,-0.04438,-476.03105,368.71449
"18","2015_Q2",3.42396825396825,"Up",5389322,-497401,4891921,-4758047,-3602905,-1155142,133874,15203,149077,149077,-2897,146180,146180,146180,146180,26944374,12784071,14160303,3517770,3517770,543815,543815,31005959,1198963,42049,42049,1241012,32246971,2496466,1436305,1060161,3980394,3827357,153037,6476860,860276,599026,860276,7337136,60800618,-35880786,-9997,24909835,24909835,32246971,146180,107700,922472,-254386,921966,-13393,4104221,4090828,9748,9748,4687,5017481,5017481,5017481,241574,-1.0842021724855e-19,-23308,0.90771,0.02484,0.02712,0.00587,0.00453,-0.15945,4.78719,0.29455,-2.58493941422821e-26,0.00477000000000001,0.00469,0.17602,0.81357,-0.00076,0.00567,-9e-04,-111.53673,-201.26667
"19","2015_Q3",3.5125,"Up",5672678,-557599,5115079,-4628953,-3241095,-1387858,486126,21797,507923,507923,-103,507820,507820,507820,507820,25705507,5740117,19965390,2982753,2982753,1035717,1035717,29723977,1101405,42049,42049,3661066,33385043,2495843,1300077,1195766,3810595,3635351,175244,6306438,793666,558541,793666,7100104,61671739,-35373136,-13664,26284939,26284939,33385043,507820,107300,1015528,-22614,1608034,-9607,-8637221,-8646828,-748,-748,-5687,-7044481,-7044481,-7044481,593426,0,561308,0.9017,0.0857,0.08952,0.01932,0.01521,1.10532999999992,4.71328,0.27012,0,0.01654,0.01621,0.18479,0.85626,0.01829,0.01875,0.02073,-43.31712,-52.87828
"20","2015_Q4",4.0196875,"Up",6440000,-592000,5848000,-4722000,-3369000,-1353000,1126000,29000,1155000,339000,578000,917000,917000,917000,917000,23953495,2730826,21222669,3807947,3807947,832341,832341,28593783,1065633,6521351,92049,8349989,36943772,3802309,2341468,1460841,3970321,3674946,295375,7772630,1007705,751955,1007705,8780335,62634301,-34456175,-14689,28163437,28163437,36943772,917000,131000,930000,-318000,1660000,-29000,683999.999999996,-4778000,116000,116000,110000,-3008000,-3008000,-3009000,1257000,-6.7762635780344e-21,332000,0.90807,0.17484,0.14239,0.03256,0.02482,0.36205,3.67878,0.31176,-3.23117426778526e-27,0.02981,0.02898,0.20933,0.91545,0.01079,0.03144,0.01138,-19.05608,-21.27309
"21","2016_Q1",5.11967213114754,"Up",7865000,-824000,7041000,-5527000,-3846000,-1681000,1514000,25000,1539000,987000,-32000,955000,955000,955000,955000,26674000,2753000,23921000,3937000,3937000,798000,798000,31409000,975000,6362000,92000,7337000,38746000,3599000,1538000,2061000,3805000,3516000,289000,7404000,909000,687000,909000,8313000,63937000,-33501000,-2999.99999999999,30433000,30433000,38746000,955000,259000,680000,21000,1915000,-21000,-1999000,-2010000,121000,121000,117000,22000,22000,22000,1773000,0,1805000,0.89523,0.1925,0.12142,0.03138,0.02465,1.89005,4.24217,0.27316,0,0.03073,0.03005,0.25305,0.97916,0.05807,0.03047,0.05759,-15.04456,-17.61823
"22","2016_Q2",7.46421875,"Up",7404000,-942000,6462000,-6261000,-4554000,-1707000,201000,36000,237000,-306000,-16000,-322000,-322000,-322000,-322000,25459300,4353905,21105395,4237736,4237736,825856,825856,30522892,940449,6071078,92049,9156092,39678984,2844802,1611130,1233672,4542603,4225050,317553,7387405,924272,734407,924272,8311677,65343555,-33822886,-153362,31367307,31367307,39678984,-322000,258000,1420000,-338000,1018000,-74000,583000,509000,116000,116000,110000,1637000,1637000,1601000,459000,-1.35525271560688e-20,63000,0.87277,0.02715,-0.04349,-0.01027,-0.00812,-0.19565,4.13175,0.26498,-2.01948391736579e-28,-0.01036,-0.01036,0.23811,1.00878,0.00203,-0.00997,0.00195,-55.46688,-126.66318
"23","2016_Q3",7.835,"Up",8522000,-720000,7802000,-6630000,-4817000,-1813000,1172000,30000,1202000,661000,-79000,582000,582000,582000,582000,28161000,13226000,14935000,2492000,2492000,1099000,1099000,31752000,867000,5923000,92000,10543000,42295000,3558000,1608000,1950000,4131000,3770000,361000,7689000,961000,786000,961000,8650000,67011000,-33241000,-125000,33645000,33645000,42295000,582000,258000,1634000,1697000,4171000,-37000,4544000,4507000,197000,197000,192000,8870000,8870000,8872000,1430000,0,3169000,0.91551,0.13753,0.06829,0.0173,0.01376,5.44502,4.12954,0.2571,0,0.01858,0.01757,0.27205,1.07404,0.10116,0.01682,0.09157,-19.69301,-24.02816
"24","2016_Q4",6.52507936507936,"Down",9105000,-793000,8312000,-7062000,-5122000,-1940000,1250000,45000,1295000,739000,0,739000,739000,739000,739000,24917000,5009000,19908000,4614000,4614000,1445000,1445000,30976000,826000,5827000,92000,14966000,45942000,3547000,1107000,2440000,4465000,3815000,650000,8012000,953000,791000,953000,8965000,69547000,-32502000,-68000,36977000,36977000,45942000,739000,262000,1313000,-2212000,102000,-29000,-9524000,-9553000,1286000,1286000,1280000,-8171000,-8171000,-8217000,1512000,0,-729000,0.9129,0.13729,0.08116,0.01999,0.01609,-0.98647,3.8662,0.24245,-4.03896783473158e-28,0.02322,0.0214,0.28611,1.16194,-0.02291,0.01948,-0.01922,-16.4795,-19.9336
"25","2017_Q1",6.16532258064516,"Down",9670000,-940000,8730000,-7353000,-5019000,-2334000,1377000,23000,1400000,864000,95999.9999999999,960000,960000,960000,960000,33873000,9010000,24863000,4949000,4949000,1485000,1485000,40307000,440000,5686000,40000,8078000,48385000,4581000,1318000,3263000,3746000,3391000,355000,8327000,573000,314000,573000,8900000,71069000,-31542000,-42000,39485000,39485000,48385000,960000,610000,1237000,-244000,2563000,-110000,1362000,1252000,156000,156000,151000,3966000,3966000,4001000,1987000,0,1537000,0.90279,0.1424,0.09928,0.02431,0.01984,1.60104,4.84052,0.2254,0,0.0299,0.02629,0.30122,1.22996,0.04788,0.02397,0.03837,-17.04731,-24.59913
"26","2017_Q2",8.15714285714286,"Up",9269000,-891000,8378000,-8532000,-6081000,-2451000,-154000,65000,-89000,-607000,1012165.39101849,-607000,-607000,-607000,-607000,34529000,6215000,28314000,5544000,5544000,1153000,1153000,41226000,310000,5150000,33971.3982979951,5460000,46686000,2950000,1380000,1570000,3110000,2794000,316000,6060000,690000,611000,690000,6750000,72518000,-32149000,-433000,39936000,39936000,46686000,-607000,314000,1470000,-2406000,-1229000,-45000,-1530000,-1575000,19000.0000000001,19000.0000000001,19000,-2785000,-2785000,-2795000,160000,-3.46944695195361e-18,3713028.49235596,0.90387,-0.01661,-0.06549,-0.0152,-0.013,4.05214456054022,6.80297,0.16902,1.29246970711411e-26,-0.01875,-0.01875,0.28628,1.23347,0.115739730662225,-0.01494,0.0968252258561973,-215.80625,224.21429
"27","2017_Q3",9.76746031746032,"Up",11419000,-830000,10589000,-8847000,-6446000,-2401000,1742000,67000,1809000,1291000,-74000,1217000,1217000,1217000,1217000,36010000,12959000,23051000,5104000,5104000,1130000,1130000,42244000,474000,5150000,62000,9520000,51764000,4190000,1820000,2370000,4025000,3677000,348000,8215000,737000,686000,737000,8952000,74100000,-30932000,-356000,42812000,42812000,51764000,1217000,189000,1606000,2589000,5601000,-209000,1363000,1154000,11000,11000,11000,6766000,6766000,6744000,1931000,0,4385000,0.92731,0.15255,0.10658,0.02843,0.02351,3.60312,5.1423,0.2091,0,0.03712,0.03496,0.34829,1.3058,0.13375,0.02795,0.10069,-18.64837,-20.67164
"28","2017_Q4",9.11904761904762,"Down",11798000,-1182000,10616000,-9502000,-6850000,-2652000,1114000,149000,1263000,633000,-17000,616000.000000001,616000.000000001,616000.000000001,616000.000000001,38300000,9299000,29001000,6405000,6405000,1323000,1323000,46028000,546000,5350000,62000,10512000,56540000,5189000,1828000,3361000,4330000,3960000,370000,9519000,878000,789000,878000,10397000,76490000,-30316000,-31000,46143000,46143000,56540000,616000,198000,2132000,-127000.000000001,2819000,-106000,-6689000,-6795000,351000,351000,351000,-3625000,-3625000,-3660000,1312000,5.55111512312578e-17,1096000,0.89981,0.09442,0.0522099999999999,0.01335,0.01089,1.77922,4.83538,0.22532,1.03397576569128e-25,0.01865,0.0173,0.35726,1.39726,0.03319,0.0131,0.02331,-29.19207,-34.38061
"29","2018_Q1",8.14180327868852,"Down",12904000,-1138000,11766000,-9343000,-6417000,-2926000,2423000,121000,2544000,1854000,11012000,12866000,12866000,12866000,12866000,42568000,12289000,30279000,7099000,7099000,1209000,298000,50876000,613000,16450000,74000,20843000,71719000,5627000,1918000,3709000,3907000,3305000,602000,9534000,777000,692000,777000,10311000,78711000,-17450000,147000,61408000,61408000,71719000,12866000,212000,-9186000,-638000,3254000,-128000,-433000,-561000,306000,306000,306000,2999000,2999000,2990000,2635000,0,-9143000,0.91181,0.18777,0.99706,0.20952,0.17939,-0.71063,5.33627,0.16791,0,0.3768,0.327,0.37792,1.79845,-0.26777,0.2069,-0.14703,-16.15484,-17.5683
"30","2018_Q2",8.44796875,"Up",12136000,-1617000,10519000,-11572000,-8292000,-3280000,-1053000,190000,-863000,-2122000,-3614000,-5736000,-5736000,-5736000,-5736000,38340000,6341000,31999000,5652000,5652000,3077000,3077000,47069000,833000,33564000,306000,41879000,88948000,5385000,2962000,2423000,6457000,2969000,3488000,11842000,4705000,4606000,4705000,16547000,87055000,-14931000,277000,72401000,72401000,88948000,-5736000,575000,6615000,1113000,2567000,-216000,-5441000,-8648000,137000,137000,137000,-5944000,-5944000,-5948000,-478000,0,4033000,0.86676,-0.08677,-0.47264,-0.0792299999999999,-0.06449,-0.7031,3.97475,0.22855,-1.65436122510606e-24,-0.16768,-0.16768,0.35478,2.11656,0.1179,-0.07439,0.0523,80.20921,36.41026
"31","2018_Q3",8.25380952380952,"Down",14277000,-1717000,12560000,-12622000,-9121000,-3501000,-62000,204000,142000,-1061000,-99000,-1160000,-1160000,-1160000,-1160000,44384000,25238000,19146000,7797000,7797000,3359000,3359000,55540000,2278000,33578000,430000,36795000,92335000,5715000,2304000,3411000,8612000,3953000,4659000,14327000,4287000,3678000,4287000,18614000,89144000,-16091000,668000,73721000,73721000,92335000,-1160000,744000,2078000,-671000,991000,-1526000,19394000,17868000,29000,29000,29000,18888000,18888000,18897000,682000,0,-1416000,0.87974,-0.00434,-0.08125,-0.01574,-0.01256,1.22069,3.8766,0.25249,0,-0.03317,-0.03317,0.40819,2.10776,-0.04048,-0.01487,-0.01815,-65.07918,715.87097
"32","2018_Q4",9.03825396825397,"Up",16109000,-2678000,13431000,-13140000,-8979000,-4161000,291000,-1351000,-1060000,-4214000,1430000,-2784000,-2784000,-2784000,-2784000,18011000,8634000,9377000,12124000,12124000,4562000,4562000,34697000,3847000,85579000,1679000,89426000,124123000,10467000,3853000,6614000,8971000,4924000,4047000,19438000,10461000,1981000,10461000,29899000,113330000,-18875000,-231000,94224000,94224000,124123000,-2784000,1212000,1107000,1030000,565000,-1434000,10725000,-17462000,329000,329000,329000,-16568000,-16568000,-16604000,1503000,0,-331000,0.83376,0.01806,-0.17282,-0.02955,-0.02243,0.11889,1.78501,0.31732,2.64697796016969e-23,-0.07693,-0.07693,0.44512,2.60359,-0.00915,-0.02659,-0.00316,-11.98337,-61.8934699999998
"33","2019_Q1",11.217868852459,"Up",21037000,-2674000,18363000,-17105000,-9929000,-7176000,1258000,22000,1280000,-1343000,-783000,-2126000,-2126000,-2126000,-2126000,17476000,9028000,8448000,16821000,16821000,3331000,1053000,37628000,4665000,84857000,2147000,89522000,127150000,11488000,3573000,7915000,8919000,4792000,4127000,20407000,11349000,2702000,11349000,31756000,116982000,-21002000,-586000,95394000,95394000,127150000,-2127000,-1916000,8900000,-3354000,1503000,-1131000,949000,-182000,630000,630000,-924000,397000,397000,394000,-658000,0,-4360000,0.87289,0.0598,-0.10106,-0.02229,-0.01672,2.0508,1.84388,0.33289,0,-0.05614,-0.05614,0.55549,2.51892,-0.11513,-0.01992,-0.04085,26.55927,-13.89189
