"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2020_Q2",13.5280952380952,"Down",5.425e+09,-4.67e+09,7.55e+08,-6.75e+08,-6.75e+08,8e+07,-3.4e+07,-5.9e+07,2.5e+07,4.6e+07,-1.6139e+10,-1.6093e+10,-5e+06,-1.6098e+10,-1.6098e+10,5.871e+09,-1.0227e+10,-1.0227e+10,3.01e+09,3.01e+09,6.148e+09,6.148e+09,4.534e+09,9.61e+08,9.61e+08,1.4653e+10,5.997e+09,1.6579e+10,5.878e+09,4.576e+09,1.315e+09,4.81e+09,2.2576e+10,3.7229e+10,3.991e+09,3.991e+09,2.1e+08,5.94e+09,5.94e+09,1.0141e+10,6.285e+09,2.818e+09,1.025e+09,3.14e+08,1.479e+09,9.103e+09,1.9244e+10,2.3486e+10,-1.0212e+10,-1.804e+09,1.147e+10,6.515e+09,1.7985e+10,3.7229e+10,-1.6098e+10,3.55e+08,1.5876e+10,3.45e+08,4.78e+08,-3.25e+08,7e+06,-3.18e+08,-1.18e+08,-1.15e+08,-9.4e+07,-3.27e+08,-1.67e+08,-1.67e+08,-7.2e+07,-2.39e+08,4.35e+08,6.495e+09,4.6e+08,0.13917,0.01475,-1.88516,-0.56864,-0.27471,-0.04498,1.44493,1.07,0.17446,-15.66156,-15.66156,8.30781,17.56508,0.70444,0.1807,-0.37032,0.01685,-0.01154,8.01149,43.5625
"12","2020_Q3",14.3265625,"Up",4.735e+09,-4.057e+09,6.78e+08,-5.9e+08,-5.9e+08,8.8e+07,-3.13e+08,-6.9e+07,-2.44e+08,-2.25e+08,-139999999.999994,-365000000.000004,2.1e+07,-344000000.000004,-344000000.000004,149000000.000001,-194999999.999998,-194999999.999998,4.132e+09,4.132e+09,5.636e+09,5.636e+09,4.616e+09,1.118e+09,1.118e+09,1.5502e+10,5.71e+09,1.6311e+10,5.868e+09,4.416e+09,1.174e+09,4.853e+09,2.2021e+10,3.7523e+10,3.628e+09,3.628e+09,9.34e+08,6.005e+09,6.005e+09,1.0567e+10,6.766e+09,2.625e+09,1.059e+09,1.77e+08,1.389e+09,9.391e+09,1.9958e+10,2.3432e+10,-1.0413e+10,-1.765e+09,1.1254e+10,6.311e+09,1.7565e+10,3.7523e+10,-344000000.000004,3.39e+08,2.41e+08,-6e+06,2.3e+08,-1.68e+08,4.9e+07,-1.19e+08,-1.18e+08,1.203e+09,-6.3e+07,1.022e+09,1.133e+09,1.133e+09,-1.1e+07,1.122e+09,4.27e+08,7.7e+09,2.32e+08,0.14319,0.01859,-0.0411800000000004,-0.0111000000000001,-0.00519999999999998,-1.18974,1.46702,1.13624,0.20521,-0.297709999999997,-0.29771,7.22901,17.18168,0.3542,0.18015,-0.00275999999999998,0.00832,-0.60513,8.35597,40.54545
"13","2020_Q4",16.66015625,"Up",5.05e+09,-4.293e+09,7.57e+08,-5.65e+08,-5.65e+08,1.92e+08,-2.15e+08,-6.7e+07,-1.48e+08,-2.3e+07,-2.41e+08,-2.64e+08,-6e+06,-2.7e+08,-2.7e+08,1e+08,-1.7e+08,-1.7e+08,4.061e+09,4.061e+09,5.647e+09,5.647e+09,4.469e+09,1.031e+09,1.031e+09,1.5208e+10,5.536e+09,1.6595e+10,5.923e+09,4.377e+09,1.305e+09,4.99e+09,2.2131e+10,3.7339e+10,3.482e+09,3.482e+09,9.35e+08,6.222e+09,6.222e+09,1.0639e+10,6.754e+09,2.697e+09,1.147e+09,1.72e+08,1.378e+09,9.451e+09,2.009e+10,2.3977e+10,-1.0594e+10,-1.801e+09,1.1582e+10,5.667e+09,1.7249e+10,3.7339e+10,-2.7e+08,3.16e+08,-2.6e+07,1.99e+08,2.19e+08,-1.67e+08,5.3e+07,-1.14e+08,-1.23e+08,-2.1e+07,-5.7e+07,-2.01e+08,-9.6e+07,-9.6e+07,2.5e+07,-7.1e+07,5.08e+08,7.689e+09,5.46e+08,0.1499,0.03802,-0.03366,-0.00986,-0.00455,-3.21176,1.42946,1.16471,0.20592,-0.25074,-0.25074,7.44838,17.0826,0.80531,0.18142,-0.0017,0.01976,-0.72353,7.14173,18.89583
"14","2021_Q1",21.7780327868852,"Up",5.495e+09,-4.486e+09,1.009e+09,-5.74e+08,-5.74e+08,4.35e+08,1.338e+09,-6.9e+07,1.407e+09,1.773e+09,-2.53e+08,1.52e+09,-5.69e+08,9.51e+08,9.51e+08,-2.99e+08,6.52e+08,6.52e+08,4.132e+09,4.132e+09,5.622e+09,5.622e+09,4.421e+09,2.28e+09,2.28e+09,1.6455e+10,5.358e+09,1.6194e+10,5.977e+09,4.397e+09,9.53e+08,4.867e+09,2.1552e+10,3.8007e+10,3.532e+09,3.532e+09,8.89e+08,5.806e+09,5.806e+09,1.0227e+10,6.744e+09,2.794e+09,1.217e+09,1.86e+08,1.391e+09,9.538e+09,1.9765e+10,2.4613e+10,-9.942e+09,-1.778e+09,1.2893e+10,5.349e+09,1.8242e+10,3.8007e+10,9.51e+08,3.07e+08,-7.86e+08,-94999999.9999999,3.77e+08,-1.27e+08,-1.01e+08,-6.7e+07,-1.29e+08,-75999999.9999999,-6.4e+07,-2.69e+08,4.1e+07,4.1e+07,3e+07,7.1e+07,7.42e+08,7.633e+09,1.089e+09,0.18362,0.07916,0.11865,0.03574,0.01715,1.67025,1.60898,1.08349,0.20083,0.91317,0.91317,7.69608,18.05742,1.52521,0.18067,0.02724,0.03799,0.19785,4.71833,8.04828
"15","2021_Q2",22.2104761904762,"Up",4.782e+09,-3.924e+09,8.58e+08,-5.87e+08,-5.87e+08,2.71e+08,-7e+08,-7.4e+07,-6.26e+08,-4.29e+08,-1.07e+08,-5.36e+08,-6.9e+07,-6.05e+08,-6.05e+08,1.53e+08,-4.52e+08,-4.52e+08,4.382e+09,4.382e+09,5.263e+09,5.263e+09,4.181e+09,1.96e+09,1.96e+09,1.5786e+10,5.163e+09,1.5887e+10,5.969e+09,4.228e+09,9.43e+08,4.747e+09,2.105e+10,3.6836e+10,3.468e+09,3.468e+09,8.87e+08,5.603e+09,5.603e+09,9.958e+09,6.733e+09,2.721e+09,1.197e+09,1.66e+08,1.358e+09,9.454e+09,1.9412e+10,2.5357e+10,-1.0394e+10,-1.92e+09,1.3043e+10,4.381e+09,1.7424e+10,3.6836e+10,-6.05e+08,2.92e+08,7.88e+08,2.03e+08,6.78e+08,-1.8e+08,6e+06,-1.74e+08,-1.31e+08,-3.6e+07,-8.8e+07,-2.55e+08,2.49e+08,2.49e+08,1e+06,2.5e+08,5.63e+08,7.62e+09,6.55e+08,0.17942,0.05667,-0.09452,-0.02594,-0.01227,-1.44912,1.58526,1.1141,0.20686,-0.61081,-0.61081,6.46216,17.62568,0.88514,0.17703,-0.01156,0.02359,-0.28982,5.75133,11.94834
"16","2021_Q3",21.63015625,"Down",5.142e+09,-4.166e+09,9.76e+08,-6.42e+08,-6.42e+08,3.34e+08,-1.27e+08,-6.4e+07,-6.3e+07,2.07e+08,-1.4e+08,66999999.9999998,-1.44e+08,-7.7e+07,-7.7e+07,9000000.00000006,-6.8e+07,-6.8e+07,3.913e+09,3.913e+09,5.407e+09,5.407e+09,4.212e+09,1.98e+09,1.98e+09,1.5512e+10,5.086e+09,1.6071e+10,6.052e+09,4.202e+09,9.91e+08,4.826e+09,2.1157e+10,3.6669e+10,3.593e+09,3.593e+09,5.1e+07,6.161e+09,6.161e+09,9.805e+09,6.722e+09,2.742e+09,1.163e+09,1.49e+08,1.43e+09,9.464e+09,1.9269e+10,2.6253e+10,-1.0462e+10,-1.901e+09,1.389e+10,3.51e+09,1.74e+10,3.6669e+10,-7.7e+07,2.78e+08,49000000.0000002,2.56e+08,5.06e+08,-1.21e+08,1.65e+08,4.4e+07,-1.49e+08,-8.41e+08,-4e+07,-1.03e+09,-4.8e+08,-4.8e+08,1.1e+07,-4.69e+08,6.12e+08,6.773e+09,8.91e+08,0.18981,0.06496,-0.01322,-0.00391,-0.00185,-13.10294,1.58205,1.10741,0.18471,-0.0918900000000004,-0.0918899999999997,6.94865,18.77027,1.20405,0.20135,0.00300999999999999,0.0331,-2.19118,4.6732,8.56287
"17","2021_Q4",24.17265625,"Up",5.093e+09,-4.083e+09,1.01e+09,-6.07e+08,-6.07e+08,4.03e+08,-1.69e+08,-6.7e+07,-1.02e+08,2.34e+08,-2.5e+07,2.09e+08,-1.93e+08,1.6e+07,1.6e+07,-8e+06,8e+06,8e+06,3.926e+09,3.926e+09,5.326e+09,5.326e+09,4.11e+09,1.525e+09,1.525e+09,1.4887e+10,4.982e+09,1.5903e+10,6.015e+09,4.151e+09,9.74e+08,4.763e+09,2.0885e+10,3.5772e+10,3.514e+09,3.514e+09,5.6e+07,5.784e+09,5.784e+09,9.354e+09,6.708e+09,2.674e+09,1.132e+09,1.57e+08,1.385e+09,9.382e+09,1.8736e+10,2.6688e+10,-1.0454e+10,-2.092e+09,1.4142e+10,2.894e+09,1.7036e+10,3.5772e+10,1.6e+07,2.62e+08,1.63e+08,-2.5e+07,4.16e+08,-1.11e+08,2.9e+07,-8.2e+07,-1.56e+08,-1.5e+07,-2.3e+07,-3e+08,3.4e+07,3.4e+07,-2.1e+07,1.3e+07,6.65e+08,6.764e+09,7.22e+08,0.19831,0.07913,0.00157,0.00047,0.00022,90.25,1.59151,1.09979,0.18909,0.01185,0.01185,7.54519,20.95111,1.06963,0.23111,0.00619,0.02727,19.5,4.26767,7.04218
"18","2022_Q1",29.9222580645161,"Up",5.485e+09,-4.28e+09,1.205e+09,-6.34e+08,-6.34e+08,5.71e+08,1.14e+08,-9.4e+07,2.08e+08,6.85e+08,2999999.99999999,6.88e+08,-3.52e+08,3.36e+08,3.36e+08,-4.3e+07,2.93e+08,2.93e+08,3.853e+09,3.853e+09,5.651e+09,5.651e+09,3.979e+09,1.582e+09,1.582e+09,1.5065e+10,4.877e+09,1.5366e+10,5.959e+09,4.131e+09,7.35e+08,4.541e+09,2.0243e+10,3.5308e+10,3.745e+09,3.745e+09,4e+07,5.343e+09,5.343e+09,9.128e+09,6.687e+09,2.747e+09,1.11e+09,1.27e+08,1.51e+09,9.434e+09,1.8562e+10,2.7375e+10,-1.016e+10,-2.385e+09,1.483e+10,1.916e+09,1.6746e+10,3.5308e+10,3.36e+08,2.73e+08,-1.5e+07,1.8e+08,7.74e+08,-1.29e+08,-1.3e+07,-2.51e+08,-1.56e+08,-43999999.9999999,-3e+07,-5.58e+08,-3.5e+07,-3.5e+07,-3.8e+07,-7.3e+07,8.44e+08,6.727e+09,1.247e+09,0.21969,0.1041,0.05342,0.0175,0.0083,4.25597,1.65042,1.10844,0.19052,0.43407,0.43407,8.12593,21.97037,1.84741,0.23111,0.01712,0.04756,0.532419999999998,3.40521,5.03327
"19","2022_Q2",33.4591935483871,"Up",4.835e+09,-3.865e+09,9.7e+08,-6.21e+08,-6.21e+08,3.49e+08,-9.2e+07,-6.4e+07,-2.8e+07,2.57e+08,-7e+07,1.87e+08,-1.07e+08,8e+07,8e+07,-8e+06,7.2e+07,7.2e+07,3.191e+09,3.191e+09,5.738e+09,5.738e+09,4.151e+09,1.627e+09,1.627e+09,1.4707e+10,4.804e+09,1.5483e+10,5.989e+09,4.118e+09,7.61e+08,4.615e+09,2.0287e+10,3.4994e+10,3.755e+09,3.755e+09,3.5e+07,5.352e+09,5.352e+09,9.142e+09,6.65e+09,2.755e+09,1.063e+09,1.92e+08,1.5e+09,9.405e+09,1.8547e+10,2.8351e+10,-1.0088e+10,-2.559e+09,1.5704e+10,7.43e+08,1.6447e+10,3.4994e+10,8e+07,2.77e+08,-1.1e+07,-2.74e+08,7.2e+07,-1.77e+08,-8.9e+07,-2.66e+08,-1.72e+08,-1.1e+07,-5e+07,-4.69e+08,-6.63e+08,-6.63e+08,1e+06,-6.62e+08,6.26e+08,6.685e+09,2.82e+08,0.20062,0.07218,0.01489,0.00438,0.00206,3.91667,1.60873,1.12768,0.19103,0.08036,0.07947,5.39621,17.52679,0.31473,0.19196,0.00943,0.01089,2.38889,5.58147,10.01146
"20","2022_Q3",25.745,"Down",5.047e+09,-4.078e+09,9.69e+08,-6.24e+08,-6.24e+08,3.45e+08,-6.29e+08,-6e+07,-5.69e+08,-2.84e+08,-3.71e+08,-6.55e+08,-1.82e+08,-8.37e+08,-8.37e+08,-2e+06,-8.39e+08,-8.39e+08,2.928e+09,2.928e+09,5.572e+09,5.572e+09,4.052e+09,1.647e+09,1.647e+09,1.4199e+10,4.531e+09,1.5023e+10,5.741e+09,4.049e+09,7.73e+08,4.46e+09,1.9554e+10,3.3753e+10,3.764e+09,3.764e+09,3.4e+07,5.577e+09,5.577e+09,9.375e+09,6.625e+09,2.667e+09,9.96e+08,1.91e+08,1.48e+09,9.292e+09,1.8667e+10,2.8598e+10,-1.0927e+10,-2.789e+09,1.4882e+10,2.04e+08,1.5086e+10,3.3753e+10,-8.37e+08,2.74e+08,6.21e+08,2.63e+08,3.21e+08,-1.74e+08,1e+07,-1.64e+08,-1.82e+08,-4e+06,1.3e+07,-3.99e+08,-2.42e+08,-2.42e+08,-2.1e+07,-2.63e+08,6.19e+08,6.659e+09,8.9e+08,0.192,0.06836,-0.16624,-0.05561,-0.02486,-1.06079,1.51456,1.23737,0.19729,-0.83816,-0.83816,5.04196,14.86713,0.889109999999999,0.18182,-0.02691,0.03646,-0.216919999999998,6.02746,10.81449
