"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",1.57147540983607,"Down",6530726,-2795562,3735164,-5370523,-3951668,-1197804,-221051,-1635359,-389840,-389840,-463551,73711,-2025199,-2525199,-2536199,-1922453,-5296781,-7219234,-7219234,5576078,4575748,78731,78731,2411512,138831,1781152,8066321,9771216,5240535,15011751,23078072,1986526,1690211,1168896,4052461,4922010,10906642,14959103,22333905,-12662996,9670909,-1551940,8118969,23078072,-1922453,720768,598623,439243,-163819,-631103,-1631103,902200.000000001,-1859175,-1055608,-2850530,-2850530,-2850530,-914591,6090906,0.57194,-0.25041,-1.10543,-0.88918,-0.31282,1.99047,1.84249,0.26393,-0.81049,-0.56157,0.73319,1.08574,-0.3526,-0.56291,-0.314809999999995
"31","2018_Q2",1.59484375,"Up",3475280,-1654009,1821271,-1937551,-1436528,-377738,-123285,-116280,-173681,-173681,-177313,3632,-289961,-289961,-289961,-289961,-362054,-652015,-652015,5557264,2556934,433147,433147,1808657,157505,1651152,7799068,14777717,6832902.246662,14777717,22576785,2746061,2444531,1404596,4253814,9714673,10928152,15181966,21814893,-12950864,8864029,-1469210,7394819,22576785,-289961,377738,8470,65321,161568,-13704,-2013704,-222792,-144591,-367383,-2219519,-2219519,-2219519,261458,11119269,0.52406,-0.03346,-0.18762,-0.08817,-0.02888,1.83343,2.05305,0.49251,-0.0688,-0.0688,0.36671,0.93532,-0.03305,21.27303,-47.83286
"32","2018_Q3",1.50571428571429,"Down",2137735,-904376,1233359,-869583,-484738,-264996,-119849,363776,-124261,-124261,-181508,57247,239515,239515,29684,-656743,-73291,-730034,-730034,3706331,674621,52302.0000000001,52302.0000000001,2292317,199632,1666428,6050950,9644419,5144983,14789402,20840352,1897870,1596340,1343963,3813577,5137801,10886947,14700524,20993689,-13244428,7749261,-1609433,6139828,20840352,-656743,360548,-7010,-474297,-777502,-331509,-362889,-208661,-332556,-541217,-1681608,-1681608,-1681608,724324,6481764,0.57695,0.17017,-0.3415,-0.1189,-0.03503,1.58669,2.39429,0.31102,-0.0782099999999999,-0.0782099999999999,0.22903,0.83024,-0.03974,3.83176,7.62951
"33","2018_Q4",1.52460317460317,"Up",-809744,47808,-761936,-275641,-246095,22124,-51670,-1037577,98617,98617,64385,34232,-938960,-938960,-1136856,12070993,-9159275,2911718,2911718,1764008,1764008,112192,112192,12304172,127662,1975413,14180372,9601863,2750000,12351863,26532235,1459244,1143069,1344424,3455619,5057225,5302497,8758116,23930678,-13458886,10471792,7302328,17774120,26532236,12070993,278966,-13300578,-133971,-1084590,-534573,12681903,-183089,-440119,-722881,10874432,10874432,10874432,-758611,6401649,0.94096,1.28136,-3.59585,0.16382,0.10974,4.10357,0.49275,0.24128,0.29411,0.15161,-0.08179,1.05775,0.12331,-6.11333,-4.46968
"34","2019_Q1",1.66688524590164,"Up",1365694,-846140,519554,-1034597,-747273,-225083,-62241,-515043,-73333,-73333,-86874,13541,-588376,-588376,-588376,-18405,-91562,-109967,-109967,2645631,749075,236942,236942,2263555,95553,1847555,5146128,9532793,2520833,12053626,17199754,1258677,1092000,1661913,3476693,4974546,4974546,8451239,23738260,-13517833,10220427,-1471912,8748515,17199754,-18406,227329,-241900.000000004,-65920,-98897,1675794,-1157546,504917,-9952550,-9543535,-10799978,-10799978,-10799978,-287714,6636459,0.38043,-0.37713,-0.0805199999999999,-0.01257,-0.00638999999999998,1.48018,0.96602,0.38585,-0.01306,-0.0118500000000001,0.16217,1.2136,-0.000909999999999939,-13.87082,-7.74853000000001
"35","2019_Q2",1.48857142857143,"Down",2093018,-804513,1288505,-1211440,-965652,-241755,-4033,77065,-120088,-120088,-122902,2814,-43023,-269830,-269830,-269830,-59024,-328854,-328854,2667278,760262,272908,272908,1909531,61976,1847555,4849717,9455264,5312082,14767346,19617063,1954687,1838425,1629231,3682035,4888553,7646019,11328054,23417505,-13575929,9841576,-1552567,8289009,19617063,-269830,241755,8100,551854,531879,2238095.2978747,-144526,-178390,-139679,-376165,11188,11188,11188,318820,6517784,0.61562,0.03682,-0.15712,-0.03967,-0.01676,1.31713,1.36664,0.33225,-0.03512,-0.03512,0.22354,1.05113,-0.01872,12.07737,49.96439
"36","2019_Q3",1.50484375,"Up",1540215,-744358,795857,-1069237,-811473,-252924,-4840,-273380,-65297,-65297,-66010,712.999999999998,-338677,-490560,-490560,-490560,14592,-475968,-475968,2101465,615156,241691,241691,1522401,74846,1447555,3865557,9294126,5276760,14570886,18436443,1961246,1952870,1240651,3300810,4804594,7536931,10837741,22853729,-13627314,9226415,-1627713,7598702,18436443,-490560,252924,8099.99999999953,108460,-121076,1165929.46261954,364243,-180426,-60554.0000000009,-388274,-145107.000000002,-145107.000000002,-145107.000000002,-20456,6045245,0.51672,-0.17749,-0.30903,-0.06264,-0.02582,1.17109,1.42626,0.3279,-0.05111,-0.05111,0.16539,0.99071,-0.02321,-192.79331,-14.426
"37","2019_Q4",1.5028125,"Down",1490428,-739930,750498,-600572,-322142,-269887,-8543,149926,-121307,-121307,-183532,62225,28619,-151903,-151903,-151903,-49202,-201105,-201105,1529671,739298,382126,382126,1401236,84006,1317230,3313033,9116548,5241438,14357986,17671019,1708674,1708674,1160287,2967874,4723518,7431525,10399399,22660724,-13641600,9019124,-1747504,7271620,17671019,-151903,269887,8100,-423284,-297200,25353,542409,62212,-168993,-121067,124142,124142,124142,419813,5883805,0.50355,0.10059,-0.13493,-0.02766,-0.01138,1.1163,1.43014,0.33296,-0.02163,-0.02163,0.1603,0.97002,-0.01268,10.3716,29.04189
"38","2020_Q1",1.39774193548387,"Down",1444510,-1148850,295660,-784619,-643857,-137098,-3664,-488959,-113345,-113345,-194238,80893,-602304,-1360553,-1066151,-1066151,330390,-735761,-735761,1200528,1200528,585226,585226,1463875,77806,1091667,3249629,8983323,4762503,13745826,16995455,1384971,1384971,1146101,2730975,6018310,8346670,11077645,21837048,-13689533,8147515,-2229705,5917810,16995455,-1066151,137098,833100,-970417,-1066370,-217585,542753,1280606,-151811,984847,461230,461230,461230,-351861,7164411,0.20468,-0.33849,-0.50935,-0.12433,-0.04329,1.18992,1.87192,0.42155,-0.07891,-0.07891,0.15492,0.87378,-0.04151,-16.94954,-12.1971
"39","2020_Q2",0.902380952380952,"Down",1446078,-741066,705012,-904319,-687908,-214309,-2102,-199307,-70037,-70037,-87793,17756,-269344,-352857,-352857,-352857,210985,-141872,-141872,578986,547231,306127,306127,1526165,206763,1025000,2411278,8750486,4226461,13976947,16388225,965226,965226,1015866,2180995,6440989,8750296,10931291,21713770,-13710305,8003465,-2546531,5456934,16388225,-352857,214309,15100,-249419,-372867,-4e+05,-431755,267444,-95347,151325,-653297,-653297,-653297,15002,7456855,0.48753,-0.13783,-0.09811,-0.026,-0.00866,1.10559,2.00319,0.45501,-0.01527,-0.01527,0.15564,0.8614,-0.00932,458.46347,-34.50892
"40","2020_Q3",1.0728125,"Up",924720,-597770,326950,-668134,-452427,-212401,-3305.99999999999,-341184,-33638,-33638,-80234,46596,-374822,-1267385,-1267385,-1267385,602466,-664919,-664919,130469,130409,60702,60702,1510736,216334,1e+06,1701907,8566027,4199096,13765123,15467030,1778239,1778239,896785,2757636,6388723,8796036,11553672,20959227,-13896872,7062355,-3148997,3913358,15467030,-1267385,212401,-700,1036005,-19679,0,31694.9999999999,-146347,0,-428838,-416822,-416822,-416822,-128783,7285508,0.35357,-0.36896,-0.71905,-0.16991,-0.04299,0.61716,2.95237,0.47103,-0.07225,-0.07225,0.10048,0.76741,-0.04182,-55.55888,-20.9712
"41","2020_Q4",1.874375,"Up",952959,-579609,373350,-834786,-625951,-207300,-1535,-461436,-89155,-89155,-106655,17500,-550591,-767939,-767939,-767939,286830,-481109,-481109,47386,47386,47215,47215,861937,85276,657000,956538,8367801,4171077,13568878,14525416,1685348,1685348,884586,2654417,6343563,8728932,11383349,20485317,-13936972,6548345,-3406279,3142066,14525415,-767939,207300,7200,225267,-328172,325000,313060,-57359,29548,-67911,-83023,-83023,-83023,-254136,7228149,0.39178,-0.48421,-0.50486,-0.15312,-0.03312,0.36036,3.62289,0.49762,-0.05306,-0.05306,0.10509,0.72214,-0.03772,-28.25559,-15.56177
"42","2021_Q1",2.64786885245902,"Up",878817,-591485,287332,-1615705,-571235,-196906,-847564,-1328373,108474,-37851,-85994,48143,-1219899,-508320,-508320,-439659,101949,-337710,-337710,1702755,1702755,60557,60557,329220,168892,91667,2092532,8189850,5050726,13300576,15393108,1853602,1853602,216015,2156011,8364662,10727525,12883536,20027402,-13936972,6090430,-3580858,2509572,15393108,3927917,91370,-1152422,-1882689,984176,-138750,-242957,-371237,278379,-66451,674768,674768,674768,-1237003,8580677,0.32695,-1.51155,-0.38428,-0.13457,-0.02194,0.97056,5.13376,0.55744,-0.03676,-0.03676,0.09566,0.66292,-0.01837,-5.56015000000001,-5.1777
"43","2021_Q2",5.21174603174603,"Up",1399126,-741525,657601,-741596,-537507,-185020,-19069,-83995,-52548,-89722,-89810,88,-136543,157161,157161,157161,-263644,-106483,-106483,1558990,1558990,74939,74939,363687,225492,137500,1997616,8064264,4976540,13100804,15098420,1879682,1879682,201354,2169365,6838683,10168767,12338132,20014474,-13936972,6077502,-3317214,2760288,15098420,157161,185020,-322733,30572,50020,-188376.202742212,-59434,-134351,104107.657673114,-134351,-143765,-143765,-143765,101025,7040037,0.47001,-0.06003,-0.07611,-0.03858,-0.00705,0.92083,4.46987,0.46628,-0.01159,-0.01159,0.15229,0.66151,-0.00811,54.25436,-65.25444
"44","2021_Q3",4.561875,"Down",1670063,-771125,898938,-1059091,-875816,-178272,-5003,-160153,855421,-74868,-74780,-88.0000000000073,695268,401564,401564,401564,263644,665208,665208,1701995,1701995,52464,52464,351593,213398,137500,2106052,7913883,4948016,12951899,15057951,1849311,1849311,195218,2111759,7446578,9786662,11898421,19972661,-13936972,6035689,-2876159,3159530,15057951,401564,178272,-457298,11624,134162,-29999.9999999999,-57891,162611,-337477.181964668,66734,143005,143005,143005,18119,7641796,0.53827,-0.0959000000000001,0.39831,0.21054,0.04418,0.9973,3.76588,0.50749,0.07303,0.07303,0.18335,0.66263,0.05792,327.82168,-37.08829
"45","2021_Q4",3.24640625,"Down",1693934,-809264,884670,-595970,-398376,-214252,16658,288700,-1030485,-93398,-84598.8786805633,16502.9183923794,-741785,-167572,-167572,-167572,-823049,-990621,-990621,1151948,1151948,170199,170199,92583,91888,165942.435302366,1414730,7710164,5056820,13040734,14455464,1732941,1732941,195342,2009591,7238297,9542358,11551949,5790732,-88443,5702289,-2798774,2903515,14455464,729783,529951,-1000457,-143820,115457,-140000,-322740,2769046,-604259,1829886,1622603,1622603,1622603,818651,7433639,0.52226,0.17043,-0.5848,-0.34118,-0.06853,0.70399,3.97861,0.51424,-0.10876,-0.10876,0.18597,0.62603,-0.07115,7.67322,21.75854
"46","2022_Q1",3.17016129032258,"Down",1646677,-899174,747503,-593809,-419623,-147836,-26350,153694,-45300,-48551,-114006.759160358,23866.1844315141,108394,-258.999999999942,-258.999999999942,1148582,-462542,686040,686040,1224380,1224380,128270,128270,468659,117868,350791,1821309,7579313,5027937,12881000,14702309,901369,901369,195126,1163202,7110910,9407066,10570268,6599069,-130464,6468605,-2336564,4132041,14702309,563796.811333159,464686.753223122,-824709.825181403,-126842.000999498,76931.7383753798,-179532.410533946,-325983.844895172,3951479.07614576,-418012.965568296,3167754.15330558,2918702.04678579,2918702.04678579,2918702.04678579,970958.354778437,7306036,0.45395,0.0933400000000001,0.41662,0.16603,0.04666,1.56577,2.55812,0.49693,0.07532,0.07532,0.18078,0.71016,0.04995,-120.233977850352,39.5699
"47","2022_Q2",2.70967741935484,"Down",2136095,-917879,1218216,-929236,-751638,-171691,-5907,288980,-119744,-119849,-135475,15626,169236,376187,376187,376187,-188072,188115,188115,3853557,3853557,165563,165563,808477,106895,701582,4827597,7457954,4979875,12821579,17649176,799378,799378,799736,1630546,9418289,11706444,13336990,6787184,-170425,6616759,-2304573,4312186,17649176,376187,171691,-350791,-104642,92445,-110000,-160332,2893106,-156081,2697064,2629177,2629177,2629177,460671,10218025,0.5703,0.13528,0.08806,0.04362,0.01066,2.96072,3.09286,0.57895,0.0207,0.0207,0.2351,0.72824,0.01119,13.81565,22.0239
"48","2022_Q3",2.59078125,"Down",1699107,-876565,822542,-957830,-778048,-172745,-7037,-135288,-106185,-138273,-122647,-15626,-241473,253158,253158,253158,188072,441230,441230,3223545,3223545,89526,89526,1310013,257640,1052373,4623084,7351476,5077533,12827759,17450843,910546,910546,792701,1756937,9360277,11635640,13392577,6836696,-291864,6544832,-2486566,4058266,17450843,253158,172745,-318735,-70615,36553,-15000,-81267,-65047,-307637,-585298,-630012,-630012,-630012,37457,10152978,0.4841,-0.07962,0.25968,0.10872,0.02528,2.63133,3.30007,0.5818,0.04856,0.04856,0.187,0.72032,0.03229,184.99701,-51.21986
