"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",16.046875,"Up",20604861,-6477895,-6407897,-69998,14123071,-1275015,-1275015,12848056,7474867,-2878811,4596056,4596056,4596056,4596056,4666656,4666656,246342674,246342674,3861160,698396,254870490,757819,7836774,7836774,8594593,263465083,7271950,5519069,139525434,139525434,94230663,123939649,123939649,263465083,4596056,69998,1123708,-1824329,3965433,-63242,-63242,-63242,1787074,1723832,20500000,202264,-4745159,944106,944106,944106,14193069,130500000,15184309,0.68542,0.22306,0.03708,0.01744,3.30377,1.8267,1.12575,0.49532,0.38359,0.37693,1.7197,10.34414,1.2673,0.1192,0.05968,8.86583,8.90977
"12","2014_Q1",15.7650819672131,"Down",20372438,-7416345,-7344469,-71876,12965160,-1403441,-1403441,11561719,7833475,-3046179,4787296,4787296,4787296,4787296,2797716,2797716,249825801,249825801,2043409,736746,254666926,741581,8426961,8426961,9168542,263835468,9501890,7405579,136870372,136870372,96933548,126965096,126965096,263835468,4787296,71876,801551,3282620,8943343,-49914,-58195,-58195,-4788588,-4838502,-5e+06,190065,-5973781,-1868940,-1868940,-1868940,13037036,125500000,19315921,0.63641,0.23499,0.03771,0.01815,4.03483,1.86064,1.07802,0.47568,0.39817,0.3886,1.69442,10.55994,1.60654,0.02475,0.07651,9.41182,9.464
"13","2014_Q2",15.042380952381,"Down",20475735,-7455402,-7380067,-75335,13020333,-1404906,-1404906,11615427,9265473,-3564980,5700493,5700493,5700493,5700493,3658951,3658951,255257992,255257992,2521727,739704,261438670,756581,7897175,7568768,8653756,270092426,10988651,6665061,138614714,138614714,101173669,131477712,131477712,270092426,5700493,75335,645784,1267257,7688869,-88322,-101122,-101122,-5677895,-5766217,521510,83140,-1061417,861235,861235,861235,13095668,126021510,17839583,0.63589,0.2784,0.04336,0.02111,3.12948,1.88608,1.05428,0.46659,0.47248,0.46393,1.69712,10.89744,1.47862,0.02781,0.06928,9.34374,9.39781
"14","2014_Q3",12.931875,"Down",20948924,-7527749,-7450930,-76819,13421175,-1442898,-1442898,11978277,7203036,-2886484,4316552,4316552,4316552,4316552,4473682,4473682,260494081,260494081,3537678,678150,268505441,749358,7346753,7211508,8096111,276601552,8927795,6808894,141854341,141854341,104099467,134747211,134747211,276601552,4316552,76819,1316153,-2626695,3082829,-49809,-77790,-77790,-6305922,-6355731,4978490,134533,4087633,814731,814731,814731,13497994,1.31e+08,13707974,0.64066,0.20605,0.03203,0.01561,3.17568,1.89282,1.05274,0.47361,0.35697,0.3505,1.73243,11.14327,1.13362,0.02148,0.05158,9.37371,9.42737
"15","2014_Q4",12.36640625,"Down",20761230,-7514716,-7435961,-78755,13246514,-1441175,-1441175,11805339,6659787,-2833019,3826768,3826768,3826768,3826768,4089466,4089466,261254324,261254324,2746828,711834,268090618,765198,7230336,7048360,7995534,276086152,8247806,6677051,137271227,137271227,107926235,138814925,138814925,276086152,3826768,78755,686333,454961,5046817,-94595,-94595,-94595,-885418,-980013,-4e+06,58099,-4451020,-384216,-384216,-384216,13325269,1.27e+08,16518654,0.63804,0.18432,0.02757,0.01386,4.31661,1.953,0.98888,0.46,0.31603,0.31026,1.71453,11.46379,1.36416,0.0144,0.06214,9.22387,9.27871
"16","2015_Q1",14.6424590163934,"Up",24604111,-11491133,-11356042,-135091,13112978,-1681021,-1681021,11431957,2967704,44483,3012187,3012187,3012187,3012187,2635036,2635036,269343595,269343595,3681056,891044,275659687,869693,6900199,6716596,7769892,283429579,11263480,8924919,141492024,141492024,110785774,141937555,141937555,283429579,3012187,135091,3480730,2045477,8673485,-142274,-169493,-169493,-11993765,-12136039,69600000,-70295772,2923804,-538750,-538750,-538750,13248069,127900000,15106789,0.53296,0.12243,0.02122,0.01063,5.01522,1.94823,0.99686,0.45126,0.24858,0.24364,2.03042,11.71319,1.24667,6e-04,0.05598,9.45534,9.55275
"17","2015_Q2",13.2765079365079,"Down",21332514,-8090754,-8000171,-90583,13241760,-1448585,-1448585,11793175,6731225,-1822037,4909188,4909188,4909188,4909188,2290969,2290969,278173259,278173259,2854176,814146,283318404,897111,7069054,7009056,7966165,291284569,10141425,7581169,144213905,144213905,115694962,147070664,147070664,291284569,4909188,90583,771737,1231017,7002525,-118001,-118001,-118001,-10121538,-10239539,3500000,71716,2892947,-344067,-344067,-344067,13332343,131400000,16267396,0.62073,0.23013,0.03338,0.01685,3.31366,1.96457,0.98058,0.45111,0.40311,0.39708,1.75168,12.07646,1.33577,0.01763,0.05842,9.6839,9.75014
"18","2015_Q3",13.03046875,"Down",23379486,-8815246,-8691829,-123417,14564240,-2990415,-2990415,11573825,4520775,-2503963,2016812,2016812,2016812,2016812,4981883,4981883,279182218,279182218,3853505,696852,288017606,931328,6826194,6603470,7757522,295775128,9435147,7190657,144150430,144150430,120024663,151624698,151624698,295775128,2016812,123417,3962263,-1173017,4929475,-583999,-625999,-625999,-14165462,-14749461,8661000,4283.99999999255,8449053,-1370933,-1370933,-1370933,14687657,1.32e+08,15434604,0.62295,0.08626,0.0133,0.00682,7.65297,1.99804,0.95071,0.44628,0.16544,0.16311,1.9178,12.43763,1.26609,0.00711,0.05442,8.64795,8.72123
"19","2015_Q4",12.78,"Down",22757000,-8367000,-8247000,-120000,14390000,-2311000,-2311000,12079000,4425000,-1698000,2727000,2727000,2727000,2727000,2635791,2635791,282845253,282845253,3566080,877764,289047124,906348,6546732,6445921,7453080,296500204,8021238,6352633,140947730,140947730,123794219,155552474,155552474,296500204,2727000,120000,4254000,-1641000,5460000,-128000,-134000,-134000,-6188000,-6316000,1839000,0,2189000,1333000,1333000,1333000,14510000,1.3e+08,14439000,0.63233,0.11983,0.01753,0.0092,5.29483,2.05074,0.90611,0.43845,0.22358,0.22036,1.86577,12.75321,1.1838,0.00955,0.05057,8.77768,8.85088
"20","2016_Q1",10.573606557377,"Down",23238000,-10020000,-9896000,-124000,13218000,-2257000,-2257000,10961000,4428000,-1702000,2726000,2726000,2726000,2726000,1849000,1849000,311837000,311837000,3718000,977000,317404000,1290000,6615000,6615000,7905000,325309000,7338000,5839000,222460000,222460000,140021000,102849000,102849000,325309000,2726000,124000,2075000,91000.0000000002,5016000,-22000,-35000,-35000,-3664000,-3686000,-2e+06,-41000,-2487000,-1157000,-1157000,-1157000,13342000,2.11e+08,15113000,0.56881,0.11731,0.0265,0.00838,5.54402,1.42679,2.16298,0.64861,0.23734,0.2337,2.0232,8.95446,1.3158,0.00869,0.04815,15.67614,15.8232
"21","2016_Q2",10.6025,"Up",22915000,-8921000,-8790000,-131000,13994000,-2244000,-2244000,11750000,4706000,-1803000,2903000,2903000,2903000,2903000,1230966,1230966,300496655,300496655,3105598,993133,304833219,940668,6537547,6537547,7478215,312311434,11962530,8099345,218616677,218616677,131312127,93694757,93694757,312311434,2903000,131000,2995000,2627000,8656000,-4e+05,-418000,-418000,-4149000,-4549000,-2e+06,2000,-1436000,2671000,2671000,2671000,14125000,2.03e+08,18155000,0.61069,0.12669,0.03098,0.0093,6.25388,1.39437,2.33329,0.64999,0.38117,0.37492,3.0088,12.30236,2.3838,0.00978,0.06119,14.28453,14.41825
"22","2016_Q3",10.55171875,"Down",22647000,-9223000,-9083000,-140000,13424000,-2243000,-2243000,11181000,3158000,-1188000,1970000,1970000,1970000,1970000,3799000,3799000,312727000,312727000,3866000,804000,320392000,1623000,6766000,6766000,8389000,328781000,7777000,5448000,220755000,220755000,144894000,108026000,108026000,328781000,1970000,140000,4592000,-3093000,3609000,-183000,-201000,-201000,-4416000,-4599000,2.3283064365387e-10,1000,269000,-721000.000000001,-721000.000000001,-721000.000000001,13564000,2.09e+08,11476000,0.59275,0.08699,0.01824,0.00599,5.82538,1.45135,2.04354,0.63568,0.25846,0.25412,2.97129,14.17302,1.50565,0.00621,0.0362,15.12835,15.28613
"23","2016_Q4",10.1304761904762,"Down",22044000,-8484000,-8342000,-142000,13560000,-2258000,-2258000,11302000,2587000,-981000,1606000,1606000,1606000,1606000,3664000,3664000,321757000,321757000,3608000,632000,329029000,1580000,7232000,7232000,8812000,337841000,9683000,7391000,228047000,228047000,146500000,109794000,109794000,337841000,1606000,142000,5042000,3463000,10253000,-107000,-109000,-109000,-14977000,-15084000,5340000,-2000,4696000,-135000,-135000,-135000,13702000,214340000,18039000,0.61513,0.07285,0.01463,0.00475,11.23225,1.44281,2.07704,0.63444,0.21068,0.20666,2.89178,14.40303,2.3664,0.00495,0.05565,15.37557,15.53658
"24","2017_Q1",10.9882258064516,"Up",22860000,-8921000,-8842000,-79000,13939000,-2477000,-2477000,11462000,-1711000,641000,-1070000,-1070000,-1070000,-1070000,2855000,2855000,317205000,317205000,3846000,674000,323906000,1184000,8522000,8505000,9706000,333612000,7783000,5932000,224752000,224752000,145430000,108860000,108860000,333612000,-1070000,79000,8666000,-2872000,4803000,-29000,-44000,-44000,-4442000,-4471000,-1340000,49000,-1141000,-809000,-809000,-809000,14018000,2.13e+08,10476000,0.60976,-0.04681,-0.00983,-0.00321,-9.79065,1.44117,2.0646,0.63847,-0.14029,-0.14264,2.99722,14.27285,1.37353,-0.00332,0.03255,14.99108,15.07605
"25","2017_Q2",9.28015873015873,"Down",22198000,-8669000,-8548000,-121000,13529000,-2455000,-2455000,11074000,1313000,-5e+05,813000,813000,813000,813000,7717000,7717000,303531000,303531000,3178000,776000,314426000,1179000,9133000,9125000,10312000,324738000,7250000,4979000,214957000,214957000,146243000,109781000,109781000,324738000,813000,121000,5772000,28000,6734000,-108000,-117000,-117000,7238000,7130000,-9e+06,294991.175655656,-9002000,4862000,4862000,4862000,13650000,2.04e+08,14070000,0.60947,0.03662,0.00741,0.0025,17.30627,1.46274,1.95805,0.6282,0.10597,0.10515,2.89338,14.30931,1.83394,0.00259,0.04484,14.37971,14.50832
"26","2017_Q3",8.79761904761905,"Down",21338000,-8177000,-8058000,-119000,13161000,-2443000,-2443000,10718000,564000,-220000,344000,344000,344000,344000,3672000,3672000,290656000,290656000,3951000,711000,298279000,1082000,9550000,9550000,10632000,308911000,6942000,5377000,198426000,198426000,146587000,110485000,110485000,308911000,344000,119000,6413000,-561999.999999999,6314000,-15000,-22000,-22000,5602000,5587000,-1.6e+07,338000,-15946000,-4045000,-4045000,-4045000,13280000,1.88e+08,12923000,0.61679,0.01612,0.00311,0.00111,37.56686,1.50323,1.79595,0.60859,0.04444,0.04418,2.75649,14.2727,1.66942,0.00115,0.0433,13.88012,14.00562
"27","2017_Q4",8.58793650793651,"Down",20526000,-8138000,-8022000,-116000,12388000,-2585000,-2585000,9803000,814000,-3712000,-2898000,-2898000,-2898000,-2898000,3082000,3082000,281358000,281358000,4324000,729000,288764000,970000,6456000,6456000,7426000,296190000,7180000,4994000,188493000,188493000,143689000,107697000,107697000,296190000,-2898000,116000,9073000,-788000,5503000,3000,-4000,-4000,3494000,3497000,-1e+07,0,-9590000,-590000,-590000,-590000,12504000,1.78e+08,15431000,0.60353,-0.14119,-0.02691,-0.00978,-5.32471,1.53196,1.75022,0.60097,-0.37154,-0.37154,2.63154,13.80731,1.97833,-0.01014,0.05401,13.98896,14.11995
"28","2018_Q1",9.00295081967213,"Up",19855000,-8166000,-8053000,-113000,11689000,-2654000,-2654000,9035000,472000,171000,643000,643000,643000,643000,2626000,2626000,266573000,266573000,4528000,906000,273727000,843000,6289000,6289000,7132000,280859000,6672000,5e+06,172422000,172422000,144332000,108437000,108437000,280859000,643000,113000,5415000,-1041000,5130000,58000,13000,13000,7025000,7083000,-12250000,120000,-12669000,-456000,-456000,-456000,11802000,165750000,10648000,0.58872,0.03238,0.00593,0.00229,16.55988,1.58754,1.59007,0.59015,0.08391,0.08508,2.59102,14.15072,1.38953,0.00235,0.03883,13.82173,13.95534
"29","2018_Q2",8.74375,"Down",18759000,-8801000,-8698000,-103000,9958000,-2540000,-2540000,7418000,1992000,-572000,1420000,1420000,1420000,1420000,4981000,4981000,256590000,256590000,4618000,1175000,266189000,755000,5966000,5966000,6721000,272910000,8669000,5505000,162922000,162922000,145752000,109988000,109988000,272910000,1420000,103000,3024000,668000,5215000,-15000,-15000,-15000,10542000,10527000,-14750000,71000,-13387000,2355000,2355000,2355000,10061000,1.51e+08,11286000,0.53084,0.0757,0.01291,0.0052,7.94789,1.63384,1.48127,0.5533,0.18161,0.1814,2.39916,14.06676,1.44341,0.00544,0.04324,14.51337,14.66349
"30","2018_Q3",10.5960317460317,"Up",19404000,-7966000,-7870000,-96000,11438000,-2386000,-2386000,9052000,677000,-97000,580000,580000,580000,580000,2787000,2787000,236241000,236241000,5243000,1080000,244271000,674000,5445000,5445000,6119000,250390000,5726000,4305000,139926000,139926000,146332000,110464000,110464000,250390000,580000,96000,4693000,-1433000,3936000,-15000,-15000,-15000,12488000,12473000,-16800000,-60000,-18603000,-2194000,-2194000,-2194000,11534000,134200000,10183000,0.58947,0.02989,0.00525,0.00232,17.5569,1.74572,1.26671,0.53596,0.0752,0.07514,2.51575,14.32179,1.32024,0.00237,0.04162,11.39353,11.48916
"31","2018_Q4",11.2642857142857,"Up",16740000,-7848000,-7757000,-91000,8892000,-2302000,-2302000,6590000,-1279000,376000,-903000,-903000,-903000,-903000,4252000,4252000,219210000,219210000,5004000,987000,228466000,642000,5438000,5438000,6080000,234546000,4955000,3610000,124955000,124955000,145429000,109591000,109591000,234546000,-903000,91000,5159000,-695000,3652000,-21000,-83000,-83000,12305000,12284000,-14200000,5000,-14471000,1465000,1465000,1465000,8983000,1.2e+08,7891000,0.53118,-0.05394,-0.00824,-0.00385,-8.73865,1.82839,1.14019,0.51163,-0.11534,-0.11556,2.1382,13.99808,1.00792,-0.00393,0.03437,12.88523,13.01709
"32","2019_Q1",10.1640983606557,"Down",16397000,-8933000,-8843000,-90000,7464000,-2276000,-2276000,5188000,-5978000,1233000,-4745000,-4745000,-4745000,-4745000,35595000,35595000,202042000,202042000,7003000,1378000,244640000,656000,7124000,7124000,7780000,252420000,4916000,3604000,149916000,147535000,140684000,104885000,104885000,252420000,-4745000,90000,6705000,-449000,1601000,-80000,-115000,-115000,8955000,8875000,2.5e+07,-7.27595761418343e-12,22914000,33390000,33390000,33390000,7554000,1.45e+08,5792000,0.45521,-0.28938,-0.04524,-0.0188,-1.22065,1.63185,1.40664,0.57444,-0.58703,-0.58703,2.02858,12.976,0.71657,-0.01917,0.0234,14.48306,14.65769
"33","2019_Q2",9.09079365079365,"Down",16641000,-8971000,-8870000,-101000,7670000,-2488000,-2488000,5182000,797000,-206000,591000,591000,591000,591000,7539000,7538999.99999999,209426000,209426000,34503000,3831000,251468000,616000,7339000,6918000,7955000,259423000,7810000,6335000,156810000,153913000,141275000,105510000,105510000,259423000,591000,87000,1084000,-399000,1363000,-7000,-14000,-14000,-8501000,-8508000,4e+06,125945.949694228,4020000,-3125000,-3125000,-3125000,7757000,1.49e+08,7557000,0.46091,0.03551,0.0056,0.00228000000000001,12.7868,1.60365,1.45875,0.57435,0.07461,0.0746,2.10087,13.32029,0.95405,0.00235,0.03003,18.23656,18.44342
"34","2019_Q3",8.8996875,"Down",15585000,-8927000,-8858000,-69000,6658000,-2298000,-2298000,4360000,360000,-92000,268000,268000,268000,268000,4678000,4678000,199452000,199452000,16011000,3181000,220141000,551000,7254000,6825000,7805000,227946000,5403000,5403000,124903000,122113000,141543000,105833000,105833000,227946000,268000,83000,2410000,-1901000,860000,-18000,-18000,-18000,8914000,8896000,-29500000,175600.970372784,-30249000,-20493000,-20493000,-20493000,6741000,119500000,4914000,0.42721,0.0172,0.00253,0.00118,18.33582,1.7625,1.15383,0.52425,0.03472,0.03472,2.01904,13.71071,0.63661,0.0012,0.02208,17.03338,17.24572
"35","2019_Q4",8.88125,"Down",14973000,-7950000,-7870000,-80000,7023000,-1886000,-1886000,5137000,540000,-229000,311000,311000,311000,311000,15801000,15801000,190327000,190327000,14475000,3001000,220603000,522000,6957000,6597000,7479000,228082000,5322000,5322000,124772000,122090000,141854000,105992000,105992000,228082000,311000,80000,1861000,614000,2866000,-49000,-49000,-49000,7526000,7477000,-779000,-211000,-261000,10082000,10082000,10082000,7103000,119450000,7897000,0.46904,0.02077,0.00293,0.00136,25.39228,1.76805,1.15188,0.52372,0.03915,0.03915,1.88506,13.34408,0.99421,0.0014,0.03545,14.59228,14.75851
"36","2020_Q1",7.83870967741935,"Down",14896000,-8289000,-8147000,-142000,6607000,-1843000,-1843000,4764000,550000,1746000,2296000,2296000,2296000,2296000,16802000,16802000,199781000,199781000,15246000,1126000,231829000,482000,6507000,3909000,6989000,238818000,4332000,4332000,131239000,131239000,144150000,107579000,107579000,238818000,2296000,142000,6185000,-3227000,5396000,-33000,-49000,-49000,-11508000,-11541000,7486000,-763000,6723000,577999.999999996,577999.999999996,577999.999999996,6749000,124255000,1743000,0.44354,0.15414,0.02134,0.00961,0.759149999999998,1.76646,1.21993,0.52029,0.31779,0.31774,2.06173,10.06394,0.24125,0.0099,0.00752,15.92132,16.26351
