"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",31.9525806451613,"Up",1359400000,-657400000,7.02e+08,-45100000,-36500000,-8600000,656900000,-16700000,-27100000,10200000,2e+05,640200000,640200000,-2.06e+08,458100000,458100000,-54800000,403300000,403300000,2221300000,2221300000,340900000,340900000,3.1e+08,1.43e+08,24900000,3015200000,3721800000,3445700000,2064500000,389300000,7167500000,10182700000,1048200000,393300000,37300000,145400000,54100000,1193600000,1.605e+09,1.605e+09,1.406e+09,1019100000,386900000,3.011e+09,4204600000,2481800000,6e+05,2481200000,3015700000,-37900000,5457300000,520800000,5978100000,10182700000,458100000,99700000,-65400000,3200000,19600000,-88200000,413200000,21800000,-73200000,57700000,406900000,905600000,-99200000,4400000,4400000,-103600000,-103600000,1.5e+07,-84200000,-25100000,7200000,7200000,35600000,17700000,839100000,839100000,-8e+05,838300000,756600000,1.605e+09,1276600000,0.5164,0.48323,0.29668,0.06746,0.03961,3.16539,2.52614,0.70333,0.15762,1.28439,1.27425,4.3293,17.37994,4.06561,0.07994,8,0.04766,0.14202,0.06224,-0.81457,-0.93819
"12","2013_Q1",32.5423333333333,"Up",1481400000,-825200000,656200000,-47600000,-40200000,-7400000,608600000,-20400000,-28100000,7500000,200000.000000002,588200000,588200000,-242200000,355300000,355300000,115400000,470700000,470700000,2274900000,2274900000,217400000,217400000,277900000,37400000,27900000,2807600000,3900500000,3458800000,2064500000,458700000,7359300000,10166900000,934300000,366500000,187100000,10900000,10900000,950200000,1.6e+09,1.6e+09,1334500000,938800000,395700000,2934500000,3884700000,2.493e+09,6e+05,2492400000,3461100000,-49600000,5902200000,3.8e+08,6282200000,10166900000,355300000,101100000,-171200000,3100000,-171200000,-3100000,136100000,1.21e+08,31600000,-38500000,2.2e+07,421300000,-256700000,5400000,5400000,-262100000,-262100000,-35800000,-292500000,-25300000,1999999.99999994,2e+06,-12900000,-76700000,52099999.9999998,52099999.9999998,1500000,53600000.0000002,709700000,1.605e+09,831300000,0.44296,0.41083,0.31774,0.07493,0.0463,1.76609,2.95475,0.61837,0.15787,1.49429,1.47555,4.70286,18.73714,2.63905,0.08032,5,0.05379,0.09015,0.05375,-0.94392,-1.10072
"13","2013_Q2",28.805625,"Down",1336500000,-661400000,675100000,-58900000,-44300000,-14600000,616200000,-80100000,-3.7e+07,11600000,-54700000,536100000,536100000,-107400000,429400000,429400000,-22900000,406500000,406500000,2210300000,2210300000,242700000,242700000,385800000,68900000,30400000,2907700000,3938100000,3492600000,2064500000,522300000,7430700000,10338400000,1270600000,448500000,123500000,9900000,9900000,1285300000,1.6e+09,1.6e+09,1335400000,885200000,450200000,2935400000,4220700000,2509600000,6e+05,2.509e+09,3842400000,-110100000,5732300000,385400000,6117700000,10338400000,429400000,107100000,-32200000,3200000,-66700000,31300000,174400000,-25400000,-109800000,73500000,236100000,678700000,-149500000,3300000,3300000,-152800000,-152800000,-47200000,-196700000,-25200000,-495500000,4600000,-7700000,-528400000,-46400000,-46400000,-18200000,-64600000,723300000,1604800000,855600000,0.50513,0.46105,0.30415,0.06645,0.03932,2.1048,2.26227,0.68992,0.15523,1.30498,1.29459,4.29053,18.40225,2.74671,0.0809,8,0.04766,0.09446,0.06199,-0.83714,-0.98264
"14","2013_Q3",29.6225,"Up",1714900000,-849700000,865200000,-4.1e+07,-44500000,3500000,824200000,-21500000,-31300000,9500000,299999.999999993,802700000,802700000,-282900000,518100000,518100000,-19900000,498200000,498200000,1934100000,1934100000,294300000,294300000,3.21e+08,170100000,100700000,2719500000,4086500000,3445600000,2064500000,482500000,7532100000,10251600000,573500000,489900000,15900000,3600000,3600000,577100000,3.098e+09,3.098e+09,1233100000,783200000,449900000,4331100000,4908200000,1654100000,6e+05,1653500000,3673100000,-115300000,4978600000,364800000,5343400000,10251600000,518100000,106600000,5399999.99999999,3e+06,22400000,-2e+07,-740500000,-30200000,65899999.9999999,-38700000,-737500000,-110400000,-245500000,4200000,4200000,-249700000,-249700000,-23700000,-269200000,-23700000,-414900000,599999.999999999,-960800000,98600000,-2.81e+08,-2.81e+08,4799999.99999999,-276200000,930800000,3.098e+09,227700000,0.50452,0.48061,0.29051,0.09324,0.0486,0.45705,4.71235,0.91855,0.3022,1.68596,1.67462,5.80338,16.84805,0.77056,0.0802,3,0.05395,0.02354,0.04757,1.25043,1.41216
"15","2013_Q4",33.92984375,"Up",1.097e+09,-710900000,386100000,-11900000,-32200000,20300000,374200000,-28500000,-4e+07,11200000,3e+05,345700000,345700000,-1.09e+08,243900000,243900000,-9800000,234100000,234100000,2286200000,2286200000,186900000,186900000,357400000,229200000,149300000,3059700000,4.25e+09,3489300000,2064500000,4.93e+08,7739300000,1.0799e+10,903800000,466900000,3600000,9100000,9100000,912900000,3.098e+09,3.098e+09,1326100000,870100000,4.56e+08,4424100000,5.337e+09,1659600000,6e+05,1.659e+09,3880600000,-72600000,5105900000,356100000,5.462e+09,1.0799e+10,243900000,100100000,103400000,3300000,80100000,2e+07,413600000,100200000,-42400000,34600000,321200000,8.61e+08,-226800000,3600000,3600000,-230400000,-230400000,-38200000,-2.65e+08,-2.3e+07,-194800000,1100000,-17700000,-235500000,360500000,360500000,-8400000,352100000,474300000,3.098e+09,770100000,0.35196,0.34111,0.2134,0.04286,0.02168,3.28962,3.35163,0.97711,0.28688,0.81568,0.81568,3.8223,17.79059,2.68328,0.08014,5,0.02601,0.0779,0.09825,1.71157,2.16943
"16","2014_Q1",37.9570491803279,"Up",1326300000,-732500000,593800000,-38400000,-4.5e+07,6600000,555400000,-30200000,-39200000,9400000,-399999.999999998,525200000,525200000,-187200000,341400000,341400000,-15600000,325800000,325800000,1710800000,1710800000,230900000,230900000,274300000,414100000,246400000,2630100000,4101700000,3946300000,2095800000,924500000,8.048e+09,10678100000,7.58e+08,564100000,73300000,70300000,70300000,828300000,3098100000,3098100000,1313300000,833200000,480100000,4411400000,5239700000,1594900000,6e+05,1594300000,3725600000,-42600000,5076100000,362300000,5438400000,10678100000,341400000,96800000,-109300000,3100000,-70100000,-42300000,-291400000,-44200000,6e+06,-19900000,-233300000,37500000.0000001,-189400000,1500000,1500000,-190900000,-190900000,-26500000,-288400000,-57200000,-293600000,4e+06,35800000.0000001,-3.15e+08,-565900000,-565900000,-9500000,-575400000,652200000,3098100000,358600000,0.44771,0.41876,0.24565,0.05991,0.03051,1.10068,3.1753,0.96346,0.29014,1.1488,1.14116,4.67666,17.8988,1.26446,0.20169,5,0.03888,0.03641,0.17557,2.12711,2.49784
"17","2014_Q2",38.2868253968254,"Up",1132600000,-689800000,442800000,-35900000,-41700000,5800000,406900000,-23900000,-39800000,15800000,1e+05,3.83e+08,1130100000,-413200000,720400000,720400000,-11900000,708500000,708500000,3530200000,3530200000,215700000,215700000,384400000,780800000,736200000,4911100000,4281900000,3282500000,2094600000,254400000,7564400000,12475500000,1418100000,593700000,347100000,17600000,17600000,1435700000,4592300000,4592300000,1139200000,8.21e+08,318200000,5731500000,7167200000,1612600000,6e+05,1.612e+09,4378900000,-5.2e+07,4943700000,364600000,5308300000,12475500000,720400000,105300000,-699700000,3800000,17100000,-720600000,6.24e+08,32200000,-112300000,67400000,636700000,7.5e+08,-391100000,1300000,1300000,-392400000,-392400000,-493500000,4.69e+08,-55200000,-772400000,9400000,-63800000,602800000,1821800000,1821800000,-2400000,1819400000,512200000,4592300000,1158300000,0.39096,0.35926,0.62555,0.13347,0.05679,1.63486,3.4207,1.35019,0.36811,2.58577,2.58106,4.13358,18.0427,4.22737,0.20146,6,0.06918,0.10492,0.07791,2.0736,2.61022
"18","2014_Q3",39.9209375,"Up",1472700000,-882400000,590300000,-61100000,-39500000,-21600000,529200000,-4.9e+07,-50400000,2100000,-7e+05,480200000,480200000,-157200000,324700000,324700000,-12100000,312600000,312600000,2194100000,2194100000,258300000,258300000,2.05e+08,748300000,695800000,3405700000,4605100000,3294100000,2095700000,255400000,7899200000,11304900000,702600000,551900000,87300000.0000001,17700000,17700000,720300000,4592400000,4592400000,1147100000,829800000,317300000,5739500000,6459800000,1485400000,5e+05,1484900000,3622400000,-22400000,4482300000,362800000,4845100000,11304900000,324700000,97800000,19900000,6200000,-1.6e+07,29700000,-637100000,-44300000,176300000,-97800000,-671300000,-194700000,-2.88e+08,4600000,4600000,-292600000,-292600000,19300000,-268700000,-5.2e+07,-809100000,299999.999999998,-13500000,-874600000,-1.338e+09,-1.338e+09,1900000,-1336100000,6.27e+08,4592400000,-140900000,0.40083,0.35934,0.21226,0.06452,0.02765,-0.45074,4.72817,1.33326,0.40623,1.22444,1.22109,5.76851,17.55699,-0.5519,0.20368,3,0.03445,-0.01331,0.16635,3.82504,4.53193
"19","2014_Q4",41.7209375,"Up",921400000,-620300000,301100000,-63900000,-38200000,-25700000,237200000,-36700000,-46200000,9400000,1e+05,200500000,200500000,-70500000,140600000,140600000,-9700000,130900000,130900000,2651200000,2651200000,156900000,156900000,254800000,275800000,192500000,3338700000,5050200000,3270900000,2.094e+09,251700000,8321100000,11659800000,1025500000,555700000,9e+06,23300000,23300000,1048800000,4592400000,4592400000,1163300000,814300000,3.49e+08,5755700000,6804500000,1494700000,5e+05,1494200000,3679100000,-72400000,4497100000,358200000,4855300000,11659800000,140600000,95400000,-1200000,3600000,14500000,-19300000,386800000,109200000,-50400000,23200000,304800000,621600000,-583400000,4300000,4300000,-587700000,-587700000,5.05e+08,-78400000,-74200000,2300000,2300000,-10800000,-82700000,460500000,460500000,-3400000,457100000,332600000,4592400000,206500000,0.32679,0.25743,0.14207,0.02696,0.01123,1.57754,3.18335,1.40146,0.39387,0.52697,0.52507,3.70934,18.10427,0.83132,0.29871,4,0.01933,0.01946,0.56684,5.83644,8.18381
"20","2015_Q1",47.4014754098361,"Up",1216300000,-772500000,443800000,-44100000,-32600000,-11500000,399700000,-26400000,-40600000,15700000,-1500000,373300000,376200000,-132100000,251300000,251300000,-13300000,2.38e+08,2.38e+08,1996600000,1996600000,191500000,191500000,202900000,139500000,104700000,2530500000,5525800000,3197900000,2092800000,243600000,8723700000,11254200000,931300000,589900000,1.6e+07,48400000,48400000,979700000,4592500000,4592500000,1109500000,734600000,374900000,5.702e+09,6681700000,1416400000,2500000,1413900000,3175300000,-159800000,4209700000,362800000,4572500000,11254200000,251300000,94500000,7.4e+07,3400000,2399999.99999999,68200000,-175700000,-58100000,50400000,-45800000,-122200000,244100000,-535500000,8e+05,8e+05,-536300000,-536300000,51200000,-465900000,-74600000,-337800000,6e+06,-19900000,-432500000,-654300000,-654300000,-1e+05,-654400000,494200000,4592500000,-84899999.9999999,0.36488,0.32862,0.19568,0.05205,0.02115,-0.35672,2.58293,1.46128,0.40807,0.96787,0.96356,4.94632,17.11956,-0.34526,0.30338,4,0.03042,-0.00826000000000001,0.31345,5.25273,6.49462
"21","2015_Q2",48.6657142857143,"Up",9.54e+08,-5.38e+08,4.16e+08,-5.8e+07,-4e+07,-1.8e+07,3.58e+08,-2.4e+07,-3.3e+07,9e+06,0,3.34e+08,3.34e+08,-1.13e+08,2.36e+08,2.36e+08,-5e+06,2.31e+08,2.31e+08,1778800000,1778800000,167100000,167100000,267700000,166100000,83300000,2379700000,5.925e+09,3180600000,2090400000,236700000,9105600000,11485300000,1267800000,693200000,79400000,43500000,43500000,1311300000,4592500000,4592500000,1.163e+09,7.83e+08,3.8e+08,5755500000,7066800000,1.427e+09,5e+05,1426500000,3334100000,-240300000,4061900000,356600000,4418500000,11485300000,2.36e+08,1.15e+08,-1.9e+07,4e+06,0,-2.3e+07,1.99e+08,2.4e+07,-6.8e+07,-1.1e+07,2.54e+08,5.31e+08,-4.42e+08,3e+06,3e+06,-4.45e+08,-4.45e+08,1.2e+07,-4.3e+08,-7.2e+07,-2.3e+08,6e+06,-1.2e+07,-3.14e+08,-2.13e+08,-2.13e+08,-5e+06,-2.18e+08,4.73e+08,4592500000,3.43e+08,0.43606,0.37526,0.24214,0.05228,0.02011,1.48485,1.81476,1.59937,0.39986,0.9637,0.9601,3.97997,16.94577,1.43096,0.30038,5,0.02978,0.03371,0.31169,5.94863,7.8595
