"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q2",32.8790476190476,"Up",442200000,-318100000,124100000,-98200000,-98200000,25900000,-2e+07,-22100000,2100000,5900000,-1100000,4800000,-2e+05,4600000,4600000,4600000,4600000,132100000,132100000,376300000,376300000,177500000,8.3e+07,8.3e+07,768900000,926500000,1432700000,1045400000,306100000,59600000,21600000,2359200000,3128100000,349300000,145700000,203600000,99300000,448600000,1.838e+09,2.27e+08,149800000,37700000,39500000,2.065e+09,2513600000,1984500000,-1065700000,-304300000,614500000,614500000,3128100000,4600000,35800000,5200000,2700000,48300000,-27700000,-27700000,-27700000,-114600000,6.6e+07,-1e+05,65900000,-4e+05,-4e+05,9e+05,5e+05,61700000,1937300000,36900000,0.28064,0.05857,0.0104,0.00749,0.00147,8.02174,1.714,4.09048,0.61932,0.03684,0.03641,3.54127,4.92111,0.29551,0.00166,0.01328,29.2577,69.69884
"12","2017_Q3",37.0366666666667,"Up",483700000,-335800000,147900000,-96200000,-96200000,51700000,-2.1e+07,-22800000,1800000,30700000,-3800000,26900000,-9500000,17400000,17400000,17400000,17400000,255800000,255800000,366300000,366300000,169800000,90700000,90700000,882600000,9.05e+08,1366700000,1008500000,283900000,51200000,23100000,2271700000,3154300000,311700000,127600000,184100000,23100000,334800000,2001300000,230200000,1.41e+08,48900000,40300000,2231500000,2566300000,1.989e+09,-1048300000,-352700000,5.88e+08,5.88e+08,3154300000,17400000,35500000,12200000,-17400000,47700000,-25100000,-26400000,-26400000,-23900000,116600000,-6800000,109800000,133600000,133600000,-9900000,123700000,87200000,2024400000,54200000,0.30577,0.10688,0.03597,0.02959,0.00552,3.11494,2.6362,4.36446,0.64179,0.13934,0.13772,3.87362,4.70888,0.43405,0.00612,0.01907,20.28211,34.2089
"13","2017_Q4",40.6944444444444,"Up",532600000,-365200000,167400000,-100900000,-100900000,66500000,-29900000,-22600000,-7300000,36600000,-1900000,34700000,-8700000,2.6e+07,2.6e+07,2.6e+07,2.6e+07,241200000,241200000,402600000,402600000,193900000,90700000,90700000,928400000,968900000,1387900000,1030600000,282600000,5.3e+07,21700000,2356800000,3285200000,366400000,137600000,228800000,23700000,390100000,2025300000,227100000,141500000,4.3e+07,42600000,2252400000,2642500000,1991300000,-1022300000,-326300000,642700000,642700000,3285200000,2.6e+07,36500000,1.9e+07,21800000,103300000,-34300000,-33700000,-33700000,-118500000,-5e+06,-2300000,-7300000,-22500000,-22500000,7900000,-14600000,1.03e+08,2.049e+09,99200000,0.31431,0.12486,0.04882,0.04045,0.00791,3.81538,2.3799,4.11156,0.62371,0.20822,0.20579,4.26522,5.14694,0.79442,0.00891,0.03399,17.55146,27.18496
"14","2018_Q1",42.543606557377,"Up",616900000,-401700000,215200000,-107300000,-107300000,107900000,-27700000,-22600000,-5100000,80200000,-1.1e+07,69200000,-7400000,61800000,61800000,61800000,61800000,288300000,288300000,488800000,488800000,184900000,97800000,97800000,1059800000,995900000,1398600000,1044100000,273100000,53900000,27500000,2394500000,3454300000,444400000,163200000,281200000,24600000,4.69e+08,2055100000,206700000,129500000,31700000,45500000,2261800000,2730800000,1993300000,-955700000,-314100000,723500000,723500000,3454300000,61800000,38700000,18600000,-18900000,100200000,-5.2e+07,-5.2e+07,-5.2e+07,-5.2e+07,-4499999.99999999,-2600000,-7100000,41100000,41100000,6e+06,47100000,146600000,2079700000,83100000,0.34884,0.17491,0.10018,0.08542,0.01789,1.34466,2.2597,3.77443,0.60206,0.49458,0.48762,4.93701,5.79012,0.66504,0.02053,0.02761,12.21965,16.60241
"15","2018_Q2",40.3984375,"Down",543900000,-403800000,140100000,-107500000,-107500000,32600000,-29500000,-24300000,-5200000,3100000,-1200000,1900000,1900000,3800000,3800000,3800000,3800000,601400000,601400000,410500000,410500000,1.94e+08,124200000,124200000,1330100000,1.025e+09,1429700000,1069600000,269200000,62600000,28300000,2454700000,3784800000,433200000,166800000,266400000,23900000,457100000,2082900000,2.06e+08,129300000,30300000,46400000,2288900000,2.746e+09,2269700000,-951900000,-2.79e+08,1038800000,1038800000,3784800000,3800000,3.9e+07,19700000,21200000,83700000,-42700000,-42700000,-42700000,-42700000,-6400000,-8400000,2.63e+08,3.04e+08,3.04e+08,9100000,313100000,71600000,2106800000,48200000,0.25758,0.05994,0.00699,0.00365999999999998,0.001,12.68421,2.90987,2.64343,0.55665,0.02938,0.02938,4.20561,8.03234,0.3727,0.00113,0.01438,21.02514,46.17791
"16","2018_Q3",42.2447619047619,"Up",606300000,-418900000,187400000,-114800000,-114800000,72600000,-40300000,-27200000,-13100000,32300000,-4300000,2.8e+07,-49900000,-21900000,-21900000,-21900000,-21900000,329500000,329500000,427900000,427900000,212700000,105400000,105400000,1075500000,1256200000,2055400000,1408300000,5.82e+08,34300000,30800000,3311600000,4387100000,414100000,164300000,249800000,69900000,4.84e+08,2672500000,225100000,127300000,40700000,57100000,2897600000,3381600000,2274200000,-973800000,-294900000,1005500000,1005500000,4387100000,-21900000,46800000,60500000,6900000,92300000,-38400000,-40200000,-40200000,-7.83e+08,4.39e+08,-19600000,419400000,-271300000,-271300000,-600000.000000002,-271900000,119400000,2742400000,137800000,0.30909,0.11974,-0.03612,-0.02178,-0.00499,-6.29224,2.22211,3.3631,0.62511,-0.16934,-0.16934,4.68811,7.77485,1.06551,-0.00551,0.03468,20.20854,33.23554
"17","2018_Q4",38.5771428571429,"Down",627900000,-436200000,191700000,-117600000,-117600000,74100000,-39800000,-29900000,-9900000,34300000,-1600000,32700000,-13700000,1.9e+07,1.9e+07,1.9e+07,1.9e+07,391500000,391500000,506800000,506800000,223600000,92500000,92500000,1214400000,1271400000,2068300000,1438600000,572200000,26900000,30600000,3339700000,4554100000,486900000,182900000,3.04e+08,70600000,557500000,2706500000,221700000,1.28e+08,31400000,62300000,2928200000,3485700000,2278800000,-954800000,-255600000,1068400000,1068400000,4554100000,1.9e+07,51700000,20200000,4300000,95200000,-34800000,-34800000,-34800000,-34800000,-6800000,-1e+06,-7800000,52600000,52600000,9400000,6.2e+07,125800000,2777100000,1.09e+08,0.3053,0.11801,0.03026,0.01778,0.00417,5.73684,2.1783,3.26254,0.6098,0.14277,0.13667,4.71826,8.02833,0.81906,0.00467,0.0268,18.96343,32.19433
"18","2019_Q1",39.0747540983607,"Up",685300000,-451900000,233400000,-124900000,-124900000,108500000,-7300000,-3e+07,22700000,101200000,-11800000,89400000,-6699999.99999999,82700000,82700000,82700000,82700000,410200000,410200000,555800000,555800000,209100000,65200000,65200000,1240300000,1270600000,2020200000,1397200000,544900000,32900000,45200000,3290800000,4531100000,5.05e+08,192100000,312900000,71900000,576900000,2649400000,218100000,131600000,32500000,5.4e+07,2867500000,3444400000,2284600000,-872100000,-325800000,1086700000,1086700000,4531100000,82700000,52600000,-8400000,-23600000,103300000,-58800000,-58800000,-58800000,-58800000.0000001,-5199999.99999997,-3e+05,-5500000,3.9e+07,3.9e+07,-20300000,18700000,161100000,2721300000,85400000,0.34058,0.15832,0.12068,0.0761,0.01825,1.03265,2.14994,3.1696,0.60058,0.621,0.61202,5.14601,8.16017,0.64128,0.02054,0.02121,14.34575,21.30046
"19","2019_Q2",45.791746031746,"Up",551800000,-403300000,148500000,-115500000,-115500000,3.3e+07,-33800000,-28100000,-5700000,-8e+05,-12600000,-13400000,-1e+06,-14400000,-14400000,-14400000,-14400000,266100000,266100000,503300000,503300000,235800000,78200000,78200000,1083400000,1288200000,2128200000,1.435e+09,611900000,33800000,47500000,3416400000,4499800000,454100000,180100000,2.74e+08,73400000,527500000,2205700000,237200000,132100000,51100000,5.4e+07,2442900000,2970400000,2.735e+09,-871400000,-334200000,1529400000,1529400000,4499800000,-14400000,52900000,24100000,-21400000,41200000,-38300000,-38300000,-38300000,-165800000,-459200000,-5100000,-18800000,-143400000,-143400000,-7e+05,-144100000,85900000,2279100000,27200000,0.26912,0.0598,-0.0261,-0.00942,-0.0032,-1.88889,2.05384,1.9422,0.50649,-0.1005,-0.09927,3.85104,10.67377,0.18983,-0.00356,0.00672,23.43423,61
"20","2019_Q3",53.74078125,"Up",6.23e+08,-421600000,201400000,-123200000,-123200000,78200000,-26900000,-25500000,-1400000,51300000,1.86264514923096e-09,51300000,-2300000,4.9e+07,4.9e+07,4.9e+07,4.9e+07,207900000,207900000,551300000,551300000,235200000,77100000,77100000,1071500000,1285800000,2084300000,1421400000,5.81e+08,31700000,50200000,3370100000,4441600000,444400000,184400000,2.6e+08,69900000,514300000,2.13e+09,234300000,129600000,50100000,54600000,2364300000,2878600000,2736600000,-822400000,-351200000,1.563e+09,1.563e+09,4441600000,4.9e+07,54600000,10500000,-70800000,43300000,-4.3e+07,-4.3e+07,-4.3e+07,-4.3e+07,-49100000,-5899999.99999999,-5.5e+07,-54700000,-54700000,-3500000,-58200000,132800000,2199900000,21300000,0.32327,0.12552,0.07865,0.03135,0.01103,0.43469,2.08341,1.84171,0.49529,0.34197,0.33779,4.34795,10.90826,0.14865,0.01226,0.00533,15,25.47315
"21","2019_Q4",50.9771875,"Down",617500000,-418800000,198700000,-129900000,-129900000,68800000,-23200000,-26400000,3200000,45600000,-3e+06,42600000,-10900000,31700000,31700000,31700000,31700000,227900000,227900000,583500000,583500000,2.47e+08,85300000,85300000,1143700000,1301500000,2047900000,1409300000,554400000,30100000,54100000,3349400000,4493100000,455100000,202300000,252800000,70300000,525400000,2116300000,230700000,128500000,32700000,69500000,2.347e+09,2872400000,2740700000,-790700000,-329300000,1620700000,1620700000,4493100000,31700000,66400000,7500000,-30300000,75300000,-4.8e+07,-4.8e+07,-4.8e+07,-48900000,-6200000,-2300000,-8700000,17700000,17700000,2300000,2e+07,135200000,2186600000,67800000,0.32178,0.11142,0.05134,0.01956,0.00706,2.1388,2.17682,1.77232,0.48666,0.21844,0.21615,4.25515,11.16814,0.46721,0.00785,0.01679,14.48743,28.46948
"22","2020_Q1",54.6025806451613,"Up",725700000,-469300000,256400000,-162400000,-143400000,9.4e+07,-30100000,-3.1e+07,9e+05,63900000,15600000,79500000,-8800000,70700000,70700000,70700000,65700000,345400000,345400000,693100000,693100000,257200000,100100000,100100000,1395800000,1536700000,3251500000,2220900000,930800000,38600000,61200000,4788200000,6.184e+09,594200000,255800000,338400000,76500000,670700000,2882800000,342300000,143600000,74400000,124300000,3225100000,3895800000,2758900000,-723400000,-353900000,2288200000,2288200000,6.184e+09,70700000,55100000,-99999.9999999981,-37500000,88200000,-87700000,-88700000,-88700000,-1252300000,664500000,619300000,1283500000,119400000,119400000,-2100000,117300000,149100000,2959300000,32700000,0.35331,0.12953,0.09053,0.02871,0.01062,0.49772,2.08111,1.70256,0.47854,0.45219,0.44682,4.9947,11.57378,0.22506,0.01175,0.00585,17.53119,27.80745
"23","2020_Q2",67.8860317460317,"Up",664700000,-4.87e+08,177700000,-142800000,-142800000,34900000,-41200000,-36300000,-4900000,-6300000,-5e+05,-6800000,6900000,1e+05,1e+05,1e+05,-8e+06,243400000,243400000,647900000,647900000,250700000,124800000,124800000,1266800000,1561100000,3291600000,2195900000,902900000,34100000,158700000,4852700000,6119500000,541500000,2.14e+08,327500000,74300000,615800000,2858700000,389100000,139600000,70500000,1.79e+08,3247800000,3863600000,2756700000,-731400000,-3.76e+08,2255900000,2255900000,6119500000,1e+05,60600000,30200000,-65700000,25200000,-73500000,-73500000,-73500000,-84900000,-5800000,-18100000,-35800000,-95500000,-95500000,-6500000,-1.02e+08,95500000,2.933e+09,-50600000,0.26734,0.0525,-0.01204,-0.00355,-0.00131,6.325,2.05716,1.71266,0.47929,-0.05492,-0.05492,4.56327,11.3227,-0.34738,0.000699999999999997,-0.00907,28.16335,77.0659
"24","2020_Q3",84.5534375,"Up",721400000,-489200000,232200000,-1.41e+08,-1.41e+08,91200000,-30500000,-34900000,4400000,60700000,-2200000,58500000,-1.3e+07,45500000,45500000,45500000,34900000,188900000,188900000,6.81e+08,6.81e+08,249600000,1.81e+08,1.81e+08,1300500000,1618100000,3276700000,2207800000,885900000,35100000,147900000,4894800000,6195300000,585700000,243400000,342300000,72400000,658100000,2824600000,389900000,138400000,76100000,175400000,3214500000,3872600000,2760700000,-6.94e+08,-350600000,2322700000,2322700000,6195300000,45500000,61900000,17500000,-4200000,120700000,-78700000,-78700000,-78700000,-114300000,-51600000,-6300000,-6.6e+07,-59600000,-59600000,5100000.00000001,-54500000,153100000,2.897e+09,83200000,0.32187,0.12642,0.04838,0.01503,0.00563,2.38395,1.97614,1.66728,0.46761,0.23893,0.23286,4.93879,11.74864,0.5696,0.00767,0.01483,17.68844,29.69408
"25","2020_Q4",96.91546875,"Up",760599999,-521800000,238799999,-136100000,-136100000,102699999,-71100000,-34400000,-36700000,31599999,-1900000,29699999,-8800000,20899999,20899999,20899999,11799999,608400000,608400000,698700000,698700000,297200000,141800000,141800000,1746100000,1769500000,3.564e+09,2449300000,907300000,45100000,162300000,5333500000,7079600000,645300000,276200000,369100000,271800000,917100000,2926900000,441300000,137600000,95600000,208100000,3368200000,4285300000,3262500000,-681200000,-393600000,2794300000,2794300000,7079600000,20900000,64800000,54800000,-18800000,121700000,-151300000,-151300000,-151300000,-465600000,312400000,-2.6e+07,772500000,428600000,428600000,-9100000,419500000,167499999,3198700000,6199999,0.31396,0.13502,0.01551,0.00422,0.00167,0.52542,1.90394,1.53359,0.45182,0.07804,0.07716,5.03004,14.46781,0.041,0.00309,0.000960000000000001,15.46448,25.22201
"26","2021_Q1",111.540819672131,"Up",947300001,-6.13e+08,334300001,-168100000,-157100000,166200001,8800000,-20400000,29200000,175000001,3600000,178600001,-24100000,154500001,154500001,154500001,134300001,9.53e+08,9.53e+08,8.38e+08,8.38e+08,3.24e+08,1.78e+08,1.78e+08,2.293e+09,1.901e+09,3.583e+09,2.471e+09,8.89e+08,4.9e+07,1.74e+08,5.484e+09,7.777e+09,8.2e+08,3.21e+08,4.99e+08,7.3e+07,8.93e+08,2.945e+09,4.33e+08,1.35e+08,9.4e+07,2.04e+08,3.378e+09,4.271e+09,3.82e+09,-5.35e+08,-3.86e+08,3.506e+09,3.506e+09,7.777e+09,154500000,66700000,-15500000,-33300000,172400000,-162500000,-162500000,-162500000,-162200000,-2.06e+08,-6600000.00000001,331300000,341500000,341500000,348500000,6.9e+08,232900001,3.018e+09,61200001,0.3529,0.17545,0.14177,0.03831,0.01727,0.4557,2.56775,1.2182,0.38807,0.9096,0.898379999999999,6.41595,19.6346,0.4145,0.02044,0.0088,8.86647,12.42479
