"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",4.24015625,"Up",5410000,-3894000,1516000,-2458000,-2351000,-107000,-942000,6000,6000,-936000,-936000,-19000,-955000,-955000,-955000,-955000,16079000,16079000,3044000,3044000,1904000,502000,502000,21529000,4368000,607000,607000,4975000,26504000,2798000,1405000,1393000,1376000,4174000,775000,47000,775000,4949000,23160000,-1531000,21555000,21555000,26504000,-955000,274000,105000,74000,-502000,-170000,-170000,-146000,-24000,-170000,-34000,-706000,-706000,-706000,-668000,0,-745000,0.28022,-0.17412,-0.17652,-0.04431,-0.03603,0.7801,5.15788,0.2296,0,-0.06264,-0.06264,0.35485,1.41381,-0.04887,-0.04277,24.07036,17.069
"12","2014_Q1",4.71295081967213,"Up",5250000,-3671000,1579000,-2274000,-2168000,-106000,-695000,5000,5000,-690000,-705000,15000,-690000,-690000,-690000,-690000,15503000,15503000,2595000,2595000,1632000,694000,583000,20424000,4440000,668000,668000,5108000,25532000,2430000,1085000,1345000,1351000,3781000,681000,102000,681000,4462000,23365000,-2221000,21070000,21070000,25532000,-690000,276000,-10000,153000,-271000,-425000,-425000,-361000,-64000,-425000,120000,-576000,-576000,-576000,-419000,1.38777878078145e-17,-706000,0.30076,-0.13238,-0.13143,-0.03275,-0.02702,1.02319,5.40175,0.21177,0,-0.045,-0.045,0.34242,1.37425,-0.04605,-0.03172,37,22.30647
"13","2014_Q2",4.13015873015873,"Down",6273000,-3948000,2325000,-2195000,-2079000,-116000,130000,5000,5000,135000,135000,-13000,122000,122000,122000,122000,15337000,15337000,3695000,3695000,1523000,751000,640000,21306000,4382000,723000,723000,5105000,26411000,2960000,1667000,1293000,1637000,4597000,593000,11000,593000,5190000,23446000,-2099000,21221000,21221000,26411000,122000,272000,81000,-320000,155000,-269000,-269000,-201000,-68000,-269000,-52000,-166000,-166000,-166000,402000,0,-174000,0.37064,0.02072,0.01945,0.00575,0.00462,-1.42623,4.63476,0.24457,0,0.00795,0.00794,0.40885,1.38311,-0.01134,0.00559,-38.15174,-117.97692
"14","2014_Q3",4.50015625,"Up",7649000,-4960000,2689000,-2569000,-2452000,-117000,120000,5000,5000,125000,125000,-5000,120000,120000,120000,120000,15280000,15280000,3075000,3075000,1367000,815000,704000,20537000,4142000,748000,748000,4890000,25427000,2633000,1143000,1490000,1389000,4022000,5e+05,7000,5e+05,4522000,23565000,-1979000,20905000,20905000,25427000,120000,284000,119000,44000,567000,-69000,-69000,-29000,-40000,-69000,-555000,-57000,-57000,-57000,404000,0,384000,0.35155,0.01569,0.01569,0.00574,0.00472,3.2,5.10617,0.21631,0,0.00785,0.00777,0.5001,1.36679,0.02511,0.00561,-37.82178,-127.33333
"15","2014_Q4",4.44296875,"Down",5552000,-4144000,1408000,-2343000,-2225000,-118000,-935000,6000,6000,-929000,-929000,-6000,-935000,-935000,-935000,-935000,14430000,14430000,2976000,2976000,1376000,1015000,904000,19797000,3954000,729000,729000,4683000,24480000,2682000,1486000,1196000,1174000,3856000,485000,50000,485000,4341000,23734000,-2914000,20139000,20139000,24480000,-935000,279000,122000,-291000,-825000,-72000,-72000,-78000,6000,-72000,47000,-850000,-850000,-850000,-656000,0,-1013000,0.2536,-0.16841,-0.16841,-0.04643,-0.03819,1.08342,5.13408,0.21555,0,-0.06132,-0.06132,0.36411,1.32076,-0.06643,-0.04534,21.99695,15.43316
"16","2015_Q1",5.05327868852459,"Up",7096000,-4529000,2567000,-917000,-2344000,-111000,1650000,8000,8000,1658000,1658000,-9000,1649000,1649000,1649000,1649000,13717000,13717000,4728000,4728000,1320000,2123000,474000,21888000,3858000,715000,715000,4573000,26461000,2663000,1617000,1046000,1337000,4e+06,557000,33000,557000,4557000,23850000,-1265000,21904000,21904000,26461000,1649000,270000,272000,-2744000,-553000,-160000,-160000,-160000,0,-160000,0,-713000,-713000,-713000,1920000,-3.5527136788005e-15,-975000,0.36175,0.23253,0.23238,0.07528,0.06232,-0.591269999999998,5.472,0.20804,0,0.10799,0.10603,0.4647,1.43445,-0.06385,0.07342,-7.14427,-8.31333
"17","2015_Q2",6.26206349206349,"Up",7047000,-4713000,2334000,-2408000,-2323000,-85000,-74000,8000,8000,-66000,-66000,-8000,-74000,-74000,-74000,-74000,16139000,16139000,4473000,4473000,1433000,618000,618000,22663000,3675000,702000,702000,4377000,27040000,3011000,1632000,1379000,1616000,4627000,595000,16000,595000,5222000,23966000,-1339000,21818000,21818000,27040000,-74000,242000,227000,2201000,2596000,-46000,-46000,-46000,-10547.1239610938,-46000,-128000,2422000,2422000,2422000,168000,0,2331000,0.3312,-0.0105,-0.0105,-0.00339000000000003,-0.00274000000000001,-31.5,4.89799,0.23934,0,-0.00484,-0.00484,0.46095,1.42713,0.15247,-0.00329999999999998,-96.06548,218.09459
"18","2015_Q3",7.2271875,"Up",8693000,-5465000,3228000,-2484000,-2415000,-69000,744000,10000,10000,754000,754000,-5000,749000,749000,749000,749000,16359000,16359000,4361000,4361000,2208000,919000,919000,23847000,3662000,688000,688000,4350000,28197000,3488000,2029000,1459000,1449000,4937000,531000,12000,531000,5468000,24128000,-590000,22729000,22729000,28197000,749000,218000,141000,-718000,390000,-191000,-191000,-191000,-11187.3635115766,-191000,21000,220000,220000,220000,962000,0,58000,0.37133,0.08559,0.08616,0.03295,0.02656,0.0774400000000064,4.83026,0.24057,0,0.04902,0.04856,0.56888,1.4874,0.00380000000000003,0.0322,-17.0052,-21.9879
"19","2015_Q4",8.6659375,"Up",6171000,-4511000,1660000,-2468000,-2411000,-57000,-808000,9000,9000,-799000,-799000,-13000,-812000,-812000,-812000,-812000,16152000,16152000,3146000,3146000,2282000,821000,821000,22401000,3795000,680000,680000,4475000,26876000,2804000,1046000,1758000,1393000,4197000,529000,17000,529000,4726000,24361000,-1402000,22150000,22150000,26876000,-812000,193000,126000,497000,4000,-318000,-318000,-312000,-6000,-318000,107000,-207000,-207000,-207000,-615000,0,-423000,0.269,-0.13094,-0.13158,-0.03666,-0.03021,0.52094,5.33738,0.21336,0,-0.05287,-0.05286,0.40181,1.44225,-0.02754,-0.0358,26.26341,19.9901
"20","2016_Q1",6.06393442622951,"Down",8991000,-5218000,3773000,-2399000,-2347000,-52000,1374000,9000,9000,1383000,1383000,-86000,1297000,1297000,1297000,1297000,15157000,15157000,6647000,6647000,2738000,680000,680000,25222000,3810000,719000,666000,4529000,29751000,3722000,1770000,1952000,1877000,5599000,566000,83000,566000,6165000,24500000,-105000,23586000,23586000,29751000,1297000,177000,128000,-2430000,-828000,-178000,-178000,-178000,0,-178000,11000,-995000,-995000,-995000,1551000,0,-971000,0.41964,0.15282,0.14426,0.05499,0.0436,-0.74865,4.50473,0.26138,0,0.08432,0.08014,0.58455,1.53345,-0.06313,0.0537,-9.7724,-11.0313
"21","2016_Q2",4.7315625,"Down",7869000,-4990000,2879000,-2648000,-2596000,-52000,231000,9000,9000,240000,240000,-20000,220000,220000,220000,220000,15956000,15956000,4892000,4892000,3419000,553000,553000,24820000,4175000,1325000,912000,5500000,30320000,3473000,1439000,2034000,1910000,5383000,722000,221000,722000,6105000,24909000,115000,24215000,24215000,30320000,220000,188000,141000,1074000,1623000,-462000,-462000,-462000,746.004721413758,-1092000,268000,799000,799000,799000,419000,0,1051000,0.36587,0.02936,0.02796,0.00908999999999997,0.00725999999999997,4.77727,4.61081,0.25212,5.42101086242752e-20,0.01427,0.01381,0.51034,1.57047,0.06816,0.00881999999999997,-38.08115,-69.07359
"22","2016_Q3",4.8484375,"Up",9992000,-6673000,3319000,-2655000,-2585000,-70000,664000,9000,9000,673000,673000,-58000,615000,615000,615000,615000,14459000,14459000,6306000,6306000,3787000,612000,612000,25164000,4266000,2243000,1204000,6509000,31673000,4130000,1723000,2407000,2264000,6394000,727000,216000,727000,7121000,25171000,730000,24552000,24552000,31673000,615000,191000,217000,-1152000,-129000,-299000,-299000,-299000,0,-873000,-495000,-1497000,-1497000,-1497000,855000,1.45519152283669e-11,-538000,0.33217,0.06645,0.06155,0.02505,0.01942,-0.8748,3.93556,0.29004,0,0.03976,0.03829,0.64602,1.58738,-0.03478,0.02433,-16.91111,-21.7756
"23","2016_Q4",4.06079365079365,"Down",6652000,-4959000,1693000,-2797000,-2709000,-88000,-1104000,8000,8000,-1096000,-1096000,54000,-1042000,-1042000,-1042000,-1042000,13446000,13446000,3976000,3976000,4137000,812000,812000,22371000,4532000,2203000,1164000,6735000,29106000,2746000,1508000,1238000,2173000,4919000,730000,235000,730000,5649000,25323000,-312000,23457000,23457000,29106000,-1042000,222000,152000,664000,-4000,-456000,-456000,-456000,0,-804000,-205000,-1013000,-1013000,-1013000,-882000,0,-728000,0.25451,-0.16597,-0.15664,-0.04442,-0.0358,0.69866,4.54788,0.24082,-8.67361737988404e-19,-0.0674,-0.06739,0.43024,1.51717,-0.04709,-0.04308,15.2449,12.17935
"24","2017_Q1",4.59661290322581,"Up",8870000,-5650000,3220000,-3006000,-2922000,-84000,214000,6000,6000,220000,220000,1.45519152283669e-11,220000,220000,220000,220000,12435000,12435000,5814000,5814000,3919000,695000,695000,22863000,5032000,2252000,1129000,7284000,30147000,3154000,1620000,1534000,2477000,5631000,673000,190000,673000,6304000,25489000,-92000,23843000,23843000,30147000,220000,215000,217000,-954000,-302000,-709000,-709000,-709000,0,-709000,-1.16415321826935e-10,-1011000,-1011000,-1011000,429000,0,-1234000,0.36302,0.02413,0.0247999999999999,0.00923,0.0073,-5.60909,4.0602,0.2644,0,0.01424,0.01383,0.5743,1.54374,-0.0799,0.00897,-28.98601,-58.10748
"25","2017_Q2",4.26714285714286,"Down",9531000,-6572000,2959000,-3899000,-3699000,-2e+05,-940000,-27000,-27000,-967000,-967000,-44742.8626822657,-967000,-967000,-967000,-967000,6908000,6908000,7081000,7081000,4205000,865000,865000,19059000,5938000,11186000,4335000,17124000,36183000,4544000,2623000,1921000,2673000,8e+06,755000,183000,3138000,11138000,27658000,-1059000,25045000,25045000,36183000,-967000,338000,145000,-308000,-792000,-793000,-806000,-806000,0,-7855000,3120000,-5527000,-5527000,-5527000,-602000,3166000,-1890451.15874577,0.31046,-0.09863,-0.10146,-0.03861,-0.02673,-11.4686685881943,2.38238,0.44472,0.0875,-0.06094,-0.06094,0.60064,1.57833,-0.121245812135935,-0.03338,6.21595,3.98085
"26","2017_Q3",4.80603174603175,"Up",9707000,-6812000,2895000,-3099000,-2899000,-2e+05,-204000,-23000,-23000,-227000,-227000,-34587.5649284281,-227000,-227000,-227000,-227000,7234000,7234000,5766000,5766000,4382000,727000,727000,18109000,6878000,11106000,4264000,17984000,36093000,5066000,3130000,1936000,2356000,8106000,705000,171000,2917000,11023000,27910000,-1286000,25070000,25070000,36093000,-227000,370000,134000,1490000,1767000,-1251000,-1251000,-1172000,-79000,-1289000,-152000,326000.000000001,326000.000000001,326000.000000001,166000,2896000,-2214116.40622372,0.29824,-0.02102,-0.02339,-0.00905,-0.00629,-12.9296917194059,2.23402,0.43969,0.08024,-0.01425,-0.01425,0.60943,1.57396,-0.140555448445186,-0.00792,-26.13253,21.26471
"27","2017_Q4",4.19968253968254,"Down",8588000,-6236000,2352000,-2990000,-2790000,-2e+05,-638000,-30000,-30000,-668000,-668000,-8138.4847103764,-668000,-668000,-668000,-668000,5692000,5692000,5191000,5191000,4526000,853000,853000,16262000,6756000,11004000,4162000,17760000,34022000,3809000,2469000,1340000,2223000,6636000,664000,166000,2785000,9421000,28109000,-1954000,24601000,24601000,34022000,-668000,392000,120000,-637000,-793000,-5e+05,-510000,-461000,-49000,-661000,-88000,-1542000,-1542000,-1542000,-246000,2725000,-1973973.4505898,0.27387,-0.07429,-0.07778,-0.02715,-0.01963,-9.74070649091452,2.45057,0.38295,0.0801,-0.04177,-0.04177,0.53695,1.53814,-0.124229860531844,-0.02387,12.06098,4.65047
"28","2018_Q1",4.48655737704918,"Up",10362000,-6731000,3631000,-3036000,-2835000,-201000,595000,-22000,-22000,573000,573000,-4000.00000000006,569000,569000,569000,569000,4675000,4675000,7553000,7553000,4098000,694000,694000,17020000,6543000,10901000,4046000,17444000,34464000,3510000,1710000,1800000,2421000,6532000,643000,165000,2645000,9177000,28226000,-1385000,25287000,25287000,34464000,569000,385000,127000,-1841000,-760000,-82000,-82000,-47000,-35000,-135000,-122000,-1017000,-1017000,-1017000,980000,2603000,-939000,0.35041,0.05742,0.05491,0.0225,0.01651,-1.65025999999999,2.60563,0.36291,0.07553,0.03555,0.03555,0.64738,1.57985,-0.05867,0.01994,-2.11429,-3.48235
"29","2018_Q2",3.94203125,"Down",9683000,-6655000,3028000,-2927000,-2725000,-202000,101000,-19000,-19000,82000,82000,-7000,75000,75000,75000,75000,5160000,5160000,7279000,7279000,4239000,566000,566000,17244000,6491000,10792000,3935000,17283000,34527000,3496000,1978000,1518000,2396000,6492000,699000,171000,2552000,9044000,28347000,-1310000,25483000,25483000,34527000,75000,390000,126000,317000,908000,-273000,-276000,-235000,-41000,-273000,-150000,485000,485000,485000,491000,2453000,542000,0.31271,0.01043,0.00775,0.00294,0.00217,7.22667,2.65619,0.3549,0.07105,0.00469,0.00466,0.60489,1.59189,0.03386,0.00262,-5.51324,-26.80198
"30","2018_Q3",3.5184126984127,"Down",11119000,-7988000,3131000,-3024000,-2821000,-203000,107000,-18000,-18000,89000,88999.9999999999,67000,156000,156000,156000,156000,5763000,5763000,7518000,7518000,4359000,708000,708000,18348000,6678000,10745000,3790000,17423000,35771000,4523000,2613000,1910000,2375000,7477000,708000,173000,2432000,9909000,28570000,-1154000,25862000,25862000,35771000,156000,394000,71000,540000,1161000,-408000,-415000,-408000,-7000,-408000,-150000,603000,603000,603000,501000,2303000,566000,0.28159,0.00961999999999999,0.01403,0.00603,0.00436,3.62821,2.45393,0.38315,0.06438,0.00972,0.00971000000000001,0.6929,1.61164,0.03527,0.0054,-6.90619,-32.33645
"31","2018_Q4",3.44428571428571,"Down",9427000,-7131000,2296000,-3003000,-2800000,-203000,-707000,-18000,-18000,-725000,-725000,-32000,-757000,-757000,-757000,-757000,5499000,5499000,6103000,6103000,4163000,761000,761000,16526000,6538000,10542000,3648000,17080000,33606000,3454000,1836000,1618000,2107000,6119000,674000,199000,2268000,8387000,28684000,-1911000,25219000,25219000,33606000,-757000,390000,141000,280000,54000,-167000,-167000,-157000,-10000,-167000,-151000,-264000,-264000,-264000,-317000,2152000,-172000,0.24356,-0.075,-0.0803,-0.03002,-0.02253,0.22721,2.70077,0.33257,0.06404,-0.04707,-0.04707,0.58618,1.56815,-0.0107,-0.02699,10.55836,4.73409000000001
"32","2019_Q1",3.63655737704918,"Up",9912000,-6965000,2947000,-3025000,-2822000,-203000,-78000,-19000,-19000,-97000,-97000,-49000,-146000,-146000,-146000,-146000,5155000,5155000,6370000,6370000,3986000,739000,739000,16250000,6572000,10409000,3525000,16981000,33231000,3561000,1500000,2061000,1894000,5992000,6e+05,130000,2065000,8057000,28785000,-2057000,25174000,25174000,33231000,-146000,387000,242000,-237000,246000,-440000,-440000,-412000,-28000,-440000,-150000,-344000,-344000,-344000,309000,2002000,-319000,0.29732,-0.00786999999999999,-0.01473,-0.0058,-0.00439,2.18493,2.71195,0.32005,0.06024,-0.00907999999999998,-0.00914,0.6163,1.56526,-0.01983,-0.00526,-10.20388,40.42308
"33","2019_Q2",3.46396825396825,"Down",10293000,-6941000,3352000,-3227000,-3026000,-201000,125000,-18000,-18000,107000,107000,-37000,70000,70000,70000,70000,5149000,5149000,6800000,6800000,4144000,1019000,741000,17112000,6310000,10474000,3536000,16784000,33896000,3936000,1894000,2042000,1801000,6254000,624000,137000,1959000,8213000,28886000,-1649000,25683000,25683000,33896000,70000,391000,163000,-238000,386000,-242000,-242000,-79000,-163000,-242000,-150000,-6000,-6000,-6000,516000,1852000,73000,0.32566,0.01214,0.0068,0.00273,0.00207,1.04286,2.73617,0.31978,0.05464,0.00435,0.00435,0.64003,1.597,0.00454,0.00249,-6.38953,-26.376
"34","2019_Q3",3.78390625,"Up",12394000,-8403000,3991000,-3164000,-2959000,-205000,827000,-15000,-15000,812000,812000,-33000,779000,779000,779000,779000,6414000,6414000,7294000,7294000,4421000,967000,717000,19096000,6185000,10339000,3423000,16524000,35620000,4606000,2554000,2052000,2132000,7255000,606000,98000,1813000,9068000,28976000,-870000,26552000,26552000,35620000,779000,416000,285000,155000,1635000,-242000,-242000,-202000,-40000,-242000,-128000,1265000,1265000,1265000,1243000,1724000,1189000,0.32201,0.06673,0.06285,0.02934,0.02187,1.52632,2.63212,0.34152,0.0484,0.04839,0.04837,0.76981,1.64919,0.07385,0.02697,-3.77313,-5.6711
