"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q2",3.36365079365079,"Down",4201000,-4023000,178000,-1012000,-1012000,-834000,110000,-359000,469000,-724000,-724000,-451000,-236000,-236000,-236000,406000,406000,5280000,5280000,31207000,6507000,627000,3079000,43400000,3960000,19530000,-15570000,3590000,719000,7550000,50950000,6110000,4130000,1980000,15113000,21286000,269000,555000,555000,824000,22110000,7447000,-10444000,31837000,28840000,28840000,50950000,-451000,99000,-113000,-419000,-884000,482000,482000,65000,231000,-171000,91000,91000,-735000,15382000,0.04237,-0.19852,-0.05618,-0.00818,-0.00463,2.0389,0.76664,0.3019,-0.03112,-0.03095,0.55393,3.80274,-0.00527,-20.37551,-17.95683
"12","2014_Q3",3.15453125,"Down",2585000,-2361000,224000,-1079000,-1079000,-855000,-342000,-327000,-15000,-1197000,-1197000,-804000,1500000,1500000,1500000,436000,436000,3245000,3245000,20266000,6697000,121000,1668000,30644000,1771000,13419000,-11648000,4708000,704000,6479000,37123000,2634000,1148000,1486000,1744000,5370000,257000,1154000,1154000,1411000,6781000,7449000,-10444000,33337000,30342000,30342000,37123000,-804000,55000,757000,-189000,-181000,4000,15004000,-13381000,-13381000,1442000,1184000,1184000,-8e+05,2001000,0.08665,-0.33075,0.58027,0.04944,0.04041,5.70652,0.22349,0.0539,0.19752,0.19711,0.3404,3.99552,0.04478,-1.95625,-1.83041
"13","2014_Q4",2.95578125,"Down",3721000,-3495000,226000,-1113000,-1113000,-887000,2000,-24000,26000,-885000,-885000,-651000,-616000,-616000,-616000,1436000,1436000,2266000,2266000,18423000,6744000,125000,1674000,28869000,1710000,13437000,-11727000,4599000,704000,6309000,35178000,1662000,883000,779000,1398000,4081000,245000,1124000,1124000,1369000,5450000,7451000,-10444000,32721000,29728000,29728000,35178000,1278000,142000,-1861000,-211000,-652000,-61000,-61000,-359000,-359000,-1072000,1085000,1085000,-745000,1643000,0.06074,-0.23838,-0.16555,-0.02072,-0.01751,7.074,0.18333,0.04671,-0.08117,-0.08087,0.49031,3.91725,-0.01896,-0.27785,-0.23337
"14","2015_Q1",2.53081967213115,"Down",3904000,-5610000,-1706000,-1543000,-1543000,-3249000,109000,-4000,113000,-3140000,-3140000,-3554000,-3329000,-3329000,-3329000,7213000,2299000,1876000,1876000,9915000,3744000,182000,2200000,22748000,1561000,9992000,-8431000,3171000,1727000,4732000,27480000,1871000,946000,925000,48000,1919000,233000,1094000,1094000,1327000,3246000,7453000,-12611000,29392000,24234000,24234000,27480000,-2872000,98000,936000,4649000,2811000,-4999.99999999999,3804000,-1362000,-3694000,2921000,891000,891000,-3151000,281000,-0.43699,-0.83222,-0.85272,-0.13737,-0.12114,11.85409,0.13394,0.01023,-0.44619,-0.44523,0.52325,3.24809,-0.12999,2.19994000000003,2.13358
"15","2015_Q2",1.59301587301587,"Down",3695000,-2718000,977000,-1086000,-1086000,-109000,272000,14000,258000,163000,163000,139000,139000,139000,139000,4973000,1393000,2195000,2195000,9260000,4404000,162000,2862000,20832000,1501000,9972000,-8471000,3133000,1749000,4634000,25466000,1705000,1269000,436000,49000,1754000,220000,1064000,1064000,1284000,3038000,7455000,-14558000,29531000,22428000,22428000,25466000,139000,97000,-51000,-725000,-540000,-6000,670000,-12000,-1036000,-906000,-906000,-906000,-12000,269000,0.26441,-0.0295,0.03762,0.0062,0.00546,11.87685,0.13546,0.01056,0.02029,0.02022,0.53942,3.27416,0.00585,392,43.15596
"16","2015_Q3",1.0696875,"Down",2592000,-2578000,13999.9999999995,-1040000,-1040000,-1026000,1114000,4999.99999999999,153000,87999.9999999995,88000,149000,149000,149000,149000,5318000,1222000,1805000,1805000,8739000,4464000,109000,2904000,20326000,1473000,10010000,-8537000,2426000,1083000,3899000,24225000,1237000,789000,448000,49000,1286000,208000,480000,480000,688000,1974000,7457000,-14886000,29680000,22251000,22251000,24225000,149000,98000,-1007000,463000,-297000,462000,-2486000,-12000.0000000002,2612000,-171000,-171000,-171000,-928000,257000,0.00540000000000002,-0.39583,0.05748,0.0067,0.00615,15.8056,0.08872,0.01061,0.02338,0.02337,0.40678,3.492,0.00647999999999999,5.45365999999996,4.93275
"17","2015_Q4",1.0628125,"Down",1383000,-2502000,-1119000,-1541000,-1541000,-2660000,-2866000,7000,-313000,-5526000,-5526000,-5563000,-5362000,-5362000,-5362000,3217000,920375.56394397,1885000,1885000,8135000,4070000,28000,1585809.25188839,17307000,1415000,10017000,-8602000,2505000,1107000,3920000,21227000,1166000,687000,479000,50000,2336000,195000,450000,450000,645000,2981000,7460000,-16075000,26861000,18246000,18246000,21227000,-5563000,59000,4281000,2080000,857000,-557000,4571000,-13000,-4107000,1321000,1275000,1275000,-2601000,245000,-0.80911,-1.92336,-3.87708,-0.29387,-0.2526,7.40882,0.16338,0.01154,-0.84721,-0.84641,0.21852,2.88292,-0.28309,1.14264,1.11729
"18","2016_Q1",0.84344262295082,"Down",10699000,-8537000,2162000,-1521000,-1521000,641000,-806000,16000,102000,-165000,-864000.000000002,-871000.000000001,-1072000,-1072000,-1072000,740000,595000,1581000,1581000,7216000,312000,112000,2e+05,9849000,1313000,9814000,-8501000,782000,782000,2095000,11944000,2152000,1264000,877000,137000,3053000,131000,3e+05,3e+05,431000,3484000,7475000,-16268000,17253000,8460000,8460000,11944000,-871000,81000,1244000,617000,1071000,-69000.0000000002,236000,71999.9999999999,-1128000,179000,225000,225000,722000,268000,0.20207,0.0599100000000001,-0.100199999999999,-0.12671,-0.08975,3.22601,0.41182,0.02244,-0.17911,-0.17911,1.78764,1.41353,-0.11874,-0.653739999999999,-0.736350000000001
"19","2016_Q2",0.98015625,"Up",3710000,-3294000,416000,-1061000,-1061000,-645000,263000,3000,213000,-382000,-382000,-392000,-392000,-392000,-392000,2713000,642000,1245000,1245000,6356000,3634000,72000,80000,13948000,1326000,10041000,-8715000,1668000,1076000,2994000,16942000,970000,333000,637000,131000,3350000,170000,390000,390000,560000,3910000,7466000,-16264000,21830000,13032000,13032000,16942000,-392000,59000,16000,64000,-253000,-158000,-119000,814000,773000,401000,401000,401000,-586000,301000,0.11213,-0.17385,-0.10566,-0.03008,-0.02314,4.16358,0.30003,0.01777,-0.0658,-0.0658,0.6228,2.18768,-0.02857,4.11604,3.73953
"20","2016_Q3",1.0703125,"Up",3632000,-3042000,590000,-1095000,-1095000,-505000,131000,-3000,-7000.00000000003,-374000,-374000,-378000,-378000,-378000,-378000,1361000,454000,839000,839000,5708000,3998000,43000,475000,11906000,1298000,10068000,-8770000,1607000,1052000,2905000,14811000,865000,294000,571000,51000,2625000,157000,360000,360000,517000,3142000,7469000,-16264000,20464000,11669000,11669000,14811000,-378000,60000,-30000,-74000,-422000,5999.99999999997,164000,-78000,-239000,-497000,-497000,-497000,-445000,208000,0.16244,-0.13904,-0.10407,-0.03239,-0.02552,4.53562,0.26926,0.01404,-0.06414,-0.06414,0.61632,1.98015,-0.03089,2.59101,2.28317
"21","2016_Q4",0.991587301587302,"Down",5300000,-4402000,898000,-1014000,-1014000,-116000,72000,-3000,44000,-44000,-44000,-45000,-45000,-45000,-45000,399000,42000,1767000,1767000,4268000,3972000,643000,171000,10406000,1328000,6329000,-5001000,686000,658000,2014000,12420000,1179000,676000,503000,225000,3835000,726000,210000,210000,936000,4771000,7479000,-16268000,16438000,7649000,7649000,12420000,-45000,62000,44000,-222000,-161000,-46000,-67000,-54000,-35000,-263000,-263000,-263000,-54000,951000,0.16943,-0.02189,-0.00849,-0.00588,-0.00362,2.71343,0.62374,0.07657,-0.00763,-0.00763,0.89907,1.29754,-0.00511,-10.22222,-4.75862
"22","2017_Q1",1.03467741935484,"Up",6997000,-6162000,835000,-1089000,-1089000,-254000,67000,-4000,72000,-187000,-187000,-191000,-191000,-191000,-191000,503000,135000,2771000,2771000,5838000,421000,246000,175000,9533000,1281000,8405000,-7124000,616000,616000,1897000,11430000,2241000,1397000,834000,466000,3245000,667000,60000,60000,727000,3972000,7479000,-16268000,16247000,7458000,7458000,11430000,-191000,56000,950000,-1145000,-330000,-102000,-1000,-582000,230000,-101000,-101000,-101000,-198000,1133000,0.11934,-0.0363,-0.0273,-0.02561,-0.01671,2.93775,0.53258,0.09913,-0.03242,-0.03242,1.18774,1.266,-0.02208,-3.18182,-2.48031
"23","2017_Q2",0.997936507936508,"Down",3897000,-3300000,597000,-1123000,-1123000,-526000,267000,-4000,270000,-259000,-259000,-266000,-266000,-266000,-266000,574000,224000,1810000,1810000,5756000,382000,203000,179000,8522000,1356000,8537000,-7181000,570000,570000,1926000,10448000,1829000,965000,847000,587000,2460000,608000,150000,150000,758000,3218000,7517000,-16268000,15981000,7230000,7230000,10448000,-266000,58000,86000,107000,-15000,-20000,135000,103000,-31000,89000,89000,89000,-468000,1195000,0.15319,-0.13498,-0.06826,-0.03679,-0.02546,3.46423,0.44509,0.11438,-0.04515,-0.04515,0.66152,1.2273,-0.03102,-1.32692,-1.18061
"24","2017_Q3",1.07354838709677,"Up",3161000,-2683000,478000,-1023000,-1023000,-545000,322000,-4000,333000,-223000,-223000,-221000,-221000,-221000,-221000,568000,205000,1625000,1625000,4659000,356000,173000,183000,7208000,1506000,8752000,-7246000,522000,522000,2528000,9736000,1391000,584000,807000,539000,2051000,546000,120000,120000,666000,2717000,7527000,-16268000,15760000,7019000,7019000,9736000,-221000,61000,22999.9999999999,1113000,976000,-323000,-1010000,-151000,15000,-19000,-19000,-19000,-484000,1085000,0.15122,-0.17241,-0.06991,-0.03149,-0.0227,3.51438,0.38709,0.11144,-0.03751,-0.0375,0.53658,1.19148,-0.02687,-1.06818,-0.94862
"25","2017_Q4",1.05322033898305,"Down",1667000,-1811000,-144000,-1119000,-1119000,-1263000,55000,-4000,51000,-1208000,-1208000,-1203000,-1203000,-1203000,-1203000,385000,115000,597000,597000,5555000,266000,79000,187000,6803000,1492000,8678000,-7186000,474000,474000,2341000,9144000,1825000,1010000,815000,816000,2744000,484000,90000,90000,574000,3318000,7537000,-16268000,14557000,5826000,5826000,9144000,-1203000,56000,54000,586000,-507000,-53000,-249000,345000,666000,-90000,-90000,-90000,-1207000,1300000,-0.08638,-0.75765,-0.72166,-0.20649,-0.13156,2.47923,0.56952,0.14217,-0.20421,-0.20428,0.28297,0.98897,-0.16671,-0.75808,-0.72447
"26","2018_Q1",1.12737704918033,"Up",3219000,-3560000,-341000,-993000,-993000,-1334000,86000,-8000,79000,-1248000,-1248000,-1248000,-1248000,-1248000,-1248000,261000,81000,664000,664000,4584000,256000,65000,191000,5765000,1463000,8706000,-7243000,424000,424000,2262000,8027000,1931000,1054000,877000,573000,3003000,421000,17000,17000,438000,3441000,7549000,-16272000,13309000,4586000,4586000,8027000,-1248000,86000,484000,1151000,473000,-67000,394000,-536000,-901000,-34000,-34000,-34000,-1248000,994000,-0.10593,-0.41441,-0.3877,-0.27213,-0.15548,1.91975,0.75033,0.12383,-0.21199,-0.21199,0.5468,0.779,-0.22298,-0.58734,-0.54948
"27","2018_Q2",1.07015625,"Down",4021000,-3025000,996000,-1090000,-1090000,-94000,148000,-6000,192000,54000,54000,54000,54000,54000,54000,266000,168000,1807000,1807000,4457000,277000,81000,196000,6807000,1406000,8658000,-7252000,374000,374000,1780000,8587000,2264000,1636000,628000,409000,3190000,714000,49000,49000,763000,3953000,7553000,-16282000,13363000,4634000,4634000,8587000,54000,62000,18000,-461000,-327000,-5000,237000,127000,177000,87000,87000,87000,-32000,1123000,0.2477,-0.02338,0.01343,0.01165,0.00629,2.13386,0.85304,0.13078,0.00918,0.00889,0.68361,0.78783,0.0093,-26.78125,-9.11702
"28","2018_Q3",1.00428571428571,"Down",3321000,-2442000,879000,-1040000,-1040000,-161000,156000,-8000,56000,-4999.99999999988,-5000.00000000012,-5000,-5000,-5000,-5000,152000,13000,1777000,1777000,4357000,299000,58000,241000,6585000,1343000,8665000,-7322000,302000,302000,1645000,8230000,1879000,1522000,357000,762000,2968000,583000,45000,45000,628000,3596000,7558000,-16282000,13358000,4634000,4634000,8230000,-5000.00000000012,76000,33000.0000000001,-634000,-530000,-12000,-67000,223000,442000,-155000,-155000,-155000,-85000,1345000,0.26468,-0.04848,-0.00151000000000004,-0.00108000000000002,-0.000610000000000018,2.21867,0.776,0.16343,-0.000849999999999997,-0.000819999999999996,0.56499,0.78836,-0.000829999999999973,-14.03529,-7.40994
"29","2018_Q4",0.974237288135593,"Down",4170000,-3074000,1096000,-1074000,-1074000,22000,49000,-4000,71000,71000,71000,71000,71000,71000,71000,34000,34000,1985000,1985000,3793000,708000,132000,576000,6520000,1294000,8630000,-7336000,252000,252000,1546000,8066000,1789000,1441000,348000,726000,2858000,460000,39000,39000,499000,3357000,7562000,-16282000,13429000,4709000,4709000,8066000,71000,61000,1e+05,-320000,-88000,-13000,136000,-17000,-27000,21000,21000,21000,83000,1186000,0.26283,0.00528,0.01703,0.01508,0.0088,2.28132,0.71289,0.14704,0.01208,0.01167,0.70955,0.80126,0.01196,13.87952,52.36364
"30","2019_Q1",1.04259259259259,"Up",3511000,-2442000,1069000,-1285000,-1285000,-216000,163000,-1000,174000,-53000,-53000,-53000,-53000,-53000,-53000,410000,410000,1746000,1746000,3451000,685000,476000,209000,6292000,1321000,8719000,-7398000,194000,194000,1515000,7807000,1390000,1008000,382000,448000,2938000,189000,19000.0000000001,18999.9999999999,208000,3146000,7567000,-16282000,13376000,4661000,4661000,7807000,-53000,57000,-811000,1950000,1143000,-51000,107000,-1011000,-874000,376000,376000,376000,-159000,637000,0.30447,-0.06152,-0.0151,-0.01137,-0.00679,2.14159,0.67496,0.08159,-0.00902,-0.00873,0.59721,0.79282,-0.00997,-1.42767,-1.05093
"31","2019_Q2",1.27758620689655,"Up",2709000,-2284000,425000,-1034000,-1034000,-609000,283000,0,281000,-326000,-326000,-326000,-326000,-326000,-326000,620000,609000,1357000,1357000,3257000,1085000,871000,214000,6319000,1353000,8807000,-7454000,2130000,2130000,3483000,9802000,1458000,1121000,337000,430000,3880000,134000,1451000,1451000,1585000,5465000,7569000,-16282000,13050000,4337000,4337000,9802000,-326000,56000,4000,585000,319000,-88000,-97000,-23000,-23000,199000,199000,199000,-553000,564000,0.15688,-0.22481,-0.12034,-0.07517,-0.03326,1.62861,1.26009,0.05754,-0.05546,-0.05546,0.46087,0.73784,-0.05132,0.10127,0.09195
"32","2019_Q3",1.32634920634921,"Up",3228000,-2730000,498000,-1040000,-1040000,-542000,107000,-1000,109000,-435000,-435000,-435000,-435000,-435000,-435000,577000,559000,666000,666000,3239000,348000,98000,250000,4830000,1343000,8852000,-7509000,1952000,1952000,3295000,8125000,1580000,1238000,342000,335000,2813000,77000,1332000,1332000,1409000,4222000,7570000,-16282000,12615000,3903000,3903000,8125000,-435000,56000,9000,474000,104000,-46000,-54000,-99999.9999999999,-99999.9999999999,-50000,-50000,-50000,-486000,412000,0.15428,-0.16791,-0.13476,-0.11145,-0.05354,1.71703,1.08173,0.05071,-0.074,-0.074,0.54917,0.664,-0.07703,0.33951,0.304429999999998
"33","2019_Q4",1.0821875,"Down",1466000,-1201000,265000,-1008000,-1008000,-743000,115000,0,104000,-628000,-628000,-628000,-628000,-628000,-628000,73000,73000,455000,455000,3783000,427000,203000,224000,4738000,1287000,8853000,-7566000,1774000,1774000,3061000,7799000,2011000,1663000,348000,536000,3294000,19000,1209000,1209000,1228000,4522000,7572000,-16282000,11987000,3277000,3277000,7799000,-628000,56000,2000,-140000,-710000,-1000,28000,196000,196000,-486000,-486000,-486000,-687000,555000,0.18076,-0.50682,-0.42838,-0.19164,-0.08052,1.43837,1.37992,0.07116,-0.10684,-0.10684,0.2494,0.5575,-0.12458,-0.7016,-0.64872
"34","2020_Q1",1.00466666666667,"Down",3194000,-2005000,1189000,-1178000,-1178000,10999.9999999999,160000,-7000,179000,171000,183000,183000,183000,183000,183000,844000,844000,1305000,1305000,4480000,6e+05,411000,189000,7229000,1270000,7877000,-6607000,2020000,1633000,3290000,10519000,1755000,1256000,499000,1216000,5966000,310227.855960516,1091000,1091000,1091000,7057000,7574000,-16282000,12170000,3462000,3462000,10519000,183000,58000,-90000,601000,752000,0,7.27595761418343e-12,18999.9999999999,18999.9999999999,771000,771000,771000,69000.0000000001,1216000,0.37226,0.00344,0.0572900000000001,0.05286,0.0174,1.2117,2.03842,0.1156,0.03113,0.03113,0.54338,0.58898,0.03172,5.3913,33.81818
"35","2020_Q2",1.02555555555556,"Up",3705000,-2727000,978000,-1203000,-1203000,-225000,217000,-15000,242000,-8000,-8000,-8000,-8000,-8000,-8000,1237000,1225000,654000,654000,4009000,1267000,478000,789000,7167000,1229000,7895000,-6666000,1854000,1510000,3083000,10250000,1335000,895000,440000,1611000,5222000,603000,971000,971000,1574000,6796000,7574000,-16282000,12162000,3454000,3454000,10250000,-8000,103000,25000,-651000,-531000,-19000,-44000,956000,956000,381000,381000,381000,-122000,2214000,0.26397,-0.06073,-0.00216,-0.00232,-0.00078,1.37246,1.96757,0.216,-0.00136,-0.00136,0.63032,0.58761,-0.00121,-8.0082,-4.34222
